,3CAC FP Equity_DX_SI_QTY,3CAC FP Equity_DX_SHORT_INTEREST_VALUE,3CAC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3CAC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3CAC FP Equity_DX_SI_MV,3CAC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3CAC FP Equity_DX_SUPPLY_SI_QTY,3CAC FP Equity_DX_BROKER_SI_QTY,3CAC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3CAC FP Equity_DX_SUPPLY_SI_MV,3CAC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3CAC FP Equity_DX_UTILIZATION_QUANTITY,3CAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3CAC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3CAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3CAC FP Equity_DX_ACTIVE_UTILIZATION_MV,3CAC FP Equity_DX_BROKER_SI_CON_RATIO,3CAC FP Equity_DX_DEMAND_SUPPLY_RATIO,3CAC FP Equity_PX_LAST
2023-09-28,,,,,,,,,,,,,,,,,,,46.13
2023-09-29,,,,,,,,,,,,,,,,,,,46.685
2023-10-02,,,,,,,,,,,,,,,,,,,45.13
2023-10-03,,,,,,,,,,,,,,,,,,,43.745
2023-10-04,,,,,,,,,,,,,,,,,,,43.79
2023-10-05,,,,,,,,,,,,,,,,,,,43.755
2023-10-06,,,,,,,,,,,,,,,,,,,44.96
2023-10-09,,,,,,,,,,,,,,,,,,,44.085
2023-10-10,,,,,,,,,,,,,,,,,,,45.85
2023-10-11,,,,,,,,,,,,,,,,,,,46.345
2023-10-12,,,,,,,,,,,,,,,,,,,45.555
2023-10-13,,,,,,,,,,,,,,,,,,,43.61
2023-10-16,,,,,,,,,,,,,,,,,,,43.98
2023-10-17,,,,,,,,,,,,,,,,,,,44.085
2023-10-18,,,,,,,,,,,,,,,,,,,42.89
2023-10-19,,,,,,,,,,,,,,,,,,,42.025
2023-10-20,,,,,,,,,,,,,,,,,,,40.19
2023-10-23,,,,,,,,,,,,,,,,,,,40.685
2023-10-24,,,,,,,,,,,,,,,,,,,41.385
2023-10-25,,,,,,,,,,,,,,,,,,,41.84
2023-10-26,,,,,,,,,,,,,,,,,,,41.33
2023-10-27,,,,,,,,,,,,,,,,,,,39.87
2023-10-30,,,,,,,,,,,,,,,,,,,40.17
2023-10-31,,,,,,,,,,,,,,,,,,,41.135
2023-11-01,,,,,,,,,,,,,,,,,,,41.925
2023-11-02,,,,,,,,,,,,,,,,,,,44.265
2023-11-03,,,,,,,,,,,,,,,,,,,44.17
2023-11-06,,,,,,,,,,,,,,,,,,,43.46
2023-11-07,,,,,,,,,,,,,,,,,,,42.905
2023-11-08,,,,,,,,,,,,,,,,,,,43.765
2023-11-09,,,,,,,,,,,,,,,,,,,45.195
2023-11-10,,,,,,,,,,,,,,,,,,,43.92
2023-11-13,,,,,,,,,,,,,,,,,,,43.92
2023-11-14,,,,,,,,,,,,,,,,,,,46.785
2023-11-15,,,,,,,,,,,,,,,,,,,47.04
2023-11-16,,,,,,,,,,,,,,,,,,,46.285
2023-11-17,,,,,,,,,,,,,,,,,,,47.435
2023-11-20,,,,,,,,,,,,,,,,,,,47.75
2023-11-21,,,,,,,,,,,,,,,,,,,47.28
2023-11-22,,,,,,,,,,,,,,,,,,,47.975
2023-11-23,,,,,,,,,,,,,,,,,,,47.975
2023-11-24,,,,,,,,,,,,,,,,,,,48.55
2023-11-27,,,,,,,,,,,,,,,,,,,48.03
2023-11-28,,,,,,,,,,,,,,,,,,,47.69
2023-11-29,,,,,,,,,,,,,,,,,,,48.12
2023-11-30,,,,,,,,,,,,,,,,,,,48.865
2023-12-01,,,,,,,,,,,,,,,,,,,49.545
2023-12-04,,,,,,,,,,,,,,,,,,,49.545
2023-12-05,,,,,,,,,,,,,,,,,,,50.34
2023-12-06,,,,,,,,,,,,,,,,,,,51.6
2023-12-07,,,,,,,,,,,,,,,,,,,51.21
2023-12-08,,,,,,,,,,,,,,,,,,,53.3
2023-12-11,,,,,,,,,,,,,,,,,,,53.72
2023-12-12,,,,,,,,,,,,,,,,,,,53.64
2023-12-13,,,,,,,,,,,,,,,,,,,53.23
2023-12-14,,,,,,,,,,,,,,,,,,,54.41
2023-12-15,,,,,,,,,,,,,,,,,,,54.92
2023-12-18,,,,,,,,,,,,,,,,,,,54.02
2023-12-19,,,,,,,,,,,,,,,,,,,54.26
2023-12-20,,,,,,,,,,,,,,,,,,,54.06
2023-12-21,,,,,,,,,,,,,,,,,,,53.79
2023-12-22,,,,,,,,,,,,,,,,,,,53.98
2023-12-27,,,,,,,,,,,,,,,,,,,54.0
2023-12-28,,,,,,,,,,,,,,,,,,,52.96
2023-12-29,,,,,,,,,,,,,,,,,,,53.15
2024-01-02,,,,,,,,,,,,,,,,,,,53.0
2024-01-03,,,,,,,,,,,,,,,,,,,50.52
2024-01-04,,,,,,,,,,,,,,,,,,,51.46
2024-01-05,,,,,,,,,,,,,,,,,,,50.68
2024-01-08,,,,,,,,,,,,,,,,,,,51.27
2024-01-09,,,,,,,,,,,,,,,,,,,50.8
2024-01-10,,,,,,,,,,,,,,,,,,,50.63
2024-01-11,,,,,,,,,,,,,,,,,,,49.89
2024-01-12,,,,,,,,,,,,,,,,,,,51.36
2024-01-15,,,,,,,,,,,,,,,,,,,50.45
2024-01-16,,,,,,,,,,,,,,,,,,,50.06
2024-01-17,,,,,,,,,,,,,,,,,,,48.495
2024-01-18,,,,,,,,,,,,,,,,,,,50.14
2024-01-19,,,,,,,,,,,,,,,,,,,49.525
2024-01-22,,,,,,,,,,,,,,,,,,,50.39
2024-01-23,,,,,,,,,,,,,,,,,,,49.785
2024-01-24,,,,,,,,,,,,,,,,,,,51.14
2024-01-25,,,,,,,,,,,,,,,,,,,51.31
2024-01-26,,,,,,,,,,,,,,,,,,,54.82
2024-01-29,,,,,,,,,,,,,,,,,,,54.87
2024-01-30,,,,,,,,,,,,,,,,,,,55.77
2024-01-31,,,,,,,,,,,,,,,,,,,55.32
2024-02-01,,,,,,,,,,,,,,,,,,,53.53
2024-02-02,,,,,,,,,,,,,,,,,,,53.81
2024-02-05,,,,,,,,,,,,,,,,,,,53.41
2024-02-06,,,,,,,,,,,,,,,,,,,54.66
2024-02-07,,,,,,,,,,,,,,,,,,,54.12
2024-02-08,,,,,,,,,,,,,,,,,,,54.12
2024-02-09,,,,,,,,,,,,,,,,,,,54.71
2024-02-12,,,,,,,,,,,,,,,,,,,55.57
2024-02-13,,,,,,,,,,,,,,,,,,,54.2
2024-02-14,,,,,,,,,,,,,,,,,,,55.44
2024-02-15,,,,,,,,,,,,,,,,,,,56.82
2024-02-16,,,,,,,,,,,,,,,,,,,57.36
2024-02-19,,,,,,,,,,,,,,,,,,,57.11
2024-02-20,,,,,,,,,,,,,,,,,,,58.06
2024-02-21,,,,,,,,,,,,,,,,,,,58.16
2024-02-22,,,,,,,,,,,,,,,,,,,60.59
2024-02-23,,,,,,,,,,,,,,,,,,,61.66
2024-02-26,,,,,,,,,,,,,,,,,,,60.66
2024-02-27,,,,,,,,,,,,,,,,,,,61.37
2024-02-28,,,,,,,,,,,,,,,,,,,61.23
2024-02-29,,,,,,,,,,,,,,,,,,,61.51
2024-03-01,,,,,,,,,,,,,,,,,,,60.69
2024-03-04,,,,,,,,,,,,,,,,,,,61.22
2024-03-05,,,,,,,,,,,,,,,,,,,60.57
2024-03-06,,,,,,,,,,,,,,,,,,,61.26
2024-03-07,,,,,,,,,,,,,,,,,,,62.62
2024-03-08,,,,,,,,,,,,,,,,,,,62.9
2024-03-11,,,,,,,,,,,,,,,,,,,62.67
2024-03-12,,,,,,,,,,,,,,,,,,,62.67
2024-03-13,,,,,,,,,,,,,,,,,,,62.67
2024-03-14,,,,,,,,,,,,,,,,,,,65.84
2024-03-15,,,,,,,,,,,,,,,,,,,66.35
2024-03-18,,,,,,,,,,,,,,,,,,,65.52
2024-03-19,,,,,,,,,,,,,,,,,,,66.71
2024-03-20,,,,,,,,,,,,,,,,,,,65.91
2024-03-21,,,,,,,,,,,,,,,,,,,66.41
2024-03-22,,,,,,,,,,,,,,,,,,,65.66
2024-03-25,,,,,,,,,,,,,,,,,,,65.76
2024-03-26,,,,,,,,,,,,,,,,,,,66.61
2024-03-27,,,,,,,,,,,,,,,,,,,66.78
2024-03-28,,,,,,,,,,,,,,,,,,,67.02
2024-04-02,,,,,,,,,,,,,,,,,,,65.08
2024-04-03,,,,,,,,,,,,,,,,,,,65.08
2024-04-04,,,,,,,,,,,,,,,,,,,65.08
2024-04-05,,,,,,,,,,,,,,,,,,,65.08
2024-04-08,,,,,,,,,,,,,,,,,,,64.59
2024-04-09,,,,,,,,,,,,,,,,,,,62.75
2024-04-10,,,,,,,,,,,,,,,,,,,62.65
2024-04-11,,,,,,,,,,,,,,,,,,,62.56
2024-04-12,,,,,,,,,,,,,,,,,,,61.69
2024-04-15,,,,,,,,,,,,,,,,,,,61.69
2024-04-16,,,,,,,,,,,,,,,,,,,60.83
2024-04-17,,,,,,,,,,,,,,,,,,,61.52
2024-04-18,,,,,,,,,,,,,,,,,,,61.52
2024-04-19,,,,,,,,,,,,,,,,,,,61.52
2024-04-22,,,,,,,,,,,,,,,,,,,62.91
2024-04-23,,,,,,,,,,,,,,,,,,,64.16
2024-04-24,,,,,,,,,,,,,,,,,,,64.2
2024-04-25,,,,,,,,,,,,,,,,,,,62.54
2024-04-26,,,,,,,,,,,,,,,,,,,63.12
2024-04-29,,,,,,,,,,,,,,,,,,,63.63
2024-04-30,,,,,,,,,,,,,,,,,,,61.83
2024-05-02,,,,,,,,,,,,,,,,,,,62.58
2024-05-03,,,,,,,,,,,,,,,,,,,61.69
2024-05-06,,,,,,,,,,,,,,,,,,,62.57
2024-05-07,,,,,,,,,,,,,,,,,,,64.44
2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6607.0,0.01,0.0,0.0,0.0,66.07
2024-05-09,,,,,,,,,,,,,,,,,,,67.22
2024-05-10,,,,,,,,,,,,,,,,,,,67.88
2024-05-13,,,,,,,,,,,,,,,,,,,68.05
2024-05-14,,,,,,,,,,,,,,,,,,,68.59
2024-05-15,,,,,,,,,,,,,,,,,,,68.66
2024-05-16,,,,,,,,,,,,,,,,,,,67.6
2024-05-17,,,,,,,,,,,,,,,,,,,66.9
2024-05-20,,,,,,,,,,,,,,,,,,,67.85
2024-05-21,,,,,,,,,,,,,,,,,,,66.68
2024-05-22,,,,,,,,,,,,,,,,,,,65.64
2024-05-23,,,,,,,,,,,,,,,,,,,65.82
2024-05-24,,,,,,,,,,,,,,,,,,,65.82
2024-05-27,,,,,,,,,,,,,,,,,,,66.54
2024-05-28,,,,,,,,,,,,,,,,,,,65.22
2024-05-29,,,,,,,,,,,,,,,,,,,62.41
2024-05-30,,,,,,,,,,,,,,,,,,,63.39
2024-05-31,,,,,,,,,,,,,,,,,,,63.4
2024-06-03,,,,,,,,,,,,,,,,,,,63.91
2024-06-04,,,,,,,,,,,,,,,,,,,62.51
2024-06-05,,,,,,,,,,,,,,,,,,,64.0
2024-06-06,,,,,,,,,,,,,,,,,,,64.77
2024-06-07,,,,,,,,,,,,,,,,,,,63.86
2024-06-10,,,,,,,,,,,,,,,,,,,62.23
2024-06-11,,,,,,,,,,,,,,,,,,,58.73
2024-06-12,,,,,,,,,,,,,,,,,,,60.71
2024-06-13,,,,,,,,,,,,,,,,,,,56.74
2024-06-14,,,,,,,,,,,,,,,,,,,52.33
2024-06-17,,,,,,,,,,,,,,,,,,,53.68
2024-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,27505.0,0.03,0.0,0.0,0.0,55.01
2024-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,10754.0,0.01,0.0,0.0,0.0,53.77
2024-06-20,,,,,,,,,,,,,,,,,,,56.04
2024-06-21,,,,,,,,,,,,,,,,,,,55.26
2024-06-24,,,,,,,,,,,,,,,,,,,56.71
2024-06-25,,,,,,,,,,,,,,,,,,,55.36
2024-06-26,,,,,,,,,,,,,,,,,,,54.48
2024-06-27,,,,,,,,,,,,,,,,,,,52.78
2024-06-28,,,,,,,,,,,,,,,,,,,51.42
2024-07-01,,,,,,,,,,,,,,,,,,,53.78
2024-07-02,,,,,,,,,,,,,,,,,,,53.01
2024-07-03,,,,,,,,,,,,,,,,,,,54.99
2024-07-04,,,,,,,,,,,,,,,,,,,56.33
2024-07-05,,,,,,,,,,,,,,,,,,,55.76
2024-07-08,,,,,,,,,,,,,,,,,,,54.9
2024-07-09,,,,,,,,,,,,,,,,,,,51.88
2024-07-10,,,,,,,,,,,,,,,,,,,53.59
2024-07-11,,,,,,,,,,,,,,,,,,,54.58
2024-07-12,,,,,,,,,,,,,,,,,,,56.88
2024-07-15,,,,,,,,,,,,,,,,,,,54.32
2024-07-16,,,,,,,,,,,,,,,,,,,53.57
2024-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,10706.0,0.01,0.0,0.0,0.0,53.53
2024-07-18,,,,,,,,,,,,,,,,,,,53.83
2024-07-19,,,,,,,,,,,,,,,,,,,52.37
2024-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5415.0,0.01,0.0,0.0,0.0,54.15
2024-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5362.0,0.01,0.0,0.0,0.0,53.62
2024-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5196.0,0.01,0.0,0.0,0.0,51.96
2024-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,15021.0,0.02,0.0,0.0,0.0,50.07
2024-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,15537.0,0.02,0.0,0.0,0.0,51.79
2024-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,15165.0,0.02,0.0,0.0,0.0,50.55
2024-07-30,,,,,,,,,,,,,,,,,,,51.14
2024-07-31,,,,,,,,,,,,,,,,,,,52.13
2024-08-01,,,,,,,,,,,,,,,,,,,48.695
2024-08-02,,,,,,,,,,,,,,,,,,,46.04
2024-08-05,,,,,,,,,,,,,,,,,,,44.05
2024-08-06,,,,,,,,,,,,,,,,,,,43.855
2024-08-07,,,,,,,,,,,,,,,,,,,46.53
2024-08-08,,,,,,,,,,,,,,,,,,,46.34
2024-08-09,,,,,,,,,,,,,,,,,,,46.465
2024-08-12,,,,,,,,,,,,,,,,,,,46.115
2024-08-13,,,,,,,,,,,,,,,,,,,46.7
2024-08-14,,,,,,,,,,,,,,,,,,,47.485
2024-08-15,,,,,,,,,,,,,,,,,,,49.475
2024-08-16,,,,,,,,,,,,,,,,,,,49.865
2024-08-19,,,,,,,,,,,,,,,,,,,51.13
2024-08-20,,,,,,,,,,,,,,,,,,,50.43
2024-08-21,,,,,,,,,,,,,,,,,,,51.54
2024-08-22,,,,,,,,,,,,,,,,,,,51.42
2024-08-23,,,,,,,,,,,,,,,,,,,52.5
2024-08-26,,,,,,,,,,,,,,,,,,,51.58
2024-08-27,,,,,,,,,,,,,,,,,,,52.31
2024-08-28,,,,,,,,,,,,,,,,,,,52.61
2024-08-29,,,,,,,,,,,,,,,,,,,53.73
2024-08-30,,,,,,,,,,,,,,,,,,,53.55
2024-09-02,,,,,,,,,,,,,,,,,,,53.79
2024-09-03,,,,,,,,,,,,,,,,,,,52.42
2024-09-04,,,,,,,,,,,,,,,,,,,50.62
2024-09-05,,,,,,,,,,,,,,,,,,,49.545
2024-09-06,,,,,,,,,,,,,,,,,,,47.205
2024-09-09,,,,,,,,,,,,,,,,,,,48.105
2024-09-10,,,,,,,,,,,,,,,,,,,48.595
2024-09-11,,,,,,,,,,,,,,,,,,,48.54
2024-09-12,,,,,,,,,,,,,,,,,,,49.18
2024-09-13,,,,,,,,,,,,,,,,,,,49.79
2024-09-16,,,,,,,,,,,,,,,,,,,49.42
2024-09-17,,,,,,,,,,,,,,,,,,,50.34
2024-09-18,,,,,,,,,,,,,,,,,,,49.59
2024-09-19,,,,,,,,,,,,,,,,,,,52.2
2024-09-20,,,,,,,,,,,,,,,,,,,50.31
2024-09-23,,,,,,,,,,,,,,,,,,,50.33
2024-09-24,,,,,,,,,,,,,,,,,,,52.36
2024-09-25,,,,,,,,,,,,,,,,,,,51.59
2024-09-26,,,,,,,,,,,,,,,,,,,55.0
2024-09-27,,,,,,,,,,,,,,,,,,,56.57
2024-09-30,,,,,,,,,,,,,,,,,,,53.05
2024-10-01,,,,,,,,,,,,,,,,,,,52.23
2024-10-02,,,,,,,,,,,,,,,,,,,52.32
2024-10-03,,,,,,,,,,,,,,,,,,,49.425
2024-10-04,,,,,,,,,,,,,,,,,,,50.99
2024-10-07,,,,,,,,,,,,,,,,,,,51.58
2024-10-08,,,,,,,,,,,,,,,,,,,50.35
2024-10-09,,,,,,,,,,,,,,,,,,,50.35
2024-10-10,,,,,,,,,,,,,,,,,,,50.97
2024-10-11,,,,,,,,,,,,,,,,,,,51.74
2024-10-14,,,,,,,,,,,,,,,,,,,51.94
2024-10-15,,,,,,,,,,,,,,,,,,,50.59
2024-10-16,,,,,,,,,,,,,,,,,,,49.715
2024-10-17,,,,,,,,,,,,,,,,,,,51.59
2024-10-18,,,,,,,,,,,,,,,,,,,52.03
2024-10-21,,,,,,,,,,,,,,,,,,,50.57
2024-10-22,,,,,,,,,,,,,,,,,,,50.52
2024-10-23,,,,,,,,,,,,,,,,,,,49.83
2024-10-24,,,,,,,,,,,,,,,,,,,49.645
2024-10-25,,,,,,,,,,,,,,,,,,,49.56
2024-10-28,,,,,,,,,,,,,,,,,,,51.05
2024-10-29,,,,,,,,,,,,,,,,,,,49.915
2024-10-30,,,,,,,,,,,,,,,,,,,48.165
2024-10-31,,,,,,,,,,,,,,,,,,,46.35
2024-11-01,,,,,,,,,,,,,,,,,,,47.715
2024-11-04,,,,,,,,,,,,,,,,,,,47.105
2024-11-05,,,,,,,,,,,,,,,,,,,47.42
2024-11-06,,,,,,,,,,,,,,,,,,,46.725
2024-11-07,,,,,,,,,,,,,,,,,,,47.835
2024-11-08,,,,,,,,,,,,,,,,,,,46.355
2024-11-11,,,,,,,,,,,,,,,,,,,47.915
2024-11-12,,,,,,,,,,,,,,,,,,,44.12
2024-11-13,,,,,,,,,,,,,,,,,,,43.88
2024-11-14,,,,,,,,,,,,,,,,,,,45.6
2024-11-15,,,,,,,,,,,,,,,,,,,44.905
2024-11-18,,,,,,,,,,,,,,,,,,,44.9
2024-11-19,,,,,,,,,,,,,,,,,,,44.05
2024-11-20,,,,,,,,,,,,,,,,,,,43.535
2024-11-21,,,,,,,,,,,,,,,,,,,43.885
2024-11-22,,,,,,,,,,,,,,,,,,,44.44
2024-11-25,,,,,,,,,,,,,,,,,,,44.585
2024-11-26,,,,,,,,,,,,,,,,,,,43.43
2024-11-27,,,,,,,,,,,,,,,,,,,42.45
2024-11-28,,,,,,,,,,,,,,,,,,,43.155
2024-11-29,,,,,,,,,,,,,,,,,,,44.035
2024-12-02,,,,,,,,,,,,,,,,,,,43.77
2024-12-03,,,,,,,,,,,,,,,,,,,44.505
2024-12-04,,,,,,,,,,,,,,,,,,,45.365
2024-12-05,,,,,,,,,,,,,,,,,,,46.015
2024-12-06,,,,,,,,,,,,,,,,,,,47.76
2024-12-09,,,,,,,,,,,,,,,,,,,48.935
2024-12-10,,,,,,,,,,,,,,,,,,,46.94
2024-12-11,,,,,,,,,,,,,,,,,,,47.735
2024-12-12,,,,,,,,,,,,,,,,,,,47.575
2024-12-13,,,,,,,,,,,,,,,,,,,47.07
2024-12-16,,,,,,,,,,,,,,,,,,,46.18
2024-12-17,,,,,,,,,,,,,,,,,,,46.46
2024-12-18,,,,,,,,,,,,,,,,,,,46.875
2024-12-19,,,,,,,,,,,,,,,,,,,45.03
2024-12-20,,,,,,,,,,,,,,,,,,,44.87
2024-12-23,,,,,,,,,,,,,,,,,,,44.515
2024-12-24,,,,,,,,,,,,,,,,,,,44.94
2024-12-27,,,,,,,,,,,,,,,,,,,45.8
2024-12-30,,,,,,,,,,,,,,,,,,,45.23
2024-12-31,,,,,,,,,,,,,,,,,,,46.415
2025-01-02,,,,,,,,,,,,,,,,,,,46.765
2025-01-03,,,,,,,,,,,,,,,,,,,44.49
2025-01-06,,,,,,,,,,,,,,,,,,,47.64
2025-01-07,,,,,,,,,,,,,,,,,,,48.665
2025-01-08,,,,,,,,,,,,,,,,,,,47.605
2025-01-09,,,,,,,,,,,,,,,,,,,48.13
2025-01-10,,,,,,,,,,,,,,,,,,,47.16
2025-01-13,,,,,,,,,,,,,,,,,,,46.825
2025-01-14,,,,,,,,,,,,,,,,,,,46.87
2025-01-15,,,,,,,,,,,,,,,,,,,48.405
2025-01-16,,,,,,,,,,,,,,,,,,,51.16
2025-01-17,,,,,,,,,,,,,,,,,,,52.79
2025-01-20,,,,,,,,,,,,,,,,,,,53.12
2025-01-21,,,,,,,,,,,,,,,,,,,54.01
2025-01-22,,,,,,,,,,,,,,,,,,,55.29
2025-01-23,,,,,,,,,,,,,,,,,,,56.48
2025-01-24,,,,,,,,,,,,,,,,,,,57.1
2025-01-27,,,,,,,,,,,,,,,,,,,56.85
2025-01-28,,,,,,,,,,,,,,,,,,,56.85
2025-01-29,,,,,,,,,,,,,,,,,,,54.44
2025-01-30,,,,,,,,,,,,,,,,,,,57.54
2025-01-31,,,,,,,,,,,,,,,,,,,57.37
2025-02-03,,,,,,,,,,,,,,,,,,,55.34
2025-02-04,,,,,,,,,,,,,,,,,,,56.67
2025-02-05,,,,,,,,,,,,,,,,,,,55.29
2025-02-06,,,,,,,,,,,,,,,,,,,58.2
2025-02-07,,,,,,,,,,,,,,,,,,,57.56
2025-02-10,,,,,,,,,,,,,,,,,,,58.63
2025-02-11,,,,,,,,,,,,,,,,,,,59.2
2025-02-12,,,,,,,,,,,,,,,,,,,59.52
2025-02-13,,,,,,,,,,,,,,,,,,,62.03
2025-02-14,,,,,,,,,,,,,,,,,,,62.16
2025-02-17,,,,,,,,,,,,,,,,,,,62.68
2025-02-18,,,,,,,,,,,,,,,,,,,63.44
2025-02-19,,,,,,,,,,,,,,,,,,,60.56
2025-02-20,,,,,,,,,,,,,,,,,,,60.91
2025-02-21,,,,,,,,,,,,,,,,,,,61.62
2025-02-24,,,,,,,,,,,,,,,,,,,60.13
2025-02-25,,,,,,,,,,,,,,,,,,,59.24
2025-02-26,,,,,,,,,,,,,,,,,,,61.36
2025-02-27,,,,,,,,,,,,,,,,,,,60.08
2025-02-28,,,,,,,,,,,,,,,,,,,59.16
2025-03-03,,,,,,,,,,,,,,,,,,,62.76
2025-03-04,,,,,,,,,,,,,,,,,,,58.64
2025-03-05,,,,,,,,,,,,,,,,,,,62.33
2025-03-06,,,,,,,,,,,,,,,,,,,63.0
2025-03-07,,,,,,,,,,,,,,,,,,,60.28
2025-03-10,,,,,,,,,,,,,,,,,,,58.99
2025-03-11,,,,,,,,,,,,,,,,,,,56.36
2025-03-12,,,,,,,,,,,,,,,,,,,57.43
2025-03-13,,,,,,,,,,,,,,,,,,,56.45
2025-03-14,,,,,,,,,,,,,,,,,,,58.37
2025-03-17,,,,,,,,,,,,,,,,,,,59.23
2025-03-18,,,,,,,,,,,,,,,,,,,60.28
2025-03-19,,,,,,,,,,,,,,,,,,,61.59
2025-03-20,,,,,,,,,,,,,,,,,,,59.18
2025-03-21,,,,,,,,,,,,,,,,,,,58.68
2025-03-24,,,,,,,,,,,,,,,,,,,58.06
2025-03-25,,,,,,,,,,,,,,,,,,,60.1
2025-03-26,,,,,,,,,,,,,,,,,,,58.31
2025-03-27,,,,,,,,,,,,,,,,,,,56.63
2025-03-28,,,,,,,,,,,,,,,,,,,55.72
2025-03-31,,,,,,,,,,,,,,,,,,,53.21
2025-04-01,,,,,,,,,,,,,,,,,,,54.74
2025-04-02,,,,,,,,,,,,,,,,,,,54.46
2025-04-03,,,,,,,,,,,,,,,,,,,48.855
2025-04-04,,,,,,,,,,,,,,,,,,,43.2
2025-04-07,,,,,,,,,,,,,,,,,,,36.585
2025-04-08,,,,,,,,,,,,,,,,,,,39.25
