,MFED FP Equity_PX_LAST
2016-09-02,140.15
2016-09-05,140.22
2016-09-06,139.83
2016-09-07,140.83
2016-09-08,140.29
2016-09-09,138.75
2016-09-12,137.04
2016-09-13,135.67
2016-09-14,135.38
2016-09-15,135.96
2016-09-16,134.59
2016-09-19,135.98
2016-09-20,135.93
2016-09-21,136.63
2016-09-22,139.44
2016-09-23,138.72
2016-09-26,136.4
2016-09-27,136.44
2016-09-28,137.12
2016-09-29,137.09
2016-09-30,137.61
2016-10-03,137.41
2016-10-04,138.64
2016-10-05,138.32
2016-10-06,138.06
2016-10-07,136.85
2016-10-10,138.35
2016-10-11,137.76
2016-10-12,137.31
2016-10-13,136.04
2016-10-14,137.97
2016-10-17,137.59
2016-10-18,139.19
2016-10-19,139.61
2016-10-20,140.29
2016-10-21,140.33
2016-10-24,141.05
2016-10-25,140.54
2016-10-26,140.2
2016-10-27,140.44
2016-10-28,140.31
2016-10-31,139.42
2016-11-01,137.98
2016-11-02,136.05
2016-11-03,135.79
2016-11-04,134.85
2016-11-07,137.06
2016-11-08,137.67
2016-11-09,138.98
2016-11-10,138.05
2016-11-11,137.35
2016-11-14,137.25
2016-11-15,138.19
2016-11-16,137.43
2016-11-17,138.1
2016-11-18,137.29
2016-11-21,138.52
2016-11-22,139.03
2016-11-23,138.57
2016-11-24,139.03
2016-11-25,139.38
2016-11-28,137.99
2016-11-29,138.9
2016-11-30,139.43
2016-12-01,138.62
2016-12-02,137.85
2016-12-05,139.24
2016-12-06,141.32
2016-12-07,143.32
2016-12-08,145.0
2016-12-09,145.64
2016-12-12,145.58
2016-12-13,147.11
2016-12-14,145.93
2016-12-15,147.68
2016-12-16,148.48
2016-12-19,148.17
2016-12-20,149.05
2016-12-21,148.98
2016-12-22,148.83
2016-12-23,149.44
2016-12-27,149.45
2016-12-28,149.29
2016-12-29,149.06
2016-12-30,149.62
2017-01-02,150.7
2017-01-03,151.0
2017-01-04,150.86
2017-01-05,150.99
2017-01-06,151.15
2017-01-09,150.43
2017-01-10,150.39
2017-01-11,150.82
2017-01-12,150.45
2017-01-13,151.8
2017-01-16,150.88
2017-01-17,150.47
2017-01-18,150.78
2017-01-19,150.86
2017-01-20,151.17
2017-01-23,150.09
2017-01-24,150.69
2017-01-25,152.55
2017-01-26,152.43
2017-01-27,151.78
2017-01-30,149.99
2017-01-31,148.58
2017-02-01,149.87
2017-02-02,150.18
2017-02-03,150.93
2017-02-06,149.19
2017-02-07,149.23
2017-02-08,149.4
2017-02-09,150.86
2017-02-10,150.78
2017-02-13,152.28
2017-02-14,152.55
2017-02-15,153.03
2017-02-16,152.84
2017-02-17,152.5
2017-02-20,152.55
2017-02-21,153.62
2017-02-22,153.68
2017-02-23,153.37
2017-02-24,151.96
2017-02-27,152.16
2017-02-28,152.88
2017-03-01,155.72
2017-03-02,155.53
2017-03-03,156.19
2017-03-06,155.45
2017-03-07,155.26
2017-03-08,155.46
2017-03-09,156.3
2017-03-10,156.66
2017-03-13,156.83
2017-03-14,156.25
2017-03-15,156.79
2017-03-16,158.07
2017-03-17,158.76
2017-03-20,157.99
2017-03-21,157.51
2017-03-22,156.91
2017-03-23,158.31
2017-03-24,158.36
2017-03-27,157.87
2017-03-28,159.22
2017-03-29,159.54
2017-03-30,160.19
2017-03-31,161.02
2017-04-03,160.05
2017-04-04,160.37
2017-04-05,160.14
2017-04-06,160.89
2017-04-07,161.22
2017-04-10,160.55
2017-04-11,160.12
2017-04-12,160.08
2017-04-13,159.22
2017-04-18,157.63
2017-04-19,158.4
2017-04-20,159.23
2017-04-21,158.68
2017-04-24,164.95
2017-04-25,165.37
2017-04-26,165.45
2017-04-27,164.88
2017-04-28,164.83
2017-05-02,166.13
2017-05-03,166.36
2017-05-04,168.52
2017-05-05,170.06
2017-05-08,169.48
2017-05-09,169.76
2017-05-10,169.84
2017-05-11,168.86
2017-05-12,169.57
2017-05-15,170.18
2017-05-16,170.38
2017-05-17,167.78
2017-05-18,166.77
2017-05-19,168.19
2017-05-22,168.11
2017-05-23,168.74
2017-05-24,168.7
2017-05-25,168.87
2017-05-26,168.77
2017-05-29,168.37
2017-05-30,167.98
2017-05-31,167.63
2017-06-01,168.73
2017-06-02,169.84
2017-06-05,168.99
2017-06-06,168.18
2017-06-07,168.12
2017-06-08,168.52
2017-06-09,169.61
2017-06-12,167.72
2017-06-13,168.61
2017-06-14,168.29
2017-06-15,167.16
2017-06-16,168.73
2017-06-19,170.22
2017-06-20,169.25
2017-06-21,168.94
2017-06-22,168.88
2017-06-23,168.12
2017-06-26,168.9
2017-06-27,167.54
2017-06-28,167.7
2017-06-29,164.9
2017-06-30,163.96
2017-07-03,166.11
2017-07-04,165.6
2017-07-05,165.74
2017-07-06,165.01
2017-07-07,165.05
2017-07-10,165.79
2017-07-11,165.47
2017-07-12,167.58
2017-07-13,168.21
2017-07-14,168.31
2017-07-17,168.27
2017-07-18,166.94
2017-07-19,167.8
2017-07-20,167.51
2017-07-21,165.18
2017-07-24,165.06
2017-07-25,165.92
2017-07-26,167.0
2017-07-27,167.14
2017-07-28,165.65
2017-07-31,164.86
2017-08-01,166.12
2017-08-02,165.4
2017-08-03,165.8
2017-08-04,167.67
2017-08-07,167.7
2017-08-08,168.08
2017-08-09,166.2
2017-08-10,164.85
2017-08-11,163.38
2017-08-14,165.45
2017-08-15,165.89
2017-08-16,167.1
2017-08-17,166.16
2017-08-18,165.68
2017-08-21,164.43
2017-08-22,165.84
2017-08-23,165.01
2017-08-24,165.11
2017-08-25,164.8
2017-08-28,164.06
2017-08-29,162.31
2017-08-30,163.19
2017-08-31,164.13
2017-09-01,165.25
2017-09-04,164.53
2017-09-05,164.31
2017-09-06,164.7
2017-09-07,165.24
2017-09-08,165.4
2017-09-11,167.64
2017-09-12,168.33
2017-09-13,168.64
2017-09-14,168.66
2017-09-15,168.22
2017-09-18,168.86
2017-09-19,169.03
2017-09-20,168.79
2017-09-21,169.22
2017-09-22,169.33
2017-09-25,169.09
2017-09-26,169.23
2017-09-27,170.04
2017-09-28,170.5
2017-09-29,171.99
2017-10-02,172.28
2017-10-03,172.64
2017-10-04,171.95
2017-10-05,172.71
2017-10-06,172.11
2017-10-09,172.53
2017-10-10,172.1
2017-10-11,172.74
2017-10-12,172.71
2017-10-13,172.7
2017-10-16,172.77
2017-10-17,172.64
2017-10-18,173.43
2017-10-19,172.45
2017-10-20,172.77
2017-10-23,172.91
2017-10-24,172.96
2017-10-25,172.19
2017-10-26,174.32
2017-10-27,174.81
2017-10-30,175.38
2017-10-31,175.99
2017-11-01,176.9
2017-11-02,176.7
2017-11-03,176.81
2017-11-06,176.54
2017-11-07,175.64
2017-11-08,175.46
2017-11-09,173.67
2017-11-10,172.68
2017-11-13,171.75
2017-11-14,171.25
2017-11-15,170.06
2017-11-16,171.68
2017-11-17,171.05
2017-11-20,171.7
2017-11-21,172.67
2017-11-22,171.84
2017-11-23,172.11
2017-11-24,172.36
2017-11-27,171.71
2017-11-28,172.5
2017-11-29,172.9
2017-11-30,171.55
2017-12-01,170.69
2017-12-04,172.62
2017-12-05,172.37
2017-12-06,171.86
2017-12-07,172.37
2017-12-08,173.25
2017-12-11,172.99
2017-12-12,173.88
2017-12-13,172.91
2017-12-14,171.84
2017-12-15,172.0
2017-12-18,174.2
2017-12-19,173.24
2017-12-20,172.16
2017-12-21,172.95
2017-12-22,172.44
2017-12-27,172.27
2017-12-28,171.76
2017-12-29,170.39
2018-01-02,170.42
2018-01-03,171.49
2018-01-04,174.24
2018-01-05,175.92
2018-01-08,176.27
2018-01-09,177.04
2018-01-10,176.38
2018-01-11,175.95
2018-01-12,176.75
2018-01-15,176.45
2018-01-16,177.1
2018-01-17,176.69
2018-01-18,177.32
2018-01-19,178.37
2018-01-22,179.1
2018-01-23,179.35
2018-01-24,177.69
2018-01-25,177.21
2018-01-26,178.24
2018-01-29,177.58
2018-01-30,176.1
2018-01-31,176.18
2018-02-01,175.74
2018-02-02,172.62
2018-02-05,170.36
2018-02-06,166.4
2018-02-07,169.58
2018-02-08,165.96
2018-02-09,163.84
2018-02-12,165.5
2018-02-13,164.48
2018-02-14,166.1
2018-02-15,167.38
2018-02-16,169.32
2018-02-19,168.28
2018-02-20,169.3
2018-02-21,169.3
2018-02-22,169.08
2018-02-23,169.56
2018-02-26,170.3
2018-02-27,170.18
2018-02-28,169.34
2018-03-01,167.44
2018-03-02,163.94
2018-03-05,165.12
2018-03-06,165.82
2018-03-07,166.78
2018-03-08,168.68
2018-03-09,169.28
2018-03-12,169.68
2018-03-13,168.3
2018-03-14,167.66
2018-03-15,168.62
2018-03-16,168.86
2018-03-19,167.5
2018-03-20,168.44
2018-03-21,168.14
2018-03-22,165.8
2018-03-23,163.42
2018-03-26,162.68
2018-03-27,164.4
2018-03-28,165.28
2018-03-29,166.1
2018-04-03,165.34
2018-04-04,164.74
2018-04-05,168.84
2018-04-06,168.48
2018-04-09,168.74
2018-04-10,169.86
2018-04-11,168.9
2018-04-12,169.98
2018-04-13,170.34
2018-04-16,170.18
2018-04-17,171.84
2018-04-18,172.34
2018-04-19,172.4
2018-04-20,172.34
2018-04-23,173.22
2018-04-24,173.28
2018-04-25,171.94
2018-04-26,173.26
2018-04-27,173.64
