,MLJSA FP Equity_PX_LAST
2021-06-28,0.75
2021-07-01,0.725
2021-07-06,0.725
2021-07-09,0.62
2021-07-12,0.725
2021-07-14,0.725
2021-07-15,0.8
2021-07-16,0.88
2021-07-19,0.9
2021-07-21,1.0
2021-07-26,1.0
2021-07-29,1.0
2021-08-06,0.55
2021-08-13,0.9
2021-08-16,0.9
2021-08-19,0.89
2021-08-24,0.6
2021-08-25,0.61
2021-08-27,0.8
2021-08-30,0.7
2021-08-31,0.7
2021-09-01,0.78
2021-09-03,0.635
2021-09-06,0.76
2021-09-14,0.775
2021-09-15,0.78
2021-09-23,0.775
2021-09-27,0.6
2021-09-30,0.6
2021-10-06,0.77
2021-10-07,0.77
2021-10-08,0.6
2021-10-12,0.685
2021-10-13,0.685
2021-10-18,0.685
2021-10-20,0.685
2021-11-01,0.68
2021-11-03,0.6
2021-11-09,0.645
2021-11-16,0.635
2021-11-19,0.58
2021-11-22,0.65
2021-11-23,0.65
2021-11-29,0.71
2021-12-03,0.52
2021-12-07,0.72
2021-12-08,0.795
2021-12-22,0.55
2021-12-23,0.665
2021-12-24,0.66
2021-12-29,0.725
2022-01-07,0.6
2022-01-10,0.6
2022-01-18,0.7
2022-01-19,0.7
2022-01-20,0.695
2022-02-15,0.68
2022-03-09,0.68
2022-03-14,0.68
2022-03-22,0.54
2022-03-23,0.54
2022-04-08,0.53
2022-04-22,0.53
2022-04-25,0.478
2022-04-27,0.47
2022-05-02,0.47
2022-05-04,0.515
2022-05-10,0.62
2022-05-12,0.64
2022-05-16,0.635
2022-05-17,0.64
2022-05-18,0.58
2022-05-24,0.64
2022-06-02,0.635
2022-06-03,0.64
2022-06-06,0.64
2022-06-07,0.64
2022-06-08,0.64
2022-06-14,0.64
2022-07-05,0.63
2022-07-29,0.35
2022-08-12,0.35
2022-08-15,0.344
2022-08-19,0.35
2022-08-22,0.35
2022-08-30,0.442
2022-09-01,0.555
2022-09-02,0.61
2022-09-05,0.61
2022-09-08,0.44
2022-09-09,0.446
2022-10-07,0.446
2022-10-18,0.535
2022-10-20,0.54
2022-10-25,0.6
2022-10-27,0.6
2022-10-28,0.6
2022-10-31,0.5
2022-11-07,0.39
2022-11-08,0.474
2022-11-09,0.474
2022-11-10,0.52
2022-11-11,0.57
2022-11-14,0.468
2022-11-18,0.565
2022-11-21,0.51
2022-11-28,0.51
2022-11-29,0.51
2022-11-30,0.51
2022-12-01,0.51
2022-12-02,0.51
2022-12-05,0.56
2022-12-06,0.416
2022-12-07,0.414
2022-12-08,0.414
2022-12-09,0.414
2022-12-12,0.414
2022-12-13,0.414
2022-12-14,0.414
2022-12-15,0.414
2022-12-16,0.414
2022-12-19,0.414
2022-12-20,0.414
2022-12-21,0.505
2022-12-22,0.414
2022-12-23,0.414
2022-12-27,0.5
2022-12-28,0.5
2022-12-29,0.5
2022-12-30,0.505
2023-01-02,0.432
2023-01-03,0.505
2023-01-04,0.505
2023-01-05,0.505
2023-01-06,0.45
2023-01-09,0.45
2023-01-10,0.45
2023-01-11,0.53
2023-01-12,0.555
2023-01-13,0.555
2023-01-16,0.555
2023-01-17,0.61
2023-01-18,0.61
2023-01-19,0.61
2023-01-20,0.61
2023-01-23,0.61
2023-01-24,0.61
2023-01-25,0.61
2023-01-26,0.6
2023-01-27,0.6
2023-01-30,0.59
2023-01-31,0.59
2023-02-01,0.59
2023-02-02,0.59
2023-02-03,0.625
2023-02-06,0.65
2023-02-07,0.65
2023-02-08,0.65
2023-02-09,0.65
2023-02-10,0.65
2023-02-13,0.65
2023-02-14,0.65
2023-02-15,0.65
2023-02-16,0.65
2023-02-17,0.65
2023-02-20,0.65
2023-02-21,0.65
2023-02-22,0.63
2023-02-23,0.63
2023-02-24,0.63
2023-02-27,0.63
2023-02-28,0.63
2023-03-01,0.63
2023-03-02,0.63
2023-03-03,0.63
2023-03-06,0.63
2023-03-07,0.63
2023-03-08,0.63
2023-03-09,0.63
2023-03-10,0.59
2023-03-13,0.6
2023-03-14,0.6
2023-03-15,0.6
2023-03-16,0.6
2023-03-17,0.41
2023-03-20,0.41
2023-03-21,0.575
2023-03-22,0.575
2023-03-23,0.575
2023-03-24,0.6
2023-03-27,0.6
2023-03-28,0.6
2023-03-29,0.59
2023-03-30,0.59
2023-03-31,0.57
2023-04-03,0.57
2023-04-04,0.57
2023-04-05,0.54
2023-04-06,0.54
2023-04-11,0.55
2023-04-12,0.55
2023-04-13,0.55
2023-04-14,0.55
2023-04-17,0.55
2023-04-18,0.55
2023-04-19,0.55
2023-04-20,0.55
2023-04-21,0.55
2023-04-24,0.55
2023-04-25,0.55
2023-04-26,0.45
2023-04-27,0.45
2023-04-28,0.45
2023-05-02,0.51
2023-05-03,0.51
2023-05-04,0.51
2023-05-05,0.51
2023-05-08,0.51
2023-05-09,0.45
2023-05-10,0.45
2023-05-11,0.45
2023-05-12,0.45
2023-05-15,0.45
2023-05-16,0.45
2023-05-17,0.4
2023-05-18,0.4
2023-05-19,0.4
2023-05-22,0.38
2023-05-23,0.38
2023-05-24,0.39
2023-05-25,0.39
2023-05-26,0.39
2023-05-29,0.39
2023-05-30,0.39
2023-05-31,0.39
2023-06-01,0.39
2023-06-02,0.39
2023-06-05,0.39
2023-06-06,0.39
2023-06-07,0.39
2023-06-08,0.39
2023-06-09,0.38
2023-06-12,0.38
2023-06-13,0.38
2023-06-14,0.38
2023-06-15,0.38
2023-06-16,0.462
2023-06-19,0.462
2023-06-20,0.462
2023-06-21,0.462
2023-06-22,0.462
2023-06-23,0.462
2023-06-26,0.462
2023-06-27,0.462
2023-06-28,0.462
2023-06-29,0.462
2023-06-30,0.462
2023-07-03,0.462
2023-07-04,0.462
2023-07-05,0.462
2023-07-06,0.462
2023-07-07,0.462
2023-07-10,0.462
2023-07-11,0.462
2023-07-12,0.464
2023-07-13,0.464
2023-07-14,0.51
2023-07-17,0.55
2023-07-18,0.55
2023-07-19,0.55
2023-07-20,0.55
2023-07-21,0.47
2023-07-24,0.47
2023-07-25,0.47
2023-07-26,0.47
2023-07-27,0.47
2023-07-28,0.47
2023-07-31,0.47
2023-08-01,0.55
2023-08-02,0.55
2023-08-03,0.55
2023-08-04,0.55
2023-08-07,0.55
2023-08-08,0.55
2023-08-09,0.55
2023-08-10,0.55
2023-08-11,0.55
2023-08-14,0.55
2023-08-15,0.55
2023-08-16,0.55
2023-08-17,0.55
2023-08-18,0.55
2023-08-21,0.55
2023-08-22,0.545
2023-08-23,0.45
2023-08-24,0.45
2023-08-25,0.45
2023-08-28,0.45
2023-08-29,0.45
2023-08-30,0.45
2023-08-31,0.45
2023-09-01,0.45
2023-09-04,0.45
2023-09-05,0.45
2023-09-06,0.45
2023-09-07,0.45
2023-09-08,0.45
2023-09-11,0.45
2023-09-12,0.45
2023-09-13,0.45
2023-09-14,0.45
2023-09-15,0.45
2023-09-18,0.45
2023-09-19,0.55
2023-09-20,0.456
2023-09-21,0.456
2023-09-22,0.456
2023-09-25,0.456
2023-09-26,0.456
2023-09-27,0.456
2023-09-28,0.456
2023-09-29,0.456
2023-10-02,0.456
2023-10-03,0.456
2023-10-04,0.456
2023-10-05,0.456
2023-10-06,0.456
2023-10-09,0.456
2023-10-10,0.456
2023-10-11,0.456
2023-10-12,0.456
2023-10-13,0.456
2023-10-16,0.456
2023-10-17,0.456
2023-10-18,0.456
2023-10-19,0.456
2023-10-20,0.456
2023-10-23,0.456
2023-10-24,0.456
2023-10-25,0.456
2023-10-26,0.456
2023-10-27,0.456
2023-10-30,0.456
2023-10-31,0.456
2023-11-01,0.456
2023-11-02,0.456
2023-11-03,0.456
2023-11-06,0.456
2023-11-07,0.456
2023-11-08,0.456
2023-11-09,0.456
2023-11-10,0.456
2023-11-13,0.456
2023-11-14,0.456
2023-11-15,0.55
2023-11-16,0.55
2023-11-17,0.55
2023-11-20,0.55
2023-11-21,0.55
2023-11-22,0.45
2023-11-23,0.54
2023-11-24,0.54
2023-11-27,0.54
2023-11-28,0.45
2023-11-29,0.45
2023-11-30,0.45
2023-12-01,0.45
2023-12-04,0.45
2023-12-05,0.45
2023-12-06,0.45
2023-12-07,0.45
2023-12-08,0.46
2023-12-11,0.46
2023-12-12,0.55
2023-12-13,0.55
2023-12-14,0.5
2023-12-15,0.5
2023-12-18,0.5
2023-12-19,0.5
2023-12-20,0.5
2023-12-21,0.5
2023-12-22,0.5
2023-12-27,0.5
2023-12-28,0.5
2023-12-29,0.5
2024-01-02,0.5
2024-01-03,0.45
2024-01-04,0.5
2024-01-05,0.55
2024-01-08,0.54
2024-01-09,0.54
2024-01-10,0.54
2024-01-11,0.54
2024-01-12,0.54
2024-01-15,0.54
2024-01-16,0.54
2024-01-17,0.54
2024-01-18,0.54
2024-01-19,0.54
2024-01-22,0.54
2024-01-23,0.54
2024-01-24,0.54
2024-01-25,0.54
2024-01-26,0.54
2024-01-29,0.54
2024-01-30,0.54
2024-01-31,0.54
2024-02-01,0.54
2024-02-02,0.54
2024-02-05,0.54
2024-02-06,0.54
2024-02-07,0.54
2024-02-08,0.54
2024-02-09,0.54
2024-02-12,0.54
2024-02-13,0.54
2024-02-14,0.54
2024-02-15,0.54
2024-02-16,0.54
2024-02-19,0.64
2024-02-20,0.64
2024-02-21,0.64
2024-02-22,0.64
2024-02-23,0.64
2024-02-26,0.64
2024-02-27,0.64
2024-02-28,0.64
2024-02-29,0.64
2024-03-01,0.64
2024-03-04,0.64
2024-03-05,0.64
2024-03-06,0.64
2024-03-07,0.64
2024-03-08,0.64
2024-03-11,0.64
2024-03-12,0.64
2024-03-13,0.64
2024-03-14,0.64
2024-03-15,0.64
2024-03-18,0.64
2024-03-19,0.64
2024-03-20,0.64
2024-03-21,0.64
2024-03-22,0.64
2024-03-25,0.64
2024-03-26,0.64
2024-03-27,0.64
2024-03-28,0.64
2024-04-02,0.64
2024-04-03,0.64
2024-04-04,0.64
2024-04-05,0.64
2024-04-08,0.64
2024-04-09,0.64
2024-04-10,0.64
2024-04-11,0.64
2024-04-12,0.64
2024-04-15,0.64
2024-04-16,0.64
2024-04-17,0.64
2024-04-18,0.64
2024-04-19,0.64
2024-04-22,0.64
2024-04-23,0.64
2024-04-24,0.64
2024-04-25,0.64
2024-04-26,0.64
2024-04-29,0.64
2024-04-30,0.64
2024-05-02,0.64
2024-05-03,0.64
2024-05-06,0.64
2024-05-07,0.64
2024-05-08,0.64
2024-05-09,0.64
2024-05-10,0.64
2024-05-13,0.64
2024-05-14,0.64
2024-05-15,0.64
2024-05-16,0.64
2024-05-17,0.64
2024-05-20,0.64
2024-05-21,0.64
2024-05-22,0.64
2024-05-23,0.64
2024-05-24,0.64
2024-05-27,0.64
2024-05-28,0.64
2024-05-29,0.64
2024-05-30,0.64
2024-05-31,0.64
2024-06-03,0.64
2024-06-04,0.64
2024-06-05,0.64
2024-06-06,0.64
2024-06-07,0.64
2024-06-10,0.64
2024-06-11,0.64
2024-06-12,0.64
2024-06-13,0.64
2024-06-14,0.64
