,UBI FP Equity_DX_SI_QTY,UBI FP Equity_DX_SHORT_INTEREST_VALUE,UBI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,UBI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,UBI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,UBI FP Equity_DX_SI_MV,UBI FP Equity_DX_DSS,UBI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,UBI FP Equity_DX_SUPPLY_SI_QTY,UBI FP Equity_DX_BROKER_SI_QTY,UBI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,UBI FP Equity_DX_BROKER_SI_MV_NEW_x,UBI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,UBI FP Equity_DX_SUPPLY_SI_QTY_INC_x,UBI FP Equity_DX_BROKER_SI_MV_INC_x,UBI FP Equity_DX_SUPPLY_SI_MV_NEW,UBI FP Equity_DX_BROKER_SI_QTY_ADD,UBI FP Equity_DX_BROKER_SI_QTY_NEW,UBI FP Equity_DX_SUPPLY_SI_MV_DEC,UBI FP Equity_DX_BROKER_SI_QTY_INC,UBI FP Equity_DX_SUPPLY_SI_QTY_DEC,UBI FP Equity_DX_BROKER_SI_MV_NEW_y,UBI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,UBI FP Equity_DX_BROKER_SI_MV_INC_y,UBI FP Equity_DX_SUPPLY_SI_QTY_INC_y,UBI FP Equity_DX_BROKER_SI_MV_ADD,UBI FP Equity_DX_SUPPLY_SI_QTY_ADD,UBI FP Equity_DX_BROKER_SI_QTY_DEC,UBI FP Equity_DX_SUPPLY_SI_MV,UBI FP Equity_DX_BROKER_SI_MV_DEC,UBI FP Equity_DX_SUPPLY_SI_MV_RMV,UBI FP Equity_DX_BROKER_SI_MV_RMV,UBI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,UBI FP Equity_DX_UTILIZATION_QUANTITY,UBI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,UBI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,UBI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,UBI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,UBI FP Equity_DX_ACTIVE_UTILIZATION_MV,UBI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,UBI FP Equity_DX_BROKER_SI_CON_RATIO,UBI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,UBI FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,1383861.0,48172201.41,11.5,9.83,7.26,47.99,2.0,25176680.6,763431.0,723260.0,26575033.11,,,8365.0,0.11,,,,0.33,3175.0,9423.0,,,0.11,8365.0,,,37446.0,26.52,1.25,,,46.36,46.36,883360.0,30749761.6,,30.62,46.41,19.5,0.2131,35.63,0.8403
2006-03-22,1309550.0,48060485.0,10.88,9.25,6.87,47.5,2.0,24511122.6,749711.0,667878.0,27514393.7,,,21480.0,0.73,,,,2.02,18149.0,80034.0,,,0.73,21480.0,,44834.0,73531.0,27.24,2.44,,,49.1,49.1,777289.0,28526506.3,,28.17,49.16,18.86,0.2195,38.39,0.8576
2006-03-29,1415529.0,53875033.74,11.76,9.78,7.43,53.15,2.0,29417449.38,739593.0,772923.0,28148909.58,,,17399.0,4.43,,,,0.89,112605.0,27517.0,,,4.43,17399.0,,,7560.0,27.86,0.23,,,49.19,49.19,764094.0,29081417.64,,28.72,49.24,17.68,0.2065,35.15,0.9414
2006-04-05,1347997.0,50954286.6,11.2,9.66,7.07,50.69,2.0,26572228.2,732956.0,702969.0,27705736.8,,,18048.0,,,,,0.93,,24684.0,,,,18048.0,,,38671.0,27.58,1.41,,1.09,49.77,49.77,739673.0,27959639.4,,27.83,49.78,18.0,0.215,35.56,0.9154
2006-04-12,1406613.0,53676352.08,11.69,10.1,7.38,53.5,2.0,28977024.96,731640.0,759356.0,27919382.4,2.59,,10122.0,0.57,,,68057.0,0.42,15000.0,11438.0,2.59,,0.57,10122.0,,,26671.0,27.88,0.8,,,49.92,49.92,733983.0,28008791.28,,27.94,49.94,17.06,0.191,33.11,0.9597
2006-04-19,1452224.0,57203103.36,12.06,11.76,7.62,56.01,2.0,31999530.03,723754.0,812377.0,28508670.06,,,,2.14,,,,0.03,54380.0,7887.0,,,2.14,,,,1358.0,27.93,0.0,,,49.0,49.0,753442.0,29678080.38,,29.06,49.01,16.2,0.1842,32.13,0.9831
2006-04-26,1546915.0,61845661.7,12.85,11.62,8.12,60.66,2.0,35886447.8,747952.0,897610.0,29903120.96,,,15851.0,1.9,,39762.0,,0.48,45471.0,13892.0,,,1.9,15851.0,1.56,22238.0,,29.44,,,,47.86,47.86,814945.0,32581501.1,,32.05,47.88,14.81,0.1698,30.08,0.9898
2006-05-03,1695657.0,68708021.64,14.09,12.36,8.9,67.36,2.0,41425135.76,798595.0,1022338.0,32359069.4,,,30073.0,5.05,,,,0.72,124728.0,18074.0,,,5.05,30073.0,,38644.0,,31.97,,,,50.68,50.68,777163.0,31490644.76,,31.0,50.77,14.77,0.153,27.42,1.0761
2006-05-10,1737540.0,69831732.6,12.89,14.07,9.12,68.75,2.0,42267300.53,823605.0,1051687.0,33100684.95,,,16685.0,1.54,,,,0.59,38803.0,12675.0,,,1.54,16685.0,,21000.0,9455.0,32.77,0.4,,,49.63,49.63,835848.0,33592731.12,,33.2,49.68,14.59,0.148,26.56,1.0471
2006-05-17,1756280.0,68196352.4,13.03,14.24,9.21,68.93,2.0,35916196.8,971590.0,924960.0,37726839.7,,57500.0,81403.0,0.15,2.24,6000.0,,0.46,4662.0,11771.0,,57500.0,0.15,81403.0,0.24,20853.0,137389.0,38.39,5.42,,,53.8,53.8,834454.0,32401848.82,,32.77,53.95,15.0,0.1468,25.87,0.9724
2006-05-24,1654964.0,62673486.68,12.27,12.57,8.68,63.28,2.0,32334845.06,932317.0,853838.0,35306844.79,,,16113.0,0.17,,,,2.87,16914.0,55386.0,,,0.17,16113.0,,,88036.0,35.66,3.62,,,49.53,49.53,950182.0,35983392.34,,36.24,49.6,13.65,0.1543,28.08,0.8791
2006-05-31,1556654.0,62297293.08,11.55,13.08,8.17,61.54,2.0,30692898.78,920256.0,766939.0,36828645.12,,,4342.0,,,,,0.0,,16998.0,,,,4342.0,,595.0,86899.0,36.41,3.19,,,48.56,48.56,975024.0,39020460.48,,38.61,48.54,14.36,0.1692,30.62,0.8213
2006-06-07,1614467.0,63932893.2,11.97,13.06,8.47,63.44,2.0,33429448.8,931332.0,844178.0,36880747.2,,,34823.0,5.05,,,,1.28,128135.0,31727.0,,,5.05,34823.0,,7980.0,50896.0,36.64,1.93,,,50.06,50.06,929058.0,36790696.8,,36.56,50.06,17.33,0.1731,29.2,0.8678
2006-06-14,1840766.0,66525283.24,13.65,15.23,9.66,68.06,2.0,36704217.68,1061457.0,1015612.0,38361055.98,,,95422.0,7.56,,,,1.68,206228.0,17109.0,,,7.56,95422.0,,120532.0,34795.0,39.2,1.61,2.7,,58.22,58.21,761880.0,27534343.2,68721.0,28.13,58.22,13.97,0.1348,24.85,1.0095
2006-06-21,1687245.0,63069218.1,12.51,13.89,8.85,63.42,2.0,36196100.64,939674.0,968328.0,35125014.12,,,21094.0,1.57,,55000.0,,5.42,28125.0,152829.0,,,1.57,21094.0,2.06,9953.0,130409.0,35.15,4.73,,,51.51,51.51,884609.0,33066684.42,,33.17,51.45,16.05,0.1698,31.93,0.9249
2006-06-28,1709176.0,64128283.52,12.68,15.57,8.97,64.45,2.0,35062852.72,972720.0,934511.0,36496454.4,,,8891.0,1.85,,,,1.67,46120.0,46089.0,,,1.85,8891.0,,70245.0,79937.0,36.51,3.02,,,53.67,53.67,839833.0,31510534.16,,31.59,53.62,16.37,0.1865,33.96,0.943
2006-07-03,1620508.0,62033046.24,12.02,15.78,8.5,61.84,2.0,32804849.88,932075.0,856971.0,35679831.0,,,2452.0,0.57,,,,0.83,10756.0,24603.0,,,0.57,2452.0,,,88296.0,35.37,3.33,0.69,,52.54,52.54,842087.0,32235090.36,18495.0,32.04,52.47,15.04,0.2065,36.9,0.9134
2006-07-04,1595236.0,61336824.2,11.83,15.99,8.37,61.32,2.0,32146853.05,925598.0,836069.0,35589243.1,,,2443.0,0.04,,,,0.25,339.0,9820.0,,,0.04,2443.0,,900.0,21242.0,35.55,0.8,,,51.96,51.96,855721.0,32902472.45,,32.84,51.98,14.36,0.21,37.45,0.8955
2006-07-05,1621682.0,61948252.4,12.03,16.4,8.51,62.32,2.0,31864300.8,957136.0,834144.0,36562595.2,,18495.0,13064.0,0.01,0.71,,,0.0,263.0,20.0,,18495.0,0.01,13064.0,,,2187.0,36.76,0.07,,,52.15,52.15,878143.0,33545062.6,,33.72,52.16,14.33,0.2055,36.92,0.8836
2006-07-06,1607499.0,60924212.1,11.92,16.36,8.43,61.05,2.0,31699105.2,938189.0,836388.0,35557363.1,,,1769.0,0.03,,,,0.28,2243.0,2221.0,,,0.03,1769.0,,,,35.62,,0.71,,51.57,51.57,881092.0,33393386.8,18495.0,33.46,51.56,14.42,0.2084,37.19,0.8836
2006-07-07,1544220.0,58495053.6,11.45,15.69,8.1,58.62,2.0,29328514.24,935403.0,774248.0,35433065.64,,,1180.0,,,,,0.16,,3965.0,,,,1180.0,,,62140.0,35.47,2.36,,,51.32,51.32,887217.0,33607779.96,,33.65,51.32,15.02,0.225,39.0,0.8473
2006-07-10,1541648.0,57950548.32,11.43,15.61,8.09,58.38,2.0,28935879.84,937955.0,769776.0,35257728.45,,,5551.0,,,,,0.11,,3000.0,,,,5551.0,,,4472.0,35.51,0.19,,,51.35,51.35,888511.0,33399128.49,,33.62,51.37,15.22,0.2257,39.02,0.8441
2006-07-11,1513385.0,55980111.15,11.22,15.35,7.94,56.45,2.0,28507416.21,893410.0,770679.0,33047235.9,,,3093.0,0.0,,,,2.03,903.0,47637.0,,,0.0,3093.0,,,,33.31,,,,48.61,48.61,944663.0,34943084.37,,35.22,48.6,15.16,0.2325,39.75,0.8234
2006-07-12,1596168.0,59090139.36,11.84,16.08,8.37,59.57,2.0,30666257.4,933048.0,828370.0,34541436.96,,16139.0,,2.32,0.6,,,0.65,60759.0,17414.0,,16139.0,2.32,,,40913.0,3068.0,34.72,0.12,,,50.93,50.93,898808.0,33273872.16,,33.47,50.91,14.18,0.2106,37.69,0.8713
2006-07-13,1579419.0,58122619.2,11.71,16.88,8.29,58.67,2.0,30441144.0,917651.0,827205.0,33769556.8,,,9325.0,,,,,0.34,,8584.0,,,,9325.0,,,1165.0,34.01,0.06,0.6,,50.79,50.79,889026.0,32716156.8,16139.0,32.96,50.78,14.43,0.2146,38.11,0.8742
2006-07-14,1584463.0,58878645.08,11.75,16.71,8.31,59.2,2.0,31379984.96,904897.0,844456.0,33625972.52,,,,0.66,,,,0.33,18392.0,12754.0,,,0.66,,,,1141.0,33.69,0.02,,,50.26,50.26,895412.0,33273509.92,,33.36,50.25,15.27,0.2145,38.12,0.8801
2006-07-17,1580373.0,57778436.88,11.72,17.09,8.29,58.58,2.0,30449800.32,913815.0,832872.0,33409076.4,,,10212.0,0.03,,1000.0,,0.07,1805.0,1294.0,,,0.03,10212.0,0.04,,14389.0,33.84,0.52,,,50.58,50.58,892807.0,32641023.92,,33.0,50.62,14.41,0.2128,37.97,0.8748
2006-07-18,1500685.0,52478954.45,11.13,16.14,7.87,53.36,2.0,26250160.56,917864.0,750648.0,32097704.08,,,11396.0,0.36,,,,0.82,11444.0,7346.0,,,0.36,11396.0,,,93668.0,32.7,3.77,,,50.22,50.22,909653.0,31810565.41,,32.39,50.24,14.36,0.2254,40.46,0.8212
2006-07-19,1649598.0,58395769.2,12.24,17.04,8.65,58.4,2.0,31142442.0,998353.0,879730.0,35341696.2,,19612.0,17248.0,5.79,0.69,,,0.78,163486.0,20371.0,,19612.0,5.79,17248.0,,64000.0,34404.0,35.33,1.23,,,54.17,54.17,844482.0,29894662.8,,29.89,54.17,12.94,0.2716,47.07,0.8951
2006-07-20,1639564.0,57679861.52,12.16,17.22,8.6,58.13,2.0,31086947.72,982638.0,883654.0,34569204.84,,,6532.0,0.21,,,,0.1,5601.0,2636.0,,,0.21,6532.0,,,1677.0,34.75,0.06,0.69,,54.13,54.13,832726.0,29295300.68,19612.0,29.47,54.11,12.74,0.2749,47.36,0.9032
2006-07-21,1646187.0,56530061.58,12.21,17.25,8.64,57.24,2.0,30392857.38,988678.0,885057.0,33951202.52,,,12229.0,0.01,,,,0.26,1402.0,6189.0,,,0.01,12229.0,,,,34.37,,,,54.25,54.25,833937.0,28637396.58,,28.99,54.25,12.86,0.272,46.98,0.9032
2006-07-24,1595816.0,54257744.0,11.84,16.73,8.37,54.98,2.0,28425428.0,980183.0,836042.0,33326222.0,,,3113.0,0.0,,2600.0,,0.55,793.0,11607.0,,,0.0,3113.0,0.09,,52408.0,33.69,1.99,,,53.63,53.63,847467.0,28813878.0,,29.17,53.6,13.27,0.2574,45.02,0.8732
2006-07-25,1572117.0,54065103.63,11.66,16.07,8.25,54.64,2.0,28603194.7,957537.0,831730.0,32929697.43,,,1536.0,,,,,0.64,,24182.0,,,,1536.0,,,4312.0,33.09,0.15,,,52.66,52.66,860700.0,29599473.0,,29.83,52.59,13.25,0.264,46.01,0.8646
2006-07-26,1571169.0,54205330.5,11.65,16.17,8.24,54.28,2.0,28181187.0,970189.0,816846.0,33471520.5,,22300.0,2951.0,0.01,0.76,,,0.52,396.0,12599.0,,22300.0,0.01,2951.0,,,15281.0,33.4,0.57,,,52.51,52.51,877281.0,30266194.5,,30.29,52.44,13.76,0.2621,45.91,0.8504
2006-07-27,1525021.0,52796227.02,11.31,15.8,8.0,53.13,2.0,26595118.62,970266.0,768201.0,33590608.92,,,10739.0,0.03,,,,0.28,581.0,11862.0,,,0.03,10739.0,,23500.0,49225.0,33.68,1.67,0.76,,54.28,54.28,817369.0,28297314.78,22300.0,28.42,54.24,13.95,0.2723,46.95,0.8531
2006-07-28,1521189.0,54382506.75,11.28,16.39,7.98,54.05,2.0,28251795.0,940306.0,790260.0,33615939.5,,,3721.0,0.78,,,,0.73,23000.0,33681.0,,,0.78,3721.0,,,942.0,33.31,0.0,,,53.32,53.32,823331.0,29434083.25,,29.22,53.27,12.99,0.2732,47.14,0.8625
2006-07-31,1490094.0,56623572.0,11.05,15.43,7.82,55.86,2.0,29461590.0,922877.0,775305.0,35069326.0,,,1491.0,,,,,0.0,,18920.0,,,,1491.0,,,14955.0,34.4,0.47,,,53.48,53.48,802851.0,30508338.0,,29.95,53.46,12.98,0.2835,48.51,0.8635
2006-08-01,1485362.0,56993339.94,11.02,14.14,7.79,56.39,2.0,29810842.47,918437.0,776931.0,35240427.69,,,9674.0,0.09,,,,0.33,1626.0,14114.0,,,0.09,9674.0,,,,34.95,,,,53.73,53.73,790935.0,30348175.95,,30.04,53.78,13.35,0.282,48.28,0.869
2006-08-02,1380700.0,53156950.0,10.24,12.62,7.24,52.77,2.0,26139151.5,898883.0,678939.0,34606995.5,,22300.0,3448.0,0.09,0.86,,,1.61,2008.0,45302.0,,22300.0,0.09,3448.0,,,100000.0,34.41,3.79,,,50.89,50.89,867389.0,33394476.5,,33.16,50.92,14.48,0.2495,44.05,0.7817
2006-08-03,1351778.0,52056970.78,10.03,11.63,7.09,51.79,2.0,26595699.18,895563.0,690618.0,34488131.13,,,40187.0,0.01,,40000.0,,0.78,183.0,21207.0,,,0.01,40187.0,1.55,,28504.0,34.44,1.03,0.86,,51.76,51.76,834512.0,32137057.12,22300.0,32.03,51.81,14.3,0.2512,44.67,0.7813
2006-08-04,1316125.0,52315968.75,9.76,11.07,6.9,51.48,2.0,25849186.5,885383.0,650294.0,35193974.25,,,13625.0,,,,,0.48,,23805.0,,,,13625.0,,,40325.0,34.63,1.02,,,51.36,51.36,838525.0,33331368.75,,32.83,51.34,14.38,0.246,44.17,0.7634
2006-08-07,1323650.0,51238491.5,9.82,10.68,6.94,51.34,2.0,25419386.02,888992.0,656662.0,34412880.32,,,14872.0,0.27,,,,0.46,7281.0,11262.0,,,0.27,14872.0,,,913.0,34.62,0.0,,,51.99,51.99,820925.0,31778006.75,,31.89,52.05,14.95,0.2408,43.36,0.7741
2006-08-08,1294065.0,49963849.65,9.6,10.36,6.79,49.93,2.0,25205496.03,862167.0,652823.0,33288267.87,,,3581.0,0.05,,,,1.24,1500.0,30406.0,,,0.05,3581.0,,,5338.0,33.33,0.21,,,50.49,50.49,845440.0,32642438.4,,32.65,50.51,15.04,0.2526,44.7,0.7578
2006-08-09,1295934.0,50282239.2,9.61,10.37,6.8,50.04,2.0,24909134.4,863694.0,641988.0,33511327.2,,17111.0,1659.0,,0.67,,,0.66,,17244.0,,17111.0,,1659.0,,,10835.0,33.35,0.4,,,50.07,50.07,861421.0,33423134.8,,33.3,50.04,15.52,0.2474,43.79,0.7512
2006-08-10,1086645.0,42161826.0,8.06,8.85,5.7,42.02,2.0,24990110.0,640121.0,644075.0,24836694.8,,,2994.0,0.08,,,,0.39,2087.0,10000.0,,,0.08,2994.0,,,,24.78,,8.37,,42.65,42.65,860924.0,33403851.2,216567.0,33.31,42.65,15.2,0.2486,44.1,0.7239
2006-08-11,1072001.0,41529318.74,7.95,8.81,5.62,41.61,2.0,24482982.68,637148.0,631982.0,24683113.52,,,4586.0,,,,,0.17,,7559.0,,,,4586.0,,,12093.0,24.8,0.47,,,42.63,42.63,857406.0,33215908.44,,33.17,42.78,15.35,0.2458,43.65,0.7173
2006-08-14,1130233.0,44259924.28,8.38,9.26,5.93,43.95,2.0,27028780.24,637148.0,690214.0,24950715.68,,,,2.3,,,,,59232.0,,,,2.3,,,,1000.0,24.76,0.04,,,42.47,42.47,863110.0,33799387.6,,33.75,42.32,14.48,0.2273,41.67,0.7534
2006-08-15,1115363.0,44212989.32,8.27,9.24,5.85,43.64,2.0,27361272.16,622669.0,690244.0,24682599.16,,,421.0,0.03,,,,0.57,388.0,14900.0,,,0.03,421.0,,,358.0,24.32,0.01,,,41.64,41.64,872754.0,34595968.56,,34.46,41.37,14.65,0.234,42.33,0.7459
2006-08-16,1153583.0,45866460.08,8.56,9.49,6.05,45.47,2.0,27953506.56,654334.0,703056.0,26016319.84,,22300.0,24256.0,0.04,0.89,12500.0,,0.56,312.0,14891.0,,22300.0,0.04,24256.0,0.49,,,25.88,,,,43.36,43.36,854577.0,33977981.52,,33.88,43.3,15.75,0.2241,40.78,0.7645
2006-08-17,1130830.0,45606373.9,8.39,9.17,5.93,45.15,2.0,28325614.18,626034.0,702346.0,25247951.22,,,,,,,,0.23,,6000.0,,,,,,,709.0,24.97,0.0,0.89,,42.56,42.56,844835.0,34072195.55,22300.0,33.97,42.37,14.78,0.2294,41.86,0.7688
2006-08-18,1131462.0,45778952.52,8.39,9.14,5.94,45.42,2.0,28442489.88,626034.0,702978.0,25329335.64,,,,0.05,,,,,632.0,,,,0.05,,,,,25.25,,,,42.7,42.7,840002.0,33986480.92,,33.83,42.74,14.86,0.2276,41.58,0.7718
2006-08-21,1124402.0,46449046.62,8.34,8.89,5.9,45.67,2.0,28601391.6,621800.0,692360.0,25686558.0,,,5766.0,,,,,0.37,,10000.0,,,,5766.0,,,10618.0,25.17,0.3,,,42.3,42.3,848231.0,35040422.61,,34.86,41.93,15.12,0.2269,41.44,0.7649
2006-08-22,1110850.0,46055841.0,8.24,8.6,5.83,45.79,2.0,28243090.98,619264.0,681213.0,25674685.44,,,,0.07,,,,0.1,353.0,2536.0,,,0.07,,,,11500.0,25.76,0.45,,,42.36,42.36,842744.0,34940166.24,,34.73,42.59,15.43,0.2231,40.77,0.7598
2006-08-23,1425519.0,59159038.5,10.57,11.04,7.48,58.87,2.0,30717387.0,889348.0,740178.0,36907942.0,,244756.0,17498.0,2.5,10.12,,,,58965.0,,,244756.0,2.5,17498.0,,7831.0,,36.87,,,,51.15,51.15,849419.0,35250888.5,,35.12,51.21,14.85,0.2361,42.59,0.8198
2006-08-24,1435415.0,59541014.2,10.65,11.31,7.53,59.35,2.0,30702541.96,892969.0,740177.0,37040354.12,,,26544.0,,,,,0.02,,623.0,,,,26544.0,,,1.0,37.06,0.0,0.93,,52.38,52.38,811906.0,33677860.88,22300.0,33.57,52.47,14.07,0.2342,42.23,0.8419
2006-08-25,1447674.0,59253296.82,10.74,11.58,7.59,59.33,2.0,30710392.95,895158.0,750315.0,36638816.94,,,2189.0,0.39,,,,,10138.0,,,,0.39,2189.0,,,,36.94,,,,52.26,52.26,817609.0,33464736.37,,33.35,52.55,14.03,0.2287,41.57,0.8452
2006-08-28,1446203.0,59569101.57,10.73,11.78,7.59,59.11,2.0,30803241.27,896201.0,747833.0,36914519.19,,,1043.0,0.08,,,,,2000.0,,,,0.08,1043.0,,,4482.0,36.64,0.18,,,52.21,52.21,820270.0,33786921.3,,33.68,52.1,13.91,0.2314,42.03,0.8425
2006-08-29,1523560.0,62283132.8,11.3,12.72,7.99,62.06,2.0,33736587.92,896770.0,825259.0,36659957.6,,,483.0,3.16,,,,0.02,77426.0,538.0,,,3.16,483.0,,625.0,,36.69,,,,52.2,52.2,821321.0,33575602.48,,33.47,52.29,13.12,0.2142,39.3,0.8868
2006-08-30,1495830.0,62420985.9,11.09,13.07,7.85,61.71,2.0,33188620.14,913209.0,795318.0,38108211.57,,22300.0,,0.02,0.93,1000.0,,0.13,618.0,5861.0,,22300.0,0.02,,0.04,,31559.0,37.55,1.06,,,52.67,52.67,820711.0,34248270.03,,34.23,52.31,13.79,0.2198,40.3,0.8627
2006-08-31,1497670.0,62362978.8,11.11,13.54,7.86,62.21,2.0,33576830.4,889651.0,806360.0,37045067.64,,,8.0,0.49,,,,0.0,11042.0,1266.0,,,0.49,8.0,,,,37.0,,0.93,,52.12,52.12,817211.0,34028666.04,22300.0,34.04,52.09,13.21,0.2163,39.96,0.8774
