,VAC FP Equity_DX_SI_QTY,VAC FP Equity_DX_SHORT_INTEREST_VALUE,VAC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,VAC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,VAC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,VAC FP Equity_DX_SI_MV,VAC FP Equity_DX_DSS,VAC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,VAC FP Equity_DX_SUPPLY_SI_QTY,VAC FP Equity_DX_BROKER_SI_QTY,VAC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,VAC FP Equity_DX_BROKER_SI_MV_NEW_x,VAC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,VAC FP Equity_DX_SUPPLY_SI_QTY_INC_x,VAC FP Equity_DX_BROKER_SI_MV_INC_x,VAC FP Equity_DX_SUPPLY_SI_MV_NEW,VAC FP Equity_DX_BROKER_SI_QTY_ADD,VAC FP Equity_DX_BROKER_SI_QTY_NEW,VAC FP Equity_DX_SUPPLY_SI_MV_DEC,VAC FP Equity_DX_BROKER_SI_QTY_INC,VAC FP Equity_DX_SUPPLY_SI_QTY_DEC,VAC FP Equity_DX_BROKER_SI_MV_NEW_y,VAC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,VAC FP Equity_DX_BROKER_SI_MV_INC_y,VAC FP Equity_DX_SUPPLY_SI_QTY_INC_y,VAC FP Equity_DX_BROKER_SI_MV_ADD,VAC FP Equity_DX_SUPPLY_SI_QTY_ADD,VAC FP Equity_DX_BROKER_SI_QTY_DEC,VAC FP Equity_DX_SUPPLY_SI_MV,VAC FP Equity_DX_BROKER_SI_MV_DEC,VAC FP Equity_DX_SUPPLY_SI_MV_RMV,VAC FP Equity_DX_BROKER_SI_MV_RMV,VAC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,VAC FP Equity_DX_UTILIZATION_QUANTITY,VAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,VAC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,VAC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,VAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,VAC FP Equity_DX_ACTIVE_UTILIZATION_MV,VAC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,VAC FP Equity_DX_BROKER_SI_CON_RATIO,VAC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,VAC FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-04-26,26465.0,1746121.42,0.61,1.16,0.3,2.09,0.0,1332963.96,6262.0,20203.0,413157.47,,,18.0,0.0,,,,0.0,28.0,58.0,,,0.0,18.0,,6000.0,1153.0,0.49,0.23,,,1.15,1.15,540129.0,35636909.84,,42.59,1.13,24.0,0.5756,71.85,0.0484
2006-05-03,28680.0,1833912.09,0.66,1.42,0.33,2.29,0.0,1434326.43,6249.0,22431.0,399585.66,,,,,,2400.0,,0.0,,13.0,,,,,0.2,,172.0,0.49,0.0,,,1.12,1.12,550887.0,35225883.16,,43.33,1.11,21.93,0.4876,65.62,0.0515
2006-05-10,38596.0,2514455.11,0.88,1.83,0.44,3.06,0.0,2116074.63,6115.0,32481.0,398380.48,,,,0.79,,,,0.01,10051.0,134.0,,,0.79,,,,1.0,0.47,0.0,,,1.1,1.1,548243.0,35716976.21,,42.92,1.09,16.2,0.5876,74.6,0.0696
2006-05-17,38513.0,2320349.51,0.88,1.84,0.44,2.92,0.0,1956267.98,6044.0,32470.0,364141.78,,,,0.0,,,,0.01,11.0,71.0,,,0.0,,,,23.0,0.44,0.1,,,1.05,1.05,569697.0,34323375.42,,42.57,1.03,16.06,0.5868,74.56,0.0669
2006-05-24,37862.0,2200950.28,0.87,1.75,0.43,2.83,0.0,1849607.42,6044.0,31818.0,351342.86,,,0.0,,,,,,,,,,,0.0,,,652.0,0.44,0.08,,,1.02,1.02,587582.0,34156641.73,,42.9,1.01,16.42,0.5816,74.14,0.0638
2006-05-31,42967.0,2549446.52,0.98,2.22,0.49,3.23,0.0,1981195.32,9873.0,33390.0,585814.36,,,2908.0,0.07,,705.0,,,875.0,,,,0.07,2908.0,0.05,921.0,7.0,0.73,0.0,,,1.42,1.42,686300.0,40721603.72,,50.51,1.42,15.67,0.5344,70.97,0.0617
2006-06-07,44611.0,2648845.58,1.02,2.6,0.51,3.34,0.0,2028182.9,11455.0,34158.0,680157.95,,,1582.0,0.05,,,,,767.0,,,,0.05,1582.0,,,,0.85,,,,1.63,1.63,691832.0,41078571.16,,51.21,1.63,15.2,0.5044,68.72,0.0634
2006-06-14,45220.0,2981670.86,1.04,2.48,0.52,3.66,0.0,2291046.79,11788.0,34746.0,777265.28,,,334.0,0.25,,,,,600.0,,,,0.25,334.0,,,12.0,0.95,0.0,,,1.66,1.66,697112.0,45965469.7,,56.05,1.66,15.13,0.5008,68.4,0.0638
2006-06-21,45825.0,3099575.39,1.05,2.71,0.52,3.77,0.0,2682307.94,7517.0,39656.0,508445.35,,,1624.0,0.48,,,,0.49,5615.0,6135.0,,,0.48,1624.0,,240.0,705.0,0.62,0.06,,,1.05,1.05,710677.0,48069764.03,,58.26,1.05,14.45,0.5383,71.2,0.0638
2006-06-28,42825.0,3003348.07,0.98,2.52,0.49,3.46,0.0,2575410.42,6102.0,36723.0,427937.65,,,52.0,0.02,,,,0.13,803.0,1466.0,,,0.02,52.0,,,3736.0,0.49,0.32,,,0.84,0.84,721648.0,50609693.54,,59.03,0.83,15.82,0.6451,78.6,0.0588
2006-07-03,43581.0,3076272.18,1.0,2.54,0.5,3.55,0.0,2641171.07,7564.0,37417.0,533923.56,,,62.0,0.08,,,,,694.0,,,,0.08,62.0,,1400.0,,0.62,,,,1.02,1.02,734919.0,51876066.99,,60.71,1.01,15.41,0.6507,79.04,0.0587
2006-07-04,40118.0,2815169.99,0.92,2.37,0.46,3.29,0.0,2400101.18,7315.0,34203.0,513309.95,,,12.0,0.14,,,,0.02,1600.0,262.0,,,0.14,12.0,,,4814.0,0.6,0.38,,,0.98,0.98,736459.0,51678978.9,,61.06,0.98,21.46,0.6001,74.32,0.0539
2006-07-05,40149.0,2769000.35,0.92,2.42,0.46,3.29,0.0,2358847.04,7347.0,34202.0,506708.65,,,1.0,,,,,0.0,,1.0,,,,1.0,,33.0,1.0,0.61,0.0,,,1.01,1.01,717812.0,49506131.65,,59.39,1.01,21.44,0.5991,74.25,0.0554
2006-07-06,39826.0,2797987.01,0.91,2.44,0.45,3.27,0.0,2391489.93,7187.0,34040.0,504924.74,,,,,,,,0.01,,160.0,,,,,,,162.0,0.59,0.01,,,1.01,1.01,705397.0,49557867.77,,58.06,1.01,21.56,0.5991,74.22,0.0559
2006-07-07,45246.0,3252040.19,1.04,2.74,0.52,3.73,0.0,2832939.14,7231.0,39415.0,519725.56,,,78.0,0.5,,,,0.0,6000.0,33.0,,,0.5,78.0,,,625.0,0.6,0.04,,,1.01,1.01,709686.0,51008429.41,,58.99,1.01,33.38,0.5094,62.98,0.0631
2006-07-10,45918.0,3298433.35,1.05,2.84,0.52,3.79,0.0,2865854.28,7421.0,39896.0,533073.61,,,190.0,0.04,,,,,481.0,,,,0.04,190.0,,,,0.62,,,,1.03,1.03,709865.0,50991819.93,,59.45,1.03,32.95,0.5112,63.34,0.064
2006-07-11,46490.0,3268098.59,1.06,2.93,0.53,3.83,0.0,2850957.33,7334.0,40556.0,515556.79,,,,0.05,,,,0.01,660.0,87.0,,,0.05,,,,,0.61,,,,1.03,1.03,708122.0,49778716.1,,59.05,1.02,32.52,0.516,63.95,0.065
2006-07-12,46351.0,3283346.98,1.06,2.94,0.53,3.82,0.0,2870369.63,7230.0,40521.0,512148.58,,,,,,,,0.01,,104.0,,,,,,,35.0,0.6,0.0,,,1.0,1.0,715177.0,50660702.94,,59.69,1.0,32.56,0.5168,64.0,0.0642
2006-07-13,45959.0,3297561.88,1.05,2.94,0.52,3.79,0.0,2878326.17,7243.0,40116.0,519685.82,,,13.0,,,,,,,,,,,13.0,,,405.0,0.6,0.03,,,1.0,1.0,715253.0,51319459.27,,59.87,1.0,32.85,0.5145,63.67,0.0636
2006-07-14,46446.0,3272719.66,1.06,2.92,0.53,3.83,0.0,2853958.67,7342.0,40503.0,517338.58,,,99.0,0.03,,,,,387.0,,,,0.03,99.0,,,,0.61,,,,1.02,1.02,712969.0,50237860.42,,59.79,1.01,32.57,0.516,63.93,0.0645
2006-07-17,39964.0,2762878.8,0.92,2.56,0.46,3.27,0.0,2365702.87,7145.0,34219.0,493963.79,,,,,,,,0.02,,197.0,,,,,,,6285.0,0.59,0.54,,,0.99,0.99,712850.0,49282307.86,,59.32,0.98,21.63,0.6069,74.75,0.0555
2006-07-18,39397.0,2672968.56,0.9,2.52,0.45,3.22,0.0,2292821.77,7002.0,33794.0,475064.75,,,,,,,,0.01,,143.0,,,,,,,424.0,0.57,0.04,,,0.97,0.97,714562.0,48480893.44,,59.02,0.96,21.96,0.604,74.47,0.0546
2006-07-19,38607.0,2705933.65,0.88,2.44,0.44,3.17,0.0,2325489.49,6828.0,33179.0,478569.04,,,,,,,,0.01,,174.0,,,,,,,616.0,0.56,0.04,,,0.92,0.92,731529.0,51272280.6,,60.06,0.93,22.29,0.6012,74.18,0.0523
2006-07-20,39696.0,2757536.91,0.91,2.43,0.45,3.25,0.0,2365885.53,7037.0,34058.0,488834.82,,,209.0,0.07,,,,,879.0,,,,0.07,209.0,,,,0.58,,,,0.96,0.96,727954.0,50568319.74,,60.21,0.95,21.73,0.6065,74.7,0.054
2006-07-21,37659.0,2708290.94,0.86,2.31,0.43,3.07,0.0,2323179.86,6756.0,32304.0,485865.63,,,,,,,,0.02,,282.0,,,,,,,1755.0,0.56,0.16,,,0.91,0.91,735702.0,52908868.02,,60.71,0.91,18.09,0.6554,78.85,0.0507
2006-07-24,38782.0,2809986.79,0.89,2.38,0.44,3.17,0.0,2404595.73,6994.0,33187.0,506756.94,,,239.0,0.08,,,,,884.0,,,,0.08,239.0,,,,0.58,,,,0.94,0.94,737938.0,53468001.52,,61.53,0.93,17.58,0.661,79.32,0.0521
2006-07-25,38539.0,2781178.47,0.88,2.61,0.44,3.14,0.0,2411259.15,6526.0,33413.0,470950.74,,,32.0,0.02,,,,0.04,225.0,500.0,,,0.02,32.0,,,,0.54,,,,0.88,0.88,737811.0,53244351.71,,61.57,0.87,17.73,0.6816,80.61,0.0518
2006-07-26,40559.0,2997684.25,0.93,2.9,0.46,3.32,0.0,2451790.72,8786.0,33173.0,649366.45,,,,,,,,0.01,,120.0,,,,,,2380.0,239.0,0.73,0.01,,,1.92,1.15,448320.0,33134983.72,,0.0,586.98,17.79,0.6812,80.58,0.0531
2006-07-27,42067.0,3142326.81,0.96,3.07,0.48,3.39,0.0,2567300.5,7698.0,34369.0,575026.31,,,312.0,0.05,,,,0.12,1196.0,1400.0,,,0.05,312.0,,,,0.62,,,,1.64,1.0,462034.0,34513082.09,,0.0,0.0,17.46,0.6863,80.96,0.0544
2006-07-28,43366.0,3210549.38,0.99,3.27,0.49,3.49,0.0,2566381.37,8701.0,34665.0,644168.02,,,1186.0,0.02,,,,0.01,302.0,184.0,,,0.02,1186.0,,,6.0,0.7,0.0,,,1.86,1.13,459369.0,34008828.55,,0.0,0.0,16.82,0.6525,78.93,0.0562
2006-07-31,42300.0,3161487.86,0.97,3.25,0.48,3.48,0.0,2638908.11,8122.0,35308.0,607035.56,,,,0.03,,1226.0,,0.03,283.0,579.0,,,0.03,,0.11,,866.0,0.67,0.02,,,1.76,1.06,452510.0,33820446.1,,0.0,0.0,17.76,0.6488,78.48,0.0552
2006-08-01,42427.0,3167456.48,0.97,3.12,0.48,3.5,0.0,2644636.16,8142.0,35424.0,607854.21,,,25.0,0.02,,,,0.0,215.0,4.0,,,0.02,25.0,,,100.0,0.67,0.01,,,1.77,1.06,451774.0,33727920.56,,0.0,0.0,17.39,0.6531,78.83,0.0554
2006-08-02,40713.0,3025971.14,0.93,3.03,0.46,3.39,0.0,2683558.42,5733.0,36106.0,426102.04,,,,0.09,,,,0.19,1010.0,2410.0,,,0.09,,,,328.0,0.48,0.0,,,0.74,0.74,773256.0,57471823.26,,66.32,0.72,18.88,0.622,76.43,0.0523
2006-08-03,40057.0,2972224.56,0.92,3.03,0.46,3.34,0.0,2633427.91,5686.0,35491.0,421900.51,,,,,,,,0.0,,47.0,,,,,,,615.0,0.47,0.05,,,0.72,0.72,779033.0,57804154.47,,66.75,0.71,17.84,0.6333,77.41,0.051
2006-08-04,39702.0,2934344.05,0.91,2.95,0.45,3.31,0.0,2599165.71,5653.0,35167.0,417808.85,,,,,,,,0.0,,34.0,,,,,,,324.0,0.47,0.02,,,0.72,0.72,779298.0,57597311.16,,66.71,0.7,17.28,0.6396,77.94,0.0506
2006-08-07,38667.0,2867481.2,0.89,2.89,0.44,3.23,0.0,2530208.99,5660.0,34119.0,419736.3,,,8.0,,,,,,,,,,,8.0,,,1049.0,0.47,0.08,,,0.72,0.72,779579.0,57812297.9,,66.91,0.7,15.18,0.664,79.91,0.0492
2006-08-08,48269.0,3571532.83,1.11,3.69,0.55,4.2,0.0,3247890.65,5446.0,43895.0,402961.9,,,,0.96,,,,0.0,10758.0,214.0,,,0.96,,,,982.0,0.47,0.0,,,0.71,0.71,761280.0,56328834.54,,66.96,0.7,28.06,0.4518,59.88,0.063
2006-08-09,48112.0,3555920.63,1.1,3.76,0.55,4.18,0.0,3234045.95,5424.0,43757.0,400883.64,,,,,,,,0.0,,22.0,,,,,,,138.0,0.47,0.01,,,0.7,0.7,774733.0,57259915.55,,67.89,0.69,27.97,0.4523,59.95,0.0617
2006-08-10,47463.0,3517807.34,1.09,3.76,0.54,4.13,0.0,3193249.72,5446.0,43084.0,403640.28,,,22.0,,,,,,,,,,,22.0,,,673.0,0.47,0.05,,,0.81,0.81,666843.0,49424292.67,,58.64,0.8,27.05,0.4568,60.72,0.0706
2006-08-11,38514.0,2865730.05,0.88,3.26,0.44,3.36,0.0,2539304.39,5457.0,34127.0,406041.67,,,11.0,,,,,,,,,,,11.0,,,8958.0,0.48,0.78,,,0.82,0.82,663575.0,49374949.75,,58.83,0.8,34.11,0.3945,50.41,0.0576
2006-08-14,38510.0,2878224.52,0.88,3.34,0.44,3.36,0.0,2551163.75,5448.0,34134.0,407181.7,,,,0.01,,,,0.0,47.0,9.0,,,0.01,,,,40.0,0.48,0.0,,,0.81,0.81,663426.0,49584237.42,,58.96,0.8,33.95,0.3947,50.54,0.0576
2006-08-15,39018.0,2921052.59,0.89,3.45,0.44,3.41,0.0,2558485.12,5917.0,34175.0,442971.66,,,,0.01,,,,0.0,41.0,9.0,,,0.01,,,479.0,,0.52,,,,0.89,0.89,662425.0,49591938.72,,58.88,0.87,33.37,0.384,49.9,0.0584
2006-08-16,39045.0,2937664.98,0.89,3.57,0.44,3.42,0.0,2572685.78,5927.0,34194.0,445935.21,,,9.0,0.0,,,,,19.0,,,,0.0,9.0,,,,0.52,,,,0.85,0.85,691972.0,52062540.96,,61.82,0.83,33.33,0.384,49.93,0.0559
2006-08-17,39137.0,2955962.21,0.9,3.55,0.45,3.43,0.0,2586702.96,5968.0,34248.0,450754.59,,,41.0,0.01,,,,,55.0,,,,0.01,41.0,,,,0.52,,,,0.87,0.87,676324.0,51081794.28,,60.62,0.86,33.22,0.3842,50.0,0.0574
2006-08-18,39189.0,2950126.45,0.9,3.6,0.45,3.44,0.0,2581558.25,5978.0,34293.0,450020.56,,,10.0,0.01,,,,,45.0,,,,0.01,10.0,,,,0.53,,,,0.88,0.88,676899.0,50956585.86,,60.68,0.86,33.13,0.3843,50.07,0.0574
2006-08-21,43620.0,3276444.94,1.0,3.85,0.5,3.85,0.0,2938209.46,5575.0,39117.0,418757.0,,,,,,5000.0,,0.03,,402.0,,,,,0.45,,176.0,0.49,0.01,,,0.8,0.8,693024.0,52055363.96,,62.05,0.79,29.13,0.3132,43.94,0.0624
2006-08-22,43146.0,3228300.63,0.99,3.83,0.49,3.81,0.0,2899380.0,5466.0,38750.0,408980.93,,,41.0,,,,,0.01,,150.0,,,,41.0,,,367.0,0.48,0.03,,,0.78,0.78,696340.0,52102045.69,,62.48,0.77,28.75,0.3161,44.43,0.0615
2006-08-23,47714.0,3574053.14,1.09,4.34,0.54,4.22,0.0,2866493.39,10511.0,38268.0,787334.38,,,,,,,,0.0,,52.0,,,,,,5097.0,482.0,0.93,0.04,,,1.3,1.3,797895.0,59766926.42,,68.45,1.34,28.15,0.3162,44.75,0.059
2006-08-24,43009.0,3221621.56,0.98,3.98,0.49,3.81,0.0,2515260.31,9430.0,33579.0,706361.26,,,,,,,,0.09,,1080.0,,,,,,,4690.0,0.83,0.41,,,1.19,1.19,782182.0,58589932.31,,67.04,1.23,18.17,0.3406,51.0,0.0543
2006-08-25,34580.0,2541422.68,0.79,3.31,0.39,2.97,0.0,1826179.03,9732.0,24848.0,715243.65,,,302.0,0.0,,,,,539.0,,,,0.0,302.0,,,9270.0,0.84,0.83,,,1.22,1.22,787829.0,57900708.11,,66.73,1.24,20.78,0.5551,71.08,0.0434
2006-08-28,33954.0,2472858.0,0.78,3.25,0.39,2.9,0.0,1768376.78,9674.0,24281.0,704554.05,,,25.0,,,,,0.01,,84.0,,,,25.0,,,567.0,0.83,0.05,,,1.21,1.21,788390.0,57418169.32,,66.2,1.23,21.14,0.5632,71.65,0.0425
2006-08-29,33386.0,2457829.6,0.76,3.19,0.38,2.88,0.0,1754919.49,9547.0,23838.0,702836.49,,,,,,,,0.0,,127.0,,,,,,,442.0,0.82,0.03,,,1.2,1.2,786429.0,57895778.91,,66.21,1.23,21.54,0.5655,71.73,0.0419
2006-08-30,32706.0,2334435.91,0.75,3.15,0.37,2.77,0.0,1708607.8,8768.0,23938.0,625828.11,,,13.0,0.02,,,,0.07,505.0,793.0,,,0.02,13.0,,,405.0,0.74,0.03,,,1.08,1.08,803667.0,57362841.74,,69.14,1.06,21.23,0.5886,73.54,0.0403
2006-08-31,31725.0,2263098.39,0.73,3.19,0.36,2.69,0.0,1646408.54,8645.0,23080.0,616689.85,,,,,,,,0.01,,122.0,,,,,,,858.0,0.73,0.07,,,1.09,1.09,783116.0,55863469.17,,67.11,1.08,21.96,0.593,73.68,0.0401
2006-09-01,28147.0,2042923.89,0.64,2.79,0.32,2.46,0.0,1562948.91,6613.0,21534.0,479974.98,,,,,,,,0.16,,2032.0,,,,,,,1546.0,0.58,0.09,,,0.84,0.84,778095.0,56474539.52,,67.3,0.85,23.22,0.6434,76.78,0.0359
2006-09-04,28674.0,2059742.97,0.66,2.98,0.33,2.48,0.0,1579107.55,6691.0,21983.0,480635.43,,,78.0,0.03,,,,,449.0,,,,0.03,78.0,,,,0.58,,,,0.85,0.85,776754.0,55796665.7,,67.04,0.86,22.75,0.6486,77.26,0.0366
2006-09-05,31179.0,2269461.1,0.71,3.33,0.36,2.72,0.0,1787312.53,6625.0,24555.0,482221.36,,,,,,2700.0,,0.0,,66.0,,,,,0.23,,128.0,0.58,0.0,,,0.85,0.85,774937.0,56406215.05,,67.16,0.85,20.44,0.5249,68.64,0.0399
2006-09-06,24681.0,1809806.3,0.57,2.63,0.28,2.15,0.0,1573103.79,3229.0,21453.0,236775.84,,,,0.0,,,,0.3,30.0,3396.0,,,0.0,,,,3132.0,0.28,0.27,,,0.4,0.4,795291.0,58317031.97,,69.82,0.4,12.48,0.6428,78.71,0.0309
2006-09-07,24844.0,1813506.17,0.57,2.57,0.28,2.16,0.0,1576343.01,3249.0,21595.0,237163.16,,,20.0,0.01,,,,,142.0,,,,0.01,20.0,,,,0.28,,,,0.41,0.41,780463.0,56970474.32,,68.63,0.41,12.41,0.6447,78.85,0.0317
2006-09-08,24781.0,1806849.52,0.57,2.67,0.28,2.16,0.0,1570320.73,3243.0,21537.0,236455.87,,,,,,,,0.0,,6.0,,,,,,,57.0,0.28,0.01,,,0.41,0.41,780354.0,56897714.01,,68.49,0.41,12.46,0.644,78.79,0.0316
2006-09-11,24795.0,1795515.83,0.57,2.7,0.28,2.15,0.0,1561037.9,3237.0,21557.0,234405.52,,,0.0,0.0,,,,0.0,20.0,7.0,,,0.0,0.0,,,,0.28,,,,0.41,0.41,780427.0,56514177.62,,68.17,0.41,12.48,0.6443,78.81,0.0316
