,SOP FP Equity_DX_SI_QTY,SOP FP Equity_DX_SHORT_INTEREST_VALUE,SOP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SOP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SOP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SOP FP Equity_DX_SI_MV,SOP FP Equity_DX_DSS,SOP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SOP FP Equity_DX_SUPPLY_SI_QTY,SOP FP Equity_DX_BROKER_SI_QTY,SOP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SOP FP Equity_DX_BROKER_SI_MV_NEW_x,SOP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SOP FP Equity_DX_SUPPLY_SI_QTY_INC_x,SOP FP Equity_DX_BROKER_SI_MV_INC_x,SOP FP Equity_DX_SUPPLY_SI_MV_NEW,SOP FP Equity_DX_BROKER_SI_QTY_ADD,SOP FP Equity_DX_BROKER_SI_QTY_NEW,SOP FP Equity_DX_SUPPLY_SI_MV_DEC,SOP FP Equity_DX_BROKER_SI_QTY_INC,SOP FP Equity_DX_SUPPLY_SI_QTY_DEC,SOP FP Equity_DX_BROKER_SI_MV_NEW_y,SOP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SOP FP Equity_DX_BROKER_SI_MV_INC_y,SOP FP Equity_DX_SUPPLY_SI_QTY_INC_y,SOP FP Equity_DX_BROKER_SI_MV_ADD,SOP FP Equity_DX_SUPPLY_SI_QTY_ADD,SOP FP Equity_DX_BROKER_SI_QTY_DEC,SOP FP Equity_DX_SUPPLY_SI_MV,SOP FP Equity_DX_BROKER_SI_MV_DEC,SOP FP Equity_DX_SUPPLY_SI_MV_RMV,SOP FP Equity_DX_BROKER_SI_MV_RMV,SOP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SOP FP Equity_DX_UTILIZATION_QUANTITY,SOP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SOP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SOP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SOP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SOP FP Equity_DX_ACTIVE_UTILIZATION_MV,SOP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SOP FP Equity_DX_BROKER_SI_CON_RATIO,SOP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SOP FP Equity_DX_DEMAND_SUPPLY_RATIO
2008-01-18,42368.0,1288168.28,0.94,3.26,0.37,2.19,0.0,1281783.39,210.0,42158.0,6384.9,,,,0.07,,,,,1548.0,,,,0.07,,,,,0.01,,,,0.19,0.19,110363.0,3355506.9,,4.62,0.19,30.04,0.4404,58.21,0.3832
2008-01-21,42368.0,1226826.94,0.94,3.09,0.37,2.19,0.0,1220746.08,210.0,42158.0,6080.85,,,,,,,,,,,,,,,,,,0.01,,,,0.18,0.18,117190.0,3393406.55,,4.83,0.18,30.23,0.4402,58.1,0.3609
2008-01-22,43916.0,1274194.83,0.98,2.99,0.38,2.22,0.0,1268101.81,210.0,43706.0,6093.02,,,,,,1548.0,,,,,,,,,0.07,,,0.01,,,,0.18,0.18,114069.0,3309639.53,,4.6,0.18,28.21,0.4201,57.33,0.3843
2008-01-23,45547.0,1295799.1,1.01,3.0,0.4,2.28,0.0,1289824.66,210.0,45337.0,5974.44,,,,0.07,,,,,1631.0,,,,0.07,,,,,0.01,,,,0.18,0.18,114190.0,3248672.79,,4.6,0.18,27.84,0.4334,58.82,0.3981
2008-01-24,45547.0,1322176.69,1.01,2.91,0.4,2.26,0.0,1316080.64,210.0,45337.0,6096.06,,,,,,,,,,,,,,,,,,0.01,,,,0.19,0.19,112026.0,3251985.12,,4.43,0.19,27.36,0.4354,59.21,0.4058
2008-01-25,45547.0,1355148.68,1.01,2.87,0.4,2.28,0.0,1348900.6,210.0,45337.0,6248.08,,,,,,,,,,,,,,,,,,0.01,,,,0.19,0.19,112026.0,3333082.01,,4.55,0.18,27.93,0.4325,58.71,0.4058
2008-01-28,47178.0,1423825.51,1.05,2.86,0.41,2.36,0.0,1417487.74,210.0,46968.0,6337.77,,,,0.06,,,,,1631.0,,,,0.06,,,,,0.01,,,,0.15,0.15,139886.0,4221740.11,,5.78,0.15,27.34,0.41,56.87,0.3368
2008-01-29,47178.0,1427582.3,1.05,2.89,0.41,2.37,0.0,1421227.81,210.0,46968.0,6354.49,,,,,,,,,,,,,,,,,,0.01,,,,0.15,0.15,139791.0,4230004.62,,5.83,0.15,27.66,0.4074,56.49,0.337
2008-01-30,47178.0,1420751.77,1.05,2.69,0.41,2.37,0.0,1414427.68,210.0,46968.0,6324.09,,,,,,,,,,,,,,,,,,0.01,,,,0.16,0.16,134822.0,4060125.37,,5.61,0.16,27.53,0.4071,56.51,0.3494
2008-01-31,22199.0,672533.96,0.49,1.28,0.19,1.04,0.0,666171.87,210.0,21989.0,6362.09,,,,,,,,,,,,,,,,,24979.0,0.01,1.34,,,100.0,0.15,0.0,0.0,,0.0,100.0,21.64,0.4639,63.29,0.154
2008-02-01,47178.0,1485641.87,1.05,2.66,0.41,2.38,0.0,1479028.94,210.0,46968.0,6612.93,,,,,,24979.0,,,,,,,,,1.34,,,0.01,,,,0.16,0.16,134126.0,4223646.65,,5.6,0.16,27.7,0.4063,56.36,0.3512
2008-02-04,47178.0,1523892.88,1.05,2.48,0.41,2.4,0.0,1517109.69,210.0,46968.0,6783.19,,,,,,,,,,,,,,,,,,0.01,,,,100.0,0.15,0.0,0.0,,0.0,100.0,28.18,0.403,55.83,0.3482
2008-02-05,47178.0,1460027.36,1.05,2.48,0.41,2.43,0.0,1453528.44,210.0,46968.0,6498.91,,,,,,,,,,,,,,,,,,0.01,,,,100.0,0.15,0.0,0.0,,0.0,100.0,28.61,0.3976,55.07,0.3399
2008-02-06,47178.0,1427240.78,1.05,2.83,0.41,2.41,0.0,1420887.8,210.0,46968.0,6352.97,,,,,,,,,,,,,,,,,,0.01,,,,100.0,0.15,0.0,0.0,,0.0,100.0,27.71,0.3998,55.69,0.3322
2008-02-07,45099.0,1354225.56,1.0,2.76,0.39,2.31,0.0,1347919.72,210.0,44889.0,6305.85,,,,,,,,,,,,,,,,,2079.0,0.01,0.08,,,100.0,0.15,0.0,0.0,,0.0,100.0,28.61,0.391,54.36,0.3136
2008-02-08,45521.0,1366567.78,1.01,2.77,0.4,2.31,0.0,1360263.46,210.0,45311.0,6304.33,,50.0,,0.01,0.0,211.0,,0.0,211.0,50.0,,50.0,0.01,,0.01,,,0.01,,,,0.15,0.15,136739.0,4104986.97,,5.67,0.15,28.04,0.3903,54.6,0.3324
2008-02-11,43442.0,1265788.2,0.97,2.67,0.38,2.21,0.0,1259669.34,210.0,43232.0,6118.86,,,,,,,,,,,,,,,,,2079.0,0.01,0.09,,,0.15,0.15,143314.0,4175801.54,,5.87,0.15,29.29,0.4222,57.07,0.3027
2008-02-12,43442.0,1308243.21,0.97,2.66,0.38,2.2,0.0,1301919.12,210.0,43232.0,6324.09,,,,,,,,,,,,,,,,,,0.01,,,,0.15,0.15,143422.0,4319111.87,,5.79,0.15,28.8,0.4244,57.5,0.3025
2008-02-13,43442.0,1282770.21,0.97,2.45,0.38,2.22,0.0,1276569.26,210.0,43232.0,6200.95,,,,,,,,,,,,,,,,,,0.01,,,,0.19,0.19,111081.0,3280037.69,,4.58,0.19,29.44,0.4222,57.0,0.3903
2008-02-14,45154.0,1374508.97,1.01,2.36,0.39,2.28,0.0,1368116.47,210.0,44944.0,6392.5,,,,0.07,,,,,1712.0,,,,0.07,,,,,0.01,,,,0.15,0.15,144405.0,4395756.02,,5.9,0.14,28.14,0.4325,58.58,0.3122
2008-02-15,45154.0,1449690.19,1.01,2.29,0.39,2.29,0.0,1442948.05,210.0,44944.0,6742.15,,,,,,,,,,,,,,,,,,0.01,,,,0.15,0.15,140112.0,4498360.99,,5.92,0.15,28.62,0.43,58.14,0.3218
2008-02-18,46866.0,1506351.09,1.04,2.21,0.41,2.38,0.0,1499601.34,210.0,46656.0,6749.75,,,,0.07,,,,,1712.0,,,,0.07,,,,,0.01,,,,0.15,0.15,141248.0,4539945.35,,6.11,0.15,27.61,0.4026,56.03,0.3313
2008-02-19,46866.0,1492101.82,1.0,2.15,0.4,2.41,0.0,1485415.92,210.0,46656.0,6685.9,,,,,,,,,,,,,,,,,,0.01,,,,0.15,0.15,140023.0,4457998.84,,6.19,0.15,28.29,0.3976,55.24,0.3342
2008-02-20,46866.0,1526367.92,1.0,2.13,0.4,2.41,0.0,1519528.48,210.0,46656.0,6839.44,,,,,,,,,,,,,,,,,,0.01,,,,0.15,0.15,140177.0,4565392.31,,6.21,0.15,28.29,0.3978,55.26,0.3338
2008-02-21,46866.0,1608131.57,1.0,2.06,0.4,2.42,0.0,1600925.76,210.0,46656.0,7205.81,,,,,,,,,,,,,,,,,,0.01,,,,0.13,0.13,166452.0,5711533.23,,7.6,0.12,28.4,0.3967,55.11,0.2812
2008-02-22,46866.0,1589811.08,1.0,2.05,0.4,2.46,0.0,1582687.36,210.0,46656.0,7123.72,,,,,,,,,,,,,,,,,,0.01,,,,0.13,0.13,164969.0,5596158.08,,7.72,0.13,29.32,0.3925,54.24,0.2837
2008-02-25,56866.0,1959498.71,1.21,2.53,0.49,2.94,0.0,1607680.72,10210.0,46656.0,351817.99,,,,,,,,,,,,,,,,10000.0,,0.49,,,,6.05,6.05,158568.0,5463964.25,,7.46,6.11,24.34,0.3005,45.38,0.3369
2008-02-26,56866.0,1942620.67,1.21,2.57,0.49,2.93,0.0,1593833.05,10210.0,46656.0,348787.62,,,,,,,,,,,,,,,,,,0.48,,,,6.06,6.06,158258.0,5406310.67,,7.48,6.01,24.52,0.3012,45.45,0.3375
2008-02-27,56866.0,1919979.41,1.21,2.6,0.49,2.92,0.0,1575256.91,10210.0,46656.0,344722.5,,,,,,,,,,,,,,,,,,0.48,,,,6.07,6.07,157945.0,5332732.17,,7.39,6.04,24.36,0.3016,45.59,0.3382
2008-02-28,46866.0,1560634.01,1.0,2.16,0.4,2.46,0.0,1553641.03,210.0,46656.0,6992.98,,,,,,,,0.47,,10000.0,,,,,,,,0.01,,,,0.12,0.12,173436.0,5775404.79,,8.03,0.12,28.9,0.3894,54.1,0.2699
2008-02-29,46866.0,1555205.72,1.0,2.15,0.4,2.46,0.0,1548237.06,210.0,46656.0,6968.66,,,,,,,,,,,,,,,,,,0.01,,,,0.12,0.12,168828.0,5602404.12,,7.76,0.12,28.91,0.3908,54.25,0.2773
2008-03-03,35866.0,1155389.2,0.76,1.7,0.31,1.92,0.0,1148624.25,210.0,35656.0,6764.95,,,,,,,,,,,,,,,,,11000.0,0.01,0.53,,,0.12,0.12,168828.0,5438634.02,,7.66,0.13,12.69,0.5116,69.44,0.2122
2008-03-04,37080.0,1185102.14,0.79,1.83,0.32,1.98,0.0,1178390.39,210.0,36870.0,6711.74,,,,0.05,,,,,1214.0,,,,0.05,,,,,0.01,,,,0.1,0.1,208019.0,6648429.39,,9.27,0.1,12.34,0.5035,68.95,0.1781
2008-03-05,37080.0,1181075.74,0.79,1.85,0.32,1.97,0.0,1174386.8,210.0,36870.0,6688.94,,,,,,,,,,,,,,,,,,0.01,,,,0.1,0.1,202588.0,6452852.55,,8.97,0.1,12.37,0.5054,69.1,0.1828
2008-03-06,36658.0,1184883.3,0.78,1.85,0.31,1.95,0.0,1178095.55,210.0,36448.0,6787.75,,,,,,,,,,,,,,,,,422.0,0.01,0.02,,,100.0,0.1,0.0,0.0,,0.0,100.0,12.48,0.5085,69.29,0.1755
2008-03-07,36658.0,1167899.53,0.78,1.83,0.31,1.95,0.0,1161209.07,210.0,36448.0,6690.46,,,,,,,,,,,,,,,,,,0.01,,,,100.0,0.1,0.0,0.0,,0.0,100.0,12.48,0.5081,69.27,0.1744
2008-03-10,36658.0,1176656.79,0.78,1.84,0.31,1.95,0.0,1169916.16,210.0,36448.0,6740.63,,,,,,,,,,,,,,,,,,0.01,,,,100.0,0.1,0.0,0.0,,0.0,100.0,12.05,0.5107,69.51,0.1746
2008-03-11,36658.0,1178249.01,0.78,1.79,0.31,1.95,0.0,1171499.27,210.0,36448.0,6749.75,,,,,,,,,,,,,,,,,,0.01,,,,100.0,0.1,0.0,0.0,,0.0,100.0,12.14,0.511,69.53,0.1738
2008-03-12,36658.0,1204255.41,0.78,1.85,0.31,1.95,0.0,1197356.68,210.0,36448.0,6898.73,,,,,,,,,,,,,,,,,,0.01,,,,100.0,0.09,0.0,0.0,,0.0,100.0,12.09,0.5112,69.54,0.1498
2008-03-13,36658.0,1178249.01,0.78,1.79,0.31,1.95,0.0,1171499.27,210.0,36448.0,6749.75,,,,,,,,,,,,,,,,,,0.01,,,,100.0,0.1,0.0,0.0,,0.0,100.0,12.11,0.5092,69.38,0.1762
2008-03-14,26658.0,859534.13,0.57,1.31,0.23,1.41,0.0,852763.09,210.0,26448.0,6771.03,,,,,,,,,,,,,,,,,10000.0,0.01,0.54,,,100.0,0.1,0.0,0.0,,0.0,100.0,16.79,0.3834,57.41,0.1268
2008-03-17,26658.0,841779.94,0.57,1.29,0.23,1.41,0.0,835148.77,210.0,26448.0,6631.17,,,,,,,,,,,,,,,,,,0.01,,,,100.0,0.1,0.0,0.0,,0.0,100.0,16.85,0.3842,57.47,0.1267
2008-03-18,26658.0,849692.13,0.57,1.3,0.23,1.42,0.0,842998.63,210.0,26448.0,6693.5,,,,,,,,,,,,,,,,,,0.01,,,,100.0,0.1,0.0,0.0,,0.0,100.0,16.47,0.3871,57.83,0.1268
2008-03-19,16065.0,494143.18,0.34,0.79,0.14,0.84,0.0,487683.8,210.0,15855.0,6459.39,,,,,,,,,,,,,,,,,7781.0,0.01,0.45,,0.13,0.1,0.1,207779.0,6391072.31,,9.09,0.1,28.17,0.3199,43.68,0.0772
2008-03-20,44877.0,1444370.55,0.96,2.19,0.38,2.06,0.0,1437611.68,210.0,44667.0,6758.87,0.12,,,1.1,,,2812.0,,26000.0,,0.12,,1.1,,,,,0.01,,,,0.1,0.1,210907.0,6788062.01,,9.11,0.1,11.0,0.5349,71.47,0.2126
2008-03-21,44877.0,1444370.55,0.96,2.12,0.38,2.06,0.0,1437611.68,210.0,44667.0,6758.87,,,,,,,,,,,,,,,,,,0.01,,,,0.1,0.1,208233.0,6701999.06,,9.25,0.1,11.02,0.5341,71.41,0.2153
2008-03-24,44877.0,1444370.55,0.96,2.12,0.38,2.06,0.0,1437611.68,210.0,44667.0,6758.87,,,,,,,,,,,,,,,,,,0.01,,,,0.1,0.1,207565.0,6680499.42,,9.22,0.1,11.02,0.5363,71.59,0.216
2008-03-25,45377.0,1520248.13,0.97,2.15,0.39,2.08,0.0,1513212.58,210.0,45167.0,7035.55,,,,0.02,,,,,500.0,,,,0.02,,,,,0.01,,,,0.1,0.1,207538.0,6953065.58,,9.46,0.1,10.89,0.5391,71.82,0.2184
2008-03-26,45377.0,1532402.23,0.75,2.13,0.39,2.09,0.0,1525310.44,210.0,45167.0,7091.8,,,,,,,,,,,,,,,,,,0.01,,,,0.1,0.1,209705.0,7081834.64,,9.68,0.1,10.88,0.5382,71.75,0.2162
2008-03-27,48377.0,1616903.7,0.8,2.27,0.41,2.23,0.0,1609884.88,3210.0,48167.0,107287.78,,,,,,3000.0,,,,,,,,,0.14,3000.0,,0.15,,,,2.41,2.41,130243.0,4353109.72,,6.06,2.41,10.17,0.474,67.03,0.3625
2008-03-28,48377.0,1617604.12,0.8,2.42,0.41,2.22,0.0,1610582.25,3210.0,48167.0,107334.25,,,,,,,,,,,,,,,,,,0.15,,,,1.78,1.78,177146.0,5923312.71,,8.18,1.78,10.22,0.472,66.86,0.2682
2008-03-31,48377.0,1655776.63,0.8,2.63,0.41,2.21,0.0,1648589.06,3210.0,48167.0,109867.15,,,,,,,,,,,,,,,,,,0.15,,,,1.96,1.96,160920.0,5507732.51,,7.48,1.94,10.25,0.4715,66.82,0.2947
2008-04-01,49377.0,1747194.47,0.82,2.75,0.42,2.38,0.0,1739763.66,3210.0,49167.0,113585.16,,,,0.16,,,,,1000.0,,,,0.16,,,,,0.15,,,,2.46,2.46,127078.0,4496627.55,,6.09,2.43,9.54,0.497,68.93,0.379
2008-04-02,23877.0,841771.21,0.4,1.43,0.2,1.2,0.0,834367.77,3210.0,23667.0,113166.88,,,,,,,,,,,,,,,,,25500.0,0.16,1.18,,,2.46,2.46,127078.0,4480068.77,,6.19,2.47,19.02,0.2318,38.13,0.1833
2008-04-03,24777.0,854128.99,0.41,1.53,0.21,1.25,0.0,815864.34,4110.0,23667.0,141682.61,,900.0,,,0.04,,,,,,,900.0,,,,,,0.2,,,,2.49,2.49,161010.0,5550442.26,,7.82,2.5,18.29,0.2167,36.74,0.1501
2008-04-04,23877.0,818609.54,0.4,1.53,0.2,1.2,0.0,811409.81,3210.0,23667.0,110053.05,,,,,,,,,,,,,,,,,,0.15,,0.04,,1.97,1.97,159758.0,5477213.34,900.0,7.62,1.97,18.93,0.2313,38.03,0.1465
2008-04-07,24777.0,874397.06,0.41,1.71,0.21,1.25,0.0,835224.41,4110.0,23667.0,145044.68,,900.0,,,0.04,,,,,,,900.0,,,,,,0.19,,,,2.38,2.38,168272.0,5938432.51,,8.04,2.36,18.94,0.2312,38.05,0.1437
2008-04-08,24777.0,861841.62,0.41,1.76,0.21,1.27,0.0,823231.45,4110.0,23667.0,142961.98,,,,,,,,,,,,,,,,,,0.2,,,,2.45,2.45,163630.0,5691695.67,,7.95,2.44,21.04,0.2299,37.11,0.1477
2008-04-09,23877.0,823276.44,0.4,1.72,0.2,1.23,0.0,816035.67,3210.0,23667.0,110680.46,,,,,,,,,,,,,,,,,,0.15,,0.04,,2.0,2.0,156896.0,5409757.54,900.0,7.53,2.01,21.0,0.2296,37.04,0.1491
2008-04-10,23877.0,838141.4,0.4,1.73,0.2,1.23,0.0,830769.88,3210.0,23667.0,112678.89,,,,,,,,,,,,,,,,,,0.15,,,,2.4,2.4,130598.0,4584310.85,,6.24,2.39,21.02,0.2299,37.07,0.1784
2008-04-11,23877.0,829326.13,0.4,1.76,0.2,1.23,0.0,822032.15,3210.0,23667.0,111493.78,,,,,,,,,,,,,,,,,,0.16,,,,2.4,2.4,130598.0,4536094.75,,6.29,2.41,20.96,0.2301,37.16,0.1784
2008-04-14,23877.0,810658.52,0.4,1.79,0.2,1.23,0.0,803528.72,3210.0,23667.0,108984.12,,,,,,,,,,,,,,,,,,0.15,,,,1.96,1.96,160781.0,5458746.37,,7.68,1.97,20.75,0.2299,37.17,0.1456
2008-04-15,24877.0,821198.59,0.41,1.94,0.21,1.28,0.0,814266.42,3210.0,24667.0,105963.24,,,,,,1000.0,,,,,,,,,0.05,,,0.15,,,,1.79,1.79,175757.0,5801800.91,,8.22,1.8,20.02,0.215,35.85,0.139
2008-04-16,24877.0,842629.0,0.41,1.93,0.21,1.27,0.0,835515.92,3210.0,24667.0,108728.51,,,,,,,,,,,,,,,,,,0.15,,,,1.79,1.79,175799.0,5954630.17,,8.04,1.79,20.13,0.2164,36.04,0.139
2008-04-17,24877.0,858476.69,0.41,1.96,0.21,1.27,0.0,851229.83,3210.0,24667.0,110773.41,,,,,,,,,,,,,,,,,,0.15,,,,1.79,1.79,175711.0,6063584.73,,8.26,1.79,20.11,0.2162,36.02,0.139
2008-04-18,24877.0,862438.61,0.41,2.01,0.21,1.27,0.0,855158.31,3210.0,24667.0,111284.64,,,,,,,,,,,,,,,,,,0.15,,,,100.0,2.0,0.0,0.0,,0.0,100.0,20.04,0.2152,35.89,0.155
2008-04-21,27882.0,960762.9,0.46,2.28,0.24,1.41,0.0,953526.68,3210.0,27672.0,110610.75,,,,0.14,,5.0,,,3000.0,,,,0.14,,0.0,,,0.15,,,,2.17,2.17,144381.0,4975106.09,,6.88,2.19,18.0,0.2502,42.53,0.1889
2008-04-22,23282.0,807311.51,0.39,2.03,0.2,1.2,0.0,800029.69,3210.0,23072.0,111307.88,,,,,,,,,,,,,,,,,3000.0,0.15,0.14,,0.08,2.17,2.17,144381.0,5006461.8,,6.87,2.17,15.51,0.3108,50.21,0.1577
2008-04-23,24882.0,852885.28,0.41,2.33,0.21,1.28,0.0,845687.06,3210.0,24672.0,110029.81,0.08,,,,,,1600.0,,,,0.08,,,,,,,0.15,,,,2.17,2.17,144581.0,4955831.77,,6.93,2.17,14.64,0.2758,47.08,0.1684
2008-04-24,24882.0,852344.91,0.41,2.28,0.21,1.28,0.0,845151.25,3210.0,24672.0,109960.1,,,,,,,,,,,,,,,,,,0.15,,,,2.17,2.17,144581.0,4952691.86,,6.88,2.16,14.5,0.2752,47.03,0.1684
2008-04-25,24882.0,883866.54,0.41,2.44,0.21,1.28,0.0,876406.85,3210.0,24672.0,114026.67,,,,,,,,,,,,,,,,,,0.15,,,,2.16,2.16,145112.0,5154715.9,,6.92,2.15,14.32,0.2755,47.08,0.1678
2008-04-28,24882.0,900618.03,0.41,2.63,0.21,1.28,0.0,893016.96,3210.0,24672.0,116187.76,,,,,,,,,,,,,,,,,,0.16,,,,2.17,2.17,144412.0,5227073.84,,7.12,2.17,14.26,0.2754,47.14,0.1686
2008-04-29,24377.0,892927.34,0.4,2.57,0.21,1.26,0.0,885235.06,3210.0,24167.0,117582.01,,,,,,,,,,,,,,,,,505.0,0.16,0.02,,,2.27,2.27,137907.0,5051521.15,,6.92,2.27,14.48,0.2662,45.87,0.1727
2008-04-30,24377.0,882339.27,0.4,3.05,0.21,1.26,0.0,874738.2,3210.0,24167.0,116187.76,,,,,,,,,,,,,,,,,,0.16,,,,2.27,2.27,137907.0,4991621.69,,6.95,2.28,14.38,0.2655,45.79,0.1727
2008-05-01,24377.0,882339.27,0.4,2.95,0.21,1.27,0.0,874738.2,3210.0,24167.0,116187.76,,,,,,,,,,,,,,,,,,0.16,,,,2.27,2.27,137907.0,4991621.69,,6.91,2.27,14.41,0.2652,45.73,0.1727
2008-05-02,24377.0,882339.27,0.4,2.95,0.21,1.27,0.0,874738.2,3210.0,24167.0,116187.76,,,,,,,,,,,,,,,,,,0.16,,,,2.27,2.27,137907.0,4991621.69,,6.91,2.27,14.27,0.2656,45.8,0.1727
2008-05-05,30692.0,1103582.23,0.51,3.71,0.26,1.58,0.0,1096031.33,3210.0,30482.0,115420.92,,,,0.31,,,,,6315.0,,,,0.31,,,,,0.16,,,,2.27,2.27,138194.0,4968996.56,,6.88,2.28,11.38,0.2917,49.88,0.2171
2008-05-06,30692.0,1100916.03,0.51,3.76,0.26,1.58,0.0,1093383.37,3210.0,30482.0,115142.07,,,,,,,,,,,,,,,,,,0.16,,,,1.83,1.83,172385.0,6183416.21,,8.55,1.83,11.37,0.2922,49.93,0.1748
2008-05-07,30692.0,1196454.66,0.51,4.13,0.26,1.58,0.0,1188268.31,3210.0,30482.0,125134.22,,,,,,,,,,,,,,,,,,0.16,,,,2.2,2.2,142399.0,5551086.51,,7.24,2.15,11.47,0.2918,49.87,0.2108
2008-05-08,30692.0,1188678.26,0.51,2.49,0.26,1.6,0.0,1180545.12,3210.0,30482.0,124320.9,,,,,,,,,,,,,,,,,,0.17,,,,2.2,2.2,142792.0,5530227.62,,7.68,2.2,11.26,0.2869,49.34,0.2102
2008-05-09,30692.0,1175791.65,0.51,2.47,0.26,1.59,0.0,1167746.68,3210.0,30482.0,122973.13,,,,,,,,,,,,,,,,,,0.17,,,,2.19,2.19,143083.0,5481421.78,,7.62,2.2,11.28,0.2878,49.44,0.2098
2008-05-12,30692.0,1177569.12,0.51,2.49,0.26,1.6,0.0,1169511.98,3210.0,30482.0,123159.03,,,,,,,,,,,,,,,,,,0.17,,,,1.18,1.18,269710.0,10348044.0,,14.21,1.18,11.28,0.2856,49.15,0.1125
2008-05-13,30692.0,1209563.45,0.51,2.45,0.26,1.6,0.0,1201287.4,3210.0,30482.0,126505.23,,,,,,,,,,,,,,,,,,0.17,,,,1.15,1.15,276638.0,10902229.02,,14.77,1.14,11.32,0.2857,49.17,0.1097
2008-05-14,30692.0,1206452.89,0.51,2.48,0.26,1.61,0.0,1198198.13,3210.0,30482.0,126179.91,,,,,,,,,,,,,,,,,,0.17,,,,1.14,1.14,277613.0,10912518.1,,15.1,1.14,11.24,0.284,48.98,0.1093
2008-05-15,30692.0,1199787.4,0.51,2.53,0.26,1.61,0.0,1191578.25,3210.0,30482.0,125482.78,,,,,,,,,,,,,,,,,,0.17,,,,1.13,1.13,280506.0,10965318.81,,15.23,1.13,11.2,0.2831,48.86,0.1082
2008-05-16,30692.0,1224227.52,0.51,2.63,0.26,1.61,0.0,1215851.14,3210.0,30482.0,128038.91,,,,,,,,,,,,,,,,,,0.17,,,,1.19,1.19,266242.0,10619730.95,,14.37,1.19,11.21,0.2837,48.94,0.1139
2008-05-19,30692.0,1266442.26,0.51,2.54,0.26,1.62,0.0,1257777.04,3210.0,30482.0,132454.05,,,,,,,,,,,,,,,,,,0.18,,,,1.18,1.18,267716.0,11046750.15,,14.88,1.17,11.26,0.2824,48.78,0.1133
2008-05-20,28230.0,1164648.53,0.47,2.31,0.24,1.53,0.0,1141545.34,3560.0,27670.0,146870.31,,,,,,,,,,,,,,,,350.0,2812.0,0.2,0.12,,,100.0,1.17,0.0,0.0,,0.0,100.0,11.82,0.2429,43.77,0.0927
2008-05-21,36838.0,1501377.1,0.61,3.02,0.32,2.02,0.0,1335906.9,7060.0,32778.0,287738.81,,,,0.45,,,,,7920.0,,,,0.45,,,3500.0,2812.0,0.4,0.15,,,100.0,2.56,0.0,0.0,,0.0,100.0,23.85,0.2018,33.18,0.1336
2008-05-22,36838.0,1518710.94,0.61,3.01,0.32,2.02,0.0,1351330.34,7060.0,32778.0,291060.84,,,,,,,,,,,,,,,,,,0.4,,,,100.0,2.28,0.0,0.0,,0.0,100.0,24.01,0.2019,33.11,0.1192
2008-05-23,47526.0,1860945.24,0.79,3.87,0.41,2.65,0.0,1701970.41,7060.0,43466.0,276443.91,,,,0.52,,1800.0,,,8888.0,,,,0.52,,0.1,,,0.4,,,,100.0,2.55,0.0,0.0,,0.0,100.0,18.28,0.2581,45.04,0.1717
2008-05-26,338729.0,12861251.2,5.61,27.15,2.9,18.42,1.0,7241437.75,151010.0,190719.0,5733720.89,,,,0.15,,145000.0,,0.0,2253.0,50.0,,,0.15,,7.84,144000.0,,8.16,,,,100.0,52.08,0.0,0.0,,0.0,100.0,6.68,0.7258,84.86,1.1681
2008-05-27,338679.0,13064394.52,5.61,26.8,2.9,18.15,1.0,7354973.41,151010.0,190669.0,5825144.8,,,,,,,,,,,,,,,,,50.0,8.17,0.0,,,100.0,54.82,0.0,0.0,,0.0,100.0,6.8,0.7273,84.94,1.2296
2008-05-28,345399.0,13553377.6,5.72,27.07,2.96,18.03,1.0,7745499.12,157730.0,197389.0,6189289.05,,,,0.23,,,,,6720.0,,,,0.23,,,6720.0,,8.18,,,,92.73,57.81,12363.0,485121.29,,0.64,92.73,6.83,0.7268,84.91,1.266
2008-05-29,346299.0,13775052.62,5.73,27.36,2.96,18.38,1.0,7851723.11,158630.0,197389.0,6309970.86,,900.0,,,0.05,,,,,,,900.0,,,,,,8.38,,,,92.77,57.93,12363.0,491774.38,,0.65,92.84,6.7,0.7251,84.82,1.2647
2008-05-30,346299.0,14067533.07,5.73,27.08,2.96,18.54,1.0,8018435.76,158630.0,197389.0,6443948.07,,,,,,,,,,,,,,,,,,8.43,,,,92.77,56.45,12363.0,502216.04,,0.66,92.77,6.64,0.7259,84.87,1.2324
