,ALESE FP Equity_DX_SI_QTY,ALESE FP Equity_DX_SHORT_INTEREST_VALUE,ALESE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALESE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALESE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALESE FP Equity_DX_SI_MV,ALESE FP Equity_DX_DSS,ALESE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALESE FP Equity_DX_SUPPLY_SI_QTY,ALESE FP Equity_DX_BROKER_SI_QTY,ALESE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALESE FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALESE FP Equity_DX_BROKER_SI_MV_INC_x,ALESE FP Equity_DX_BROKER_SI_QTY_ADD,ALESE FP Equity_DX_SUPPLY_SI_MV_DEC,ALESE FP Equity_DX_BROKER_SI_QTY_INC,ALESE FP Equity_DX_SUPPLY_SI_QTY_DEC,ALESE FP Equity_DX_BROKER_SI_MV_INC_y,ALESE FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALESE FP Equity_DX_BROKER_SI_MV_ADD,ALESE FP Equity_DX_SUPPLY_SI_QTY_ADD,ALESE FP Equity_DX_BROKER_SI_QTY_DEC,ALESE FP Equity_DX_SUPPLY_SI_MV,ALESE FP Equity_DX_BROKER_SI_MV_DEC,ALESE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALESE FP Equity_DX_UTILIZATION_QUANTITY,ALESE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALESE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALESE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALESE FP Equity_DX_ACTIVE_UTILIZATION_MV,ALESE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALESE FP Equity_DX_BROKER_SI_CON_RATIO,ALESE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALESE FP Equity_DX_DEMAND_SUPPLY_RATIO,ALESE FP Equity_PX_LAST
2021-10-19,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55520.0,0.06,0.0,,0.0,,0.0,6.94
2021-10-20,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55520.0,0.06,0.0,,0.0,,0.0,6.94
2021-10-21,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55200.0,0.06,0.0,,0.0,,0.0,6.9
2021-10-22,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55040.0,0.06,0.0,,0.0,,0.0,6.88
2021-10-25,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55040.0,0.06,0.0,,0.0,,0.0,6.88
2021-10-26,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55520.0,0.06,0.0,,0.0,,0.0,6.94
2021-10-27,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55520.0,0.06,0.0,,0.0,,0.0,6.94
2021-10-28,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,54880.0,0.06,0.0,,0.0,,0.0,6.86
2021-10-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55680.0,0.06,0.0,,0.0,,0.0,6.96
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,58400.0,0.06,0.0,,0.0,,0.0,7.3
2021-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,57440.0,0.06,0.0,,0.0,,0.0,7.18
2021-11-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,57440.0,0.06,0.0,,0.0,,0.0,7.18
2021-11-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,57920.0,0.06,0.0,,0.0,,0.0,7.24
2021-11-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,57120.0,0.06,0.0,,0.0,,0.0,7.14
2021-11-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,56000.0,0.06,0.0,,0.0,,0.0,7.0
2021-11-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55840.0,0.06,0.0,,0.0,,0.0,6.98
2021-11-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,54560.0,0.06,0.0,,0.0,,0.0,6.82
2021-11-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,54400.0,0.05,0.0,,0.0,,0.0,6.8
2021-11-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,54880.0,0.05,0.0,,0.0,,0.0,6.86
2021-11-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55200.0,0.05,0.0,,0.0,,0.0,6.9
2021-11-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55680.0,0.06,0.0,,0.0,,0.0,6.96
2021-11-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55360.0,0.06,0.0,,0.0,,0.0,6.92
2021-11-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55200.0,0.06,0.0,,0.0,,0.0,6.9
2021-11-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55360.0,0.06,0.0,,0.0,,0.0,6.92
2021-11-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55200.0,0.06,0.0,,0.0,,0.0,6.9
2021-11-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,54560.0,0.06,0.0,,0.0,,0.0,6.82
2021-11-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,54880.0,0.05,0.0,,0.0,,0.0,6.86
2021-11-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,52000.0,0.05,0.0,,0.0,,0.0,6.5
2021-11-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,52000.0,0.05,0.0,,0.0,,0.0,6.5
2021-11-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,51680.0,0.05,0.0,,0.0,,0.0,6.46
2021-11-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,53120.0,0.05,0.0,,0.0,,0.0,6.64
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,52800.0,0.05,0.0,,0.0,,0.0,6.6
2021-12-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,52640.0,0.05,0.0,,0.0,,0.0,6.58
2021-12-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,52960.0,0.05,0.0,,0.0,,0.0,6.62
2021-12-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,56000.0,0.05,0.0,,0.0,,0.0,7.0
2021-12-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,56000.0,0.06,0.0,,0.0,,0.0,7.0
2021-12-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,56000.0,0.06,0.0,,0.0,,0.0,7.0
2021-12-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55840.0,0.06,0.0,,0.0,,0.0,6.98
2021-12-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,56320.0,0.06,0.0,,0.0,,0.0,7.04
2021-12-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,56800.0,0.06,0.0,,0.0,,0.0,7.1
2021-12-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,56640.0,0.06,0.0,,0.0,,0.0,7.08
2021-12-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,56320.0,0.06,0.0,,0.0,,0.0,7.04
2021-12-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,56320.0,0.06,0.0,,0.0,,0.0,7.04
2021-12-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,56000.0,0.06,0.0,,0.0,,0.0,7.0
2021-12-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55040.0,0.06,0.0,,0.0,,0.0,6.88
2021-12-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55200.0,0.06,0.0,,0.0,,0.0,6.9
2021-12-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55200.0,0.06,0.0,,0.0,,0.0,6.9
2021-12-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55680.0,0.06,0.0,,0.0,,0.0,6.96
2021-12-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55360.0,0.06,0.0,,0.0,,0.0,6.92
2021-12-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,56000.0,0.06,0.0,,0.0,,0.0,7.0
2021-12-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,56000.0,0.06,0.0,,0.0,,0.0,7.0
2021-12-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,56000.0,0.06,0.0,,0.0,,0.0,7.0
2021-12-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55680.0,0.06,0.0,,0.0,,0.0,6.96
2021-12-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,56000.0,0.06,0.0,,0.0,,0.0,7.0
2022-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55680.0,0.06,0.0,,0.0,,0.0,6.96
2022-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55680.0,0.06,0.0,,0.0,,0.0,6.96
2022-01-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55360.0,0.06,0.0,,0.0,,0.0,6.92
2022-01-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55360.0,0.06,0.0,,0.0,,0.0,6.92
2022-01-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55680.0,0.06,0.0,,0.0,,0.0,6.96
2022-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55680.0,0.06,0.0,,0.0,,0.0,6.96
2022-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55840.0,0.06,0.0,,0.0,,0.0,6.98
2022-01-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55680.0,0.06,0.0,,0.0,,0.0,6.96
2022-01-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55680.0,0.06,0.0,,0.0,,0.0,6.96
2022-01-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55840.0,0.06,0.0,,0.0,,0.0,6.98
2022-01-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55200.0,0.06,0.0,,0.0,,0.0,6.9
2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.96
2022-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28
2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.32
2022-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24
2022-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,58240.0,0.06,0.0,,0.0,,0.0,7.28
2022-01-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,59200.0,0.06,0.0,,0.0,,0.0,7.4
2022-01-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,58080.0,0.06,0.0,,0.0,,0.0,7.26
2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28
2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18
2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.06
2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2022-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2022-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.04
2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2022-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94
2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2022-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82
2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68
2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66
2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2022-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88
2022-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86
2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2022-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.74
2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2022-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22
2022-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64
2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2022-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.74
2022-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2022-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68
2022-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.76
2022-03-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,54560.0,0.05,0.0,,0.0,,0.0,6.82
2022-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,53920.0,0.05,0.0,,0.0,,0.0,6.74
2022-03-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,53920.0,0.05,0.0,,0.0,,0.0,6.74
2022-03-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,54080.0,0.05,0.0,,0.0,,0.0,6.76
2022-03-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,54240.0,0.05,0.0,,0.0,,0.0,6.78
2022-03-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,53440.0,0.05,0.0,,0.0,,0.0,6.68
2022-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,53600.0,0.05,0.0,,0.0,,0.0,6.7
2022-03-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,53760.0,0.05,0.0,,0.0,,0.0,6.72
2022-03-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,53280.0,0.05,0.0,,0.0,,0.0,6.66
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,53520.0,0.05,0.0,,0.0,,0.0,6.69
2022-04-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,52800.0,0.05,0.0,,0.0,,0.0,6.6
2022-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,52160.0,0.05,0.0,,0.0,,0.0,6.52
2022-04-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,52160.0,0.05,0.0,,0.0,,0.0,6.52
2022-04-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,52320.0,0.05,0.0,,0.0,,0.0,6.54
2022-04-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,52880.0,0.05,0.0,,0.0,,0.0,6.61
2022-04-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,52800.0,0.05,0.0,,0.0,,0.0,6.6
2022-04-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,52160.0,0.05,0.0,,0.0,,0.0,6.52
2022-04-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,52000.0,0.05,0.0,,0.0,,0.0,6.5
2022-04-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,52240.0,0.05,0.0,,0.0,,0.0,6.53
