,ALTUV FP Equity_DX_SI_QTY,ALTUV FP Equity_DX_SHORT_INTEREST_VALUE,ALTUV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALTUV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALTUV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALTUV FP Equity_DX_SI_MV,ALTUV FP Equity_DX_DSS,ALTUV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALTUV FP Equity_DX_SUPPLY_SI_QTY,ALTUV FP Equity_DX_BROKER_SI_QTY,ALTUV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALTUV FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALTUV FP Equity_DX_BROKER_SI_MV_INC_x,ALTUV FP Equity_DX_BROKER_SI_QTY_ADD,ALTUV FP Equity_DX_SUPPLY_SI_MV_DEC,ALTUV FP Equity_DX_BROKER_SI_QTY_INC,ALTUV FP Equity_DX_SUPPLY_SI_QTY_DEC,ALTUV FP Equity_DX_BROKER_SI_MV_INC_y,ALTUV FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALTUV FP Equity_DX_BROKER_SI_MV_ADD,ALTUV FP Equity_DX_SUPPLY_SI_QTY_ADD,ALTUV FP Equity_DX_BROKER_SI_QTY_DEC,ALTUV FP Equity_DX_SUPPLY_SI_MV,ALTUV FP Equity_DX_BROKER_SI_MV_DEC,ALTUV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALTUV FP Equity_DX_UTILIZATION_QUANTITY,ALTUV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALTUV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALTUV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALTUV FP Equity_DX_ACTIVE_UTILIZATION_MV,ALTUV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALTUV FP Equity_DX_BROKER_SI_CON_RATIO,ALTUV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALTUV FP Equity_DX_DEMAND_SUPPLY_RATIO,ALTUV FP Equity_PX_LAST
2018-09-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,703647.12,0.7,0.0,,0.0,,0.0,3.86
2018-09-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,703647.12,0.7,0.0,,0.0,,0.0,3.86
2018-09-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,701824.2,0.7,0.0,,0.0,,0.0,3.85
2018-09-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,701915.35,0.7,0.0,,0.0,,0.0,3.851
2018-09-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,701733.05,0.7,0.0,,0.0,,0.0,3.85
2018-09-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,701824.2,0.7,0.0,,0.0,,0.0,3.85
2018-09-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,701733.05,0.7,0.0,,0.0,,0.0,3.85
2018-09-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,705470.04,0.7,0.0,,0.0,,0.0,3.87
2018-09-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,700183.57,0.71,0.0,,0.0,,0.0,3.841
2018-09-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,704740.87,0.7,0.0,,0.0,,0.0,3.866
2018-09-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,704923.16,0.71,0.0,,0.0,,0.0,3.867
2018-09-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,705196.6,0.71,0.0,,0.0,,0.0,3.869
2018-09-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,705470.04,0.71,0.0,,0.0,,0.0,3.87
2018-09-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,705470.04,0.71,0.0,,0.0,,0.0,3.87
2018-09-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,700092.43,0.71,0.0,,0.0,,0.0,3.841
2018-09-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,694532.52,0.7,0.0,,0.0,,0.0,3.81
2018-09-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,694714.81,0.69,0.0,,0.0,,0.0,3.811
2018-09-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,690886.68,0.69,0.0,,0.0,,0.0,3.79
2018-09-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,690977.83,0.69,0.0,,0.0,,0.0,3.791
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,565105.2,0.69,0.0,,0.0,,0.0,3.1
2018-10-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,576042.72,0.57,0.0,,0.0,,0.0,3.16
2018-10-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,532201.49,0.58,0.0,,0.0,,0.0,2.92
2018-10-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,541407.24,0.53,0.0,,0.0,,0.0,2.97
2018-10-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,545053.08,0.54,0.0,,0.0,,0.0,2.99
2018-10-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,546876.0,0.55,0.0,,0.0,,0.0,3.0
2018-10-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,563282.28,0.55,0.0,,0.0,,0.0,3.09
2018-10-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,550521.84,0.55,0.0,,0.0,,0.0,3.02
2018-10-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,545053.08,0.55,0.0,,0.0,,0.0,2.99
2018-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,545053.08,0.55,0.0,,0.0,,0.0,2.99
2018-10-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,546876.0,0.55,0.0,,0.0,,0.0,3.0
2018-10-16,19000.0,57000.0,2.68,8.99,0.24,0.06,0.0,0.0,19000.0,0.0,57000.0,,,,,,,,,,19000.0,,0.06,,100.0,10.42,0.0,0.0,0.0,100.0,,1.0,100.0,0.1042,3.0
2018-10-17,19000.0,57000.0,2.68,8.74,0.24,0.06,0.0,0.0,19000.0,0.0,57000.0,,,,,,,,,,,,0.06,,100.0,10.42,0.0,0.0,0.0,100.0,,1.0,100.0,0.1042,3.0
2018-10-18,19000.0,56810.0,2.68,9.31,0.24,0.06,0.0,0.0,19000.0,0.0,56810.0,,,,,,,,,,,,0.06,,100.0,10.42,0.0,0.0,0.0,100.0,,1.0,100.0,0.1042,2.99
2018-10-19,19000.0,57000.0,2.68,9.33,0.24,0.06,0.0,0.0,19000.0,0.0,57000.0,,,,,,,,,,,,0.06,,100.0,10.42,0.0,0.0,0.0,100.0,,1.0,100.0,0.1042,3.0
2018-10-22,19000.0,57000.0,2.68,9.21,0.24,0.06,0.0,0.0,19000.0,0.0,57000.0,,,,,,,,,,,,0.06,,100.0,10.42,0.0,0.0,0.0,100.0,,1.0,100.0,0.1042,3.0
2018-10-23,19000.0,57000.0,2.68,8.84,0.24,0.06,0.0,0.0,19000.0,0.0,57000.0,,,,,,,,,,,,0.06,,100.0,10.42,0.0,0.0,0.0,100.0,,1.0,100.0,0.1042,3.0
2018-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.06,,19000.0,,,,,,0.0,,0.0,0.0,182292.0,545053.08,0.55,0.0,,0.0,,0.0,2.99
2018-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,546876.0,0.55,0.0,,0.0,,0.0,3.0
2018-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,546876.0,0.55,0.0,,0.0,,0.0,3.0
2018-10-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,546876.0,0.55,0.0,,0.0,,0.0,3.0
2018-10-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,546876.0,0.55,0.0,,0.0,,0.0,3.0
2018-10-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,546876.0,0.55,0.0,,0.0,,0.0,3.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,546876.0,0.55,0.0,,0.0,,0.0,3.0
2018-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,546511.42,0.55,0.0,,0.0,,0.0,2.998
2018-11-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,546602.56,0.55,0.0,,0.0,,0.0,2.999
2018-11-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,535938.48,0.55,0.0,,0.0,,0.0,2.94
2018-11-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,510417.6,0.54,0.0,,0.0,,0.0,2.8
2018-11-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,179303.0,502048.4,0.5,0.0,,0.0,,0.0,2.8
2018-11-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,177773.0,461232.05,0.5,0.0,,0.0,,0.0,2.595
2018-11-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,177603.0,493558.74,0.46,0.0,,0.0,,0.0,2.779
2018-11-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,175511.0,516002.34,0.49,0.0,,0.0,,0.0,2.94
2018-11-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,346421.4,0.34,0.0,,0.0,,0.0,2.99
2018-11-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,347580.0,0.35,0.0,,0.0,,0.0,3.0
2018-11-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,350418.57,0.35,0.0,,0.0,,0.0,3.025
2018-11-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,353373.0,0.35,0.0,,0.0,,0.0,3.05
2018-11-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,358007.4,0.35,0.0,,0.0,,0.0,3.09
2018-11-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,352388.19,0.36,0.0,,0.0,,0.0,3.042
2018-11-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,350476.5,0.35,0.0,,0.0,,0.0,3.025
2018-11-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,352677.84,0.35,0.0,,0.0,,0.0,3.044
2018-11-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,357833.61,0.35,0.0,,0.0,,0.0,3.089
2018-11-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,358007.4,0.36,0.0,,0.0,,0.0,3.09
2018-11-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,388131.0,0.36,0.0,,0.0,,0.0,3.35
2018-11-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,395082.6,0.39,0.0,,0.0,,0.0,3.41
2018-11-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,396241.2,0.4,0.0,,0.0,,0.0,3.42
2018-12-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,396241.2,0.4,0.0,,0.0,,0.0,3.42
2018-12-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,372489.9,0.4,0.0,,0.0,,0.0,3.215
2018-12-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,370983.72,0.37,0.0,,0.0,,0.0,3.202
2018-12-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,341844.93,0.37,0.0,,0.0,,0.0,2.951
2018-12-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,332518.2,0.34,0.0,,0.0,,0.0,2.87
2018-12-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,324408.0,0.33,0.0,,0.0,,0.0,2.8
2018-12-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,341439.42,0.32,0.0,,0.0,,0.0,2.947
2018-12-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,341671.14,0.34,0.0,,0.0,,0.0,2.949
2018-12-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,342308.37,0.34,0.0,,0.0,,0.0,2.955
2018-12-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,345262.8,0.34,0.0,,0.0,,0.0,2.98
2018-12-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,345262.8,0.35,0.0,,0.0,,0.0,2.98
2018-12-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,353373.0,0.35,0.0,,0.0,,0.0,3.05
2018-12-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,357891.54,0.35,0.0,,0.0,,0.0,3.089
2018-12-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,351055.8,0.36,0.0,,0.0,,0.0,3.03
2018-12-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,359166.0,0.35,0.0,,0.0,,0.0,3.1
2018-12-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,359166.0,0.36,0.0,,0.0,,0.0,3.1
2018-12-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,359166.0,0.36,0.0,,0.0,,0.0,
2018-12-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,359166.0,0.36,0.0,,0.0,,0.0,
2018-12-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,359166.0,0.36,0.0,,0.0,,0.0,3.1
2018-12-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,366117.6,0.36,0.0,,0.0,,0.0,3.16
2018-12-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,368434.8,0.37,0.0,,0.0,,0.0,3.18
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,368434.8,0.37,0.0,,0.0,,0.0,
2019-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,368434.8,0.37,0.0,,0.0,,0.0,3.18
2019-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,367334.13,0.37,0.0,,0.0,,0.0,3.171
2019-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,364959.0,0.37,0.0,,0.0,,0.0,3.15
2019-01-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,363800.4,0.37,0.0,,0.0,,0.0,3.14
2019-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,364959.0,0.36,0.0,,0.0,,0.0,3.15
2019-01-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,115860.0,364959.0,0.37,0.0,,0.0,,0.0,3.15
