,SADU FP Equity_DX_SI_QTY,SADU FP Equity_DX_SHORT_INTEREST_VALUE,SADU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SADU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SADU FP Equity_DX_SI_MV,SADU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SADU FP Equity_DX_SUPPLY_SI_QTY,SADU FP Equity_DX_BROKER_SI_QTY,SADU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SADU FP Equity_DX_SUPPLY_SI_MV_DEC,SADU FP Equity_DX_SUPPLY_SI_QTY_DEC,SADU FP Equity_DX_SUPPLY_SI_QTY_ADD,SADU FP Equity_DX_SUPPLY_SI_MV,SADU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SADU FP Equity_DX_UTILIZATION_QUANTITY,SADU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SADU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SADU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SADU FP Equity_DX_ACTIVE_UTILIZATION_MV,SADU FP Equity_DX_BROKER_SI_CON_RATIO,SADU FP Equity_DX_DEMAND_SUPPLY_RATIO,SADU FP Equity_PX_LAST
2020-11-18,,,,,,,,,,,,,,,,,,,,,,63.39
2020-11-19,,,,,,,,,,,,,,,,,,,,,,62.61
2020-11-20,,,,,,,,,,,,,,,,,,,,,,62.88
2020-11-23,,,,,,,,,,,,,,,,,,,,,,62.64
2020-11-24,,,,,,,,,,,,,,,,,,,,,,64.0
2020-11-25,,,,,,,,,,,,,,,,,,,,,,63.79
2020-11-26,,,,,,,,,,,,,,,,,,,,,,63.86
2020-11-27,,,,,,,,,,,,,,,,,,,,,,64.16
2020-11-30,,,,,,,,,,,,,,,,,,,,,,63.37
2020-12-01,,,,,,,,,,,,,,,,,,,,,,64.34
2020-12-02,,,,,,,,,,,,,,,,,,,,,,64.11
2020-12-03,,,,,,,,,,,,,,,,,,,,,,64.5
2020-12-04,,,,,,,,,,,,,,,,,,,,,,64.68
2020-12-07,,,,,,,,,,,,,,,,,,,,,,64.81
2020-12-08,,,,,,,,,,,,,,,,,,,,,,64.89
2020-12-09,,,,,,,,,,,,,,,,,,,,,,64.74
2020-12-10,,,,,,,,,,,,,,,,,,,,,,64.38
2020-12-11,,,,,,,,,,,,,,,,,,,,,,64.02
2020-12-14,,,,,,,,,,,,,,,,,,,,,,64.63
2020-12-15,,,,,,,,,,,,,,,,,,,,,,64.39
2020-12-16,,,,,,,,,,,,,,,,,,,,,,64.84
2020-12-17,,,,,,,,,,,,,,,,,,,,,,65.25
2020-12-18,,,,,,,,,,,,,,,,,,,,,,65.24
2020-12-21,,,,,,,,,,,,,,,,,,,,,,64.49
2020-12-22,,,,,,,,,,,,,,,,,,,,,,64.78
2020-12-23,,,,,,,,,,,,,,,,,,,,,,65.05
2020-12-24,,,,,,,,,,,,,,,,,,,,,,64.98
2020-12-28,,,,,,,,,,,,,,,,,,,,,,65.48
2020-12-29,,,,,,,,,,,,,,,,,,,,,,65.46
2020-12-30,,,,,,,,,,,,,,,,,,,,,,65.6
2020-12-31,,,,,,,,,,,,,,,,,,,,,,65.66
2021-01-04,,,,,,,,,,,,,,,,,,,,,,65.26
2021-01-05,,,,,,,,,,,,,,,,,,,,,,65.42
2021-01-06,,,,,,,,,,,,,,,,,,,,,,66.59
2021-01-07,,,,,,,,,,,,,,,,,,,,,,67.22
2021-01-08,,,,,,,,,,,,,,,,,,,,,,67.55
2021-01-11,,,,,,,,,,,,,,,,,,,,,,67.6
2021-01-12,,,,,,,,,,,,,,,,,,,,,,67.51
2021-01-13,,,,,,,,,,,,,,,,,,,,,,67.54
2021-01-14,,,,,,,,,,,,,,,,,,,,,,67.51
2021-01-15,,,,,,,,,,,,,,,,,,,,,,66.84
2021-01-18,,,,,,,,,,,,,,,,,,,,,,66.85
2021-01-19,,,,,,,,,,,,,,,,,,,,,,67.03
2021-01-20,,,,,,,,,,,,,,,,,,,,,,67.91
2021-01-21,,,,,,,,,,,,,,,,,,,,,,67.92
2021-01-22,,,,,,,,,,,,,,,,,,,,,,67.65
2021-01-25,,,,,,,,,,,,,,,,,,,,,,67.24
2021-01-26,,,,,,,,,,,,,,,,,,,,,,67.64
2021-01-27,,,,,,,,,,,,,,,,,,,,,,66.34
2021-01-28,,,,,,,,,,,,,,,,,,,,,,67.03
2021-01-29,,,,,,,,,,,,,,,,,,,,,,65.9
2021-02-01,,,,,,,,,,,,,,,,,,,,,,66.32
2021-02-02,,,,,,,,,,,,,,,,,,,,,,67.76
2021-02-03,,,,,,,,,,,,,,,,,,,,,,67.7
2021-02-04,,,,,,,,,,,,,,,,,,,,,,68.23
2021-02-05,,,,,,,,,,,,,,,,,,,,,,68.75
2021-02-08,,,,,,,,,,,,,,,,,,,,,,68.99
2021-02-09,,,,,,,,,,,,,,,,,,,,,,69.11
2021-02-10,,,,,,,,,,,,,,,,,,,,,,69.06
2021-02-11,,,,,,,,,,,,,,,,,,,,,,69.44
2021-02-12,,,,,,,,,,,,,,,,,,,,,,69.57
2021-02-15,,,,,,,,,,,,,,,,,,,,,,70.03
2021-02-16,,,,,,,,,,,,,,,,,,,,,,69.7
2021-02-17,,,,,,,,,,,,,,,,,,,,,,69.14
2021-02-18,,,,,,,,,,,,,,,,,,,,,,69.08
2021-02-19,,,,,,,,,,,,,,,,,,,,,,69.7
2021-02-22,,,,,,,,,,,,,,,,,,,,,,68.83
2021-02-23,,,,,,,,,,,,,,,,,,,,,,68.4
2021-02-24,,,,,,,,,,,,,,,,,,,,,,69.18
2021-02-25,,,,,,,,,,,,,,,,,,,,,,68.84
2021-02-26,,,,,,,,,,,,,,,,,,,,,,67.86
2021-03-01,,,,,,,,,,,,,,,,,,,,,,68.93
2021-03-02,,,,,,,,,,,,,,,,,,,,,,68.48
2021-03-03,,,,,,,,,,,,,,,,,,,,,,68.21
2021-03-04,,,,,,,,,,,,,,,,,,,,,,67.28
2021-03-05,,,,,,,,,,,,,,,,,,,,,,65.73
2021-03-08,,,,,,,,,,,,,,,,,,,,,,68.39
2021-03-09,,,,,,,,,,,,,,,,,,,,,,68.85
2021-03-10,,,,,,,,,,,,,,,,,,,,,,69.09
2021-03-11,,,,,,,,,,,,,,,,,,,,,,69.9
2021-03-12,,,,,,,,,,,,,,,,,,,,,,69.4
2021-03-15,,,,,,,,,,,,,,,,,,,,,,69.78
2021-03-16,,,,,,,,,,,,,,,,,,,,,,70.18
2021-03-17,,,,,,,,,,,,,,,,,,,,,,69.76
2021-03-18,,,,,,,,,,,,,,,,,,,,,,70.05
2021-03-19,,,,,,,,,,,,,,,,,,,,,,69.22
2021-03-22,,,,,,,,,,,,,,,,,,,,,,69.71
2021-03-23,,,,,,,,,,,,,,,,,,,,,,69.6
2021-03-24,,,,,,,,,,,,,,,,,,,,,,69.62
2021-03-25,,,,,,,,,,,,,,,,,,,,,,68.9
2021-03-26,,,,,,,,,,,,,,,,,,,,,,69.9
2021-03-29,,,,,,,,,,,,,,,,,,,,,,70.23
2021-03-30,,,,,,,,,,,,,,,,,,,,,,70.36
2021-03-31,,,,,,,,,,,,,,,,,,,,,,70.65
2021-04-01,,,,,,,,,,,,,,,,,,,,,,71.2
2021-04-06,,,,,,,,,,,,,,,,,,,,,,72.54
2021-04-07,,,,,,,,,,,,,,,,,,,,,,72.26
2021-04-08,,,,,,,,,,,,,,,,,,,,,,72.5
2021-04-09,,,,,,,,,,,,,,,,,,,,,,72.62
2021-04-12,,,,,,,,,,,,,,,,,,,,,,73.06
2021-04-13,,,,,,,,,,,,,,,,,,,,,,73.29
2021-04-14,,,,,,,,,,,,,,,,,,,,,,73.57
2021-04-15,,,,,,,,,,,,,,,,,,,,,,73.9
2021-04-16,,,,,,,,,,,,,,,,,,,,,,74.24
2021-04-19,,,,,,,,,,,,,,,,,,,,,,73.95
2021-04-20,,,,,,,,,,,,,,,,,,,,,,73.3
2021-04-21,,,,,,,,,,,,,,,,,,,,,,73.97
2021-04-22,,,,,,,,,,,,,,,,,,,,,,74.36
2021-04-23,,,,,,,,,,,,,,,,,,,,,,74.32
2021-04-26,,,,,,,,,,,,,,,,,,,,,,74.57
2021-04-27,,,,,,,,,,,,,,,,,,,,,,74.36
2021-04-28,,,,,,,,,,,,,,,,,,,,,,74.32
2021-04-29,,,,,,,,,,,,,,,,,,,,,,74.19
2021-04-30,,,,,,,,,,,,,,,,,,,,,,74.06
2021-05-03,,,,,,,,,,,,,,,,,,,,,,74.48
2021-05-04,,,,,,,,,,,,,,,,,,,,,,73.56
2021-05-05,,,,,,,,,,,,,,,,,,,,,,74.19
2021-05-06,,,,,,,,,,,,,,,,,,,,,,74.13
2021-05-07,,,,,,,,,,,,,,,,,,,,,,75.2
2021-05-10,,,,,,,,,,,,,,,,,,,,,,75.31
2021-05-11,,,,,,,,,,,,,,,,,,,,,,73.74
2021-05-12,,,,,,,,,,,,,,,,,,,,,,72.75
2021-05-13,,,,,,,,,,,,,,,,,,,,,,72.91
2021-05-14,,,,,,,,,,,,,,,,,,,,,,73.81
2021-05-17,,,,,,,,,,,,,,,,,,,,,,73.4
2021-05-18,,,,,,,,,,,,,,,,,,,,,,73.55
2021-05-19,,,,,,,,,,,,,,,,,,,,,,72.15
2021-05-20,,,,,,,,,,,,,,,,,,,,,,73.6
2021-05-21,,,,,,,,,,,,,,,,,,,,,,73.91
2021-05-24,,,,,,,,,,,,,,,,,,,,,,74.45
2021-05-25,,,,,,,,,,,,,,,,,,,,,,74.23
2021-05-26,,,,,,,,,,,,,,,,,,,,,,74.34
2021-05-27,,,,,,,,,,,,,,,,,,,,,,74.5
2021-05-28,,,,,,,,,,,,,,,,,,,,,,74.81
2021-05-31,,,,,,,,,,,,,,,,,,,,,,74.54
2021-06-01,,,,,,,,,,,,,,,,,,,,,,74.88
2021-06-02,,,,,,,,,,,,,,,,,,,,,,74.68
2021-06-03,,,,,,,,,,,,,,,,,,,,,,74.41
2021-06-04,,,,,,,,,,,,,,,,,,,,,,74.85
2021-06-07,,,,,,,,,,,,,,,,,,,,,,74.82
2021-06-08,,,,,,,,,,,,,,,,,,,,,,74.79
2021-06-09,,,,,,,,,,,,,,,,,,,,,,75.05
2021-06-10,,,,,,,,,,,,,,,,,,,,,,75.17
2021-06-11,,,,,,,,,,,,,,,,,,,,,,75.25
2021-06-14,,,,,,,,,,,,,,,,,,,,,,75.14
2021-06-15,,,,,,,,,,,,,,,,,,,,,,75.21
2021-06-16,,,,,,,,,,,,,,,,,,,,,,75.21
2021-06-17,,,,,,,,,,,,,,,,,,,,,,74.84
2021-06-18,,,,,,,,,,,,,,,,,,,,,,74.12
2021-06-21,,,,,,,,,,,,,,,,,,,,,,74.8
2021-06-22,,,,,,,,,,,,,,,,,,,,,,75.24
2021-06-23,,,,,,,,,,,,,,,,,,,,,,75.32
2021-06-24,,,,,,,,,,,,,,,,,,,,,,75.75
2021-06-25,,,,,,,,,,,,,,,,,,,,,,76.12
2021-06-28,,,,,,,,,,,,,,,,,,,,,,76.15
2021-06-29,,,,,,,,,,,,,,,,,,,,,,76.46
2021-06-30,,,,,,,,,,,,,,,,,,,,,,76.35
2021-07-01,,,,,,,,,,,,,,,,,,,,,,76.65
2021-07-02,,,,,,,,,,,,,,,,,,,,,,77.15
2021-07-05,,,,,,,,,,,,,,,,,,,,,,77.43
2021-07-06,,,,,,,,,,,,,,,,,,,,,,76.79
2021-07-07,,,,,,,,,,,,,,,,,,,,,,77.18
2021-07-08,,,,,,,,,,,,,,,,,,,,,,76.49
2021-07-09,,,,,,,,,,,,,,,,,,,,,,77.24
2021-07-12,,,,,,,,,,,,,,,,,,,,,,77.56
2021-07-13,,,,,,,,,,,,,,,,,,,,,,77.79
2021-07-14,,,,,,,,,,,,,,,,,,,,,,77.48
2021-07-15,,,,,,,,,,,,,,,,,,,,,,77.38
2021-07-16,,,,,,,,,,,,,,,,,,,,,,77.24
2021-07-19,,,,,,,,,,,,,,,,,,,,,,75.95
2021-07-20,,,,,,,,,,,,,,,,,,,,,,76.79
2021-07-21,,,,,,,,,,,,,,,,,,,,,,77.41
2021-07-22,,,,,,,,,,,,,,,,,,,,,,77.52
2021-07-23,,,,,,,,,,,,,,,,,,,,,,78.35
2021-07-26,,,,,,,,,,,,,,,,,,,,,,78.46
2021-07-27,,,,,,,,,,,,,,,,,,,,,,77.9
2021-07-28,,,,,,,,,,,,,,,,,,,,,,78.2
2021-07-29,,,,,,,,,,,,,,,,,,,,,,78.76
2021-07-30,,,,,,,,,,,,,,,,,,,,,,78.5
2021-08-02,,,,,,,,,,,,,,,,,,,,,,78.88
2021-08-03,,,,,,,,,,,,,,,,,,,,,,78.5
2021-08-04,,,,,,,,,,,,,,,,,,,,,,78.69
2021-08-05,,,,,,,,,,,,,,,,,,,,,,78.99
2021-08-06,,,,,,,,,,,,,,,,,,,,,,79.16
2021-08-09,,,,,,,,,,,,,,,,,,,,,,79.09
2021-08-10,,,,,,,,,,,,,,,,,,,,,,79.17
2021-08-11,,,,,,,,,,,,,,,,,,,,,,79.26
2021-08-12,,,,,,,,,,,,,,,,,,,,,,79.34
2021-08-13,,,,,,,,,,,,,,,,,,,,,,79.68
2021-08-16,,,,,,,,,,,,,,,,,,,,,,79.51
2021-08-17,,,,,,,,,,,,,,,,,,,,,,79.32
2021-08-18,,,,,,,,,,,,,,,,,,,,,,79.29
2021-08-19,,,,,,,,,,,,,,,,,,,,,,78.74
2021-08-20,,,,,,,,,,,,,,,,,,,,,,79.46
2021-08-23,,,,,,,,,,,,,,,,,,,,,,80.33
2021-08-24,,,,,,,,,,,,,,,,,,,,,,80.32
2021-08-25,,,,,,,,,,,,,,,,,,,,,,80.56
2021-08-26,,,,,,,,,,,,,,,,,,,,,,80.21
2021-08-27,,,,,,,,,,,,,,,,,,,,,,80.66
2021-08-30,,,,,,,,,,,,,,,,,,,,,,81.15
2021-08-31,,,,,,,,,,,,,,,,,,,,,,80.98
2021-09-01,,,,,,,,,,,,,,,,,,,,,,80.85
2021-09-02,,,,,,,,,,,,,,,,,,,,,,81.02
2021-09-03,,,,,,,,,,,,,,,,,,,,,,81.03
2021-09-06,,,,,,,,,,,,,,,,,,,,,,81.27
2021-09-07,,,,,,,,,,,,,,,,,,,,,,80.56
2021-09-08,,,,,,,,,,,,,,,,,,,,,,80.28
2021-09-09,,,,,,,,,,,,,,,,,,,,,,80.57
2021-09-10,,,,,,,,,,,,,,,,,,,,,,80.16
2021-09-13,,,,,,,,,,,,,,,,,,,,,,79.72
2021-09-14,,,,,,,,,,,,,,,,,,,,,,79.79
2021-09-15,,,,,,,,,,,,,,,,,,,,,,79.8
2021-09-16,,,,,,,,,,,,,,,,,,,,,,79.73
2021-09-17,,,,,,,,,,,,,,,,,,,,,,79.58
2021-09-20,,,,,,,,,,,,,,,,,,,,,,78.22
2021-09-21,,,,,,,,,,,,,,,,,,,,,,78.56
2021-09-22,,,,,,,,,,,,,,,,,,,,,,78.99
2021-09-23,,,,,,,,,,,,,,,,,,,,,,79.84
2021-09-24,,,,,,,,,,,,,,,,,,,,,,79.67
2021-09-27,,,,,,,,,,,,,,,,,,,,,,79.64
2021-09-28,,,,,,,,,,,,,,,,,,,,,,78.05
2021-09-29,,,,,,,,,,,,,,,,,,,,,,78.2
2021-09-30,,,,,,,,,,,,,,,,,,,,,,77.78
2021-10-01,,,,,,,,,,,,,,,,,,,,,,77.27
2021-10-04,,,,,,,,,,,,,,,,,,,,,,76.55
2021-10-05,,,,,,,,,,,,,,,,,,,,,,77.92
2021-10-06,,,,,,,,,,,,,,,,,,,,,,76.82
2021-10-07,,,,,,,,,,,,,,,,,,,,,,79.05
2021-10-08,,,,,,,,,,,,,,,,,,,,,,78.62
2021-10-11,,,,,,,,,,,,,,,,,,,,,,78.86
2021-10-12,,,,,,,,,,,,,,,,,,,,,,78.16
2021-10-13,,,,,,,,,,,,,,,,,,,,,,77.95
2021-10-14,,,,,,,,,,,,,,,,,,,,,,79.52
2021-10-15,,,,,,,,,,,,,,,,,,,,,,80.21
2021-10-18,,,,,,,,,,,,,,,,,,,,,,80.44
2021-10-19,,,,,,,,,,,,,,,,,,,,,,80.96
2021-10-20,,,,,,,,,,,,,,,,,,,,,,81.28
2021-10-21,,,,,,,,,,,,,,,,,,,,,,81.33
2021-10-22,,,,,,,,,,,,,,,,,,,,,,81.66
2021-10-25,,,,,,,,,,,,,,,,,,,,,,82.33
2021-10-26,,,,,,,,,,,,,,,,,,,,,,83.0
2021-10-27,,,,,,,,,,,,,,,,,,,,,,82.87
2021-10-28,,,,,,,,,,,,,,,,,,,,,,83.05
2021-10-29,,,,,,,,,,,,,,,,,,,,,,83.52
2021-11-01,,,,,,,,,,,,,,,,,,,,,,83.81
2021-11-02,,,,,,,,,,,,,,,,,,,,,,84.22
2021-11-03,,,,,,,,,,,,,,,,,,,,,,84.05
2021-11-04,,,,,,,,,,,,,,,,,,,,,,85.08
2021-11-05,,,,,,,,,,,,,,,,,,,,,,85.65
2021-11-08,,,,,,,,,,,,,,,,,,,,,,85.47
2021-11-09,,,,,,,,,,,,,,,,,,,,,,85.06
2021-11-10,,,,,,,,,,,,,,,,,,,,,,84.99
2021-11-11,,,,,,,,,,,,,,,,,,,,,,84.53
2021-11-12,,,,,,,,,,,,,,,,,,,,,,84.88
2021-11-15,,,,,,,,,,,,,,,,,,,,,,84.85
2021-11-16,,,,,,,,,,,,,,,,,,,,,,85.49
2021-11-17,,,,,,,,,,,,,,,,,,,,,,85.02
2021-11-18,,,,,,,,,,,,,,,,,,,,,,85.08
2021-11-19,,,,,,,,,,,,,,,,,,,,,,85.19
2021-11-22,,,,,,,,,,,,,,,,,,,,,,85.6
2021-11-23,,,,,,,,,,,,,,,,,,,,,,84.33
2021-11-24,,,,,,,,,,,,,,,,,,,,,,84.61
2021-11-25,,,,,,,,,,,,,,,,,,,,,,85.05
2021-11-26,,,,,,,,,,,,,,,,,,,,,,83.1
2021-11-29,,,,,,,,,,,,,,,,,,,,,,84.06
2021-11-30,,,,,,,,,,,,,,,,,,,,,,82.85
2021-12-01,,,,,,,,,,,,,,,,,,,,,,83.87
2021-12-02,,,,,,,,,,,,,,,,,,,,,,82.52
2021-12-03,,,,,,,,,,,,,,,,,,,,,,82.09
2021-12-06,,,,,,,,,,,,,,,,,,,,,,82.66
2021-12-07,,,,,,,,,,,,,,,,,,,,,,84.71
2021-12-08,,,,,,,,,,,,,,,,,,,,,,84.45
2021-12-09,,,,,,,,,,,,,,,,,,,,,,84.64
2021-12-10,,,,,,,,,,,,,,,,,,,,,,84.35
2021-12-13,,,,,,,,,,,,,,,,,,,,,,84.0
2021-12-14,,,,,,,,,,,,,,,,,,,,,,82.86
2021-12-15,,,,,,,,,,,,,,,,,,,,,,82.97
2021-12-16,,,,,,,,,,,,,,,,,,,,,,84.39
2021-12-17,,,,,,,,,,,,,,,,,,,,,,83.53
2021-12-20,,,,,,,,,,,,,,,,,,,,,,81.41
2021-12-21,,,,,,,,,,,,,,,,,,,,,,82.64
2021-12-22,,,,,,,,,,,,,,,,,,,,,,84.27
2021-12-23,,,,,,,,,,,,,,,,,,,,,,85.2
2021-12-24,,,,,,,,,,,,,,,,,,,,,,85.39
2021-12-27,,,,,,,,,,,,,,,,,,,,,,86.06
2021-12-28,,,,,,,,,,,,,,,,,,,,,,86.46
2021-12-29,,,,,,,,,,,,,,,,,,,,,,86.43
2021-12-30,,,,,,,,,,,,,,,,,,,,,,86.69
2021-12-31,,,,,,,,,,,,,,,,,,,,,,86.2
2022-01-03,,,,,,,,,,,,,,,,,,,,,,85.95
2022-01-04,,,,,,,,,,,,,,,,,,,,,,86.31
2022-01-05,,,,,,,,,,,,,,,,,,,,,,86.07
2022-01-06,,,,,,,,,,,,,,,,,,,,,,84.4
2022-01-07,,,,,,,,,,,,,,,,,,,,,,83.9
2022-01-10,,,,,,,,,,,,,,,,,,,,,,82.47
2022-01-11,,,,,,,,,,,,,,,,,,,,,,83.67
2022-01-12,,,,,,,,,,,,,,,,,,,,,,84.54
2022-01-13,,,,,,,,,,,,,,,,,,,,,,84.46
2022-01-14,,,,,,,,,,,,,,,,,,,,,,82.63
2022-01-17,,,,,,,,,,,,,,,,,,,,,,83.25
2022-01-18,,,,,,,,,,,,,,,,,,,,,,81.89
2022-01-19,,,,,,,,,,,,,,,,,,,,,,81.63
2022-01-20,,,,,,,,,,,,,,,,,,,,,,82.26
2022-01-21,,,,,,,,,,,,,,,,,,,,,,80.41
2022-01-24,,,,,,,,,,,,,,,,,,,,,,76.97
2022-01-25,,,,,,,,,,,,,,,,,,,,,,77.59
2022-01-26,,,,,,,,,,,,,,,,,,,,,,79.19
2022-01-27,,,,,,,,,,,,,,,,,,,,,,78.48
2022-01-28,,,,,,,,,,,,,,,,,,,,,,77.64
2022-01-31,,,,,,,,,,,,,,,,,,,,,,79.59
2022-02-01,,,,,,,,,,,,,,,,,,,,,,80.47
2022-02-02,,,,,,,,,,,,,,,,,,,,,,81.24
2022-02-03,,,,,,,,,,,,,,,,,,,,,,81.22
2022-02-04,,,,,,,,,,,,,,,,,,,,,,79.95
2022-02-07,,,,,,,,,,,,,,,,,,,,,,80.29
2022-02-08,,,,,,,,,,,,,,,,,,,,,,80.49
2022-02-09,,,,,,,,,,,,,,,,,,,,,,81.81
2022-02-10,,,,,,,,,,,,,,,,,,,,,,81.43
2022-02-11,,,,,,,,,,,,,,,,,,,,,,80.03
2022-02-14,,,,,,,,,,,,,,,,,,,,,,78.65
2022-02-15,,,,,,,,,,,,,,,,,,,,,,79.9
2022-02-16,,,,,,,,,,,,,,,,,,,,,,79.42
2022-02-17,,,,,,,,,,,,,,,,,,,,,,78.91
2022-02-18,,,,,,,,,,,,,,,,,,,,,,77.72
2022-02-21,,,,,,,,,,,,,,,,,,,,,,76.99
2022-02-22,,,,,,,,,,,,,,,,,,,,,,77.18
2022-02-23,,,,,,,,,,,,,,,,,,,,,,76.41
2022-02-24,,,,,,,,,,,,,,,,,,,,,,74.67
2022-02-25,,,,,,,,,,,,,,,,,,,,,,77.73
2022-02-28,,,,,,,,,,,,,,,,,,,,,,78.08
2022-03-01,,,,,,,,,,,,,,,,,,,,,,76.85
2022-03-02,,,,,,,,,,,,,,,,,,,,,,78.14
2022-03-03,,,,,,,,,,,,,,,,,,,,,,77.8
2022-03-04,,,,,,,,,,,,,,,,,,,,,,76.47
2022-03-07,,,,,,,,,,,,,,,,,,,,,,75.74
2022-03-08,,,,,,,,,,,,,,,,,,,,,,73.89
2022-03-09,,,,,,,,,,,,,,,,,,,,,,76.06
2022-03-10,,,,,,,,,,,,,,,,,,,,,,74.74
2022-03-11,,,,,,,,,,,,,,,,,,,,,,75.39
2022-03-14,,,,,,,,,,,,,,,,,,,,,,74.68
2022-03-15,,,,,,,,,,,,,,,,,,,,,,75.51
2022-03-16,,,,,,,,,,,,,,,,,,,,,,77.37
2022-03-17,,,,,,,,,,,,,,,,,,,,,,78.07
2022-03-18,,,,,,,,,,,,,,,,,,,,,,79.13
2022-03-21,,,,,,,,,,,,,,,,,,,,,,79.45
2022-03-22,,,,,,,,,,,,,,,,,,,,,,80.21
2022-03-23,,,,,,,,,,,,,,,,,,,,,,79.83
2022-03-24,,,,,,,,,,,,,,,,,,,,,,79.71
2022-03-25,,,,,,,,,,,,,,,,,,,,,,80.22
2022-03-28,,,,,,,,,,,,,,,,,,,,,,80.61
2022-03-29,,,,,,,,,,,,,,,,,,,,,,82.25
2022-03-30,,,,,,,,,,,,,,,,,,,,,,82.15
2022-03-31,,,,,,,,,,,,,,,,,,,,,,81.82
2022-04-01,,,,,,,,,,,,,,,,,,,,,,80.75
2022-04-04,,,,,,,,,,,,,,,,,,,,,,81.37
2022-04-05,,,,,,,,,,,,,,,,,,,,,,81.3
