,CBDG FP Equity_DX_SI_QTY,CBDG FP Equity_DX_SHORT_INTEREST_VALUE,CBDG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CBDG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CBDG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CBDG FP Equity_DX_SI_MV,CBDG FP Equity_DX_DSS,CBDG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CBDG FP Equity_DX_SUPPLY_SI_QTY,CBDG FP Equity_DX_BROKER_SI_QTY,CBDG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CBDG FP Equity_DX_SUPPLY_SI_QTY_INC_x,CBDG FP Equity_DX_BROKER_SI_MV_INC_x,CBDG FP Equity_DX_BROKER_SI_QTY_ADD,CBDG FP Equity_DX_SUPPLY_SI_MV_DEC,CBDG FP Equity_DX_BROKER_SI_QTY_INC,CBDG FP Equity_DX_SUPPLY_SI_QTY_DEC,CBDG FP Equity_DX_BROKER_SI_MV_INC_y,CBDG FP Equity_DX_SUPPLY_SI_QTY_INC_y,CBDG FP Equity_DX_BROKER_SI_MV_ADD,CBDG FP Equity_DX_SUPPLY_SI_QTY_ADD,CBDG FP Equity_DX_BROKER_SI_QTY_DEC,CBDG FP Equity_DX_SUPPLY_SI_MV,CBDG FP Equity_DX_BROKER_SI_MV_DEC,CBDG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CBDG FP Equity_DX_UTILIZATION_QUANTITY,CBDG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CBDG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CBDG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CBDG FP Equity_DX_ACTIVE_UTILIZATION_MV,CBDG FP Equity_DX_BROKER_SI_CON_RATIO,CBDG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CBDG FP Equity_DX_DEMAND_SUPPLY_RATIO,CBDG FP Equity_PX_LAST
1989-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.91
1989-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.435
1989-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.807
1989-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.435
1990-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.91
1990-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.148
1990-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.538
1990-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.386
1990-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.861
1990-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.861
1990-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.861
1990-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.099
1990-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.099
1990-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.099
1990-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.099
1990-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.337
1990-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.575
1990-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.812
1990-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.05
1990-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.696
1990-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.172
1990-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.001
1990-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.019
1990-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.239
1990-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.019
1990-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.324
1990-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.001
1990-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.239
1990-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.239
1990-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.714
1990-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.714
1990-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.714
1990-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.952
1990-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.836
1990-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.293
1990-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.397
1990-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.72
1990-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.262
1990-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.092
1990-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.567
1990-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.854
1990-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.293
1990-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.562
1990-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.763
1990-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.045
1990-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.197
1990-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.996
1990-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.861
1990-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.246
1990-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.941
1990-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.941
1990-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.386
1990-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.74
1990-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.538
1990-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.045
1990-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.246
1990-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.277
1990-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.124
1990-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.533
1990-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.246
1990-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.246
1990-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.246
1990-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.228
1990-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.094
1990-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.77
1990-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.874
1990-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.856
1990-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.856
1990-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.569
1990-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.91
1990-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.112
1990-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.721
1990-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.77
1990-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.582
1990-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.985
1990-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.948
1990-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.064
1990-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.351
1990-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.485
1990-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.876
1990-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.485
1990-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.4
1990-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.211
1990-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.596
1990-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.73
1990-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.425
1990-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.663
1990-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.12
1990-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.12
1990-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.596
1990-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.785
1990-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.498
1990-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.449
1990-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.4
1990-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.346
1990-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.449
1990-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.925
1990-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.346
1990-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.498
1990-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.211
1990-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.638
1990-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.692
1990-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.333
1990-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.333
1990-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.297
1990-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.297
1990-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.297
1990-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.297
1990-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.925
1990-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.108
1990-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.358
1990-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.169
1990-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.816
1990-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.071
1990-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.974
1990-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.4
1990-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.705
1990-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.925
1990-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.351
1990-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.351
1990-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.558
1990-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.387
1990-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.747
1990-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.082
1990-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.217
1990-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.455
1990-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.948
1990-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.32
1990-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.778
1990-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.729
1990-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.491
1990-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.253
1990-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.289
1990-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.253
1990-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.302
1990-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.253
1990-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.204
1990-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.716
1990-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.533
1990-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.502
1990-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.623
1990-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.27
1990-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.337
1990-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.337
1990-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.916
1990-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.184
1990-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.471
1990-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.032
1990-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.916
1990-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.714
1990-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.916
1990-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.507
1990-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.812
1990-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.812
1990-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.05
1990-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.916
1990-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.239
1990-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.288
1990-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.288
1990-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.019
1990-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.056
1990-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.616
1990-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.567
1990-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.043
1990-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.433
1990-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.872
1990-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.195
1990-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.092
1990-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.988
1990-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.037
1990-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.037
1990-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.037
1990-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.037
1990-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.037
1990-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.428
1990-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.714
1990-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.665
1990-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.33
1990-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.823
1990-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.299
1990-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.64
1990-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.201
1990-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.591
1990-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.609
1990-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.371
1990-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.725
1990-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.658
1990-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.183
1990-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.469
1990-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.756
1990-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.994
1990-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.299
1990-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.469
1990-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.25
1990-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.469
1990-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.945
1990-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.945
1990-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.183
1990-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.183
1990-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.774
1990-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.774
1990-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.994
1990-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.146
1990-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.689
1990-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.433
1990-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.756
1990-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.994
1990-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.299
1990-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.469
1990-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.201
1991-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.963
1991-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.963
1991-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.963
1991-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
1991-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
1991-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
1991-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
1991-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
1991-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
1991-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.622
1991-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.092
1991-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.159
1991-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.348
1991-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.348
1991-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.348
1991-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.872
