,BALYO FP Equity_DX_SI_QTY,BALYO FP Equity_DX_SHORT_INTEREST_VALUE,BALYO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BALYO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BALYO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BALYO FP Equity_DX_SI_MV,BALYO FP Equity_DX_DSS,BALYO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BALYO FP Equity_DX_SUPPLY_SI_QTY,BALYO FP Equity_DX_BROKER_SI_QTY,BALYO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BALYO FP Equity_DX_BROKER_SI_MV_NEW_x,BALYO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BALYO FP Equity_DX_SUPPLY_SI_QTY_INC_x,BALYO FP Equity_DX_BROKER_SI_MV_INC_x,BALYO FP Equity_DX_SUPPLY_SI_MV_NEW,BALYO FP Equity_DX_BROKER_SI_QTY_ADD,BALYO FP Equity_DX_BROKER_SI_QTY_NEW,BALYO FP Equity_DX_SUPPLY_SI_MV_DEC,BALYO FP Equity_DX_BROKER_SI_QTY_INC,BALYO FP Equity_DX_SUPPLY_SI_QTY_DEC,BALYO FP Equity_DX_BROKER_SI_MV_NEW_y,BALYO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BALYO FP Equity_DX_BROKER_SI_MV_INC_y,BALYO FP Equity_DX_SUPPLY_SI_QTY_INC_y,BALYO FP Equity_DX_BROKER_SI_MV_ADD,BALYO FP Equity_DX_SUPPLY_SI_QTY_ADD,BALYO FP Equity_DX_BROKER_SI_QTY_DEC,BALYO FP Equity_DX_SUPPLY_SI_MV,BALYO FP Equity_DX_BROKER_SI_MV_DEC,BALYO FP Equity_DX_SUPPLY_SI_MV_RMV,BALYO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BALYO FP Equity_DX_UTILIZATION_QUANTITY,BALYO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BALYO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BALYO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BALYO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BALYO FP Equity_DX_ACTIVE_UTILIZATION_MV,BALYO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BALYO FP Equity_DX_BROKER_SI_CON_RATIO,BALYO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BALYO FP Equity_DX_DEMAND_SUPPLY_RATIO
2017-07-12,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,458871.0,,0.45,0.0,,0.0,,0.0
2017-07-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,471981.6,,0.47,0.0,,0.0,,0.0
2017-07-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,468485.44,,0.47,0.0,,0.0,,0.0
2017-07-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,463241.2,,0.46,0.0,,0.0,,0.0
2017-07-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,471981.6,,0.47,0.0,,0.0,,0.0
2017-07-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,471107.56,,0.47,0.0,,0.0,,0.0
2017-07-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,467611.4,,0.47,0.0,,0.0,,0.0
2017-07-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,469359.48,,0.47,0.0,,0.0,,0.0
2017-07-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,471981.6,,0.47,0.0,,0.0,,0.0
2017-07-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,472855.64,,0.47,0.0,,0.0,,0.0
2017-07-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,472855.64,,0.47,0.0,,0.0,,0.0
2017-07-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,468485.44,,0.47,0.0,,0.0,,0.0
2017-07-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,470233.52,,0.47,0.0,,0.0,,0.0
2017-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,458871.0,,0.46,0.0,,0.0,,0.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,445760.4,,0.45,0.0,,0.0,,0.0
2017-08-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,446634.44,,0.45,0.0,,0.0,,0.0
2017-08-03,1200.0,6216.0,0.02,0.03,0.0,0.01,0.0,6216.0,0.0,1200.0,0.0,,,,,,1200.0,,,,,,,,,0.01,,,0.0,,,0.0,0.0,87404.0,452752.72,,0.45,0.0,,1.0,100.0,0.0137
2017-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1200.0,0.0,0.01,,0.0,0.0,87404.0,447508.48,,0.45,0.0,,0.0,100.0,0.0
2017-08-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,87404.0,445760.4,,0.45,0.0,,0.0,,0.0
2017-08-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,84524.0,442060.52,,0.44,0.0,,0.0,,0.0
2017-08-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,403413.12,,0.4,0.0,,0.0,,0.0
2017-08-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,395008.68,,0.39,0.0,,0.0,,0.0
2017-08-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,394244.64,,0.39,0.0,,0.0,,0.0
2017-08-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,398828.88,,0.4,0.0,,0.0,,0.0
2017-08-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,399592.92,,0.4,0.0,,0.0,,0.0
2017-08-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,404177.16,,0.4,0.0,,0.0,,0.0
2017-08-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,407997.36,,0.41,0.0,,0.0,,0.0
2017-08-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,404941.2,,0.4,0.0,,0.0,,0.0
2017-08-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,404941.2,,0.41,0.0,,0.0,,0.0
2017-08-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,403413.12,,0.4,0.0,,0.0,,0.0
2017-08-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,402649.08,,0.4,0.0,,0.0,,0.0
2017-08-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,401885.04,,0.4,0.0,,0.0,,0.0
2017-08-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,398828.88,,0.4,0.0,,0.0,,0.0
2017-08-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,403413.12,,0.4,0.0,,0.0,,0.0
2017-08-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,408761.4,,0.41,0.0,,0.0,,0.0
2017-08-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,405705.24,,0.41,0.0,,0.0,,0.0
2017-08-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,76404.0,404177.16,,0.4,0.0,,0.0,,0.0
2017-09-01,1000.0,5160.0,0.01,0.04,0.0,0.01,0.0,0.0,1000.0,0.0,5160.0,,,,,,,,,,,,,,,,1000.0,,0.01,,,100.0,1.31,0.0,0.0,,0.0,100.0,,0.0,,0.0131
2017-09-04,1000.0,5110.0,0.01,0.04,0.0,0.01,0.0,0.0,1000.0,0.0,5110.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,1.31,0.0,0.0,,0.0,100.0,,0.0,,0.0131
2017-09-05,7000.0,36120.0,0.1,0.35,0.03,0.04,0.0,5160.0,6000.0,1000.0,30960.0,,,5000.0,,,1000.0,,,,,,,,5000.0,0.01,,,0.03,,,100.0,7.85,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0916
2017-09-06,7000.0,36960.0,0.1,0.35,0.03,0.04,0.0,5280.0,6000.0,1000.0,31680.0,,,,,,,,,,,,,,,,,,0.03,,,100.0,7.85,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0916
2017-09-07,2000.0,10680.0,0.03,0.11,0.01,0.01,0.0,5340.0,1000.0,1000.0,5340.0,,,,,,,,0.03,,5000.0,,,,,,,,0.01,,,100.0,1.31,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0262
2017-09-08,58403.0,310119.93,0.85,2.93,0.21,0.31,0.0,304809.93,57403.0,57403.0,304809.93,,,,,,56403.0,,,,,,,,,0.3,56403.0,,0.3,,,75.13,75.13,19001.0,100895.31,,0.1,75.11,1.75,0.9657,98.25,0.7644
2017-09-11,58403.0,315376.2,0.85,2.9,0.21,0.32,0.0,309976.2,57403.0,57403.0,309976.2,,,,,,,,,,,,,,,,,,0.31,,,75.13,75.13,19001.0,102605.4,,0.1,75.48,1.72,0.9662,98.28,0.7644
2017-09-12,58403.0,334065.16,0.85,2.93,0.21,0.33,0.0,328345.16,57403.0,57403.0,328345.16,,,,,,,,,,,,,,,,,,0.33,,,75.13,75.13,19001.0,108685.72,,0.11,75.11,1.66,0.9674,98.34,0.7644
2017-09-13,58403.0,336985.31,0.85,2.84,0.21,0.34,0.0,331215.31,57403.0,57403.0,331215.31,,,,,,,,,,,,,,,,,,0.33,,,75.13,75.13,19001.0,109635.77,,0.11,75.18,1.72,0.9661,98.28,0.7644
2017-09-14,58403.0,332897.1,0.85,2.73,0.21,0.33,0.0,327197.1,57403.0,57403.0,327197.1,,,,,,,,,,,,,,,,,,0.33,,,75.13,75.13,19001.0,108305.7,,0.11,74.83,1.77,0.9653,98.23,0.7644
2017-09-15,58403.0,337569.34,0.85,2.81,0.21,0.34,0.0,331789.34,57403.0,57403.0,331789.34,,,,,,,,,,,,,,,,,,0.33,,,75.13,75.13,19001.0,109825.78,,0.11,75.26,1.71,0.9664,98.29,0.7644
2017-09-18,58403.0,352754.12,0.85,2.91,0.21,0.35,0.0,346714.12,57403.0,57403.0,346714.12,,,,,,,,,,,,,,,,,,0.35,,,75.13,75.13,19001.0,114766.04,,0.11,75.93,1.67,0.9671,98.33,0.7644
2017-09-19,58403.0,351002.03,0.85,2.43,0.21,0.35,0.0,344992.03,57403.0,57403.0,344992.03,,,,,,,,,,,,,,,,,,0.34,,,75.13,75.13,19001.0,114196.01,,0.11,75.11,1.75,0.9656,98.25,0.7644
2017-09-20,56403.0,338418.0,0.82,2.98,0.2,0.34,0.0,338418.0,56403.0,56403.0,338418.0,,,,,,,,0.01,,1000.0,,,,,,,1000.0,0.34,0.01,,73.82,73.82,20001.0,120006.0,,0.12,73.96,,1.0,100.0,0.7382
2017-09-21,56403.0,346878.45,0.82,3.01,0.2,0.35,0.0,346878.45,56403.0,56403.0,346878.45,,,,,,,,,,,,,,,,,,0.35,,,73.82,73.82,20001.0,123006.15,,0.12,74.27,,1.0,100.0,0.7382
2017-09-22,56403.0,358159.05,0.82,2.99,0.2,0.36,0.0,358159.05,56403.0,56403.0,358159.05,,,,,,,,,,,,,,,,,,0.36,,,73.82,73.82,20001.0,127006.35,,0.13,73.86,,1.0,100.0,0.7382
2017-09-25,56403.0,370003.68,0.82,2.87,0.2,0.37,0.0,370003.68,56403.0,56403.0,370003.68,,,,,,,,,,,,,,,,,,0.37,,,73.82,73.82,20001.0,131206.56,,0.13,73.85,,1.0,100.0,0.7382
2017-09-26,56403.0,371695.77,0.82,2.59,0.2,0.37,0.0,371695.77,56403.0,56403.0,371695.77,,,,,,,,,,,,,,,,,,0.37,,,73.82,73.82,20001.0,131806.59,,0.13,73.78,,1.0,100.0,0.7382
2017-09-27,56403.0,373387.86,0.82,2.48,0.2,0.37,0.0,373387.86,56403.0,56403.0,373387.86,,,,,,,,,,,,,,,,,,0.37,,,73.82,73.82,20001.0,132406.62,,0.13,73.88,,1.0,100.0,0.7382
2017-09-28,56403.0,377900.1,0.82,2.25,0.2,0.38,0.0,377900.1,56403.0,56403.0,377900.1,,,,,,,,,,,,,,,,,,0.38,,,73.82,73.82,20001.0,134006.7,,0.13,74.05,,1.0,100.0,0.7382
2017-09-29,56403.0,366619.5,0.82,2.2,0.2,0.37,0.0,366619.5,56403.0,56403.0,366619.5,,,,,,,,,,,,,,,,,,0.37,,,73.82,73.82,20001.0,130006.5,,0.13,73.83,,1.0,100.0,0.7382
2017-10-02,56403.0,362107.26,0.82,2.04,0.2,0.36,0.0,362107.26,56403.0,56403.0,362107.26,,,,,,,,,,,,,,,,,,0.36,,,73.82,73.82,20001.0,128406.42,,0.13,73.83,,1.0,100.0,0.7382
2017-10-03,56403.0,361543.23,0.82,2.0,0.2,0.36,0.0,361543.23,56403.0,56403.0,361543.23,,,,,,,,,,,,,,,,,,0.36,,,73.82,73.82,20001.0,128206.41,,0.13,73.84,,1.0,100.0,0.7382
2017-10-04,59403.0,367110.54,0.86,2.06,0.21,0.37,0.0,348570.54,59403.0,56403.0,367110.54,,,,,,,,,,,,,,,,3000.0,,0.37,,,100.0,77.75,0.0,0.0,,0.0,100.0,,1.0,100.0,0.7775
2017-10-05,59403.0,376020.99,0.86,2.0,0.21,0.38,0.0,357030.99,59403.0,56403.0,376020.99,,,,,,,,,,,,,,,,,,0.38,,,100.0,77.75,0.0,0.0,,0.0,100.0,,1.0,100.0,0.7775
2017-10-06,56403.0,363235.32,0.82,1.88,0.2,0.36,0.0,363235.32,56403.0,56403.0,363235.32,,,,,,,,0.02,,3000.0,,,,,,,,0.36,,,73.82,73.82,20000.0,128800.0,,0.13,73.83,,1.0,100.0,0.7382
2017-10-09,56403.0,371131.74,0.82,1.78,0.2,0.37,0.0,371131.74,56403.0,56403.0,371131.74,,,,,,,,,,,,,,,,,,0.37,,,73.82,73.82,20000.0,131600.0,,0.13,73.82,,1.0,100.0,0.7382
