,PAASI FP Equity_DX_SI_QTY,PAASI FP Equity_DX_SHORT_INTEREST_VALUE,PAASI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PAASI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PAASI FP Equity_DX_SI_MV,PAASI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PAASI FP Equity_DX_SUPPLY_SI_QTY,PAASI FP Equity_DX_BROKER_SI_QTY,PAASI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PAASI FP Equity_DX_SUPPLY_SI_QTY_INC_x,PAASI FP Equity_DX_BROKER_SI_MV_INC_x,PAASI FP Equity_DX_BROKER_SI_QTY_ADD,PAASI FP Equity_DX_SUPPLY_SI_MV_DEC,PAASI FP Equity_DX_BROKER_SI_QTY_INC,PAASI FP Equity_DX_SUPPLY_SI_QTY_DEC,PAASI FP Equity_DX_BROKER_SI_MV_INC_y,PAASI FP Equity_DX_SUPPLY_SI_QTY_INC_y,PAASI FP Equity_DX_BROKER_SI_MV_ADD,PAASI FP Equity_DX_SUPPLY_SI_QTY_ADD,PAASI FP Equity_DX_BROKER_SI_QTY_DEC,PAASI FP Equity_DX_SUPPLY_SI_MV,PAASI FP Equity_DX_BROKER_SI_MV_DEC,PAASI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PAASI FP Equity_DX_UTILIZATION_QUANTITY,PAASI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PAASI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PAASI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PAASI FP Equity_DX_ACTIVE_UTILIZATION_MV,PAASI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PAASI FP Equity_DX_BROKER_SI_CON_RATIO,PAASI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PAASI FP Equity_DX_DEMAND_SUPPLY_RATIO,PAASI FP Equity_PX_LAST
2019-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.024
2019-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.825
2019-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.902
2019-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.213
2019-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.131
2019-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.254
2019-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.231
2019-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.892
2019-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.706
2019-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.514
2019-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.752
2019-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.794
2019-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.997
2019-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.952
2019-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.938
2019-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.08
2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.443
2019-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.486
2019-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.709
2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.838
2019-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.924
2019-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.94
2019-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.115
2019-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.078
2019-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.116
2019-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.153
2019-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.047
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.32
2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.184
2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.986
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.18
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.203
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.526
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.651
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.902
2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.878
2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.692
2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.863
2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.017
2020-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.963
2020-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.501
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.638
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.274
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.439
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.533
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.779
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.89
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.293
2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.881
2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.202
2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.975
2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.052
2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.281
2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.07
2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.188
2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.524
2020-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.801
2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.711
2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.707
2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.848
2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.539
2020-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.772
2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.362
2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.259
2020-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.428
2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.501
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.603
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.052
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.582
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.706
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.981
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.207
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.111
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.239
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.216
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.571
2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.607
2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.677
2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.796
2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.364
2020-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.906
2020-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.969
2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.142
2020-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.777
2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.019
2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.153
2020-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.577
2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.876
2020-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.947
2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.272
2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.744
2020-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.144
2020-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.496
2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.406
2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.144
2020-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.281
2020-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2
2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.273
2020-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.463
2020-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.091
2020-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.581
2020-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.784
2020-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.872
2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.191
2020-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.821
2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.903
2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.621
2020-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.006
2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.107
2020-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.29
2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.131
2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.358
2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.822
2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.826
2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.936
2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.226
2020-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.239
2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.323
2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.185
2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.93
2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.807
2020-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.373
2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.387
2020-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.426
2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.984
2020-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.698
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.943
2020-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.096
2020-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.807
2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.772
2020-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.624
2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.181
2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.576
2020-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.958
2020-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.636
2020-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.086
2020-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.904
2020-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.776
2020-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.929
2020-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.421
2020-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.574
2020-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.302
2020-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.804
2020-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.935
