,GBT FP Equity_DX_SI_QTY,GBT FP Equity_DX_SHORT_INTEREST_VALUE,GBT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GBT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GBT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GBT FP Equity_DX_SI_MV,GBT FP Equity_DX_DSS,GBT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GBT FP Equity_DX_SUPPLY_SI_QTY,GBT FP Equity_DX_BROKER_SI_QTY,GBT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GBT FP Equity_DX_BROKER_SI_MV_NEW_x,GBT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GBT FP Equity_DX_SUPPLY_SI_QTY_INC_x,GBT FP Equity_DX_BROKER_SI_MV_INC_x,GBT FP Equity_DX_SUPPLY_SI_MV_NEW,GBT FP Equity_DX_BROKER_SI_QTY_ADD,GBT FP Equity_DX_BROKER_SI_QTY_NEW,GBT FP Equity_DX_SUPPLY_SI_MV_DEC,GBT FP Equity_DX_BROKER_SI_QTY_INC,GBT FP Equity_DX_SUPPLY_SI_QTY_DEC,GBT FP Equity_DX_BROKER_SI_MV_NEW_y,GBT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GBT FP Equity_DX_BROKER_SI_MV_INC_y,GBT FP Equity_DX_SUPPLY_SI_QTY_INC_y,GBT FP Equity_DX_BROKER_SI_MV_ADD,GBT FP Equity_DX_SUPPLY_SI_QTY_ADD,GBT FP Equity_DX_BROKER_SI_QTY_DEC,GBT FP Equity_DX_SUPPLY_SI_MV,GBT FP Equity_DX_BROKER_SI_MV_DEC,GBT FP Equity_DX_SUPPLY_SI_MV_RMV,GBT FP Equity_DX_BROKER_SI_MV_RMV,GBT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GBT FP Equity_DX_UTILIZATION_QUANTITY,GBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GBT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GBT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GBT FP Equity_DX_ACTIVE_UTILIZATION_MV,GBT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GBT FP Equity_DX_BROKER_SI_CON_RATIO,GBT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GBT FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-29,1979.0,206966.47,0.18,0.94,0.07,0.25,0.0,206966.47,0.0,1979.0,0.0,,,,,,1979.0,,,,,,,,,0.25,,,0.0,,,,0.0,0.0,42442.0,4438641.18,,0.0,0.0,,1.0,100.0,0.0415
2006-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1979.0,0.0,0.25,,,0.0,0.0,47698.0,5115436.21,,6.29,0.0,,0.0,,0.0
2006-04-12,2025.0,219136.26,0.19,1.6,0.07,0.27,0.0,219136.26,0.0,2025.0,0.0,,,,,,2025.0,,,,,,,,,0.27,,,0.0,,,,0.0,0.0,42171.0,4563553.3,,0.0,0.0,,1.0,100.0,0.0427
2006-04-19,12259.0,1312752.94,1.15,9.81,0.41,1.61,0.0,214705.08,10254.0,2005.0,1098047.85,,,,,,,,,,,,,,,,10254.0,21.0,1.35,0.01,,,24.07,21.45,32339.0,3463016.33,,0.0,0.0,,1.0,100.0,0.2565
2006-04-26,12464.0,1322626.54,1.17,10.86,0.42,1.65,0.0,216263.87,10426.0,2038.0,1106362.67,,,172.0,0.01,,,,,34.0,,,,0.01,172.0,,,,1.38,,,,24.64,21.94,31885.0,3383500.27,,0.0,0.0,,1.0,100.0,0.2623
2006-05-03,12265.0,1386692.02,1.15,8.09,0.41,1.72,0.0,226800.18,10260.0,2006.0,1160004.9,,,,,,,,0.0,,166.0,,,,,,,32.0,1.44,0.0,,,25.39,22.49,30152.0,3409012.46,,0.0,0.0,,1.0,100.0,0.2689
2006-05-10,12203.0,1419101.74,1.14,10.07,0.41,1.75,0.0,232117.27,10207.0,1996.0,1186984.47,,,,,,,,0.0,,52.0,,,,,,,10.0,1.47,0.0,,,25.58,22.73,29698.0,3453616.61,,0.0,0.0,,1.0,100.0,0.2718
2006-05-17,12238.0,1363873.1,1.15,9.92,0.41,1.7,0.0,222780.06,10239.0,1999.0,1141093.05,,,16.0,0.0,,,,,3.0,,,,0.0,16.0,,16.0,,1.42,,,,25.02,22.3,30679.0,3419044.2,,0.0,0.0,,1.0,100.0,0.2665
2006-05-24,19167.0,2058686.48,1.8,15.04,0.65,2.56,0.0,963555.93,10196.0,8971.0,1095130.56,,,,0.92,,,,0.06,6972.0,44.0,,,0.92,,,,,1.36,,,,24.24,21.57,31874.0,3423518.18,,0.0,0.0,,1.0,100.0,0.4055
2006-05-31,19364.0,2102723.47,1.81,16.14,0.65,2.58,0.0,993592.22,10215.0,9150.0,1109239.84,,,19.0,0.02,,,,,179.0,,,,0.02,19.0,,,,1.36,,,,24.19,21.54,32010.0,3475943.93,,0.0,0.0,,1.0,100.0,0.4083
2006-06-07,12575.0,1360357.75,1.18,9.46,0.42,1.66,0.0,222525.32,10519.0,2057.0,1137940.61,,,304.0,,,,,,,,,,,304.0,,,7093.0,1.39,0.95,,,24.57,22.76,32289.0,3493009.25,,0.0,0.0,,1.0,100.0,0.2721
2006-06-14,10211.0,1104621.31,0.96,14.61,0.34,1.34,0.0,0.0,10211.0,0.0,1104621.31,,,,,,,,0.05,,308.0,,,,,,,2057.0,1.34,0.27,,,23.97,19.02,32383.0,3503178.13,,0.0,0.0,,0.0,,0.1902
2006-06-21,1523.0,163509.28,0.14,2.19,0.05,0.2,0.0,163509.28,0.0,1523.0,0.0,,,,,,1523.0,,1.34,,10211.0,,,,,0.2,,,0.0,,,,0.0,0.0,42106.0,4520500.19,,0.0,0.0,,1.0,100.0,0.0286
2006-06-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1523.0,0.0,0.2,,,0.0,0.0,54047.0,5846779.74,,7.06,0.0,,0.0,,0.0
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53450.0,5742772.49,,7.04,0.0,,0.0,,0.0
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53685.0,5754822.22,,7.03,0.0,,0.0,,0.0
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53949.0,5836178.15,,7.07,0.0,,0.0,,0.0
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53625.0,5787943.6,,7.07,0.0,,0.0,,0.0
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53841.0,5850969.73,,7.11,0.0,,0.0,,0.0
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53406.0,5733668.2,,7.06,0.0,,0.0,,0.0
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53660.0,5716961.01,,7.01,0.0,,0.0,,0.0
2006-07-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53782.0,5729958.95,,6.99,0.0,,0.0,,0.0
2006-07-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53833.0,5735392.51,,7.0,0.0,,0.0,,0.0
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53851.0,5737310.24,,7.0,0.0,,0.0,,0.0
2006-07-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53870.0,5752579.13,,7.01,0.0,,0.0,,0.0
2006-07-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53834.0,5735499.05,,7.01,0.0,,0.0,,0.0
2006-07-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53797.0,5731557.06,,6.99,0.0,,0.0,,0.0
2006-07-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,54025.0,5835544.64,,7.05,0.0,,0.0,,0.0
2006-07-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,54499.0,5480299.66,,7.04,0.0,,0.0,,0.0
2006-07-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,54802.0,5614067.52,,6.76,0.0,,0.0,,0.0
2006-07-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,54152.0,5547479.73,,6.78,0.0,,0.0,,0.0
2006-07-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53626.0,5568307.74,,6.71,0.0,,0.0,,0.0
2006-07-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,52951.0,5450483.33,,6.7,0.0,,0.0,,0.0
2006-07-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53357.0,5531630.2,,6.72,0.0,,0.0,,0.0
2006-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,52940.0,5423319.12,,6.67,0.0,,0.0,,0.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53374.0,5467779.27,,6.66,0.0,,0.0,,0.0
2006-08-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53307.0,5460915.61,,6.67,0.0,,0.0,,0.0
2006-08-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,52979.0,5314426.25,,6.58,0.0,,0.0,,0.0
2006-08-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,54141.0,5572975.35,,6.68,0.0,,0.0,,0.0
2006-08-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53286.0,5458764.31,,6.69,0.0,,0.0,,0.0
2006-08-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53455.0,5476077.14,,6.68,0.0,,0.0,,0.0
2006-08-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,53998.0,5704292.7,,6.81,0.0,,0.0,,0.0
2006-08-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,42750.0,4516065.65,,5.51,0.0,,0.0,,0.0
2006-08-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,42740.0,4497495.65,,5.49,0.0,,0.0,,0.0
2006-08-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,42741.0,4417036.37,,5.41,0.0,,0.0,,0.0
2006-08-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,42739.0,4479877.21,,5.45,0.0,,0.0,,0.0
2006-08-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,42740.0,4483484.76,,5.47,0.0,,0.0,,0.0
2006-08-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,42740.0,4532522.87,,5.47,0.0,,0.0,,0.0
2006-08-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,42740.0,4553539.21,,5.55,0.0,,0.0,,0.0
2006-08-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,42741.0,4518617.7,,5.52,0.0,,0.0,,0.0
2006-08-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,42740.0,4511506.54,,5.51,0.0,,0.0,,0.0
2006-08-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51219.0,5414919.63,,6.61,0.0,,0.0,,0.0
2006-08-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51327.0,5329588.84,,6.53,0.0,,0.0,,0.0
2006-08-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51348.0,5344393.95,,6.52,0.0,,0.0,,0.0
2006-08-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51352.0,5344810.28,,6.52,0.0,,0.0,,0.0
2006-08-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51407.0,5308404.58,,6.48,0.0,,0.0,,0.0
2006-08-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51036.0,5186441.98,,6.35,0.0,,0.0,,0.0
2006-08-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51046.0,5208375.38,,6.35,0.0,,0.0,,0.0
2006-09-01,1.0,101.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101.3,,,,,,,,,,,,,,,,1.0,,0.0,,,,0.0,0.0,51079.0,5174067.22,,6.32,0.0,,1.0,100.0,0.0
2006-09-04,1.0,102.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,102.2,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,0.0,51066.0,5218786.19,,6.32,0.0,,1.0,100.0,0.0
2006-09-05,1.0,101.79,0.0,0.0,0.0,0.0,0.0,101.79,1.0,1.0,101.79,,,0.0,,,1.0,,,,,,,,0.0,0.0,,,0.0,,,,0.0,0.0,50979.0,5189005.34,,6.34,0.0,,1.0,100.0,0.0
2006-09-06,1.0,101.21,0.0,0.0,0.0,0.0,0.0,101.21,1.0,1.0,101.21,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,50926.0,5154395.43,,6.3,0.0,,1.0,100.0,0.0
2006-09-07,1.0,100.8,0.0,0.0,0.0,0.0,0.0,100.8,1.0,1.0,100.8,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,50984.0,5139374.05,,6.28,0.0,,1.0,100.0,0.0
2006-09-08,1.0,98.67,0.0,0.0,0.0,0.0,0.0,98.67,1.0,1.0,98.67,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51008.0,5033105.02,,6.26,0.0,,1.0,100.0,0.0
2006-09-11,1.0,98.75,0.0,0.0,0.0,0.0,0.0,98.75,1.0,1.0,98.75,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51169.0,5053184.86,,6.16,0.0,,1.0,100.0,0.0
2006-09-12,1.0,104.08,0.0,0.0,0.0,0.0,0.0,104.08,1.0,1.0,104.08,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51212.0,5330238.82,,6.4,0.0,,1.0,100.0,0.0
2006-09-13,1.0,102.44,0.0,0.0,0.0,0.0,0.0,102.44,1.0,1.0,102.44,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,50926.0,5216999.42,,6.4,0.0,,1.0,100.0,0.0
2006-09-14,1.0,104.9,0.0,0.0,0.0,0.0,0.0,104.9,1.0,1.0,104.9,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51082.0,5358572.02,,6.49,0.0,,1.0,100.0,0.0
2006-09-15,1.0,106.05,0.0,0.0,0.0,0.0,0.0,106.05,1.0,1.0,106.05,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,50900.0,5397880.54,,6.56,0.0,,1.0,100.0,0.0
2006-09-18,4.0,419.93,0.0,0.0,0.0,0.0,0.0,419.93,1.0,4.0,104.98,,,,,,3.0,,,,,,,,,0.0,,,0.0,,,,0.01,0.0,8143.0,854879.25,,0.0,0.0,25.0,0.625,75.0,0.0001
2006-09-19,4.0,422.88,0.0,0.0,0.0,0.0,0.0,422.88,1.0,4.0,105.72,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.01,0.0,8188.0,865642.87,,0.0,0.0,24.81,0.6269,75.19,0.0001
2006-09-20,4.0,419.61,0.0,0.0,0.0,0.0,0.0,419.61,1.0,4.0,104.9,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.01,0.0,8267.0,867219.66,,0.0,0.0,24.94,0.6256,75.06,0.0001
2006-09-21,1.0,104.9,0.0,0.0,0.0,0.0,0.0,104.9,1.0,1.0,104.9,,,0.0,,,,,,,,,,,0.0,,,3.0,0.0,0.0,,,0.0,0.0,50973.0,5347137.77,,6.52,0.0,,1.0,100.0,0.0
2006-09-22,1.0,103.26,0.0,0.0,0.0,0.0,0.0,103.26,1.0,1.0,103.26,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,50977.0,5264001.8,,6.46,0.0,,1.0,100.0,0.0
2006-09-25,1.0,98.35,0.0,0.0,0.0,0.0,0.0,98.35,1.0,1.0,98.35,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51132.0,5028578.52,,6.23,0.0,,1.0,100.0,0.0
2006-09-26,1.0,103.43,0.0,0.0,0.0,0.0,0.0,103.43,1.0,1.0,103.43,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51564.0,5333068.53,,6.4,0.0,,1.0,100.0,0.0
2006-09-27,1.0,101.71,0.0,0.0,0.0,0.0,0.0,101.71,1.0,1.0,101.71,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,50179.0,5103463.27,,6.26,0.0,,1.0,100.0,0.0
2006-09-28,1.0,99.98,0.0,0.0,0.0,0.0,0.0,99.98,1.0,1.0,99.98,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,50255.0,5024702.09,,6.16,0.0,,1.0,100.0,0.0
2006-09-29,1.0,99.33,0.0,0.0,0.0,0.0,0.0,99.33,1.0,1.0,99.33,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,0.0,49968.0,4963245.95,,6.08,0.0,,1.0,100.0,0.0
2006-10-02,1.0,102.2,0.0,0.0,0.0,0.0,0.0,102.2,1.0,1.0,102.2,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.0,0.0,50169.0,5127115.58,,6.2,0.0,,1.0,100.0,0.0
2006-10-03,1.0,104.66,0.0,0.0,0.0,0.0,0.0,104.66,1.0,1.0,104.66,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,49959.0,5228484.73,,6.33,0.0,,1.0,100.0,0.0
2006-10-04,1.0,104.9,0.0,0.0,0.0,0.0,0.0,104.9,1.0,1.0,104.9,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,49999.0,5244963.84,,6.39,0.0,,1.0,100.0,0.0
2006-10-05,1.0,103.02,0.0,0.0,0.0,0.0,0.0,103.02,1.0,1.0,103.02,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.0,0.0,49999.0,5150718.39,,6.32,0.0,,1.0,100.0,0.0
2006-10-06,1.0,106.54,0.0,0.0,0.0,0.0,0.0,106.54,1.0,1.0,106.54,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,0.0,50123.0,5340127.41,,6.44,0.0,,1.0,100.0,0.0
2006-10-09,1.0,109.0,0.0,0.0,0.0,0.0,0.0,109.0,1.0,1.0,109.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,49863.0,5435021.36,,6.59,0.0,,1.0,100.0,0.0
