,ALBFR FP Equity_DX_SI_QTY,ALBFR FP Equity_DX_SHORT_INTEREST_VALUE,ALBFR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBFR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBFR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBFR FP Equity_DX_SI_MV,ALBFR FP Equity_DX_DSS,ALBFR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBFR FP Equity_DX_SUPPLY_SI_QTY,ALBFR FP Equity_DX_BROKER_SI_QTY,ALBFR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBFR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALBFR FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBFR FP Equity_DX_BROKER_SI_MV_INC_x,ALBFR FP Equity_DX_SUPPLY_SI_MV_NEW,ALBFR FP Equity_DX_BROKER_SI_QTY_ADD,ALBFR FP Equity_DX_SUPPLY_SI_MV_DEC,ALBFR FP Equity_DX_BROKER_SI_QTY_INC,ALBFR FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBFR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALBFR FP Equity_DX_BROKER_SI_MV_INC_y,ALBFR FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBFR FP Equity_DX_BROKER_SI_MV_ADD,ALBFR FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBFR FP Equity_DX_BROKER_SI_QTY_DEC,ALBFR FP Equity_DX_SUPPLY_SI_MV,ALBFR FP Equity_DX_BROKER_SI_MV_DEC,ALBFR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBFR FP Equity_DX_UTILIZATION_QUANTITY,ALBFR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBFR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBFR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBFR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBFR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALBFR FP Equity_DX_BROKER_SI_CON_RATIO,ALBFR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBFR FP Equity_DX_DEMAND_SUPPLY_RATIO,ALBFR FP Equity_PX_LAST
2005-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.98
2005-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2005-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.89
2005-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.99
2005-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5
2005-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4
2005-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4
2005-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2005-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2005-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
2005-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1
2005-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
2005-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2
2005-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0
2005-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1
2005-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5
2005-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5
2005-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5
2005-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9
2005-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9
2005-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9
2005-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9
2005-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3
2005-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.08
2006-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6
2006-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5
2006-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5
2006-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5
2006-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9
2006-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1
2006-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.72
2006-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9
2006-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2006-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2006-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2006-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2006-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2006-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.16
2006-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
2006-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2006-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2006-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7
2006-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.09
2006-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.99
2006-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.99
2006-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.99
2006-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9
2006-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99
2006-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.69
2006-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9
2006-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75
2006-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.49
2006-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2006-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2006-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29
2006-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2006-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75
2006-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2006-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99
2006-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2006-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75
2006-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2006-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75
2006-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75
2006-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96
2006-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2006-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6
2006-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.49
2006-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7
2006-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7
2006-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6
2006-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5
2006-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.55
2006-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2006-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2006-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2006-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2006-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9
2006-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2006-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.99
2006-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2006-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2006-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2006-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2006-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2006-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2006-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2006-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2006-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.49
2006-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2006-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.17
2006-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12
2006-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2006-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94
2006-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2006-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.94
2006-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2006-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.97
2006-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2006-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.47
2006-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2006-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84
2006-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.47
2006-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.98
2006-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.99
2006-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.98
2006-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.98
2006-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09
2006-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26
2006-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2006-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2006-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2006-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84
2006-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2006-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84
2006-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
2006-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.49
2006-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03
2006-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2006-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2006-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2006-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22
2006-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2006-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.46
2006-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2006-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2006-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.91
2006-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.91
2006-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2006-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2006-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2006-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2006-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2006-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2006-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2007-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2007-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2007-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2007-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2007-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2007-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44
2007-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65
2007-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2007-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2007-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2007-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2007-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2007-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2007-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2007-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
2007-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2007-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.49
2007-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.95
2007-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.43
2007-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45
2007-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05
2007-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94
2007-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2007-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2007-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2007-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72
2007-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48
2007-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43
2007-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2007-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78
2007-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85
2007-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25
2007-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25
2007-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25
2007-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45
2007-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98
2007-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38
2007-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2007-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2007-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2007-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2007-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
2007-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2007-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
2007-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2007-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.75
2007-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2007-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2007-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2007-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2007-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2007-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2007-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2007-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2007-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2007-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2007-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2007-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
2007-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2007-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
2007-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2007-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2007-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85
2007-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
2007-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
2007-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1
2007-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2007-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2007-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2007-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2007-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.49
2007-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.48
2007-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.48
2007-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.48
2007-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2007-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4
2007-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11
2007-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.34
2007-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11
2007-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2007-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2007-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
