,ALAUD FP Equity_DX_SI_QTY,ALAUD FP Equity_DX_SHORT_INTEREST_VALUE,ALAUD FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALAUD FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAUD FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAUD FP Equity_DX_SI_MV,ALAUD FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAUD FP Equity_DX_SUPPLY_SI_QTY,ALAUD FP Equity_DX_BROKER_SI_QTY,ALAUD FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAUD FP Equity_DX_SUPPLY_SI_MV,ALAUD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAUD FP Equity_DX_UTILIZATION_QUANTITY,ALAUD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAUD FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAUD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAUD FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAUD FP Equity_DX_BROKER_SI_CON_RATIO,ALAUD FP Equity_DX_DEMAND_SUPPLY_RATIO,ALAUD FP Equity_PX_LAST
2021-12-23,,,,,,,,,,,,,,,,,,,,6.16
2021-12-24,,,,,,,,,,,,,,,,,,,,6.14
2021-12-27,,,,,,,,,,,,,,,,,,,,6.12
2021-12-28,,,,,,,,,,,,,,,,,,,,6.12
2021-12-29,,,,,,,,,,,,,,,,,,,,6.12
2021-12-30,,,,,,,,,,,,,,,,,,,,6.12
2021-12-31,,,,,,,,,,,,,,,,,,,,6.18
2022-01-03,,,,,,,,,,,,,,,,,,,,6.18
2022-01-04,,,,,,,,,,,,,,,,,,,,6.14
2022-01-05,,,,,,,,,,,,,,,,,,,,6.14
2022-01-06,,,,,,,,,,,,,,,,,,,,6.1
2022-01-07,,,,,,,,,,,,,,,,,,,,6.2
2022-01-10,,,,,,,,,,,,,,,,,,,,6.2
2022-01-11,,,,,,,,,,,,,,,,,,,,6.0
2022-01-12,,,,,,,,,,,,,,,,,,,,6.1
2022-01-13,,,,,,,,,,,,,,,,,,,,6.08
2022-01-14,,,,,,,,,,,,,,,,,,,,6.0
2022-01-17,,,,,,,,,,,,,,,,,,,,6.04
2022-01-18,,,,,,,,,,,,,,,,,,,,6.08
2022-01-19,,,,,,,,,,,,,,,,,,,,6.0
2022-01-20,,,,,,,,,,,,,,,,,,,,6.02
2022-01-21,,,,,,,,,,,,,,,,,,,,6.04
2022-01-24,,,,,,,,,,,,,,,,,,,,5.98
2022-01-25,,,,,,,,,,,,,,,,,,,,5.92
2022-01-26,,,,,,,,,,,,,,,,,,,,6.02
2022-01-27,,,,,,,,,,,,,,,,,,,,6.02
2022-01-28,,,,,,,,,,,,,,,,,,,,6.0
2022-01-31,,,,,,,,,,,,,,,,,,,,6.04
2022-02-01,,,,,,,,,,,,,,,,,,,,6.0
2022-02-02,,,,,,,,,,,,,,,,,,,,5.98
2022-02-03,,,,,,,,,,,,,,,,,,,,5.96
2022-02-04,,,,,,,,,,,,,,,,,,,,5.96
2022-02-07,,,,,,,,,,,,,,,,,,,,5.96
2022-02-08,,,,,,,,,,,,,,,,,,,,5.84
2022-02-09,,,,,,,,,,,,,,,,,,,,5.92
2022-02-10,,,,,,,,,,,,,,,,,,,,5.84
2022-02-11,,,,,,,,,,,,,,,,,,,,5.9
2022-02-14,,,,,,,,,,,,,,,,,,,,5.76
2022-02-15,,,,,,,,,,,,,,,,,,,,5.74
2022-02-16,,,,,,,,,,,,,,,,,,,,5.76
2022-02-17,,,,,,,,,,,,,,,,,,,,5.8
2022-02-18,,,,,,,,,,,,,,,,,,,,5.84
2022-02-21,,,,,,,,,,,,,,,,,,,,5.74
2022-02-22,,,,,,,,,,,,,,,,,,,,5.72
2022-02-23,,,,,,,,,,,,,,,,,,,,5.66
2022-02-24,,,,,,,,,,,,,,,,,,,,5.48
2022-02-25,,,,,,,,,,,,,,,,,,,,5.48
2022-02-28,,,,,,,,,,,,,,,,,,,,5.26
2022-03-01,,,,,,,,,,,,,,,,,,,,5.26
2022-03-02,,,,,,,,,,,,,,,,,,,,5.36
2022-03-03,,,,,,,,,,,,,,,,,,,,5.4
2022-03-04,,,,,,,,,,,,,,,,,,,,5.12
2022-03-07,,,,,,,,,,,,,,,,,,,,4.96
2022-03-08,,,,,,,,,,,,,,,,,,,,4.88
2022-03-09,,,,,,,,,,,,,,,,,,,,4.96
2022-03-10,,,,,,,,,,,,,,,,,,,,4.96
2022-03-11,,,,,,,,,,,,,,,,,,,,5.16
2022-03-14,,,,,,,,,,,,,,,,,,,,5.24
2022-03-15,,,,,,,,,,,,,,,,,,,,5.36
2022-03-16,,,,,,,,,,,,,,,,,,,,5.56
2022-03-17,,,,,,,,,,,,,,,,,,,,5.6
2022-03-18,,,,,,,,,,,,,,,,,,,,5.56
2022-03-21,,,,,,,,,,,,,,,,,,,,5.56
2022-03-22,,,,,,,,,,,,,,,,,,,,5.54
2022-03-23,,,,,,,,,,,,,,,,,,,,5.52
2022-03-24,,,,,,,,,,,,,,,,,,,,5.52
2022-03-25,,,,,,,,,,,,,,,,,,,,5.5
2022-03-28,,,,,,,,,,,,,,,,,,,,5.54
2022-03-29,,,,,,,,,,,,,,,,,,,,5.48
2022-03-30,,,,,,,,,,,,,,,,,,,,5.5
2022-03-31,,,,,,,,,,,,,,,,,,,,5.44
2022-04-01,,,,,,,,,,,,,,,,,,,,5.52
2022-04-04,,,,,,,,,,,,,,,,,,,,5.7
2022-04-05,,,,,,,,,,,,,,,,,,,,5.9
2022-04-06,,,,,,,,,,,,,,,,,,,,5.96
2022-04-07,,,,,,,,,,,,,,,,,,,,5.96
2022-04-08,,,,,,,,,,,,,,,,,,,,5.92
2022-04-11,,,,,,,,,,,,,,,,,,,,5.96
2022-04-12,,,,,,,,,,,,,,,,,,,,5.92
2022-04-13,,,,,,,,,,,,,,,,,,,,5.92
2022-04-14,,,,,,,,,,,,,,,,,,,,5.92
2022-04-19,,,,,,,,,,,,,,,,,,,,6.32
2022-04-20,,,,,,,,,,,,,,,,,,,,6.38
2022-04-21,,,,,,,,,,,,,,,,,,,,6.3
2022-04-22,,,,,,,,,,,,,,,,,,,,6.4
2022-04-25,,,,,,,,,,,,,,,,,,,,6.5
2022-04-26,,,,,,,,,,,,,,,,,,,,6.46
2022-04-27,,,,,,,,,,,,,,,,,,,,6.5
2022-04-28,,,,,,,,,,,,,,,,,,,,6.4
2022-04-29,,,,,,,,,,,,,,,,,,,,6.5
2022-05-02,,,,,,,,,,,,,,,,,,,,6.22
2022-05-03,,,,,,,,,,,,,,,,,,,,6.2
2022-05-04,,,,,,,,,,,,,,,,,,,,6.16
2022-05-05,,,,,,,,,,,,,,,,,,,,6.22
2022-05-06,,,,,,,,,,,,,,,,,,,,6.2
2022-05-09,,,,,,,,,,,,,,,,,,,,6.2
2022-05-10,,,,,,,,,,,,,,,,,,,,6.2
2022-05-11,,,,,,,,,,,,,,,,,,,,6.16
2022-05-12,,,,,,,,,,,,,,,,,,,,5.94
2022-05-13,,,,,,,,,,,,,,,,,,,,5.98
2022-05-16,,,,,,,,,,,,,,,,,,,,5.9
2022-05-17,,,,,,,,,,,,,,,,,,,,5.92
2022-05-18,,,,,,,,,,,,,,,,,,,,5.84
2022-05-19,,,,,,,,,,,,,,,,,,,,5.7
2022-05-20,,,,,,,,,,,,,,,,,,,,5.66
2022-05-23,,,,,,,,,,,,,,,,,,,,5.7
2022-05-24,,,,,,,,,,,,,,,,,,,,5.84
2022-05-25,,,,,,,,,,,,,,,,,,,,5.8
2022-05-26,,,,,,,,,,,,,,,,,,,,5.96
2022-05-27,,,,,,,,,,,,,,,,,,,,5.92
2022-05-30,,,,,,,,,,,,,,,,,,,,5.94
2022-05-31,,,,,,,,,,,,,,,,,,,,5.92
2022-06-01,,,,,,,,,,,,,,,,,,,,5.92
2022-06-02,,,,,,,,,,,,,,,,,,,,5.76
2022-06-03,,,,,,,,,,,,,,,,,,,,5.72
2022-06-06,,,,,,,,,,,,,,,,,,,,5.76
2022-06-07,,,,,,,,,,,,,,,,,,,,5.74
2022-06-08,,,,,,,,,,,,,,,,,,,,5.52
2022-06-09,,,,,,,,,,,,,,,,,,,,5.52
2022-06-10,,,,,,,,,,,,,,,,,,,,5.46
2022-06-13,,,,,,,,,,,,,,,,,,,,5.32
2022-06-14,,,,,,,,,,,,,,,,,,,,5.52
2022-06-15,,,,,,,,,,,,,,,,,,,,5.52
2022-06-16,,,,,,,,,,,,,,,,,,,,5.54
2022-06-17,,,,,,,,,,,,,,,,,,,,5.52
2022-06-20,,,,,,,,,,,,,,,,,,,,5.5
2022-06-21,,,,,,,,,,,,,,,,,,,,5.52
2022-06-22,,,,,,,,,,,,,,,,,,,,5.52
2022-06-23,,,,,,,,,,,,,,,,,,,,5.48
2022-06-24,,,,,,,,,,,,,,,,,,,,5.5
2022-06-27,,,,,,,,,,,,,,,,,,,,5.44
2022-06-28,,,,,,,,,,,,,,,,,,,,5.52
2022-06-29,,,,,,,,,,,,,,,,,,,,5.44
2022-06-30,,,,,,,,,,,,,,,,,,,,5.34
2022-07-01,,,,,,,,,,,,,,,,,,,,5.32
2022-07-04,,,,,,,,,,,,,,,,,,,,5.36
2022-07-05,,,,,,,,,,,,,,,,,,,,5.4
2022-07-06,,,,,,,,,,,,,,,,,,,,5.36
2022-07-07,,,,,,,,,,,,,,,,,,,,5.3
2022-07-08,,,,,,,,,,,,,,,,,,,,5.28
2022-07-11,,,,,,,,,,,,,,,,,,,,5.32
2022-07-12,,,,,,,,,,,,,,,,,,,,5.32
2022-07-13,,,,,,,,,,,,,,,,,,,,5.32
2022-07-14,,,,,,,,,,,,,,,,,,,,5.34
2022-07-15,,,,,,,,,,,,,,,,,,,,5.28
2022-07-18,,,,,,,,,,,,,,,,,,,,5.18
2022-07-19,,,,,,,,,,,,,,,,,,,,5.18
2022-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,520.0,0.0,0.0,0.0,0.0,5.2
2022-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,520.0,0.0,0.0,0.0,0.0,5.2
2022-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,528.0,0.0,0.0,0.0,0.0,5.28
2022-07-25,,,,,,,,,,,,,,,,,,,,5.28
2022-07-26,,,,,,,,,,,,,,,,,,,,5.18
2022-07-27,,,,,,,,,,,,,,,,,,,,5.3
2022-07-28,,,,,,,,,,,,,,,,,,,,5.34
2022-07-29,,,,,,,,,,,,,,,,,,,,5.22
2022-08-01,,,,,,,,,,,,,,,,,,,,5.22
2022-08-02,,,,,,,,,,,,,,,,,,,,5.2
2022-08-03,,,,,,,,,,,,,,,,,,,,5.2
2022-08-04,,,,,,,,,,,,,,,,,,,,5.18
2022-08-05,,,,,,,,,,,,,,,,,,,,5.2
2022-08-08,,,,,,,,,,,,,,,,,,,,5.8
2022-08-09,,,,,,,,,,,,,,,,,,,,5.56
2022-08-10,,,,,,,,,,,,,,,,,,,,5.6
2022-08-11,,,,,,,,,,,,,,,,,,,,5.74
2022-08-12,,,,,,,,,,,,,,,,,,,,5.72
2022-08-15,,,,,,,,,,,,,,,,,,,,5.94
2022-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,596.0,0.0,0.0,0.0,0.0,5.96
2022-08-17,,,,,,,,,,,,,,,,,,,,6.12
2022-08-18,,,,,,,,,,,,,,,,,,,,6.08
2022-08-19,,,,,,,,,,,,,,,,,,,,6.12
2022-08-22,,,,,,,,,,,,,,,,,,,,6.0
2022-08-23,,,,,,,,,,,,,,,,,,,,5.94
2022-08-24,,,,,,,,,,,,,,,,,,,,5.96
2022-08-25,,,,,,,,,,,,,,,,,,,,5.92
2022-08-26,,,,,,,,,,,,,,,,,,,,5.92
2022-08-29,,,,,,,,,,,,,,,,,,,,5.88
2022-08-30,,,,,,,,,,,,,,,,,,,,5.9
2022-08-31,,,,,,,,,,,,,,,,,,,,5.92
2022-09-01,,,,,,,,,,,,,,,,,,,,5.82
2022-09-02,,,,,,,,,,,,,,,,,,,,5.8
2022-09-05,,,,,,,,,,,,,,,,,,,,5.84
2022-09-06,,,,,,,,,,,,,,,,,,,,5.8
2022-09-07,,,,,,,,,,,,,,,,,,,,5.68
2022-09-08,,,,,,,,,,,,,,,,,,,,5.68
2022-09-09,,,,,,,,,,,,,,,,,,,,5.72
2022-09-12,,,,,,,,,,,,,,,,,,,,5.72
2022-09-13,,,,,,,,,,,,,,,,,,,,5.6
2022-09-14,,,,,,,,,,,,,,,,,,,,5.52
2022-09-15,,,,,,,,,,,,,,,,,,,,5.56
2022-09-16,,,,,,,,,,,,,,,,,,,,5.62
2022-09-19,,,,,,,,,,,,,,,,,,,,5.6
2022-09-20,,,,,,,,,,,,,,,,,,,,5.56
2022-09-21,,,,,,,,,,,,,,,,,,,,5.44
2022-09-22,,,,,,,,,,,,,,,,,,,,5.38
2022-09-23,,,,,,,,,,,,,,,,,,,,5.52
2022-09-26,,,,,,,,,,,,,,,,,,,,5.4
2022-09-27,,,,,,,,,,,,,,,,,,,,5.38
2022-09-28,,,,,,,,,,,,,,,,,,,,5.38
2022-09-29,,,,,,,,,,,,,,,,,,,,5.4
2022-09-30,,,,,,,,,,,,,,,,,,,,5.52
2022-10-03,,,,,,,,,,,,,,,,,,,,5.5
2022-10-04,,,,,,,,,,,,,,,,,,,,5.38
2022-10-05,,,,,,,,,,,,,,,,,,,,5.44
2022-10-06,,,,,,,,,,,,,,,,,,,,5.42
2022-10-07,,,,,,,,,,,,,,,,,,,,5.38
2022-10-10,,,,,,,,,,,,,,,,,,,,5.38
2022-10-11,,,,,,,,,,,,,,,,,,,,5.38
2022-10-12,,,,,,,,,,,,,,,,,,,,5.38
2022-10-13,,,,,,,,,,,,,,,,,,,,5.38
2022-10-14,,,,,,,,,,,,,,,,,,,,5.5
2022-10-17,,,,,,,,,,,,,,,,,,,,5.5
2022-10-18,,,,,,,,,,,,,,,,,,,,5.6
2022-10-19,,,,,,,,,,,,,,,,,,,,5.6
2022-10-20,,,,,,,,,,,,,,,,,,,,5.52
2022-10-21,,,,,,,,,,,,,,,,,,,,5.6
2022-10-24,,,,,,,,,,,,,,,,,,,,5.68
2022-10-25,,,,,,,,,,,,,,,,,,,,5.66
2022-10-26,,,,,,,,,,,,,,,,,,,,5.68
2022-10-27,,,,,,,,,,,,,,,,,,,,5.62
2022-10-28,,,,,,,,,,,,,,,,,,,,5.66
2022-10-31,,,,,,,,,,,,,,,,,,,,5.68
2022-11-01,,,,,,,,,,,,,,,,,,,,5.66
2022-11-02,,,,,,,,,,,,,,,,,,,,5.62
2022-11-03,,,,,,,,,,,,,,,,,,,,5.64
2022-11-04,,,,,,,,,,,,,,,,,,,,5.68
2022-11-07,,,,,,,,,,,,,,,,,,,,5.64
2022-11-08,,,,,,,,,,,,,,,,,,,,5.52
2022-11-09,,,,,,,,,,,,,,,,,,,,5.52
2022-11-10,,,,,,,,,,,,,,,,,,,,5.52
2022-11-11,,,,,,,,,,,,,,,,,,,,5.56
2022-11-14,,,,,,,,,,,,,,,,,,,,5.6
2022-11-15,,,,,,,,,,,,,,,,,,,,5.52
2022-11-16,,,,,,,,,,,,,,,,,,,,5.54
2022-11-17,,,,,,,,,,,,,,,,,,,,5.52
2022-11-18,,,,,,,,,,,,,,,,,,,,5.52
2022-11-21,,,,,,,,,,,,,,,,,,,,5.7
2022-11-22,,,,,,,,,,,,,,,,,,,,5.68
2022-11-23,,,,,,,,,,,,,,,,,,,,5.68
2022-11-24,,,,,,,,,,,,,,,,,,,,5.68
2022-11-25,,,,,,,,,,,,,,,,,,,,5.72
2022-11-28,,,,,,,,,,,,,,,,,,,,5.68
2022-11-29,,,,,,,,,,,,,,,,,,,,5.76
2022-11-30,,,,,,,,,,,,,,,,,,,,5.72
2022-12-01,,,,,,,,,,,,,,,,,,,,5.72
2022-12-02,,,,,,,,,,,,,,,,,,,,5.72
2022-12-05,,,,,,,,,,,,,,,,,,,,5.78
2022-12-06,,,,,,,,,,,,,,,,,,,,5.76
2022-12-07,,,,,,,,,,,,,,,,,,,,5.78
2022-12-08,,,,,,,,,,,,,,,,,,,,5.76
2022-12-09,,,,,,,,,,,,,,,,,,,,5.78
2022-12-12,,,,,,,,,,,,,,,,,,,,5.76
2022-12-13,,,,,,,,,,,,,,,,,,,,5.9
2022-12-14,,,,,,,,,,,,,,,,,,,,5.88
2022-12-15,,,,,,,,,,,,,,,,,,,,5.88
2022-12-16,,,,,,,,,,,,,,,,,,,,5.88
2022-12-19,,,,,,,,,,,,,,,,,,,,5.8
2022-12-20,,,,,,,,,,,,,,,,,,,,5.8
2022-12-21,,,,,,,,,,,,,,,,,,,,5.72
2022-12-22,,,,,,,,,,,,,,,,,,,,5.7
2022-12-23,,,,,,,,,,,,,,,,,,,,5.7
2022-12-27,,,,,,,,,,,,,,,,,,,,5.78
2022-12-28,,,,,,,,,,,,,,,,,,,,5.78
2022-12-29,,,,,,,,,,,,,,,,,,,,5.76
2022-12-30,,,,,,,,,,,,,,,,,,,,5.76
2023-01-02,,,,,,,,,,,,,,,,,,,,5.72
2023-01-03,,,,,,,,,,,,,,,,,,,,5.74
2023-01-04,,,,,,,,,,,,,,,,,,,,5.76
2023-01-05,,,,,,,,,,,,,,,,,,,,5.74
2023-01-06,,,,,,,,,,,,,,,,,,,,5.74
2023-01-09,,,,,,,,,,,,,,,,,,,,5.8
2023-01-10,,,,,,,,,,,,,,,,,,,,5.8
2023-01-11,,,,,,,,,,,,,,,,,,,,5.7
2023-01-12,,,,,,,,,,,,,,,,,,,,5.7
2023-01-13,,,,,,,,,,,,,,,,,,,,5.72
2023-01-16,,,,,,,,,,,,,,,,,,,,5.72
2023-01-17,,,,,,,,,,,,,,,,,,,,5.7
2023-01-18,,,,,,,,,,,,,,,,,,,,5.7
2023-01-19,,,,,,,,,,,,,,,,,,,,5.72
2023-01-20,,,,,,,,,,,,,,,,,,,,5.72
2023-01-23,,,,,,,,,,,,,,,,,,,,5.72
2023-01-24,,,,,,,,,,,,,,,,,,,,5.8
2023-01-25,,,,,,,,,,,,,,,,,,,,5.82
2023-01-26,,,,,,,,,,,,,,,,,,,,5.82
2023-01-27,,,,,,,,,,,,,,,,,,,,5.82
2023-01-30,,,,,,,,,,,,,,,,,,,,5.8
2023-01-31,,,,,,,,,,,,,,,,,,,,5.8
2023-02-01,,,,,,,,,,,,,,,,,,,,5.82
2023-02-02,,,,,,,,,,,,,,,,,,,,5.74
2023-02-03,,,,,,,,,,,,,,,,,,,,5.76
2023-02-06,,,,,,,,,,,,,,,,,,,,5.74
2023-02-07,,,,,,,,,,,,,,,,,,,,5.74
2023-02-08,,,,,,,,,,,,,,,,,,,,5.7
2023-02-09,,,,,,,,,,,,,,,,,,,,5.72
2023-02-10,,,,,,,,,,,,,,,,,,,,5.68
2023-02-13,,,,,,,,,,,,,,,,,,,,5.64
2023-02-14,,,,,,,,,,,,,,,,,,,,5.78
2023-02-15,,,,,,,,,,,,,,,,,,,,5.82
2023-02-16,,,,,,,,,,,,,,,,,,,,5.68
2023-02-17,,,,,,,,,,,,,,,,,,,,5.68
2023-02-20,,,,,,,,,,,,,,,,,,,,5.7
2023-02-21,,,,,,,,,,,,,,,,,,,,5.68
2023-02-22,,,,,,,,,,,,,,,,,,,,5.6
2023-02-23,,,,,,,,,,,,,,,,,,,,5.64
2023-02-24,,,,,,,,,,,,,,,,,,,,5.64
2023-02-27,,,,,,,,,,,,,,,,,,,,5.56
2023-02-28,,,,,,,,,,,,,,,,,,,,5.56
2023-03-01,,,,,,,,,,,,,,,,,,,,5.52
2023-03-02,,,,,,,,,,,,,,,,,,,,5.5
2023-03-03,,,,,,,,,,,,,,,,,,,,5.5
2023-03-06,,,,,,,,,,,,,,,,,,,,5.56
2023-03-07,,,,,,,,,,,,,,,,,,,,5.5
2023-03-08,,,,,,,,,,,,,,,,,,,,5.44
2023-03-09,,,,,,,,,,,,,,,,,,,,5.44
2023-03-10,,,,,,,,,,,,,,,,,,,,5.18
2023-03-13,,,,,,,,,,,,,,,,,,,,5.16
2023-03-14,,,,,,,,,,,,,,,,,,,,5.1
2023-03-15,,,,,,,,,,,,,,,,,,,,5.16
2023-03-16,,,,,,,,,,,,,,,,,,,,5.1
2023-03-17,,,,,,,,,,,,,,,,,,,,5.1
2023-03-20,,,,,,,,,,,,,,,,,,,,5.16
2023-03-21,,,,,,,,,,,,,,,,,,,,5.16
2023-03-22,,,,,,,,,,,,,,,,,,,,5.14
2023-03-23,,,,,,,,,,,,,,,,,,,,5.14
2023-03-24,,,,,,,,,,,,,,,,,,,,5.14
2023-03-27,,,,,,,,,,,,,,,,,,,,5.56
2023-03-28,,,,,,,,,,,,,,,,,,,,5.58
2023-03-29,,,,,,,,,,,,,,,,,,,,5.58
2023-03-30,,,,,,,,,,,,,,,,,,,,5.54
2023-03-31,,,,,,,,,,,,,,,,,,,,5.36
2023-04-03,,,,,,,,,,,,,,,,,,,,5.52
2023-04-04,,,,,,,,,,,,,,,,,,,,5.46
2023-04-05,,,,,,,,,,,,,,,,,,,,5.5
2023-04-06,,,,,,,,,,,,,,,,,,,,5.54
2023-04-11,,,,,,,,,,,,,,,,,,,,5.5
2023-04-12,,,,,,,,,,,,,,,,,,,,5.5
2023-04-13,,,,,,,,,,,,,,,,,,,,5.4
2023-04-14,,,,,,,,,,,,,,,,,,,,5.3
2023-04-17,,,,,,,,,,,,,,,,,,,,5.32
2023-04-18,,,,,,,,,,,,,,,,,,,,5.24
2023-04-19,,,,,,,,,,,,,,,,,,,,5.5
2023-04-20,,,,,,,,,,,,,,,,,,,,5.46
2023-04-21,,,,,,,,,,,,,,,,,,,,5.54
2023-04-24,,,,,,,,,,,,,,,,,,,,5.64
2023-04-25,,,,,,,,,,,,,,,,,,,,5.62
2023-04-26,,,,,,,,,,,,,,,,,,,,5.5
2023-04-27,,,,,,,,,,,,,,,,,,,,5.42
2023-04-28,,,,,,,,,,,,,,,,,,,,5.44
2023-05-02,,,,,,,,,,,,,,,,,,,,5.3
2023-05-03,,,,,,,,,,,,,,,,,,,,5.2
2023-05-04,,,,,,,,,,,,,,,,,,,,5.2
2023-05-05,,,,,,,,,,,,,,,,,,,,5.2
2023-05-08,,,,,,,,,,,,,,,,,,,,5.36
2023-05-09,,,,,,,,,,,,,,,,,,,,5.3
2023-05-10,,,,,,,,,,,,,,,,,,,,5.34
2023-05-11,,,,,,,,,,,,,,,,,,,,5.3
2023-05-12,,,,,,,,,,,,,,,,,,,,5.36
2023-05-15,,,,,,,,,,,,,,,,,,,,5.3
2023-05-16,,,,,,,,,,,,,,,,,,,,5.38
2023-05-17,,,,,,,,,,,,,,,,,,,,5.36
2023-05-18,,,,,,,,,,,,,,,,,,,,5.3
2023-05-19,,,,,,,,,,,,,,,,,,,,5.28
2023-05-22,,,,,,,,,,,,,,,,,,,,5.44
2023-05-23,,,,,,,,,,,,,,,,,,,,5.5
2023-05-24,,,,,,,,,,,,,,,,,,,,5.5
2023-05-25,,,,,,,,,,,,,,,,,,,,5.42
2023-05-26,,,,,,,,,,,,,,,,,,,,5.42
2023-05-29,,,,,,,,,,,,,,,,,,,,5.42
