,MLFIR FP Equity_DX_SI_QTY,MLFIR FP Equity_DX_SHORT_INTEREST_VALUE,MLFIR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLFIR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLFIR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLFIR FP Equity_DX_SI_MV,MLFIR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLFIR FP Equity_DX_SUPPLY_SI_QTY,MLFIR FP Equity_DX_BROKER_SI_QTY,MLFIR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLFIR FP Equity_DX_SUPPLY_SI_MV,MLFIR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLFIR FP Equity_DX_UTILIZATION_QUANTITY,MLFIR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLFIR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLFIR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLFIR FP Equity_DX_ACTIVE_UTILIZATION_MV,MLFIR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MLFIR FP Equity_DX_BROKER_SI_CON_RATIO,MLFIR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MLFIR FP Equity_DX_DEMAND_SUPPLY_RATIO,MLFIR FP Equity_PX_LAST
2011-02-28,,,,,,,,,,,,,,,,,,,,,,7.5
2011-03-02,,,,,,,,,,,,,,,,,,,,,,7.5
2011-03-04,,,,,,,,,,,,,,,,,,,,,,7.5
2011-03-07,,,,,,,,,,,,,,,,,,,,,,7.5
2011-03-09,,,,,,,,,,,,,,,,,,,,,,7.5
2011-03-10,,,,,,,,,,,,,,,,,,,,,,8.25
2011-03-14,,,,,,,,,,,,,,,,,,,,,,8.25
2011-03-16,,,,,,,,,,,,,,,,,,,,,,8.25
2011-03-18,,,,,,,,,,,,,,,,,,,,,,8.25
2011-03-23,,,,,,,,,,,,,,,,,,,,,,8.25
2011-03-25,,,,,,,,,,,,,,,,,,,,,,8.25
2011-03-29,,,,,,,,,,,,,,,,,,,,,,8.25
2011-03-31,,,,,,,,,,,,,,,,,,,,,,8.25
2011-04-04,,,,,,,,,,,,,,,,,,,,,,8.25
2011-04-06,,,,,,,,,,,,,,,,,,,,,,8.25
2011-04-08,,,,,,,,,,,,,,,,,,,,,,8.25
2011-04-12,,,,,,,,,,,,,,,,,,,,,,8.25
2011-04-14,,,,,,,,,,,,,,,,,,,,,,8.25
2011-04-26,,,,,,,,,,,,,,,,,,,,,,8.25
2011-04-29,,,,,,,,,,,,,,,,,,,,,,8.25
2011-05-03,,,,,,,,,,,,,,,,,,,,,,8.25
2011-05-06,,,,,,,,,,,,,,,,,,,,,,8.25
2011-05-11,,,,,,,,,,,,,,,,,,,,,,8.25
2011-05-13,,,,,,,,,,,,,,,,,,,,,,8.25
2011-05-17,,,,,,,,,,,,,,,,,,,,,,8.25
2011-05-20,,,,,,,,,,,,,,,,,,,,,,8.25
2011-05-25,,,,,,,,,,,,,,,,,,,,,,8.25
2011-05-31,,,,,,,,,,,,,,,,,,,,,,8.25
2011-06-03,,,,,,,,,,,,,,,,,,,,,,8.25
2011-06-08,,,,,,,,,,,,,,,,,,,,,,8.25
2011-06-16,,,,,,,,,,,,,,,,,,,,,,8.25
2011-06-23,,,,,,,,,,,,,,,,,,,,,,8.25
2011-06-28,,,,,,,,,,,,,,,,,,,,,,9.0
2011-06-29,,,,,,,,,,,,,,,,,,,,,,9.9
2011-06-30,,,,,,,,,,,,,,,,,,,,,,10.89
2011-07-19,,,,,,,,,,,,,,,,,,,,,,11.5
2011-08-09,,,,,,,,,,,,,,,,,,,,,,11.5
2011-08-31,,,,,,,,,,,,,,,,,,,,,,12.6
2011-09-08,,,,,,,,,,,,,,,,,,,,,,11.0
2013-03-14,,,,,,,,,,,,,,,,,,,,,,10.0
2013-03-18,,,,,,,,,,,,,,,,,,,,,,9.5
2013-04-04,,,,,,,,,,,,,,,,,,,,,,10.0
2013-07-17,,,,,,,,,,,,,,,,,,,,,,8.1
2013-07-18,,,,,,,,,,,,,,,,,,,,,,8.0
2013-07-19,,,,,,,,,,,,,,,,,,,,,,8.0
2013-07-22,,,,,,,,,,,,,,,,,,,,,,8.0
2013-07-24,,,,,,,,,,,,,,,,,,,,,,8.0
2013-07-26,,,,,,,,,,,,,,,,,,,,,,8.0
2013-07-30,,,,,,,,,,,,,,,,,,,,,,8.0
2013-07-31,,,,,,,,,,,,,,,,,,,,,,8.0
2013-08-02,,,,,,,,,,,,,,,,,,,,,,8.0
2013-08-05,,,,,,,,,,,,,,,,,,,,,,8.0
2013-08-06,,,,,,,,,,,,,,,,,,,,,,8.0
2013-08-13,,,,,,,,,,,,,,,,,,,,,,8.0
2013-08-23,,,,,,,,,,,,,,,,,,,,,,8.0
2013-08-26,,,,,,,,,,,,,,,,,,,,,,8.0
2013-08-27,,,,,,,,,,,,,,,,,,,,,,8.0
2013-09-03,,,,,,,,,,,,,,,,,,,,,,8.0
2013-09-06,,,,,,,,,,,,,,,,,,,,,,8.0
2013-09-10,,,,,,,,,,,,,,,,,,,,,,8.0
2013-09-20,,,,,,,,,,,,,,,,,,,,,,8.0
2013-09-26,,,,,,,,,,,,,,,,,,,,,,8.0
2013-09-27,,,,,,,,,,,,,,,,,,,,,,8.0
2013-10-24,,,,,,,,,,,,,,,,,,,,,,8.0
2013-10-25,,,,,,,,,,,,,,,,,,,,,,8.0
2013-10-31,,,,,,,,,,,,,,,,,,,,,,8.0
2013-11-06,,,,,,,,,,,,,,,,,,,,,,8.0
2013-11-07,,,,,,,,,,,,,,,,,,,,,,8.0
2013-11-13,,,,,,,,,,,,,,,,,,,,,,9.67
2013-12-30,,,,,,,,,,,,,,,,,,,,,,8.0
2014-01-03,,,,,,,,,,,,,,,,,,,,,,8.25
2014-01-06,,,,,,,,,,,,,,,,,,,,,,8.0
2014-01-17,,,,,,,,,,,,,,,,,,,,,,8.0
2014-01-21,,,,,,,,,,,,,,,,,,,,,,8.0
2014-01-22,,,,,,,,,,,,,,,,,,,,,,8.0
2014-01-23,,,,,,,,,,,,,,,,,,,,,,8.0
2014-01-24,,,,,,,,,,,,,,,,,,,,,,8.0
2014-02-24,,,,,,,,,,,,,,,,,,,,,,7.9
2014-02-27,,,,,,,,,,,,,,,,,,,,,,8.0
2014-02-28,,,,,,,,,,,,,,,,,,,,,,8.0
2014-03-03,,,,,,,,,,,,,,,,,,,,,,8.0
2014-03-17,,,,,,,,,,,,,,,,,,,,,,5.5
2014-03-21,,,,,,,,,,,,,,,,,,,,,,7.9
2014-05-05,,,,,,,,,,,,,,,,,,,,,,8.0
2014-10-17,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399999.0,1895995.26,1.9,0.0,0.0,0.0,0.0,0.0,4.74
2014-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2725495.26,2.73,0.0,,0.0,,0.0,
2014-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2725495.26,2.73,0.0,,0.0,,0.0,
2014-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2725495.26,2.73,0.0,,0.0,,0.0,
2014-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2725495.26,2.73,0.0,,0.0,,0.0,
2014-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2725495.26,2.73,0.0,,0.0,,0.0,
2014-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,4594242.01,4.59,0.0,,0.0,,0.0,7.99
2014-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,4594242.01,4.59,0.0,,0.0,,0.0,
2014-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,4594242.01,4.59,0.0,,0.0,,0.0,
2014-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,4594242.01,4.59,0.0,,0.0,,0.0,
2014-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,4594242.01,4.59,0.0,,0.0,,0.0,
2014-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,5.0
2014-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574999.0,2874995.0,2.88,0.0,,0.0,,0.0,
2014-12-04,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-05,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-08,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-09,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-10,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-11,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-12,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-15,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-16,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-17,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-18,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-19,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-22,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-23,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-24,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-25,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.87,0.0,,0.0,,,
2014-12-26,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-29,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-30,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2014-12-31,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.89,0.0,,0.0,,,
2015-01-01,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2015-01-02,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2015-01-05,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.88,0.0,,0.0,,,
2015-01-06,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,574999.0,,2.87,0.0,,0.0,,,
2015-02-26,,,,,,,,,,,,,,,,,,,,,,5.0
2015-02-27,,,,,,,,,,,,,,,,,,,,,,5.0
2015-03-02,,,,,,,,,,,,,,,,,,,,,,5.0
2015-03-09,,,,,,,,,,,,,,,,,,,,,,5.0
2015-03-11,,,,,,,,,,,,,,,,,,,,,,5.0
2015-03-12,,,,,,,,,,,,,,,,,,,,,,5.0
2015-03-18,,,,,,,,,,,,,,,,,,,,,,4.5
2015-03-19,,,,,,,,,,,,,,,,,,,,,,4.5
2015-03-20,,,,,,,,,,,,,,,,,,,,,,4.5
2015-04-16,,,,,,,,,,,,,,,,,,,,,,4.45
2015-04-20,,,,,,,,,,,,,,,,,,,,,,4.2
2015-06-26,,,,,,,,,,,,,,,,,,,,,,0.74
2015-07-08,,,,,,,,,,,,,,,,,,,,,,1.04
2015-07-10,,,,,,,,,,,,,,,,,,,,,,1.14
2015-07-13,,,,,,,,,,,,,,,,,,,,,,1.25
2015-07-15,,,,,,,,,,,,,,,,,,,,,,1.37
2015-07-16,,,,,,,,,,,,,,,,,,,,,,1.5
2015-07-17,,,,,,,,,,,,,,,,,,,,,,1.65
2015-07-20,,,,,,,,,,,,,,,,,,,,,,1.81
2015-07-21,,,,,,,,,,,,,,,,,,,,,,1.99
2015-07-22,,,,,,,,,,,,,,,,,,,,,,2.18
2015-07-23,,,,,,,,,,,,,,,,,,,,,,2.39
2015-07-24,,,,,,,,,,,,,,,,,,,,,,2.62
2015-07-27,,,,,,,,,,,,,,,,,,,,,,2.88
2015-07-28,,,,,,,,,,,,,,,,,,,,,,3.16
2015-07-29,,,,,,,,,,,,,,,,,,,,,,3.47
2015-07-30,,,,,,,,,,,,,,,,,,,,,,3.81
2015-07-31,,,,,,,,,,,,,,,,,,,,,,4.0
2015-08-04,,,,,,,,,,,,,,,,,,,,,,4.5
2015-08-11,,,,,,,,,,,,,,,,,,,,,,4.5
2015-09-02,,,,,,,,,,,,,,,,,,,,,,4.25
2015-09-03,,,,,,,,,,,,,,,,,,,,,,4.45
2015-11-02,,,,,,,,,,,,,,,,,,,,,,3.75
2015-11-04,,,,,,,,,,,,,,,,,,,,,,3.95
2015-11-05,,,,,,,,,,,,,,,,,,,,,,4.25
2015-11-06,,,,,,,,,,,,,,,,,,,,,,4.0
2015-11-10,,,,,,,,,,,,,,,,,,,,,,4.35
2015-11-11,,,,,,,,,,,,,,,,,,,,,,4.35
2015-11-12,,,,,,,,,,,,,,,,,,,,,,4.45
2015-11-19,,,,,,,,,,,,,,,,,,,,,,4.4
2015-11-23,,,,,,,,,,,,,,,,,,,,,,4.3
2015-12-16,,,,,,,,,,,,,,,,,,,,,,4.2
2015-12-18,,,,,,,,,,,,,,,,,,,,,,4.2
2016-02-12,,,,,,,,,,,,,,,,,,,,,,2.8
2016-02-18,,,,,,,,,,,,,,,,,,,,,,2.6
2016-02-25,,,,,,,,,,,,,,,,,,,,,,2.6
2016-02-26,,,,,,,,,,,,,,,,,,,,,,2.4
2016-03-31,,,,,,,,,,,,,,,,,,,,,,2.4
2016-04-01,,,,,,,,,,,,,,,,,,,,,,2.2
2016-04-07,,,,,,,,,,,,,,,,,,,,,,2.2
2016-05-05,,,,,,,,,,,,,,,,,,,,,,2.2
2016-06-15,,,,,,,,,,,,,,,,,,,,,,2.0
2016-08-04,,,,,,,,,,,,,,,,,,,,,,2.0
2016-08-30,,,,,,,,,,,,,,,,,,,,,,1.8
2016-09-02,,,,,,,,,,,,,,,,,,,,,,1.71
2016-09-07,,,,,,,,,,,,,,,,,,,,,,1.55
2016-09-08,,,,,,,,,,,,,,,,,,,,,,1.5
2016-09-13,,,,,,,,,,,,,,,,,,,,,,1.35
2016-09-23,,,,,,,,,,,,,,,,,,,,,,1.35
2016-09-26,,,,,,,,,,,,,,,,,,,,,,1.3
2016-09-28,,,,,,,,,,,,,,,,,,,,,,1.25
2016-09-29,,,,,,,,,,,,,,,,,,,,,,1.25
2016-09-30,,,,,,,,,,,,,,,,,,,,,,1.25
2016-10-05,,,,,,,,,,,,,,,,,,,,,,1.15
2016-10-06,,,,,,,,,,,,,,,,,,,,,,1.05
2016-10-07,,,,,,,,,,,,,,,,,,,,,,1.05
2016-10-10,,,,,,,,,,,,,,,,,,,,,,0.95
2016-10-12,,,,,,,,,,,,,,,,,,,,,,0.9
2016-10-13,,,,,,,,,,,,,,,,,,,,,,0.81
2016-10-18,,,,,,,,,,,,,,,,,,,,,,0.73
2016-10-21,,,,,,,,,,,,,,,,,,,,,,0.66
2016-10-25,,,,,,,,,,,,,,,,,,,,,,0.63
2016-10-31,,,,,,,,,,,,,,,,,,,,,,0.57
2016-11-02,,,,,,,,,,,,,,,,,,,,,,0.52
2016-11-03,,,,,,,,,,,,,,,,,,,,,,0.52
2016-11-10,,,,,,,,,,,,,,,,,,,,,,0.48
2016-12-30,,,,,,,,,,,,,,,,,,,,,,0.44
2017-01-27,,,,,,,,,,,,,,,,,,,,,,0.52
2017-02-09,,,,,,,,,,,,,,,,,,,,,,0.62
2017-03-20,,,,,,,,,,,,,,,,,,,,,,0.74
2017-05-12,,,,,,,,,,,,,,,,,,,,,,0.81
2017-06-28,,,,,,,,,,,,,,,,,,,,,,0.95
2017-07-05,,,,,,,,,,,,,,,,,,,,,,1.2
2017-10-16,,,,,,,,,,,,,,,,,,,,,,4.0
2017-10-19,,,,,,,,,,,,,,,,,,,,,,4.32
2017-10-20,,,,,,,,,,,,,,,,,,,,,,5.0
2017-10-23,,,,,,,,,,,,,,,,,,,,,,5.5
2017-10-24,,,,,,,,,,,,,,,,,,,,,,5.65
2017-10-26,,,,,,,,,,,,,,,,,,,,,,5.71
2017-10-31,,,,,,,,,,,,,,,,,,,,,,5.66
2017-11-21,,,,,,,,,,,,,,,,,,,,,,5.6
2017-12-21,,,,,,,,,,,,,,,,,,,,,,6.17
2017-12-29,,,,,,,,,,,,,,,,,,,,,,7.5
2018-01-04,,,,,,,,,,,,,,,,,,,,,,9.0
2018-01-05,,,,,,,,,,,,,,,,,,,,,,8.5
2018-01-08,,,,,,,,,,,,,,,,,,,,,,8.95
2018-01-15,,,,,,,,,,,,,,,,,,,,,,9.0
2018-01-17,,,,,,,,,,,,,,,,,,,,,,8.1
2018-01-19,,,,,,,,,,,,,,,,,,,,,,8.1
2018-02-07,,,,,,,,,,,,,,,,,,,,,,7.5
2018-03-05,,,,,,,,,,,,,,,,,,,,,,6.75
2018-03-06,,,,,,,,,,,,,,,,,,,,,,6.5
2018-03-08,,,,,,,,,,,,,,,,,,,,,,6.0
2018-03-12,,,,,,,,,,,,,,,,,,,,,,6.6
2019-05-08,,,,,,,,,,,,,,,,,,,,,,7.95
2019-07-01,,,,,,,,,,,,,,,,,,,,,,6.4
2019-07-02,,,,,,,,,,,,,,,,,,,,,,7.0
2020-02-12,,,,,,,,,,,,,,,,,,,,,,7.05
2020-03-26,,,,,,,,,,,,,,,,,,,,,,10.7
2020-03-31,,,,,,,,,,,,,,,,,,,,,,16.9
2020-04-01,,,,,,,,,,,,,,,,,,,,,,20.0
2020-04-03,,,,,,,,,,,,,,,,,,,,,,19.9
2020-05-04,,,,,,,,,,,,,,,,,,,,,,19.8
2020-08-24,,,,,,,,,,,,,,,,,,,,,,19.5
2020-09-16,,,,,,,,,,,,,,,,,,,,,,19.5
2021-05-03,,,,,,,,,,,,,,,,,,,,,,19.5
2021-05-18,,,,,,,,,,,,,,,,,,,,,,19.5
2022-09-05,,,,,,,,,,,,,,,,,,,,,,17.6
2022-09-06,,,,,,,,,,,,,,,,,,,,,,17.6
2022-09-07,,,,,,,,,,,,,,,,,,,,,,17.7
2022-09-09,,,,,,,,,,,,,,,,,,,,,,17.7
2022-10-05,,,,,,,,,,,,,,,,,,,,,,17.7
2022-10-07,,,,,,,,,,,,,,,,,,,,,,17.7
2022-10-10,,,,,,,,,,,,,,,,,,,,,,17.7
2022-10-11,,,,,,,,,,,,,,,,,,,,,,17.5
2022-10-12,,,,,,,,,,,,,,,,,,,,,,17.5
2022-11-28,,,,,,,,,,,,,,,,,,,,,,17.5
2022-11-29,,,,,,,,,,,,,,,,,,,,,,17.5
2022-11-30,,,,,,,,,,,,,,,,,,,,,,17.5
2022-12-01,,,,,,,,,,,,,,,,,,,,,,17.5
2022-12-02,,,,,,,,,,,,,,,,,,,,,,17.5
2022-12-05,,,,,,,,,,,,,,,,,,,,,,17.5
2022-12-06,,,,,,,,,,,,,,,,,,,,,,17.5
2022-12-07,,,,,,,,,,,,,,,,,,,,,,23.2
2022-12-08,,,,,,,,,,,,,,,,,,,,,,23.2
2022-12-09,,,,,,,,,,,,,,,,,,,,,,23.2
2022-12-12,,,,,,,,,,,,,,,,,,,,,,23.2
2022-12-13,,,,,,,,,,,,,,,,,,,,,,23.2
2022-12-14,,,,,,,,,,,,,,,,,,,,,,23.2
2022-12-15,,,,,,,,,,,,,,,,,,,,,,23.2
2022-12-16,,,,,,,,,,,,,,,,,,,,,,23.2
