,BOI FP Equity_DX_SI_QTY,BOI FP Equity_DX_SHORT_INTEREST_VALUE,BOI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BOI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BOI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BOI FP Equity_DX_SI_MV,BOI FP Equity_DX_DSS,BOI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BOI FP Equity_DX_SUPPLY_SI_QTY,BOI FP Equity_DX_BROKER_SI_QTY,BOI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BOI FP Equity_DX_BROKER_SI_MV_NEW_x,BOI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BOI FP Equity_DX_SUPPLY_SI_QTY_INC_x,BOI FP Equity_DX_BROKER_SI_MV_INC_x,BOI FP Equity_DX_SUPPLY_SI_MV_NEW,BOI FP Equity_DX_BROKER_SI_QTY_ADD,BOI FP Equity_DX_BROKER_SI_QTY_NEW,BOI FP Equity_DX_SUPPLY_SI_MV_DEC,BOI FP Equity_DX_BROKER_SI_QTY_INC,BOI FP Equity_DX_SUPPLY_SI_QTY_DEC,BOI FP Equity_DX_BROKER_SI_MV_NEW_y,BOI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BOI FP Equity_DX_BROKER_SI_MV_INC_y,BOI FP Equity_DX_SUPPLY_SI_QTY_INC_y,BOI FP Equity_DX_BROKER_SI_MV_ADD,BOI FP Equity_DX_SUPPLY_SI_QTY_ADD,BOI FP Equity_DX_BROKER_SI_QTY_DEC,BOI FP Equity_DX_SUPPLY_SI_MV,BOI FP Equity_DX_BROKER_SI_MV_DEC,BOI FP Equity_DX_SUPPLY_SI_MV_RMV,BOI FP Equity_DX_BROKER_SI_MV_RMV,BOI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BOI FP Equity_DX_UTILIZATION_QUANTITY,BOI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BOI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BOI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BOI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BOI FP Equity_DX_ACTIVE_UTILIZATION_MV,BOI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BOI FP Equity_DX_BROKER_SI_CON_RATIO,BOI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BOI FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,57492.0,751676.0,0.46,2.39,0.26,0.99,0.0,89272.31,50664.0,6828.0,662403.69,,,,,,,,0.04,,2470.0,,,,,,,,0.87,,,,16.92,16.92,248827.0,3253274.96,,4.28,16.93,14.12,0.4847,66.8,0.192
2006-03-22,57684.0,789469.86,0.46,3.14,0.26,1.01,0.0,93448.79,50856.0,6828.0,696021.07,,,191.0,,,,,,,,,,,191.0,,,,0.89,,,,16.96,16.96,249061.0,3408677.51,,4.36,16.91,14.53,0.4798,66.34,0.1923
2006-03-29,57661.0,800176.8,0.46,3.75,0.26,1.04,0.0,94753.94,50833.0,6828.0,705422.86,,,,,,,,0.0,,23.0,,,,,,,,0.92,,,,17.11,17.11,246325.0,3418316.55,,4.46,17.1,14.25,0.4825,66.6,0.194
2006-04-05,57096.0,785787.92,0.46,2.97,0.26,1.02,0.0,93970.85,50268.0,6828.0,691817.06,,,,,,,,0.01,,565.0,,,,,,,,0.9,,,,17.35,17.35,239527.0,3296508.02,,4.28,17.34,14.36,0.4849,66.79,0.197
2006-04-12,62245.0,841897.97,0.5,3.57,0.28,1.11,0.0,153826.1,50872.0,11373.0,688071.87,0.08,,605.0,,,,4545.0,,,,0.08,,,605.0,,,,0.91,,,,17.64,17.64,237522.0,3212616.1,,4.23,17.66,12.93,0.4115,60.98,0.2158
2006-04-19,76254.0,1023215.02,0.61,4.6,0.35,1.34,0.0,166027.22,63881.0,12373.0,857187.8,,,,0.02,,,,0.14,1000.0,7713.0,,,0.02,,,20722.0,,1.12,,,,29.48,22.12,152813.0,2050522.69,,0.0,172.27,13.31,0.3944,59.26,0.264
2006-04-26,76407.0,1031110.04,0.61,5.69,0.35,1.34,0.0,166973.24,64034.0,12373.0,864136.8,,,153.0,,,,,,,,,,,153.0,,,,1.13,,,,39.9,27.53,96472.0,1301886.58,,0.0,172.1,12.75,0.3983,59.69,0.3284
2006-05-03,76240.0,1025941.77,0.61,5.09,0.35,1.34,0.0,166500.23,63867.0,12373.0,859441.54,,,,,,,,0.57,,32168.0,,,,,,32000.0,,1.12,,,,36.12,36.12,112969.0,1520194.33,,1.98,36.11,12.76,0.3987,59.72,0.4311
2006-05-10,74989.0,981586.28,1.06,5.45,0.34,1.29,0.0,141015.74,64216.0,10773.0,840570.54,,,,,,,,0.11,,5629.0,,,,,,5978.0,1600.0,1.1,0.03,,,42.03,39.29,88553.0,1159135.47,,0.0,200.99,11.33,0.4056,60.47,0.4589
2006-05-17,79584.0,983318.65,1.13,5.92,0.36,1.33,0.0,192069.87,64039.0,15545.0,791248.78,,,19.0,0.07,,,,0.02,4772.0,196.0,,,0.07,19.0,,,,1.07,,,,42.37,35.52,87086.0,1076011.36,,0.0,200.26,16.95,0.3633,55.55,0.4414
2006-05-24,74765.0,948928.7,1.06,8.36,0.34,1.26,0.0,206805.92,58471.0,16294.0,742122.79,,,,0.02,,,,0.09,749.0,5568.0,,,0.02,,,,,0.98,,,,42.43,35.02,79329.0,1006855.68,,0.0,183.1,19.62,0.4065,58.69,0.4477
2006-05-31,74803.0,943691.66,1.06,8.64,0.34,1.26,0.0,205560.1,58509.0,16294.0,738131.56,,,48.0,,,,,0.0,,10.0,,,,48.0,,,,0.98,,,,38.37,32.2,93991.0,1185761.57,,0.0,183.13,19.52,0.407,58.77,0.4117
2006-06-07,72579.0,916769.64,1.03,6.69,0.33,1.18,0.0,185453.26,57897.0,14682.0,731316.38,,,139.0,,,,,0.02,,752.0,,,,139.0,,,1612.0,0.94,0.03,,,37.69,31.67,95710.0,1208945.04,,0.0,180.98,20.53,0.438,61.61,0.3971
2006-06-14,90119.0,1120702.14,1.28,9.22,0.41,1.42,0.0,238978.83,77413.0,19217.0,962692.83,,,5374.0,0.07,,,,0.01,4535.0,81.0,,,0.07,5374.0,,14223.0,,1.22,,,,47.47,41.95,85671.0,1065387.69,,0.0,195.46,15.56,0.2716,45.59,0.4883
2006-06-21,58444.0,722227.02,0.83,5.58,0.27,0.91,0.0,258681.44,45588.0,20933.0,563357.84,,,1566.0,0.03,,,,0.53,1716.0,33391.0,,,0.03,1566.0,,,,0.7,,,,24.86,24.86,137779.0,1702616.47,,2.15,24.7,18.64,0.3676,54.18,0.3187
2006-06-28,58461.0,690430.39,0.83,5.17,0.27,0.89,0.0,247220.87,45581.0,20933.0,538316.28,,,16.0,,,,,0.0,,23.0,,,,16.0,,,,0.69,,,,24.89,24.89,137554.0,1624526.82,,2.08,24.82,18.36,0.3692,54.4,0.3192
2006-07-03,58477.0,704340.27,0.83,4.93,0.27,0.91,0.0,252132.55,45663.0,20933.0,549998.97,,,82.0,,,,,,,,,,,82.0,,,,0.71,,,,25.06,25.06,136528.0,1644444.29,,2.11,25.07,18.22,0.37,54.52,0.321
2006-07-04,58474.0,698816.05,0.83,4.95,0.27,0.9,0.0,250167.88,45633.0,20933.0,545354.74,,,,,,,,0.0,,30.0,,,,,,,,0.7,,,,25.09,25.09,136217.0,1627913.71,,2.1,25.08,18.15,0.3699,54.5,0.3216
2006-07-05,58478.0,700693.34,0.83,4.96,0.27,0.9,0.0,250822.77,45592.0,20933.0,546291.1,,,5.0,,,,,0.0,,46.0,,,,5.0,,,,0.7,,,,24.95,24.95,137158.0,1643450.48,,2.11,24.92,18.34,0.3697,54.49,0.32
2006-07-06,58465.0,704195.73,0.83,4.93,0.27,0.9,0.0,252132.55,45643.0,20933.0,549758.08,,,64.0,,,,,0.0,,13.0,,,,64.0,,,,0.7,,,,24.83,24.83,138183.0,1664378.33,,2.12,24.74,18.37,0.3687,54.34,0.318
2006-07-07,58477.0,704340.27,0.83,4.92,0.27,0.9,0.0,252132.55,45660.0,20933.0,549962.84,,,17.0,,,,,,,,,,,17.0,,,,0.7,,,,24.89,24.89,137799.0,1659753.15,,2.12,24.82,18.31,0.3691,54.4,0.3187
2006-07-10,58501.0,694563.21,0.83,4.91,0.27,0.91,0.0,248530.65,45643.0,20933.0,541904.39,,,24.0,,,,,0.0,,41.0,,,,24.0,,,,0.71,,,,25.13,25.13,135988.0,1614540.98,,2.1,25.2,18.03,0.3715,54.74,0.3221
2006-07-11,58470.0,690536.69,0.83,4.9,0.27,0.89,0.0,247220.87,45649.0,20933.0,539119.36,,,37.0,,,,,0.0,,31.0,,,,37.0,,,,0.69,,,,24.91,24.91,137603.0,1625105.52,,2.09,24.87,18.2,0.3696,54.47,0.3191
2006-07-12,58478.0,692918.02,0.83,4.75,0.27,0.89,0.0,248039.49,45603.0,20933.0,540359.46,,,9.0,,,,,0.0,,55.0,,,,9.0,,,,0.69,,,,23.79,23.79,146058.0,1730671.72,,2.22,23.75,18.31,0.3695,54.45,0.3051
2006-07-13,58471.0,694207.03,0.83,5.15,0.27,0.89,0.0,248530.65,42150.0,20933.0,500433.14,,,,,,,,0.05,,3453.0,,,,,,,,0.64,,,,22.54,22.54,144876.0,1720065.29,,2.21,22.48,18.32,0.3692,54.42,0.3126
2006-07-14,58478.0,694290.14,0.83,5.42,0.27,0.89,0.0,248530.65,42150.0,20933.0,500433.14,,,7.0,,,,,0.0,,7.0,,,,7.0,,,,0.64,,,,23.17,23.17,139762.0,1659348.45,,2.13,23.14,18.27,0.37,54.52,0.3215
2006-07-17,58507.0,688685.67,0.83,5.9,0.27,0.9,0.0,246402.26,37574.0,20933.0,442283.41,,,29.0,,,,,0.07,,4605.0,,,,29.0,,,,0.58,,,,20.82,20.82,142879.0,1681828.15,,2.18,20.87,18.08,0.3713,54.71,0.3242
2006-07-18,62456.0,740054.18,0.89,6.15,0.28,0.95,0.0,295436.32,37523.0,24933.0,444617.86,,,,0.06,,,,0.0,4000.0,51.0,,,0.06,,,,,0.57,,,,24.64,20.68,114742.0,1359601.9,,0.0,117.4,23.13,0.3483,50.82,0.3442
2006-07-19,58472.0,689188.33,0.83,5.79,0.27,0.88,0.0,246729.71,37539.0,20933.0,442458.63,,,17.0,,,,,,,,,,,17.0,,,4000.0,0.56,0.06,,,24.65,20.69,114756.0,1352587.5,,0.0,117.41,18.16,0.3691,54.41,0.3222
2006-07-20,57731.0,684066.67,0.82,5.59,0.26,0.87,0.0,239413.26,37526.0,20205.0,444653.4,,,,,,,,0.0,,14.0,,,,,,,728.0,0.56,0.01,,,24.59,20.64,115060.0,1363369.95,,0.0,117.44,18.65,0.3726,54.88,0.3176
2006-07-21,57728.0,684031.12,0.82,5.28,0.26,0.88,0.0,239413.26,37523.0,20205.0,444617.86,,,,,,,,0.0,,3.0,,,,,,,,0.57,,,,24.66,20.69,114661.0,1358642.11,,0.0,117.38,18.54,0.3738,55.05,0.3183
2006-07-24,57737.0,690911.4,0.82,5.15,0.26,0.88,0.0,241783.69,37532.0,20205.0,449127.71,,,9.0,,,,,,,,,,,9.0,,,,0.57,,,,24.66,20.69,114689.0,1372429.08,,0.0,117.39,18.61,0.3741,55.08,0.3183
2006-07-25,57771.0,680474.06,0.82,5.05,0.26,0.89,0.0,237991.0,37566.0,20205.0,442483.05,,,33.0,,,,,,,,,,,33.0,,,,0.58,,,,24.98,20.92,112831.0,1329015.74,,0.0,117.4,18.33,0.3762,55.38,0.3217
2006-07-26,57717.0,675323.8,0.82,5.24,0.26,0.87,0.0,236410.72,37512.0,20205.0,438913.08,,,,,,,,0.0,,54.0,,,,,,,,0.56,,,,24.64,20.67,114746.0,1342597.59,,0.0,117.33,18.33,0.3742,55.1,0.3181
2006-07-27,57754.0,669884.51,0.82,4.98,0.26,0.87,0.0,234356.35,37549.0,20205.0,435528.16,,,37.0,,,,,,,,,,,37.0,,,,0.56,,,,24.72,20.73,114374.0,1326615.83,,0.0,117.51,18.45,0.3725,54.88,0.3189
2006-07-28,57727.0,655574.9,0.82,5.06,0.26,0.86,0.0,229457.46,38519.0,20205.0,437439.84,,,,,,,,0.0,,27.0,,,,,,997.0,,0.57,,,,25.49,21.36,112602.0,1278761.16,,0.0,120.47,18.05,0.3747,55.17,0.3202
2006-07-31,59711.0,664562.7,0.85,5.39,0.27,0.88,0.0,247133.94,39488.0,22205.0,439487.73,,,984.0,0.03,,,,0.0,2000.0,15.0,,,0.03,984.0,,,,0.57,,,,21.89,21.89,140864.0,1567767.41,,2.05,21.85,20.21,0.3608,53.09,0.3311
2006-08-01,59774.0,669471.44,0.85,5.16,0.27,0.86,0.0,249906.58,38446.0,22313.0,430596.9,,,,0.0,,,,0.02,108.0,1041.0,,,0.0,,,,,0.55,,,,24.97,24.97,115495.0,1293549.09,,1.66,24.73,20.64,0.3569,52.49,0.3883
2006-08-02,60814.0,682070.77,0.86,5.39,0.28,0.88,0.0,261471.3,38487.0,23313.0,431658.13,,,41.0,0.01,,,,,1000.0,,,,0.01,41.0,,,,0.55,,,,25.28,25.28,113754.0,1275829.22,,1.65,25.08,21.76,0.3526,51.72,0.3995
2006-08-03,60794.0,682797.42,0.86,5.4,0.28,0.89,0.0,261835.98,38466.0,23313.0,432024.31,,,,,,,,0.0,,21.0,,,,,,,,0.55,,,,25.27,25.27,113738.0,1277428.91,,1.65,25.11,21.71,0.3536,51.87,0.3994
2006-08-04,46101.0,517775.5,0.65,4.1,0.21,0.66,0.0,154419.54,32352.0,13749.0,363355.96,,,,,,,,0.09,,6115.0,,,,,,,9564.0,0.46,0.15,,,20.77,20.77,123436.0,1386350.34,,1.76,20.75,23.3,0.5406,69.43,0.2959
2006-08-07,45096.0,529061.3,0.64,4.11,0.2,0.66,0.0,149569.86,32347.0,12749.0,379491.44,,,,,,,,0.0,,4.0,,,,,,,1000.0,0.47,0.01,,,20.42,17.38,126079.0,1479144.93,,0.0,101.1,24.59,0.5567,70.31,0.2423
2006-08-08,45100.0,529108.23,0.64,4.3,0.2,0.68,0.0,149569.86,32351.0,12749.0,379538.37,,,4.0,,,,,,,,,,,4.0,,,,0.49,,,,21.64,18.26,117140.0,1374273.57,,0.0,101.1,23.86,0.565,71.15,0.2545
2006-08-09,45101.0,528767.21,0.64,4.06,0.2,0.67,0.0,149470.15,32352.0,12749.0,379297.06,,,1.0,,,,,,,,,,,1.0,,,,0.48,,,,25.57,20.98,94183.0,1104207.94,,0.0,101.1,23.93,0.5641,71.06,0.2924
2006-08-10,45101.0,527356.23,0.64,4.15,0.2,0.68,0.0,149071.3,32352.0,12749.0,378284.93,,,,,,,,0.0,,0.0,,,,,,,,0.49,,,,25.58,20.99,94110.0,1100407.85,,0.0,101.09,23.78,0.5659,71.24,0.2926
2006-08-11,45100.0,532282.88,0.64,4.31,0.2,0.68,0.0,150467.28,32351.0,12749.0,381815.6,,,,,,,,0.0,,1.0,,,,,,,,0.49,,,,67.93,21.11,15275.0,180279.84,,0.0,100.0,24.06,0.5632,70.96,0.2943
2006-08-14,45100.0,534046.57,0.64,4.43,0.2,0.68,0.0,150965.85,32351.0,12749.0,383080.72,,,,,,,,,,,,,,,,,,0.49,,,,68.02,21.41,15210.0,180107.5,,0.0,100.0,23.89,0.5652,71.15,0.2985
2006-08-15,47209.0,553850.78,0.67,4.52,0.21,0.71,0.0,149569.86,34460.0,12749.0,404280.92,,,,,,,,,,,,,,,,2109.0,,0.52,,,,22.63,22.63,117844.0,1382532.82,,1.77,22.72,23.7,0.5666,71.32,0.31
2006-08-16,47204.0,553792.12,0.67,3.91,0.21,0.7,0.0,149569.86,34455.0,12749.0,404222.26,,,,,,,,0.0,,5.0,,,,,,,,0.51,,,,24.76,24.76,104698.0,1228305.4,,1.57,24.7,23.89,0.5644,71.09,0.3392
2006-08-17,47194.0,562902.72,0.67,3.83,0.21,0.71,0.0,152062.69,34445.0,12749.0,410840.03,,,,,,,,0.0,,11.0,,,,,,,,0.52,,,,25.08,25.08,102887.0,1227176.59,,1.57,24.86,24.23,0.5618,70.8,0.3436
2006-08-18,47179.0,590398.75,0.67,3.81,0.21,0.73,0.0,159541.19,34430.0,12749.0,430857.56,,,,,,,,0.0,,15.0,,,,,,,,0.53,,,,25.99,25.99,98048.0,1226974.22,,1.55,25.31,24.71,0.5588,70.43,0.3561
2006-08-21,47200.0,598044.81,0.67,3.68,0.21,0.75,0.0,161535.45,34451.0,12749.0,436509.36,,,22.0,,,,,,,,,,,22.0,,,,0.55,,,,26.06,26.06,97765.0,1238725.66,,1.58,25.78,24.31,0.564,70.94,0.357
2006-08-22,47190.0,623754.08,0.67,3.65,0.21,0.77,0.0,168515.38,34441.0,12749.0,455238.7,,,,,,,,0.0,,11.0,,,,,,,,0.56,,,,26.12,26.12,97440.0,1287955.02,,1.64,25.61,24.6,0.563,70.78,0.3578
2006-08-23,47222.0,613466.32,0.67,3.31,0.21,0.79,0.0,165623.69,34621.0,12749.0,449765.31,,,181.0,,,,,,,,,,,181.0,,,,0.59,,,,22.33,22.33,120391.0,1564013.04,,1.95,23.11,23.7,0.5724,71.75,0.3046
2006-08-24,47325.0,619986.38,0.67,3.14,0.22,0.8,0.0,168945.47,34574.0,12896.0,452940.5,,,,0.0,,,,0.0,147.0,48.0,,,0.0,,,,,0.59,,,,23.01,23.01,115662.0,1515242.78,,1.87,23.86,23.8,0.5677,71.37,0.315
2006-08-25,47363.0,613075.44,0.67,2.84,0.22,0.79,0.0,166928.21,34615.0,12896.0,448062.97,,,42.0,,,,,,,,,,,42.0,,,,0.58,,,,22.99,22.99,115959.0,1500994.75,,1.87,23.75,23.66,0.5682,71.44,0.3146
2006-08-28,47360.0,611184.53,0.67,2.63,0.22,0.78,0.0,166423.9,34612.0,12896.0,446670.59,,,,,,,,0.0,,3.0,,,,,,,,0.57,,,,22.94,22.94,116292.0,1500757.42,,1.86,23.48,23.92,0.5651,71.14,0.3138
2006-08-29,47352.0,616636.57,0.67,2.66,0.22,0.78,0.0,167936.84,34604.0,12896.0,450627.05,,,,,,,,0.0,,8.0,,,,,,,,0.57,,,,22.98,22.98,116002.0,1510624.17,,1.87,23.37,24.09,0.5635,70.97,0.3144
2006-08-30,47370.0,616870.98,0.67,2.68,0.22,0.78,0.0,167936.84,34622.0,12896.0,450861.45,,,18.0,,,,,,,,,,,18.0,,,,0.57,,,,24.16,24.16,108693.0,1415443.47,,1.81,24.07,23.99,0.5645,71.08,0.3305
2006-08-31,47362.0,626027.56,0.67,2.19,0.22,0.78,0.0,170458.41,34821.0,12896.0,460261.51,,,198.0,,,,,,,,,,,198.0,,,,0.58,,,,24.37,24.37,108034.0,1427985.76,,1.82,24.08,24.31,0.5619,70.78,0.3315
2006-09-01,47556.0,643469.75,0.68,2.28,0.22,0.8,0.0,177280.27,34808.0,13102.0,470979.37,,,,0.0,,,,0.0,206.0,13.0,,,0.0,,,,,0.59,,,,24.58,24.58,106777.0,1444776.05,,1.83,24.28,24.26,0.5575,70.47,0.3359
2006-09-04,47555.0,663912.92,0.68,2.2,0.22,0.82,0.0,182916.35,34943.0,13102.0,487837.43,,,135.0,,,,,,,,,,,135.0,,,,0.6,,,,24.32,24.32,108747.0,1518211.3,,1.91,23.94,24.48,0.5568,70.35,0.331
2006-09-05,39390.0,552078.33,0.56,1.71,0.18,0.7,0.0,185511.77,26645.0,13236.0,373448.26,,,23.0,0.0,,,,0.13,134.0,8320.0,,,0.0,23.0,,,,0.48,,,,19.81,19.81,107875.0,1511943.38,,1.91,19.96,29.16,0.5012,64.26,0.2928
2006-09-06,29604.0,416773.04,0.42,1.26,0.13,0.52,0.0,120692.99,21031.0,8573.0,296080.05,,,,,,,,0.1,,5614.0,,,,,,,4663.0,0.38,0.08,,,13.09,13.09,139584.0,1965100.92,,2.5,13.09,20.9,0.55,70.79,0.1843
2006-09-07,42896.0,603230.37,0.61,1.82,0.19,0.78,0.0,277961.85,34799.0,19766.0,489365.29,,,10000.0,0.21,,,,,11193.0,,,,0.21,10000.0,,3768.0,,0.63,,,,19.91,19.91,139945.0,1967994.08,,2.52,19.99,33.72,0.3918,50.61,0.2455
2006-09-08,42896.0,597191.36,0.61,1.77,0.19,0.77,0.0,275179.14,34801.0,19766.0,484494.04,,,2.0,,,,,,,,,,,2.0,,,,0.63,,,,19.06,19.06,147763.0,2057133.22,,2.65,19.19,33.71,0.3923,50.68,0.235
2006-09-11,37890.0,530165.74,0.54,1.56,0.17,0.68,0.0,276570.49,29802.0,19766.0,416996.55,,,1.0,,,,,0.1,,5000.0,,,,1.0,,,,0.53,,,,16.07,16.07,155623.0,2177513.41,,2.78,16.0,38.36,0.3664,43.6,0.2043
2006-09-12,37891.0,531661.51,0.54,1.59,0.17,0.68,0.0,277343.47,29798.0,19766.0,418105.87,,,,,,,,0.0,,4.0,,,,,,,,0.53,,,,16.07,16.07,155569.0,2182841.56,,2.79,16.06,38.39,0.3667,43.63,0.2044
2006-09-13,37899.0,518731.37,0.54,1.6,0.17,0.68,0.0,270541.29,29814.0,19766.0,408070.32,,,17.0,,,,,,,,,,,17.0,,,,0.53,,,,16.13,16.13,155061.0,2122351.65,,2.75,16.28,38.57,0.3687,43.86,0.205
2006-09-14,37884.0,530378.09,0.54,1.57,0.17,0.67,0.0,276725.09,29792.0,19766.0,417089.64,,,,,,,,0.0,,23.0,,,,,,,,0.52,,,,16.09,16.09,155349.0,2174894.56,,2.75,15.89,38.32,0.3653,43.41,0.2046
2006-09-15,37892.0,530193.73,0.54,1.44,0.17,0.68,0.0,276570.49,29795.0,19766.0,416898.61,,,3.0,,,,,0.15,,8599.0,,,,3.0,,8599.0,,0.54,,,,17.07,17.07,144729.0,2025082.02,,2.58,17.2,38.37,0.3674,43.77,0.2171
2006-09-18,37894.0,524590.51,0.54,1.26,0.17,0.68,0.0,273633.19,29813.0,19766.0,412720.14,,,18.0,,,,,,,,,,,18.0,,,,0.53,,,,17.06,17.06,144892.0,2005831.23,,2.58,17.08,38.49,0.3676,43.72,0.2169
2006-09-19,37892.0,527526.46,0.54,1.26,0.17,0.67,0.0,275179.14,29798.0,19766.0,414843.06,,,3574.0,,,,,0.06,,3589.0,,,,3574.0,,,,0.53,,,,17.45,17.45,140936.0,1962088.8,,2.51,17.4,38.43,0.3668,43.61,0.2219
