,MERY FP Equity_DX_SI_QTY,MERY FP Equity_DX_SHORT_INTEREST_VALUE,MERY FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MERY FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MERY FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MERY FP Equity_DX_SI_MV,MERY FP Equity_DX_DSS,MERY FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MERY FP Equity_DX_SUPPLY_SI_QTY,MERY FP Equity_DX_BROKER_SI_QTY,MERY FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MERY FP Equity_DX_BROKER_SI_MV_NEW_x,MERY FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MERY FP Equity_DX_SUPPLY_SI_QTY_INC_x,MERY FP Equity_DX_BROKER_SI_MV_INC_x,MERY FP Equity_DX_SUPPLY_SI_MV_NEW,MERY FP Equity_DX_BROKER_SI_QTY_ADD,MERY FP Equity_DX_BROKER_SI_QTY_NEW,MERY FP Equity_DX_SUPPLY_SI_MV_DEC,MERY FP Equity_DX_BROKER_SI_QTY_INC,MERY FP Equity_DX_SUPPLY_SI_QTY_DEC,MERY FP Equity_DX_BROKER_SI_MV_NEW_y,MERY FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MERY FP Equity_DX_BROKER_SI_MV_INC_y,MERY FP Equity_DX_SUPPLY_SI_QTY_INC_y,MERY FP Equity_DX_BROKER_SI_MV_ADD,MERY FP Equity_DX_SUPPLY_SI_QTY_ADD,MERY FP Equity_DX_BROKER_SI_QTY_DEC,MERY FP Equity_DX_SUPPLY_SI_MV,MERY FP Equity_DX_BROKER_SI_MV_DEC,MERY FP Equity_DX_SUPPLY_SI_MV_RMV,MERY FP Equity_DX_BROKER_SI_MV_RMV,MERY FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MERY FP Equity_DX_UTILIZATION_QUANTITY,MERY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MERY FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MERY FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MERY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MERY FP Equity_DX_ACTIVE_UTILIZATION_MV,MERY FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MERY FP Equity_DX_BROKER_SI_CON_RATIO,MERY FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MERY FP Equity_DX_DEMAND_SUPPLY_RATIO,MERY FP Equity_PX_LAST
2005-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.21
2005-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.16
2005-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.11
2005-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.03
2005-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1
2005-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.95
2005-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4
2005-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.75
2005-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9
2005-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2005-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.17
2005-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2005-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8
2005-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9
2005-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1
2005-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1
2005-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2005-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.98
2005-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.82
2005-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7
2005-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4
2005-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.45
2005-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.42
2005-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.52
2005-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.63
2005-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7
2005-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.41
2005-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6
2005-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6
2005-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.52
2005-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.45
2005-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.28
2005-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.24
2005-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6
2005-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.43
2006-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.55
2006-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5
2006-01-04,291781.0,1764309.44,2.34,7.25,0.4,5.68,0.0,36280.14,287783.0,6000.0,1740134.77,0.08,,1191.0,,,,4000.0,0.0,,21.0,0.08,,,1191.0,,,,5.6,,,,42.96,42.96,382119.0,2310555.37,,7.44,42.97,1.35,0.9541,97.66,0.4356,19.25
2006-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.74
2006-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.52
2006-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.55
2006-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.77
2006-01-11,286659.0,1782862.24,2.29,9.2,0.39,5.67,0.0,24877.81,282659.0,4000.0,1757984.42,,,5.0,,,,,0.04,,5128.0,,,,5.0,,,2000.0,5.59,0.04,,,42.56,42.56,381530.0,2372907.98,,7.55,42.55,1.4,0.9671,98.33,0.4316,19.8
2006-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8
2006-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.88
2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2006-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2006-01-18,289432.0,1819200.84,2.32,12.19,0.4,5.79,0.0,25141.67,285432.0,4000.0,1794059.17,,,2773.0,,,,,,,,,,,2773.0,,,,5.71,,,,39.48,39.48,437500.0,2749869.98,,8.76,39.48,1.37,0.9676,98.36,0.4004,20.01
2006-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.85
2006-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35
2006-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.47
2006-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.39
2006-01-25,287503.0,1787208.37,2.3,15.58,0.39,5.67,0.0,24865.25,283503.0,4000.0,1762343.12,,,44355.0,,,,,0.96,,46284.0,,,,44355.0,,,,5.59,,,,41.74,41.74,395782.0,2460304.42,,7.79,41.79,1.4,0.9672,98.33,0.4232,19.79
2006-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7
2006-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.84
2006-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.98
2006-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2006-02-01,197266.0,1239279.45,1.58,10.24,0.27,3.94,0.0,25129.1,193266.0,4000.0,1214150.35,,,1580.0,,,,,1.81,,91817.0,,,,1580.0,,,,3.86,,,,29.51,29.51,461643.0,2900168.72,,9.22,29.52,2.03,0.9525,97.57,0.3012,20.0
2006-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.05
2006-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2006-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2006-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5
2006-02-08,335109.0,2089457.86,2.68,14.58,0.46,6.63,0.0,24940.64,331109.0,4000.0,2064517.23,,,295.0,,,,,0.02,,785.0,,,,295.0,,138333.0,,6.55,,,,50.52,50.52,324349.0,2022367.55,,6.4,50.57,1.2,0.9763,98.8,0.5113,19.85
2006-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9
2006-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2006-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.15
2006-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.47
2006-02-15,330318.0,2172680.83,2.64,13.36,0.45,6.9,0.0,26310.17,326318.0,4000.0,2146370.66,0.08,,,,,,4000.0,0.0,,5235.0,0.08,,,,,444.0,,6.81,,,0.08,51.26,51.26,310289.0,2040939.22,,6.46,51.34,1.22,0.976,98.78,0.5189,20.94
2006-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.37
2006-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5
2006-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0
2006-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.99
2006-02-22,327031.0,2288711.88,2.62,12.9,0.45,7.26,0.0,0.0,327031.0,0.0,2288711.88,,,1158.0,,,,,0.01,,444.0,,,,1158.0,,,4000.0,7.26,0.08,,,51.01,51.01,314074.0,2198032.89,,6.95,51.06,,1.0,100.0,0.5101,22.28
2006-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.01
2006-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.05
2006-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.05
2006-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0
2006-03-01,330436.0,2361325.04,2.65,12.45,0.45,7.27,0.0,0.0,330436.0,0.0,2361325.04,,,3312.0,,,,,,,,,,,3312.0,,93.0,,7.27,,,,50.94,50.94,318270.0,2274385.72,,7.0,50.93,,1.0,100.0,0.5094,22.75
2006-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4
2006-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.25
2006-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2
2006-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.53
2006-03-08,327448.0,2303972.94,2.62,12.45,0.45,7.33,0.0,0.0,327448.0,0.0,2303972.94,,,130.0,,,,,0.0,,3118.0,,,,130.0,,,,7.33,,,,49.94,49.94,328240.0,2309545.57,,7.36,49.92,,1.0,100.0,0.4994,22.4
2006-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.14
2006-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.15
2006-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.05
2006-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.15
2006-03-15,338828.0,2266970.72,2.71,10.47,0.46,7.19,0.0,0.0,338828.0,0.0,2266970.72,,,11380.0,,,,,,,,,,,11380.0,,,,7.19,,,,46.77,46.77,385565.0,2579670.41,,8.17,46.82,,1.0,100.0,0.4677,21.3
2006-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.16
2006-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1
2006-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.05
2006-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
2006-03-22,497568.0,3186813.75,3.98,12.29,0.68,10.35,0.0,1050902.76,333486.0,164081.0,2135904.58,,,,,,164081.0,,0.22,,5341.0,,,,,3.45,,,6.9,,,,49.23,39.23,343872.0,2202424.63,,0.0,380.09,20.44,0.503,66.68,0.5854,20.39
2006-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.25
2006-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3
2006-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.65
2006-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.98
2006-03-29,464871.0,3124879.26,3.72,11.24,0.64,9.87,0.0,966601.79,321074.0,143796.0,2158270.76,,,,,,,,0.16,,12412.0,,,,,,,20285.0,6.82,0.4,,,48.36,38.38,342889.0,2304911.96,,0.0,359.85,17.44,0.5264,69.13,0.5557,21.4
2006-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.19
2006-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1
2006-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4
2006-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2
2006-04-05,393811.0,2623708.16,3.15,9.55,0.54,8.34,0.0,421247.3,330583.0,63228.0,2202460.86,,,9509.0,,,486.0,,,,,,,,9509.0,0.01,,81054.0,7.0,1.72,,,48.86,39.73,346012.0,2305254.32,,0.0,371.28,15.92,0.7302,83.96,0.4732,21.21
2006-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.24
2006-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.15
2006-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.01
2006-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7
2006-04-12,152228.0,979290.43,1.22,3.54,0.21,3.17,0.0,406748.92,89000.0,63228.0,572541.5,,,,,,,,,,,,,,,,,,1.83,,5.11,,24.25,16.97,278004.0,1788413.8,241583.0,0.0,100.0,41.87,0.5096,57.81,0.2902,20.48
2006-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.58
2006-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
2006-04-19,155228.0,997126.8,1.24,3.58,0.21,3.22,0.0,425423.98,89000.0,66228.0,571702.82,,,,0.06,,,,,3000.0,,,,0.06,,,,,1.82,,,,24.29,16.17,277334.0,1781490.22,,0.0,100.0,43.12,0.5058,56.56,0.282,20.45
2006-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.46
2006-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.46
2006-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.44
2006-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2
2006-04-26,201352.0,1277598.32,1.61,4.81,0.28,4.14,0.0,730016.3,86300.0,115052.0,547582.02,,,,0.0,,48691.0,,0.07,133.0,2700.0,,,0.0,,1.0,,,1.74,,,,25.67,16.65,249901.0,1585646.52,,0.0,100.0,33.58,0.337,42.02,0.3885,20.2
2006-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.99
2006-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.57
2006-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.65
2006-05-03,181568.0,1150355.9,1.45,5.3,0.25,3.65,0.0,603587.12,118786.0,95268.0,752589.53,,486.0,,,0.01,32163.0,,,,,,486.0,,,0.65,32000.0,51946.0,2.39,1.13,,,29.45,21.12,284583.0,1803025.49,,0.0,100.0,23.99,0.3222,47.6,0.3228,20.17
2006-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.16
2006-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8
2006-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9
2006-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1
2006-05-10,189419.0,1219565.77,1.52,5.66,0.26,3.77,0.0,436630.29,154089.0,67816.0,992095.15,,,,0.32,,,,,16072.0,,,,0.32,,,35303.0,43524.0,3.07,0.87,,,37.52,27.6,256617.0,1652217.09,,0.0,129.74,23.86,0.3079,45.52,0.3392,19.9
2006-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7
2006-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.94
2006-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.99
2006-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.05
2006-05-17,182065.0,1181053.18,1.46,4.72,0.25,3.65,0.0,413642.69,118786.0,63765.0,770563.17,,,,,,,,0.7,,35303.0,,,,,,,4051.0,2.38,0.07,,,24.72,24.72,361753.0,2346686.8,,7.27,24.7,42.3,0.4099,47.43,0.3789,20.05
2006-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9
2006-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.99
2006-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4
2006-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.51
2006-05-24,158673.0,1013908.45,1.27,3.34,0.22,3.13,0.0,411338.6,96426.0,64373.0,616154.84,,,1640.0,0.01,,,,0.48,653.0,24000.0,,,0.01,1640.0,,,45.0,1.9,0.02,,,22.81,22.81,326301.0,2085038.68,,6.42,22.86,39.31,0.3985,48.59,0.3754,19.75
2006-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.72
2006-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.09
2006-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.65
2006-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
2006-05-31,332762.0,2210300.32,2.66,5.77,0.46,6.85,0.0,676822.36,233232.0,101896.0,1549193.61,,136566.0,240.0,0.83,2.81,,,,37523.0,,,136566.0,0.83,240.0,,,,4.8,,,,38.18,38.18,377652.0,2508472.53,,7.78,38.18,23.16,0.4336,59.81,0.5447,20.53
2006-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8
2006-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
2006-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.85
2006-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.04
2006-06-07,399719.0,2715830.73,1.71,6.55,0.55,8.36,0.0,733300.59,297986.0,107928.0,2024621.14,,,5478.0,0.14,,,,0.0,6032.0,1776.0,,,0.14,5478.0,,61051.0,,6.24,,,,49.45,49.45,304621.0,2069701.65,,6.36,49.51,19.97,0.4727,64.61,0.6633,21.0
2006-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.87
2006-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.82
2006-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9
