,ALEO2 FP Equity_DX_SI_QTY,ALEO2 FP Equity_DX_SHORT_INTEREST_VALUE,ALEO2 FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALEO2 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALEO2 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALEO2 FP Equity_DX_SI_MV,ALEO2 FP Equity_DX_DSS,ALEO2 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALEO2 FP Equity_DX_SUPPLY_SI_QTY,ALEO2 FP Equity_DX_BROKER_SI_QTY,ALEO2 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALEO2 FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALEO2 FP Equity_DX_BROKER_SI_MV_INC_x,ALEO2 FP Equity_DX_BROKER_SI_QTY_ADD,ALEO2 FP Equity_DX_SUPPLY_SI_MV_DEC,ALEO2 FP Equity_DX_BROKER_SI_QTY_INC,ALEO2 FP Equity_DX_SUPPLY_SI_QTY_DEC,ALEO2 FP Equity_DX_BROKER_SI_MV_INC_y,ALEO2 FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALEO2 FP Equity_DX_BROKER_SI_MV_ADD,ALEO2 FP Equity_DX_SUPPLY_SI_QTY_ADD,ALEO2 FP Equity_DX_BROKER_SI_QTY_DEC,ALEO2 FP Equity_DX_SUPPLY_SI_MV,ALEO2 FP Equity_DX_BROKER_SI_MV_DEC,ALEO2 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALEO2 FP Equity_DX_UTILIZATION_QUANTITY,ALEO2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALEO2 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALEO2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALEO2 FP Equity_DX_ACTIVE_UTILIZATION_MV,ALEO2 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALEO2 FP Equity_DX_BROKER_SI_CON_RATIO,ALEO2 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALEO2 FP Equity_DX_DEMAND_SUPPLY_RATIO,ALEO2 FP Equity_PX_LAST
2007-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15
2007-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82
2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2007-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2007-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95
2007-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9
2007-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.78
2007-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2007-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.51
2007-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2007-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99
2007-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98
2007-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69
2007-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.51
2007-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.48
2007-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.41
2007-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4
2007-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4
2007-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2007-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2007-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49
2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2007-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2007-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4
2007-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2007-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2007-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49
2007-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.39
2007-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3
2007-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.76
2007-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.76
2007-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
2007-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2007-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.86
2007-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.88
2007-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.02
2007-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.78
2007-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.76
2007-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.41
2007-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
2007-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
2007-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
2007-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
2007-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2007-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.31
2007-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.31
2007-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2007-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2007-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2007-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2007-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.61
2007-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65
2007-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85
2007-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85
2007-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84
2007-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.61
2007-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21
2007-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2007-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2007-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05
2007-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05
2007-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2007-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2007-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2007-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85
2007-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85
2007-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2007-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2007-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2007-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2007-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.39
2007-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2007-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2007-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2007-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2007-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03
2007-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
2007-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.06
2007-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21
2007-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.56
2007-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2007-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.26
2007-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2007-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.71
2007-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74
2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2007-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2007-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.71
2007-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2007-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.42
2007-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2007-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.42
2007-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89
2007-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89
2007-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2007-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2007-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
2007-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2007-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.06
2007-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4
2007-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.29
2007-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2007-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2007-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2007-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2007-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.31
2007-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.01
2007-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2007-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2007-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.21
2007-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.01
2007-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2007-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.22
2007-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2007-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.99
2007-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2008-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2008-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2008-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2008-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2008-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2008-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2008-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25
2008-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25
2008-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2008-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.41
2008-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.51
2008-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.51
2008-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2008-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2008-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2008-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94
2008-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56
2008-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.55
2008-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25
2008-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2008-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2008-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.31
2008-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2008-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.55
2008-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2008-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05
2008-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37
2008-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2008-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84
2008-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2008-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2008-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2008-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2008-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2008-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2008-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2008-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2008-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2008-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02
2008-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13
2008-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15
2008-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24
2008-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2008-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34
2008-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.29
2008-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2008-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41
2008-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39
2008-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2008-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83
2008-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2008-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2008-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2008-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2008-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33
2008-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2008-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45
2008-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2008-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2008-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2008-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65
2008-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2008-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.97
2008-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95
2008-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95
2008-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2008-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2008-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2008-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51
2008-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2008-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2008-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2008-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38
2008-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.65
2008-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
2008-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.61
2008-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4
2008-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4
2008-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2008-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.56
2008-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
2008-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
2008-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2008-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11
2008-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16
2008-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2008-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
2008-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2008-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2008-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2008-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.51
2008-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.51
2008-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.39
2008-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25
2008-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.29
2008-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2008-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.39
2008-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2008-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2008-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2008-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21
2008-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.99
2008-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2008-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
2008-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2008-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75
2008-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2008-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45
2008-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44
2008-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2008-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15
