,SCITY FP Equity_DX_SI_QTY,SCITY FP Equity_DX_SHORT_INTEREST_VALUE,SCITY FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SCITY FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SCITY FP Equity_DX_SI_MV,SCITY FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SCITY FP Equity_DX_SUPPLY_SI_QTY,SCITY FP Equity_DX_BROKER_SI_QTY,SCITY FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SCITY FP Equity_DX_SUPPLY_SI_QTY_INC_x,SCITY FP Equity_DX_BROKER_SI_QTY_ADD,SCITY FP Equity_DX_SUPPLY_SI_MV_DEC,SCITY FP Equity_DX_SUPPLY_SI_QTY_DEC,SCITY FP Equity_DX_SUPPLY_SI_QTY_INC_y,SCITY FP Equity_DX_BROKER_SI_MV_ADD,SCITY FP Equity_DX_SUPPLY_SI_QTY_ADD,SCITY FP Equity_DX_BROKER_SI_QTY_DEC,SCITY FP Equity_DX_SUPPLY_SI_MV,SCITY FP Equity_DX_BROKER_SI_MV_DEC,SCITY FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SCITY FP Equity_DX_UTILIZATION_QUANTITY,SCITY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SCITY FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SCITY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SCITY FP Equity_DX_ACTIVE_UTILIZATION_MV,SCITY FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SCITY FP Equity_DX_BROKER_SI_CON_RATIO,SCITY FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SCITY FP Equity_DX_DEMAND_SUPPLY_RATIO,SCITY FP Equity_PX_LAST
2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.818
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.244
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.196
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.784
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.595
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.895
2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.143
2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.227
2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.387
2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.006
2020-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.082
2020-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.986
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.262
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.814
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.033
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.889
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.313
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.331
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.459
2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.652
2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.66
2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.678
2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.308
2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.76
2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.619
2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.683
2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.477
2020-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.894
2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.08
2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.131
2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.387
2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.882
2020-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.205
2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.639
2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.451
2020-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.514
2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.881
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.604
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.601
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.701
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.868
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.31
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.414
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.009
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.889
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.07
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.217
2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.658
2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.368
2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.47
2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.469
2020-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.745
2020-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.165
2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.508
2020-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.419
2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.063
2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.934
2020-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.045
2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.625
2020-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.715
2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.142
2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.804
2020-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.341
2020-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.544
2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.257
2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.963
2020-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.278
2020-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.396
2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.188
2020-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.38
2020-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.667
2020-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.188
2020-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.143
2020-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.634
2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.182
2020-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2785102.0,2.74,0.0,,0.0,,0.0,44.921
2020-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2815110.0,2.78,0.0,,0.0,,0.0,45.405
2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2786590.0,2.79,0.0,,0.0,,0.0,44.945
2020-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2845490.0,2.79,0.0,,0.0,,0.0,45.895
2020-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2875498.0,2.78,0.0,,0.0,,0.0,46.379
2020-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2943512.0,2.79,0.0,,0.0,,0.0,47.476
2020-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2884178.0,2.79,0.0,,0.0,,0.0,46.519
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2884178.0,2.78,0.0,,0.0,,0.0,
2020-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2782436.0,2.79,0.0,,0.0,,0.0,44.878
2020-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2867438.0,2.79,0.0,,0.0,,0.0,46.249
2020-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2878660.0,2.78,0.0,,0.0,,0.0,46.43
2020-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2909908.0,2.79,0.0,,0.0,,0.0,46.934
2020-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2942954.0,2.78,0.0,,0.0,,0.0,47.467
2020-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2944256.0,2.79,0.0,,0.0,,0.0,47.488
2020-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2951510.0,2.78,0.0,,0.0,,0.0,47.605
2020-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2890812.0,2.78,0.0,,0.0,,0.0,46.626
2020-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2865516.0,2.79,0.0,,0.0,,0.0,46.218
2020-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2863470.0,2.79,0.0,,0.0,,0.0,46.185
2020-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2982448.0,2.79,0.0,,0.0,,0.0,48.104
2020-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2981084.0,2.78,0.0,,0.0,,0.0,48.082
2020-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2989268.0,2.79,0.0,,0.0,,0.0,48.214
2020-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2962670.0,2.78,0.0,,0.0,,0.0,47.785
2020-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,2971350.0,2.79,0.0,,0.0,,0.0,47.925
2020-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,3029444.0,2.79,0.0,,0.0,,0.0,48.862
2020-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,3055918.0,2.79,0.0,,0.0,,0.0,49.289
2020-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,3043704.0,2.79,0.0,,0.0,,0.0,49.092
2020-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,3069434.0,2.78,0.0,,0.0,,0.0,49.507
2020-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,3029196.0,2.79,0.0,,0.0,,0.0,48.858
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,3097148.0,2.79,0.0,,0.0,,0.0,49.954
2020-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,3109858.0,2.78,0.0,,0.0,,0.0,50.159
2020-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,3174462.0,2.78,0.0,,0.0,,0.0,51.201
2020-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,3124800.0,2.79,0.0,,0.0,,0.0,50.4
2020-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62000.0,3197154.0,2.78,0.0,,0.0,,0.0,51.567
2020-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,62047.0,3184686.37,2.79,0.0,,0.0,,0.0,51.327
2020-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103047.0,5225513.37,4.63,0.0,,0.0,,0.0,50.71
2020-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103047.0,5199648.57,5.24,0.0,,0.0,,0.0,50.459
2020-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103047.0,5011999.99,5.17,0.0,,0.0,,0.0,48.638
2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103047.0,5042914.09,5.02,0.0,,0.0,,0.0,48.938
2020-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103047.0,5045181.12,5.06,0.0,,0.0,,0.0,48.96
2020-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103047.0,5197278.49,5.04,0.0,,0.0,,0.0,50.436
2020-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103047.0,5231387.05,5.2,0.0,,0.0,,0.0,50.767
2020-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103051.0,5224273.5,5.24,0.0,,0.0,,0.0,50.696
2020-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103051.0,5286104.1,5.22,0.0,,0.0,,0.0,51.296
2020-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103051.0,5206445.67,5.29,0.0,,0.0,,0.0,50.523
2020-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103051.0,5248181.33,5.21,0.0,,0.0,,0.0,50.928
2020-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103051.0,5142244.9,5.24,0.0,,0.0,,0.0,49.9
2020-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103051.0,5139462.52,5.14,0.0,,0.0,,0.0,49.873
2020-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103051.0,5151107.29,5.13,0.0,,0.0,,0.0,49.986
2020-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103051.0,5150076.78,5.16,0.0,,0.0,,0.0,49.976
2020-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103051.0,5208403.64,5.15,0.0,,0.0,,0.0,50.542
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103051.0,5252509.47,5.2,0.0,,0.0,,0.0,50.97
2020-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103051.0,5337423.49,5.26,0.0,,0.0,,0.0,51.794
2020-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103051.0,5322481.1,5.34,0.0,,0.0,,0.0,51.649
2020-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,103051.0,5425532.1,5.32,0.0,,0.0,,0.0,52.649
2020-07-07,2000.0,105346.0,8.09,0.15,0.11,0.0,2000.0,0.0,105346.0,,,,,,,2000.0,,0.11,,1.94,1.94,101000.0,5319973.0,5.31,1.94,,1.0,100.0,0.0194,52.673
2020-07-08,2000.0,104286.0,8.1,0.14,0.11,0.0,2000.0,0.0,104286.0,,,,,,,,,0.11,,1.94,1.94,101000.0,5266443.0,5.32,1.94,,1.0,100.0,0.0194,52.143
2020-07-09,2000.0,104714.0,8.12,0.14,0.1,0.0,2000.0,0.0,104714.0,,,,,,,,,0.1,,1.94,1.94,101000.0,5288057.0,5.26,1.94,,1.0,100.0,0.0194,52.357
2020-07-10,2000.0,105282.0,8.12,0.14,0.1,0.0,2000.0,0.0,105282.0,,,,,,,,,0.1,,1.94,1.94,101000.0,5316741.0,5.29,1.94,,1.0,100.0,0.0194,52.641
2020-07-13,2000.0,106662.0,7.7,0.14,0.11,0.0,2000.0,0.0,106662.0,,,,,,,,,0.11,,1.94,1.94,101000.0,5386431.0,5.3,1.94,,1.0,100.0,0.0194,53.331
2020-07-14,2000.0,104086.0,7.95,0.14,0.11,0.0,2000.0,0.0,104086.0,,,,,,,,,0.11,,1.94,1.94,101000.0,5256343.0,5.38,1.94,,1.0,100.0,0.0194,52.043
2020-07-15,2000.0,105382.0,7.53,0.14,0.1,0.0,2000.0,0.0,105382.0,,,,,,,,,0.1,,1.94,1.94,101000.0,5321791.0,5.26,1.94,,1.0,100.0,0.0194,52.691
2020-07-16,2000.0,104520.0,7.53,0.14,0.11,0.0,2000.0,0.0,104520.0,,,,,,,,,0.11,,1.94,1.94,101000.0,5278260.0,5.31,1.94,,1.0,100.0,0.0194,52.26
2020-07-17,2000.0,104016.0,6.39,0.14,0.1,0.0,2000.0,0.0,104016.0,,,,,,,,,0.1,,1.94,1.94,101000.0,5252808.0,5.28,1.94,,1.0,100.0,0.0194,52.008
2020-07-20,2000.0,105080.0,5.48,0.14,0.1,0.0,2000.0,0.0,105080.0,,,,,,,,,0.1,,1.94,1.94,101000.0,5306540.0,5.26,1.94,,1.0,100.0,0.0194,52.54
2020-07-21,2000.0,105396.0,5.41,0.14,0.11,0.0,2000.0,0.0,105396.0,,,,,,,,,0.11,,1.94,1.94,101000.0,5322498.0,5.31,1.94,,1.0,100.0,0.0194,52.698
2020-07-22,2000.0,104220.0,5.41,0.14,0.11,0.0,2000.0,0.0,104220.0,,,,,,,,,0.11,,1.94,1.94,101000.0,5263110.0,5.32,1.94,,1.0,100.0,0.0194,52.11
2020-07-23,2000.0,104008.0,5.3,0.14,0.1,0.0,2000.0,0.0,104008.0,,,,,,,,,0.1,,1.94,1.94,101000.0,5252404.0,5.25,1.94,,1.0,100.0,0.0194,52.004
2020-07-24,2000.0,101284.0,5.29,0.14,0.1,0.0,2000.0,0.0,101284.0,,,,,,,,,0.1,,1.94,1.94,101000.0,5114842.0,5.26,1.94,,1.0,100.0,0.0194,50.642
2020-07-27,2000.0,100346.0,5.26,0.14,0.1,0.0,2000.0,0.0,100346.0,,,,,,,,,0.1,,1.94,1.94,101000.0,5067473.0,5.12,1.94,,1.0,100.0,0.0194,50.173
2020-07-28,2000.0,100848.0,5.26,0.14,0.1,0.0,2000.0,0.0,100848.0,,,,,,,,,0.1,,1.94,1.94,101000.0,5092824.0,5.14,1.94,,1.0,100.0,0.0194,50.424
