,ALICA FP Equity_DX_SI_QTY,ALICA FP Equity_DX_SHORT_INTEREST_VALUE,ALICA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALICA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALICA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALICA FP Equity_DX_SI_MV,ALICA FP Equity_DX_DSS,ALICA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALICA FP Equity_DX_SUPPLY_SI_QTY,ALICA FP Equity_DX_BROKER_SI_QTY,ALICA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALICA FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALICA FP Equity_DX_BROKER_SI_MV_INC_x,ALICA FP Equity_DX_BROKER_SI_QTY_ADD,ALICA FP Equity_DX_SUPPLY_SI_MV_DEC,ALICA FP Equity_DX_BROKER_SI_QTY_INC,ALICA FP Equity_DX_SUPPLY_SI_QTY_DEC,ALICA FP Equity_DX_BROKER_SI_MV_INC_y,ALICA FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALICA FP Equity_DX_BROKER_SI_MV_ADD,ALICA FP Equity_DX_SUPPLY_SI_QTY_ADD,ALICA FP Equity_DX_BROKER_SI_QTY_DEC,ALICA FP Equity_DX_SUPPLY_SI_MV,ALICA FP Equity_DX_BROKER_SI_MV_DEC,ALICA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALICA FP Equity_DX_UTILIZATION_QUANTITY,ALICA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALICA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALICA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALICA FP Equity_DX_ACTIVE_UTILIZATION_MV,ALICA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALICA FP Equity_DX_BROKER_SI_CON_RATIO,ALICA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALICA FP Equity_DX_DEMAND_SUPPLY_RATIO,ALICA FP Equity_PX_LAST
2022-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.902
2022-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.92
2022-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.98
2022-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95
2022-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95
2022-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.92
2022-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.92
2022-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.922
2022-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.922
2022-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9
2022-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9
2022-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.92
2022-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.89
2022-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.94
2022-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.94
2022-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.89
2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.76
2022-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.762
2022-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5
2022-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.51
2022-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.65
2022-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.698
2022-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.762
2022-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.698
2022-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68
2022-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7
2022-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7
2022-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7
2022-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68
2022-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68
2022-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68
2022-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.75
2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68
2022-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.504
2022-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.506
2022-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.49
2022-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.45
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.45
2022-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9
2022-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2
2022-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2
2022-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.05
2022-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
2022-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
2022-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
2022-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
2022-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.982
2022-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.982
2022-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08
2022-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08
2022-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.982
2022-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.95
2022-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.95
2022-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.702
2022-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2022-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.31
2022-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.28
2022-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.232
2022-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.79
2022-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9
2022-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9
2022-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2022-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2022-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2022-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.04
2022-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.98
2022-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1
2022-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.12
2022-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4
2022-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4
2022-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4
2022-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.372
2022-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.372
2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.37
2022-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.37
2022-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.368
2022-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.368
2022-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.37
2022-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.37
2022-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.37
2022-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.37
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.368
2022-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.37
2022-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.372
2022-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.374
2022-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.372
2022-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.372
2022-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.37
2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.37
2022-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6
2022-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2022-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2022-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6
2022-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2022-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5
2022-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.502
2022-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.65
2022-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9
2022-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8
2022-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.84
2022-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.84
2022-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.842
2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.892
2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.896
2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.052
2023-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.65
2023-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.902
2023-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.91
2023-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.91
2023-01-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,40590.0,686214.54,0.69,0.0,,0.0,,0.0,16.906
2023-01-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,40590.0,686539.26,0.69,0.0,,0.0,,0.0,16.914
2023-01-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,40590.0,686539.26,0.69,0.0,,0.0,,0.0,16.914
2023-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,40590.0,686620.44,0.69,0.0,,0.0,,0.0,16.916
2023-01-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,40590.0,686376.9,0.69,0.0,,0.0,,0.0,16.91
2023-01-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,40590.0,686376.9,0.69,0.0,,0.0,,0.0,16.91
2023-01-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,40590.0,686376.9,0.69,0.0,,0.0,,0.0,16.91
2023-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,40590.0,686376.9,0.69,0.0,,0.0,,0.0,16.91
2023-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,40590.0,686701.62,0.69,0.0,,0.0,,0.0,16.918
2023-01-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,40590.0,686782.8,0.69,0.0,,0.0,,0.0,16.92
2023-01-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,40590.0,686863.98,0.69,0.0,,0.0,,0.0,16.922
2023-01-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,42408.0,717628.18,0.72,0.0,,0.0,,0.0,16.922
2023-01-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,42595.0,724540.95,0.72,0.0,,0.0,,0.0,17.01
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,42408.0,721444.9,0.72,0.0,,0.0,,0.0,17.012
2023-02-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,42595.0,726244.75,0.72,0.0,,0.0,,0.0,17.05
2023-02-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,42595.0,726585.51,0.73,0.0,,0.0,,0.0,17.058
2023-02-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,42595.0,726585.51,0.73,0.0,,0.0,,0.0,17.058
2023-02-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,42595.0,726585.51,0.73,0.0,,0.0,,0.0,17.058
2023-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,42595.0,726585.51,0.73,0.0,,0.0,,0.0,17.058
2023-02-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,42595.0,726585.51,0.73,0.0,,0.0,,0.0,17.058
2023-02-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,43872.0,748368.58,0.75,0.0,,0.0,,0.0,17.058
2023-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,43872.0,750211.2,0.75,0.0,,0.0,,0.0,17.1
2023-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,43872.0,750211.2,0.75,0.0,,0.0,,0.0,17.1
2023-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,43872.0,754598.4,0.75,0.0,,0.0,,0.0,17.2
2023-02-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,43872.0,745824.0,0.75,0.0,,0.0,,0.0,17.0
2023-02-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,43872.0,746964.67,0.75,0.0,,0.0,,0.0,17.026
2023-02-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,44352.0,749548.8,0.76,0.0,,0.0,,0.0,16.9
2023-02-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,45540.0,769626.0,0.77,0.0,,0.0,,0.0,16.9
2023-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,44352.0,753895.3,0.75,0.0,,0.0,,0.0,16.998
2023-02-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,45540.0,768259.8,0.77,0.0,,0.0,,0.0,16.87
2023-02-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,45540.0,765527.4,0.77,0.0,,0.0,,0.0,16.81
2023-02-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,45540.0,765527.4,0.77,0.0,,0.0,,0.0,16.81
2023-02-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,45540.0,760518.0,0.77,0.0,,0.0,,0.0,16.7
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,45540.0,757330.2,0.76,0.0,,0.0,,0.0,16.63
2023-03-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,45540.0,757785.6,0.76,0.0,,0.0,,0.0,16.64
2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,45540.0,746856.0,0.76,0.0,,0.0,,0.0,16.4
2023-03-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,45540.0,733194.0,0.75,0.0,,0.0,,0.0,16.1
2023-03-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,45540.0,722719.8,0.73,0.0,,0.0,,0.0,15.87
2023-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,45540.0,713156.4,0.72,0.0,,0.0,,0.0,15.66
2023-03-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,45540.0,683100.0,0.71,0.0,,0.0,,0.0,15.0
2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,45540.0,666796.68,0.68,0.0,,0.0,,0.0,14.642
2023-03-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,47843.0,687025.48,0.7,0.0,,0.0,,0.0,14.36
2023-03-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,51480.0,738223.2,0.74,0.0,,0.0,,0.0,14.34
2023-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,51341.0,734073.62,0.74,0.0,,0.0,,0.0,14.298
2023-03-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,51480.0,736061.04,0.74,0.0,,0.0,,0.0,14.298
2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,51480.0,728956.8,0.74,0.0,,0.0,,0.0,14.16
2023-03-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,51480.0,714954.24,0.73,0.0,,0.0,,0.0,13.888
2023-03-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,51480.0,633204.0,0.72,0.0,,0.0,,0.0,12.3
2023-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,51480.0,633204.0,0.63,0.0,,0.0,,0.0,12.3
2023-03-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,51480.0,633204.0,0.63,0.0,,0.0,,0.0,12.3
2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,51480.0,638352.0,0.63,0.0,,0.0,,0.0,12.4
2023-03-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,51480.0,643500.0,0.63,0.0,,0.0,,0.0,12.5
2023-03-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,51480.0,643500.0,0.64,0.0,,0.0,,0.0,12.5
2023-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,51480.0,679536.0,0.64,0.0,,0.0,,0.0,13.2
2023-03-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,51480.0,823680.0,0.68,0.0,,0.0,,0.0,16.0
2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,51480.0,741312.0,0.82,0.0,,0.0,,0.0,14.4
