,ALAIR FP Equity_DX_SI_QTY,ALAIR FP Equity_DX_SHORT_INTEREST_VALUE,ALAIR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALAIR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAIR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAIR FP Equity_DX_SI_MV,ALAIR FP Equity_DX_DSS,ALAIR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAIR FP Equity_DX_SUPPLY_SI_QTY,ALAIR FP Equity_DX_BROKER_SI_QTY,ALAIR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAIR FP Equity_DX_BROKER_SI_QTY_ADD,ALAIR FP Equity_DX_SUPPLY_SI_MV_DEC,ALAIR FP Equity_DX_SUPPLY_SI_QTY_DEC,ALAIR FP Equity_DX_BROKER_SI_MV_ADD,ALAIR FP Equity_DX_SUPPLY_SI_QTY_ADD,ALAIR FP Equity_DX_BROKER_SI_QTY_DEC,ALAIR FP Equity_DX_SUPPLY_SI_MV,ALAIR FP Equity_DX_BROKER_SI_MV_DEC,ALAIR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAIR FP Equity_DX_UTILIZATION_QUANTITY,ALAIR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAIR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAIR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAIR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAIR FP Equity_DX_BROKER_SI_CON_RATIO,ALAIR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALAIR FP Equity_DX_DEMAND_SUPPLY_RATIO,ALAIR FP Equity_PX_LAST
2021-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96
2021-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97
2021-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06
2021-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06
2021-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06
2021-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05
2021-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05
2021-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2021-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2021-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2021-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2021-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2021-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2021-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2021-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82
2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2021-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78
2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83
2021-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2021-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98
2021-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2021-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92
2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92
2021-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2021-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2021-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2021-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2021-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2021-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2021-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2021-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2021-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2021-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2021-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2022-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2022-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66
2022-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78
2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2022-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2022-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2022-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2022-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34
2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34
2022-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36
2022-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44
2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44
2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44
2022-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44
2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44
2022-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42
2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68
2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74
2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66
2022-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76
2022-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74
2022-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58
2022-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2022-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52
2022-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52
2022-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52
2022-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52
2022-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52
2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52
2022-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46
2022-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46
2022-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38
2022-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44
2022-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52
2022-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56
2022-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56
2022-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56
2022-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56
2022-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56
2022-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56
2022-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56
2022-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56
2022-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2022-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68
2022-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2022-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2022-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2022-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58
2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58
2022-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52
2022-09-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3600.0,0.0,0.0,0.0,,0.0,3.6
2022-09-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3520.0,0.0,0.0,0.0,,0.0,3.52
2022-09-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3600.0,0.0,0.0,0.0,,0.0,3.6
2022-09-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3600.0,0.0,0.0,0.0,,0.0,3.6
2022-09-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3600.0,0.0,0.0,0.0,,0.0,
2022-09-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3600.0,0.0,0.0,0.0,,0.0,
2022-09-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3600.0,0.0,0.0,0.0,,0.0,
2022-09-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3600.0,0.0,0.0,0.0,,0.0,
2022-10-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3580.0,0.0,0.0,0.0,,0.0,3.58
2022-10-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3580.0,0.0,0.0,0.0,,0.0,3.58
2022-10-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3600.0,0.0,0.0,0.0,,0.0,3.6
2022-10-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3600.0,0.0,0.0,0.0,,0.0,3.6
2022-10-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3600.0,0.0,0.0,0.0,,0.0,
2022-10-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3500.0,0.0,0.0,0.0,,0.0,3.5
2022-10-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3500.0,0.0,0.0,0.0,,0.0,
2022-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3360.0,0.0,0.0,0.0,,0.0,3.36
2022-10-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3360.0,0.0,0.0,0.0,,0.0,
2022-10-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3360.0,0.0,0.0,0.0,,0.0,
2022-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3360.0,0.0,0.0,0.0,,0.0,
2022-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3360.0,0.0,0.0,0.0,,0.0,
2022-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3360.0,0.0,0.0,0.0,,0.0,
2022-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3360.0,0.0,0.0,0.0,,0.0,3.36
2022-10-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3320.0,0.0,0.0,0.0,,0.0,3.32
2022-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3320.0,0.0,0.0,0.0,,0.0,
2022-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3200.0,0.0,0.0,0.0,,0.0,3.2
2022-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3200.0,0.0,0.0,0.0,,0.0,3.2
2022-10-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3200.0,0.0,0.0,0.0,,0.0,
2022-10-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3200.0,0.0,0.0,0.0,,0.0,
2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3200.0,0.0,0.0,0.0,,0.0,3.2
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3200.0,0.0,0.0,0.0,,0.0,3.2
2022-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3200.0,0.0,0.0,0.0,,0.0,3.2
2022-11-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3200.0,0.0,0.0,0.0,,0.0,
2022-11-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3200.0,0.0,0.0,0.0,,0.0,3.2
2022-11-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3300.0,0.0,0.0,0.0,,0.0,3.3
2022-11-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3300.0,0.0,0.0,0.0,,0.0,
2022-11-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3260.0,0.0,0.0,0.0,,0.0,3.26
2022-11-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3300.0,0.0,0.0,0.0,,0.0,3.3
2022-11-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3300.0,0.0,0.0,0.0,,0.0,
2022-11-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3300.0,0.0,0.0,0.0,,0.0,3.3
2022-11-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3300.0,0.0,0.0,0.0,,0.0,
2022-11-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3300.0,0.0,0.0,0.0,,0.0,
2022-11-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,3300.0,0.0,0.0,0.0,,0.0,
