,MTF FP Equity_DX_SI_QTY,MTF FP Equity_DX_SHORT_INTEREST_VALUE,MTF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MTF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MTF FP Equity_DX_SI_MV,MTF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MTF FP Equity_DX_SUPPLY_SI_QTY,MTF FP Equity_DX_BROKER_SI_QTY,MTF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MTF FP Equity_DX_BROKER_SI_MV_NEW_x,MTF FP Equity_DX_SUPPLY_SI_QTY_INC_x,MTF FP Equity_DX_BROKER_SI_MV_INC_x,MTF FP Equity_DX_BROKER_SI_QTY_ADD,MTF FP Equity_DX_BROKER_SI_QTY_NEW,MTF FP Equity_DX_SUPPLY_SI_MV_DEC,MTF FP Equity_DX_BROKER_SI_QTY_INC,MTF FP Equity_DX_SUPPLY_SI_QTY_DEC,MTF FP Equity_DX_BROKER_SI_MV_NEW_y,MTF FP Equity_DX_BROKER_SI_MV_INC_y,MTF FP Equity_DX_SUPPLY_SI_QTY_INC_y,MTF FP Equity_DX_BROKER_SI_MV_ADD,MTF FP Equity_DX_SUPPLY_SI_QTY_ADD,MTF FP Equity_DX_BROKER_SI_QTY_DEC,MTF FP Equity_DX_SUPPLY_SI_MV,MTF FP Equity_DX_BROKER_SI_MV_DEC,MTF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MTF FP Equity_DX_UTILIZATION_QUANTITY,MTF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MTF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MTF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MTF FP Equity_DX_ACTIVE_UTILIZATION_MV,MTF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MTF FP Equity_DX_BROKER_SI_CON_RATIO,MTF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MTF FP Equity_DX_DEMAND_SUPPLY_RATIO,MTF FP Equity_PX_LAST
2007-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.36
2007-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.56
2007-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.89
2007-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.84
2007-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.52
2007-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.38
2007-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.08
2007-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.9
2007-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.79
2007-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.17
2007-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.04
2007-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.42
2007-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.27
2007-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.76
2007-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.43
2007-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.17
2007-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.28
2007-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.08
2007-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.35
2007-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.25
2007-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.73
2007-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.57
2007-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.92
2007-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.47
2007-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.07
2007-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.41
2007-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.54
2007-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.06
2007-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.75
2007-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.13
2007-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.12
2007-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0
2007-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.58
2007-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.49
2007-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.4
2007-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.62
2007-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.69
2007-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.16
2007-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.44
2008-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.82
2008-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.74
2008-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.44
2008-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.82
2008-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.23
2008-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.31
2008-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.65
2008-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.27
2008-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.79
2008-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.41
2008-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.52
2008-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.74
2008-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.41
2008-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.41
2008-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.9
2008-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.8
2008-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.6
2008-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.4
2008-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.2
2008-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.34
2008-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.54
2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.48
2008-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.53
2008-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.65
2008-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.65
2008-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.01
2008-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8
2008-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.86
2008-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.78
2008-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.29
2008-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.46
2008-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.26
2008-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.84
2008-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.23
2008-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.97
2008-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.21
2008-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.82
2008-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.78
2008-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.3
2008-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.96
2008-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.11
2008-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.99
2008-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.54
2008-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.97
2008-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.62
2008-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.6
2008-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.54
2008-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.01
2008-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.72
2008-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.34
2008-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.05
2008-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.63
2008-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.12
2008-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.65
2008-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.11
2008-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.15
2008-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.07
2008-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.49
2008-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9
2008-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8
2008-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3
2008-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.31
2008-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.07
2008-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2
2008-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55
2008-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.64
2008-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.86
2008-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.02
2008-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.74
2008-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.01
2008-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.82
2008-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.62
2008-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.79
2008-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.89
2008-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.62
2008-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.15
2008-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.29
2008-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.13
2008-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.81
2008-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7
2008-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.63
2008-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.47
2008-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.53
2008-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.96
2008-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.74
2008-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.35
2008-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.94
2008-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.88
2008-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.61
2008-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.59
2008-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.69
2008-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.83
2008-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.5
2008-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.46
2008-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.83
2008-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.95
2008-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.98
2008-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.2
2008-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.62
2008-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.8
2008-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.24
2008-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.64
2008-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.2
2008-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.61
2008-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.49
2008-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.72
2008-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.86
2008-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.03
2008-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.58
2008-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.48
2008-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.5
2008-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.46
2008-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.99
2008-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.52
2008-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.51
2008-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.85
2008-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.97
2008-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.12
2008-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.11
2008-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.5
2008-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.71
2008-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.22
2008-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.85
2008-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.44
2008-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.81
2008-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.85
2008-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.71
2008-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.17
2008-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.1
2008-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.34
2008-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.49
2008-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.95
2008-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.84
2008-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.62
2008-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.61
2008-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.73
2008-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.8
2008-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.21
2008-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.44
2008-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.08
2008-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.22
2008-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.56
2008-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.75
2008-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.66
2008-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.19
2008-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.93
2008-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.53
2008-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.81
2008-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.5
2008-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.43
2008-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.02
2008-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.08
2008-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0
2008-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.03
2008-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.77
2008-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.96
2008-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.8
2009-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.86
2009-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.17
2009-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.21
2009-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.2
2009-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.07
2009-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.85
2009-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.55
2009-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.7
2009-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.63
2009-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.85
2009-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0
2009-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.63
2009-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.6
2009-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.23
2009-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.7
2009-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.69
2009-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.84
2009-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.11
2009-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.28
2009-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.07
2009-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.93
2009-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.2
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.02
2009-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.77
2009-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.6
2009-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.7
2009-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.48
2009-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.11
2009-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0
2009-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.12
2009-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.5
2009-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.37
2009-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.49
2009-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.98
2009-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.63
2009-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.99
2009-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.69
2009-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.14
2009-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.58
2009-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.84
