,KRW FP Equity_DX_SI_QTY,KRW FP Equity_DX_SHORT_INTEREST_VALUE,KRW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,KRW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,KRW FP Equity_DX_SI_MV,KRW FP Equity_DX_DSS,KRW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,KRW FP Equity_DX_SUPPLY_SI_QTY,KRW FP Equity_DX_BROKER_SI_QTY,KRW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,KRW FP Equity_DX_BROKER_SI_MV_NEW_x,KRW FP Equity_DX_SUPPLY_SI_QTY_NEW_x,KRW FP Equity_DX_SUPPLY_SI_QTY_INC_x,KRW FP Equity_DX_BROKER_SI_MV_INC_x,KRW FP Equity_DX_SUPPLY_SI_MV_NEW,KRW FP Equity_DX_BROKER_SI_QTY_ADD,KRW FP Equity_DX_BROKER_SI_QTY_NEW,KRW FP Equity_DX_SUPPLY_SI_MV_DEC,KRW FP Equity_DX_BROKER_SI_QTY_INC,KRW FP Equity_DX_SUPPLY_SI_QTY_DEC,KRW FP Equity_DX_BROKER_SI_MV_NEW_y,KRW FP Equity_DX_SUPPLY_SI_QTY_NEW_y,KRW FP Equity_DX_BROKER_SI_MV_INC_y,KRW FP Equity_DX_SUPPLY_SI_QTY_INC_y,KRW FP Equity_DX_BROKER_SI_MV_ADD,KRW FP Equity_DX_SUPPLY_SI_QTY_ADD,KRW FP Equity_DX_BROKER_SI_QTY_DEC,KRW FP Equity_DX_SUPPLY_SI_MV,KRW FP Equity_DX_BROKER_SI_MV_DEC,KRW FP Equity_DX_SUPPLY_SI_MV_RMV,KRW FP Equity_DX_BROKER_SI_MV_RMV,KRW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,KRW FP Equity_DX_UTILIZATION_QUANTITY,KRW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,KRW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,KRW FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,KRW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,KRW FP Equity_DX_ACTIVE_UTILIZATION_MV,KRW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,KRW FP Equity_DX_BROKER_SI_CON_RATIO,KRW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,KRW FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-11-09,10000.0,388500.0,0.49,0.63,0.4,,388500.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-12,10000.0,392800.0,0.49,0.63,0.39,,392800.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-13,10000.0,396500.0,0.47,0.63,0.39,,396500.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-14,10000.0,400000.0,0.47,0.63,0.4,,400000.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-15,10000.0,394500.0,0.46,0.63,0.4,,394500.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-16,10000.0,385600.0,0.45,0.63,0.39,,385600.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-19,10000.0,373000.0,0.43,0.63,0.39,,373000.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-20,10000.0,374200.0,0.42,0.63,0.37,,374200.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-21,10000.0,348100.0,0.42,0.63,0.37,,348100.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-22,10000.0,349800.0,0.39,0.63,0.37,,349800.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-23,10000.0,355400.0,0.39,0.63,0.35,,355400.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-26,10000.0,362200.0,0.38,0.63,0.36,,362200.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-27,10000.0,364900.0,0.37,0.63,0.36,,364900.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-28,10000.0,370200.0,0.37,0.63,0.36,,370200.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-29,10000.0,375000.0,0.37,0.63,0.37,,375000.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-30,10000.0,383300.0,0.37,0.63,0.38,,383300.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-12-03,10000.0,379000.0,0.37,0.63,0.38,0.0,379000.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-04,10000.0,380700.0,0.38,0.63,0.38,0.0,380700.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-05,10000.0,395200.0,0.38,0.63,0.38,0.0,395200.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-06,10000.0,393900.0,0.37,0.63,0.38,0.0,393900.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-07,10000.0,391500.0,0.37,0.63,0.39,0.0,391500.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-10,10000.0,384300.0,0.39,0.63,0.39,0.0,384300.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-11,10000.0,384900.0,0.4,0.63,0.39,0.0,384900.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-12,10000.0,390000.0,0.39,0.63,0.38,0.0,390000.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-13,10000.0,379500.0,0.37,0.63,0.39,0.0,379500.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-14,10000.0,379900.0,0.36,0.63,0.38,0.0,379900.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-17,10000.0,367400.0,0.37,0.63,0.38,0.0,367400.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-18,10000.0,375400.0,0.37,0.63,0.37,0.0,375400.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-19,10000.0,379000.0,0.37,0.63,0.37,0.0,379000.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-20,10000.0,372400.0,0.34,0.63,0.36,0.0,372400.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-21,10000.0,380600.0,0.35,0.63,0.36,0.0,380600.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-24,10000.0,380600.0,0.35,0.63,0.36,0.0,380600.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-25,10000.0,380600.0,0.37,0.63,0.36,0.0,380600.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,5.571
2007-12-26,26200.0,997172.0,0.96,1.64,1.0,1.0,997172.0,0.0,26200.0,0.0,,,,0.64,,,,,16200.0,,,,0.64,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2007-12-27,26200.0,1001102.0,0.96,1.64,1.0,1.0,1001102.0,0.0,26200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2007-12-28,26200.0,984072.0,0.97,1.64,0.99,1.0,984072.0,0.0,26200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2007-12-31,26200.0,974640.0,1.01,1.64,0.98,1.0,974640.0,0.0,26200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2008-01-01,26200.0,974640.0,1.05,1.64,0.98,1.0,974640.0,0.0,26200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2008-01-02,26200.0,948440.0,1.05,1.64,0.97,1.0,948440.0,0.0,26200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2008-01-03,26200.0,945820.0,1.09,1.64,0.95,1.0,945820.0,0.0,26200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2008-01-04,26200.0,917000.0,1.08,1.64,0.95,1.0,917000.0,0.0,26200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2008-01-07,26200.0,920406.0,1.09,1.64,0.92,1.0,920406.0,0.0,26200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2008-01-08,26200.0,938484.0,1.15,1.64,0.92,1.0,938484.0,0.0,26200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2008-01-09,26200.0,930100.0,1.12,1.46,0.94,1.0,930100.0,0.0,26200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2008-01-10,26200.0,917262.0,1.08,1.46,0.93,1.0,917262.0,0.0,26200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2008-01-11,26200.0,905210.0,1.14,1.46,0.93,1.0,905210.0,0.0,26200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2008-01-14,26200.0,900232.0,1.12,1.46,0.91,1.0,900232.0,0.0,26200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2008-01-15,26200.0,858574.0,1.1,1.46,0.9,1.0,858574.0,0.0,26200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2008-01-16,26200.0,848094.0,1.13,1.46,0.86,1.0,848094.0,0.0,26200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.5961
2008-01-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,26200.0,0.0,0.86,,,0.0,0.0,1795.0,59863.25,,0.06,0.0,,0.0,,0.0
2008-01-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1795.0,59288.85,,0.06,0.0,,0.0,,0.0
2008-01-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1795.0,55393.7,,0.06,0.0,,0.0,,0.0
2008-01-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1795.0,57781.05,,0.06,0.0,,0.0,,0.0
2008-01-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1795.0,55932.2,,0.06,0.0,,0.0,,0.0
2008-01-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1795.0,58570.85,,0.06,0.0,,0.0,,0.0
2008-01-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1795.0,58696.5,,0.06,0.0,,0.0,,0.0
2008-03-25,15000.0,444000.0,2.36,0.69,0.42,,444000.0,0.0,15000.0,0.0,,,,,,15000.0,,,,,,,,,0.42,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-03-26,34000.0,975120.0,5.35,1.56,1.01,,975120.0,0.0,34000.0,0.0,,,,0.59,,,,,19000.0,,,,0.59,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-03-27,34000.0,1014220.0,5.12,1.56,0.98,,1014220.0,0.0,34000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-03-28,34000.0,990080.0,4.94,1.56,1.01,,990080.0,0.0,34000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-03-31,34000.0,1006740.0,5.04,1.56,0.99,,1006740.0,0.0,34000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-01,34000.0,1054000.0,4.65,1.56,1.01,,1054000.0,0.0,34000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-02,44000.0,1386000.0,5.83,2.02,1.36,,1386000.0,0.0,44000.0,0.0,,,,0.36,,,,,10000.0,,,,0.36,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-03,44000.0,1396120.0,5.88,2.02,1.39,,1396120.0,0.0,44000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-04,70300.0,2225698.0,8.76,3.22,2.23,,2225698.0,0.0,70300.0,0.0,,,,0.84,,,,,26300.0,,,,0.84,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-07,70300.0,2241867.0,8.6,3.22,2.23,,2241867.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-08,70300.0,2204608.0,8.77,3.22,2.24,,2204608.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-09,70300.0,2159616.0,9.1,3.22,2.2,,2159616.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-10,70300.0,2196172.0,8.93,3.22,2.2,,2196172.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-11,70300.0,2199687.0,9.18,5.21,2.2,,2199687.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-14,70300.0,2169458.0,9.06,5.21,2.2,,2169458.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-15,70300.0,2151883.0,9.07,5.21,2.17,,2151883.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-16,70300.0,2164537.0,9.37,5.21,2.15,,2164537.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-17,70300.0,2130793.0,9.53,5.21,2.18,,2130793.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-18,70300.0,2193360.0,9.15,5.21,2.13,,2193360.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-21,70300.0,2177894.0,8.18,5.21,2.19,,2177894.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-22,70300.0,2172270.0,7.53,5.21,2.18,,2172270.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-23,70300.0,2220777.0,7.37,5.21,2.17,,2220777.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-24,70300.0,2215856.0,7.18,5.21,2.22,,2215856.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-25,70300.0,2277720.0,6.92,5.21,2.22,,2277720.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-28,70300.0,2297404.0,6.86,5.21,2.28,,2297404.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-29,70300.0,2238352.0,6.89,5.21,2.3,,2238352.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-04-30,70300.0,2275611.0,7.63,5.21,2.24,,2275611.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-05-01,70300.0,2275611.0,8.2,5.21,2.24,,2275611.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-05-02,70300.0,2336069.0,8.2,5.21,2.24,,2336069.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-05-05,70300.0,2326930.0,8.39,5.21,2.34,,2326930.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-05-06,70300.0,2275611.0,8.78,5.21,2.33,,2275611.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-05-07,70300.0,2262254.0,8.87,5.21,2.28,,2262254.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-05-08,70300.0,2221480.0,8.34,5.21,2.26,,2221480.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-05-09,70300.0,2186330.0,8.63,5.21,2.22,,2186330.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-05-12,70300.0,2214450.0,8.85,5.21,2.19,,2214450.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-05-13,70300.0,2185627.0,9.33,5.21,2.21,,2185627.0,0.0,70300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
