,EDEU FP Equity_DX_SI_QTY,EDEU FP Equity_DX_SHORT_INTEREST_VALUE,EDEU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EDEU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EDEU FP Equity_DX_SI_MV,EDEU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EDEU FP Equity_DX_SUPPLY_SI_QTY,EDEU FP Equity_DX_BROKER_SI_QTY,EDEU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EDEU FP Equity_DX_SUPPLY_SI_MV,EDEU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EDEU FP Equity_DX_UTILIZATION_QUANTITY,EDEU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EDEU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EDEU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EDEU FP Equity_DX_ACTIVE_UTILIZATION_MV,EDEU FP Equity_DX_BROKER_SI_CON_RATIO,EDEU FP Equity_DX_DEMAND_SUPPLY_RATIO,EDEU FP Equity_PX_LAST
2018-01-19,,,,,,,,,,,,,,,,,,,111.14
2018-01-22,,,,,,,,,,,,,,,,,,,111.12
2018-01-23,,,,,,,,,,,,,,,,,,,111.08
2018-01-24,,,,,,,,,,,,,,,,,,,111.16
2018-01-25,,,,,,,,,,,,,,,,,,,110.44
2018-01-26,,,,,,,,,,,,,,,,,,,110.34
2018-01-29,,,,,,,,,,,,,,,,,,,109.7
2018-01-30,,,,,,,,,,,,,,,,,,,108.48
2018-01-31,,,,,,,,,,,,,,,,,,,108.1
2018-02-01,,,,,,,,,,,,,,,,,,,108.66
2018-02-02,,,,,,,,,,,,,,,,,,,106.96
2018-02-05,,,,,,,,,,,,,,,,,,,105.54
2018-02-06,,,,,,,,,,,,,,,,,,,103.58
2018-02-07,,,,,,,,,,,,,,,,,,,105.82
2018-02-08,,,,,,,,,,,,,,,,,,,104.28
2018-02-09,,,,,,,,,,,,,,,,,,,102.9
2018-02-12,,,,,,,,,,,,,,,,,,,103.9
2018-02-13,,,,,,,,,,,,,,,,,,,103.74
2018-02-14,,,,,,,,,,,,,,,,,,,104.68
2018-02-15,,,,,,,,,,,,,,,,,,,105.18
2018-02-16,,,,,,,,,,,,,,,,,,,106.64
2018-02-19,,,,,,,,,,,,,,,,,,,106.32
2018-02-20,,,,,,,,,,,,,,,,,,,107.04
2018-02-21,,,,,,,,,,,,,,,,,,,107.16
2018-02-22,,,,,,,,,,,,,,,,,,,107.16
2018-02-23,,,,,,,,,,,,,,,,,,,107.74
2018-02-26,,,,,,,,,,,,,,,,,,,107.9
2018-02-27,,,,,,,,,,,,,,,,,,,108.02
2018-02-28,,,,,,,,,,,,,,,,,,,107.36
2018-03-01,,,,,,,,,,,,,,,,,,,105.66
2018-03-02,,,,,,,,,,,,,,,,,,,103.66
2018-03-05,,,,,,,,,,,,,,,,,,,104.62
2018-03-06,,,,,,,,,,,,,,,,,,,104.78
2018-03-07,,,,,,,,,,,,,,,,,,,105.3
2018-03-08,,,,,,,,,,,,,,,,,,,106.14
2018-03-09,,,,,,,,,,,,,,,,,,,106.78
2018-03-12,,,,,,,,,,,,,,,,,,,106.94
2018-03-13,,,,,,,,,,,,,,,,,,,105.68
2018-03-14,,,,,,,,,,,,,,,,,,,105.92
2018-03-15,,,,,,,,,,,,,,,,,,,106.04
2018-03-16,,,,,,,,,,,,,,,,,,,106.4
2018-03-19,,,,,,,,,,,,,,,,,,,105.8
2018-03-20,,,,,,,,,,,,,,,,,,,106.18
2018-03-21,,,,,,,,,,,,,,,,,,,106.08
2018-03-22,,,,,,,,,,,,,,,,,,,104.82
2018-03-23,,,,,,,,,,,,,,,,,,,104.56
2018-03-26,,,,,,,,,,,,,,,,,,,104.34
2018-03-27,,,,,,,,,,,,,,,,,,,105.22
2018-03-28,,,,,,,,,,,,,,,,,,,105.5
2018-03-29,,,,,,,,,,,,,,,,,,,106.66
2018-04-03,,,,,,,,,,,,,,,,,,,106.08
2018-04-04,,,,,,,,,,,,,,,,,,,105.72
2018-04-05,,,,,,,,,,,,,,,,,,,107.98
2018-04-06,,,,,,,,,,,,,,,,,,,108.32
2018-04-09,,,,,,,,,,,,,,,,,,,108.18
2018-04-10,,,,,,,,,,,,,,,,,,,109.42
2018-04-11,,,,,,,,,,,,,,,,,,,108.98
2018-04-12,,,,,,,,,,,,,,,,,,,109.48
2018-04-13,,,,,,,,,,,,,,,,,,,109.94
2018-04-16,,,,,,,,,,,,,,,,,,,109.26
2018-04-17,,,,,,,,,,,,,,,,,,,110.1
2018-04-18,,,,,,,,,,,,,,,,,,,110.46
2018-04-19,,,,,,,,,,,,,,,,,,,110.6
2018-04-20,,,,,,,,,,,,,,,,,,,110.52
2018-04-23,,,,,,,,,,,,,,,,,,,111.08
2018-04-24,,,,,,,,,,,,,,,,,,,110.56
2018-04-25,,,,,,,,,,,,,,,,,,,110.0
2018-04-26,,,,,,,,,,,,,,,,,,,110.38
2018-04-27,,,,,,,,,,,,,,,,,,,110.68
2018-04-30,,,,,,,,,,,,,,,,,,,111.14
2018-05-02,,,,,,,,,,,,,,,,,,,111.74
2018-05-03,,,,,,,,,,,,,,,,,,,111.08
2018-05-04,,,,,,,,,,,,,,,,,,,111.54
2018-05-07,,,,,,,,,,,,,,,,,,,112.52
2018-05-08,,,,,,,,,,,,,,,,,,,112.4
2018-05-09,,,,,,,,,,,,,,,,,,,112.82
2018-05-10,,,,,,,,,,,,,,,,,,,112.72
2018-05-11,,,,,,,,,,,,,,,,,,,113.84
2018-05-14,,,,,,,,,,,,,,,,,,,113.7
2018-05-15,,,,,,,,,,,,,,,,,,,113.16
2018-05-16,,,,,,,,,,,,,,,,,,,113.08
2018-05-17,,,,,,,,,,,,,,,,,,,113.54
2018-05-18,,,,,,,,,,,,,,,,,,,113.18
2018-05-21,,,,,,,,,,,,,,,,,,,113.88
2018-05-22,,,,,,,,,,,,,,,,,,,114.14
2018-05-23,,,,,,,,,,,,,,,,,,,112.38
2018-05-24,,,,,,,,,,,,,,,,,,,111.16
2018-05-25,,,,,,,,,,,,,,,,,,,111.0
2018-05-28,,,,,,,,,,,,,,,,,,,110.7
2018-05-29,,,,,,,,,,,,,,,,,,,109.12
2018-05-30,,,,,,,,,,,,,,,,,,,109.62
2018-05-31,,,,,,,,,,,,,,,,,,,108.66
2018-06-01,,,,,,,,,,,,,,,,,,,110.38
2018-06-04,,,,,,,,,,,,,,,,,,,110.68
2018-06-05,,,,,,,,,,,,,,,,,,,109.84
2018-06-06,,,,,,,,,,,,,,,,,,,110.46
2018-06-07,,,,,,,,,,,,,,,,,,,110.42
2018-06-08,,,,,,,,,,,,,,,,,,,109.9
2018-06-11,,,,,,,,,,,,,,,,,,,110.1
2018-06-12,,,,,,,,,,,,,,,,,,,110.08
2018-06-13,,,,,,,,,,,,,,,,,,,109.82
2018-06-14,,,,,,,,,,,,,,,,,,,111.26
2018-06-15,,,,,,,,,,,,,,,,,,,109.86
2018-06-18,,,,,,,,,,,,,,,,,,,109.46
2018-06-19,,,,,,,,,,,,,,,,,,,108.66
2018-06-20,,,,,,,,,,,,,,,,,,,108.94
2018-06-21,,,,,,,,,,,,,,,,,,,107.4
2018-06-22,,,,,,,,,,,,,,,,,,,108.64
2018-06-25,,,,,,,,,,,,,,,,,,,106.44
2018-06-26,,,,,,,,,,,,,,,,,,,106.46
2018-06-27,,,,,,,,,,,,,,,,,,,106.74
2018-06-28,,,,,,,,,,,,,,,,,,,105.64
2018-06-29,,,,,,,,,,,,,,,,,,,106.12
2018-07-02,,,,,,,,,,,,,,,,,,,104.38
2018-07-03,,,,,,,,,,,,,,,,,,,105.04
2018-07-04,,,,,,,,,,,,,,,,,,,105.58
2018-07-05,,,,,,,,,,,,,,,,,,,106.12
2018-07-06,,,,,,,,,,,,,,,,,,,106.14
2018-07-09,,,,,,,,,,,,,,,,,,,106.62
2018-07-10,,,,,,,,,,,,,,,,,,,107.06
2018-07-11,,,,,,,,,,,,,,,,,,,105.72
2018-07-12,,,,,,,,,,,,,,,,,,,106.36
2018-07-13,,,,,,,,,,,,,,,,,,,106.3
2018-07-16,,,,,,,,,,,,,,,,,,,105.78
2018-07-17,,,,,,,,,,,,,,,,,,,105.88
2018-07-18,,,,,,,,,,,,,,,,,,,105.92
2018-07-19,,,,,,,,,,,,,,,,,,,105.58
2018-07-20,,,,,,,,,,,,,,,,,,,105.3
2018-07-23,,,,,,,,,,,,,,,,,,,104.82
2018-07-24,,,,,,,,,,,,,,,,,,,106.22
2018-07-25,,,,,,,,,,,,,,,,,,,106.26
2018-07-26,,,,,,,,,,,,,,,,,,,106.82
2018-07-27,,,,,,,,,,,,,,,,,,,107.98
2018-07-30,,,,,,,,,,,,,,,,,,,107.9
2018-07-31,,,,,,,,,,,,,,,,,,,108.36
2018-08-01,,,,,,,,,,,,,,,,,,,107.18
2018-08-02,,,,,,,,,,,,,,,,,,,106.24
2018-08-03,,,,,,,,,,,,,,,,,,,106.8
2018-08-06,,,,,,,,,,,,,,,,,,,106.76
2018-08-07,,,,,,,,,,,,,,,,,,,106.98
2018-08-08,,,,,,,,,,,,,,,,,,,107.28
2018-08-09,,,,,,,,,,,,,,,,,,,107.3
2018-08-10,,,,,,,,,,,,,,,,,,,106.52
2018-08-13,,,,,,,,,,,,,,,,,,,106.32
2018-08-14,,,,,,,,,,,,,,,,,,,105.84
2018-08-15,,,,,,,,,,,,,,,,,,,104.48
2018-08-16,,,,,,,,,,,,,,,,,,,105.34
2018-08-17,,,,,,,,,,,,,,,,,,,105.08
2018-08-20,,,,,,,,,,,,,,,,,,,105.64
2018-08-21,,,,,,,,,,,,,,,,,,,106.3
2018-08-22,,,,,,,,,,,,,,,,,,,106.36
2018-08-23,,,,,,,,,,,,,,,,,,,106.02
2018-08-24,,,,,,,,,,,,,,,,,,,105.96
2018-08-27,,,,,,,,,,,,,,,,,,,106.62
2018-08-28,,,,,,,,,,,,,,,,,,,106.42
2018-08-29,,,,,,,,,,,,,,,,,,,106.54
2018-08-30,,,,,,,,,,,,,,,,,,,106.02
2018-08-31,,,,,,,,,,,,,,,,,,,105.36
2018-09-03,,,,,,,,,,,,,,,,,,,105.28
2018-09-04,,,,,,,,,,,,,,,,,,,104.2
2018-09-05,,,,,,,,,,,,,,,,,,,103.54
2018-09-06,,,,,,,,,,,,,,,,,,,103.22
2018-09-07,,,,,,,,,,,,,,,,,,,103.36
2018-09-10,,,,,,,,,,,,,,,,,,,104.26
2018-09-11,,,,,,,,,,,,,,,,,,,103.82
2018-09-12,,,,,,,,,,,,,,,,,,,104.54
2018-09-13,,,,,,,,,,,,,,,,,,,104.46
2018-09-14,,,,,,,,,,,,,,,,,,,105.16
2018-09-17,,,,,,,,,,,,,,,,,,,105.56
2018-09-18,,,,,,,,,,,,,,,,,,,105.82
2018-09-19,,,,,,,,,,,,,,,,,,,105.72
2018-09-20,,,,,,,,,,,,,,,,,,,106.0
2018-09-21,,,,,,,,,,,,,,,,,,,105.84
2018-09-24,,,,,,,,,,,,,,,,,,,105.44
2018-09-25,,,,,,,,,,,,,,,,,,,105.28
2018-09-26,,,,,,,,,,,,,,,,,,,105.62
2018-09-27,,,,,,,,,,,,,,,,,,,105.92
2018-09-28,,,,,,,,,,,,,,,,,,,105.4
2018-10-01,,,,,,,,,,,,,,,,,,,104.68
2018-10-02,,,,,,,,,,,,,,,,,,,104.08
2018-10-03,,,,,,,,,,,,,,,,,,,104.78
2018-10-04,,,,,,,,,,,,,,,,,,,103.58
2018-10-05,,,,,,,,,,,,,,,,,,,103.1
2018-10-08,,,,,,,,,,,,,,,,,,,102.22
2018-10-09,,,,,,,,,,,,,,,,,,,102.36
2018-10-10,,,,,,,,,,,,,,,,,,,101.34
2018-10-11,,,,,,,,,,,,,,,,,,,99.18
2018-10-12,,,,,,,,,,,,,,,,,,,99.3
2018-10-15,,,,,,,,,,,,,,,,,,,99.14
2018-10-16,,,,,,,,,,,,,,,,,,,100.5
2018-10-17,,,,,,,,,,,,,,,,,,,99.61
2018-10-18,,,,,,,,,,,,,,,,,,,99.58
2018-10-19,,,,,,,,,,,,,,,,,,,98.17
2018-10-22,,,,,,,,,,,,,,,,,,,97.72
2018-10-23,,,,,,,,,,,,,,,,,,,96.62
2018-10-24,,,,,,,,,,,,,,,,,,,96.35
2018-10-25,,,,,,,,,,,,,,,,,,,96.29
2018-10-26,,,,,,,,,,,,,,,,,,,94.89
2018-10-29,,,,,,,,,,,,,,,,,,,96.3
2018-10-30,,,,,,,,,,,,,,,,,,,96.31
2018-10-31,,,,,,,,,,,,,,,,,,,97.53
2018-11-01,,,,,,,,,,,,,,,,,,,98.81
2018-11-02,,,,,,,,,,,,,,,,,,,99.46
2018-11-05,,,,,,,,,,,,,,,,,,,98.84
2018-11-06,,,,,,,,,,,,,,,,,,,98.65
2018-11-07,,,,,,,,,,,,,,,,,,,99.28
2018-11-08,,,,,,,,,,,,,,,,,,,98.76
2018-11-09,,,,,,,,,,,,,,,,,,,97.99
2018-11-12,,,,,,,,,,,,,,,,,,,97.15
2018-11-13,,,,,,,,,,,,,,,,,,,97.86
2018-11-14,,,,,,,,,,,,,,,,,,,97.88
2018-11-15,,,,,,,,,,,,,,,,,,,95.32
2018-11-16,,,,,,,,,,,,,,,,,,,95.16
2018-11-19,,,,,,,,,,,,,,,,,,,94.2
2018-11-20,,,,,,,,,,,,,,,,,,,93.01
2018-11-21,,,,,,,,,,,,,,,,,,,94.44
2018-11-22,,,,,,,,,,,,,,,,,,,93.81
2018-11-23,,,,,,,,,,,,,,,,,,,94.34
2018-11-26,,,,,,,,,,,,,,,,,,,95.7
2018-11-27,,,,,,,,,,,,,,,,,,,95.32
2018-11-28,,,,,,,,,,,,,,,,,,,94.86
2018-11-29,,,,,,,,,,,,,,,,,,,94.94
2018-11-30,,,,,,,,,,,,,,,,,,,94.42
2018-12-03,,,,,,,,,,,,,,,,,,,94.6
2018-12-04,,,,,,,,,,,,,,,,,,,93.09
2018-12-05,,,,,,,,,,,,,,,,,,,92.71
2018-12-06,,,,,,,,,,,,,,,,,,,89.76
2018-12-07,,,,,,,,,,,,,,,,,,,90.18
2018-12-10,,,,,,,,,,,,,,,,,,,87.4
2018-12-11,,,,,,,,,,,,,,,,,,,88.92
2018-12-12,,,,,,,,,,,,,,,,,,,90.7
2018-12-13,,,,,,,,,,,,,,,,,,,90.17
2018-12-14,,,,,,,,,,,,,,,,,,,89.65
2018-12-17,,,,,,,,,,,,,,,,,,,88.42
2018-12-18,,,,,,,,,,,,,,,,,,,87.95
2018-12-19,,,,,,,,,,,,,,,,,,,88.49
2018-12-20,,,,,,,,,,,,,,,,,,,87.02
2018-12-21,,,,,,,,,,,,,,,,,,,87.43
2018-12-24,,,,,,,,,,,,,,,,,,,86.07
2018-12-27,,,,,,,,,,,,,,,,,,,85.31
2018-12-28,,,,,,,,,,,,,,,,,,,86.92
2018-12-31,,,,,,,,,,,,,,,,,,,87.84
2019-01-02,,,,,,,,,,,,,,,,,,,87.35
2019-01-03,,,,,,,,,,,,,,,,,,,86.94
2019-01-04,,,,,,,,,,,,,,,,,,,89.17
2019-01-07,,,,,,,,,,,,,,,,,,,89.77
2019-01-08,,,,,,,,,,,,,,,,,,,90.33
2019-01-09,,,,,,,,,,,,,,,,,,,91.22
2019-01-10,,,,,,,,,,,,,,,,,,,91.22
2019-01-11,,,,,,,,,,,,,,,,,,,91.58
2019-01-14,,,,,,,,,,,,,,,,,,,91.49
2019-01-15,,,,,,,,,,,,,,,,,,,91.11
2019-01-16,,,,,,,,,,,,,,,,,,,92.45
2019-01-17,,,,,,,,,,,,,,,,,,,92.56
2019-01-18,,,,,,,,,,,,,,,,,,,94.69
2019-01-21,,,,,,,,,,,,,,,,,,,94.28
2019-01-22,,,,,,,,,,,,,,,,,,,94.28
2019-01-23,,,,,,,,,,,,,,,,,,,94.43
2019-01-24,,,,,,,,,,,,,,,,,,,95.25
2019-01-25,,,,,,,,,,,,,,,,,,,96.06
2019-01-28,,,,,,,,,,,,,,,,,,,95.12
2019-01-29,,,,,,,,,,,,,,,,,,,95.47
2019-01-30,,,,,,,,,,,,,,,,,,,95.94
2019-01-31,,,,,,,,,,,,,,,,,,,95.65
2019-02-01,,,,,,,,,,,,,,,,,,,95.96
2019-02-04,,,,,,,,,,,,,,,,,,,95.84
2019-02-05,,,,,,,,,,,,,,,,,,,97.01
2019-02-06,,,,,,,,,,,,,,,,,,,97.09
2019-02-07,,,,,,,,,,,,,,,,,,,94.81
2019-02-08,,,,,,,,,,,,,,,,,,,93.95
2019-02-11,,,,,,,,,,,,,,,,,,,94.85
2019-02-12,,,,,,,,,,,,,,,,,,,95.11
2019-02-13,,,,,,,,,,,,,,,,,,,95.84
2019-02-14,,,,,,,,,,,,,,,,,,,95.58
2019-02-15,,,,,,,,,,,,,,,,,,,96.76
2019-02-18,,,,,,,,,,,,,,,,,,,97.21
2019-02-19,,,,,,,,,,,,,,,,,,,97.3
2019-02-20,,,,,,,,,,,,,,,,,,,98.28
2019-02-21,,,,,,,,,,,,,,,,,,,98.36
2019-02-22,,,,,,,,,,,,,,,,,,,98.56
2019-02-25,,,,,,,,,,,,,,,,,,,98.47
2019-02-26,,,,,,,,,,,,,,,,,,,99.19
2019-02-27,,,,,,,,,,,,,,,,,,,98.79
2019-02-28,,,,,,,,,,,,,,,,,,,98.48
2019-03-01,,,,,,,,,,,,,,,,,,,99.33
2019-03-04,,,,,,,,,,,,,,,,,,,99.64
2019-03-05,,,,,,,,,,,,,,,,,,,99.54
2019-03-06,,,,,,,,,,,,,,,,,,,99.31
2019-03-07,,,,,,,,,,,,,,,,,,,98.28
2019-03-08,,,,,,,,,,,,,,,,,,,96.93
2019-03-11,,,,,,,,,,,,,,,,,,,97.62
2019-03-12,,,,,,,,,,,,,,,,,,,97.48
2019-03-13,,,,,,,,,,,,,,,,,,,98.26
2019-03-14,,,,,,,,,,,,,,,,,,,98.98
2019-03-15,,,,,,,,,,,,,,,,,,,99.5
2019-03-18,,,,,,,,,,,,,,,,,,,99.74
2019-03-19,,,,,,,,,,,,,,,,,,,100.56
2019-03-20,,,,,,,,,,,,,,,,,,,98.89
2019-03-21,,,,,,,,,,,,,,,,,,,98.23
2019-03-22,,,,,,,,,,,,,,,,,,,97.32
2019-03-25,,,,,,,,,,,,,,,,,,,96.2
2019-03-26,,,,,,,,,,,,,,,,,,,96.64
2019-03-27,,,,,,,,,,,,,,,,,,,97.45
2019-03-28,,,,,,,,,,,,,,,,,,,96.27
2019-03-29,,,,,,,,,,,,,,,,,,,96.95
2019-04-01,,,,,,,,,,,,,,,,,,,98.55
2019-04-02,,,,,,,,,,,,,,,,,,,99.03
2019-04-03,,,,,,,,,,,,,,,,,,,100.88
2019-04-04,,,,,,,,,,,,,,,,,,,100.52
2019-04-05,,,,,,,,,,,,,,,,,,,100.72
2019-04-08,,,,,,,,,,,,,,,,,,,100.26
2019-04-09,,,,,,,,,,,,,,,,,,,99.4
2019-04-10,,,,,,,,,,,,,,,,,,,99.94
2019-04-11,,,,,,,,,,,,,,,,,,,100.72
2019-04-12,,,,,,,,,,,,,,,,,,,101.3
2019-04-15,,,,,,,,,,,,,,,,,,,101.96
2019-04-16,,,,,,,,,,,,,,,,,,,102.44
2019-04-17,,,,,,,,,,,,,,,,,,,102.76
2019-04-18,,,,,,,,,,,,,,,,,,,103.16
2019-04-23,,,,,,,,,,,,,,,,,,,102.92
2019-04-24,,,,,,,,,,,,,,,,,,,102.38
2019-04-25,,,,,,,,,,,,,,,,,,,101.58
2019-04-26,,,,,,,,,,,,,,,,,,,101.8
2019-04-29,,,,,,,,,,,,,,,,,,,102.0
2019-04-30,,,,,,,,,,,,,,,,,,,101.68
2019-05-02,,,,,,,,,,,,,,,,,,,100.8
2019-05-03,,,,,,,,,,,,,,,,,,,100.7
2019-05-06,,,,,,,,,,,,,,,,,,,99.47
2019-05-07,,,,,,,,,,,,,,,,,,,98.2
2019-05-08,,,,,,,,,,,,,,,,,,,97.45
2019-05-09,,,,,,,,,,,,,,,,,,,96.18
2019-05-10,,,,,,,,,,,,,,,,,,,96.61
2019-05-13,,,,,,,,,,,,,,,,,,,94.81
2019-05-14,,,,,,,,,,,,,,,,,,,95.81
2019-05-15,,,,,,,,,,,,,,,,,,,95.59
2019-05-16,,,,,,,,,,,,,,,,,,,95.84
2019-05-17,,,,,,,,,,,,,,,,,,,95.27
2019-05-20,,,,,,,,,,,,,,,,,,,94.34
2019-05-21,,,,,,,,,,,,,,,,,,,94.85
2019-05-22,,,,,,,,,,,,,,,,,,,93.64
2019-05-23,,,,,,,,,,,,,,,,,,,91.29
2019-05-24,,,,,,,,,,,,,,,,,,,91.85
2019-05-27,,,,,,,,,,,,,,,,,,,92.49
2019-05-28,,,,,,,,,,,,,,,,,,,92.69
2019-05-29,,,,,,,,,,,,,,,,,,,91.4
2019-05-30,,,,,,,,,,,,,,,,,,,91.3
2019-05-31,,,,,,,,,,,,,,,,,,,90.55
2019-06-03,,,,,,,,,,,,,,,,,,,90.07
2019-06-04,,,,,,,,,,,,,,,,,,,91.54
2019-06-05,,,,,,,,,,,,,,,,,,,91.92
2019-06-06,,,,,,,,,,,,,,,,,,,91.3
2019-06-07,,,,,,,,,,,,,,,,,,,91.96
2019-06-10,,,,,,,,,,,,,,,,,,,92.47
2019-06-11,,,,,,,,,,,,,,,,,,,93.04
2019-06-12,,,,,,,,,,,,,,,,,,,92.49
2019-06-13,,,,,,,,,,,,,,,,,,,92.82
2019-06-14,,,,,,,,,,,,,,,,,,,92.34
2019-06-17,,,,,,,,,,,,,,,,,,,91.78
