,ALPAU FP Equity_DX_SI_QTY,ALPAU FP Equity_DX_SHORT_INTEREST_VALUE,ALPAU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPAU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPAU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPAU FP Equity_DX_SI_MV,ALPAU FP Equity_DX_DSS,ALPAU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPAU FP Equity_DX_SUPPLY_SI_QTY,ALPAU FP Equity_DX_BROKER_SI_QTY,ALPAU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPAU FP Equity_DX_BROKER_SI_QTY_ADD,ALPAU FP Equity_DX_SUPPLY_SI_MV_DEC,ALPAU FP Equity_DX_SUPPLY_SI_QTY_DEC,ALPAU FP Equity_DX_BROKER_SI_MV_ADD,ALPAU FP Equity_DX_SUPPLY_SI_QTY_ADD,ALPAU FP Equity_DX_BROKER_SI_QTY_DEC,ALPAU FP Equity_DX_SUPPLY_SI_MV,ALPAU FP Equity_DX_BROKER_SI_MV_DEC,ALPAU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPAU FP Equity_DX_UTILIZATION_QUANTITY,ALPAU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPAU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPAU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPAU FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPAU FP Equity_DX_BROKER_SI_CON_RATIO,ALPAU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPAU FP Equity_DX_DEMAND_SUPPLY_RATIO,ALPAU FP Equity_PX_LAST
2020-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2020-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2020-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2020-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2020-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.82
2020-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.96
2020-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04
2020-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2020-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2020-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2020-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2020-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32
2020-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2020-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18
2020-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
2020-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26
2020-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2020-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2020-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2020-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2020-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2020-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2020-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2020-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2020-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32
2020-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2020-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2020-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2020-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44
2020-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46
2020-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46
2020-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48
2020-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46
