,ALROC FP Equity_DX_SI_QTY,ALROC FP Equity_DX_SHORT_INTEREST_VALUE,ALROC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALROC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALROC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALROC FP Equity_DX_SI_MV,ALROC FP Equity_DX_DSS,ALROC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALROC FP Equity_DX_SUPPLY_SI_QTY,ALROC FP Equity_DX_BROKER_SI_QTY,ALROC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALROC FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALROC FP Equity_DX_BROKER_SI_MV_INC_x,ALROC FP Equity_DX_BROKER_SI_QTY_ADD,ALROC FP Equity_DX_SUPPLY_SI_MV_DEC,ALROC FP Equity_DX_BROKER_SI_QTY_INC,ALROC FP Equity_DX_SUPPLY_SI_QTY_DEC,ALROC FP Equity_DX_BROKER_SI_MV_INC_y,ALROC FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALROC FP Equity_DX_BROKER_SI_MV_ADD,ALROC FP Equity_DX_SUPPLY_SI_QTY_ADD,ALROC FP Equity_DX_BROKER_SI_QTY_DEC,ALROC FP Equity_DX_SUPPLY_SI_MV,ALROC FP Equity_DX_BROKER_SI_MV_DEC,ALROC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALROC FP Equity_DX_UTILIZATION_QUANTITY,ALROC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALROC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALROC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALROC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALROC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALROC FP Equity_DX_BROKER_SI_CON_RATIO,ALROC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALROC FP Equity_DX_DEMAND_SUPPLY_RATIO,ALROC FP Equity_PX_LAST
2008-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2008-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2008-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.01
2008-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.03
2008-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2008-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2008-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2008-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.99
2008-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2008-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49
2008-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49
2008-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.38
2008-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25
2008-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.23
2008-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.23
2008-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.23
2008-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.23
2008-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.23
2008-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2008-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2008-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2008-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2008-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.01
2008-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2008-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.55
2008-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.55
2008-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2008-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2008-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2008-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
2008-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.24
2008-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.34
2008-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.65
2008-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.65
2008-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.65
2008-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.65
2008-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.06
2008-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99
2008-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.99
2008-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2008-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2008-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2008-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2008-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2008-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2008-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2008-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2008-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2008-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2008-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2008-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2008-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2008-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2008-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2008-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2008-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55
2008-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2008-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2008-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2009-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2009-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.93
2009-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62
2009-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62
2009-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62
2009-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62
2009-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62
2009-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62
2009-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62
2009-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62
2009-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62
2009-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62
2009-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62
2009-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2009-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48
2009-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48
2009-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48
2009-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48
2009-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2009-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
