,ASY FP Equity_DX_SI_QTY,ASY FP Equity_DX_SHORT_INTEREST_VALUE,ASY FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ASY FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ASY FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ASY FP Equity_DX_SI_MV,ASY FP Equity_DX_DSS,ASY FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ASY FP Equity_DX_SUPPLY_SI_QTY,ASY FP Equity_DX_BROKER_SI_QTY,ASY FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ASY FP Equity_DX_BROKER_SI_MV_NEW_x,ASY FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ASY FP Equity_DX_SUPPLY_SI_QTY_INC_x,ASY FP Equity_DX_BROKER_SI_MV_INC_x,ASY FP Equity_DX_SUPPLY_SI_MV_NEW,ASY FP Equity_DX_BROKER_SI_QTY_ADD,ASY FP Equity_DX_BROKER_SI_QTY_NEW,ASY FP Equity_DX_SUPPLY_SI_MV_DEC,ASY FP Equity_DX_BROKER_SI_QTY_INC,ASY FP Equity_DX_SUPPLY_SI_QTY_DEC,ASY FP Equity_DX_BROKER_SI_MV_NEW_y,ASY FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ASY FP Equity_DX_BROKER_SI_MV_INC_y,ASY FP Equity_DX_SUPPLY_SI_QTY_INC_y,ASY FP Equity_DX_BROKER_SI_MV_ADD,ASY FP Equity_DX_SUPPLY_SI_QTY_ADD,ASY FP Equity_DX_BROKER_SI_QTY_DEC,ASY FP Equity_DX_SUPPLY_SI_MV,ASY FP Equity_DX_BROKER_SI_MV_DEC,ASY FP Equity_DX_SUPPLY_SI_MV_RMV,ASY FP Equity_DX_BROKER_SI_MV_RMV,ASY FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ASY FP Equity_DX_UTILIZATION_QUANTITY,ASY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ASY FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ASY FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ASY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ASY FP Equity_DX_ACTIVE_UTILIZATION_MV,ASY FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ASY FP Equity_DX_BROKER_SI_CON_RATIO,ASY FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ASY FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-05-24,249185.0,3838213.91,1.64,4.42,1.31,5.59,1.0,2078351.59,115453.0,134931.0,1778330.6,,,,0.0,,18699.0,,0.01,183.0,107.0,,,0.0,,0.43,1199.0,5.0,2.68,0.0,,,14.63,10.63,673482.0,10373690.16,,1.99,57.32,29.88,0.3269,47.02,0.2295
2006-05-31,284981.0,4753934.86,1.88,5.54,1.5,6.6,1.0,2271364.66,150020.0,136160.0,2502571.43,,,28.0,0.21,,4000.0,,,7351.0,,,,0.21,28.0,0.09,34539.0,10122.0,3.62,0.25,,,19.11,13.91,635133.0,10595025.33,,1.3,73.54,28.71,0.3315,47.84,0.2643
2006-06-07,264585.0,4062892.44,1.74,5.35,1.39,7.26,1.0,1882365.24,142001.0,122584.0,2180527.2,,,,0.04,,,,0.05,769.0,8019.0,,,0.04,,,,14345.0,3.57,0.38,,,20.4,14.34,554046.0,8507773.7,,1.33,72.87,41.93,0.3668,42.68,0.2671
2006-06-14,425202.0,5977025.25,2.8,7.8,2.24,10.92,1.0,1830293.72,296194.0,130206.0,4163571.71,,,,0.19,,1198.0,,0.07,10500.0,774.0,,,0.19,,0.02,154967.0,4076.0,7.2,0.11,,,42.72,29.93,397146.0,5582644.65,,0.0,162.28,26.49,0.2893,39.4,0.4297
2006-06-21,529720.0,8119897.08,3.49,9.55,2.78,13.5,1.0,2112488.44,393106.0,137813.0,6025787.7,,,96912.0,0.11,,2348.0,,,5259.0,,,,0.11,96912.0,0.06,,,9.54,,,,51.86,37.32,364885.0,5593197.63,,0.0,216.97,34.66,0.2926,35.29,0.5028
2006-06-28,525011.0,7813314.98,3.46,11.6,2.76,13.31,1.0,2050275.07,388442.0,137767.0,5780868.77,,,40.0,0.0,,,,0.15,4.0,4703.0,,,0.0,40.0,,,49.0,9.39,0.0,,,50.21,36.27,385126.0,5731519.42,,0.0,213.69,34.76,0.2925,35.13,0.4902
2006-07-03,526834.0,8114860.8,3.47,13.22,2.77,13.02,1.0,2077689.26,391945.0,134888.0,6037156.13,,,3602.0,0.0,,,,0.0,319.0,98.0,,,0.0,3602.0,,,3198.0,9.15,0.05,,,51.23,36.9,373067.0,5746376.99,,0.0,218.42,34.24,0.2917,35.33,0.496
2006-07-04,521754.0,8153085.86,3.44,13.49,2.74,13.19,1.0,2107550.68,386882.0,134872.0,6045535.18,,,69.0,,,,,0.01,,5132.0,,,,69.0,,,16.0,9.3,0.0,,,50.32,36.25,382014.0,5969466.34,,0.0,215.04,34.95,0.2938,35.1,0.4889
2006-07-05,517385.0,7832820.32,3.41,14.01,2.72,13.27,1.0,1948663.57,388669.0,128716.0,5884156.75,,,1787.0,,,,,,,,,,,1787.0,,,6156.0,9.48,0.15,,,50.44,36.36,381840.0,5780770.82,,0.0,216.07,35.32,0.2994,35.44,0.484
2006-07-06,520292.0,8009123.16,3.43,14.43,2.73,13.1,1.0,1981391.79,391576.0,128716.0,6027731.37,,,2972.0,,,,,0.0,,65.0,,,,2972.0,,,,9.33,,,,51.06,36.79,375253.0,5776463.02,,0.0,219.38,34.67,0.2983,35.79,0.4888
2006-07-07,525237.0,7792875.9,3.46,14.62,2.76,12.98,1.0,1909743.25,396521.0,128716.0,5883132.65,,,4945.0,,,,,,,,,,,4945.0,,,,9.2,,,,51.04,36.93,380310.0,5642612.07,,0.0,224.38,33.8,0.2979,36.36,0.4892
2006-07-10,526016.0,7956256.99,3.46,14.83,2.76,13.02,1.0,1912498.95,399574.0,126442.0,6043758.05,,,3258.0,,,,,0.0,,205.0,,,,3258.0,,,2274.0,9.29,0.04,,,51.37,37.2,378327.0,5722386.47,,0.0,226.46,33.91,0.2999,36.5,0.4897
2006-07-11,523923.0,7852590.23,3.45,14.58,2.75,13.09,1.0,1895120.49,397481.0,126442.0,5957469.74,,,,,,,,0.0,,2093.0,,,,,,,,9.37,,,,52.73,37.86,356261.0,5339661.84,,0.0,224.0,34.36,0.3005,36.26,0.4991
2006-07-12,520049.0,7758788.17,3.42,14.6,2.73,12.9,1.0,1915777.61,391640.0,128409.0,5843010.56,,,40.0,0.1,,,,0.18,4500.0,5881.0,,,0.1,40.0,,,2533.0,9.15,0.06,,,51.55,37.11,368044.0,5490973.8,,0.0,220.71,34.46,0.3026,36.38,0.4928
2006-07-13,521305.0,7738119.77,3.43,15.13,2.74,12.92,1.0,1906070.77,392896.0,128409.0,5832049.0,,,1305.0,,,,,0.0,,49.0,,,,1305.0,,,,9.15,,,,51.84,37.31,364939.0,5417062.35,,0.0,221.94,34.25,0.3026,36.52,0.495
2006-07-14,518225.0,7610491.2,3.41,14.92,2.72,12.76,1.0,1819689.04,394316.0,123909.0,5790802.16,,,1420.0,,,,,,,,,,,1420.0,,,4500.0,9.09,0.1,,,51.83,37.35,366485.0,5382084.75,,0.0,223.87,34.19,0.3013,36.21,0.4909
2006-07-17,518411.0,7395905.66,3.41,15.7,2.73,12.74,1.0,1767746.59,394502.0,123909.0,5628159.08,,,198.0,,,,,0.0,,12.0,,,,198.0,,,,9.09,,,,37.7,37.7,651985.0,9301537.88,,15.21,37.4,34.22,0.3018,36.23,0.4954
2006-07-18,529434.0,7240269.14,3.49,15.06,2.78,12.77,1.0,1779290.6,400525.0,130108.0,5477375.45,,,4936.0,0.09,,1199.0,,0.01,5000.0,113.0,,,0.09,4936.0,0.02,1199.0,,9.02,,,,37.94,37.94,655225.0,8960522.64,,15.15,37.31,33.16,0.2962,36.33,0.5015
2006-07-19,532822.0,7616146.5,3.51,14.7,2.8,11.9,1.0,1859761.02,403913.0,130108.0,5773523.95,,,4168.0,,,,,0.07,,779.0,,,,4168.0,,,,8.73,,,,37.64,37.64,669247.0,9566202.59,,14.5,37.58,35.6,0.3023,36.95,0.4965
2006-07-20,539725.0,7714817.83,3.55,14.95,2.84,11.97,1.0,1931230.92,405816.0,135108.0,5800725.4,,,1903.0,0.1,,,,,5000.0,,,,0.1,1903.0,,,,8.74,,,,37.06,37.06,689306.0,9852925.51,,14.89,36.98,35.39,0.2996,36.76,0.4928
2006-07-21,542513.0,7594356.57,3.57,15.83,2.85,11.88,1.0,1891306.43,408604.0,135108.0,5719834.31,,,2788.0,,,,,,,,,,,2788.0,,,,8.65,,,,37.04,37.04,694602.0,9723371.17,,14.89,36.76,34.95,0.2993,37.07,0.4918
2006-07-24,542343.0,7789509.85,3.57,16.2,2.85,11.89,1.0,1940515.68,408434.0,135108.0,5866215.05,,,,,,,,0.0,,170.0,,,,,,,,8.66,,,,37.29,37.29,686981.0,9866902.07,,14.73,37.01,34.92,0.2991,37.06,0.4951
2006-07-25,538603.0,7846833.45,3.55,16.44,2.83,12.0,1.0,1968369.98,404694.0,135108.0,5895931.54,,,53.0,,,,,0.01,,3793.0,,,,53.0,,,,8.75,,,,36.83,36.83,694121.0,10112553.92,,15.03,36.8,35.48,0.2991,36.63,0.4902
2006-07-26,468793.0,6636485.42,3.09,16.26,2.46,10.36,1.0,1346399.91,374884.0,95108.0,5307059.19,,,49.0,,,,,0.7,,29859.0,,,,49.0,,,40000.0,8.11,0.99,,,34.73,34.73,704571.0,9974285.38,,15.14,34.89,39.43,0.3301,39.79,0.4343
2006-07-27,430704.0,6313345.64,2.84,18.27,2.26,9.44,1.0,1394112.14,336795.0,95108.0,4936808.68,,,1961.0,,,,,0.94,,40051.0,,,,1961.0,,,,7.18,,,,30.45,30.45,769147.0,11274311.03,,16.44,30.41,33.24,0.3226,43.84,0.3894
2006-07-28,427346.0,6223008.67,2.81,18.16,2.25,9.53,1.0,1384961.85,333437.0,95108.0,4855506.64,,,70.0,,,,,0.01,,3428.0,,,,70.0,,,,7.27,,,,30.03,30.03,777007.0,11314769.05,,16.81,30.19,33.86,0.3221,43.35,0.3848
2006-07-31,470007.0,7008964.59,3.1,20.73,2.47,10.38,1.0,2023487.76,335515.0,135691.0,5003356.87,,,2078.0,0.97,,,,,47400.0,,,,0.97,2078.0,,,6817.0,7.28,0.13,,,30.06,30.06,780592.0,11640553.62,,16.8,30.22,31.05,0.3555,49.35,0.4211
2006-08-01,461201.0,6655785.86,3.04,20.68,2.42,10.32,1.0,1863038.74,332105.0,129096.0,4792747.12,,,45.0,,,,,0.03,,3455.0,,,,45.0,,,6595.0,7.33,0.15,,,29.76,29.76,783881.0,11312516.83,,17.02,30.1,32.01,0.3639,49.67,0.4133
2006-08-02,469252.0,6855816.71,3.09,21.37,2.47,10.32,1.0,1886104.94,340156.0,129096.0,4969711.77,,,8107.0,,,,,0.0,,56.0,,,,8107.0,,,,7.33,,,,31.31,31.31,746262.0,10902959.37,,16.16,31.22,30.94,0.368,50.74,0.4319
2006-08-03,468850.0,6675956.18,3.09,21.69,2.46,10.38,1.0,1838198.23,339754.0,129096.0,4837757.95,,,6.0,,,,,0.0,,408.0,,,,6.0,,,,7.39,,,,30.54,30.54,772564.0,11000540.49,,16.84,30.5,31.15,0.368,50.62,0.4215
2006-08-04,479849.0,6374208.33,3.16,24.84,2.52,10.09,1.0,1714882.81,350753.0,129096.0,4659325.53,,,10998.0,,,,,,,,,,,10998.0,,,,7.12,,,,29.81,29.81,826007.0,10972494.9,,17.4,29.03,29.16,0.3745,52.33,0.4078
2006-08-07,480663.0,6424659.33,3.17,19.7,2.53,10.06,1.0,1725528.74,351567.0,129096.0,4699130.59,,,1188.0,,,,,0.01,,373.0,,,,1188.0,,,,7.12,,,,30.75,30.75,791576.0,10580398.61,,16.65,29.95,29.2,0.3763,52.49,0.4205
2006-08-08,502907.0,6497336.14,3.31,20.82,2.64,10.55,1.0,1667863.26,373811.0,129096.0,4829472.89,,,22453.0,,,,,0.0,,209.0,,,,22453.0,,,,7.61,,,,32.57,32.57,773797.0,9997115.2,,16.31,31.82,28.01,0.3454,50.08,0.4382
2006-08-09,490756.0,6239174.78,3.23,19.76,2.58,9.82,1.0,2017755.6,354778.0,158711.0,4510432.78,,,358.0,,,29615.0,,0.58,,19391.0,,,,358.0,0.56,,,6.92,,,,30.53,30.53,807152.0,10261642.05,,15.67,30.63,29.09,0.3303,47.87,0.4224
2006-08-10,492357.0,6039599.54,3.24,17.75,2.59,9.76,1.0,1946861.49,360185.0,158711.0,4418284.21,,,5407.0,,,,,,,,,,,5407.0,,,,6.94,,,,32.63,32.63,743499.0,9120285.11,,14.29,32.69,28.81,0.3314,48.15,0.4461
2006-08-11,498532.0,6183865.74,3.28,17.02,2.62,9.7,1.0,1996621.61,363657.0,160964.0,4510856.0,,,4033.0,0.06,,,,0.02,4236.0,561.0,,,0.06,4033.0,,,1983.0,6.86,0.05,,,32.49,32.49,755605.0,9372637.82,,14.21,32.57,28.27,0.3287,48.1,0.4454
2006-08-14,459606.0,5650486.43,3.03,15.28,2.42,9.04,1.0,1733039.1,344738.0,140964.0,4238276.67,,,,,,,,0.3,,18919.0,,,,,,,20000.0,6.57,0.36,,,30.45,30.45,787512.0,9681827.19,,14.86,30.65,26.96,0.3578,51.63,0.4059
2006-08-15,464213.0,5662464.1,3.06,15.02,2.44,9.07,1.0,1743873.0,347277.0,142964.0,4236080.3,,,2539.0,0.03,,,,,2000.0,,,,0.03,2539.0,,,,6.57,,,,30.71,30.71,783581.0,9558110.78,,14.7,30.88,26.73,0.3559,51.56,0.4105
2006-08-16,284397.0,3533566.29,1.87,8.75,1.49,5.48,1.0,1776294.3,167651.0,142964.0,2083024.51,,,255.0,,,,,3.52,,179881.0,,,,255.0,,,,3.03,,,,15.84,15.84,890475.0,11063943.85,,16.65,15.39,20.31,0.2869,44.47,0.2688
2006-08-17,284502.0,3675640.08,1.87,8.29,1.5,5.53,1.0,1847031.69,145476.0,142964.0,1879485.62,,,,,,,,0.42,,22175.0,,,,,,,,2.65,,,,13.68,13.68,917748.0,11856898.49,,17.36,13.23,20.11,0.2885,44.84,0.2676
2006-08-18,265089.0,3424832.7,1.75,7.62,1.39,5.3,1.0,1534352.54,150310.0,118762.0,1941938.76,,,4834.0,,,,,,,,,,,4834.0,,,24202.0,2.85,0.43,,,14.03,14.03,921037.0,11899390.92,,17.75,13.82,21.04,0.3218,48.8,0.2474
2006-08-21,265053.0,3411617.29,1.75,7.73,1.39,5.3,1.0,1528639.53,146291.0,118762.0,1882977.77,,,,,,,,0.08,,4020.0,,,,,,,,2.77,,,,13.66,13.66,925018.0,11906325.93,,17.83,13.43,21.04,0.3218,48.79,0.2474
2006-08-22,241259.0,3097064.15,1.59,7.13,1.27,4.85,1.0,1219523.81,146259.0,95000.0,1877540.34,,,,,,,,0.0,,31.0,,,,,,,23762.0,2.76,0.45,,,13.71,13.71,920657.0,11818559.26,,17.79,13.42,23.08,0.3797,53.34,0.2261
2006-08-23,241059.0,3106092.81,1.59,7.04,1.27,4.89,1.0,1224093.76,146059.0,95000.0,1881999.05,,,,,,,,0.0,,200.0,,,,,,,,2.75,,,,13.13,13.13,966704.0,12456171.91,,18.75,12.79,22.86,0.3755,52.67,0.2166
2006-08-24,240725.0,3060431.97,1.59,6.96,1.27,4.89,1.0,1207772.51,145725.0,95000.0,1852659.46,,,,,,,,0.01,,334.0,,,,,,,,2.75,,,,13.08,13.08,968051.0,12307214.56,,18.76,12.79,22.82,0.3762,52.79,0.2161
2006-08-25,241872.0,3091635.93,1.59,6.92,1.27,4.9,1.0,1214301.01,146872.0,95000.0,1877334.92,,,1147.0,,,,,,,,,,,1147.0,,,,2.75,,,,13.24,13.24,962228.0,12299309.79,,18.61,12.89,22.81,0.3716,52.35,0.2181
2006-08-28,242021.0,3096866.85,1.59,6.9,1.27,4.9,1.0,1230603.46,146926.0,96172.0,1880044.54,,,54.0,,,1172.0,,,,,,,,54.0,0.02,,,2.76,,,,13.18,13.18,968182.0,12388721.4,,18.73,12.82,22.81,0.3714,52.33,0.217
2006-08-29,242021.0,3108509.21,1.59,7.25,1.27,4.9,1.0,1235229.78,147105.0,96172.0,1889411.44,,,179.0,,,,,,,,,,,179.0,,,,2.76,,,,12.9,12.9,993104.0,12755392.83,,19.25,12.55,22.79,0.3716,52.36,0.2123
2006-08-30,237654.0,3158576.53,1.57,7.32,1.25,4.82,1.0,1280766.94,142547.0,96366.0,1894542.52,,,,0.0,,,,0.09,194.0,4558.0,,,0.0,,,,,2.68,,,,12.79,12.79,972156.0,12920586.75,,19.33,12.18,23.2,0.3863,53.49,0.2132
2006-08-31,237792.0,3147337.59,1.57,7.01,1.25,4.91,1.0,1275469.04,142705.0,96366.0,1888796.97,,,158.0,,,,,,,,,,,158.0,,,,2.77,,,,12.81,12.81,971472.0,12858087.48,,19.59,12.4,22.76,0.3916,54.31,0.2134
2006-09-01,234484.0,3147061.74,1.54,6.66,1.23,4.87,1.0,1293349.45,139383.0,96366.0,1870690.14,,,,,,,,0.04,,3322.0,,,,,,,,2.73,,,,12.58,12.58,968728.0,13001513.22,,19.64,12.22,22.95,0.3893,53.96,0.2116
2006-09-04,184573.0,2536810.18,1.22,5.01,0.97,3.85,0.0,637264.07,139487.0,46366.0,1917138.71,,,104.0,,,,,,,,,,,104.0,,,50000.0,2.74,1.03,,,12.67,12.67,961241.0,13211498.75,,19.56,12.27,27.21,0.5519,69.1,0.1677
2006-09-05,184680.0,2496399.18,1.22,4.66,0.97,3.91,0.0,626749.21,139764.0,46366.0,1889250.24,,,276.0,,,,,,,,,,,276.0,,,,2.81,,,,12.66,12.66,964514.0,13037751.57,,19.81,12.41,26.72,0.5567,69.64,0.1672
2006-09-06,189019.0,2460227.35,1.24,4.65,0.99,4.0,0.0,707250.77,136110.0,54338.0,1771576.11,,,,0.16,,,,0.08,7972.0,3654.0,,,0.16,,,,,2.69,,,,12.44,12.44,958016.0,12469313.47,,19.54,12.09,27.07,0.5041,65.49,0.1728
2006-09-07,196841.0,2522808.03,1.3,4.62,1.03,4.06,1.0,760504.08,138917.0,59338.0,1780426.45,,,2807.0,0.09,,,,,5000.0,,,,0.09,2807.0,,,,2.65,,,,12.82,12.82,944932.0,12110698.67,,18.84,12.31,27.13,0.475,63.12,0.1816
2006-09-08,212136.0,2734872.07,1.4,4.85,1.12,4.33,1.0,826226.95,149452.0,64088.0,1926745.58,,,10535.0,0.09,,,,,4750.0,,,,0.09,10535.0,,,,2.84,,,,13.83,13.83,931020.0,12002774.59,,18.43,13.33,26.66,0.454,61.51,0.1963
2006-09-11,146323.0,1878361.92,0.96,3.34,0.77,3.11,0.0,822703.6,83593.0,64088.0,1073091.09,,,,,,,,1.22,,65860.0,,,,,,,,1.61,,,,7.88,7.88,977034.0,12542276.04,,19.72,7.57,38.46,0.355,44.46,0.138
