,CS9 FP Equity_DX_SI_QTY,CS9 FP Equity_DX_SHORT_INTEREST_VALUE,CS9 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CS9 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CS9 FP Equity_DX_SI_MV,CS9 FP Equity_DX_DSS,CS9 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CS9 FP Equity_DX_SUPPLY_SI_QTY,CS9 FP Equity_DX_BROKER_SI_QTY,CS9 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CS9 FP Equity_DX_BROKER_SI_MV_NEW_x,CS9 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CS9 FP Equity_DX_BROKER_SI_MV_INC_x,CS9 FP Equity_DX_BROKER_SI_QTY_ADD,CS9 FP Equity_DX_BROKER_SI_QTY_NEW,CS9 FP Equity_DX_SUPPLY_SI_MV_DEC,CS9 FP Equity_DX_BROKER_SI_QTY_INC,CS9 FP Equity_DX_SUPPLY_SI_QTY_DEC,CS9 FP Equity_DX_BROKER_SI_MV_NEW_y,CS9 FP Equity_DX_BROKER_SI_MV_INC_y,CS9 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CS9 FP Equity_DX_BROKER_SI_MV_ADD,CS9 FP Equity_DX_SUPPLY_SI_QTY_ADD,CS9 FP Equity_DX_BROKER_SI_QTY_DEC,CS9 FP Equity_DX_SUPPLY_SI_MV,CS9 FP Equity_DX_BROKER_SI_MV_DEC,CS9 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CS9 FP Equity_DX_UTILIZATION_QUANTITY,CS9 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CS9 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CS9 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CS9 FP Equity_DX_ACTIVE_UTILIZATION_MV,CS9 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CS9 FP Equity_DX_BROKER_SI_CON_RATIO,CS9 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CS9 FP Equity_DX_DEMAND_SUPPLY_RATIO,CS9 FP Equity_PX_LAST
2010-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.7
2010-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.17
2010-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.48
2010-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.13
2010-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.94
2010-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.19
2010-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.04
2010-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.42
2010-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.71
2010-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.65
2010-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.55
2010-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.66
2010-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.85
2010-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.71
2010-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.52
2010-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.27
2010-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.93
2010-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.36
2010-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.48
2010-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.46
2010-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.75
2010-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.62
2010-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.01
2010-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0
2010-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.72
2010-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.83
2010-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.25
2010-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.64
2010-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.81
2010-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.71
2010-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.62
2010-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.62
2010-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.53
2010-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.12
2010-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.31
2010-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.69
2010-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.55
2010-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.07
2010-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0
2010-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.95
2010-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.04
2010-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.13
2010-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.91
2010-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.23
2010-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.91
2010-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.23
2010-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.4
2010-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.78
2010-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.39
2010-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.63
2010-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.83
2010-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.61
2010-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.76
2010-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.82
2010-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.01
2010-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.54
2010-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.89
2010-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.16
2010-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.59
2010-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.64
2010-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.79
2010-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.78
2010-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.06
2010-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.82
2010-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.63
2010-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.6
2010-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.89
2010-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.54
2010-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.4
2010-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.63
2010-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.52
2010-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.95
2010-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.15
2010-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.17
2010-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.78
2010-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.78
2010-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.76
2010-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.25
2010-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.35
2010-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.18
2010-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.5
2010-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.16
2010-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.03
2010-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.17
2010-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.33
2010-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.63
2010-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.88
2010-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.36
2010-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.18
2010-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.76
2010-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.99
2010-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.33
2010-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.81
2010-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.41
2010-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.8
2010-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.81
2010-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.57
2010-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.37
2010-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.05
2010-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.16
2010-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.91
2010-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.36
2010-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.7
2010-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.68
2010-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.33
2010-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.23
2010-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.44
2010-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.47
2010-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.79
2010-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.32
2010-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.17
2010-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.71
2010-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.4
2010-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.92
2010-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.32
2010-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0
2010-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.28
2010-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.31
2010-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.48
2010-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.19
2010-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.8
2010-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.56
2010-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.41
2010-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.92
2010-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.79
2010-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.06
2010-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.97
2010-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.33
2010-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.87
2010-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.96
2010-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.15
2010-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.93
2010-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.87
2010-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.88
2010-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.92
2010-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.75
2010-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.31
2010-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.4
2010-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.89
2010-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.79
2010-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.85
2010-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.01
2010-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.47
2010-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.84
2010-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.99
2010-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.95
2010-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.83
2010-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.74
2010-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.51
2010-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.85
2010-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.44
2010-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.96
2010-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.47
2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.63
2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.59
2010-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.13
2010-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.61
2010-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.25
2010-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.58
2010-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.11
2010-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.88
2010-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.1
2010-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.89
2010-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.45
2010-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.43
2010-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.39
2010-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.73
2010-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.26
2010-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.2
2010-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.94
2010-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.04
2010-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.29
2010-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.66
2010-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.08
2010-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.91
2010-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.62
2010-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.9
2010-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.73
2010-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.75
2010-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.3
2010-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.47
2010-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.66
2010-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.17
2010-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.69
2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.69
2010-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.96
2010-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.96
2010-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.69
2010-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.01
2010-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.87
2010-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.48
2010-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.37
2010-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.33
2010-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.11
2010-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.96
2010-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.28
2010-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.2
2010-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.22
2010-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.52
2010-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.15
2010-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.39
2010-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.18
2010-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.08
2010-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.69
2010-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.67
2010-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.42
2010-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.78
2010-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.01
2010-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.37
2010-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.63
2010-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.88
2010-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.31
2010-12-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,32000.0,4078080.0,4.07,0.0,0.0,0.0,0.0,0.0,127.44
2010-12-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,32000.0,4057600.0,4.08,0.0,,0.0,,0.0,126.8
2010-12-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,32000.0,4073280.0,4.06,0.0,,0.0,,0.0,127.29
2010-12-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,32000.0,4054400.0,4.07,0.0,,0.0,,0.0,126.7
2010-12-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,32000.0,4077760.0,4.05,0.0,,0.0,,0.0,127.43
2010-12-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,32000.0,4120640.0,4.08,0.0,,0.0,,0.0,128.77
2010-12-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,32000.0,4122240.0,4.12,0.0,,0.0,,0.0,128.82
