,ALKLH FP Equity_DX_SI_QTY,ALKLH FP Equity_DX_SHORT_INTEREST_VALUE,ALKLH FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALKLH FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALKLH FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALKLH FP Equity_DX_SI_MV,ALKLH FP Equity_DX_DSS,ALKLH FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALKLH FP Equity_DX_SUPPLY_SI_QTY,ALKLH FP Equity_DX_BROKER_SI_QTY,ALKLH FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALKLH FP Equity_DX_BROKER_SI_MV_NEW_x,ALKLH FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALKLH FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALKLH FP Equity_DX_BROKER_SI_MV_INC_x,ALKLH FP Equity_DX_SUPPLY_SI_MV_NEW,ALKLH FP Equity_DX_BROKER_SI_QTY_ADD,ALKLH FP Equity_DX_BROKER_SI_QTY_NEW,ALKLH FP Equity_DX_SUPPLY_SI_MV_DEC,ALKLH FP Equity_DX_BROKER_SI_QTY_INC,ALKLH FP Equity_DX_SUPPLY_SI_QTY_DEC,ALKLH FP Equity_DX_BROKER_SI_MV_NEW_y,ALKLH FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALKLH FP Equity_DX_BROKER_SI_MV_INC_y,ALKLH FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALKLH FP Equity_DX_BROKER_SI_MV_ADD,ALKLH FP Equity_DX_SUPPLY_SI_QTY_ADD,ALKLH FP Equity_DX_BROKER_SI_QTY_DEC,ALKLH FP Equity_DX_SUPPLY_SI_MV,ALKLH FP Equity_DX_BROKER_SI_MV_DEC,ALKLH FP Equity_DX_SUPPLY_SI_MV_RMV,ALKLH FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALKLH FP Equity_DX_UTILIZATION_QUANTITY,ALKLH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALKLH FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALKLH FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALKLH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALKLH FP Equity_DX_ACTIVE_UTILIZATION_MV,ALKLH FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALKLH FP Equity_DX_BROKER_SI_CON_RATIO,ALKLH FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALKLH FP Equity_DX_DEMAND_SUPPLY_RATIO
2016-06-01,61400.0,176218.0,0.54,0.31,0.54,0.18,0.0,114800.0,21400.0,40000.0,61418.0,,,1000.0,,,,,,,,,,,1000.0,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.71,0.5244,64.05,2.8692
2016-06-02,61400.0,178674.0,0.53,0.31,0.53,0.18,0.0,116400.0,21400.0,40000.0,62274.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.7,0.5244,64.06,2.8692
2016-06-03,61400.0,176218.0,0.53,0.31,0.53,0.18,0.0,114800.0,21400.0,40000.0,61418.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.69,0.5245,64.07,2.8692
2016-06-06,61400.0,187884.0,0.53,0.31,0.53,0.18,0.0,122400.0,21400.0,40000.0,65484.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.7,0.5244,64.06,2.8692
2016-06-07,61400.0,189112.0,0.53,0.3,0.53,0.19,0.0,123200.0,21400.0,40000.0,65912.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.7,0.5244,64.06,2.8692
2016-06-08,61400.0,182358.0,0.53,0.29,0.53,0.19,0.0,118800.0,21400.0,40000.0,63558.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.77,0.5241,64.0,2.8692
2016-06-09,61400.0,178674.0,0.53,0.29,0.53,0.19,0.0,116400.0,21400.0,40000.0,62274.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.32,0.5262,64.39,2.8692
2016-06-10,61400.0,171306.0,0.53,0.29,0.53,0.18,0.0,111600.0,21400.0,40000.0,59706.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.1,0.5272,64.58,2.8692
2016-06-13,61400.0,170692.0,0.53,0.29,0.53,0.18,0.0,111200.0,21400.0,40000.0,59492.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,32.58,0.5297,65.04,2.8692
2016-06-14,61400.0,164552.0,0.53,0.3,0.53,0.17,0.0,107200.0,21400.0,40000.0,57352.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.66,0.5246,64.1,2.8692
2016-06-15,61400.0,162096.0,0.53,0.3,0.53,0.17,0.0,105600.0,21400.0,40000.0,56496.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.7,0.5244,64.06,2.8692
2016-06-16,61400.0,154114.0,0.53,0.31,0.53,0.16,0.0,100400.0,21400.0,40000.0,53714.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.72,0.5243,64.04,2.8692
2016-06-17,61400.0,162096.0,0.53,0.31,0.53,0.16,0.0,105600.0,21400.0,40000.0,56496.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.69,0.5245,64.07,2.8692
2016-06-20,61400.0,163938.0,0.53,0.31,0.53,0.16,0.0,106800.0,21400.0,40000.0,57138.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.72,0.5243,64.04,2.8692
2016-06-21,61400.0,158412.0,0.53,0.31,0.53,0.17,0.0,103200.0,21400.0,40000.0,55212.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.71,0.5244,64.05,2.8692
2016-06-22,61400.0,163324.0,0.53,0.32,0.53,0.16,0.0,106400.0,21400.0,40000.0,56924.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.66,0.5246,64.09,2.8692
2016-06-23,61400.0,163324.0,0.53,0.32,0.53,0.17,0.0,106400.0,21400.0,40000.0,56924.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.71,0.5244,64.05,2.8692
2016-06-24,61400.0,165780.0,0.53,0.31,0.53,0.17,0.0,108000.0,21400.0,40000.0,57780.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.71,0.5244,64.05,2.8692
2016-06-27,61400.0,161482.0,0.53,0.27,0.53,0.17,0.0,105200.0,21400.0,40000.0,56282.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.69,0.5245,64.06,2.8692
2016-06-28,61400.0,162096.0,0.52,0.27,0.52,0.16,0.0,105600.0,21400.0,40000.0,56496.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.72,0.5243,64.04,2.8692
2016-06-29,61400.0,156570.0,0.52,0.27,0.52,0.16,0.0,102000.0,21400.0,40000.0,54570.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.72,0.5243,64.04,2.8692
2016-06-30,61400.0,147360.0,0.52,0.27,0.52,0.16,0.0,96000.0,21400.0,40000.0,51360.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.67,0.5246,64.08,2.8692
2016-07-01,61400.0,146132.0,0.52,0.26,0.52,0.15,0.0,95200.0,21400.0,40000.0,50932.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,34.89,0.518,62.91,2.8692
2016-07-04,61400.0,142448.0,0.52,0.26,0.52,0.15,0.0,92800.0,21400.0,40000.0,49648.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,35.09,0.5169,62.72,2.8692
2016-07-05,67400.0,149628.0,0.57,0.29,0.57,0.16,0.0,102120.0,21400.0,46000.0,47508.0,,,,,,6000.0,,,,,,,,,0.01,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,30.72,0.4437,58.41,3.1495
2016-07-06,67400.0,146932.0,0.57,0.29,0.57,0.15,0.0,100280.0,21400.0,46000.0,46652.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,30.79,0.4441,58.42,3.1495
2016-07-07,67400.0,151650.0,0.57,0.37,0.57,0.15,0.0,103500.0,21400.0,46000.0,48150.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,30.69,0.4439,58.43,3.1495
2016-07-08,67400.0,146932.0,0.57,0.36,0.57,0.15,0.0,100280.0,21400.0,46000.0,46652.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,31.03,0.4423,58.12,3.1495
2016-07-11,67400.0,158390.0,0.57,0.36,0.57,0.15,0.0,108100.0,21400.0,46000.0,50290.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,30.65,0.4448,58.55,3.1495
2016-07-12,67400.0,157716.0,0.57,0.36,0.57,0.16,0.0,107640.0,21400.0,46000.0,50076.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,30.92,0.4489,58.84,3.1495
2016-07-13,61975.0,146880.75,0.52,0.32,0.52,0.15,0.0,96162.75,21400.0,40575.0,50718.0,,,,,,,,,,,,,,,,,5425.0,0.05,0.01,,100.0,100.0,0.0,0.0,,0.0,100.0,33.4,0.5157,63.53,2.896
2016-07-14,61571.0,145307.56,0.52,0.32,0.52,0.15,0.0,94803.56,21400.0,40171.0,50504.0,,,,,,,,,,,,,,,,,404.0,0.05,0.0,,100.0,100.0,0.0,0.0,,0.0,100.0,33.58,0.5217,63.91,2.8772
2016-07-15,61571.0,142229.01,0.52,0.32,0.52,0.15,0.0,92795.01,21400.0,40171.0,49434.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.58,0.5217,63.91,2.8772
2016-07-18,61571.0,137919.04,0.52,0.33,0.52,0.14,0.0,89983.04,21400.0,40171.0,47936.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.6,0.5216,63.89,2.8772
2016-07-19,61571.0,142229.01,0.52,0.34,0.52,0.14,0.0,92795.01,21400.0,40171.0,49434.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.64,0.5214,63.85,2.8772
2016-07-20,61571.0,139766.17,0.52,0.35,0.52,0.14,0.0,91188.17,21400.0,40171.0,48578.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.6,0.5216,63.89,2.8772
2016-07-21,61571.0,139150.46,0.52,0.36,0.52,0.14,0.0,90786.46,21400.0,40171.0,48364.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,33.62,0.5215,63.87,2.8772
2016-07-22,41571.0,102264.66,0.35,0.24,0.35,0.09,0.0,49620.66,21400.0,20171.0,52644.0,,,,,,,,,,,,,,,,,20000.0,0.05,0.05,,100.0,100.0,0.0,0.0,,0.0,100.0,3.37,0.927,96.22,1.9426
2016-07-25,41571.0,129285.81,0.35,0.23,0.35,0.1,0.0,62731.81,21400.0,20171.0,66554.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,3.37,0.9276,96.25,1.9426
2016-07-26,41400.0,146142.0,0.35,0.2,0.35,0.13,0.0,70600.0,21400.0,20000.0,75542.0,,,,,,,,,,,,,,,,,171.0,0.07,0.0,,100.0,100.0,0.0,0.0,,0.0,100.0,3.38,0.9347,96.62,1.9346
2016-07-27,47400.0,184386.0,0.4,0.18,0.4,0.17,0.0,101140.0,21400.0,26000.0,83246.0,,,,,,6000.0,,,,,,,,,0.02,,,0.08,,,100.0,100.0,0.0,0.0,,0.0,100.0,13.18,0.7219,83.88,2.215
2016-07-28,47400.0,191970.0,0.4,0.13,0.4,0.19,0.0,105300.0,21400.0,26000.0,86670.0,,,,,,,,,,,,,,,,,,0.08,,,100.0,100.0,0.0,0.0,,0.0,100.0,13.18,0.7218,83.88,2.215
2016-07-29,47400.0,164952.0,0.4,0.12,0.4,0.19,0.0,90480.0,21400.0,26000.0,74472.0,,,,,,,,,,,,,,,,,,0.09,,,100.0,100.0,0.0,0.0,,0.0,100.0,13.16,0.7221,83.9,2.215
2016-08-01,47400.0,153102.0,0.4,0.1,0.4,0.17,0.0,83980.0,21400.0,26000.0,69122.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,13.21,0.7214,83.85,2.215
2016-08-02,47400.0,149784.0,0.38,0.09,0.38,0.15,0.0,82160.0,21400.0,26000.0,67624.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,13.17,0.722,83.89,2.215
2016-08-03,47400.0,168270.0,0.38,0.09,0.38,0.15,0.0,92300.0,21400.0,26000.0,75970.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,13.24,0.7211,83.83,2.215
2016-08-04,52400.0,173968.0,0.42,0.09,0.42,0.19,0.0,102920.0,21400.0,31000.0,71048.0,,,,0.02,,,,,5000.0,,,,0.02,,,,,0.08,,,100.0,100.0,0.0,0.0,,0.0,100.0,21.82,0.6188,75.53,2.4486
2016-08-05,52400.0,175540.0,0.42,0.09,0.42,0.18,0.0,103850.0,21400.0,31000.0,71690.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,21.84,0.6186,75.51,2.4486
2016-08-08,52400.0,168204.0,0.42,0.09,0.42,0.18,0.0,99510.0,21400.0,31000.0,68694.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,21.82,0.6189,75.53,2.4486
2016-08-09,52400.0,164012.0,0.42,0.09,0.42,0.17,0.0,97030.0,21400.0,31000.0,66982.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,21.79,0.6192,75.56,2.4486
2016-08-10,58800.0,192276.0,0.47,0.1,0.47,0.19,0.0,122298.0,21400.0,37400.0,69978.0,,,,0.02,,,,,6400.0,,,,0.02,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,30.56,0.5441,67.09,2.7477
2016-08-11,55300.0,177513.0,0.44,0.09,0.44,0.18,0.0,108819.0,21400.0,33900.0,68694.0,,,,,,,,,,,,,,,,,3500.0,0.07,0.01,,100.0,100.0,0.0,0.0,,0.0,100.0,26.11,0.5785,71.39,2.5841
2016-08-12,41400.0,132480.0,0.33,0.07,0.33,0.13,0.0,64000.0,21400.0,20000.0,68480.0,,,,,,,,,,,,,,,,,13900.0,0.07,0.05,,100.0,100.0,0.0,0.0,,0.0,100.0,3.38,0.9347,96.62,1.9346
2016-08-15,41400.0,133722.0,0.33,0.07,0.33,0.13,0.0,64600.0,21400.0,20000.0,69122.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,3.38,0.9347,96.62,1.9346
2016-08-16,41400.0,130824.0,0.33,0.07,0.33,0.13,0.0,63200.0,21400.0,20000.0,67624.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,3.38,0.9347,96.62,1.9346
2016-08-17,41400.0,131238.0,0.33,0.07,0.33,0.13,0.0,63400.0,21400.0,20000.0,67838.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,3.38,0.9347,96.62,1.9346
2016-08-18,41400.0,129582.0,0.33,0.07,0.33,0.13,0.0,62600.0,21400.0,20000.0,66982.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,3.38,0.9347,96.62,1.9346
2016-08-19,46560.0,143404.8,0.37,0.08,0.37,0.15,0.0,77492.8,21400.0,25160.0,65912.0,,,,,,5160.0,,,,,,,,,0.02,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,10.92,0.7535,86.06,2.1757
2016-08-22,56529.0,171848.16,0.45,0.1,0.45,0.17,0.0,106792.16,21400.0,35129.0,65056.0,,,,0.03,,,,,9969.0,,,,0.03,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,26.52,0.575,71.0,2.6415
2016-08-23,56529.0,170717.58,0.45,0.1,0.45,0.17,0.0,106089.58,21400.0,35129.0,64628.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,26.67,0.5737,70.85,2.6415
2016-08-24,56529.0,178631.64,0.45,0.1,0.45,0.17,0.0,111007.64,21400.0,35129.0,67624.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,27.63,0.5659,69.92,2.6415
2016-08-25,56529.0,170152.29,0.45,0.1,0.45,0.18,0.0,105738.29,21400.0,35129.0,64414.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,25.81,0.581,71.68,2.6415
2016-08-26,56529.0,171282.87,0.49,0.1,0.45,0.17,0.0,106440.87,21400.0,35129.0,64842.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,27.03,0.5707,70.5,2.6415
2016-08-29,56529.0,168456.42,0.49,0.1,0.45,0.17,0.0,104684.42,21400.0,35129.0,63772.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,26.59,0.5744,70.92,2.6415
2016-08-30,55025.0,173328.75,0.47,0.09,0.44,0.17,0.0,105918.75,21400.0,33625.0,67410.0,,,,,,,,,,,,,,,,,1504.0,0.06,0.0,,100.0,100.0,0.0,0.0,,0.0,100.0,25.82,0.581,71.67,2.5713
2016-08-31,55025.0,168926.75,0.47,0.09,0.44,0.17,0.0,103228.75,21400.0,33625.0,65698.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,24.24,0.5952,73.19,2.5713
2016-09-01,55025.0,170577.5,0.47,0.09,0.44,0.17,0.0,104237.5,21400.0,33625.0,66340.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,24.93,0.5889,72.53,2.5713
2016-09-02,55025.0,169477.0,0.47,0.09,0.44,0.17,0.0,103565.0,21400.0,33625.0,65912.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,24.65,0.5914,72.8,2.5713
2016-09-05,55025.0,167276.0,0.47,0.09,0.44,0.17,0.0,102220.0,21400.0,33625.0,65056.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,24.51,0.5927,72.94,2.5713
2016-09-06,55025.0,164524.75,0.47,0.1,0.44,0.17,0.0,100538.75,21400.0,33625.0,63986.0,,,,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,,0.0,100.0,24.43,0.5934,73.01,2.5713
2016-09-07,55025.0,164524.75,0.47,0.11,0.44,0.16,0.0,100538.75,21400.0,33625.0,63986.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,24.77,0.5904,72.69,2.5713
2016-09-08,55025.0,162874.0,0.47,0.13,0.44,0.16,0.0,99530.0,21400.0,33625.0,63344.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,24.65,0.5915,72.81,2.5713
2016-09-09,55025.0,162874.0,0.47,0.15,0.44,0.16,0.0,99530.0,21400.0,33625.0,63344.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,24.73,0.5907,72.73,2.5713
2016-09-12,55025.0,159572.5,0.47,0.19,0.44,0.16,0.0,97512.5,21400.0,33625.0,62060.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,24.35,0.5942,73.09,2.5713
