,RS2K FP Equity_DX_SI_QTY,RS2K FP Equity_DX_SHORT_INTEREST_VALUE,RS2K FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RS2K FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RS2K FP Equity_DX_SI_MV,RS2K FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RS2K FP Equity_DX_SUPPLY_SI_QTY,RS2K FP Equity_DX_BROKER_SI_QTY,RS2K FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RS2K FP Equity_DX_SUPPLY_SI_QTY_INC_x,RS2K FP Equity_DX_BROKER_SI_MV_INC_x,RS2K FP Equity_DX_BROKER_SI_QTY_ADD,RS2K FP Equity_DX_SUPPLY_SI_MV_DEC,RS2K FP Equity_DX_BROKER_SI_QTY_INC,RS2K FP Equity_DX_SUPPLY_SI_QTY_DEC,RS2K FP Equity_DX_BROKER_SI_MV_INC_y,RS2K FP Equity_DX_SUPPLY_SI_QTY_INC_y,RS2K FP Equity_DX_BROKER_SI_MV_ADD,RS2K FP Equity_DX_SUPPLY_SI_QTY_ADD,RS2K FP Equity_DX_BROKER_SI_QTY_DEC,RS2K FP Equity_DX_SUPPLY_SI_MV,RS2K FP Equity_DX_BROKER_SI_MV_DEC,RS2K FP Equity_DX_BROKER_SI_MV_RMV,RS2K FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RS2K FP Equity_DX_UTILIZATION_QUANTITY,RS2K FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RS2K FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RS2K FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RS2K FP Equity_DX_ACTIVE_UTILIZATION_MV,RS2K FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RS2K FP Equity_DX_BROKER_SI_CON_RATIO,RS2K FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RS2K FP Equity_DX_DEMAND_SUPPLY_RATIO,RS2K FP Equity_PX_LAST
2014-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.7
2014-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.42
2014-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.5
2014-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.7
2014-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.4
2014-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.25
2014-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.4
2014-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.48
2014-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.13
2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.45
2014-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.7
2014-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.34
2014-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.04
2014-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.02
2014-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.33
2014-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.44
2014-03-17,11200.0,1284528.0,9.26,2.46,1.27,1284528.0,0.0,11200.0,0.0,,,11200.0,,,,,,1.27,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,114.69
2014-03-18,11200.0,1291920.0,9.21,2.46,1.29,1291920.0,0.0,11200.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,,115.35
2014-03-19,11200.0,1292256.0,9.51,2.46,1.28,1292256.0,0.0,11200.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,,115.38
2014-03-20,11200.0,1301552.0,9.39,2.46,1.29,1301552.0,0.0,11200.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,,116.21
2014-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.14
2014-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.46
2014-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.89
2014-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.55
2014-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.12
2014-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.15
2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0
2014-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.27
2014-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.71
2014-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.4
2014-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.37
2014-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.02
2014-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.02
2014-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.01
2014-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.6
2014-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.33
2014-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.89
2014-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.37
2014-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.99
2014-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.87
2014-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.95
2014-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.5
2014-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.19
2014-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.03
2014-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.77
2014-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.73
2014-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.62
2014-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.31
2014-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.49
2014-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.34
2014-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.73
2014-05-08,2900.0,312765.0,0.5,0.49,0.31,312765.0,0.0,2900.0,0.0,,,2900.0,,,,,,0.31,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,,107.85
2014-05-09,2900.0,309169.0,0.5,0.49,0.31,309169.0,0.0,2900.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,,106.61
2014-05-12,2900.0,319116.0,0.5,0.49,0.31,319116.0,0.0,2900.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,,110.04
2014-05-13,2900.0,319174.0,0.54,0.49,0.32,319174.0,0.0,2900.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,,110.06
2014-05-14,2900.0,314824.0,0.59,0.49,0.32,314824.0,0.0,2900.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,,108.56
2014-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.81
2014-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.86
2014-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.13
2014-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.66
2014-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.66
2014-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.46
2014-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.04
2014-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.23
2014-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.2
2014-05-28,4000.0,448200.0,1.17,0.67,0.45,448200.0,0.0,4000.0,0.0,,,4000.0,,,,,,0.45,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,,112.05
2014-05-29,4000.0,448920.0,1.33,0.67,0.45,448920.0,0.0,4000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,,112.23
2014-05-30,4000.0,446160.0,1.47,0.67,0.45,446160.0,0.0,4000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,,111.54
2014-06-02,4000.0,444680.0,1.84,0.67,0.45,444680.0,0.0,4000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,,111.17
2014-06-03,4000.0,440720.0,1.85,0.7,0.44,440720.0,0.0,4000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,,110.18
2014-06-04,4000.0,444520.0,1.97,0.67,0.44,444520.0,0.0,4000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,,111.13
2014-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.21
2014-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.47
2014-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.96
2014-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.74
2014-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.55
2014-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.09
2014-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.94
2014-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.29
2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.47
2014-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.82
2014-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.1
2014-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.04
2014-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.71
2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.68
2014-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.3
2014-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.91
2014-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.52
2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.25
2014-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.52
2014-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.3
2014-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.98
2014-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.79
2014-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.33
2014-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.93
2014-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.36
2014-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.25
2014-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.12
2014-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.02
2014-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.92
2014-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.86
2014-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.4
2014-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.75
2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.35
2014-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.43
2014-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.68
2014-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.73
2014-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.18
2014-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.42
2014-07-29,15000.0,1710150.0,3.59,2.33,1.7,1710150.0,0.0,15000.0,0.0,,,15000.0,,,,,,1.7,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,114.01
2014-07-30,25000.0,2872500.0,5.36,3.89,2.85,2872500.0,0.0,25000.0,0.0,,1.15,,,10000.0,,1.15,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,114.9
2014-07-31,25000.0,2817500.0,4.89,3.66,2.87,2817500.0,0.0,25000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,112.7
2014-08-01,25000.0,2773500.0,4.63,4.54,2.82,2773500.0,0.0,25000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,110.94
2014-08-04,25000.0,2783750.0,4.53,4.54,2.77,2783750.0,0.0,25000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,111.35
2014-08-05,25000.0,2828500.0,4.68,4.54,2.79,2828500.0,0.0,25000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,113.14
2014-08-06,13500.0,1531170.0,2.53,2.45,1.53,1531170.0,0.0,13500.0,0.0,,,,,,,,,,,11500.0,0.0,1.26,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,113.42
2014-08-07,13500.0,1522125.0,2.64,2.45,1.53,1522125.0,0.0,13500.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,112.75
2014-08-08,10000.0,1129500.0,1.96,1.81,1.13,1129500.0,0.0,10000.0,0.0,,,,,,,,,,,3500.0,0.0,0.4,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,112.95
2014-08-11,10000.0,1151000.0,1.84,1.81,1.13,1151000.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,115.1
2014-08-12,10000.0,1140100.0,1.9,1.81,1.15,1140100.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,114.01
2014-08-13,10000.0,1148000.0,1.9,1.81,1.14,1148000.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,114.8
2014-08-14,10000.0,1145500.0,1.99,1.81,1.15,1145500.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,114.55
2014-08-15,10000.0,1138900.0,1.99,1.81,1.15,1138900.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,113.89
2014-08-18,10000.0,1161700.0,2.03,1.81,1.15,1161700.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,116.17
2014-08-19,10000.0,1171100.0,2.08,1.81,1.16,1171100.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,117.11
2014-08-20,10000.0,1168000.0,2.12,1.81,1.17,1168000.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,116.8
2014-08-21,7600.0,888060.0,1.64,1.38,0.89,888060.0,0.0,7600.0,0.0,,,,,,,,,,,2400.0,0.0,0.28,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,116.85
2014-08-22,7600.0,893000.0,1.95,1.38,0.89,893000.0,0.0,7600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,117.5
2014-08-25,7600.0,903184.0,2.05,1.38,0.89,903184.0,0.0,7600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,118.84
2014-08-26,7600.0,906984.0,2.22,1.5,0.9,906984.0,0.0,7600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,119.34
2014-08-27,15100.0,1799316.0,4.47,2.98,1.8,1799316.0,0.0,15100.0,0.0,,0.9,,,7500.0,,0.9,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,119.16
2014-08-28,15100.0,1794182.0,4.18,2.98,1.8,1794182.0,0.0,15100.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,118.82
2014-08-29,7500.0,896775.0,2.16,1.48,0.89,896775.0,0.0,7500.0,0.0,,,,,,,,,,,7600.0,0.0,0.91,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,119.57
2014-09-01,7500.0,899700.0,2.16,1.48,0.9,899700.0,0.0,7500.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,119.96
2014-09-02,7500.0,901425.0,2.16,1.48,0.9,901425.0,0.0,7500.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,120.19
2014-09-03,7500.0,901350.0,2.17,1.48,0.9,901350.0,0.0,7500.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,120.18
2014-09-04,7500.0,913575.0,2.23,1.48,0.9,913575.0,0.0,7500.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,121.81
2014-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.42
2014-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.08
2014-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.2
2014-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.31
2014-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.08
2014-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.45
2014-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.78
2014-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.91
2014-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.78
2014-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.52
2014-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.66
2014-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.21
2014-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.68
2014-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.17
2014-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.06
2014-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.8
2014-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.09
2014-09-30,6000.0,712380.0,3.48,1.27,0.71,712380.0,0.0,6000.0,0.0,,,6000.0,,,,,,0.71,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,118.73
2014-10-01,6000.0,700080.0,3.45,1.27,0.71,700080.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,116.68
2014-10-02,6000.0,688980.0,3.41,1.27,0.7,688980.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,114.83
2014-10-03,6000.0,714060.0,4.16,1.27,0.69,714060.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,119.01
2014-10-06,6000.0,703500.0,4.3,1.27,0.72,703500.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,117.25
2014-10-07,6000.0,693180.0,4.33,1.27,0.7,693180.0,0.0,6000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,115.53
2014-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.43
2014-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.12
2014-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.89
2014-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.06
2014-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.25
2014-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.83
2014-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.44
2014-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.91
2014-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.5
2014-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.16
2014-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.45
2014-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.01
2014-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.02
2014-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.56
2014-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.9
2014-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.17
2014-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.42
2014-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.19
