,ALVIO FP Equity_DX_SI_QTY,ALVIO FP Equity_DX_SHORT_INTEREST_VALUE,ALVIO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALVIO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALVIO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALVIO FP Equity_DX_SI_MV,ALVIO FP Equity_DX_DSS,ALVIO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALVIO FP Equity_DX_SUPPLY_SI_QTY,ALVIO FP Equity_DX_BROKER_SI_QTY,ALVIO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALVIO FP Equity_DX_BROKER_SI_MV_NEW_x,ALVIO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALVIO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALVIO FP Equity_DX_BROKER_SI_MV_INC_x,ALVIO FP Equity_DX_SUPPLY_SI_MV_NEW,ALVIO FP Equity_DX_BROKER_SI_QTY_ADD,ALVIO FP Equity_DX_BROKER_SI_QTY_NEW,ALVIO FP Equity_DX_SUPPLY_SI_MV_DEC,ALVIO FP Equity_DX_BROKER_SI_QTY_INC,ALVIO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALVIO FP Equity_DX_BROKER_SI_MV_NEW_y,ALVIO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALVIO FP Equity_DX_BROKER_SI_MV_INC_y,ALVIO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALVIO FP Equity_DX_BROKER_SI_MV_ADD,ALVIO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALVIO FP Equity_DX_BROKER_SI_QTY_DEC,ALVIO FP Equity_DX_SUPPLY_SI_MV,ALVIO FP Equity_DX_BROKER_SI_MV_DEC,ALVIO FP Equity_DX_SUPPLY_SI_MV_RMV,ALVIO FP Equity_DX_BROKER_SI_MV_RMV,ALVIO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALVIO FP Equity_DX_UTILIZATION_QUANTITY,ALVIO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALVIO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALVIO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALVIO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALVIO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALVIO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALVIO FP Equity_DX_BROKER_SI_CON_RATIO,ALVIO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALVIO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALVIO FP Equity_PX_LAST
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,328500.0,4369050.0,,4.37,0.0,,0.0,,0.0,13.3
2006-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
2006-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
2006-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,328500.0,4369050.0,,4.37,0.0,,0.0,,0.0,13.3
2006-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
2006-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.28
2006-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.31
2006-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.32
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,328500.0,4375620.0,,4.38,0.0,,0.0,,0.0,13.32
2006-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
2006-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.31
2006-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.35
2006-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,323645.0,4362734.6,,4.34,0.0,,0.0,,0.0,13.48
2006-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2006-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.22
2006-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6
2006-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,311937.0,4504370.28,,4.52,0.0,,0.0,,0.0,14.44
2006-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06
2006-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1
2006-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1
2006-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9
2006-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,312054.0,4353153.3,,4.34,0.0,,0.0,,0.0,13.95
2006-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.87
2006-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.09
2006-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.98
2006-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.99
2006-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,319956.0,4463386.2,,4.47,0.0,,0.0,,0.0,13.95
2006-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
2006-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.16
2006-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.98
2006-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.69
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,327335.0,4484489.5,,4.48,0.0,,0.0,,0.0,13.7
2006-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2006-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.65
2006-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.59
2006-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.53
2006-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,329974.0,4457948.74,,4.46,0.0,,0.0,,0.0,13.51
2006-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.57
2006-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.54
2006-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2006-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52
2006-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,329966.0,4451241.34,,4.46,0.0,,0.0,,0.0,13.49
2006-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45
2006-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.01
2006-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45
2006-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.35
2006-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,343087.0,4583642.32,,4.59,0.0,,0.0,,0.0,13.36
2006-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2006-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.53
2006-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2006-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52
2006-03-29,1000.0,13500.0,0.01,0.16,0.01,0.01,0.0,0.0,1000.0,0.0,13500.0,,,,,,,,,,,,,,,,1000.0,,0.01,,,,0.4,0.29,250972.0,3388122.0,,3.14,0.43,,1.0,100.0,0.0029,13.5
2006-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2006-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
2006-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.44
2006-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2006-04-05,1998.0,26753.22,0.02,0.25,0.02,0.03,0.0,13363.22,1000.0,998.0,13390.0,,,,,,998.0,,,,,,,,,0.01,,,0.01,,,,0.4,0.29,250845.0,3358814.55,,3.13,0.43,49.94,0.5,50.06,0.0058,13.39
2006-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.38
2006-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.24
2006-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.23
2006-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
2006-04-12,2002.0,26426.4,0.02,0.3,0.02,0.03,0.0,13226.4,1000.0,1002.0,13200.0,,,,0.0,,,,,4.0,,,,0.0,,,,,0.01,,,,0.4,0.29,251000.0,3313200.0,,3.06,0.43,49.95,0.5,50.05,0.0058,13.2
2006-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98
2006-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.44
2006-04-19,1992.0,26513.52,0.02,0.27,0.02,0.03,0.0,13203.52,1000.0,992.0,13310.0,,,,,,,,,,,,,,,,,9.0,0.01,0.0,,,0.4,0.29,250816.0,3338360.96,,3.12,0.43,49.81,0.5,50.19,0.0058,13.31
2006-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.84
2006-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7
2006-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.68
2006-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.63
2006-04-26,995.0,13571.8,0.01,0.14,0.01,0.01,0.0,13571.8,0.0,995.0,0.0,,,,0.0,,,,0.01,2.0,1000.0,,,0.0,,,,,0.0,,,,0.0,0.0,19011.0,259310.04,,0.0,0.0,,1.0,100.0,0.0029,13.64
2006-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.64
2006-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.49
2006-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
2006-05-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,995.0,0.0,0.01,,,0.0,0.0,345235.0,4608887.25,,4.59,0.0,,0.0,,0.0,13.35
2006-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
2006-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25
2006-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.34
2006-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
2006-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,345283.0,4588811.07,,4.56,0.0,,0.0,,0.0,13.29
2006-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.78
2006-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2006-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2006-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.05
2006-05-17,640.0,8441.6,0.02,0.08,0.01,0.01,0.0,8441.6,0.0,640.0,0.0,,,,,,640.0,,,,,,,,,0.01,,,0.0,,,,0.0,0.0,345787.0,4560930.53,,4.46,0.0,,1.0,100.0,0.0019,13.19
2006-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.08
2006-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2006-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2006-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2006-05-24,640.0,8000.0,0.02,0.09,0.01,0.01,0.0,8000.0,0.0,640.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,345673.0,4320912.5,,4.32,0.0,,1.0,100.0,0.0019,12.5
2006-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.48
2006-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.47
2006-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2006-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
2006-05-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,640.0,0.0,0.01,,,0.0,0.0,356179.0,4373878.12,,4.44,0.0,,0.0,,0.0,12.28
2006-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
2006-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1
2006-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.27
2006-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2006-06-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,416221.0,5057085.15,,5.12,0.0,,0.0,,0.0,12.15
2006-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9
2006-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1
2006-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.99
2006-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2006-06-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,421043.0,4686208.59,,4.93,0.0,,0.0,,0.0,11.13
2006-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.88
2006-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4
2006-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7
2006-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.85
2006-06-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,422117.0,4993644.11,,4.96,0.0,,0.0,,0.0,11.83
2006-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2006-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7
2006-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.79
2006-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.09
2006-06-28,15000.0,184500.0,0.43,2.87,0.18,0.18,0.0,0.0,15000.0,0.0,184500.0,,,,,,,,,,,,,,,,15000.0,,0.18,,,,3.55,3.55,407000.0,5006100.0,,4.88,3.65,,1.0,100.0,0.0355,12.3
2006-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.36
2006-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.59
2006-07-03,15000.0,187200.0,0.43,3.06,0.18,0.19,0.0,0.0,15000.0,0.0,187200.0,,,,,,,,,,,,,,,,,,0.19,,,,3.55,3.55,407000.0,5079360.0,,5.08,3.55,,1.0,100.0,0.0355,12.48
2006-07-04,15000.0,187200.0,0.43,3.1,0.18,0.19,0.0,0.0,15000.0,0.0,187200.0,,,,,,,,,,,,,,,,,,0.19,,,,3.55,3.55,407000.0,5079360.0,,5.06,3.57,,1.0,100.0,0.0355,12.48
2006-07-05,15000.0,185250.0,0.43,3.89,0.18,0.19,0.0,0.0,15000.0,0.0,185250.0,,,,,,,,,,,,,,,,,,0.19,,,,3.56,3.56,406802.0,5024004.7,,5.07,3.56,,1.0,100.0,0.0356,12.35
2006-07-06,15000.0,181800.0,0.43,3.92,0.18,0.18,0.0,0.0,15000.0,0.0,181800.0,,,,,,,,,,,,,,,,,,0.18,,,,3.55,3.55,407000.0,4932840.0,,5.0,3.51,,1.0,100.0,0.0355,12.12
2006-07-07,15000.0,181950.0,0.43,3.97,0.18,0.18,0.0,0.0,15000.0,0.0,181950.0,,,,,,,,,,,,,,,,,,0.18,,,,3.55,3.55,407000.0,4936910.0,,4.96,3.54,,1.0,100.0,0.0355,12.13
2006-07-10,15000.0,181800.0,0.43,3.88,0.18,0.18,0.0,0.0,15000.0,0.0,181800.0,,,,,,,,,,,,,,,,,,0.18,,,,3.55,3.55,407000.0,4932840.0,,4.94,3.55,,1.0,100.0,0.0355,12.12
2006-07-11,15000.0,181950.0,0.43,3.88,0.18,0.18,0.0,0.0,15000.0,0.0,181950.0,,,,,,,,,,,,,,,,,,0.18,,,,3.55,3.55,407000.0,4936910.0,,4.93,3.56,,1.0,100.0,0.0355,12.13
2006-07-12,15000.0,180000.0,0.43,3.86,0.18,0.18,0.0,0.0,15000.0,0.0,180000.0,,,,,,,,,,,,,,,,,,0.18,,,,3.55,3.55,407000.0,4884000.0,,4.91,3.53,,1.0,100.0,0.0355,12.0
2006-07-13,15000.0,181950.0,0.43,3.89,0.18,0.18,0.0,0.0,15000.0,0.0,181950.0,,,,,,,,,,,,,,,,,,0.18,,,,3.55,3.55,407000.0,4936910.0,,4.91,3.58,,1.0,100.0,0.0355,12.13
2006-07-14,15000.0,176700.0,0.43,3.87,0.18,0.18,0.0,0.0,15000.0,0.0,176700.0,,,,,,,,,,,,,,,,,,0.18,,,,3.55,3.55,407000.0,4794460.0,,4.79,3.55,,1.0,100.0,0.0355,11.78
2006-07-17,15000.0,177750.0,0.43,3.74,0.18,0.18,0.0,0.0,15000.0,0.0,177750.0,,,,,,,,,,,,,,,,,,0.18,,,,3.55,3.55,407000.0,4822950.0,,4.81,3.57,,1.0,100.0,0.0355,11.85
2006-07-18,15000.0,178500.0,0.43,3.68,0.18,0.18,0.0,0.0,15000.0,0.0,178500.0,,,,,,,,,,,,,,,,,,0.18,,,,3.55,3.55,407000.0,4843300.0,,4.83,3.56,,1.0,100.0,0.0355,11.9
2006-07-19,15000.0,177600.0,0.43,3.71,0.18,0.18,0.0,0.0,15000.0,0.0,177600.0,,,,,,,,,,,,,,,,,,0.18,,,,3.55,3.55,407000.0,4818880.0,,4.83,3.55,,1.0,100.0,0.0355,11.84
2006-07-20,15000.0,177300.0,0.43,3.87,0.18,0.18,0.0,0.0,15000.0,0.0,177300.0,,,,,,,,,,,,,,,,,,0.18,,,,3.55,3.55,407000.0,4810740.0,,4.82,3.55,,1.0,100.0,0.0355,11.82
