,OVH FP Equity_DX_SI_QTY,OVH FP Equity_DX_SHORT_INTEREST_VALUE,OVH FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,OVH FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,OVH FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,OVH FP Equity_DX_SI_MV,OVH FP Equity_DX_DSS,OVH FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,OVH FP Equity_DX_SUPPLY_SI_QTY,OVH FP Equity_DX_BROKER_SI_QTY,OVH FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,OVH FP Equity_DX_BROKER_SI_MV_NEW_x,OVH FP Equity_DX_SUPPLY_SI_QTY_NEW_x,OVH FP Equity_DX_SUPPLY_SI_QTY_INC_x,OVH FP Equity_DX_BROKER_SI_MV_INC_x,OVH FP Equity_DX_SUPPLY_SI_MV_NEW,OVH FP Equity_DX_BROKER_SI_QTY_ADD,OVH FP Equity_DX_BROKER_SI_QTY_NEW,OVH FP Equity_DX_SUPPLY_SI_MV_DEC,OVH FP Equity_DX_BROKER_SI_QTY_INC,OVH FP Equity_DX_SUPPLY_SI_QTY_DEC,OVH FP Equity_DX_BROKER_SI_MV_NEW_y,OVH FP Equity_DX_SUPPLY_SI_QTY_NEW_y,OVH FP Equity_DX_BROKER_SI_MV_INC_y,OVH FP Equity_DX_SUPPLY_SI_QTY_INC_y,OVH FP Equity_DX_BROKER_SI_MV_ADD,OVH FP Equity_DX_SUPPLY_SI_QTY_ADD,OVH FP Equity_DX_BROKER_SI_QTY_DEC,OVH FP Equity_DX_SUPPLY_SI_MV,OVH FP Equity_DX_BROKER_SI_MV_DEC,OVH FP Equity_DX_SUPPLY_SI_MV_RMV,OVH FP Equity_DX_BROKER_SI_MV_RMV,OVH FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,OVH FP Equity_DX_UTILIZATION_QUANTITY,OVH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,OVH FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,OVH FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,OVH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,OVH FP Equity_DX_ACTIVE_UTILIZATION_MV,OVH FP Equity_DX_BROKER_SI_MARKET_SHARE_2,OVH FP Equity_DX_BROKER_SI_CON_RATIO,OVH FP Equity_DX_BROKER_SI_MARKET_SHARE_1,OVH FP Equity_DX_DEMAND_SUPPLY_RATIO,OVH FP Equity_PX_LAST
2021-10-28,28965.0,606816.75,0.05,0.12,0.02,0.61,0.0,397316.75,10000.0,18965.0,209500.0,,,,0.09,,,,,4493.0,,,,0.09,,,,,0.21,,,,0.33,0.33,3060601.0,64119590.95,,64.27,0.32,34.51,0.548,65.49,0.0094,20.95
2021-10-29,43518.0,877322.88,0.08,0.18,0.02,0.91,0.0,675722.88,10000.0,33518.0,201600.0,,,,0.23,,4090.0,,,10463.0,,,,0.23,,0.09,,,0.2,,,,0.33,0.33,3017952.0,60841912.32,,62.84,0.32,22.12,0.5255,68.38,0.0144,20.16
2021-11-01,42658.0,912881.2,0.07,0.17,0.02,0.87,0.0,698881.2,10000.0,32658.0,214000.0,,,,,,,,,,,,,,,,,860.0,0.21,0.05,,,0.33,0.33,3017952.0,64584172.8,,61.64,0.35,24.58,0.5046,65.97,0.0141,21.4
2021-11-02,61246.0,1308827.02,0.11,0.24,0.03,1.31,0.0,892432.57,19485.0,41761.0,416394.45,,,,0.2,,,,,9644.0,,,,0.2,,,9485.0,541.0,0.43,0.0,,,0.64,0.64,3017552.0,64485086.24,,64.59,0.66,25.72,0.4045,54.81,0.0202,21.37
2021-11-03,49829.0,1071074.36,0.09,0.2,0.03,1.06,0.0,856124.36,10000.0,39829.0,214950.0,,,,,,,,0.21,,9485.0,,,,,,,1932.0,0.22,0.05,,,0.33,0.33,2987591.0,64218268.55,,63.84,0.34,27.52,0.3899,52.28,0.0166,21.495
2021-11-04,51343.0,1085134.31,0.09,0.2,0.03,1.1,0.0,873784.31,10000.0,41343.0,211350.0,,,,0.13,,,,,5604.0,,,,0.13,,,,4090.0,0.21,0.08,,,0.33,0.33,2982166.0,63028078.41,,63.92,0.33,19.16,0.4563,61.96,0.0172,21.135
2021-11-05,38717.0,805700.77,0.07,0.15,0.02,0.82,0.0,597600.77,10000.0,28717.0,208100.0,,,,,,,,,,,,,,,,,12626.0,0.21,0.28,,,0.33,0.33,2982166.0,62058874.46,,62.71,0.33,25.52,0.5634,70.47,0.0129,20.81
2021-11-08,31473.0,657313.61,0.05,0.12,0.02,0.65,0.0,448463.61,10000.0,21473.0,208850.0,,,,,,,,,,,,,,,,,7244.0,0.21,0.16,,,0.33,0.33,2981866.0,62276271.41,,62.01,0.34,31.91,0.5036,63.19,0.0105,20.885
2021-11-09,35643.0,721948.97,0.06,0.13,0.02,0.74,0.0,519398.97,10000.0,25643.0,202550.0,,,,0.09,,,,,4170.0,,,,0.09,,,,,0.2,,,,0.34,0.34,2943250.0,59615528.75,,61.01,0.33,27.44,0.42,56.47,0.0121,20.255
2021-11-10,35643.0,730146.86,0.06,0.13,0.02,0.73,0.0,525296.86,10000.0,25643.0,204850.0,,,,,,,,,,,,,,,,,,0.2,,,,0.34,0.34,2907365.0,59557372.03,,59.45,0.34,28.06,0.417,55.91,0.0122,20.485
2021-11-11,32398.0,660919.2,0.06,0.12,0.02,0.66,0.0,456919.2,10000.0,22398.0,204000.0,,,,,,,,,,,,,,,,,3245.0,0.2,0.07,,,0.34,0.34,2905956.0,59281502.4,,59.67,0.34,30.74,0.3919,51.59,0.0111,20.4
2021-11-12,30641.0,640856.52,0.05,0.11,0.02,0.63,0.0,431706.52,10000.0,20641.0,209150.0,,,,,,,,,,,,,,,,,1757.0,0.21,0.04,,,0.34,0.34,2906256.0,60784344.24,,59.76,0.35,33.08,0.378,48.39,0.0105,20.915
2021-11-15,18316.0,371814.8,0.03,0.07,0.01,0.39,0.0,371814.8,0.0,18316.0,0.0,,,,,,,,0.21,,10000.0,,,,,,,2325.0,0.0,0.04,,,0.0,0.0,2835579.0,57562253.7,,59.16,0.0,31.2,0.5707,68.8,0.0065,20.3
2021-11-16,21505.0,458056.5,0.04,0.08,0.01,0.44,0.0,458056.5,0.0,21505.0,0.0,,,,0.06,,,,,3189.0,,,,0.06,,,,,0.0,,,,0.0,0.0,2814731.0,59953770.3,,57.94,0.0,26.44,0.611,73.56,0.0076,21.3
2021-11-17,14690.0,313117.35,0.03,0.05,0.01,0.31,0.0,313117.35,0.0,14690.0,0.0,,,,,,,,,,,,,,,,,6815.0,0.0,0.13,,,0.0,0.0,2814731.0,59995991.27,,60.05,0.0,38.9,0.5247,61.1,0.0052,21.315
2021-11-18,10069.0,214973.15,0.02,0.03,0.01,0.21,0.0,214973.15,0.0,10069.0,0.0,,,,,,,,,,,,,,,,,4621.0,0.0,0.1,,,0.0,0.0,2814431.0,60088101.85,,59.84,0.0,43.25,0.5091,56.75,0.0036,21.35
2021-11-19,12636.0,264092.4,0.02,0.04,0.01,0.27,0.0,264092.4,1567.0,12636.0,32750.3,,,,0.03,,1000.0,,,1567.0,,,,0.03,,0.02,1567.0,,0.03,,,,0.06,0.06,2815998.0,58854358.2,,59.98,0.06,45.27,0.4306,46.85,0.0045,20.9
2021-11-22,15877.0,324367.11,0.03,0.05,0.01,0.34,0.0,324367.11,1567.0,15877.0,32013.81,,,,0.05,,898.0,,,2343.0,,,,0.05,,0.02,,,0.03,,,,0.06,0.06,2815998.0,57530839.14,,58.83,0.06,35.82,0.4067,52.06,0.0056,20.43
2021-11-23,15877.0,317540.0,0.03,0.05,0.01,0.33,0.0,317540.0,1567.0,15877.0,31340.0,,,,,,,,,,,,,,,,,,0.03,,,,0.06,0.06,2727497.0,54549940.0,,55.63,0.06,35.89,0.4057,51.91,0.0058,20.0
2021-11-24,16988.0,348254.0,0.03,0.06,0.01,0.34,0.0,348254.0,2678.0,16988.0,54899.0,,,1111.0,0.02,,,,,1111.0,,,,0.02,1111.0,,,,0.05,,,,0.1,0.1,2755270.0,56483035.0,,55.49,0.1,33.95,0.4212,54.72,0.0062,20.5
2021-11-25,11169.0,228796.97,0.02,0.04,0.01,0.23,0.0,228796.97,2678.0,11169.0,54858.83,,,,,,,,,,,,,,,,,5819.0,0.05,0.12,,,0.1,0.1,2742435.0,56178780.98,,56.19,0.1,31.72,0.376,51.03,0.0041,20.485
2021-11-26,11271.0,231111.86,0.02,0.04,0.01,0.23,0.0,231111.86,7034.0,11271.0,144232.17,,,,0.0,,,,,102.0,,,,0.0,,,4356.0,,0.14,,,,100.0,0.25,0.0,0.0,,0.0,100.0,31.41,0.3703,50.53,0.0041,20.505
2021-11-29,20548.0,420001.12,0.04,0.11,0.01,0.42,0.0,420001.12,3982.0,20548.0,81392.08,,,,0.19,,,,0.06,9277.0,3052.0,,,0.19,,,,,0.08,,,,0.14,0.14,2793292.0,57094888.48,,57.34,0.14,27.82,0.4525,60.69,0.0073,20.44
2021-11-30,21214.0,430962.41,0.04,0.13,0.01,0.43,0.0,430962.41,4648.0,21214.0,94424.12,,,666.0,0.01,,,,,666.0,,,,0.01,666.0,,,,0.09,,,,0.17,0.17,2739431.0,55651540.77,,55.77,0.17,26.82,0.4628,62.01,0.0077,20.315
2021-12-01,13257.0,275347.89,0.02,0.1,0.01,0.27,0.0,275347.89,3081.0,13257.0,63992.37,,,,,,,,0.03,,1567.0,,,,,,,7957.0,0.06,0.16,,,0.11,0.11,2752472.0,57168843.44,,55.85,0.11,39.33,0.3544,42.83,0.0048,20.77
2021-12-02,9350.0,194012.5,0.02,0.08,0.0,0.2,0.0,180193.0,1970.0,8684.0,40877.5,,,,,,,,0.02,,1111.0,,,,,,,4573.0,0.04,0.09,,,0.07,0.07,2752372.0,57111719.0,,57.24,0.07,14.52,0.4214,60.76,0.0034,20.75
2021-12-03,9350.0,196817.5,0.02,0.08,0.0,0.2,0.0,182798.2,1970.0,8684.0,41468.5,,,,,,,,,,,,,,,,,,0.04,,,,0.07,0.07,2752372.0,57937430.6,,57.25,0.07,14.53,0.421,60.71,0.0034,21.05
2021-12-06,9350.0,201960.0,0.02,0.08,0.0,0.2,0.0,187574.4,1970.0,8684.0,42552.0,,,,,,,,,,,,,,,,,,0.04,,,,0.07,0.07,2752372.0,59451235.2,,58.08,0.07,14.54,0.4207,60.68,0.0034,21.6
2021-12-07,9350.0,200090.0,0.02,0.08,0.0,0.2,0.0,185837.6,1970.0,8684.0,42158.0,,,,,,,,,,,,,,,,,,0.04,,,,0.07,0.07,2752738.0,58908593.2,,59.26,0.07,14.54,0.4209,60.7,0.0034,21.4
2021-12-08,12518.0,267134.12,0.02,0.12,0.01,0.27,0.0,267134.12,1304.0,12518.0,27827.36,,,,0.1,,,,0.01,4500.0,666.0,,,0.1,,,,666.0,0.03,0.01,,,0.05,0.05,2752472.0,58737752.48,,58.57,0.05,45.22,0.4299,46.81,0.0045,21.34
2021-12-09,12518.0,268698.87,0.02,0.12,0.01,0.27,0.0,268698.87,1304.0,12518.0,27990.36,,,,,,,,,,,,,,,,,,0.03,,,,0.05,0.05,2752472.0,59081811.48,,58.89,0.05,45.51,0.4302,46.56,0.0045,21.465
2021-12-10,16646.0,358305.15,0.03,0.16,0.01,0.36,0.0,358305.15,5432.0,16646.0,116923.8,,,4128.0,,,4128.0,,,,,,,,4128.0,0.09,,,0.12,,,,0.2,0.2,2748344.0,59158104.6,,58.84,0.2,34.14,0.3048,35.15,0.006,21.525
2021-12-13,16646.0,364547.4,0.03,0.17,0.01,0.36,0.0,364547.4,5432.0,16646.0,118960.8,,,,,,,,,,,,,,,,,,0.12,,,,0.2,0.2,2748244.0,60186543.6,,59.27,0.2,34.24,0.3049,35.1,0.006,21.9
2021-12-14,16646.0,348900.16,0.03,0.16,0.01,0.36,0.0,348900.16,3237.0,16646.0,67847.52,,,,,,,,0.05,,2195.0,,,,,,,,0.07,,,,0.12,0.12,2730947.0,57240649.12,,59.58,0.11,34.36,0.3057,35.27,0.0061,20.96
2021-12-15,15160.0,313281.4,0.03,0.15,0.01,0.32,0.0,313281.4,4046.0,15160.0,83610.59,0.02,,809.0,,,,1000.0,,,,0.02,,,809.0,,,1486.0,0.08,0.04,,0.02,0.15,0.15,2729938.0,56414168.77,,57.08,0.15,29.04,0.3018,37.67,0.0055,20.665
2021-12-16,13789.0,289155.33,0.02,0.13,0.01,0.28,0.0,289155.33,2675.0,13789.0,56094.75,,,,,,,,0.03,,1371.0,,,,,,,1371.0,0.06,0.03,,,0.1,0.1,2688185.0,56371239.45,,55.39,0.1,31.98,0.316,41.32,0.0051,20.97
2021-12-17,14406.0,304758.93,0.03,0.14,0.01,0.3,0.0,304758.93,4292.0,14406.0,90797.26,,,1617.0,0.03,,,,,1617.0,,,,0.03,1617.0,,,1000.0,0.09,0.02,,,0.16,0.16,2686968.0,56842808.04,,56.58,0.16,30.46,0.3397,39.82,0.0054,21.155
2021-12-20,14406.0,310737.42,0.03,0.14,0.01,0.3,0.0,310737.42,5176.0,14406.0,111646.32,,,884.0,,,,,,,,,,,884.0,,,,0.11,,,,0.19,0.19,2686084.0,57938831.88,,56.89,0.2,30.66,0.3398,39.86,0.0054,21.57
2021-12-21,10890.0,236694.15,0.02,0.11,0.01,0.24,0.0,236694.15,5176.0,10890.0,112500.36,,,,0.02,,,,,884.0,,,,0.02,,,,4400.0,0.11,0.09,,,0.19,0.19,2687478.0,58412334.33,,58.0,0.19,47.48,0.5013,52.52,0.004,21.735
2021-12-22,18122.0,421336.5,0.03,0.18,0.01,0.39,0.0,421336.5,5176.0,18122.0,120342.0,,,,,,7232.0,,,,,,,,,0.16,,,0.12,,,,0.19,0.19,2687373.0,62481422.25,,58.52,0.21,31.54,0.3399,39.75,0.0067,23.25
2021-12-23,26863.0,633563.86,0.05,0.26,0.01,0.6,0.0,633563.86,5176.0,26863.0,122075.96,,,,0.2,,,,,8741.0,,,,0.2,,,,,0.12,,,,0.19,0.19,2687179.0,63377116.72,,62.54,0.19,20.62,0.4351,59.38,0.01,23.585
2021-12-24,22380.0,524699.1,0.04,0.2,0.01,0.5,0.0,524699.1,0.0,22380.0,0.0,,,,,,,,0.12,,5176.0,,,,,,,4483.0,0.0,0.1,,,0.0,0.0,2692755.0,63131640.98,,63.42,0.0,24.84,0.3786,50.71,0.0083,23.445
2021-12-27,26254.0,622219.8,0.05,0.24,0.01,0.62,0.0,532207.2,3874.0,22456.0,91813.8,,,,0.02,,,,,76.0,,,,0.02,,,3874.0,,0.09,,,,0.14,0.14,2711279.0,64257312.3,,63.44,0.14,21.84,0.3012,44.03,0.0097,23.7
2021-12-28,18638.0,453276.16,0.03,0.17,0.01,0.45,0.0,451427.84,3874.0,18562.0,94215.68,,,,,,7596.0,,,,,,,,,0.19,,11490.0,0.09,0.27,,,0.15,0.15,2634886.0,64080427.52,,62.56,0.15,30.07,0.3403,41.94,0.0071,24.32
2021-12-29,14468.0,358806.4,0.03,0.14,0.01,0.36,0.0,356921.6,3874.0,14392.0,96075.2,,,,,,,,,,,,,,,,,4170.0,0.1,0.1,,,0.15,0.15,2645064.0,65597587.2,,64.22,0.15,34.91,0.421,53.69,0.0055,24.8
2021-12-30,6872.0,168226.56,0.01,0.06,0.0,0.17,0.0,166366.08,76.0,6796.0,1860.48,,,,,,,,0.09,,3798.0,,,,,,,7596.0,0.0,0.19,,,0.0,0.0,2670105.0,65364170.4,,66.29,0.0,22.52,0.6178,75.27,0.0026,24.48
2021-12-31,43941.0,1116101.4,0.08,0.39,0.02,1.08,0.0,1116101.4,76.0,43941.0,1930.4,,,,0.81,,4500.0,,,32645.0,,,,0.81,,0.11,,,0.0,,,,0.0,0.0,2675527.0,67958385.8,,65.63,0.0,11.68,0.583,74.69,0.0164,25.4
2022-01-03,46474.0,1282450.03,0.08,0.41,0.02,1.19,0.0,1237359.8,11386.0,44840.0,314196.67,,,,0.24,,1634.0,,,9300.0,,,,0.24,,0.04,11310.0,10035.0,0.29,0.23,,,0.39,0.39,2875926.0,79361177.97,,73.35,0.39,29.68,0.3455,48.9,0.0161,27.595
2022-01-04,56774.0,1522394.81,0.1,0.45,0.03,1.55,0.0,1478579.1,7200.0,55140.0,193068.0,,,,0.29,,,,0.09,10300.0,4186.0,,,0.29,,,,,0.2,,,,0.25,0.25,2880112.0,77230203.28,,79.39,0.25,40.51,0.3504,41.67,0.0197,26.815
2022-01-05,34249.0,887391.59,0.06,0.26,0.02,0.93,0.0,845054.65,2700.0,32615.0,69957.0,,,,0.14,,,,0.13,5761.0,4500.0,,,0.14,,,,28286.0,0.07,0.76,,,0.1,0.1,2826910.0,73245238.1,,75.74,0.1,9.45,0.7043,83.22,0.0121,25.91
2022-01-06,71381.0,1785595.72,0.12,0.52,0.04,1.88,0.0,1721307.17,7653.0,68811.0,191439.8,,,936.0,0.81,,4953.0,,,31243.0,,,,0.81,936.0,0.12,4017.0,,0.2,,,,0.27,0.27,2823829.0,70638082.44,,73.26,0.27,19.86,0.4884,66.37,0.0252,25.015
2022-01-07,106067.0,2540834.99,0.18,0.75,0.06,2.63,0.0,2037300.89,26684.0,85047.0,639215.22,,,,0.52,,,,0.03,22771.0,1066.0,,,0.52,,,20097.0,6535.0,0.67,0.24,,,0.95,0.95,2768743.0,66325238.57,,68.62,0.97,38.53,0.3393,39.91,0.0379,23.955
2022-01-10,75657.0,1875158.75,0.13,0.53,0.04,1.84,0.0,1443701.47,17408.0,58249.0,431457.28,,,5124.0,0.03,,,,0.36,2125.0,14400.0,,,0.03,5124.0,,,28923.0,0.43,0.71,,,0.62,0.62,2802372.0,69456790.02,,67.5,0.63,28.2,0.3441,47.13,0.0268,24.785
2022-01-11,157224.0,3846485.16,0.27,1.07,0.08,3.89,0.0,1903352.54,83325.0,77799.0,2038546.13,,,5541.0,0.13,,14009.0,,0.14,5541.0,5664.0,,,0.13,5541.0,0.35,66040.0,,2.07,,,,2.95,2.95,2739201.0,67014552.47,,67.71,2.96,26.29,0.2684,40.71,0.0557,24.465
2022-01-12,312288.0,7988327.04,0.54,2.13,0.17,7.67,0.0,1452023.12,259424.0,56764.0,6636065.92,,,176099.0,,,,,,,,,,,176099.0,,,21035.0,6.35,0.5,,,9.16,9.16,2573824.0,65838417.92,,62.74,9.19,12.46,0.613,77.06,0.1102,25.58
2022-01-13,335450.0,8889425.0,0.58,2.12,0.18,8.65,0.0,1341827.5,290376.0,50635.0,7694964.0,,,15822.0,,,,,,,,,,,15822.0,,15130.0,6129.0,7.47,0.14,,,10.15,10.15,2569574.0,68093711.0,,65.76,10.2,16.07,0.6056,76.0,0.1173,26.5
2022-01-14,350619.0,8882932.37,0.61,2.06,0.19,9.23,0.0,1356790.59,306226.0,53554.0,7758235.71,,,,0.08,,,,0.5,2919.0,18211.0,,,0.08,,,34061.0,,8.09,,,,10.75,10.75,2543109.0,64429666.52,,67.4,10.71,10.29,0.6735,81.28,0.1231,25.335
2022-01-17,338555.0,8592525.9,0.59,1.99,0.18,8.61,0.0,1053016.2,311242.0,41490.0,7899321.96,,,5016.0,0.05,,,,,2097.0,,,,0.05,5016.0,,,14161.0,7.89,0.36,,,10.93,10.93,2537190.0,64393882.2,,64.38,10.92,6.84,0.7065,83.59,0.1189,25.38
2022-01-18,322446.0,8704429.77,0.56,1.9,0.17,8.24,0.0,1170017.29,293281.0,43342.0,7917120.6,,,,0.04,,,,0.45,1852.0,17961.0,,,0.04,,,,,7.48,,,,10.18,10.18,2586986.0,69835687.07,,66.19,10.15,7.37,0.6854,82.23,0.112,26.995
2022-01-19,308740.0,8428602.0,0.54,1.76,0.16,8.34,0.0,934615.5,288387.0,34235.0,7872965.1,,,,,,,,0.21,,7934.0,,,,,,3040.0,9107.0,7.79,0.22,,,9.92,9.92,2618320.0,71480136.0,,70.75,9.92,5.8,0.7207,84.5,0.1062,27.3
2022-01-20,339856.0,8973897.68,0.59,1.86,0.18,9.27,0.0,1736392.8,311133.0,65760.0,8215466.87,,,,0.33,,20000.0,,0.14,11825.0,5433.0,,,0.33,,0.55,28179.0,300.0,8.49,0.0,,,10.69,10.69,2600549.0,68667496.35,,71.02,10.67,6.95,0.6001,76.7,0.1167,26.405
2022-01-21,414764.0,10595146.38,0.72,2.22,0.22,10.94,0.0,2911108.2,341181.0,113960.0,8715468.65,,,51060.0,1.22,,,,0.77,48200.0,21012.0,,,1.22,51060.0,,,,9.02,,,,11.33,11.33,2670951.0,68229443.3,,70.38,11.36,24.27,0.4104,58.59,0.1377,25.545
2022-01-24,430665.0,10320886.73,0.75,2.25,0.23,11.04,0.0,3074997.08,354260.0,128312.0,8489840.9,,,7344.0,0.37,,,,0.04,14352.0,1252.0,,,0.37,7344.0,,6987.0,,9.03,,,,11.91,11.91,2621296.0,62819358.64,,66.79,11.91,24.07,0.3826,55.87,0.1447,23.965
2022-01-25,431379.0,10409175.27,0.75,2.15,0.23,10.41,0.0,3327068.53,384865.0,137881.0,9286792.45,,,23838.0,0.22,,15593.0,,0.3,13433.0,9477.0,,,0.22,23838.0,0.39,16244.0,19457.0,9.26,0.56,,,12.89,12.89,2601013.0,62762443.69,,62.47,12.91,20.0,0.3975,58.59,0.1445,24.13
2022-01-26,495008.0,12095520.48,0.86,2.43,0.26,12.09,0.0,4806682.16,400842.0,196713.0,9794574.27,,,16202.0,1.52,,1838.0,,0.0,59645.0,225.0,,,1.52,16202.0,0.05,,2651.0,9.72,0.06,,,13.51,13.51,2566027.0,62700869.75,,62.13,13.53,20.44,0.3382,50.79,0.1668,24.435
2022-01-27,594042.0,14016420.99,1.03,2.87,0.32,14.43,0.0,5670138.05,506903.0,240311.0,11960376.29,,,42000.0,0.94,,11297.0,,0.51,36100.0,14236.0,,,0.94,42000.0,0.29,78297.0,3799.0,12.22,0.14,,,17.06,17.06,2464011.0,58138339.55,,60.8,16.73,22.34,0.3262,50.26,0.2,23.595
2022-01-28,684799.0,16109896.48,1.19,3.23,0.36,16.4,0.0,7752193.25,588889.0,329530.0,13853613.73,,,22762.0,0.74,,68492.0,,0.19,30643.0,6915.0,,,0.74,22762.0,1.67,66139.0,9916.0,13.92,0.29,,,19.83,19.83,2381321.0,56020576.53,,56.18,19.86,18.87,0.2626,42.97,0.2306,23.525
2022-01-31,935890.0,22180593.0,1.63,4.29,0.5,22.11,0.0,11146370.7,750349.0,470311.0,17783271.3,,,187535.0,3.23,,,,0.64,140781.0,26075.0,,,3.23,187535.0,,,,17.61,,,,25.44,25.44,2199056.0,52117627.2,,51.62,25.43,32.37,0.2588,34.94,0.3173,23.7
