,JBEM FP Equity_DX_SI_QTY,JBEM FP Equity_DX_SHORT_INTEREST_VALUE,JBEM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,JBEM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,JBEM FP Equity_DX_SI_MV,JBEM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,JBEM FP Equity_DX_SUPPLY_SI_QTY,JBEM FP Equity_DX_BROKER_SI_QTY,JBEM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,JBEM FP Equity_DX_SUPPLY_SI_QTY_INC_x,JBEM FP Equity_DX_BROKER_SI_MV_INC_x,JBEM FP Equity_DX_BROKER_SI_QTY_ADD,JBEM FP Equity_DX_SUPPLY_SI_MV_DEC,JBEM FP Equity_DX_BROKER_SI_QTY_INC,JBEM FP Equity_DX_SUPPLY_SI_QTY_DEC,JBEM FP Equity_DX_BROKER_SI_MV_INC_y,JBEM FP Equity_DX_SUPPLY_SI_QTY_INC_y,JBEM FP Equity_DX_BROKER_SI_MV_ADD,JBEM FP Equity_DX_SUPPLY_SI_QTY_ADD,JBEM FP Equity_DX_BROKER_SI_QTY_DEC,JBEM FP Equity_DX_SUPPLY_SI_MV,JBEM FP Equity_DX_BROKER_SI_MV_DEC,JBEM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,JBEM FP Equity_DX_UTILIZATION_QUANTITY,JBEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,JBEM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,JBEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,JBEM FP Equity_DX_ACTIVE_UTILIZATION_MV,JBEM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,JBEM FP Equity_DX_BROKER_SI_CON_RATIO,JBEM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,JBEM FP Equity_DX_DEMAND_SUPPLY_RATIO,JBEM FP Equity_PX_LAST
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.9
2017-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.78
2017-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.31
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.18
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.64
2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.4
2017-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.16
2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.1
2017-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.94
2017-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.48
2017-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.89
2017-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.13
2017-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.61
2017-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.01
2017-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.9
2017-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.05
2017-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.39
2017-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.68
2017-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.53
2017-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.63
2017-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.77
2017-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.46
2017-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.88
2017-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.98
2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.67
2017-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.25
2017-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.25
2017-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.6
2017-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.4
2017-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.99
2017-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.89
2017-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.74
2017-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.15
2017-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.25
2017-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.87
2017-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.83
2017-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.85
2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.72
2017-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.84
2017-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.28
2017-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.04
2017-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.3
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.02
2017-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.17
2017-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.81
2017-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.55
2017-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.46
2017-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.96
2017-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.77
2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.81
2017-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.84
2017-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.65
2017-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.58
2017-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.43
2017-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.67
2017-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.68
2017-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.44
2017-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.48
2017-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.88
2017-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.79
2017-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.21
2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.24
2017-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.38
2017-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.23
2017-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.03
2017-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.95
2017-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.28
2017-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.25
2017-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.47
2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.4
2017-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.41
2017-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.78
2017-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.37
2017-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.83
2017-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.1
2017-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.56
2017-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.51
2017-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.91
2017-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.32
2017-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.66
2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.74
2017-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.57
2017-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.02
2017-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.77
2017-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.11
2017-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.18
2017-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.91
2017-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.26
2017-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.54
2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.43
2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.96
2017-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.89
2017-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.46
2017-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.55
2017-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.1
2017-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.05
2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.79
2017-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.12
2017-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.38
2017-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.86
2017-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.95
2017-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.89
2017-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.44
2017-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.8
2017-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.82
2017-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.3
2017-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.86
2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.9
2017-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.42
2017-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.5
2017-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.79
2017-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.07
2017-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.09
2017-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.1
2017-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.49
2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.09
2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.3
2017-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.42
2017-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.52
2017-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.2
2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.86
2017-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.92
2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.88
2017-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.14
2017-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.25
2017-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.79
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.96
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.45
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.95
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.96
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.25
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.65
2018-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.46
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.97
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.6
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.26
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.67
2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.63
2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.76
2018-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.78
2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.97
2018-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.25
2018-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.02
2018-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.62
2018-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.43
2018-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.67
2018-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.76
2018-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.82
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.15
2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.34
2018-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.26
2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.94
2018-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.92
2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.61
2018-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.44
2018-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.46
2018-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.93
2018-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.05
2018-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.92
2018-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.74
2018-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.07
2018-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.82
2018-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.03
2018-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.14
2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.62
2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.92
2018-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.75
2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.23
2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.53
2018-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.35
2018-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.42
2018-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.1
2018-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.55
2018-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.24
2018-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.74
2018-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.25
2018-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.35
2018-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.53
2018-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.79
2018-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.86
2018-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.07
2018-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.3
2018-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.0
2018-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.09
2018-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.01
2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.39
2018-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.68
2018-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.11
2018-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.85
2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.99
2018-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.46
2018-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.69
2018-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.75
2018-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.47
2018-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.76
2018-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.38
2018-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.55
2018-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.31
2018-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.71
2018-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.73
2018-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.83
2018-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.89
2018-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.41
2018-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.47
2018-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.37
2018-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.05
2018-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.33
2018-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.14
2018-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.84
2018-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.7
2018-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.96
2018-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.6
2018-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.6
2018-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.71
2018-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.59
2018-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.77
2018-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.26
2018-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.68
2018-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.01
2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.81
2018-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.81
2018-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.05
2018-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.28
2018-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.51
2018-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.29
2018-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.12
2018-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.47
2018-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.71
2018-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.3
2018-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.41
2018-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.43
2018-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.89
2018-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.27
2018-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.43
2018-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.04
2018-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.83
2018-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.85
2018-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.58
2018-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.14
2018-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.9917
2018-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8552
2018-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8079
2018-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8217
2018-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.82
2018-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8037
2018-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78
2018-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.817
2018-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8278
2018-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8629
2018-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8777
2018-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8861
2018-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8805
2018-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.869
2018-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8662
2018-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.848
2018-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8605
