,ALKLA FP Equity_DX_SI_QTY,ALKLA FP Equity_DX_SHORT_INTEREST_VALUE,ALKLA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALKLA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALKLA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALKLA FP Equity_DX_SI_MV,ALKLA FP Equity_DX_DSS,ALKLA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALKLA FP Equity_DX_SUPPLY_SI_QTY,ALKLA FP Equity_DX_BROKER_SI_QTY,ALKLA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALKLA FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALKLA FP Equity_DX_BROKER_SI_MV_INC_x,ALKLA FP Equity_DX_BROKER_SI_QTY_ADD,ALKLA FP Equity_DX_SUPPLY_SI_MV_DEC,ALKLA FP Equity_DX_BROKER_SI_QTY_INC,ALKLA FP Equity_DX_SUPPLY_SI_QTY_DEC,ALKLA FP Equity_DX_BROKER_SI_MV_INC_y,ALKLA FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALKLA FP Equity_DX_BROKER_SI_MV_ADD,ALKLA FP Equity_DX_SUPPLY_SI_QTY_ADD,ALKLA FP Equity_DX_BROKER_SI_QTY_DEC,ALKLA FP Equity_DX_SUPPLY_SI_MV,ALKLA FP Equity_DX_BROKER_SI_MV_DEC,ALKLA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALKLA FP Equity_DX_UTILIZATION_QUANTITY,ALKLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALKLA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALKLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALKLA FP Equity_DX_ACTIVE_UTILIZATION_MV,ALKLA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALKLA FP Equity_DX_BROKER_SI_CON_RATIO,ALKLA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALKLA FP Equity_DX_DEMAND_SUPPLY_RATIO,ALKLA FP Equity_PX_LAST
2011-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.14
2011-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.08
2011-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2011-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2011-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2011-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2011-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04
2011-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.09
2011-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2011-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.11
2011-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.14
2011-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.14
2011-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12
2011-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12
2011-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2011-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2011-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05
2011-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2011-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2011-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2011-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99
2011-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2011-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.03
2011-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04
2011-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.03
2011-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04
2011-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05
2011-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04
2011-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.03
2011-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04
2011-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04
2011-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99
2011-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98
2011-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78
2011-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2011-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2011-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.99
2011-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.95
2011-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.99
2011-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96
2011-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
2011-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
2011-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.99
2011-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.99
2011-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.83
2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2011-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2011-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2011-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2011-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2011-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2011-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2011-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2011-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2011-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2011-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2011-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
2011-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2011-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69
2011-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2011-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.99
2011-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89
2011-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89
2011-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.99
2011-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
2011-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2011-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85
2011-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89
2011-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2011-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2011-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2011-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2011-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2011-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2011-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2011-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3
2011-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3
2011-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2011-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2011-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3
2011-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2011-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2011-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2011-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2011-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2011-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2011-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2011-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75
2011-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3
2011-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2011-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2011-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.55
2011-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2011-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2011-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2011-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2011-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2011-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2011-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2011-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.55
2011-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.59
2011-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.59
2011-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65
2011-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65
2011-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2011-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2011-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65
2011-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2011-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2011-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2011-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2011-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2011-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2011-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2011-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.59
2011-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.55
2011-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.69
2011-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.69
2011-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72
2011-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2011-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2012-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2012-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2012-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05
2012-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05
2012-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2012-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05
2012-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05
2012-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05
2012-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2012-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2012-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2012-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2012-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2012-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2012-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2012-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
2012-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25
2012-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.34
2012-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.55
2012-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2012-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.05
2012-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2012-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2012-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2012-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19
2012-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2
2012-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2
2012-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2
2012-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2
2012-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2
2012-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2
2012-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2
2012-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2
2012-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2
2012-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2
2012-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2
2012-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19
2012-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19
2012-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19
2012-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19
2012-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.18
2012-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19
2012-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.26
2012-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
2012-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.34
2012-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.34
2012-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
2012-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
2012-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.35
2012-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
2012-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.35
2012-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.35
2012-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
2012-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.35
2012-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.44
2012-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.85
2012-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2012-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2012-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.88
2012-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2012-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
2012-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49
2012-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4
2012-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6
2012-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2012-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99
2012-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99
2012-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95
2012-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98
2012-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9
2012-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98
2012-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98
2012-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98
2012-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9
2012-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9
2012-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2012-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89
2012-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.85
2012-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79
2012-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9
2012-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.88
2012-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.85
2012-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.85
2012-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2012-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2012-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82
2012-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82
2012-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82
2012-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82
2012-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82
2012-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.85
2012-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95
2012-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95
2012-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2012-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2012-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15
2012-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15
