,ALBOA FP Equity_DX_SI_QTY,ALBOA FP Equity_DX_SHORT_INTEREST_VALUE,ALBOA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBOA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBOA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBOA FP Equity_DX_SI_MV,ALBOA FP Equity_DX_DSS,ALBOA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBOA FP Equity_DX_SUPPLY_SI_QTY,ALBOA FP Equity_DX_BROKER_SI_QTY,ALBOA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBOA FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBOA FP Equity_DX_BROKER_SI_MV_INC_x,ALBOA FP Equity_DX_BROKER_SI_QTY_ADD,ALBOA FP Equity_DX_SUPPLY_SI_MV_DEC,ALBOA FP Equity_DX_BROKER_SI_QTY_INC,ALBOA FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBOA FP Equity_DX_BROKER_SI_MV_INC_y,ALBOA FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBOA FP Equity_DX_BROKER_SI_MV_ADD,ALBOA FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBOA FP Equity_DX_BROKER_SI_QTY_DEC,ALBOA FP Equity_DX_SUPPLY_SI_MV,ALBOA FP Equity_DX_BROKER_SI_MV_DEC,ALBOA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBOA FP Equity_DX_UTILIZATION_QUANTITY,ALBOA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBOA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBOA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBOA FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBOA FP Equity_DX_BROKER_SI_CON_RATIO,ALBOA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBOA FP Equity_DX_DEMAND_SUPPLY_RATIO,ALBOA FP Equity_PX_LAST
2021-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74
2021-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74
2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.24
2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.16
2021-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.06
2021-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.34
2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.28
2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.32
2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.42
2021-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08
2021-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.38
2021-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.38
2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.16
2021-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.36
2021-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.34
2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.38
2021-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.34
2021-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.96
2021-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.02
2021-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.96
2021-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.88
2021-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.98
2021-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.98
2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.64
2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8
2021-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.86
2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.66
2021-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.72
2021-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
2021-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.84
2021-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.06
2021-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.04
2021-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.84
2021-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.08
2021-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.62
2021-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.86
2021-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7
2021-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.58
2021-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8
2021-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.32
2021-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2
2021-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.22
2021-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
2021-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1
2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2021-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.34
2021-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6
2021-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1
2021-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.18
2021-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.24
2021-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.34
2021-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.78
2021-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9
2021-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.45
2021-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4
2021-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
2021-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.25
2021-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
2021-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.95
2021-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.95
2021-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5
2021-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9
2021-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5
2021-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3
2021-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4
2021-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4
2021-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2
2021-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9
2021-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.85
2021-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7
2021-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1
2021-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.45
2021-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3
2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.95
2021-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.35
2021-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.35
2021-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.45
2021-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
2021-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.25
2021-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.25
2021-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1
2021-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.25
2021-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.25
2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2021-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7
2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.55
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
2021-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9
2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.55
2021-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
2021-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
2021-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.25
2021-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.85
2021-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9
2021-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.25
2021-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.15
2021-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7
2021-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.45
2021-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0
2021-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
2021-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
2021-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6
2021-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
2021-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
2021-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.05
2021-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7
2021-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2
2021-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5
2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1
2022-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1
2022-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1
2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.05
2022-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2
2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.95
2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7
2022-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4
2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1
2022-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.05
2022-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.45
2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4
2022-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.95
2022-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.95
2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.05
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7
2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2
2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4
2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4
2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2
2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5
2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6
2022-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.55
2022-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.95
2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.25
2022-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9
2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.45
2022-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.25
2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2
2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0
2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2
2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.55
2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.15
2022-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9
2022-03-01,2000.0,47400.0,0.26,0.68,0.26,0.05,0.0,23700.0,1000.0,1000.0,23700.0,,,1000.0,,,,,,0.02,1000.0,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,23.7
2022-03-02,2000.0,49200.0,0.26,0.66,0.26,0.05,0.0,24600.0,1000.0,1000.0,24600.0,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,24.6
2022-03-03,2000.0,45500.0,0.26,0.65,0.26,0.05,0.0,22750.0,1000.0,1000.0,22750.0,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,22.75
2022-03-04,2000.0,44300.0,0.26,0.63,0.26,0.05,0.0,22150.0,1000.0,1000.0,22150.0,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,22.15
2022-03-07,2000.0,42600.0,0.26,0.61,0.26,0.04,0.0,21300.0,1000.0,1000.0,21300.0,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,21.3
2022-03-08,2000.0,46000.0,0.26,0.59,0.26,0.04,0.0,23000.0,1000.0,1000.0,23000.0,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,23.0
2022-03-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.02,,1000.0,,,,,1000.0,0.0,0.02,0.0,0.0,400.0,9640.0,0.01,0.0,0.0,,0.0,24.1
2022-03-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,9680.0,0.01,0.0,0.0,,0.0,24.2
2022-03-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,10180.0,0.01,0.0,0.0,,0.0,25.45
2022-03-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,9880.0,0.01,0.0,0.0,,0.0,24.7
2022-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,9600.0,0.01,0.0,0.0,,0.0,24.0
2022-03-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,10200.0,0.01,0.0,0.0,,0.0,25.5
2022-03-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,10320.0,0.01,0.0,0.0,,0.0,25.8
2022-03-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,10400.0,0.01,0.0,0.0,,0.0,26.0
2022-03-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,10400.0,0.01,0.0,0.0,,0.0,26.0
2022-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,10380.0,0.01,0.0,0.0,,0.0,25.95
2022-03-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,10360.0,0.01,0.0,0.0,,0.0,25.9
2022-03-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,10400.0,0.01,0.0,0.0,,0.0,26.0
2022-03-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,10000.0,0.01,0.0,0.0,,0.0,25.0
2022-03-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,9940.0,0.01,0.0,0.0,,0.0,24.85
2022-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,10160.0,0.01,0.0,0.0,,0.0,25.4
2022-03-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,12060.0,0.01,0.0,0.0,,0.0,30.15
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7
2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0
2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8
2022-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9
2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0
2022-04-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,200.0,6600.0,0.01,0.0,0.0,,0.0,33.0
2022-04-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,200.0,6620.0,0.01,0.0,0.0,,0.0,33.1
2022-04-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,13200.0,0.01,0.0,0.0,,0.0,33.0
2022-04-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,13160.0,0.01,0.0,0.0,,0.0,32.9
2022-04-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,13120.0,0.01,0.0,0.0,,0.0,32.8
2022-04-14,1900.0,60610.0,0.25,0.44,0.25,0.06,0.0,60610.0,0.0,1900.0,0.0,,,1900.0,,,,,,0.06,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,4.75,31.9
2022-04-15,1900.0,60610.0,0.25,0.41,0.25,0.06,0.0,60610.0,0.0,1900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,4.75,
2022-04-18,3800.0,121220.0,0.49,0.81,0.49,0.12,0.0,60610.0,1900.0,1900.0,60610.0,,,,,,,,,,1900.0,,0.06,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,
2022-04-19,3800.0,126920.0,0.49,0.81,0.49,0.12,0.0,63460.0,1900.0,1900.0,63460.0,,,,,,,,,,,,0.06,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,33.4
2022-04-20,3800.0,129960.0,0.49,0.78,0.49,0.13,0.0,64980.0,1900.0,1900.0,64980.0,,,,,,,,,,,,0.06,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,34.2
2022-04-21,3800.0,136420.0,0.49,0.78,0.49,0.13,0.0,68210.0,1900.0,1900.0,68210.0,,,,,,,,,,,,0.07,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,35.9
2022-04-22,3800.0,134520.0,0.49,0.76,0.49,0.13,0.0,67260.0,1900.0,1900.0,67260.0,,,,,,,,,,,,0.06,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,35.4
2022-04-25,3800.0,127680.0,0.49,0.77,0.49,0.13,0.0,63840.0,1900.0,1900.0,63840.0,,,,,,,,,,,,0.07,,100.0,4.23,0.0,0.0,0.0,100.0,1.0,100.0,0.0846,33.6
2022-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.07,,1900.0,,,,,1900.0,0.0,0.07,0.0,0.0,43500.0,1418100.0,1.46,0.0,0.0,,0.0,32.6
