,JBOG FP Equity_DX_SI_QTY,JBOG FP Equity_DX_SHORT_INTEREST_VALUE,JBOG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,JBOG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,JBOG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,JBOG FP Equity_DX_SI_MV,JBOG FP Equity_DX_DSS,JBOG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,JBOG FP Equity_DX_SUPPLY_SI_QTY,JBOG FP Equity_DX_BROKER_SI_QTY,JBOG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,JBOG FP Equity_DX_SUPPLY_SI_QTY_INC_x,JBOG FP Equity_DX_BROKER_SI_MV_INC_x,JBOG FP Equity_DX_BROKER_SI_QTY_ADD,JBOG FP Equity_DX_SUPPLY_SI_MV_DEC,JBOG FP Equity_DX_BROKER_SI_QTY_INC,JBOG FP Equity_DX_SUPPLY_SI_QTY_DEC,JBOG FP Equity_DX_BROKER_SI_MV_INC_y,JBOG FP Equity_DX_SUPPLY_SI_QTY_INC_y,JBOG FP Equity_DX_BROKER_SI_MV_ADD,JBOG FP Equity_DX_SUPPLY_SI_QTY_ADD,JBOG FP Equity_DX_BROKER_SI_QTY_DEC,JBOG FP Equity_DX_SUPPLY_SI_MV,JBOG FP Equity_DX_BROKER_SI_MV_DEC,JBOG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,JBOG FP Equity_DX_UTILIZATION_QUANTITY,JBOG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,JBOG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,JBOG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,JBOG FP Equity_DX_ACTIVE_UTILIZATION_MV,JBOG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,JBOG FP Equity_DX_BROKER_SI_CON_RATIO,JBOG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,JBOG FP Equity_DX_DEMAND_SUPPLY_RATIO,JBOG FP Equity_PX_LAST
1989-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.777
1989-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.539
1989-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.301
1989-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.322
1989-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.74
1989-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.204
1989-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.112
1989-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.874
1989-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96
1989-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.579
1989-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.417
1989-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.484
1989-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.957
1989-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.637
1989-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.417
1989-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.35
1989-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.237
1989-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.588
1989-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.13
1989-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.216
1989-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.13
1989-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.13
1989-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.198
1989-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.57
1989-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.728
1989-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.314
1989-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.533
1989-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.107
1989-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.192
1989-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.668
1989-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.308
1989-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.972
1990-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.497
1990-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.326
1990-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.262
1990-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.223
1990-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.055
1990-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.04
1990-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.445
1990-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.479
1990-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.869
1990-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.259
1990-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.54
1990-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.631
1990-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.695
1990-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.735
1990-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.497
1990-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.735
1990-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.668
1990-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.887
1990-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.668
1990-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.82
1990-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.658
1990-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.259
1990-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.717
1990-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.564
1990-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.82
1990-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.363
1990-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.363
1990-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.363
1990-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.735
1990-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.107
1990-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.021
1990-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.101
1990-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.735
1990-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.735
1990-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.972
1990-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.07
1990-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.631
1990-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.412
1990-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.784
1990-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.412
1990-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.32
1990-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.436
1990-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.793
1990-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.021
1990-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.021
1990-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.021
1990-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.588
1990-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.021
1990-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.936
1990-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.698
1990-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.25
1990-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.954
1990-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.259
1990-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.241
1990-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.461
1990-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.458
1990-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.68
1990-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.985
1990-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9
1990-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.833
1990-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.034
1990-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.918
1990-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.644
1990-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.662
1990-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.644
1990-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.644
1990-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.686
1990-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.653
1990-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.205
1990-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.936
1990-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.089
1990-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.308
1990-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.546
1990-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.241
1990-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.308
1990-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.165
1990-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.055
1990-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.241
1990-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.622
1990-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.918
1990-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.156
1990-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.07
1990-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.308
1990-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.698
1990-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.07
1990-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.698
1990-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.461
1990-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.622
1990-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.07
1990-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.375
1990-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.851
1990-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.851
1990-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.698
1990-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.089
1990-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.936
1990-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.784
1990-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.613
1990-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.833
1990-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.308
1990-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.528
1990-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.528
1990-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.308
1990-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.308
1990-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.936
1990-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.308
1990-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.604
1990-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.461
1990-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.781
1990-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.848
1990-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.921
1990-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.763
1990-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.455
1990-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.239
1990-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.068
1990-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.099
1990-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.894
1990-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.961
1990-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.285
1990-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.285
1990-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.504
1990-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.571
1990-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.419
1990-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.858
1990-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.23
1990-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.874
1990-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.974
1990-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.364
1990-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.23
1990-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.553
1990-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.248
1990-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.724
1990-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.285
1990-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.339
1990-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.174
1990-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.543
1990-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.613
1990-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.641
1990-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.744
1990-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.882
1990-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.644
1990-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.223
1990-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.577
1990-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.308
1990-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.308
1990-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.138
1990-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.196
1990-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.729
1990-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.119
1990-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.644
1990-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.168
1990-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.016
1990-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.693
1990-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.845
1990-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.15
1990-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.15
1990-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.455
1990-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.54
1990-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.54
1990-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.479
1990-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.693
1990-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.236
1990-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.406
1990-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.644
1990-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.339
1990-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.805
1990-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.281
1990-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.625
1990-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.595
1990-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.595
1990-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.869
1990-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.595
1990-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.976
1990-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.833
1990-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.357
1990-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.187
1990-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.406
1990-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.644
1990-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.406
1990-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.711
1990-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.33
1990-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.644
1990-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.339
1990-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.052
1990-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.985
1990-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.101
1990-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.985
1990-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.442
1990-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.872
1990-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.546
1990-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.918
1990-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.595
1990-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.357
1990-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.223
1990-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.68
1990-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.156
1990-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.156
1990-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.528
1990-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.003
1990-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.021
1990-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.055
1990-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.427
1990-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.784
1990-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.247
1990-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.156
1990-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.156
1990-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.156
1990-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.156
1990-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.11
1990-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.851
