,FCMC FP Equity_DX_SI_QTY,FCMC FP Equity_DX_SHORT_INTEREST_VALUE,FCMC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,FCMC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,FCMC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,FCMC FP Equity_DX_SI_MV,FCMC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,FCMC FP Equity_DX_SUPPLY_SI_QTY,FCMC FP Equity_DX_BROKER_SI_QTY,FCMC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,FCMC FP Equity_DX_SUPPLY_SI_MV,FCMC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,FCMC FP Equity_DX_UTILIZATION_QUANTITY,FCMC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,FCMC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,FCMC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,FCMC FP Equity_DX_ACTIVE_UTILIZATION_MV,FCMC FP Equity_DX_BROKER_SI_CON_RATIO,FCMC FP Equity_DX_DEMAND_SUPPLY_RATIO,FCMC FP Equity_PX_LAST
1992-06-26,,,,,,,,,,,,,,,,,,,,493.935
1992-06-29,,,,,,,,,,,,,,,,,,,,541.194
1992-06-30,,,,,,,,,,,,,,,,,,,,564.061
1992-07-01,,,,,,,,,,,,,,,,,,,,565.586
1992-07-10,,,,,,,,,,,,,,,,,,,,510.552
1992-07-15,,,,,,,,,,,,,,,,,,,,465.274
1992-07-16,,,,,,,,,,,,,,,,,,,,480.214
1992-07-21,,,,,,,,,,,,,,,,,,,,458.262
1992-07-23,,,,,,,,,,,,,,,,,,,,458.262
1992-07-24,,,,,,,,,,,,,,,,,,,,458.262
1992-07-27,,,,,,,,,,,,,,,,,,,,458.262
1992-07-28,,,,,,,,,,,,,,,,,,,,457.347
1992-08-04,,,,,,,,,,,,,,,,,,,,457.347
1992-08-07,,,,,,,,,,,,,,,,,,,,480.214
1992-08-10,,,,,,,,,,,,,,,,,,,,492.41
1992-08-11,,,,,,,,,,,,,,,,,,,,472.592
1992-08-14,,,,,,,,,,,,,,,,,,,,483.263
1992-08-18,,,,,,,,,,,,,,,,,,,,483.263
1992-08-19,,,,,,,,,,,,,,,,,,,,493.935
1992-08-20,,,,,,,,,,,,,,,,,,,,503.082
1992-08-21,,,,,,,,,,,,,,,,,,,,518.327
1992-08-24,,,,,,,,,,,,,,,,,,,,533.419
1992-08-25,,,,,,,,,,,,,,,,,,,,533.419
1992-08-26,,,,,,,,,,,,,,,,,,,,518.327
1992-08-27,,,,,,,,,,,,,,,,,,,,525.949
1992-08-28,,,,,,,,,,,,,,,,,,,,533.419
1992-08-31,,,,,,,,,,,,,,,,,,,,559.945
1992-09-01,,,,,,,,,,,,,,,,,,,,573.971
1992-09-02,,,,,,,,,,,,,,,,,,,,578.544
1992-09-07,,,,,,,,,,,,,,,,,,,,586.166
1992-09-08,,,,,,,,,,,,,,,,,,,,594.551
1992-09-10,,,,,,,,,,,,,,,,,,,,594.551
1992-09-14,,,,,,,,,,,,,,,,,,,,600.649
1992-09-15,,,,,,,,,,,,,,,,,,,,600.649
1992-09-16,,,,,,,,,,,,,,,,,,,,542.109
1992-09-17,,,,,,,,,,,,,,,,,,,,518.632
1992-09-24,,,,,,,,,,,,,,,,,,,,518.479
1992-10-07,,,,,,,,,,,,,,,,,,,,571.531
1992-10-08,,,,,,,,,,,,,,,,,,,,574.733
1992-10-09,,,,,,,,,,,,,,,,,,,,579.306
1992-10-13,,,,,,,,,,,,,,,,,,,,593.789
1992-10-14,,,,,,,,,,,,,,,,,,,,594.551
1992-10-15,,,,,,,,,,,,,,,,,,,,601.411
1992-10-16,,,,,,,,,,,,,,,,,,,,602.174
1992-10-20,,,,,,,,,,,,,,,,,,,,609.034
1992-10-21,,,,,,,,,,,,,,,,,,,,609.034
1992-10-26,,,,,,,,,,,,,,,,,,,,609.034
1992-10-27,,,,,,,,,,,,,,,,,,,,594.551
1992-10-28,,,,,,,,,,,,,,,,,,,,548.816
1992-10-29,,,,,,,,,,,,,,,,,,,,579.306
1992-11-05,,,,,,,,,,,,,,,,,,,,594.551
1992-11-06,,,,,,,,,,,,,,,,,,,,609.034
1992-11-10,,,,,,,,,,,,,,,,,,,,609.034
1992-11-12,,,,,,,,,,,,,,,,,,,,609.796
1992-11-16,,,,,,,,,,,,,,,,,,,,609.796
1992-11-19,,,,,,,,,,,,,,,,,,,,550.341
1992-11-20,,,,,,,,,,,,,,,,,,,,577.782
1992-11-23,,,,,,,,,,,,,,,,,,,,608.272
1992-11-24,,,,,,,,,,,,,,,,,,,,608.881
1992-11-25,,,,,,,,,,,,,,,,,,,,606.747
1992-11-26,,,,,,,,,,,,,,,,,,,,608.272
1992-11-30,,,,,,,,,,,,,,,,,,,,608.729
1992-12-03,,,,,,,,,,,,,,,,,,,,550.341
1992-12-07,,,,,,,,,,,,,,,,,,,,551.865
1992-12-10,,,,,,,,,,,,,,,,,,,,579.306
1992-12-11,,,,,,,,,,,,,,,,,,,,579.306
1992-12-14,,,,,,,,,,,,,,,,,,,,586.929
1992-12-15,,,,,,,,,,,,,,,,,,,,606.595
1992-12-16,,,,,,,,,,,,,,,,,,,,583.88
1992-12-17,,,,,,,,,,,,,,,,,,,,602.174
1992-12-18,,,,,,,,,,,,,,,,,,,,602.021
1992-12-21,,,,,,,,,,,,,,,,,,,,602.174
1992-12-22,,,,,,,,,,,,,,,,,,,,602.174
1992-12-23,,,,,,,,,,,,,,,,,,,,600.649
1992-12-28,,,,,,,,,,,,,,,,,,,,594.551
1992-12-31,,,,,,,,,,,,,,,,,,,,602.174
1993-01-04,,,,,,,,,,,,,,,,,,,,607.509
1993-01-05,,,,,,,,,,,,,,,,,,,,548.816
1993-01-06,,,,,,,,,,,,,,,,,,,,564.061
1993-01-07,,,,,,,,,,,,,,,,,,,,592.264
1993-01-11,,,,,,,,,,,,,,,,,,,,562.689
1993-01-14,,,,,,,,,,,,,,,,,,,,562.689
1993-01-15,,,,,,,,,,,,,,,,,,,,608.272
1993-01-18,,,,,,,,,,,,,,,,,,,,609.796
1993-01-20,,,,,,,,,,,,,,,,,,,,579.306
1993-01-21,,,,,,,,,,,,,,,,,,,,608.272
1993-01-26,,,,,,,,,,,,,,,,,,,,578.087
1993-01-29,,,,,,,,,,,,,,,,,,,,607.509
1993-02-02,,,,,,,,,,,,,,,,,,,,607.509
1993-02-03,,,,,,,,,,,,,,,,,,,,608.272
1993-02-05,,,,,,,,,,,,,,,,,,,,670.623
1993-02-08,,,,,,,,,,,,,,,,,,,,608.272
1993-02-09,,,,,,,,,,,,,,,,,,,,577.934
1993-02-12,,,,,,,,,,,,,,,,,,,,608.272
1993-02-15,,,,,,,,,,,,,,,,,,,,609.034
1993-02-16,,,,,,,,,,,,,,,,,,,,609.491
1993-02-17,,,,,,,,,,,,,,,,,,,,608.272
1993-02-18,,,,,,,,,,,,,,,,,,,,578.544
1993-02-19,,,,,,,,,,,,,,,,,,,,564.061
1993-02-26,,,,,,,,,,,,,,,,,,,,608.272
1993-03-02,,,,,,,,,,,,,,,,,,,,608.272
1993-03-03,,,,,,,,,,,,,,,,,,,,608.272
1993-03-04,,,,,,,,,,,,,,,,,,,,608.272
1993-03-05,,,,,,,,,,,,,,,,,,,,608.272
1993-03-08,,,,,,,,,,,,,,,,,,,,608.272
1993-03-11,,,,,,,,,,,,,,,,,,,,609.796
1993-03-18,,,,,,,,,,,,,,,,,,,,609.796
1993-03-23,,,,,,,,,,,,,,,,,,,,608.272
1993-03-29,,,,,,,,,,,,,,,,,,,,608.272
1993-04-14,,,,,,,,,,,,,,,,,,,,606.747
1993-04-15,,,,,,,,,,,,,,,,,,,,576.41
1993-04-16,,,,,,,,,,,,,,,,,,,,576.41
1993-04-19,,,,,,,,,,,,,,,,,,,,577.02
1993-04-27,,,,,,,,,,,,,,,,,,,,573.513
1993-04-29,,,,,,,,,,,,,,,,,,,,576.257
1993-05-05,,,,,,,,,,,,,,,,,,,,564.824
1993-05-06,,,,,,,,,,,,,,,,,,,,564.824
1993-05-10,,,,,,,,,,,,,,,,,,,,565.281
1993-05-18,,,,,,,,,,,,,,,,,,,,591.502
1993-05-25,,,,,,,,,,,,,,,,,,,,602.174
1993-05-26,,,,,,,,,,,,,,,,,,,,609.034
1993-06-04,,,,,,,,,,,,,,,,,,,,549.731
1993-06-07,,,,,,,,,,,,,,,,,,,,605.985
1993-06-17,,,,,,,,,,,,,,,,,,,,546.987
1993-06-18,,,,,,,,,,,,,,,,,,,,493.782
1993-06-21,,,,,,,,,,,,,,,,,,,,504.606
1993-06-24,,,,,,,,,,,,,,,,,,,,550.341
1993-06-25,,,,,,,,,,,,,,,,,,,,606.747
1993-07-02,,,,,,,,,,,,,,,,,,,,606.747
1993-07-05,,,,,,,,,,,,,,,,,,,,612.845
1993-07-06,,,,,,,,,,,,,,,,,,,,612.845
1993-07-08,,,,,,,,,,,,,,,,,,,,609.034
1993-07-09,,,,,,,,,,,,,,,,,,,,549.731
1993-07-12,,,,,,,,,,,,,,,,,,,,533.724
1993-07-19,,,,,,,,,,,,,,,,,,,,588.301
1993-07-20,,,,,,,,,,,,,,,,,,,,602.021
1993-07-22,,,,,,,,,,,,,,,,,,,,606.747
1993-07-23,,,,,,,,,,,,,,,,,,,,609.034
1993-07-26,,,,,,,,,,,,,,,,,,,,671.385
1993-07-27,,,,,,,,,,,,,,,,,,,,705.839
1993-07-28,,,,,,,,,,,,,,,,,,,,763.77
1993-07-29,,,,,,,,,,,,,,,,,,,,754.623
1993-07-30,,,,,,,,,,,,,,,,,,,,745.476
1993-08-02,,,,,,,,,,,,,,,,,,,,762.245
1993-08-03,,,,,,,,,,,,,,,,,,,,785.112
1993-08-04,,,,,,,,,,,,,,,,,,,,762.245
1993-08-05,,,,,,,,,,,,,,,,,,,,762.245
1993-08-06,,,,,,,,,,,,,,,,,,,,754.623
1993-08-09,,,,,,,,,,,,,,,,,,,,754.623
1993-08-10,,,,,,,,,,,,,,,,,,,,762.245
1993-08-11,,,,,,,,,,,,,,,,,,,,762.245
1993-08-13,,,,,,,,,,,,,,,,,,,,763.77
1993-08-17,,,,,,,,,,,,,,,,,,,,763.77
1993-08-19,,,,,,,,,,,,,,,,,,,,763.77
1993-08-23,,,,,,,,,,,,,,,,,,,,762.245
1993-08-25,,,,,,,,,,,,,,,,,,,,747.0
1993-08-26,,,,,,,,,,,,,,,,,,,,759.196
1993-08-27,,,,,,,,,,,,,,,,,,,,742.427
1993-08-30,,,,,,,,,,,,,,,,,,,,754.623
1993-08-31,,,,,,,,,,,,,,,,,,,,768.343
1993-09-01,,,,,,,,,,,,,,,,,,,,768.343
1993-09-02,,,,,,,,,,,,,,,,,,,,777.49
1993-09-06,,,,,,,,,,,,,,,,,,,,747.0
1993-09-10,,,,,,,,,,,,,,,,,,,,747.0
1993-09-13,,,,,,,,,,,,,,,,,,,,747.0
1993-09-14,,,,,,,,,,,,,,,,,,,,743.951
1993-09-21,,,,,,,,,,,,,,,,,,,,747.0
1993-09-22,,,,,,,,,,,,,,,,,,,,743.951
1993-09-24,,,,,,,,,,,,,,,,,,,,743.951
1993-09-27,,,,,,,,,,,,,,,,,,,,739.378
1993-09-29,,,,,,,,,,,,,,,,,,,,775.965
1993-09-30,,,,,,,,,,,,,,,,,,,,750.049
1993-10-01,,,,,,,,,,,,,,,,,,,,762.245
1993-10-05,,,,,,,,,,,,,,,,,,,,754.623
1993-10-06,,,,,,,,,,,,,,,,,,,,754.623
1993-10-07,,,,,,,,,,,,,,,,,,,,731.755
1993-10-13,,,,,,,,,,,,,,,,,,,,731.755
1993-10-15,,,,,,,,,,,,,,,,,,,,660.409
1993-10-18,,,,,,,,,,,,,,,,,,,,634.493
1993-10-27,,,,,,,,,,,,,,,,,,,,666.202
1993-10-28,,,,,,,,,,,,,,,,,,,,734.347
1993-10-29,,,,,,,,,,,,,,,,,,,,760.721
1993-11-02,,,,,,,,,,,,,,,,,,,,777.49
1993-11-05,,,,,,,,,,,,,,,,,,,,777.49
1993-11-12,,,,,,,,,,,,,,,,,,,,760.721
1993-11-22,,,,,,,,,,,,,,,,,,,,756.909
1993-11-24,,,,,,,,,,,,,,,,,,,,655.988
1993-11-29,,,,,,,,,,,,,,,,,,,,666.202
1993-12-09,,,,,,,,,,,,,,,,,,,,731.755
1993-12-10,,,,,,,,,,,,,,,,,,,,731.908
1993-12-13,,,,,,,,,,,,,,,,,,,,754.623
1993-12-14,,,,,,,,,,,,,,,,,,,,754.623
1993-12-15,,,,,,,,,,,,,,,,,,,,754.623
1993-12-16,,,,,,,,,,,,,,,,,,,,754.623
1993-12-17,,,,,,,,,,,,,,,,,,,,754.623
1993-12-20,,,,,,,,,,,,,,,,,,,,754.623
1993-12-21,,,,,,,,,,,,,,,,,,,,754.623
1993-12-22,,,,,,,,,,,,,,,,,,,,754.623
1993-12-23,,,,,,,,,,,,,,,,,,,,754.623
1993-12-27,,,,,,,,,,,,,,,,,,,,762.245
1993-12-30,,,,,,,,,,,,,,,,,,,,754.623
1994-01-03,,,,,,,,,,,,,,,,,,,,760.721
1994-01-07,,,,,,,,,,,,,,,,,,,,700.503
1994-01-10,,,,,,,,,,,,,,,,,,,,688.307
1994-01-14,,,,,,,,,,,,,,,,,,,,690.594
1994-01-18,,,,,,,,,,,,,,,,,,,,759.044
1994-01-19,,,,,,,,,,,,,,,,,,,,762.245
1994-04-05,,,,,,,,,,,,,,,,,,,,914.694
1994-04-06,,,,,,,,,,,,,,,,,,,,913.17
1994-04-11,,,,,,,,,,,,,,,,,,,,795.784
1994-04-14,,,,,,,,,,,,,,,,,,,,785.112
1994-04-18,,,,,,,,,,,,,,,,,,,,792.735
1994-04-21,,,,,,,,,,,,,,,,,,,,783.588
1994-04-22,,,,,,,,,,,,,,,,,,,,779.014
1994-04-25,,,,,,,,,,,,,,,,,,,,792.735
1994-07-12,,,,,,,,,,,,,,,,,,,,674.282
1994-07-13,,,,,,,,,,,,,,,,,,,,608.576
1994-07-18,,,,,,,,,,,,,,,,,,,,611.778
1994-07-19,,,,,,,,,,,,,,,,,,,,640.286
1994-07-20,,,,,,,,,,,,,,,,,,,,700.503
1994-07-21,,,,,,,,,,,,,,,,,,,,657.055
1994-07-25,,,,,,,,,,,,,,,,,,,,685.258
1994-08-02,,,,,,,,,,,,,,,,,,,,685.258
1994-08-03,,,,,,,,,,,,,,,,,,,,686.021
1994-08-04,,,,,,,,,,,,,,,,,,,,686.021
1994-09-15,,,,,,,,,,,,,,,,,,,,678.398
1994-09-16,,,,,,,,,,,,,,,,,,,,678.398
1994-09-19,,,,,,,,,,,,,,,,,,,,686.021
1994-09-20,,,,,,,,,,,,,,,,,,,,701.265
1994-09-22,,,,,,,,,,,,,,,,,,,,686.021
1994-09-27,,,,,,,,,,,,,,,,,,,,686.021
1994-10-04,,,,,,,,,,,,,,,,,,,,678.398
1994-10-05,,,,,,,,,,,,,,,,,,,,684.496
1994-10-11,,,,,,,,,,,,,,,,,,,,655.531
1994-10-21,,,,,,,,,,,,,,,,,,,,591.655
1994-10-24,,,,,,,,,,,,,,,,,,,,534.029
1994-10-25,,,,,,,,,,,,,,,,,,,,588.606
1994-10-26,,,,,,,,,,,,,,,,,,,,609.796
1994-10-28,,,,,,,,,,,,,,,,,,,,609.796
1994-11-10,,,,,,,,,,,,,,,,,,,,609.796
1994-11-15,,,,,,,,,,,,,,,,,,,,594.551
1994-11-17,,,,,,,,,,,,,,,,,,,,594.551
1994-11-18,,,,,,,,,,,,,,,,,,,,536.621
1994-11-21,,,,,,,,,,,,,,,,,,,,510.857
1994-11-22,,,,,,,,,,,,,,,,,,,,533.572
1994-11-23,,,,,,,,,,,,,,,,,,,,533.114
1994-11-24,,,,,,,,,,,,,,,,,,,,518.327
1994-11-25,,,,,,,,,,,,,,,,,,,,511.466
1994-11-28,,,,,,,,,,,,,,,,,,,,518.479
1994-11-29,,,,,,,,,,,,,,,,,,,,532.047
1994-11-30,,,,,,,,,,,,,,,,,,,,556.439
1994-12-02,,,,,,,,,,,,,,,,,,,,512.381
1994-12-05,,,,,,,,,,,,,,,,,,,,564.824
1994-12-06,,,,,,,,,,,,,,,,,,,,579.306
1994-12-08,,,,,,,,,,,,,,,,,,,,579.306
1994-12-09,,,,,,,,,,,,,,,,,,,,564.824
1994-12-12,,,,,,,,,,,,,,,,,,,,564.824
1994-12-20,,,,,,,,,,,,,,,,,,,,573.208
1994-12-21,,,,,,,,,,,,,,,,,,,,534.486
1994-12-22,,,,,,,,,,,,,,,,,,,,515.735
1994-12-27,,,,,,,,,,,,,,,,,,,,568.482
1994-12-28,,,,,,,,,,,,,,,,,,,,579.306
1994-12-29,,,,,,,,,,,,,,,,,,,,586.929
1994-12-30,,,,,,,,,,,,,,,,,,,,612.845
1995-01-03,,,,,,,,,,,,,,,,,,,,640.591
1995-01-04,,,,,,,,,,,,,,,,,,,,699.741
1995-01-05,,,,,,,,,,,,,,,,,,,,699.741
1995-01-09,,,,,,,,,,,,,,,,,,,,655.531
1995-01-10,,,,,,,,,,,,,,,,,,,,640.286
1995-01-18,,,,,,,,,,,,,,,,,,,,686.021
1995-01-19,,,,,,,,,,,,,,,,,,,,670.776
1995-01-25,,,,,,,,,,,,,,,,,,,,670.776
1995-02-02,,,,,,,,,,,,,,,,,,,,605.375
1995-02-03,,,,,,,,,,,,,,,,,,,,546.53
1995-02-06,,,,,,,,,,,,,,,,,,,,602.174
1995-02-07,,,,,,,,,,,,,,,,,,,,602.174
1995-02-10,,,,,,,,,,,,,,,,,,,,609.796
1995-02-13,,,,,,,,,,,,,,,,,,,,609.796
1995-02-15,,,,,,,,,,,,,,,,,,,,638.761
1995-02-16,,,,,,,,,,,,,,,,,,,,639.981
1995-02-22,,,,,,,,,,,,,,,,,,,,632.663
1995-02-24,,,,,,,,,,,,,,,,,,,,606.747
1995-02-28,,,,,,,,,,,,,,,,,,,,609.796
1995-03-02,,,,,,,,,,,,,,,,,,,,634.188
1995-03-07,,,,,,,,,,,,,,,,,,,,632.663
1995-04-04,,,,,,,,,,,,,,,,,,,,609.796
1995-04-07,,,,,,,,,,,,,,,,,,,,564.061
1995-04-13,,,,,,,,,,,,,,,,,,,,621.84
1995-04-18,,,,,,,,,,,,,,,,,,,,685.411
1995-04-19,,,,,,,,,,,,,,,,,,,,755.537
1995-04-20,,,,,,,,,,,,,,,,,,,,832.372
1995-04-21,,,,,,,,,,,,,,,,,,,,777.49
1995-04-24,,,,,,,,,,,,,,,,,,,,701.723
1995-04-25,,,,,,,,,,,,,,,,,,,,772.917
1995-04-26,,,,,,,,,,,,,,,,,,,,762.093
1995-04-27,,,,,,,,,,,,,,,,,,,,762.093
1995-04-28,,,,,,,,,,,,,,,,,,,,777.49
1995-05-02,,,,,,,,,,,,,,,,,,,,762.093
1995-05-03,,,,,,,,,,,,,,,,,,,,759.196
1995-05-04,,,,,,,,,,,,,,,,,,,,751.879
1995-05-09,,,,,,,,,,,,,,,,,,,,751.574
1995-05-10,,,,,,,,,,,,,,,,,,,,748.525
1995-05-11,,,,,,,,,,,,,,,,,,,,748.525
1995-05-17,,,,,,,,,,,,,,,,,,,,675.654
1995-05-18,,,,,,,,,,,,,,,,,,,,611.625
1995-05-22,,,,,,,,,,,,,,,,,,,,674.13
1995-05-23,,,,,,,,,,,,,,,,,,,,707.821
1995-05-26,,,,,,,,,,,,,,,,,,,,676.111
1995-05-29,,,,,,,,,,,,,,,,,,,,676.111
1995-06-06,,,,,,,,,,,,,,,,,,,,676.111
1995-06-07,,,,,,,,,,,,,,,,,,,,676.111
1995-06-08,,,,,,,,,,,,,,,,,,,,676.111
1995-06-12,,,,,,,,,,,,,,,,,,,,676.111
1995-06-13,,,,,,,,,,,,,,,,,,,,676.111
1995-06-20,,,,,,,,,,,,,,,,,,,,610.406
1995-06-21,,,,,,,,,,,,,,,,,,,,612.845
1995-06-28,,,,,,,,,,,,,,,,,,,,553.542
1995-07-03,,,,,,,,,,,,,,,,,,,,607.357
1995-07-06,,,,,,,,,,,,,,,,,,,,669.556
1995-07-07,,,,,,,,,,,,,,,,,,,,702.79
1995-07-18,,,,,,,,,,,,,,,,,,,,701.265
1995-07-20,,,,,,,,,,,,,,,,,,,,701.265
1995-07-25,,,,,,,,,,,,,,,,,,,,701.265
1995-07-27,,,,,,,,,,,,,,,,,,,,633.426
1995-07-31,,,,,,,,,,,,,,,,,,,,609.796
1995-08-03,,,,,,,,,,,,,,,,,,,,614.522
1995-08-22,,,,,,,,,,,,,,,,,,,,614.522
1995-08-23,,,,,,,,,,,,,,,,,,,,614.37
1995-08-24,,,,,,,,,,,,,,,,,,,,609.796
1995-08-25,,,,,,,,,,,,,,,,,,,,609.796
1995-08-28,,,,,,,,,,,,,,,,,,,,609.796
1995-08-31,,,,,,,,,,,,,,,,,,,,609.796
1995-09-04,,,,,,,,,,,,,,,,,,,,609.644
1995-09-05,,,,,,,,,,,,,,,,,,,,579.306
1995-09-08,,,,,,,,,,,,,,,,,,,,579.306
1995-09-14,,,,,,,,,,,,,,,,,,,,608.272
1995-09-19,,,,,,,,,,,,,,,,,,,,608.272
1995-10-03,,,,,,,,,,,,,,,,,,,,549.121
1995-10-04,,,,,,,,,,,,,,,,,,,,521.681
1995-10-05,,,,,,,,,,,,,,,,,,,,575.038
1995-10-06,,,,,,,,,,,,,,,,,,,,602.021
1995-10-09,,,,,,,,,,,,,,,,,,,,573.208
1995-10-11,,,,,,,,,,,,,,,,,,,,517.564
1995-10-12,,,,,,,,,,,,,,,,,,,,519.851
1995-10-13,,,,,,,,,,,,,,,,,,,,545.767
1995-10-16,,,,,,,,,,,,,,,,,,,,525.949
1995-10-19,,,,,,,,,,,,,,,,,,,,503.082
1995-10-20,,,,,,,,,,,,,,,,,,,,503.082
1995-10-23,,,,,,,,,,,,,,,,,,,,503.082
1995-10-26,,,,,,,,,,,,,,,,,,,,503.082
1995-11-06,,,,,,,,,,,,,,,,,,,,510.704
1995-11-09,,,,,,,,,,,,,,,,,,,,507.655
1995-11-10,,,,,,,,,,,,,,,,,,,,507.655
1995-11-14,,,,,,,,,,,,,,,,,,,,510.704
1995-11-15,,,,,,,,,,,,,,,,,,,,496.984
1995-11-20,,,,,,,,,,,,,,,,,,,,510.704
1995-11-21,,,,,,,,,,,,,,,,,,,,487.837
1995-12-05,,,,,,,,,,,,,,,,,,,,487.837
1995-12-18,,,,,,,,,,,,,,,,,,,,487.837
1995-12-19,,,,,,,,,,,,,,,,,,,,476.403
1995-12-21,,,,,,,,,,,,,,,,,,,,466.494
1995-12-29,,,,,,,,,,,,,,,,,,,,476.403
1996-01-02,,,,,,,,,,,,,,,,,,,,495.459
1996-01-04,,,,,,,,,,,,,,,,,,,,495.459
1996-01-05,,,,,,,,,,,,,,,,,,,,503.234
1996-01-08,,,,,,,,,,,,,,,,,,,,518.327
1996-01-09,,,,,,,,,,,,,,,,,,,,541.194
1996-01-16,,,,,,,,,,,,,,,,,,,,564.061
1996-02-09,,,,,,,,,,,,,,,,,,,,535.858
1996-02-12,,,,,,,,,,,,,,,,,,,,509.18
1996-02-13,,,,,,,,,,,,,,,,,,,,533.572
1996-02-14,,,,,,,,,,,,,,,,,,,,533.572
1996-02-16,,,,,,,,,,,,,,,,,,,,535.096
1996-02-26,,,,,,,,,,,,,,,,,,,,533.572
1996-02-27,,,,,,,,,,,,,,,,,,,,533.572
1996-03-05,,,,,,,,,,,,,,,,,,,,533.572
1996-03-07,,,,,,,,,,,,,,,,,,,,548.816
1996-03-13,,,,,,,,,,,,,,,,,,,,548.816
1996-03-15,,,,,,,,,,,,,,,,,,,,548.969
1996-03-18,,,,,,,,,,,,,,,,,,,,564.061
1996-03-19,,,,,,,,,,,,,,,,,,,,603.851
1996-03-22,,,,,,,,,,,,,,,,,,,,579.611
1996-03-25,,,,,,,,,,,,,,,,,,,,579.306
1996-04-09,,,,,,,,,,,,,,,,,,,,606.747
1996-04-16,,,,,,,,,,,,,,,,,,,,587.691
1996-04-24,,,,,,,,,,,,,,,,,,,,530.523
1996-04-25,,,,,,,,,,,,,,,,,,,,518.479
1996-05-02,,,,,,,,,,,,,,,,,,,,571.531
1996-05-03,,,,,,,,,,,,,,,,,,,,629.919
1996-05-13,,,,,,,,,,,,,,,,,,,,569.702
1996-05-22,,,,,,,,,,,,,,,,,,,,533.724
1996-05-28,,,,,,,,,,,,,,,,,,,,533.572
