,MDM FP Equity_DX_SI_QTY,MDM FP Equity_DX_SHORT_INTEREST_VALUE,MDM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MDM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MDM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MDM FP Equity_DX_SI_MV,MDM FP Equity_DX_DSS,MDM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MDM FP Equity_DX_SUPPLY_SI_QTY,MDM FP Equity_DX_BROKER_SI_QTY,MDM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MDM FP Equity_DX_BROKER_SI_MV_NEW_x,MDM FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MDM FP Equity_DX_SUPPLY_SI_QTY_INC_x,MDM FP Equity_DX_BROKER_SI_MV_INC_x,MDM FP Equity_DX_SUPPLY_SI_MV_NEW,MDM FP Equity_DX_BROKER_SI_QTY_ADD,MDM FP Equity_DX_BROKER_SI_QTY_NEW,MDM FP Equity_DX_SUPPLY_SI_MV_DEC,MDM FP Equity_DX_BROKER_SI_QTY_INC,MDM FP Equity_DX_SUPPLY_SI_QTY_DEC,MDM FP Equity_DX_BROKER_SI_MV_NEW_y,MDM FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MDM FP Equity_DX_BROKER_SI_MV_INC_y,MDM FP Equity_DX_SUPPLY_SI_QTY_INC_y,MDM FP Equity_DX_BROKER_SI_MV_ADD,MDM FP Equity_DX_SUPPLY_SI_QTY_ADD,MDM FP Equity_DX_BROKER_SI_QTY_DEC,MDM FP Equity_DX_SUPPLY_SI_MV,MDM FP Equity_DX_BROKER_SI_MV_DEC,MDM FP Equity_DX_SUPPLY_SI_MV_RMV,MDM FP Equity_DX_BROKER_SI_MV_RMV,MDM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MDM FP Equity_DX_UTILIZATION_QUANTITY,MDM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MDM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MDM FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MDM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MDM FP Equity_DX_ACTIVE_UTILIZATION_MV,MDM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MDM FP Equity_DX_BROKER_SI_CON_RATIO,MDM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MDM FP Equity_DX_DEMAND_SUPPLY_RATIO
2016-06-13,38774.0,733531.34,0.09,0.29,0.09,0.75,0.0,0.0,38774.0,0.0,733531.34,,,,,,,,2.87,,150000.0,,,,,,,,0.75,,,,1.29,1.29,2967023.0,56130509.23,,55.23,1.33,,1.0,100.0,0.0129
2016-06-14,59812.0,1110795.98,0.13,0.43,0.13,1.13,0.0,0.0,59812.0,0.0,1110795.98,,,21038.0,,,,,,,,,,,21038.0,,,,1.13,,,,1.98,1.98,2963726.0,55040709.6,,54.95,2.02,,1.0,100.0,0.0198
2016-06-15,102812.0,1963340.11,0.23,0.73,0.23,1.94,0.0,0.0,102812.0,0.0,1963340.11,,,43000.0,,,,,,,,,,,43000.0,,,,1.94,,,,45.54,3.4,122952.0,2347941.81,,2.37,45.08,,1.0,100.0,0.034
2016-06-16,102812.0,1934826.87,0.23,0.71,0.23,1.97,0.0,0.0,102812.0,0.0,1934826.87,,,,,,,,,,,,,,,,,,1.97,,,,45.54,3.4,122952.0,2313843.07,,2.32,45.94,,1.0,100.0,0.034
2016-06-17,132812.0,2552018.09,0.29,0.9,0.29,2.53,0.0,0.0,132812.0,0.0,2552018.09,,,,,,,,,,,,,,,,30000.0,,2.53,,,,4.38,4.38,2900433.0,55732595.61,,52.64,4.59,,1.0,100.0,0.0438
2016-06-20,132812.0,2541494.31,0.29,0.9,0.29,2.58,0.0,0.0,132812.0,0.0,2541494.31,,,,,,,,,,,,,,,,,,2.58,,,,4.35,4.35,2918133.0,55841478.19,,54.19,4.54,,1.0,100.0,0.0435
2016-06-21,132812.0,2466512.33,0.29,0.9,0.29,2.55,0.0,0.0,132812.0,0.0,2466512.33,,,,,,,,0.22,,11200.0,,,,,,11200.0,,2.55,,,,4.36,4.36,2916353.0,54160923.97,,54.41,4.48,,1.0,100.0,0.0436
2016-06-22,132812.0,2446780.23,0.29,0.9,0.29,2.49,0.0,0.0,132812.0,0.0,2446780.23,,,,,,,,,,,,,,,,,,2.49,,,,4.37,4.37,2905153.0,53521300.27,,52.35,4.53,,1.0,100.0,0.0437
2016-06-23,118427.0,2127809.35,0.26,0.79,0.26,2.19,0.0,0.0,118427.0,0.0,2127809.35,,,,,,,,0.28,,14385.0,,,,,,,,2.19,,,,3.86,3.86,2949908.0,53001780.17,,52.46,4.0,,1.0,100.0,0.0386
2016-06-24,62143.0,1120232.85,0.14,0.41,0.14,1.11,0.0,0.0,62143.0,0.0,1120232.85,,,,,,,,1.05,,56284.0,,,,,,,,1.11,,,,2.02,2.02,3020641.0,54452171.41,,53.49,2.03,,1.0,100.0,0.0202
2016-06-27,59972.0,1090007.04,0.13,0.39,0.13,1.09,0.0,0.0,59972.0,0.0,1090007.04,,,,,,,,0.03,,2171.0,,,,,,,,1.09,,,,1.95,1.95,3020809.0,54904006.49,,53.54,2.0,,1.0,100.0,0.0195
2016-06-28,59972.0,1075750.82,0.13,0.39,0.13,1.1,0.0,0.0,59972.0,0.0,1075750.82,,,,,,,,,,,,,,,,,,1.1,,,,1.96,1.96,3003875.0,53882161.45,,53.17,2.02,,1.0,100.0,0.0196
2016-06-29,34259.0,611129.29,0.08,0.22,0.08,0.62,0.0,0.0,34259.0,0.0,611129.29,,,,,,,,0.47,,25713.0,,,,,,,,0.62,,,,1.11,1.11,3045296.0,54323522.98,,53.25,1.15,,1.0,100.0,0.0111
2016-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.62,,34259.0,,,,,,,,0.0,,,,0.0,0.0,3074693.0,57131982.6,,53.98,0.0,,0.0,100.0,0.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3069067.0,56845053.32,,55.71,0.0,,0.0,,0.0
2016-07-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3048863.0,56621827.72,,55.2,0.0,,0.0,,0.0
2016-07-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3047632.0,56749896.84,,55.66,0.0,,0.0,,0.0
2016-07-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3051035.0,57417660.46,,55.7,0.0,,0.0,,0.0
2016-07-07,9433.0,176772.89,0.02,0.06,0.02,0.18,0.0,0.0,9433.0,0.0,176772.89,,,,,,,,,,,,,,,,9433.0,,0.18,,,,0.31,0.31,3034379.0,56863771.15,,55.87,0.32,,1.0,100.0,0.0031
2016-07-08,59812.0,1118497.5,0.13,0.36,0.13,1.13,0.0,1118497.5,0.0,59812.0,0.0,,,,,,59812.0,,0.18,,9433.0,,,,,1.13,,,0.0,,,,0.0,0.0,3058055.0,57186298.14,,56.04,0.0,,1.0,100.0,0.0196
2016-07-11,59812.0,1133900.53,0.13,0.94,0.13,1.14,0.0,1133900.53,0.0,59812.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3058055.0,57973821.31,,55.84,0.0,,1.0,100.0,0.0196
2016-07-12,69962.0,1319392.05,0.15,1.12,0.15,1.35,0.0,1127976.29,10150.0,59812.0,191415.76,,,,,,,,,,,,,,,,10150.0,,0.19,,,,0.33,0.33,3048200.0,57485075.34,,56.36,0.34,14.35,0.7542,85.65,0.0229
2016-07-13,30000.0,576755.16,0.07,0.55,0.07,0.57,0.0,288377.58,15000.0,15000.0,288377.58,,,,,,15000.0,,0.19,,10150.0,,,,,0.28,15000.0,59812.0,0.29,1.16,,,100.0,0.5,0.0,0.0,,0.0,100.0,19.87,1.0,100.0,0.0099
2016-07-14,16244.0,308110.47,0.04,0.31,0.04,0.32,0.0,284514.72,16244.0,15000.0,308110.47,,,,,,,,,,,,,,,,1244.0,,0.32,,,,17.98,0.54,74104.0,1405578.58,,1.44,17.98,7.6,0.8595,92.4,0.0054
2016-07-15,31244.0,600052.35,0.07,0.62,0.07,0.6,0.0,288080.44,16244.0,15000.0,311971.91,,,,,,,,,,,,,,,,,,0.31,,,,17.98,0.54,74104.0,1423194.19,,1.42,17.98,3.99,0.9234,96.01,0.0103
2016-07-18,53750.0,1024834.9,0.12,1.07,0.12,1.04,0.0,1024834.9,53750.0,53750.0,1024834.9,,,,,,45915.0,,0.14,,7165.0,,,,,0.88,44671.0,7165.0,1.03,0.13,,,1.78,1.78,2973318.0,56691349.6,,55.56,1.83,14.88,0.7082,82.79,0.0178
2016-07-19,82945.0,1572450.01,0.18,1.75,0.18,1.59,0.0,545035.12,54195.0,28750.0,1027414.89,,,,,,,,0.25,,13000.0,,,,,,13445.0,25000.0,1.04,0.48,,,1.79,1.79,2972391.0,56349825.2,,55.41,1.84,33.7,0.3733,47.28,0.0274
2016-07-20,39030.0,740307.3,0.09,0.86,0.09,0.77,0.0,740307.3,39030.0,39030.0,740307.3,,,,0.49,,,,0.29,24111.0,15165.0,,,0.49,,,,13831.0,0.75,0.26,,,1.29,1.29,2996018.0,56827414.69,,55.42,1.33,19.74,0.4931,65.83,0.0129
2016-07-21,37791.0,711191.71,0.08,0.85,0.08,0.75,0.0,711191.71,37791.0,37791.0,711191.71,,,,,,,,0.02,,1239.0,,,,,,,1239.0,0.72,0.02,,,1.16,1.16,3224556.0,60683165.4,,59.69,1.19,17.15,0.5147,68.08,0.0116
2016-07-22,37791.0,711191.71,0.08,0.87,0.08,0.74,0.0,711191.71,37791.0,37791.0,711191.71,,,,,,,,,,,,,,,,,,0.72,,,,1.16,1.16,3227838.0,60744929.61,,59.53,1.19,16.98,0.5148,68.09,0.0116
2016-07-25,52335.0,974529.03,0.12,1.36,0.12,1.01,0.0,582129.1,34518.0,31262.0,642759.01,,,,,,,,0.07,,3273.0,,,,,,,6529.0,0.65,0.13,,,7.08,1.05,453254.0,8440034.01,,8.58,7.07,21.79,0.4368,59.54,0.0159
2016-07-26,52335.0,982304.53,0.12,1.53,0.12,1.01,0.0,586773.75,34518.0,31262.0,647887.41,,,,,,,,,,,,,,,,,,0.65,,,,7.08,1.05,453254.0,8507374.71,,8.54,7.08,22.0,0.4364,59.47,0.0159
2016-07-27,46078.0,867145.4,0.1,1.46,0.1,0.89,0.0,447103.61,35765.0,23758.0,673064.26,,,,,,,,0.12,,6273.0,,,,,,7520.0,7504.0,0.68,0.14,,,1.08,1.08,3270965.0,61556539.91,,59.86,1.12,24.89,0.4158,56.5,0.0139
2016-07-28,40238.0,749271.02,0.09,1.41,0.09,0.78,0.0,473680.51,35765.0,25438.0,665979.38,,,,,,7520.0,,,,,,,,,0.15,,5840.0,0.68,0.11,,,1.07,1.07,3302965.0,61504447.72,,60.48,1.11,21.1,0.4854,64.91,0.0121
2016-07-29,34398.0,650745.63,0.08,1.3,0.08,0.67,0.0,481239.24,29925.0,25438.0,566124.86,,,,,,,,0.11,,5840.0,,,,,,,,0.57,,,,0.9,0.9,3308805.0,62596383.51,,60.23,0.93,24.5,0.6301,75.5,0.0103
2016-08-01,25438.0,474688.34,0.06,0.93,0.06,0.51,0.0,435333.13,25438.0,23329.0,474688.34,,,,,,,,0.08,,4487.0,,,,,,,2109.0,0.48,0.04,,,0.76,0.76,3308703.0,61742382.77,,61.26,0.78,7.92,0.8542,92.08,0.0076
2016-08-02,13005.0,243969.22,0.03,0.47,0.03,0.26,0.0,243969.22,13005.0,13005.0,243969.22,,,,,,,,0.24,,12433.0,,,,,,,10324.0,0.25,0.21,,,0.39,0.39,3321136.0,62303341.12,,60.62,0.4,,1.0,100.0,0.0039
2016-08-03,19862.0,391490.07,0.04,0.73,0.04,0.4,0.0,123111.82,13616.0,6246.0,268378.25,,,6096.0,,,,,0.1,,5485.0,,,,6096.0,,,6759.0,0.27,0.13,,,0.41,0.41,3320525.0,65449228.7,,61.71,0.44,,1.0,100.0,0.006
2016-08-04,13616.0,278358.15,0.03,0.48,0.03,0.29,0.0,278358.15,13616.0,13616.0,278358.15,,,,0.16,,,,,7370.0,,,,0.16,,,,,0.28,,,,0.41,0.41,3320525.0,67883019.11,,64.42,0.43,,1.0,100.0,0.0041
2016-08-05,79348.0,1650440.92,0.18,2.87,0.18,1.67,0.0,854756.5,79348.0,41094.0,1650440.92,,,,,,27478.0,,,,,,,,,0.58,65732.0,,1.64,,,,2.38,2.38,3254810.0,67700151.18,,65.22,2.46,24.74,0.6276,75.26,0.0238
2016-08-08,90236.0,1870655.29,0.2,3.35,0.2,1.96,0.0,1644690.68,90236.0,79336.0,1870655.29,,,,0.85,,,,0.0,38242.0,12.0,,,0.85,,,10900.0,,1.89,,,,2.66,2.66,3307583.0,68568505.15,,67.0,2.75,21.38,0.6638,78.62,0.0266
2016-08-09,72986.0,1521002.75,0.16,2.76,0.16,1.58,0.0,1521002.75,72986.0,72986.0,1521002.75,,,,0.06,,,,0.36,3434.0,17250.0,,,0.06,,,,9784.0,1.53,0.22,,,2.15,2.15,3324833.0,69288358.71,,67.14,2.22,26.45,0.6109,73.55,0.0215
2016-08-10,72792.0,1494609.22,0.16,2.77,0.16,1.59,0.0,1494609.22,72792.0,72792.0,1494609.22,,,,,,,,0.0,,194.0,,,,,,,194.0,1.53,0.0,,,2.15,2.15,3305747.0,67875589.85,,66.75,2.24,26.54,0.61,73.46,0.0215
2016-08-11,72410.0,1534818.49,0.16,2.89,0.16,1.56,0.0,1534818.49,72410.0,72410.0,1534818.49,,,,,,,,0.01,,382.0,,,,,,,382.0,1.5,0.02,,,2.14,2.14,3306129.0,70077446.82,,66.68,2.21,26.65,0.609,73.35,0.0214
2016-08-12,44618.0,961200.66,0.1,1.81,0.1,0.99,0.0,961200.66,44618.0,44618.0,961200.66,,,,,,,,0.56,,27792.0,,,,,,,27792.0,0.96,0.56,,,1.32,1.32,3333993.0,71823844.38,,68.99,1.37,16.42,0.7255,83.58,0.0132
2016-08-15,44176.0,945115.41,0.1,1.78,0.1,1.0,0.0,945115.41,44176.0,44176.0,945115.41,,,,,,,,0.0,,442.0,,,,,,,442.0,0.96,0.0,,,1.3,1.3,3359435.0,71872821.77,,70.3,1.35,16.43,0.7253,83.57,0.013
2016-08-16,33640.0,716372.9,0.07,1.41,0.07,0.75,0.0,716372.9,33640.0,33640.0,716372.9,,,,,,7447.0,,0.39,,17983.0,,,,,0.16,7447.0,17983.0,0.73,0.41,,,0.99,0.99,3363153.0,71619253.04,,69.67,1.03,21.9,0.415,56.67,0.0099
2016-08-17,34640.0,720513.1,0.08,1.43,0.08,0.76,0.0,720513.1,34640.0,34640.0,720513.1,,,1000.0,0.02,,,,,1000.0,,,,0.02,1000.0,,,,0.74,,,,1.02,1.02,3366153.0,70016089.11,,69.43,1.06,23.31,0.406,55.31,0.0102
2016-08-18,34640.0,720513.1,0.08,1.84,0.08,0.75,0.0,720513.1,34640.0,34640.0,720513.1,,,,,,,,,,,,,,,,,,0.73,,,,1.02,1.02,3367653.0,70047289.15,,68.0,1.06,23.71,0.4042,55.03,0.0102
2016-08-19,53087.0,1102108.02,0.12,2.82,0.12,1.13,0.0,822942.76,39640.0,39640.0,822942.76,,,,0.1,,,,0.13,5000.0,6000.0,,,0.1,,,11000.0,,0.83,,,,1.17,1.17,3349378.0,69534469.21,,67.83,1.21,36.25,0.3985,49.75,0.0157
2016-08-22,32193.0,658774.03,0.07,1.68,0.07,0.7,0.0,535994.41,32193.0,26193.0,658774.03,,,,,,,,0.16,,7447.0,,,,,,,13447.0,0.68,0.28,,,0.93,0.93,3416772.0,69918325.51,,69.06,0.97,22.8,0.4331,58.98,0.0093
2016-08-23,48193.0,983799.63,0.11,2.47,0.11,1.02,0.0,861317.16,32193.0,42193.0,657179.71,,,,,,16000.0,,,,,,,,,0.33,,,0.68,,,,7.93,0.93,373812.0,7630902.99,,7.9,7.92,32.46,0.3021,39.69,0.014
2016-08-24,42193.0,881794.86,0.09,2.17,0.09,0.89,0.0,881794.86,42193.0,42193.0,881794.86,,,,,,,,0.13,,6000.0,,,,,,16000.0,,0.87,,,,7.87,1.25,494150.0,10327280.12,,10.19,7.87,37.1,0.3742,45.37,0.0125
2016-08-25,42193.0,888481.46,0.09,2.26,0.09,0.91,0.0,888481.46,42193.0,42193.0,888481.46,,,,,,,,,,,,,,,,,,0.89,,,,7.87,1.24,494150.0,10405591.25,,10.43,7.87,37.1,0.3742,45.37,0.0124
2016-08-26,42193.0,891406.84,0.09,2.23,0.09,0.92,0.0,891406.84,42193.0,42193.0,891406.84,,,,,,,,,,,,,,,,,,0.89,,,,7.87,1.24,494150.0,10439852.37,,10.49,7.86,37.1,0.3742,45.37,0.0124
2016-08-29,97310.0,2109832.3,0.22,5.21,0.22,2.12,0.0,2109832.3,77310.0,97310.0,1676201.16,,,,0.35,,38875.0,,0.08,16242.0,3758.0,,,0.35,,0.86,38875.0,,1.66,,,,2.24,2.24,3367903.0,73021380.37,,69.65,2.33,26.1,0.2269,30.03,0.0282
2016-08-30,117310.0,2553920.8,0.26,6.19,0.26,2.58,0.0,2553920.8,93310.0,117310.0,2031424.0,,,16000.0,0.22,,10000.0,,,10000.0,,,,0.22,16000.0,0.22,,,2.04,,,,2.71,2.71,3351903.0,72973274.13,,70.52,2.82,21.67,0.1846,24.57,0.034
2016-08-31,141410.0,3065988.95,0.31,6.04,0.31,3.1,0.0,3065988.95,97410.0,141410.0,2112000.45,,,4100.0,0.51,,,,,24100.0,,,,0.51,4100.0,,,,2.14,,,,2.83,2.83,3349971.0,72632586.69,,70.59,2.94,23.24,0.1848,25.0,0.041
2016-09-01,137607.0,2971267.29,0.3,6.0,0.3,3.02,0.0,2971267.29,93607.0,137607.0,2021201.08,,,,,,,,0.08,,3803.0,,,,,,,3803.0,2.05,0.08,,,2.72,2.72,3349234.0,72318046.64,,70.12,2.84,23.82,0.1904,25.74,0.04
2016-09-02,137607.0,2990348.83,0.3,6.08,0.3,3.02,0.0,2990348.83,93607.0,137607.0,2034181.27,,,,,,,,,,,,,,,,,,2.05,,,,2.76,2.76,3294576.0,71594697.05,,69.12,2.89,23.96,0.1908,25.75,0.0406
2016-09-05,141843.0,3089426.3,0.31,6.22,0.31,3.12,0.0,3089426.3,81843.0,141843.0,1782590.02,,,4236.0,0.09,,,,0.35,4236.0,16000.0,,,0.09,4236.0,,,,1.8,,,,2.43,2.43,3292737.0,71717802.72,,69.38,2.52,23.21,0.1845,24.96,0.042
2016-09-06,115493.0,2493772.65,0.26,4.97,0.26,2.54,0.0,2493772.65,81843.0,115493.0,1767187.93,,,,,,,,,,,,,,,,,26350.0,1.79,0.58,,,2.41,2.41,3316870.0,71619229.76,,69.49,2.52,23.53,0.2096,28.31,0.034
2016-09-07,81333.0,1788399.21,0.18,3.51,0.18,1.78,0.0,1788399.21,75858.0,81333.0,1668011.59,,,,,,,,0.13,,5985.0,,,,,,,34160.0,1.67,0.76,,,13.91,2.21,469681.0,10327629.96,,10.29,13.93,21.32,0.2672,40.5,0.0237
2016-09-08,65333.0,1471525.4,0.14,2.81,0.14,1.45,0.0,1471525.4,57254.0,65333.0,1289558.34,,,,,,,,0.4,,18604.0,,,,,,,16000.0,1.29,0.34,,,12.92,1.65,385931.0,8692502.56,,8.64,12.96,21.31,0.3381,49.89,0.0188
2016-09-09,33928.0,741324.7,0.07,1.15,0.07,0.78,0.0,741324.7,27453.0,33928.0,599846.35,,,,,,,,0.67,,29801.0,,,,,,,31405.0,0.62,0.67,,,9.75,0.8,254213.0,5554538.3,,5.78,9.75,34.14,0.2868,38.55,0.0099
2016-09-12,73928.0,1602141.89,0.16,2.36,0.16,1.64,0.0,1602141.89,67453.0,73928.0,1461817.95,,,,0.88,,,,,40000.0,,,,0.88,,,40000.0,,1.48,,,,15.22,1.96,375732.0,8142733.18,,8.26,15.19,17.82,0.4072,59.05,0.0215
2016-09-13,86117.0,1871415.48,0.19,2.75,0.19,1.9,0.0,1440683.73,67453.0,66296.0,1465826.59,,,,,,,,,,,,,,,,,7632.0,1.48,0.18,,,15.22,2.03,375732.0,8165062.43,,8.23,15.24,25.91,0.3952,55.92,0.0259
2016-09-14,108695.0,2478332.59,0.24,3.46,0.24,2.4,0.0,1862733.88,90031.0,81696.0,2052778.52,,,,,,15400.0,,,,,,,,,0.34,22578.0,,2.02,,,,2.65,2.65,3301506.0,75276966.96,,69.8,2.81,20.55,0.285,44.34,0.032
2016-09-15,88874.0,2113545.44,0.2,2.69,0.2,2.03,0.0,2113545.44,82399.0,88874.0,1959561.07,,,,0.18,,,,0.17,7178.0,7632.0,,,0.18,,,,,1.94,,,,2.48,2.48,3236677.0,76972611.94,,71.52,2.64,17.55,0.3039,48.25,0.0268
2016-09-16,63538.0,1572065.64,0.14,1.65,0.14,1.5,0.0,1572065.64,58012.0,63538.0,1435340.62,,,,,,,,0.55,,24387.0,,,,,,,25336.0,1.42,0.55,,,1.73,1.73,3293715.0,81493534.42,,78.57,1.77,24.56,0.2475,37.11,0.019
2016-09-19,80135.0,1970011.31,0.18,2.05,0.18,2.01,0.0,1970011.31,74660.0,80135.0,1835415.8,,,6648.0,0.49,,,,,16597.0,,,,0.49,6648.0,,10000.0,,1.86,,,,2.24,2.24,3252633.0,79961612.44,,79.59,2.28,19.02,0.2735,43.37,0.0241
2016-09-20,82790.0,1992640.07,0.18,2.07,0.18,2.06,0.0,1992640.07,76445.0,82790.0,1839924.75,,,1785.0,0.02,,1785.0,,,870.0,,,,0.02,1785.0,0.04,,,1.89,,,,2.29,2.29,3268968.0,78679509.72,,79.5,2.32,18.52,0.2652,43.05,0.0247
2016-09-21,87563.0,2124865.37,0.19,2.17,0.19,2.16,0.0,2124865.37,74941.0,87563.0,1818571.04,,,,0.15,,,,0.04,6277.0,1504.0,,,0.15,,,,1504.0,1.82,0.04,,,2.23,2.23,3288683.0,79805495.76,,78.56,2.27,17.4,0.2973,48.06,0.026
