,LAT FP Equity_DX_SI_QTY,LAT FP Equity_DX_SHORT_INTEREST_VALUE,LAT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,LAT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LAT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LAT FP Equity_DX_SI_MV,LAT FP Equity_DX_DSS,LAT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LAT FP Equity_DX_SUPPLY_SI_QTY,LAT FP Equity_DX_BROKER_SI_QTY,LAT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LAT FP Equity_DX_BROKER_SI_MV_NEW_x,LAT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LAT FP Equity_DX_SUPPLY_SI_QTY_INC_x,LAT FP Equity_DX_BROKER_SI_MV_INC_x,LAT FP Equity_DX_SUPPLY_SI_MV_NEW,LAT FP Equity_DX_BROKER_SI_QTY_ADD,LAT FP Equity_DX_BROKER_SI_QTY_NEW,LAT FP Equity_DX_SUPPLY_SI_MV_DEC,LAT FP Equity_DX_BROKER_SI_QTY_INC,LAT FP Equity_DX_SUPPLY_SI_QTY_DEC,LAT FP Equity_DX_BROKER_SI_MV_NEW_y,LAT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LAT FP Equity_DX_BROKER_SI_MV_INC_y,LAT FP Equity_DX_SUPPLY_SI_QTY_INC_y,LAT FP Equity_DX_BROKER_SI_MV_ADD,LAT FP Equity_DX_SUPPLY_SI_QTY_ADD,LAT FP Equity_DX_BROKER_SI_QTY_DEC,LAT FP Equity_DX_SUPPLY_SI_MV,LAT FP Equity_DX_BROKER_SI_MV_DEC,LAT FP Equity_DX_SUPPLY_SI_MV_RMV,LAT FP Equity_DX_BROKER_SI_MV_RMV,LAT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LAT FP Equity_DX_UTILIZATION_QUANTITY,LAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LAT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LAT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LAT FP Equity_DX_ACTIVE_UTILIZATION_MV,LAT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LAT FP Equity_DX_BROKER_SI_CON_RATIO,LAT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LAT FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-05-10,88922.0,2742496.6,1.14,3.13,1.03,2.97,1.0,1416246.19,74438.0,45920.0,2295786.89,,,,,,,,0.03,,1022.0,,,,,,,31.0,2.45,0.0,,,19.11,19.11,315122.0,9718866.13,,10.37,19.09,20.33,0.2501,38.3,0.2283
2006-05-17,89473.0,2645281.35,1.15,3.21,1.04,2.86,1.0,1385540.5,80831.0,46864.0,2389779.45,,,,0.17,,,,0.01,6944.0,393.0,,,0.17,,,6786.0,6000.0,2.55,0.22,,,29.65,21.36,191812.0,5670947.73,,4.6,35.67,27.78,0.2679,38.02,0.2364
2006-05-24,96036.0,2795150.17,1.23,3.56,1.12,3.02,1.0,1586060.58,79764.0,54494.0,2321549.82,,,,0.23,,,,0.03,7630.0,1067.0,,,0.23,,,,,2.49,,,,49.53,21.22,81279.0,2365644.25,,1.18,67.81,25.51,0.2472,35.11,0.2555
2006-05-31,124328.0,3599924.83,1.6,5.91,1.44,3.97,1.0,1721754.8,103086.0,59463.0,2984861.43,,,,,,5270.0,,0.53,,18938.0,,,,,0.16,42260.0,300.0,3.3,0.0,,,71.44,27.27,41222.0,1193585.53,,0.0,105.62,22.64,0.2404,35.57,0.3289
2006-06-07,129809.0,3691617.96,1.67,6.88,1.51,3.99,1.0,1846790.12,103092.0,64939.0,2931817.35,,,14.0,0.16,,,,0.05,5480.0,9.0,,,0.16,14.0,,,4.0,3.14,0.02,,,71.45,27.27,41195.0,1171538.2,,0.0,104.6,21.07,0.2586,39.99,0.3434
2006-06-14,142397.0,3441496.96,1.83,8.44,1.65,3.81,1.0,1739055.99,115449.0,71956.0,2790208.94,,,12357.0,0.11,,,,,7017.0,,,,0.11,12357.0,,,,3.02,,,,42.3,30.58,157499.0,3806487.0,,2.83,51.67,25.42,0.2297,34.29,0.3772
2006-06-21,112123.0,2814008.66,1.44,6.21,1.3,3.05,1.0,938596.86,108558.0,37398.0,2724536.02,,,3770.0,,,3920.0,,0.21,,10660.0,,,,3770.0,0.13,,38479.0,2.92,1.06,,,39.87,28.8,163746.0,4109617.67,,3.15,48.03,22.09,0.192,25.28,0.2975
2006-06-28,269004.0,7316888.48,3.47,16.15,3.12,7.44,1.0,4868215.28,250658.0,178979.0,6817878.67,,,126801.0,,,148000.0,,0.0,,169.0,,,,126801.0,4.0,15469.0,6418.0,7.19,0.13,,,94.3,66.26,15141.0,411834.06,,0.0,112.44,7.01,0.5185,70.9,0.7111
2006-07-03,265885.0,7299933.96,3.43,16.72,3.09,7.29,1.0,4816004.35,247115.0,175413.0,6784599.29,,,448.0,,,,,0.23,,3991.0,,,,448.0,,,3566.0,6.96,0.11,,,93.66,64.98,16719.0,459024.0,,0.0,113.5,7.01,0.5392,72.47,0.6991
2006-07-04,264318.0,7664488.07,3.41,17.37,3.07,7.36,1.0,5086489.93,245548.0,175413.0,7120210.19,,,,,,,,0.0,,1567.0,,,,,,,,7.24,,,,93.57,64.81,16864.0,489009.17,,0.0,111.72,7.32,0.5286,71.68,0.6976
2006-07-05,267891.0,7661576.12,3.45,17.3,3.11,7.47,1.0,5016742.08,249121.0,175413.0,7124761.58,,,3573.0,,,,,,,,,,,3573.0,,,,7.37,,,,93.67,65.14,16837.0,481531.51,,0.0,114.09,7.3,0.5296,71.75,0.7005
2006-07-06,361802.0,10115813.89,4.67,23.38,4.2,10.17,1.0,4904465.04,343032.0,175413.0,9591013.51,,,17410.0,,,,,,,,,,,17410.0,,76500.0,,9.92,,,,103.48,89.63,0.0,0.0,,0.0,121.13,32.38,0.3616,50.02,0.9453
2006-07-07,361721.0,10348584.82,4.66,23.29,4.2,10.16,1.0,5018443.25,342951.0,175413.0,9811588.25,,,,,,,,0.0,,81.0,,,,,,,,9.99,,,,103.5,89.64,0.0,0.0,,0.0,121.06,31.96,0.3602,50.13,0.9455
2006-07-10,362638.0,10234144.03,4.68,23.32,4.21,10.23,1.0,4950396.56,343868.0,175413.0,9704428.77,,,917.0,,,,,,,,,,,917.0,,,,10.02,,,,103.73,89.84,0.0,0.0,,0.0,121.37,32.43,0.3606,49.88,0.9475
2006-07-11,362873.0,10205584.39,4.68,23.51,4.21,10.18,1.0,4933384.89,344103.0,175413.0,9677689.45,,,286.0,,,,,0.0,,50.0,,,,286.0,,,,9.95,,,,103.74,89.86,0.0,0.0,,0.0,121.51,32.14,0.3614,50.14,0.9476
2006-07-12,361207.0,10137711.08,4.66,23.45,4.2,10.13,1.0,4923177.88,342437.0,175413.0,9610908.34,,,17.0,,,,,0.05,,1684.0,,,,17.0,,,,9.89,,,,103.69,89.76,0.0,0.0,,0.0,120.94,32.17,0.3615,50.13,0.9468
2006-07-13,271046.0,7473173.88,3.5,18.1,3.15,7.45,1.0,4422844.25,267276.0,160413.0,7369228.92,,,1339.0,,,,,2.23,,76500.0,,,,1339.0,,,15000.0,7.59,0.45,,,104.89,69.87,0.0,0.0,,0.0,129.35,10.06,0.4432,64.78,0.7085
2006-07-14,274145.0,7311361.34,3.54,17.6,3.18,7.47,1.0,4331503.87,268375.0,162413.0,7157477.25,,,1099.0,,,2000.0,,,,,,,,1099.0,0.06,,,7.43,,,,105.01,70.01,0.0,0.0,,0.0,130.19,9.96,0.4402,64.61,0.7152
2006-07-17,356977.0,9416605.24,4.6,22.88,4.15,9.87,1.0,4683282.38,344421.0,177540.0,9085393.72,,,,,,15127.0,,0.0,,454.0,,,,,0.42,76500.0,,9.6,,,,103.86,89.96,0.0,0.0,,0.0,121.83,33.11,0.3344,46.48,0.9324
2006-07-18,349896.0,9416449.68,4.51,22.09,4.06,9.72,1.0,4595355.33,344126.0,170754.0,9261166.64,,,,,,,,0.0,,295.0,,,,,,,6786.0,9.72,0.18,,,103.84,89.94,0.0,0.0,,0.0,121.62,33.95,0.3477,47.4,0.9145
2006-07-19,331923.0,8861939.55,4.28,21.85,3.86,9.23,1.0,4558923.69,319367.0,170754.0,8526709.66,,,43.0,,,,,0.7,,24802.0,,,,43.0,,,,8.98,,,,99.06,83.95,3029.0,80870.61,,0.0,115.78,35.82,0.3347,44.45,0.8725
2006-07-20,331682.0,9244722.77,4.28,21.65,3.85,9.26,1.0,4773233.86,318626.0,171254.0,8880822.71,,,,,,500.0,,0.0,,741.0,,,,,0.01,,,9.19,,,,99.08,83.94,2956.0,82390.36,,0.0,115.37,35.75,0.3325,44.25,0.8738
2006-07-21,332138.0,9437813.94,4.28,22.88,3.86,9.32,1.0,4887552.01,318332.0,172004.0,9045511.77,,,86.0,0.02,,,,0.0,750.0,380.0,,,0.02,86.0,,,,9.29,,,,99.07,83.91,2999.0,85217.6,,0.0,115.23,35.56,0.3289,43.97,0.8755
2006-07-24,234932.0,6607320.88,3.03,16.57,2.73,6.45,1.0,4837508.82,221126.0,172004.0,6219035.46,,,693.0,,,,,2.92,,97900.0,,,,693.0,,,,6.37,,,,58.41,58.41,157481.0,4429058.2,,4.54,58.37,9.83,0.4864,68.13,0.6205
2006-07-25,235669.0,6445205.84,3.04,16.67,2.74,6.44,1.0,4709530.01,221663.0,172204.0,6062162.03,,,538.0,0.01,,,,,200.0,,,,0.01,538.0,,,,6.23,,,,58.46,58.46,157501.0,4307424.25,,4.43,58.47,9.8,0.4882,68.28,0.6215
2006-07-26,62048.0,1714373.57,0.8,4.66,0.72,1.75,0.0,1110828.31,47042.0,40204.0,1299760.85,,,,0.03,,,,4.89,1000.0,174621.0,,,0.03,,,,133000.0,1.34,3.56,,,12.42,12.42,331819.0,9168091.19,,9.45,12.39,25.58,0.213,30.25,0.1638
2006-07-27,62108.0,1717838.34,0.8,4.93,0.72,1.75,0.0,1111998.01,47102.0,40204.0,1302789.03,,,60.0,,,,,,,,,,,60.0,,,,1.34,,,,12.43,12.43,331843.0,9178409.01,,9.46,12.43,25.54,0.2133,30.37,0.1639
2006-07-28,63689.0,1717095.5,0.82,5.33,0.74,1.78,0.0,1083925.13,48683.0,40204.0,1312524.3,,,1581.0,,,,,,,,,,,1581.0,,,,1.36,,,,12.83,12.83,330791.0,8918333.44,,9.21,12.87,25.07,0.2113,29.78,0.1678
2006-07-31,58963.0,1578243.03,0.76,5.27,0.68,1.64,0.0,891972.43,43957.0,33324.0,1176582.41,,,,,,,,0.14,,4726.0,,,,,,,6880.0,1.22,0.2,,,11.58,11.58,335759.0,8987149.57,,9.28,11.64,21.7,0.2125,32.46,0.1553
2006-08-01,56008.0,1472532.22,0.72,4.4,0.65,1.54,0.0,837225.33,42482.0,31844.0,1116913.9,,,4.0,,,,,0.05,,1480.0,,,,4.0,,,1480.0,1.16,0.04,,,11.17,11.17,337818.0,8881729.23,,9.19,11.21,22.75,0.2014,28.71,0.1473
2006-08-02,48441.0,1288617.82,0.62,3.75,0.56,1.33,0.0,746818.95,38685.0,28074.0,1029090.65,,,,,,,,0.11,,3796.0,,,,,,,3770.0,1.06,0.11,,,10.17,10.17,341749.0,9091138.73,,9.37,10.16,26.95,0.247,33.48,0.1273
2006-08-03,48455.0,1287110.56,0.62,3.75,0.56,1.33,0.0,745729.89,38699.0,28074.0,1027961.86,,,13.0,,,,,,,,,,,13.0,,,,1.06,,,,10.17,10.17,341862.0,9080883.13,,9.37,10.17,26.81,0.2472,33.59,0.1273
2006-08-04,48472.0,1262177.56,0.63,3.82,0.56,1.32,0.0,731027.66,38716.0,28074.0,1008138.03,,,17.0,,,,,,,,,,,17.0,,,,1.04,,,,10.13,10.13,343455.0,8943332.1,,9.25,10.14,26.52,0.2476,33.91,0.1268
2006-08-07,47471.0,1242557.49,0.61,3.65,0.55,1.29,0.0,732221.84,37815.0,27974.0,989810.86,,,,,,,,0.02,,901.0,,,,,,,100.0,1.02,0.0,,,9.89,9.89,344422.0,9015275.31,,9.32,9.87,26.81,0.2485,33.87,0.1242
2006-08-08,53732.0,1406439.7,0.69,4.17,0.62,1.46,0.0,886654.85,38176.0,33874.0,999260.07,,,360.0,0.16,,,,,5900.0,,,,0.16,360.0,,,,1.03,,,,9.99,9.99,344112.0,9007161.03,,9.31,9.97,23.73,0.2211,30.03,0.1406
2006-08-09,55891.0,1398449.57,0.72,4.36,0.65,1.49,0.0,892599.7,38535.0,35674.0,964184.83,,,360.0,0.05,,,,,1800.0,,,,0.05,360.0,,,,1.0,,,,10.05,10.05,344791.0,8627020.93,,8.92,10.09,22.74,0.2281,32.68,0.1458
2006-08-10,55781.0,1368648.87,0.72,4.25,0.65,1.46,0.0,875301.26,38425.0,35674.0,942800.11,,,1027.0,,,,,0.03,,1138.0,,,,1027.0,,,,0.98,,,,11.41,11.41,298421.0,7322091.09,,7.56,11.43,24.1,0.2281,32.23,0.1656
2006-08-11,55762.0,1373590.52,0.72,4.09,0.65,1.45,0.0,878760.95,38406.0,35674.0,946058.56,,,,,,,,0.0,,19.0,,,,,,,,0.98,,,,11.4,11.4,298382.0,7350071.47,,7.59,11.39,24.33,0.2286,32.3,0.1656
2006-08-14,55775.0,1340915.25,0.72,4.2,0.65,1.44,0.0,857656.85,38419.0,35674.0,923650.79,,,13.0,,,,,,,,,,,13.0,,,,0.96,,,,11.41,11.41,298428.0,7174659.92,,7.42,11.42,23.95,0.229,32.58,0.1656
2006-08-15,55727.0,1364081.25,0.72,4.04,0.65,1.44,0.0,873225.45,38371.0,35674.0,939242.41,,,,,,,,0.0,,48.0,,,,,,,,0.97,,,,11.39,11.39,298374.0,7303575.99,,7.55,11.35,24.4,0.2286,32.33,0.1655
2006-08-16,55738.0,1382188.69,0.72,4.19,0.65,1.45,0.0,884642.42,38382.0,35674.0,951795.3,,,11.0,,,,,,,,,,,11.0,,,,0.98,,,,11.38,11.38,298883.0,7411688.64,,7.59,11.4,24.53,0.2279,32.02,0.1653
2006-08-17,55752.0,1387402.04,0.72,4.2,0.65,1.46,0.0,887756.14,38396.0,35674.0,955493.77,,,15.0,,,,,,,,,,,15.0,,,,0.98,,,,11.38,11.38,298898.0,7438149.21,,7.67,11.38,24.46,0.228,32.05,0.1653
2006-08-18,55740.0,1418997.06,0.72,4.1,0.65,1.47,0.0,908168.3,38384.0,35674.0,977157.94,,,,,,,,0.0,,12.0,,,,,,,,1.0,,,,11.38,11.38,298872.0,7608512.57,,7.83,11.36,24.78,0.2277,31.79,0.1653
2006-08-21,53761.0,1355582.37,0.69,3.89,0.62,1.42,0.0,849089.13,38405.0,33674.0,968381.18,,,21.0,,,,,,,,,,,21.0,,,2000.0,1.0,0.05,,,11.38,11.38,298948.0,7537966.88,,7.79,11.38,25.43,0.2384,33.22,0.1594
2006-08-22,49765.0,1254823.32,0.64,3.54,0.58,1.32,0.0,748229.22,38409.0,29674.0,968482.04,,,4.0,,,,,,,,,,,4.0,,,4000.0,1.0,0.11,,,11.39,11.39,298909.0,7536983.5,,7.76,11.41,27.55,0.2587,35.97,0.1475
2006-08-23,49763.0,1247533.82,0.64,3.45,0.58,1.31,0.0,743912.51,38407.0,29674.0,962844.51,,,,,,,,0.0,,3.0,,,,,,,,0.99,,,,10.09,10.09,342063.0,8575350.36,,8.86,10.09,27.45,0.2589,36.08,0.1308
2006-08-24,49758.0,1247408.47,0.64,3.37,0.58,1.31,0.0,743912.51,38402.0,29674.0,962719.16,,,,,,,,0.0,,5.0,,,,,,,,0.99,,,,10.09,10.09,342048.0,8574974.31,,8.86,10.08,27.51,0.2588,36.02,0.1308
2006-08-25,49754.0,1254063.44,0.64,3.54,0.58,1.31,0.0,747941.44,38398.0,29674.0,967832.29,,,,,,,,0.0,,4.0,,,,,,,,1.0,,,,10.1,10.1,341948.0,8618894.65,,8.88,10.1,27.59,0.2587,35.96,0.1308
2006-08-28,47774.0,1176821.37,0.62,3.33,0.55,1.25,0.0,681696.21,38418.0,27674.0,946354.16,,,20.0,,,,,,,,,,,20.0,,,2000.0,0.98,0.06,,,10.08,10.08,342719.0,8442228.9,,8.73,10.08,28.47,0.2818,38.0,0.1253
2006-08-29,47731.0,1211405.33,0.62,3.21,0.55,1.25,0.0,702361.8,38375.0,27674.0,973951.51,,,,,,,,0.0,,43.0,,,,,,,,1.0,,,,10.09,10.09,342009.0,8680135.05,,8.95,10.05,29.14,0.2812,37.5,0.1255
2006-08-30,49307.0,1251882.15,0.64,3.06,0.57,1.31,0.0,728019.73,39941.0,28674.0,1014083.7,,,1567.0,,,1000.0,,,,,,,,1567.0,0.03,,,1.05,,,,10.5,10.5,340557.0,8646586.26,,8.93,10.49,28.28,0.2697,36.76,0.1296
2006-08-31,49288.0,1284859.63,0.64,2.98,0.57,1.32,0.0,747485.5,39909.0,28674.0,1040364.05,,,,,,,,0.0,,32.0,,,,,,,,1.07,,,,10.51,10.51,339903.0,8860729.67,,9.13,10.49,28.69,0.269,36.34,0.1298
2006-09-01,49319.0,1284232.86,0.64,2.83,0.57,1.33,0.0,746651.25,39958.0,28674.0,1040478.85,,,48.0,,,,,,,,,,,48.0,,,,1.07,,,,10.81,10.81,329705.0,8585291.55,,8.84,10.82,28.47,0.2687,36.37,0.1334
2006-09-04,43954.0,1158598.82,0.57,2.47,0.51,1.19,0.0,614805.45,34584.0,23324.0,911611.72,,,,,,,,0.14,,5374.0,,,,,,,5350.0,0.94,0.14,,,9.12,9.12,344689.0,9085777.59,,9.35,9.12,32.33,0.3111,40.72,0.1159
2006-09-05,37513.0,982269.79,0.48,2.06,0.44,1.02,0.0,496489.68,32526.0,18961.0,851686.27,,,55.0,,,,,0.06,,2113.0,,,,55.0,,,4363.0,0.88,0.12,,,8.58,8.58,346754.0,9079678.45,,9.35,8.59,36.34,0.3297,37.89,0.0989
2006-09-06,45710.0,1184494.1,0.59,2.44,0.53,1.23,0.0,703829.45,42522.0,27161.0,1101882.69,,,10000.0,0.27,,,,0.0,10000.0,4.0,,,0.27,10000.0,,,1800.0,1.14,0.05,,,10.82,10.82,350387.0,9079661.62,,9.37,10.82,30.68,0.3322,41.52,0.1163
2006-09-07,45718.0,1168296.48,0.59,2.44,0.53,1.22,0.0,694083.31,42535.0,27161.0,1086956.79,,,13.0,,,,,,,,,,,13.0,,,,1.12,,,,10.72,10.72,354309.0,9054157.16,,9.36,10.71,30.52,0.3317,41.45,0.1152
2006-09-08,45698.0,1170001.3,0.59,2.4,0.53,1.21,0.0,695400.35,42504.0,27161.0,1088225.64,,,,,,,,0.0,,31.0,,,,,,,,1.12,,,,10.71,10.71,354405.0,9073795.6,,9.37,10.7,30.77,0.3309,41.14,0.1151
2006-09-11,48462.0,1236537.83,0.62,2.56,0.56,1.29,0.0,693029.67,45264.0,27161.0,1154938.88,,,2760.0,,,,,,,,,,,2760.0,,,,1.19,,,,11.4,11.4,351644.0,8972413.59,,9.27,11.39,34.32,0.3306,39.08,0.1221
2006-09-12,48455.0,1239178.74,0.62,2.8,0.56,1.29,0.0,694610.13,45255.0,27161.0,1157342.56,,,,,,,,0.0,,9.0,,,,,,,,1.19,,,,10.92,10.92,369277.0,9443818.11,,9.75,10.91,34.38,0.3302,38.93,0.1169
2006-09-13,48468.0,1226819.96,0.63,2.82,0.56,1.28,0.0,687498.08,45276.0,27161.0,1146024.19,,,20.0,,,,,,,,,,,20.0,,,,1.18,,,,10.73,10.73,376810.0,9537798.7,,9.86,10.72,34.15,0.3307,39.15,0.1148
