,DOTVA FP Equity_PX_LAST
2022-10-17,6.213
2022-10-18,6.102
2022-10-19,6.17
2022-10-20,6.094
2022-10-21,5.766
2022-10-24,5.779
2022-10-25,6.014
2022-10-26,6.334
2022-10-27,6.319
2022-10-28,6.325
2022-10-31,6.568
2022-11-01,6.434
2022-11-02,6.232
2022-11-03,6.49
2022-11-07,7.008
2022-11-09,5.764
2022-11-10,5.87
2022-11-11,5.23
2022-11-14,5.481
2022-11-15,5.661
2022-11-16,5.561
2022-11-17,5.366
2022-11-18,5.345
2022-11-21,4.893
2022-11-22,5.012
2022-11-23,5.019
2022-11-24,5.02
2022-11-25,4.917
2022-11-28,4.836
2022-11-29,4.936
2022-11-30,5.1
2022-12-01,5.026
2022-12-02,5.031
2022-12-05,5.276
2022-12-06,5.094
2022-12-07,4.88
2022-12-08,4.901
2022-12-09,4.975
2022-12-12,4.736
2022-12-13,4.655
2022-12-14,4.848
2022-12-15,4.733
2022-12-16,4.784
2022-12-19,4.208
2022-12-20,4.202
2022-12-21,4.109
2022-12-22,4.026
2022-12-23,4.116
2022-12-27,4.115
2022-12-28,3.959
2022-12-29,3.927
2022-12-30,3.861
2023-01-02,3.861
2023-01-03,4.123
2023-01-04,4.262
2023-01-05,4.187
2023-01-06,4.219
2023-01-09,4.464
2023-01-10,4.422
2023-01-11,4.406
2023-01-12,4.62
2023-01-13,4.688
2023-01-16,5.394
2023-01-17,5.419
2023-01-18,5.421
2023-01-19,5.197
2023-01-20,5.249
2023-01-23,5.635
2023-01-24,5.944
2023-01-25,5.631
2023-01-26,5.746
2023-01-27,5.796
2023-01-30,5.823
2023-01-31,5.626
2023-02-01,5.571
2023-02-02,5.778
2023-02-03,5.989
2023-02-06,6.137
2023-02-07,6.049
2023-02-08,6.268
2023-02-09,6.079
2023-02-10,5.699
2023-02-13,5.634
2023-02-14,5.526
2023-02-15,5.605
2023-02-16,5.989
2023-02-17,6.071
2023-02-20,6.807
2023-02-21,6.817
2023-02-22,6.482
2023-02-23,6.697
2023-02-24,6.484
2023-02-27,6.093
2023-02-28,5.914
2023-03-01,5.977
2023-03-02,5.831
2023-03-03,5.53
2023-03-06,5.403
2023-03-07,5.344
2023-03-08,5.239
2023-03-09,5.16
2023-03-10,4.921
2023-03-13,5.351
2023-03-14,5.503
2023-03-15,5.729
2023-03-16,5.463
2023-03-17,5.734
2023-03-20,5.889
2023-03-21,5.507
2023-03-22,5.69
2023-03-23,5.529
2023-03-24,5.69
2023-03-27,5.39
2023-03-28,5.3
2023-03-29,5.597
2023-03-30,5.523
2023-03-31,5.533
2023-04-03,5.593
2023-04-04,5.718
2023-04-05,5.795
2023-04-06,5.684
2023-04-11,5.723
2023-04-12,5.592
2023-04-13,5.656
2023-04-14,5.981
2023-04-17,5.922
2023-04-18,6.046
2023-04-19,6.034
2023-04-20,5.677
2023-04-21,5.37
2023-04-24,5.242
2023-04-25,5.146
2023-04-26,5.328
2023-04-27,5.176
2023-04-28,5.233
2023-05-02,5.018
2023-05-03,5.005
2023-05-04,5.041
2023-05-05,5.052
2023-05-08,4.794
2023-05-09,4.737
2023-05-10,4.723
2023-05-11,4.813
2023-05-12,4.637
2023-05-15,4.813
2023-05-16,4.72
2023-05-17,4.709
2023-05-18,4.852
2023-05-19,4.817
2023-05-22,4.772
2023-05-23,4.857
2023-05-24,4.715
2023-05-25,4.77
2023-05-26,4.774
2023-05-29,4.941
2023-05-30,4.921
2023-05-31,4.82
2023-06-01,4.736
2023-06-02,4.724
2023-06-05,4.692
2023-06-06,4.582
2023-06-07,4.563
2023-06-08,4.516
2023-06-09,4.533
2023-06-12,4.053
2023-06-13,4.06
2023-06-14,4.161
2023-06-15,3.831
2023-06-16,3.835
2023-06-19,3.946
2023-06-20,3.883
2023-06-21,4.2
2023-06-22,4.229
2023-06-23,4.456
2023-06-26,4.576
2023-06-27,4.481
2023-06-28,4.43
2023-06-29,4.506
2023-06-30,4.39
2023-07-03,4.846
2023-07-04,4.851
2023-07-05,4.579
2023-07-06,4.529
2023-07-07,4.536
2023-07-10,4.481
2023-07-11,4.514
2023-07-12,4.527
2023-07-13,4.558
2023-07-14,4.864
2023-07-17,4.541
2023-07-18,4.47
2023-07-19,4.444
2023-07-20,4.608
2023-07-21,4.762
2023-07-24,4.497
2023-07-25,4.494
2023-07-26,4.55
2023-07-27,4.584
2023-07-28,4.604
2023-07-31,4.503
2023-08-01,4.461
2023-08-02,4.47
2023-08-03,4.431
2023-08-04,4.394
2023-08-07,4.318
2023-08-08,4.416
2023-08-09,4.433
2023-08-10,4.383
2023-08-11,4.392
2023-08-14,4.433
2023-08-15,4.372
2023-08-16,4.19
2023-08-17,4.201
2023-08-18,4.016
2023-08-21,3.878
2023-08-22,3.894
2023-08-23,3.954
2023-08-24,3.908
2023-08-25,3.988
2023-08-28,4.048
2023-08-29,4.189
2023-08-30,4.006
2023-08-31,3.942
2023-09-01,3.779
2023-09-04,3.763
2023-09-05,3.85
2023-09-06,3.794
2023-09-07,3.837
2023-09-08,3.797
2023-09-11,3.594
2023-09-12,3.6
2023-09-13,3.626
2023-09-14,3.665
2023-09-15,3.684
2023-09-18,3.797
2023-09-19,3.718
2023-09-20,3.697
2023-09-21,3.654
2023-09-22,3.63
2023-09-25,3.698
2023-09-26,3.655
2023-09-27,3.675
2023-09-28,3.708
2023-09-29,3.729
2023-10-02,3.863
2023-10-03,3.768
2023-10-04,3.682
2023-10-05,3.702
2023-10-06,3.699
2023-10-09,3.522
2023-10-10,3.466
2023-10-11,3.387
2023-10-12,3.346
2023-10-13,3.384
2023-10-16,3.437
2023-10-17,3.374
2023-10-18,3.358
2023-10-19,3.318
2023-10-20,3.397
2023-10-23,3.663
2023-10-24,3.824
2023-10-25,3.919
2023-10-26,3.82
2023-10-27,3.76
2023-10-30,3.968
2023-10-31,4.019
2023-11-01,4.021
2023-11-02,4.156
2023-11-03,4.149
2023-11-06,4.357
2023-11-07,4.332
2023-11-08,4.461
2023-11-09,4.394
2023-11-10,4.609
2023-11-13,5.064
2023-11-14,4.783
2023-11-15,4.819
2023-11-16,4.896
2023-11-17,4.569
2023-11-20,4.769
2023-11-21,4.543
2023-11-22,4.512
2023-11-23,4.522
2023-11-24,4.653
2023-11-27,4.498
2023-11-28,4.574
2023-11-29,4.582
2023-11-30,4.83
2023-12-01,4.824
2023-12-04,4.906
2023-12-05,5.024
2023-12-06,5.503
2023-12-07,5.463
2023-12-08,6.087
2023-12-11,6.017
2023-12-12,6.325
2023-12-13,6.219
2023-12-14,6.39
2023-12-15,6.307
2023-12-18,5.835
2023-12-19,5.91
2023-12-20,6.167
2023-12-21,6.774
2023-12-22,7.02
2023-12-27,7.681
2023-12-28,7.289
2023-12-29,7.25
2024-01-02,7.406
2024-01-03,6.814
2024-01-04,6.846
2024-01-05,6.436
2024-01-08,6.333
2024-01-09,6.219
2024-01-10,6.19
2024-01-11,7.107
2024-01-12,6.918
2024-01-15,6.531
2024-01-16,6.589
2024-01-17,6.486
2024-01-18,6.33
2024-01-19,5.906
2024-01-22,5.749
2024-01-23,5.524
2024-01-24,5.643
2024-01-25,5.672
2024-01-26,5.883
2024-01-29,6.078
2024-01-30,6.185
2024-01-31,6.003
2024-02-01,5.946
2024-02-02,6.195
2024-02-05,6.036
2024-02-06,6.049
2024-02-07,6.055
2024-02-08,6.233
2024-02-09,6.369
2024-02-12,6.444
2024-02-13,6.448
2024-02-14,6.763
2024-02-15,6.975
2024-02-16,6.852
2024-02-19,6.919
2024-02-20,6.733
2024-02-21,6.531
2024-02-22,6.671
2024-02-23,6.522
2024-02-26,7.125
2024-02-27,7.177
2024-02-28,7.557
2024-02-29,7.633
2024-03-01,7.39
2024-03-04,8.852
2024-03-05,8.89
2024-03-06,8.875
2024-03-07,9.112
2024-03-08,8.853
2024-03-11,9.411
2024-03-12,9.19
2024-03-13,9.526
2024-03-14,9.808
2024-03-15,9.115
2024-03-18,8.77
2024-03-19,8.056
2024-03-20,7.64
2024-03-21,8.286
2024-03-22,7.866
2024-03-25,8.575
2024-03-26,8.656
2024-03-27,8.322
2024-03-28,8.451
2024-04-02,7.617
2024-04-03,7.611
2024-04-04,7.565
2024-04-05,7.37
2024-04-08,7.972
2024-04-09,7.683
2024-04-10,7.379
2024-04-11,7.381
2024-04-12,7.32
2024-04-15,6.172
2024-04-16,5.831
2024-04-17,5.743
2024-04-18,6.033
2024-04-19,6.091
2024-04-22,6.632
2024-04-23,6.685
2024-04-24,6.315
2024-04-25,6.103
2024-04-26,6.027
2024-04-29,5.902
2024-04-30,5.494
2024-05-02,6.282
2024-05-03,6.39
2024-05-06,6.318
2024-05-07,6.374
2024-05-08,6.262
2024-05-09,6.152
2024-05-10,6.092
2024-05-13,5.956
2024-05-14,5.887
2024-05-15,6.077
2024-05-16,6.069
2024-05-17,6.33
2024-05-20,6.164
2024-05-21,6.695
2024-05-22,6.659
2024-05-23,6.392
2024-05-24,6.446
2024-05-27,6.633
2024-05-28,6.39
2024-05-29,6.404
2024-05-30,6.196
2024-05-31,6.095
2024-06-03,6.214
2024-06-04,6.285
2024-06-05,6.331
2024-06-06,6.37
2024-06-07,6.38
2024-06-10,5.783
2024-06-11,5.605
2024-06-12,5.869
2024-06-13,5.687
2024-06-14,5.576
2024-06-17,5.45
2024-06-18,5.127
2024-06-19,5.156
2024-06-20,5.042
2024-06-21,5.056
2024-06-24,5.012
2024-06-25,5.265
2024-06-26,5.234
2024-06-27,5.603
2024-06-28,5.6
2024-07-01,5.637
2024-07-02,5.651
2024-07-03,5.437
2024-07-04,5.037
2024-07-05,5.098
2024-07-08,5.303
2024-07-09,5.382
2024-07-10,5.356
2024-07-11,5.359
2024-07-12,5.231
2024-07-15,5.505
2024-07-16,5.619
2024-07-17,5.619
2024-07-18,5.316
2024-07-19,5.417
2024-07-22,5.433
2024-07-23,5.224
2024-07-24,5.176
2024-07-25,4.999
2024-07-26,5.091
2024-07-29,5.001
2024-07-30,4.969
2024-07-31,4.796
2024-08-01,4.538
2024-08-02,4.361
2024-08-05,3.64
2024-08-06,3.843
2024-08-07,3.899
2024-08-08,4.121
2024-08-09,4.159
2024-08-12,3.989
2024-08-13,3.9
2024-08-14,3.811
2024-08-15,3.853
2024-08-16,3.675
2024-08-19,3.83
2024-08-20,3.829
2024-08-21,3.876
2024-08-22,3.971
2024-08-23,4.031
2024-08-26,3.947
2024-08-27,3.841
2024-08-28,3.676
2024-08-29,3.749
2024-08-30,3.554
2024-09-02,3.56
2024-09-03,3.542
2024-09-04,3.52
2024-09-05,3.403
2024-09-06,3.397
2024-09-09,3.589
2024-09-10,3.638
2024-09-11,3.523
2024-09-12,3.638
2024-09-13,3.719
2024-09-16,3.604
2024-09-17,3.637
2024-09-18,3.425
2024-09-19,3.617
2024-09-20,3.642
2024-09-23,3.746
2024-09-24,3.833
2024-09-25,4.015
2024-09-26,4.074
2024-09-27,4.157
2024-09-30,3.869
2024-10-01,3.665
2024-10-02,3.565
2024-10-03,3.446
2024-10-04,3.591
2024-10-07,3.623
2024-10-08,3.549
2024-10-09,3.523
2024-10-10,3.489
2024-10-11,3.584
2024-10-14,3.759
2024-10-15,3.77
2024-10-16,3.755
2024-10-17,3.666
2024-10-18,3.695
2024-10-21,3.817
2024-10-22,3.778
2024-10-23,3.679
2024-10-24,3.667
2024-10-25,3.646
2024-10-28,3.514
2024-10-29,3.667
2024-10-30,3.64
2024-10-31,3.467
2024-11-01,3.418
2024-11-04,3.283
2024-11-05,3.352
2024-11-06,3.556
2024-11-07,3.604
2024-11-08,3.846
2024-11-11,4.622
2024-11-12,4.678
2024-11-13,4.765
2024-11-14,4.342
2024-11-15,4.466
2024-11-18,5.215
2024-11-19,5.2
2024-11-20,5.209
2024-11-21,5.262
2024-11-22,5.77
2024-11-25,7.723
2024-11-26,7.335
2024-11-27,7.479
2024-11-28,7.219
2024-11-29,7.734
2024-12-02,8.172
2024-12-03,8.654
2024-12-04,9.547
2024-12-05,9.811
2024-12-06,9.347
2024-12-09,8.526
2024-12-10,7.097
2024-12-11,8.217
2024-12-12,8.334
2024-12-13,7.996
2024-12-16,8.108
2024-12-17,7.777
2024-12-18,7.388
2024-12-19,6.71
2024-12-20,6.241
2024-12-23,6.273
2024-12-24,6.576
2024-12-27,6.17
2024-12-30,5.971
2024-12-31,6.094
2025-01-02,6.618
2025-01-03,7.28
2025-01-06,7.212
2025-01-07,6.651
2025-01-08,6.196
2025-01-09,6.171
2025-01-10,6.063
2025-01-13,5.767
2025-01-14,5.929
2025-01-15,6.461
2025-01-16,6.679
2025-01-17,6.812
2025-01-20,5.898
2025-01-21,5.998
2025-01-22,5.881
2025-01-23,5.822
2025-01-24,5.772
2025-01-27,5.23
2025-01-28,5.268
2025-01-29,5.057
2025-01-30,5.588
2025-01-31,5.858
2025-02-03,4.517
2025-02-04,4.366
2025-02-05,4.276
2025-02-06,4.097
2025-02-07,4.378
2025-02-10,4.428
2025-02-11,4.494
2025-02-12,4.571
2025-02-13,4.585
2025-02-14,4.664
2025-02-17,4.366
2025-02-18,4.165
2025-02-19,4.389
2025-02-20,4.48
2025-02-21,4.699
2025-02-24,4.187
2025-02-25,3.918
2025-02-26,4.316
2025-02-27,4.55
2025-02-28,4.249
2025-03-03,4.355
2025-03-04,3.645
2025-03-05,3.779
2025-03-06,3.878
2025-03-07,3.892
2025-03-10,3.495
2025-03-11,3.436
2025-03-12,3.378
2025-03-13,3.394
2025-03-14,3.613
2025-03-17,3.748
2025-03-18,3.677
2025-03-19,3.877
2025-03-20,3.764
2025-03-21,3.838
2025-03-24,4.062
2025-03-25,4.026
2025-03-26,4.091
2025-03-27,3.981
2025-03-28,3.713
2025-03-31,3.526
2025-04-01,3.674
2025-04-02,3.568
2025-04-03,3.312
2025-04-04,3.48
2025-04-07,3.061
2025-04-08,3.064
2025-04-09,2.856
2025-04-10,2.869
2025-04-11,2.89
2025-04-14,3.08
2025-04-15,3.006
2025-04-16,2.958
2025-04-17,2.969
2025-04-22,3.17
2025-04-23,3.294
2025-04-24,3.407
2025-04-25,3.538
2025-04-28,3.354
2025-04-29,3.473
2025-04-30,3.345
2025-05-02,3.453
2025-05-05,3.221
2025-05-06,3.215
2025-05-07,3.225
2025-05-08,3.547
2025-05-09,3.867
2025-05-12,4.318
2025-05-13,4.189
2025-05-14,4.156
2025-05-15,3.965
2025-05-16,4.095
2025-05-19,3.766
2025-05-20,3.781
2025-05-21,3.914
2025-05-22,4.083
2025-05-23,3.918
2025-05-26,3.673
2025-05-27,3.738
2025-05-28,3.708
2025-05-29,3.708
2025-05-30,3.441
2025-06-02,3.285
2025-06-03,3.43
2025-06-04,3.337
2025-06-05,3.274
2025-06-06,3.235
2025-06-09,3.281
2025-06-10,3.46
2025-06-11,3.485
2025-06-12,3.273
2025-06-13,3.09
2025-06-16,3.17
2025-06-17,2.996
2025-06-18,2.932
2025-06-19,2.877
2025-06-20,2.813
2025-06-23,2.615
2025-06-24,2.763
2025-06-25,2.7
2025-06-26,2.634
2025-06-27,2.641
2025-06-30,2.675
2025-07-01,2.637
2025-07-02,2.688
2025-07-03,2.806
2025-07-04,2.654
2025-07-07,2.681
2025-07-08,2.682
2025-07-09,2.787
2025-07-10,2.891
2025-07-11,3.248
2025-07-14,3.21
2025-07-15,3.101
2025-07-16,3.289
2025-07-17,3.355
2025-07-18,3.418
2025-07-21,3.693
2025-07-22,3.538
2025-07-23,3.334
2025-07-24,3.252
2025-07-25,3.129
2025-07-28,3.276
2025-07-29,3.155
2025-07-30,3.087
2025-07-31,3.068
2025-08-01,2.91
2025-08-04,2.957
2025-08-05,2.884
2025-08-06,2.905
2025-08-07,2.996
2025-08-08,3.092
2025-08-11,3.147
2025-08-12,3.22
2025-08-13,3.337
2025-08-14,3.207
2025-08-15,3.063
2025-08-18,3.09
2025-08-19,3.027
2025-08-20,3.063
2025-08-21,3.033
2025-08-22,3.142
2025-08-25,3.09
2025-08-26,3.046
2025-08-27,3.128
2025-08-28,3.176
2025-08-29,2.999
