,ALMCE FP Equity_DX_SI_QTY,ALMCE FP Equity_DX_SHORT_INTEREST_VALUE,ALMCE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMCE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMCE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMCE FP Equity_DX_SI_MV,ALMCE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMCE FP Equity_DX_SUPPLY_SI_QTY,ALMCE FP Equity_DX_BROKER_SI_QTY,ALMCE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMCE FP Equity_DX_SUPPLY_SI_MV,ALMCE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMCE FP Equity_DX_UTILIZATION_QUANTITY,ALMCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMCE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMCE FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMCE FP Equity_DX_BROKER_SI_CON_RATIO,ALMCE FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMCE FP Equity_PX_LAST
2024-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16218.0,0.02,0.0,0.0,0.0,9.54
2024-06-10,,,,,,,,,,,,,,,,,,,,9.44
2024-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16014.0,0.02,0.0,0.0,0.0,9.42
2024-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16150.0,0.02,0.0,0.0,0.0,9.5
2024-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16082.0,0.02,0.0,0.0,0.0,9.46
2024-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,15674.0,0.02,0.0,0.0,0.0,9.22
2024-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,15470.0,0.02,0.0,0.0,0.0,9.1
2024-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,15096.0,0.02,0.0,0.0,0.0,8.88
2024-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,15130.0,0.02,0.0,0.0,0.0,8.9
2024-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,15130.0,0.02,0.0,0.0,0.0,8.9
2024-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,15130.0,0.02,0.0,0.0,0.0,8.9
2024-06-24,,,,,,,,,,,,,,,,,,,,9.04
2024-06-25,,,,,,,,,,,,,,,,,,,,8.9
2024-06-26,,,,,,,,,,,,,,,,,,,,9.06
2024-06-27,,,,,,,,,,,,,,,,,,,,8.88
2024-06-28,,,,,,,,,,,,,,,,,,,,8.88
2024-07-01,,,,,,,,,,,,,,,,,,,,9.04
2024-07-02,,,,,,,,,,,,,,,,,,,,9.02
2024-07-03,,,,,,,,,,,,,,,,,,,,9.08
2024-07-04,,,,,,,,,,,,,,,,,,,,8.62
2024-07-05,,,,,,,,,,,,,,,,,,,,8.14
2024-07-08,,,,,,,,,,,,,,,,,,,,8.26
2024-07-09,,,,,,,,,,,,,,,,,,,,8.4
2024-07-10,,,,,,,,,,,,,,,,,,,,8.44
2024-07-11,,,,,,,,,,,,,,,,,,,,8.54
2024-07-12,,,,,,,,,,,,,,,,,,,,8.54
2024-07-15,,,,,,,,,,,,,,,,,,,,8.36
2024-07-16,,,,,,,,,,,,,,,,,,,,8.38
2024-07-17,,,,,,,,,,,,,,,,,,,,8.44
2024-07-18,,,,,,,,,,,,,,,,,,,,8.54
2024-07-19,,,,,,,,,,,,,,,,,,,,8.78
2024-07-22,,,,,,,,,,,,,,,,,,,,8.38
2024-07-23,,,,,,,,,,,,,,,,,,,,8.56
2024-07-24,,,,,,,,,,,,,,,,,,,,8.38
2024-07-25,,,,,,,,,,,,,,,,,,,,8.38
2024-07-26,,,,,,,,,,,,,,,,,,,,8.38
2024-07-29,,,,,,,,,,,,,,,,,,,,8.38
2024-07-30,,,,,,,,,,,,,,,,,,,,8.38
2024-07-31,,,,,,,,,,,,,,,,,,,,8.36
2024-08-01,,,,,,,,,,,,,,,,,,,,8.3
2024-08-02,,,,,,,,,,,,,,,,,,,,8.18
2024-08-05,,,,,,,,,,,,,,,,,,,,8.14
2024-08-06,,,,,,,,,,,,,,,,,,,,8.12
2024-08-07,,,,,,,,,,,,,,,,,,,,7.92
2024-08-08,,,,,,,,,,,,,,,,,,,,8.08
2024-08-09,,,,,,,,,,,,,,,,,,,,8.16
2024-08-12,,,,,,,,,,,,,,,,,,,,8.14
2024-08-13,,,,,,,,,,,,,,,,,,,,7.96
2024-08-14,,,,,,,,,,,,,,,,,,,,7.98
2024-08-15,,,,,,,,,,,,,,,,,,,,8.16
2024-08-16,,,,,,,,,,,,,,,,,,,,8.14
2024-08-19,,,,,,,,,,,,,,,,,,,,7.98
2024-08-20,,,,,,,,,,,,,,,,,,,,7.96
2024-08-21,,,,,,,,,,,,,,,,,,,,7.96
2024-08-22,,,,,,,,,,,,,,,,,,,,7.96
2024-08-23,,,,,,,,,,,,,,,,,,,,7.92
2024-08-26,,,,,,,,,,,,,,,,,,,,7.92
2024-08-27,,,,,,,,,,,,,,,,,,,,7.9
2024-08-28,,,,,,,,,,,,,,,,,,,,7.92
2024-08-29,,,,,,,,,,,,,,,,,,,,7.86
2024-08-30,,,,,,,,,,,,,,,,,,,,7.84
2024-09-02,,,,,,,,,,,,,,,,,,,,7.84
2024-09-03,,,,,,,,,,,,,,,,,,,,7.9
2024-09-04,,,,,,,,,,,,,,,,,,,,7.94
2024-09-05,,,,,,,,,,,,,,,,,,,,7.78
2024-09-06,,,,,,,,,,,,,,,,,,,,7.8
2024-09-09,,,,,,,,,,,,,,,,,,,,7.72
2024-09-10,,,,,,,,,,,,,,,,,,,,7.86
2024-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,13362.0,0.01,0.0,0.0,0.0,7.86
2024-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,13362.0,0.01,0.0,0.0,0.0,7.86
2024-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,13362.0,0.01,0.0,0.0,0.0,7.86
2024-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,13090.0,0.01,0.0,0.0,0.0,7.7
2024-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,13124.0,0.01,0.0,0.0,0.0,7.72
2024-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,13328.0,0.01,0.0,0.0,0.0,7.84
2024-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,13090.0,0.01,0.0,0.0,0.0,7.7
2024-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,13328.0,0.01,0.0,0.0,0.0,7.84
2024-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,13362.0,0.01,0.0,0.0,0.0,7.86
2024-09-24,,,,,,,,,,,,,,,,,,,,7.72
2024-09-25,,,,,,,,,,,,,,,,,,,,7.72
2024-09-26,,,,,,,,,,,,,,,,,,,,7.7
2024-09-27,,,,,,,,,,,,,,,,,,,,7.66
2024-09-30,,,,,,,,,,,,,,,,,,,,7.66
2024-10-01,,,,,,,,,,,,,,,,,,,,7.66
2024-10-02,,,,,,,,,,,,,,,,,,,,7.66
2024-10-03,,,,,,,,,,,,,,,,,,,,7.68
2024-10-04,,,,,,,,,,,,,,,,,,,,7.6
2024-10-07,,,,,,,,,,,,,,,,,,,,7.6
2024-10-08,,,,,,,,,,,,,,,,,,,,7.4
2024-10-09,,,,,,,,,,,,,,,,,,,,7.4
2024-10-10,,,,,,,,,,,,,,,,,,,,7.4
2024-10-11,,,,,,,,,,,,,,,,,,,,7.4
2024-10-14,,,,,,,,,,,,,,,,,,,,7.3
2024-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,12274.0,0.01,0.0,0.0,0.0,7.22
2024-10-16,,,,,,,,,,,,,,,,,,,,7.18
2024-10-17,,,,,,,,,,,,,,,,,,,,6.82
2024-10-18,,,,,,,,,,,,,,,,,,,,7.06
2024-10-21,,,,,,,,,,,,,,,,,,,,7.06
2024-10-22,,,,,,,,,,,,,,,,,,,,6.9
2024-10-23,,,,,,,,,,,,,,,,,,,,6.86
2024-10-24,,,,,,,,,,,,,,,,,,,,6.94
2024-10-25,,,,,,,,,,,,,,,,,,,,6.8
2024-10-28,,,,,,,,,,,,,,,,,,,,6.8
2024-10-29,,,,,,,,,,,,,,,,,,,,6.8
2024-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,11322.0,0.01,0.0,0.0,0.0,6.66
2024-10-31,,,,,,,,,,,,,,,,,,,,6.68
2024-11-01,,,,,,,,,,,,,,,,,,,,6.68
2024-11-04,,,,,,,,,,,,,,,,,,,,6.62
2024-11-05,,,,,,,,,,,,,,,,,,,,6.78
2024-11-06,,,,,,,,,,,,,,,,,,,,6.96
2024-11-07,,,,,,,,,,,,,,,,,,,,6.86
2024-11-08,,,,,,,,,,,,,,,,,,,,6.86
2024-11-11,,,,,,,,,,,,,,,,,,,,6.88
2024-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,11526.0,0.01,0.0,0.0,0.0,6.78
2024-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,11390.0,0.01,0.0,0.0,0.0,6.7
2024-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,11424.0,0.01,0.0,0.0,0.0,6.72
2024-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,11390.0,0.01,0.0,0.0,0.0,6.7
2024-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,11288.0,0.01,0.0,0.0,0.0,6.64
2024-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,11186.0,0.01,0.0,0.0,0.0,6.58
2024-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,11492.0,0.01,0.0,0.0,0.0,6.76
2024-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,11458.0,0.01,0.0,0.0,0.0,6.74
2024-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,11458.0,0.01,0.0,0.0,0.0,6.74
2024-11-25,,,,,,,,,,,,,,,,,,,,6.54
2024-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,11186.0,0.01,0.0,0.0,0.0,6.58
2024-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11808.0,0.01,0.0,0.0,0.0,6.56
2024-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11808.0,0.01,0.0,0.0,0.0,6.56
2024-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11808.0,0.01,0.0,0.0,0.0,6.56
2024-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11808.0,0.01,0.0,0.0,0.0,6.56
2024-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11808.0,0.01,0.0,0.0,0.0,6.56
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11484.0,0.01,0.0,0.0,0.0,6.38
2024-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11232.0,0.01,0.0,0.0,0.0,6.24
2024-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11484.0,0.01,0.0,0.0,0.0,6.38
2024-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11160.0,0.01,0.0,0.0,0.0,6.2
2024-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11232.0,0.01,0.0,0.0,0.0,6.24
2024-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11232.0,0.01,0.0,0.0,0.0,6.24
2024-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11124.0,0.01,0.0,0.0,0.0,6.18
2024-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11448.0,0.01,0.0,0.0,0.0,6.36
2024-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11160.0,0.01,0.0,0.0,0.0,6.2
2024-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11160.0,0.01,0.0,0.0,0.0,6.2
2024-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11412.0,0.01,0.0,0.0,0.0,6.34
2024-12-19,,,,,,,,,,,,,,,,,,,,6.2
2024-12-20,,,,,,,,,,,,,,,,,,,,6.34
2024-12-23,,,,,,,,,,,,,,,,,,,,6.32
2024-12-24,,,,,,,,,,,,,,,,,,,,6.04
2024-12-27,,,,,,,,,,,,,,,,,,,,5.98
2024-12-30,,,,,,,,,,,,,,,,,,,,5.98
2024-12-31,,,,,,,,,,,,,,,,,,,,5.96
2025-01-02,,,,,,,,,,,,,,,,,,,,5.98
2025-01-03,,,,,,,,,,,,,,,,,,,,6.0
2025-01-06,,,,,,,,,,,,,,,,,,,,5.98
2025-01-07,,,,,,,,,,,,,,,,,,,,5.92
2025-01-08,,,,,,,,,,,,,,,,,,,,6.0
2025-01-09,,,,,,,,,,,,,,,,,,,,5.98
2025-01-10,,,,,,,,,,,,,,,,,,,,6.0
2025-01-13,,,,,,,,,,,,,,,,,,,,5.98
2025-01-14,,,,,,,,,,,,,,,,,,,,5.9
2025-01-15,,,,,,,,,,,,,,,,,,,,5.94
2025-01-16,,,,,,,,,,,,,,,,,,,,5.92
2025-01-17,,,,,,,,,,,,,,,,,,,,5.92
2025-01-20,,,,,,,,,,,,,,,,,,,,5.84
2025-01-21,,,,,,,,,,,,,,,,,,,,5.92
2025-01-22,,,,,,,,,,,,,,,,,,,,5.92
2025-01-23,,,,,,,,,,,,,,,,,,,,5.9
2025-01-24,,,,,,,,,,,,,,,,,,,,5.78
2025-01-27,,,,,,,,,,,,,,,,,,,,5.7
2025-01-28,,,,,,,,,,,,,,,,,,,,5.54
2025-01-29,,,,,,,,,,,,,,,,,,,,5.14
2025-01-30,,,,,,,,,,,,,,,,,,,,5.32
2025-01-31,,,,,,,,,,,,,,,,,,,,5.26
2025-02-03,,,,,,,,,,,,,,,,,,,,5.26
2025-02-04,,,,,,,,,,,,,,,,,,,,5.14
2025-02-05,,,,,,,,,,,,,,,,,,,,5.18
2025-02-06,,,,,,,,,,,,,,,,,,,,5.22
2025-02-07,,,,,,,,,,,,,,,,,,,,5.12
2025-02-10,,,,,,,,,,,,,,,,,,,,5.1
2025-02-11,,,,,,,,,,,,,,,,,,,,5.04
2025-02-12,,,,,,,,,,,,,,,,,,,,5.0
2025-02-13,,,,,,,,,,,,,,,,,,,,4.92
2025-02-14,,,,,,,,,,,,,,,,,,,,5.0
2025-02-17,,,,,,,,,,,,,,,,,,,,5.0
2025-02-18,,,,,,,,,,,,,,,,,,,,4.82
2025-02-19,,,,,,,,,,,,,,,,,,,,4.86
2025-02-20,,,,,,,,,,,,,,,,,,,,4.86
2025-02-21,,,,,,,,,,,,,,,,,,,,4.86
2025-02-24,,,,,,,,,,,,,,,,,,,,4.82
2025-02-25,,,,,,,,,,,,,,,,,,,,4.85
2025-02-26,,,,,,,,,,,,,,,,,,,,4.85
2025-02-27,,,,,,,,,,,,,,,,,,,,4.95
2025-02-28,,,,,,,,,,,,,,,,,,,,4.89
2025-03-03,,,,,,,,,,,,,,,,,,,,4.9
2025-03-04,,,,,,,,,,,,,,,,,,,,4.5
2025-03-05,,,,,,,,,,,,,,,,,,,,4.64
2025-03-06,,,,,,,,,,,,,,,,,,,,4.86
2025-03-07,,,,,,,,,,,,,,,,,,,,4.7
2025-03-10,,,,,,,,,,,,,,,,,,,,4.81
2025-03-11,,,,,,,,,,,,,,,,,,,,4.8
2025-03-12,,,,,,,,,,,,,,,,,,,,4.8
2025-03-13,,,,,,,,,,,,,,,,,,,,4.7
2025-03-14,,,,,,,,,,,,,,,,,,,,4.8
2025-03-17,,,,,,,,,,,,,,,,,,,,4.8
2025-03-18,,,,,,,,,,,,,,,,,,,,4.68
2025-03-19,,,,,,,,,,,,,,,,,,,,4.69
2025-03-20,,,,,,,,,,,,,,,,,,,,4.69
2025-03-21,,,,,,,,,,,,,,,,,,,,4.65
2025-03-24,,,,,,,,,,,,,,,,,,,,4.72
2025-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8968.0,0.01,0.0,0.0,0.0,4.72
2025-03-26,,,,,,,,,,,,,,,,,,,,4.72
2025-03-27,,,,,,,,,,,,,,,,,,,,4.79
2025-03-28,,,,,,,,,,,,,,,,,,,,4.64
2025-03-31,,,,,,,,,,,,,,,,,,,,4.69
2025-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8740.0,0.01,0.0,0.0,0.0,4.6
2025-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8740.0,0.01,0.0,0.0,0.0,4.6
2025-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8740.0,0.01,0.0,0.0,0.0,4.6
2025-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8512.0,0.01,0.0,0.0,0.0,4.48
2025-04-07,,,,,,,,,,,,,,,,,,,,4.16
2025-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8398.0,0.01,0.0,0.0,0.0,4.42
2025-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8512.0,0.01,0.0,0.0,0.0,4.48
2025-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8322.0,0.01,0.0,0.0,0.0,4.38
2025-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8360.0,0.01,0.0,0.0,0.0,4.4
2025-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8322.0,0.01,0.0,0.0,0.0,4.38
2025-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8322.0,0.01,0.0,0.0,0.0,4.38
2025-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8322.0,0.01,0.0,0.0,0.0,4.38
2025-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8170.0,0.01,0.0,0.0,0.0,4.3
2025-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8170.0,0.01,0.0,0.0,0.0,
2025-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8284.0,0.01,0.0,0.0,0.0,4.36
2025-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8360.0,0.01,0.0,0.0,0.0,4.4
2025-04-24,,,,,,,,,,,,,,,,,,,,4.36
2025-04-25,,,,,,,,,,,,,,,,,,,,4.44
2025-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8436.0,0.01,0.0,0.0,0.0,4.44
2025-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8436.0,0.01,0.0,0.0,0.0,4.44
2025-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8816.0,0.01,0.0,0.0,0.0,4.64
2025-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8816.0,0.01,0.0,0.0,0.0,
2025-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8588.0,0.01,0.0,0.0,0.0,4.52
2025-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8626.0,0.01,0.0,0.0,0.0,4.54
2025-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,8930.0,0.01,0.0,0.0,0.0,4.7
2025-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,9196.0,0.01,0.0,0.0,0.0,4.84
2025-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,9785.0,0.01,0.0,0.0,0.0,5.15
2025-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,9880.0,0.01,0.0,0.0,0.0,5.2
2025-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,10165.0,0.01,0.0,0.0,0.0,5.35
2025-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,10070.0,0.01,0.0,0.0,0.0,5.3
2025-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,9500.0,0.01,0.0,0.0,0.0,5.0
2025-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,9785.0,0.01,0.0,0.0,0.0,5.15
2025-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,10165.0,0.01,0.0,0.0,0.0,5.35
2025-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,9975.0,0.01,0.0,0.0,0.0,5.25
2025-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,9880.0,0.01,0.0,0.0,0.0,5.2
2025-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,9424.0,0.01,0.0,0.0,0.0,4.96
2025-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,9500.0,0.01,0.0,0.0,0.0,5.0
2025-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,9424.0,0.01,0.0,0.0,0.0,4.96
2025-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,9595.0,0.01,0.0,0.0,0.0,5.05
2025-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,9500.0,0.01,0.0,0.0,0.0,5.0
2025-05-28,,,,,,,,,,,,,,,,,,,,5.05
2025-05-29,,,,,,,,,,,,,,,,,,,,5.2
2025-05-30,,,,,,,,,,,,,,,,,,,,5.2
2025-06-02,,,,,,,,,,,,,,,,,,,,5.2
2025-06-03,,,,,,,,,,,,,,,,,,,,5.15
2025-06-04,,,,,,,,,,,,,,,,,,,,5.15
2025-06-05,,,,,,,,,,,,,,,,,,,,5.05
2025-06-06,,,,,,,,,,,,,,,,,,,,5.25
2025-06-09,,,,,,,,,,,,,,,,,,,,5.2
2025-06-10,,,,,,,,,,,,,,,,,,,,5.25
2025-06-11,,,,,,,,,,,,,,,,,,,,5.3
2025-06-12,,,,,,,,,,,,,,,,,,,,5.3
2025-06-13,,,,,,,,,,,,,,,,,,,,5.2
2025-06-16,,,,,,,,,,,,,,,,,,,,5.4
2025-06-17,,,,,,,,,,,,,,,,,,,,5.3
2025-06-18,,,,,,,,,,,,,,,,,,,,5.3
2025-06-19,,,,,,,,,,,,,,,,,,,,5.45
2025-06-20,,,,,,,,,,,,,,,,,,,,5.3
2025-06-23,,,,,,,,,,,,,,,,,,,,5.3
2025-06-24,,,,,,,,,,,,,,,,,,,,5.45
2025-06-25,,,,,,,,,,,,,,,,,,,,5.4
2025-06-26,,,,,,,,,,,,,,,,,,,,5.3
2025-06-27,,,,,,,,,,,,,,,,,,,,5.3
2025-06-30,,,,,,,,,,,,,,,,,,,,5.35
2025-07-01,,,,,,,,,,,,,,,,,,,,5.45
2025-07-02,,,,,,,,,,,,,,,,,,,,5.4
2025-07-03,,,,,,,,,,,,,,,,,,,,5.4
2025-07-04,,,,,,,,,,,,,,,,,,,,5.35
2025-07-07,,,,,,,,,,,,,,,,,,,,5.55
