,CRTO FP Equity_DX_SI_QTY,CRTO FP Equity_DX_SHORT_INTEREST_VALUE,CRTO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CRTO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CRTO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CRTO FP Equity_DX_SI_MV,CRTO FP Equity_DX_DSS,CRTO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CRTO FP Equity_DX_SUPPLY_SI_QTY,CRTO FP Equity_DX_BROKER_SI_QTY,CRTO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CRTO FP Equity_DX_SUPPLY_SI_QTY_INC_x,CRTO FP Equity_DX_BROKER_SI_MV_INC_x,CRTO FP Equity_DX_BROKER_SI_QTY_ADD,CRTO FP Equity_DX_SUPPLY_SI_MV_DEC,CRTO FP Equity_DX_BROKER_SI_QTY_INC,CRTO FP Equity_DX_SUPPLY_SI_QTY_DEC,CRTO FP Equity_DX_BROKER_SI_MV_INC_y,CRTO FP Equity_DX_SUPPLY_SI_QTY_INC_y,CRTO FP Equity_DX_BROKER_SI_MV_ADD,CRTO FP Equity_DX_SUPPLY_SI_QTY_ADD,CRTO FP Equity_DX_BROKER_SI_QTY_DEC,CRTO FP Equity_DX_SUPPLY_SI_MV,CRTO FP Equity_DX_BROKER_SI_MV_DEC,CRTO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CRTO FP Equity_DX_UTILIZATION_QUANTITY,CRTO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CRTO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CRTO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CRTO FP Equity_DX_ACTIVE_UTILIZATION_MV,CRTO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CRTO FP Equity_DX_BROKER_SI_CON_RATIO,CRTO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CRTO FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,7994.0,432141.62,0.78,0.0,,0.0,,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8688.0,473467.38,0.85,0.0,,0.0,,0.0
2007-04-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8688.0,481712.92,0.87,0.0,,0.0,,0.0
2007-04-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8688.0,479784.14,0.87,0.0,,0.0,,0.0
2007-04-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9934.0,545836.21,0.98,0.0,,0.0,,0.0
2007-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11564.0,650802.23,1.15,0.0,,0.0,,0.0
2007-04-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11583.0,651871.51,1.18,0.0,,0.0,,0.0
2007-04-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11583.0,651871.51,1.17,0.0,,0.0,,0.0
2007-04-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,14100.0,774820.61,1.4,0.0,,0.0,,0.0
2007-04-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,16764.0,939727.68,1.69,0.0,,0.0,,0.0
2007-04-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20713.0,1166841.96,2.1,0.0,,0.0,,0.0
2007-04-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20713.0,1172589.95,2.11,0.0,,0.0,,0.0
2007-04-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,22463.0,1285373.72,2.32,0.0,,0.0,,0.0
2007-04-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,25269.0,1402461.82,2.53,0.0,,0.0,,0.0
2007-04-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29275.0,1650796.75,2.97,0.0,,0.0,,0.0
2007-04-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29275.0,1628049.55,2.93,0.0,,0.0,,0.0
2007-04-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29275.0,1610176.75,2.9,0.0,,0.0,,0.0
2007-04-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29275.0,1624799.95,2.91,0.0,,0.0,,0.0
2007-04-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29275.0,1611801.55,2.9,0.0,,0.0,,0.0
2007-04-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29275.0,1603677.55,2.89,0.0,,0.0,,0.0
2007-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29275.0,1572806.35,2.83,0.0,,0.0,,0.0
2007-04-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29275.0,1602052.75,2.89,0.0,,0.0,,0.0
2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29275.0,1637635.87,2.95,0.0,,0.0,,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29275.0,1637635.87,2.95,0.0,,0.0,,0.0
2007-05-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29275.0,1649171.95,2.97,0.0,,0.0,,0.0
2007-05-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29275.0,1636173.55,2.95,0.0,,0.0,,0.0
2007-05-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29750.0,1672628.17,3.01,0.0,,0.0,,0.0
2007-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,44564.0,2473359.0,4.46,0.0,,0.0,,0.0
2007-05-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,48414.0,2724388.77,4.91,0.0,,0.0,,0.0
2007-05-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,48414.0,2687576.34,4.85,0.0,,0.0,,0.0
2007-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,48414.0,2713640.61,4.9,0.0,,0.0,,0.0
2007-05-11,6406.0,358029.98,0.49,2.82,0.22,0.65,0.0,0.0,6406.0,0.0,358029.98,,,,,,,,,,6406.0,,0.65,,100.0,13.23,0.0,0.0,0.0,100.0,,1.0,100.0,0.1323
2007-05-14,6406.0,358243.31,0.49,2.86,0.22,0.65,0.0,0.0,6406.0,0.0,358243.31,,,,,,,,,,,,0.65,,100.0,13.23,0.0,0.0,0.0,100.0,,1.0,100.0,0.1323
2007-05-15,6406.0,363291.99,0.49,2.87,0.22,0.65,0.0,0.0,6406.0,0.0,363291.99,,,,,,,,,,,,0.65,,100.0,13.23,0.0,0.0,0.0,100.0,,1.0,100.0,0.1323
2007-05-16,6406.0,366207.43,0.49,2.84,0.22,0.65,0.0,0.0,6406.0,0.0,366207.43,,,,,,,,,,,,0.65,,100.0,13.23,0.0,0.0,0.0,100.0,,1.0,100.0,0.1323
2007-05-17,6406.0,364429.72,0.49,2.84,0.22,0.66,0.0,0.0,6406.0,0.0,364429.72,,,,,,,,,,,,0.66,,100.0,13.23,0.0,0.0,0.0,100.0,,1.0,100.0,0.1323
2007-05-18,6406.0,373140.48,0.49,2.93,0.22,0.66,0.0,0.0,6406.0,0.0,373140.48,,,,,,,,,,,,0.66,,100.0,13.05,0.0,0.0,0.0,100.0,,1.0,100.0,0.1305
2007-05-21,6406.0,369051.76,0.49,3.02,0.22,0.68,0.0,0.0,6406.0,0.0,369051.76,,,,,,,,,,,,0.68,,100.0,12.73,0.0,0.0,0.0,100.0,,1.0,100.0,0.1273
2007-05-22,6406.0,367167.39,0.49,3.18,0.22,0.66,0.0,0.0,6406.0,0.0,367167.39,,,,,,,,,,,,0.66,,100.0,12.73,0.0,0.0,0.0,100.0,,1.0,100.0,0.1273
2007-05-23,6406.0,373337.67,0.49,3.41,0.22,0.66,0.0,0.0,6406.0,0.0,373337.67,,,,,,,,,,,,0.66,,100.0,12.54,0.0,0.0,0.0,100.0,,1.0,100.0,0.1254
2007-05-24,6406.0,376092.25,0.49,3.37,0.22,0.65,0.0,0.0,6406.0,0.0,376092.25,,,,,,,,,,,,0.65,,100.0,12.54,0.0,0.0,0.0,100.0,,1.0,100.0,0.1254
2007-05-25,6406.0,374586.41,0.49,3.48,0.22,0.66,0.0,0.0,6406.0,0.0,374586.41,,,,,,,,,,,,0.66,,100.0,12.54,0.0,0.0,0.0,100.0,,1.0,100.0,0.1254
2007-05-28,6406.0,376459.53,0.49,3.65,0.22,0.65,0.0,0.0,6406.0,0.0,376459.53,,,,,,,,,,,,0.65,,100.0,12.54,0.0,0.0,0.0,100.0,,1.0,100.0,0.1254
2007-05-29,6406.0,375320.97,0.49,3.95,0.22,0.66,0.0,0.0,6406.0,0.0,375320.97,,,,,,,,,,,,0.66,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-05-30,6406.0,368195.78,0.49,3.98,0.22,0.66,0.0,0.0,6406.0,0.0,368195.78,,,,,,,,,,,,0.66,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-05-31,6406.0,370950.36,0.49,4.0,0.22,0.64,0.0,0.0,6406.0,0.0,370950.36,,,,,,,,,,,,0.64,,100.0,12.34,0.0,0.0,0.0,100.0,,1.0,100.0,0.1234
2007-06-01,6406.0,363604.81,0.49,4.04,0.22,0.65,0.0,0.0,6406.0,0.0,363604.81,,,,,,,,,,,,0.65,,100.0,12.34,0.0,0.0,0.0,100.0,,1.0,100.0,0.1234
2007-06-04,6406.0,362870.26,0.49,4.04,0.22,0.63,0.0,0.0,6406.0,0.0,362870.26,,,,,,,,,,,,0.63,,100.0,12.34,0.0,0.0,0.0,100.0,,1.0,100.0,0.1234
2007-06-05,6406.0,367277.59,0.49,4.05,0.22,0.63,0.0,0.0,6406.0,0.0,367277.59,,,,,,,,,,,,0.63,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-06,6406.0,357728.37,0.49,3.9,0.22,0.63,0.0,0.0,6406.0,0.0,357728.37,,,,,,,,,,,,0.63,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-07,6406.0,356810.17,0.49,3.89,0.22,0.62,0.0,0.0,6406.0,0.0,356810.17,,,,,,,,,,,,0.62,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-08,6406.0,356442.9,0.49,3.91,0.22,0.63,0.0,0.0,6406.0,0.0,356442.9,,,,,,,,,,,,0.63,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-11,6406.0,356442.9,0.49,3.94,0.22,0.62,0.0,0.0,6406.0,0.0,356442.9,,,,,,,,,,,,0.62,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-12,6406.0,361768.42,0.49,3.99,0.22,0.63,0.0,0.0,6406.0,0.0,361768.42,,,,,,,,,,,,0.63,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-13,6406.0,357030.54,0.49,3.99,0.22,0.63,0.0,0.0,6406.0,0.0,357030.54,,,,,,,,,,,,0.63,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-14,6406.0,356993.81,0.49,5.91,0.22,0.62,0.0,0.0,6406.0,0.0,356993.81,,,,,,,,,,,,0.62,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-15,6406.0,363127.35,0.49,6.75,0.22,0.62,0.0,0.0,6406.0,0.0,363127.35,,,,,,,,,,,,0.62,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-18,6406.0,363164.08,0.49,6.75,0.22,0.63,0.0,0.0,6406.0,0.0,363164.08,,,,,,,,,,,,0.63,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-19,6406.0,358977.11,0.49,11.91,0.22,0.63,0.0,0.0,6406.0,0.0,358977.11,,,,,,,,,,,,0.63,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-20,6406.0,358977.11,0.49,11.54,0.22,0.63,0.0,0.0,6406.0,0.0,358977.11,,,,,,,,,,,,0.63,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-21,6406.0,363127.35,0.49,11.51,0.22,0.62,0.0,0.0,6406.0,0.0,363127.35,,,,,,,,,,,,0.62,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-22,6406.0,359932.03,0.49,11.5,0.22,0.63,0.0,0.0,6406.0,0.0,359932.03,,,,,,,,,,,,0.63,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-25,6406.0,359932.03,0.49,11.58,0.22,0.63,0.0,0.0,6406.0,0.0,359932.03,,,,,,,,,,,,0.63,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-26,6406.0,355561.43,0.49,11.78,0.22,0.63,0.0,0.0,6406.0,0.0,355561.43,,,,,,,,,,,,0.63,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-27,6406.0,354496.33,0.49,12.43,0.22,0.62,0.0,0.0,6406.0,0.0,354496.33,,,,,,,,,,,,0.62,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-28,6406.0,353504.68,0.49,13.36,0.22,0.62,0.0,0.0,6406.0,0.0,353504.68,,,,,,,,,,,,0.62,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-06-29,6406.0,359932.03,0.49,12.95,0.22,0.61,0.0,0.0,6406.0,0.0,359932.03,,,,,,,,,,,,0.61,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-07-02,6406.0,365441.2,0.49,13.15,0.22,0.63,0.0,0.0,6406.0,0.0,365441.2,,,,,,,,,,,,0.63,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-07-03,6406.0,361217.51,0.49,12.78,0.22,0.63,0.0,0.0,6406.0,0.0,361217.51,,,,,,,,,,,,0.63,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-07-04,6406.0,361217.51,0.49,12.64,0.22,0.63,0.0,0.0,6406.0,0.0,361217.51,,,,,,,,,,,,0.63,,100.0,12.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.1249
2007-07-05,6406.0,363604.81,0.49,12.53,0.22,0.63,0.0,0.0,6406.0,0.0,363604.81,,,,,,,,,,,,0.63,,100.0,12.36,0.0,0.0,0.0,100.0,,1.0,100.0,0.1236
2007-07-06,6406.0,363641.54,0.49,10.88,0.22,0.64,0.0,0.0,6406.0,0.0,363641.54,,,,,,,,,,,,0.64,,100.0,12.36,0.0,0.0,0.0,100.0,,1.0,100.0,0.1236
2007-07-09,6406.0,364412.82,0.49,11.19,0.22,0.63,0.0,0.0,6406.0,0.0,364412.82,,,,,,,,,,,,0.63,,100.0,12.36,0.0,0.0,0.0,100.0,,1.0,100.0,0.1236
2007-07-10,6406.0,366543.03,0.49,11.19,0.22,0.63,0.0,0.0,6406.0,0.0,366543.03,,,,,,,,,,,,0.63,,100.0,11.37,0.0,0.0,0.0,100.0,,1.0,100.0,0.1137
2007-07-11,6406.0,365441.2,0.49,11.32,0.22,0.64,0.0,0.0,6406.0,0.0,365441.2,,,,,,,,,,,,0.64,,100.0,10.83,0.0,0.0,0.0,100.0,,1.0,100.0,0.1083
2007-07-12,6406.0,365441.2,0.49,11.4,0.22,0.64,0.0,0.0,6406.0,0.0,365441.2,,,,,,,,,,,,0.64,,100.0,11.38,0.0,0.0,0.0,100.0,,1.0,100.0,0.1138
2007-07-13,6406.0,366543.03,0.49,11.46,0.22,0.64,0.0,0.0,6406.0,0.0,366543.03,,,,,,,,,,,,0.64,,100.0,11.38,0.0,0.0,0.0,100.0,,1.0,100.0,0.1138
2007-07-16,6406.0,365808.48,0.49,11.37,0.22,0.64,0.0,0.0,6406.0,0.0,365808.48,,,,,,,,,,,,0.64,,100.0,11.36,0.0,0.0,0.0,100.0,,1.0,100.0,0.1136
2007-07-17,6406.0,366543.03,0.49,11.52,0.22,0.64,0.0,0.0,6406.0,0.0,366543.03,,,,,,,,,,,,0.64,,100.0,11.36,0.0,0.0,0.0,100.0,,1.0,100.0,0.1136
2007-07-18,6406.0,364339.37,0.49,12.74,0.22,0.64,0.0,0.0,6406.0,0.0,364339.37,,,,,,,,,,,,0.64,,100.0,11.36,0.0,0.0,0.0,100.0,,1.0,100.0,0.1136
2007-07-19,6406.0,367240.86,0.49,12.44,0.22,0.64,0.0,0.0,6406.0,0.0,367240.86,,,,,,,,,,,,0.64,,100.0,11.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.1194
2007-07-20,6406.0,363604.81,0.49,12.27,0.22,0.64,0.0,0.0,6406.0,0.0,363604.81,,,,,,,,,,,,0.64,,100.0,11.35,0.0,0.0,0.0,100.0,,1.0,100.0,0.1135
2007-07-23,6406.0,363604.81,0.49,12.07,0.22,0.64,0.0,0.0,6406.0,0.0,363604.81,,,,,,,,,,,,0.64,,100.0,11.93,0.0,0.0,0.0,100.0,,1.0,100.0,0.1193
2007-07-24,6406.0,363604.81,0.49,12.32,0.22,0.64,0.0,0.0,6406.0,0.0,363604.81,,,,,,,,,,,,0.64,,100.0,11.36,0.0,0.0,0.0,100.0,,1.0,100.0,0.1136
2007-07-25,6406.0,363604.81,0.49,12.85,0.22,0.64,0.0,0.0,6406.0,0.0,363604.81,,,,,,,,,,,,0.64,,100.0,11.35,0.0,0.0,0.0,100.0,,1.0,100.0,0.1135
2007-07-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.64,,6406.0,,,,,,0.0,,0.0,0.0,56416.0,3202174.36,5.58,0.0,,0.0,,0.0
2007-07-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,56404.0,3201493.24,5.59,0.0,,0.0,,0.0
2007-07-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,56378.0,3200017.48,5.58,0.0,,0.0,,0.0
2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,56344.0,3214239.6,5.61,0.0,,0.0,,0.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,56366.0,3199336.36,5.61,0.0,,0.0,,0.0
2007-08-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,56334.0,3184600.77,5.55,0.0,,0.0,,0.0
2007-08-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,56347.0,3175643.98,5.53,0.0,,0.0,,0.0
2007-08-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,56023.0,3131687.86,5.46,0.0,,0.0,,0.0
2007-08-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,55995.0,3152595.33,5.5,0.0,,0.0,,0.0
2007-08-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,56026.0,3164298.37,5.52,0.0,,0.0,,0.0
2007-08-09,2000.0,113520.08,0.15,3.94,0.07,0.2,0.0,113520.08,0.0,2000.0,0.0,,,2000.0,,,,,,0.2,,,0.0,,0.0,0.0,56036.0,3180605.55,5.55,0.0,,1.0,100.0,0.0357
2007-08-10,3000.0,170538.12,0.23,5.89,0.1,0.3,0.0,170538.12,0.0,3000.0,0.0,,,1000.0,,,,,,0.1,,,0.0,,0.0,0.0,56012.0,3184060.34,5.55,0.0,33.44,0.5548,66.56,0.0536
2007-08-13,3000.0,172000.12,0.23,5.87,0.1,0.3,0.0,172000.12,0.0,3000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,56012.0,3211356.88,5.6,0.0,33.48,0.5546,66.52,0.0536
2007-08-14,3000.0,170297.32,0.23,5.67,0.1,0.3,0.0,170297.32,0.0,3000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,55928.0,3174796.12,5.56,0.0,33.44,0.5549,66.56,0.0536
2007-08-15,3000.0,170280.12,0.23,5.54,0.1,0.3,0.0,170280.12,0.0,3000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,55980.0,3177426.99,5.56,0.0,33.45,0.5548,66.55,0.0536
