,AGEB FP Equity_PX_LAST
2011-07-04,99.53
2011-07-05,99.55
2011-07-06,99.58
2011-07-07,99.66
2011-07-08,99.82
2011-07-11,99.82
2011-07-12,99.72
2011-07-13,99.79
2011-07-14,99.94
2011-07-15,99.9
2011-07-18,99.86
2011-07-19,99.97
2011-07-20,100.24
2011-07-21,100.36
2011-07-22,100.51
2011-07-25,100.38
2011-07-26,100.5
2011-07-27,100.84
2011-07-28,101.12
2011-07-29,101.5
2011-08-01,102.14
2011-08-02,102.56
2011-08-03,102.97
2011-08-04,102.92
2011-08-05,102.3
2011-08-08,101.45
2011-08-09,100.44
2011-08-10,101.3
2011-08-11,100.52
2011-08-12,100.59
2011-08-15,101.26
2011-08-16,101.51
2011-08-17,102.37
2011-08-18,102.33
2011-08-19,102.43
2011-08-22,102.32
2011-08-23,101.75
2011-08-24,101.73
2011-08-25,101.6
2011-08-26,101.57
2011-08-29,101.64
2011-08-30,101.86
2011-08-31,102.62
2011-09-01,102.65
2011-09-02,102.72
2011-09-05,102.74
2011-09-06,102.63
2011-09-07,102.47
2011-09-08,102.67
2011-09-09,102.42
2011-09-12,101.92
2011-09-13,101.73
2011-09-14,101.29
2011-09-15,101.06
2011-09-16,101.25
2011-09-19,100.91
2011-09-20,100.96
2011-09-21,100.79
2011-09-22,99.33
2011-09-23,98.29
2011-09-26,97.53
2011-09-27,98.17
2011-09-28,98.44
2011-09-29,98.47
2011-09-30,98.58
2011-10-03,98.37
2011-10-04,97.61
2011-10-05,97.97
2011-10-06,98.68
2011-10-07,99.35
2011-10-10,98.81
2011-10-11,99.63
2011-10-12,100.51
2011-10-13,100.46
2011-10-14,100.8
2011-10-17,101.0
2011-10-18,100.8
2011-10-19,101.03
2011-10-20,100.62
2011-10-21,100.77
2011-10-24,100.86
2011-10-25,101.27
2011-10-26,101.52
2011-10-27,102.39
2011-10-28,102.33
2011-10-31,102.15
2011-11-01,102.07
2011-11-02,102.42
2011-11-03,102.82
2011-11-04,103.1
2011-11-07,102.64
2011-11-08,103.07
2011-11-09,102.96
2011-11-10,102.78
2011-11-11,102.56
2011-11-14,102.49
2011-11-15,102.17
2011-11-16,102.22
2011-11-17,102.0
2011-11-18,101.77
2011-11-21,101.23
2011-11-22,101.24
2011-11-23,100.96
2011-11-24,100.79
2011-11-25,100.41
2011-11-28,100.86
2011-11-29,100.88
2011-11-30,101.39
2011-12-01,101.74
2011-12-02,102.32
2011-12-05,102.89
2011-12-06,102.91
2011-12-07,102.84
2011-12-08,102.78
2011-12-09,103.17
2011-12-12,103.04
2011-12-13,102.91
2011-12-14,103.2
2011-12-15,102.5
2011-12-16,102.61
2011-12-19,102.61
2011-12-20,102.87
2011-12-21,103.11
2011-12-22,103.44
2011-12-23,103.09
2011-12-27,103.05
2011-12-28,103.13
2011-12-29,103.11
2011-12-30,103.22
2012-01-02,103.21
2012-01-03,103.46
2012-01-04,103.07
2012-01-05,102.8
2012-01-06,102.88
2012-01-09,102.73
2012-01-10,103.33
2012-01-11,103.04
2012-01-12,102.72
2012-01-13,102.6
2012-01-16,102.48
2012-01-17,102.58
2012-01-18,102.79
2012-01-19,103.2
2012-01-20,103.48
2012-01-23,103.59
2012-01-24,103.6
2012-01-25,103.61
2012-01-26,104.26
2012-01-27,104.31
2012-01-30,104.31
2012-01-31,104.56
2012-02-01,105.02
2012-02-02,105.31
2012-02-03,105.62
2012-02-06,105.6
2012-02-07,105.61
2012-02-08,105.66
2012-02-09,105.7
2012-02-10,106.0
2012-02-13,105.87
2012-02-14,106.11
2012-02-15,106.28
2012-02-16,106.04
2012-02-17,106.28
2012-02-20,106.3
2012-02-21,106.56
2012-02-22,106.84
2012-02-23,107.02
2012-02-24,107.13
2012-02-27,107.47
2012-02-28,107.66
2012-02-29,107.47
2012-03-01,107.7
2012-03-02,108.16
2012-03-05,107.76
2012-03-06,107.22
2012-03-07,107.35
2012-03-08,107.76
2012-03-09,107.95
2012-03-12,108.18
2012-03-13,108.56
2012-03-14,108.13
2012-03-15,107.58
2012-03-16,107.62
2012-03-19,107.47
2012-03-20,107.18
2012-03-21,107.56
2012-03-22,106.97
2012-03-23,106.92
2012-03-26,106.89
2012-03-27,106.89
2012-03-28,107.0
2012-03-29,106.68
2012-03-30,107.02
2012-04-02,107.03
2012-04-03,107.28
2012-04-04,106.95
2012-04-05,106.84
2012-04-10,107.02
2012-04-11,107.08
2012-04-12,107.81
2012-04-13,107.65
2012-04-16,107.74
2012-04-17,108.13
2012-04-18,107.96
2012-04-19,108.07
2012-04-20,108.56
2012-04-23,108.16
2012-04-24,108.45
2012-04-25,108.54
2012-04-26,108.59
2012-04-27,108.91
2012-04-30,109.23
2012-05-02,109.47
2012-05-03,110.02
2012-05-04,110.04
2012-05-07,109.88
2012-05-08,109.63
2012-05-09,109.17
2012-05-10,109.01
2012-05-11,108.75
2012-05-14,107.83
2012-05-15,107.24
2012-05-16,107.11
2012-05-17,106.64
2012-05-18,106.34
2012-05-21,106.45
2012-05-22,107.1
2012-05-23,106.1
2012-05-24,106.48
2012-05-25,106.1
2012-05-28,106.25
2012-05-29,106.37
2012-05-30,106.1
2012-05-31,106.05
2012-06-01,105.83
2012-06-04,105.51
2012-06-05,106.3
2012-06-06,107.64
2012-06-07,108.34
2012-06-08,108.07
2012-06-11,108.32
2012-06-12,108.39
2012-06-13,108.61
2012-06-14,108.98
2012-06-15,109.64
2012-06-18,109.77
2012-06-19,109.84
2012-06-20,109.81
2012-06-21,109.95
2012-06-22,109.62
2012-06-25,109.37
2012-06-26,109.27
2012-06-27,109.59
2012-06-28,109.52
2012-06-29,110.25
2012-07-02,110.53
2012-07-03,111.41
2012-07-04,111.62
2012-07-05,111.81
2012-07-06,111.86
2012-07-09,111.72
2012-07-10,112.21
2012-07-11,112.64
2012-07-12,113.1
2012-07-13,113.68
2012-07-16,114.12
2012-07-17,114.94
2012-07-18,114.83
2012-07-19,114.85
2012-07-20,115.13
2012-07-23,114.03
2012-07-24,113.77
2012-07-25,113.83
2012-07-26,114.48
2012-07-27,114.75
2012-07-30,115.16
2012-07-31,115.77
2012-08-01,116.0
2012-08-02,116.2
2012-08-03,116.67
2012-08-06,117.23
2012-08-07,117.45
2012-08-08,116.9
2012-08-09,116.73
2012-08-10,116.23
2012-08-13,116.21
2012-08-14,115.99
2012-08-15,115.45
2012-08-16,115.32
2012-08-17,115.25
2012-08-20,115.25
2012-08-21,115.46
2012-08-22,115.89
2012-08-23,116.36
2012-08-24,116.37
2012-08-27,116.22
2012-08-28,116.53
2012-08-29,116.71
2012-08-30,116.62
2012-08-31,116.95
2012-09-03,116.83
2012-09-04,116.96
2012-09-05,117.07
2012-09-06,117.42
2012-09-07,117.7
2012-09-10,118.06
2012-09-11,118.27
2012-09-12,118.18
2012-09-13,117.94
2012-09-14,117.78
2012-09-17,117.71
2012-09-18,117.81
2012-09-19,117.85
2012-09-20,117.48
2012-09-21,117.6
2012-09-24,117.42
2012-09-25,117.68
2012-09-26,117.5
2012-09-27,117.98
2012-09-28,118.2
2012-10-01,118.67
2012-10-02,118.92
2012-10-03,119.22
2012-10-04,119.41
2012-10-05,119.47
2012-10-08,119.42
2012-10-09,119.07
2012-10-10,118.9
2012-10-11,119.34
2012-10-12,119.9
2012-10-15,120.24
2012-10-16,120.69
2012-10-17,120.37
2012-10-18,120.42
2012-10-19,120.36
2012-10-22,119.93
2012-10-23,119.67
2012-10-24,119.95
2012-10-25,119.81
2012-10-26,119.39
2012-10-29,119.08
2012-10-30,119.0
2012-10-31,119.24
2012-11-01,119.21
2012-11-02,119.22
2012-11-05,119.48
2012-11-06,119.93
2012-11-07,120.15
2012-11-08,120.3
2012-11-09,120.07
2012-11-12,120.12
2012-11-13,119.92
2012-11-14,119.75
2012-11-15,119.6
2012-11-16,119.48
2012-11-19,119.67
2012-11-20,119.76
2012-11-21,119.77
2012-11-22,119.89
2012-11-23,119.87
2012-11-26,119.97
2012-11-27,120.12
2012-11-28,120.77
2012-11-29,121.34
2012-11-30,121.39
2012-12-03,121.14
2012-12-04,121.43
2012-12-05,121.3
2012-12-06,122.02
2012-12-07,121.68
2012-12-10,122.18
2012-12-11,122.01
2012-12-12,122.17
2012-12-13,122.02
2012-12-14,122.12
2012-12-17,121.9
2012-12-18,121.88
2012-12-19,121.96
2012-12-20,122.26
2012-12-21,122.1
2012-12-27,122.14
2012-12-28,122.31
2013-01-02,122.57
2013-01-03,122.93
2013-01-04,122.36
2013-01-07,122.22
2013-01-08,121.62
2013-01-09,121.54
2013-01-10,121.45
2013-01-11,120.86
2013-01-14,121.19
2013-01-15,121.29
2013-01-16,121.41
2013-01-17,121.48
2013-01-18,121.59
2013-01-21,121.22
2013-01-22,121.34
2013-01-23,121.58
2013-01-24,121.61
2013-01-25,121.47
2013-01-28,120.91
2013-01-29,120.63
2013-01-30,119.84
2013-01-31,119.11
2013-02-01,118.9
2013-02-04,118.53
2013-02-05,118.65
2013-02-06,119.03
2013-02-07,119.57
2013-02-08,119.79
2013-02-11,119.91
2013-02-12,119.5
2013-02-13,119.42
2013-02-14,119.26
2013-02-15,119.29
2013-02-18,118.96
2013-02-19,119.17
2013-02-20,118.96
2013-02-21,118.58
2013-02-22,118.54
2013-02-25,118.64
2013-02-26,119.16
2013-02-27,119.01
2013-02-28,119.27
2013-03-01,118.85
2013-03-04,119.33
2013-03-05,119.6
2013-03-06,119.44
2013-03-07,119.2
2013-03-08,118.54
2013-03-11,118.32
2013-03-12,118.46
2013-03-13,118.41
2013-03-14,118.25
2013-03-15,118.16
2013-03-18,118.02
2013-03-19,117.78
2013-03-20,117.72
2013-03-21,117.67
2013-03-22,117.53
2013-03-25,117.53
2013-03-26,117.53
2013-03-27,117.4
2013-03-28,117.51
2013-04-02,117.82
2013-04-03,118.16
2013-04-04,119.32
2013-04-05,119.98
2013-04-08,121.46
2013-04-09,121.41
2013-04-10,121.35
2013-04-11,121.61
2013-04-12,121.97
2013-04-15,122.03
2013-04-16,121.87
2013-04-17,121.17
2013-04-18,121.44
2013-04-19,121.36
2013-04-22,121.27
2013-04-23,121.66
2013-04-24,121.68
2013-04-25,121.56
2013-04-26,121.55
2013-04-29,121.9
2013-04-30,122.29
2013-05-02,123.26
2013-05-03,123.16
2013-05-06,122.86
2013-05-07,122.87
2013-05-08,122.58
2013-05-09,122.83
2013-05-10,121.93
2013-05-13,121.0
2013-05-14,121.04
2013-05-15,121.08
2013-05-16,120.73
2013-05-17,120.8
2013-05-20,120.59
2013-05-21,119.9
2013-05-22,120.46
2013-05-23,119.41
2013-05-24,118.54
2013-05-27,118.26
2013-05-28,117.84
2013-05-29,116.17
2013-05-30,115.65
2013-05-31,115.81
2013-06-03,114.9
2013-06-04,115.42
2013-06-05,115.04
2013-06-06,114.03
2013-06-07,114.15
2013-06-10,113.16
2013-06-11,111.12
2013-06-12,112.06
2013-06-13,112.62
2013-06-14,114.41
2013-06-17,114.49
2013-06-18,112.75
2013-06-19,112.65
2013-06-20,108.63
2013-06-21,107.27
2013-06-24,104.55
2013-06-25,105.74
2013-06-26,107.14
2013-06-27,108.42
2013-06-28,108.55
2013-07-01,109.69
2013-07-02,110.74
2013-07-03,109.71
2013-07-04,109.38
2013-07-05,107.84
2013-07-08,107.54
2013-07-09,108.34
2013-07-10,107.17
2013-07-11,107.94
2013-07-12,108.25
2013-07-15,108.81
2013-07-16,108.82
2013-07-17,110.72
2013-07-18,111.67
2013-07-19,111.7
2013-07-22,112.24
2013-07-23,112.18
2013-07-24,111.5
2013-07-25,110.62
2013-07-26,110.64
2013-07-29,110.47
2013-07-30,110.12
2013-07-31,109.14
2013-08-01,108.92
2013-08-02,109.29
2013-08-05,109.42
2013-08-06,109.19
2013-08-07,108.86
2013-08-08,108.53
2013-08-09,109.29
2013-08-12,109.59
2013-08-13,109.12
2013-08-14,109.1
2013-08-15,108.43
2013-08-16,108.0
2013-08-19,106.71
2013-08-20,106.17
2013-08-21,105.7
2013-08-22,105.36
2013-08-23,106.05
2013-08-26,106.24
2013-08-27,105.65
2013-08-28,105.32
2013-08-29,105.59
2013-08-30,105.43
2013-09-02,105.25
2013-09-03,104.91
2013-09-04,104.58
2013-09-05,104.07
2013-09-06,104.99
2013-09-09,105.56
2013-09-10,105.52
2013-09-11,105.8
2013-09-12,106.71
2013-09-13,106.68
2013-09-16,108.04
2013-09-17,107.84
2013-09-18,108.52
2013-09-19,111.24
2013-09-20,111.01
2013-09-23,110.57
2013-09-24,110.19
2013-09-25,110.11
2013-09-26,110.14
2013-09-27,109.6
2013-09-30,108.8
2013-10-01,109.02
2013-10-02,109.04
2013-10-03,109.0
2013-10-04,109.17
2013-10-07,109.68
2013-10-08,109.89
2013-10-09,109.8
2013-10-10,109.74
2013-10-11,110.2
2013-10-14,110.1
2013-10-15,111.02
2013-10-16,110.85
2013-10-17,111.48
2013-10-18,112.15
2013-10-21,112.0
2013-10-22,112.44
2013-10-23,112.81
2013-10-24,112.72
2013-10-25,112.53
2013-10-28,112.5
2013-10-29,112.0
2013-10-30,112.46
2013-10-31,112.43
2013-11-01,111.31
2013-11-04,111.06
2013-11-05,110.11
2013-11-06,110.29
2013-11-07,110.42
2013-11-08,109.33
2013-11-11,108.74
2013-11-12,107.83
2013-11-13,107.82
2013-11-14,108.73
2013-11-15,109.47
2013-11-18,110.4
2013-11-19,109.8
2013-11-20,109.68
2013-11-21,108.91
2013-11-22,109.35
2013-11-25,109.5
2013-11-26,109.36
2013-11-27,109.14
2013-11-28,108.92
2013-11-29,108.75
2013-12-02,108.33
2013-12-03,107.93
2013-12-04,107.66
2013-12-05,107.82
2013-12-06,108.12
2013-12-09,108.7
2013-12-10,109.14
2013-12-11,109.11
2013-12-12,109.16
2013-12-13,109.47
2013-12-16,109.85
2013-12-17,109.78
2013-12-18,109.56
2013-12-19,109.54
2013-12-20,109.81
2013-12-23,109.86
2013-12-27,109.43
2013-12-30,109.48
2014-01-02,109.32
2014-01-03,109.32
2014-01-06,109.56
2014-01-07,109.7
2014-01-08,109.17
2014-01-09,109.12
2014-01-10,109.51
2014-01-13,109.61
2014-01-14,109.63
2014-01-15,109.84
2014-01-16,110.06
2014-01-17,110.07
2014-01-20,110.03
2014-01-21,109.97
2014-01-22,109.67
2014-01-23,108.63
2014-01-24,108.47
2014-01-27,108.46
2014-01-28,108.71
2014-01-29,108.57
2014-01-30,108.31
2014-01-31,107.67
2014-02-03,107.89
2014-02-04,108.56
2014-02-05,109.06
2014-02-06,109.47
2014-02-07,109.56
2014-02-10,109.8
2014-02-11,109.8
2014-02-12,109.76
2014-02-13,109.46
2014-02-14,109.68
2014-02-17,109.93
2014-02-18,109.77
2014-02-19,109.84
2014-02-20,109.65
2014-02-21,110.28
2014-02-24,110.98
2014-02-25,111.34
2014-02-26,111.24
2014-02-27,111.59
2014-02-28,112.15
2014-03-03,111.44
2014-03-04,111.95
2014-03-05,112.16
2014-03-06,112.21
2014-03-07,111.76
2014-03-10,111.49
2014-03-11,111.53
2014-03-12,111.15
2014-03-13,111.41
2014-03-14,111.3
2014-03-17,111.3
2014-03-18,111.36
2014-03-19,111.89
2014-03-20,111.19
2014-03-21,111.27
2014-03-24,111.37
2014-03-25,111.85
2014-03-26,112.57
2014-03-27,113.61
2014-03-28,113.54
2014-03-31,113.64
2014-04-01,113.47
2014-04-02,113.41
2014-04-03,113.48
2014-04-04,114.16
2014-04-07,114.19
2014-04-08,114.53
2014-04-09,114.99
2014-04-10,115.7
2014-04-11,115.33
2014-04-14,115.01
2014-04-15,114.99
2014-04-16,115.11
2014-04-17,115.38
2014-04-22,115.48
2014-04-23,115.52
2014-04-24,115.33
2014-04-25,114.94
2014-04-28,115.05
2014-04-29,115.28
2014-04-30,115.97
2014-05-02,116.25
2014-05-05,116.56
2014-05-06,116.76
2014-05-07,117.53
2014-05-08,118.1
2014-05-09,118.05
2014-05-12,117.65
2014-05-13,117.71
2014-05-14,118.04
2014-05-15,118.26
2014-05-16,118.04
2014-05-19,118.29
2014-05-20,118.29
2014-05-21,118.25
2014-05-22,118.38
2014-05-23,118.48
2014-05-26,118.52
2014-05-27,118.57
2014-05-28,119.14
2014-05-29,119.81
2014-05-30,119.98
2014-06-02,119.81
2014-06-03,119.3
2014-06-04,118.98
2014-06-05,119.24
2014-06-06,120.41
2014-06-09,120.61
2014-06-10,120.13
2014-06-11,119.63
2014-06-12,119.3
2014-06-13,119.42
2014-06-16,118.96
2014-06-17,118.49
2014-06-18,118.51
2014-06-19,119.36
2014-06-20,119.17
2014-06-23,119.33
2014-06-24,119.69
2014-06-25,120.1
2014-06-26,120.28
2014-06-27,120.31
2014-06-30,120.24
2014-07-01,120.1
2014-07-02,119.87
2014-07-03,119.64
2014-07-04,119.69
2014-07-07,119.9
2014-07-08,120.25
2014-07-09,120.45
2014-07-10,120.13
2014-07-11,120.49
2014-07-14,120.44
2014-07-15,120.31
2014-07-16,120.23
2014-07-17,120.18
2014-07-18,120.34
2014-07-21,120.5
2014-07-22,120.74
2014-07-23,121.23
2014-07-24,121.38
2014-07-25,121.22
2014-07-28,120.95
2014-07-29,120.84
2014-07-30,120.9
2014-07-31,120.17
2014-08-01,119.38
2014-08-04,119.31
2014-08-05,119.28
2014-08-06,118.5
2014-08-07,118.8
2014-08-08,118.71
2014-08-11,118.98
2014-08-12,119.2
2014-08-13,119.51
2014-08-14,120.16
2014-08-15,120.65
2014-08-18,120.72
2014-08-19,120.9
2014-08-20,120.82
2014-08-21,121.15
2014-08-22,121.01
2014-08-25,120.78
2014-08-26,121.15
2014-08-27,121.62
2014-08-28,121.37
2014-08-29,121.44
2014-09-01,121.39
2014-09-02,120.91
2014-09-03,120.79
2014-09-04,121.09
2014-09-05,121.15
2014-09-08,120.36
2014-09-09,119.85
2014-09-10,119.41
2014-09-11,119.68
2014-09-12,118.98
2014-09-15,118.42
2014-09-16,118.41
2014-09-17,118.23
2014-09-18,117.84
2014-09-19,118.12
2014-09-22,118.44
2014-09-23,118.32
2014-09-24,118.83
2014-09-25,118.6
2014-09-26,118.37
2014-09-29,117.69
2014-09-30,117.23
2014-10-01,117.55
2014-10-02,117.49
2014-10-03,117.68
2014-10-06,117.7
2014-10-07,117.76
2014-10-08,118.03
2014-10-09,118.74
2014-10-10,118.22
2014-10-13,118.6
2014-10-14,118.44
2014-10-15,118.7
2014-10-16,118.3
2014-10-17,119.17
2014-10-20,119.48
2014-10-21,119.34
2014-10-22,119.34
2014-10-23,119.19
2014-10-24,119.14
2014-10-27,118.89
2014-10-28,119.33
2014-10-29,119.63
2014-10-30,119.63
2014-10-31,119.88
2014-11-03,119.47
2014-11-04,119.17
2014-11-05,119.12
2014-11-06,118.55
2014-11-07,118.42
2014-11-10,118.5
2014-11-11,118.36
2014-11-12,118.36
2014-11-13,118.25
2014-11-14,118.09
2014-11-17,117.93
2014-11-18,117.87
2014-11-19,118.26
2014-11-20,118.33
2014-11-21,118.89
2014-11-24,119.05
2014-11-25,119.11
2014-11-26,119.51
2014-11-27,119.48
2014-11-28,119.94
2014-12-01,118.84
2014-12-02,118.74
2014-12-03,118.56
2014-12-04,118.98
2014-12-05,118.61
2014-12-08,118.09
2014-12-09,117.4
2014-12-11,116.26
2014-12-12,115.02
2014-12-15,113.51
2014-12-16,111.74
2014-12-17,113.5
2014-12-18,116.14
2014-12-19,115.81
2014-12-22,117.05
2014-12-23,117.51
2014-12-29,117.3
2014-12-30,116.94
2015-01-02,117.21
2015-01-05,116.67
2015-01-06,116.43
2015-01-07,116.55
2015-01-08,117.54
2015-01-09,116.78
2015-01-12,116.73
2015-01-13,116.72
2015-01-14,117.14
2015-01-15,117.48
2015-01-16,117.43
2015-01-19,117.12
2015-01-20,117.53
2015-01-21,117.35
2015-01-22,117.17
2015-01-23,118.17
2015-01-26,118.04
2015-01-27,118.03
2015-01-28,118.0
2015-01-29,118.18
2015-01-30,117.97
2015-02-02,118.26
2015-02-03,118.94
2015-02-04,118.69
2015-02-05,118.75
2015-02-06,118.51
2015-02-09,118.1
2015-02-10,117.44
2015-02-11,117.21
2015-02-12,117.71
2015-02-13,117.96
2015-02-16,118.16
2015-02-17,117.84
2015-02-18,117.56
2015-02-19,117.57
2015-02-20,117.49
2015-02-23,116.85
2015-02-24,117.35
2015-02-25,118.33
2015-02-26,118.56
2015-02-27,118.44
2015-03-02,118.54
2015-03-03,118.16
2015-03-04,117.66
2015-03-05,117.71
2015-03-06,116.74
2015-03-09,116.22
2015-03-10,115.92
2015-03-11,115.95
2015-03-12,116.57
2015-03-13,115.4
2015-03-16,115.57
2015-03-17,115.2
2015-03-18,115.33
2015-03-19,116.88
2015-03-20,117.99
2015-03-23,118.44
2015-03-24,118.69
2015-03-25,119.18
2015-03-26,118.55
2015-03-27,118.53
2015-03-30,118.28
2015-03-31,118.41
2015-04-01,118.86
2015-04-02,119.03
2015-04-07,119.69
2015-04-08,119.96
2015-04-09,120.23
2015-04-10,119.96
2015-04-13,120.14
2015-04-14,120.35
2015-04-15,119.97
2015-04-16,120.04
2015-04-17,119.77
2015-04-20,119.74
2015-04-21,119.77
2015-04-22,120.08
2015-04-23,120.22
2015-04-24,120.67
2015-04-27,120.67
2015-04-28,120.5
2015-04-29,119.72
2015-04-30,119.51
2015-05-04,119.2
2015-05-05,118.68
2015-05-06,118.83
2015-05-07,118.25
2015-05-08,119.11
2015-05-11,119.11
2015-05-12,118.05
2015-05-13,118.62
2015-05-14,118.42
2015-05-15,119.13
2015-05-18,119.19
2015-05-19,119.03
2015-05-20,118.71
2015-05-21,119.26
2015-05-22,119.44
2015-05-26,119.2
2015-05-27,118.9
2015-05-28,118.76
2015-05-29,118.62
2015-06-01,118.17
2015-06-02,117.51
2015-06-03,117.33
2015-06-04,116.81
2015-06-05,116.06
2015-06-08,115.25
2015-06-09,114.87
2015-06-10,114.59
2015-06-11,114.63
2015-06-12,115.26
2015-06-15,114.86
2015-06-16,114.49
2015-06-17,114.7
2015-06-18,115.8
2015-06-19,116.26
2015-06-22,116.63
2015-06-23,116.68
2015-06-24,116.63
2015-06-25,116.38
2015-06-26,116.08
2015-06-29,115.48
2015-06-30,115.37
2015-07-01,115.72
2015-07-02,115.99
2015-07-03,116.28
2015-07-06,115.99
2015-07-07,116.16
2015-07-08,115.92
2015-07-09,116.27
2015-07-10,116.31
2015-07-13,116.29
2015-07-14,116.14
2015-07-15,115.96
2015-07-16,116.02
2015-07-17,116.33
2015-07-20,116.0
2015-07-21,116.04
2015-07-22,116.11
2015-07-23,115.86
2015-07-24,115.63
2015-07-27,115.21
2015-07-28,115.0
2015-07-29,115.51
2015-07-30,115.54
2015-07-31,116.12
2015-08-03,116.02
2015-08-04,115.94
2015-08-05,115.74
2015-08-06,115.47
2015-08-07,115.24
2015-08-10,115.2
2015-08-11,115.33
2015-08-12,115.4
2015-08-13,115.52
2015-08-14,115.13
2015-08-17,114.95
2015-08-18,114.71
2015-08-19,114.35
2015-08-20,114.03
2015-08-21,113.76
2015-08-24,111.9
2015-08-25,113.3
2015-08-26,112.85
2015-08-27,113.9
2015-08-28,114.29
2015-08-31,114.11
2015-09-01,113.64
2015-09-02,113.37
2015-09-03,113.7
2015-09-04,113.69
2015-09-07,113.58
2015-09-08,113.7
2015-09-09,113.97
2015-09-10,113.76
2015-09-11,113.78
2015-09-14,113.91
2015-09-15,114.34
2015-09-16,114.72
2015-09-17,114.83
2015-09-18,116.02
2015-09-21,115.68
2015-09-22,114.47
2015-09-23,114.04
2015-09-24,112.99
2015-09-25,113.46
2015-09-28,112.7
2015-09-29,111.91
2015-09-30,113.01
2015-10-01,113.59
2015-10-02,114.12
2015-10-05,115.31
2015-10-06,115.9
2015-10-07,116.63
2015-10-08,116.13
2015-10-09,116.96
2015-10-12,116.89
2015-10-13,116.44
2015-10-14,116.44
2015-10-15,117.1
2015-10-16,117.83
2015-10-19,117.77
2015-10-20,117.62
2015-10-21,117.11
2015-10-22,117.48
2015-10-23,117.88
2015-10-26,118.08
2015-10-27,117.81
2015-10-28,118.08
2015-10-29,117.4
2015-10-30,117.31
2015-11-02,117.54
2015-11-03,118.02
2015-11-04,118.03
2015-11-05,117.5
2015-11-06,116.35
2015-11-09,115.86
2015-11-10,115.76
2015-11-11,116.13
2015-11-12,116.05
2015-11-13,115.87
2015-11-16,115.81
2015-11-17,116.46
2015-11-18,116.74
2015-11-19,117.27
2015-11-20,117.46
2015-11-23,117.6
2015-11-24,117.11
2015-11-25,117.15
2015-11-26,117.14
2015-11-27,117.05
2015-11-30,116.75
2015-12-01,116.83
2015-12-02,116.91
2015-12-03,116.3
2015-12-04,115.6
2015-12-07,115.97
2015-12-08,115.49
