,INDO FP Equity_DX_SI_QTY,INDO FP Equity_DX_SHORT_INTEREST_VALUE,INDO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,INDO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,INDO FP Equity_DX_SI_MV,INDO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,INDO FP Equity_DX_SUPPLY_SI_QTY,INDO FP Equity_DX_BROKER_SI_QTY,INDO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,INDO FP Equity_DX_BROKER_SI_MV_NEW_x,INDO FP Equity_DX_SUPPLY_SI_QTY_INC_x,INDO FP Equity_DX_BROKER_SI_MV_INC_x,INDO FP Equity_DX_BROKER_SI_QTY_ADD,INDO FP Equity_DX_BROKER_SI_QTY_NEW,INDO FP Equity_DX_SUPPLY_SI_MV_DEC,INDO FP Equity_DX_BROKER_SI_QTY_INC,INDO FP Equity_DX_SUPPLY_SI_QTY_DEC,INDO FP Equity_DX_BROKER_SI_MV_NEW_y,INDO FP Equity_DX_BROKER_SI_MV_INC_y,INDO FP Equity_DX_SUPPLY_SI_QTY_INC_y,INDO FP Equity_DX_BROKER_SI_MV_ADD,INDO FP Equity_DX_SUPPLY_SI_QTY_ADD,INDO FP Equity_DX_BROKER_SI_QTY_DEC,INDO FP Equity_DX_SUPPLY_SI_MV,INDO FP Equity_DX_BROKER_SI_MV_DEC,INDO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,INDO FP Equity_DX_UTILIZATION_QUANTITY,INDO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,INDO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,INDO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,INDO FP Equity_DX_ACTIVE_UTILIZATION_MV,INDO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,INDO FP Equity_DX_BROKER_SI_CON_RATIO,INDO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,INDO FP Equity_DX_DEMAND_SUPPLY_RATIO,INDO FP Equity_PX_LAST
2011-08-08,3000.0,294150.0,14.61,0.74,0.29,294150.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.05
2011-08-09,3000.0,288150.0,8.82,0.74,0.29,288150.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,96.05
2011-08-10,3000.0,295290.0,8.81,0.74,0.29,295290.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.43
2011-08-11,3000.0,294600.0,8.81,0.74,0.3,294600.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.2
2011-08-12,3000.0,300750.0,7.57,0.74,0.3,300750.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,100.25
2011-08-15,3000.0,301800.0,7.57,0.98,0.3,301800.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,100.6
2011-08-16,3000.0,304500.0,7.57,0.98,0.3,304500.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,101.5
2011-08-17,3000.0,304950.0,7.54,0.98,0.3,304950.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,101.65
2011-08-18,3000.0,305640.0,6.23,0.98,0.31,305640.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,101.88
2011-08-19,3000.0,293880.0,6.23,0.98,0.29,293880.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,97.96
2011-08-22,3000.0,289470.0,6.23,0.98,0.29,289470.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,96.49
2011-08-23,3000.0,294570.0,6.23,0.98,0.29,294570.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.19
2011-08-24,3000.0,292770.0,6.23,1.46,0.29,292770.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,97.59
2011-08-25,3000.0,285780.0,6.23,1.46,0.29,285780.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,95.26
2011-08-26,3000.0,289410.0,3.04,1.46,0.29,289410.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,96.47
2011-08-29,3000.0,291780.0,3.04,1.46,0.29,291780.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,97.26
2011-08-30,3000.0,296400.0,2.59,1.46,0.29,296400.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.8
2011-08-31,3000.0,301140.0,2.51,1.46,0.3,301140.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,100.38
2011-09-01,3000.0,304110.0,2.39,1.46,0.3,304110.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,101.37
2011-09-02,3000.0,300300.0,2.4,1.46,0.3,300300.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,100.1
2011-09-05,3000.0,295830.0,2.4,1.46,0.3,295830.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.61
2011-09-06,3000.0,300660.0,2.5,1.46,0.3,300660.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,100.22
2011-09-07,3000.0,313620.0,2.63,1.46,0.31,313620.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,104.54
2011-09-08,3000.0,312060.0,2.62,1.46,0.31,312060.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,104.02
2011-09-09,3000.0,309510.0,2.54,1.46,0.31,309510.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,103.17
2011-09-12,3000.0,305880.0,2.54,1.46,0.31,305880.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,101.96
2011-09-13,3000.0,304470.0,2.54,1.46,0.3,304470.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,101.49
2011-09-14,3000.0,289650.0,2.54,2.86,0.29,289650.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,96.55
2011-09-15,8000.0,759680.0,5.03,7.62,0.76,759680.0,0.0,8000.0,0.0,,,0.47,,,,5000.0,,,0.47,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,94.96
2011-09-16,8000.0,776720.0,4.84,7.62,0.78,776720.0,0.0,8000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,97.09
2011-09-19,8000.0,750080.0,3.59,7.62,0.75,750080.0,0.0,8000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,93.76
2011-09-20,18000.0,1707120.0,8.25,17.14,1.71,1707120.0,0.0,18000.0,0.0,,,0.96,,,,10000.0,,,0.96,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,94.84
2011-09-21,18000.0,1596240.0,8.1,17.14,1.58,1596240.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,88.68
2011-09-22,18000.0,1440000.0,7.36,17.14,1.44,1440000.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,80.0
2011-09-23,18000.0,1501920.0,7.29,17.14,1.51,1501920.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,83.44
2011-09-26,18000.0,1480320.0,7.14,17.14,1.49,1480320.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,82.24
2011-09-27,18000.0,1630080.0,7.0,17.14,1.63,1630080.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,90.56
2011-09-28,18000.0,1609740.0,6.98,17.14,1.6,1609740.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,89.43
2011-09-29,18000.0,1644300.0,7.22,17.14,1.65,1644300.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,91.35
2011-09-30,18000.0,1630080.0,7.22,17.14,1.62,1630080.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,90.56
2011-10-03,18000.0,1515060.0,7.12,17.14,1.5,1515060.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,84.17
2011-10-04,18000.0,1467900.0,7.12,17.14,1.48,1467900.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,81.55
2011-10-05,18000.0,1538820.0,6.85,17.14,1.54,1538820.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,85.49
2011-10-06,18000.0,1576620.0,6.85,17.14,1.58,1576620.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,87.59
2011-10-07,18000.0,1572480.0,8.09,17.14,1.57,1572480.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,87.36
2011-10-10,18000.0,1608840.0,7.83,17.14,1.61,1608840.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,89.38
2011-10-11,18000.0,1655460.0,8.45,17.14,1.66,1655460.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,91.97
2011-10-12,18000.0,1701540.0,8.4,17.14,1.7,1701540.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,94.53
2011-10-13,18000.0,1695060.0,8.59,17.14,1.7,1695060.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,94.17
2011-10-14,18000.0,1702980.0,8.59,17.14,1.71,1702980.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,94.61
2011-10-17,18000.0,1690740.0,8.59,17.14,1.69,1690740.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,93.93
2011-10-18,18000.0,1684260.0,8.59,17.14,1.68,1684260.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,93.57
2011-10-19,18000.0,1727280.0,8.94,17.14,1.72,1727280.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,95.96
2011-10-20,18000.0,1672020.0,8.94,17.14,1.68,1672020.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,92.89
2011-10-21,18000.0,1698840.0,9.02,17.14,1.7,1698840.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,94.38
2011-10-24,18000.0,1760580.0,9.02,17.14,1.76,1760580.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,97.81
2011-10-25,18000.0,1730700.0,9.04,17.14,1.73,1730700.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,96.15
2011-10-26,18000.0,1746000.0,9.04,17.14,1.76,1746000.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,97.0
2011-10-27,18000.0,1776060.0,11.37,17.14,1.78,1776060.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.67
2011-10-28,18000.0,1753920.0,11.85,17.14,1.75,1753920.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,97.44
2011-10-31,18000.0,1749780.0,19.09,17.14,1.74,1749780.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,97.21
2011-11-01,18000.0,1703700.0,21.0,17.14,1.7,1703700.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,94.65
2011-11-02,18000.0,1742940.0,21.98,17.14,1.74,1742940.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,96.83
2011-11-03,18000.0,1757700.0,30.19,17.14,1.76,1757700.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,97.65
2011-11-04,18000.0,1747800.0,35.0,17.14,1.76,1747800.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,97.1
2011-11-07,18000.0,1747800.0,38.77,17.14,1.75,1747800.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,
2011-11-08,18000.0,1777680.0,43.53,17.14,1.76,1777680.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.76
2011-11-09,18000.0,1787580.0,44.5,17.14,1.78,1787580.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,99.31
2011-11-10,18000.0,1777140.0,44.5,17.14,1.78,1777140.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.73
2011-11-11,18000.0,1789560.0,44.5,17.14,1.79,1789560.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,99.42
2011-11-14,18000.0,1798020.0,48.71,17.14,1.8,1798020.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,99.89
2011-11-15,18000.0,1790100.0,46.55,17.14,1.79,1790100.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,99.45
2011-11-16,18000.0,1802700.0,62.79,17.14,1.79,1802700.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,100.15
2011-11-17,18000.0,1771200.0,62.81,17.14,1.77,1771200.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.4
2011-11-18,18000.0,1728720.0,96.46,17.14,1.73,1728720.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,96.04
2011-11-21,18000.0,1659420.0,97.24,17.14,1.66,1659420.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,92.19
2011-11-22,18000.0,1681740.0,95.52,17.14,1.68,1681740.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,93.43
2011-11-23,18000.0,1699560.0,130.03,17.14,1.7,1699560.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,94.42
2011-11-24,18000.0,1728900.0,145.2,17.14,1.73,1728900.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,96.05
2011-11-25,18000.0,1682640.0,103.47,51.43,1.74,1682640.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,93.48
2011-11-28,18000.0,1682640.0,103.47,51.43,1.68,1682640.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,
2011-11-29,18000.0,1715040.0,103.75,51.43,1.72,1715040.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,95.28
2011-11-30,18000.0,1716480.0,107.87,51.43,1.72,1716480.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,95.36
2011-12-01,18000.0,1767960.0,110.07,51.43,1.77,1767960.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.22
2011-12-02,18000.0,1781820.0,123.12,51.43,1.78,1781820.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.99
2011-12-05,18000.0,1786320.0,123.12,51.43,1.78,1786320.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,99.24
2011-12-06,18000.0,1768680.0,75.24,51.43,1.77,1768680.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.26
2011-12-07,18000.0,1775520.0,74.98,51.43,1.77,1775520.0,0.0,18000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.64
2011-12-08,19100.0,1890900.0,79.56,54.57,1.89,1890900.0,0.0,19100.0,0.0,,,0.11,,,,1100.0,,,0.11,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,99.0
2011-12-09,19100.0,1893765.0,79.38,54.57,1.9,1893765.0,0.0,19100.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,99.15
2011-12-12,19100.0,1883642.0,57.29,54.57,1.88,1883642.0,0.0,19100.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.62
2011-12-13,19100.0,1895102.0,57.24,54.57,1.89,1895102.0,0.0,19100.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,99.22
2011-12-14,19100.0,1871800.0,57.57,54.57,1.87,1871800.0,0.0,19100.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,98.0
2011-12-15,19100.0,1861868.0,57.57,54.57,1.86,1861868.0,0.0,19100.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,97.48
2011-12-16,19100.0,1923752.0,57.57,54.57,1.93,1923752.0,0.0,19100.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,100.72
2011-12-19,9100.0,918918.0,25.39,26.0,0.92,918918.0,0.0,9100.0,0.0,,,,,,,,,,,,,,10000.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,100.98
2011-12-20,9100.0,912821.0,25.36,26.0,0.91,912821.0,0.0,9100.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,100.31
2011-12-21,8100.0,808704.0,22.53,23.14,0.81,808704.0,0.0,8100.0,0.0,,,,,,,,,,,,,,1000.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,99.84
2011-12-22,8100.0,824661.0,17.67,23.14,0.82,824661.0,0.0,8100.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,101.81
2011-12-23,8100.0,818262.0,17.67,23.14,0.82,818262.0,0.0,8100.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,101.02
