,PLX FP Equity_DX_SI_QTY,PLX FP Equity_DX_SHORT_INTEREST_VALUE,PLX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,PLX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PLX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PLX FP Equity_DX_SI_MV,PLX FP Equity_DX_DSS,PLX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PLX FP Equity_DX_SUPPLY_SI_QTY,PLX FP Equity_DX_BROKER_SI_QTY,PLX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PLX FP Equity_DX_BROKER_SI_MV_NEW_x,PLX FP Equity_DX_SUPPLY_SI_QTY_NEW_x,PLX FP Equity_DX_SUPPLY_SI_QTY_INC_x,PLX FP Equity_DX_BROKER_SI_MV_INC_x,PLX FP Equity_DX_SUPPLY_SI_MV_NEW,PLX FP Equity_DX_BROKER_SI_QTY_ADD,PLX FP Equity_DX_BROKER_SI_QTY_NEW,PLX FP Equity_DX_SUPPLY_SI_MV_DEC,PLX FP Equity_DX_BROKER_SI_QTY_INC,PLX FP Equity_DX_SUPPLY_SI_QTY_DEC,PLX FP Equity_DX_BROKER_SI_MV_NEW_y,PLX FP Equity_DX_SUPPLY_SI_QTY_NEW_y,PLX FP Equity_DX_BROKER_SI_MV_INC_y,PLX FP Equity_DX_SUPPLY_SI_QTY_INC_y,PLX FP Equity_DX_BROKER_SI_MV_ADD,PLX FP Equity_DX_SUPPLY_SI_QTY_ADD,PLX FP Equity_DX_BROKER_SI_QTY_DEC,PLX FP Equity_DX_SUPPLY_SI_MV,PLX FP Equity_DX_BROKER_SI_MV_DEC,PLX FP Equity_DX_SUPPLY_SI_MV_RMV,PLX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PLX FP Equity_DX_UTILIZATION_QUANTITY,PLX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PLX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PLX FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,PLX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PLX FP Equity_DX_ACTIVE_UTILIZATION_MV,PLX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PLX FP Equity_DX_BROKER_SI_CON_RATIO,PLX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PLX FP Equity_DX_DEMAND_SUPPLY_RATIO,PLX FP Equity_PX_LAST
2024-03-08,1084780.0,29354146.8,0.74,1.26,0.74,30.37,0.0,20161269.48,909027.0,745058.0,24598270.62,,,92046.0,0.62,,,,0.11,21032.0,2338.0,,,0.62,92046.0,,41495.0,10238.0,25.33,0.29,,4.12,4.12,21156124.0,572484715.44,,585.14,4.15,7.87,0.6416,79.42,0.0492,27.06
2024-03-11,1032695.0,28362968.18,0.7,1.19,0.7,28.53,0.0,22914159.36,979776.0,834304.0,26909547.84,,,,2.4,,,,0.26,89246.0,8721.0,,,2.4,,,79470.0,,26.77,,,4.44,4.44,21099080.0,579486232.2,,573.18,4.46,8.62,0.6116,77.25,0.0468,27.465
2024-03-12,854659.0,24109930.39,0.58,0.97,0.58,24.74,0.0,22403846.01,852183.0,794181.0,24040082.43,,,,,,,,3.56,,127593.0,,,,,,,40123.0,23.49,0.11,,3.86,3.86,21197180.0,597972447.8,,584.44,3.86,9.21,0.6328,78.72,0.0388,28.21
2024-03-13,1145926.0,31724961.31,0.78,1.29,0.78,33.34,0.0,21986900.99,906086.0,794181.0,25084990.91,,,26903.0,,,,,,,,,,,26903.0,,27000.0,,25.47,,,4.1,4.1,21202830.0,587000348.55,,595.54,4.1,13.66,0.57,73.88,0.0518,27.685
2024-03-14,1188666.0,32807181.6,0.81,1.33,0.81,34.25,0.0,21621370.8,909786.0,783383.0,25110093.6,,,7000.0,,,,,0.09,,3300.0,,,,7000.0,,,10798.0,25.26,0.42,,4.11,4.11,21201900.0,585172440.0,,588.37,4.12,13.16,0.579,74.57,0.0538,27.6
2024-03-15,818393.0,22010679.74,0.56,1.25,0.56,23.68,0.0,19491747.83,748762.0,724735.0,20137953.99,,,,,,3613.0,,4.81,,173199.0,,,,,0.1,12175.0,62261.0,20.6,1.97,,3.41,3.41,21223854.0,570815553.33,,583.22,3.41,9.65,0.5573,73.41,0.0372,26.895
2024-03-18,803269.0,21559739.96,0.55,1.27,0.55,22.85,0.0,19045959.24,734472.0,709611.0,19713228.48,,,,0.48,,,,0.42,17502.0,14290.0,,,0.48,,,,32626.0,19.85,1.16,,3.35,3.35,21207628.0,569212735.52,,570.93,3.36,9.78,0.5237,70.97,0.0366,26.84
2024-03-19,703698.0,18602256.63,0.48,1.17,0.48,19.98,0.0,17285397.11,680107.0,653883.0,17978628.55,,,,,,,,1.46,,54365.0,,,,,,,55728.0,18.26,1.66,,3.19,3.19,20643532.0,545711768.42,,553.48,3.19,11.14,0.5487,72.87,0.033,26.435
2024-03-20,664523.0,17746086.72,0.45,1.26,0.45,18.67,0.0,17461945.52,640932.0,653883.0,17116089.06,,,,,,,,1.05,,39175.0,,,,,,,,16.94,,,3.05,3.05,20378030.0,544195291.15,,537.55,3.05,11.68,0.6087,76.95,0.0316,26.705
2024-03-21,670090.0,17435741.8,0.46,1.45,0.46,18.94,0.0,16838530.76,661447.0,647138.0,17210850.94,,,10244.0,,,,,0.05,,2041.0,,,,10244.0,,12312.0,6745.0,17.58,0.12,,3.14,3.14,20405432.0,530949340.64,,542.24,3.14,11.97,0.6119,77.14,0.0318,26.02
2024-03-22,237849.0,6385056.41,0.16,0.54,0.16,6.46,0.0,5768909.97,223061.0,214897.0,5988072.55,,,,,,,,11.69,,438386.0,,,,,,,432241.0,5.83,12.39,,1.06,1.06,20867892.0,560198560.74,,546.42,1.06,35.29,0.2991,39.6,0.0113,26.845
2024-03-25,161916.0,4297250.64,0.11,0.38,0.11,4.46,0.0,3688104.56,147128.0,138964.0,3904777.12,,,,,,,,1.95,,75933.0,,,,,,,75933.0,3.89,2.09,,0.7,0.7,20903054.0,554767053.16,,560.04,0.69,17.6,0.3365,53.73,0.0077,26.54
2024-03-26,241654.0,6539157.24,0.16,0.59,0.16,6.59,0.0,5866851.54,173021.0,216809.0,4681948.26,,,,0.69,,51952.0,,,25893.0,,,,0.69,,1.43,25893.0,,4.6,,,0.82,0.82,20821436.0,563428058.16,,554.27,0.82,11.98,0.1839,35.12,0.0115,27.06
2024-03-27,241654.0,6498076.06,0.16,0.62,0.16,6.68,0.0,5829994.01,173021.0,216809.0,4652534.69,,,,,,,,,,,,,,,,,,4.68,,,0.82,0.82,20942200.0,563135758.0,,566.21,0.82,11.89,0.1849,35.34,0.0114,26.89
2024-03-28,217030.0,5946622.0,0.15,0.57,0.15,6.01,0.0,5603217.8,160709.0,204497.0,4403426.6,,,,,,,,0.33,,12312.0,,,,,,,12312.0,4.33,0.34,,0.76,0.76,20949840.0,574025616.0,,566.06,0.76,12.59,0.2028,37.25,0.0103,27.4
2024-03-29,217030.0,5946622.0,0.15,0.59,0.15,6.05,0.0,5603217.8,160709.0,204497.0,4403426.6,,,,,,,,,,,,,,,,,,4.4,,,0.77,0.77,20774160.0,569211984.0,,568.23,0.77,12.64,0.2012,36.94,0.0104,
2024-04-01,217030.0,5946622.0,0.15,0.59,0.15,6.11,0.0,5603217.8,160709.0,204497.0,4403426.6,,,,,,,,,,,,,,,,,,4.42,,,0.69,0.69,23033548.0,631119215.2,,632.17,0.69,12.54,0.2034,37.33,0.0094,
2024-04-02,217030.0,5941196.25,0.15,0.59,0.15,6.09,0.0,5598105.38,160709.0,204497.0,4399408.88,,,,,,,,,,,,,,,,,,4.39,,,0.69,0.69,23075780.0,631699477.5,,631.45,0.69,12.58,0.2025,37.17,0.0093,27.375
2024-04-03,193030.0,5252346.3,0.13,0.53,0.13,5.38,0.0,4258283.37,160709.0,156497.0,4372891.89,,,,,,,,,,,,,,,,,48000.0,4.38,1.35,,0.69,0.69,23123636.0,629194135.56,,630.07,0.69,14.21,0.236,41.85,0.0083,27.21
2024-04-04,141078.0,3847197.06,0.1,0.4,0.1,3.96,0.0,3505422.15,136709.0,128545.0,3728054.43,,,,,,,,0.66,,24000.0,,,,,,,27952.0,3.72,0.77,,0.58,0.58,23254736.0,634156650.72,,632.8,0.58,18.62,0.3721,57.0,0.006,27.27
2024-04-05,145378.0,3893222.84,0.1,0.44,0.1,4.08,0.0,3557589.1,136709.0,132845.0,3661067.02,,,,,,4300.0,,,,,,,,,0.12,,,3.73,,,0.58,0.58,23457060.0,628180066.8,,637.93,0.58,18.09,0.3524,55.42,0.0062,26.78
2024-04-08,145378.0,3905579.97,0.1,0.47,0.1,4.01,0.0,3568880.93,136709.0,132845.0,3672687.29,,,,,,,,,,,,,,,,,,3.66,,,0.58,0.58,23462852.0,630329518.98,,628.52,0.58,18.11,0.3511,55.28,0.0062,26.865
2024-04-09,145551.0,3818530.49,0.1,0.48,0.1,4.02,0.0,3485188.58,136882.0,132845.0,3591099.27,,,173.0,,,,,,,,,,,173.0,,,,3.68,,,0.58,0.58,23457310.0,615402527.85,,626.86,0.58,18.11,0.3524,55.41,0.0062,26.235
2024-04-10,141251.0,3604725.52,0.1,0.48,0.1,3.84,0.0,3280468.4,136882.0,128545.0,3493228.64,,,,,,,,,,,,,,,,,4300.0,3.63,0.12,,0.58,0.58,23434290.0,598043080.8,,614.58,0.59,18.52,0.374,57.21,0.006,25.52
2024-04-11,169418.0,4260862.7,0.12,0.6,0.12,4.44,0.0,3941306.8,136882.0,156712.0,3442582.3,,,,,,28167.0,,,,,,,,,0.72,,,3.5,,,0.58,0.58,23384146.0,588111271.9,,595.78,0.58,16.2,0.2874,47.76,0.0072,25.15
2024-04-12,204018.0,5176956.75,0.14,0.74,0.14,5.28,0.0,4854542.0,151882.0,191312.0,3854005.75,,,15000.0,,,34600.0,,,,,,,,15000.0,0.87,,,3.85,,,0.65,0.65,23318874.0,591716427.75,,589.15,0.65,16.51,0.2275,39.85,0.0087,25.375
2024-04-15,204018.0,5122891.98,0.14,0.76,0.14,5.3,0.0,4803844.32,151882.0,191312.0,3813757.02,,,,,,,,,,,,,,,,,,3.86,,,0.65,0.65,23301418.0,585098605.98,,590.14,0.65,16.59,0.2272,39.78,0.0087,25.11
2024-04-16,188518.0,4615863.23,0.13,0.8,0.13,4.85,0.0,4304756.82,151882.0,175812.0,3718830.77,,,,,,,,,,,,,,,,,15500.0,3.82,0.4,,0.65,0.65,23280778.0,570029849.33,,581.76,0.65,14.61,0.2433,43.05,0.008,24.485
2024-04-17,168612.0,4132680.12,0.11,0.72,0.11,4.23,0.0,3821672.73,131993.0,155923.0,3235148.43,,,,,,,,0.53,,19889.0,,,,,,,19889.0,3.23,0.52,,0.56,0.56,23325096.0,571698102.96,,570.0,0.56,16.32,0.277,47.83,0.0072,24.51
2024-04-18,164464.0,4180674.88,0.11,0.71,0.11,4.16,0.0,3654760.5,139993.0,143775.0,3558622.06,,,8000.0,,,,,,,,,,,8000.0,,,12148.0,3.44,0.3,,0.6,0.6,23341776.0,593347945.92,,576.35,0.59,11.87,0.2795,49.07,0.007,25.42
2024-04-19,165879.0,4427310.51,0.11,0.72,0.11,4.32,0.0,3837354.75,141408.0,143775.0,3774179.52,,,1415.0,,,,,,,,,,,1415.0,,,,3.6,,,0.6,0.6,23349320.0,623193350.8,,599.87,0.6,11.52,0.2802,49.2,0.0071,26.69
2024-04-22,162715.0,4514527.68,0.11,0.71,0.11,4.43,0.0,3989037.38,138244.0,143775.0,3835579.78,,,,,,,,0.07,,3164.0,,,,,,,,3.69,,,0.58,0.58,23515172.0,652428447.14,,633.16,0.58,11.25,0.2914,50.48,0.0069,27.745
2024-04-23,169795.0,4748317.18,0.12,0.75,0.12,4.73,0.0,4218660.08,71424.0,150855.0,1997372.16,,,4546.0,2.2,,,,1.9,78446.0,71366.0,,,2.2,4546.0,,,71366.0,1.97,2.0,,0.3,0.3,23592268.0,659757774.62,,653.96,0.3,12.87,0.2624,46.72,0.0072,27.965
2024-04-24,170983.0,4693483.35,0.12,0.78,0.12,4.8,0.0,4294689.75,67012.0,156455.0,1839479.4,,,,0.17,,,,0.12,5600.0,4412.0,,,0.17,,,,,1.87,,,0.28,0.28,23869588.0,655220190.6,,664.97,0.28,12.78,0.2888,49.71,0.0071,27.45
2024-04-25,169864.0,4704383.48,0.12,0.77,0.12,4.69,0.0,4302030.52,70293.0,155336.0,1946764.64,,,3281.0,0.08,,,,,3281.0,,,,0.08,3281.0,,,4400.0,1.92,0.16,,0.29,0.29,24005216.0,664824457.12,,658.83,0.29,14.77,0.2716,47.29,0.0071,27.695
2024-04-26,180835.0,4982908.43,0.12,0.83,0.12,5.01,0.0,4582589.39,62864.0,166307.0,1732217.52,,,,0.53,,,,0.2,18400.0,7429.0,,,0.53,,,,7429.0,1.74,0.21,,0.26,0.26,24029020.0,662119646.1,,664.7,0.26,13.93,0.3411,54.85,0.0075,27.555
2024-04-29,191101.0,5459755.57,0.13,0.88,0.13,5.28,0.0,5013749.3,72047.0,175490.0,2058382.79,,,8100.0,0.21,,1083.0,,,8100.0,,,,0.21,8100.0,0.03,1083.0,,1.99,,,0.3,0.3,24011856.0,686018725.92,,665.53,0.3,13.17,0.3505,56.06,0.0079,28.57
2024-04-30,202781.0,5858343.09,0.14,0.95,0.14,5.8,0.0,5343061.05,74902.0,184945.0,2163918.78,,,2225.0,0.38,,,,,9455.0,,,,0.38,2225.0,,630.0,,2.14,,,0.31,0.31,24021210.0,693972756.9,,687.12,0.31,12.41,0.3488,56.16,0.0084,28.89
2024-05-01,202781.0,5858343.09,0.14,1.1,0.14,5.86,0.0,5343061.05,74902.0,184945.0,2163918.78,,,,,,,,,,,,,,,,,,2.15,,,0.31,0.31,24040166.0,694520395.74,,690.58,0.31,12.43,0.3496,56.24,0.0084,
2024-05-02,295016.0,8633643.24,0.2,1.6,0.2,8.59,0.0,8031925.58,144174.0,274455.0,4219252.11,,,,2.66,,,,,89510.0,,,,2.66,,,69272.0,,4.14,,,0.6,0.6,23853394.0,698069575.41,,686.46,0.6,27.64,0.2944,45.07,0.0123,29.265
2024-05-03,262998.0,7805780.64,0.18,1.41,0.18,7.72,0.0,7305880.4,115874.0,246155.0,3439140.32,,,,,,,,0.81,,28300.0,,,,,,,28300.0,3.36,0.85,,0.48,0.48,23884126.0,708880859.68,,694.55,0.48,18.39,0.3114,50.86,0.011,29.68
2024-05-06,374852.0,11193080.72,0.25,2.04,0.25,11.22,0.0,10592984.3,194873.0,354755.0,5818907.78,,,3899.0,1.21,,71846.0,,,36754.0,,,,1.21,3899.0,2.13,75100.0,,5.77,,,0.81,0.81,23912868.0,714038238.48,,705.36,0.81,23.15,0.3498,53.43,0.0155,29.86
2024-05-07,363980.0,10973997.0,0.25,2.01,0.25,10.88,0.0,10437869.7,261517.0,346198.0,7884737.55,,,27605.0,,,,,0.19,,6261.0,,,,27605.0,,45300.0,8557.0,7.8,0.31,,1.09,1.09,23840732.0,718798069.8,,708.43,1.09,21.34,0.3638,55.39,0.0151,30.15
2024-05-08,345715.0,10509736.0,0.23,1.93,0.23,10.46,0.0,10068084.8,242206.0,331187.0,7363062.4,,,,0.2,,,,0.55,4300.0,19311.0,,,0.2,,,,19311.0,7.29,0.58,,1.0,1.0,23861730.0,725396592.0,,715.29,1.01,15.72,0.3959,59.89,0.0143,30.4
2024-05-09,379801.0,11621910.6,0.26,2.1,0.26,11.54,0.0,11177353.8,264392.0,365273.0,8090395.2,,,22186.0,1.36,,,,,44500.0,,,,1.36,22186.0,,,10414.0,7.99,0.31,,1.1,1.1,23869376.0,730402905.6,,718.41,1.1,11.55,0.4614,66.14,0.0157,30.6
2024-05-10,711996.0,22264114.92,0.48,3.99,0.48,21.8,0.0,21809824.36,278197.0,697468.0,8699220.19,,,,10.22,,,,0.0,332990.0,795.0,,,10.22,,,14600.0,795.0,8.49,0.0,,1.16,1.16,23743272.0,742452115.44,,722.6,1.16,6.18,0.6784,81.95,0.0296,31.27
2024-05-13,739727.0,22953728.81,0.5,4.15,0.5,23.11,0.0,22502924.97,624318.0,725199.0,19372587.54,,,91331.0,2.14,,,,0.86,56033.0,28302.0,,,2.14,91331.0,,283092.0,28302.0,19.48,0.88,,2.59,2.59,23443130.0,727440323.9,,722.67,2.62,3.92,0.7531,86.6,0.0307,31.03
2024-05-14,833711.0,25678298.8,0.57,4.68,0.57,25.85,0.0,25076836.4,638320.0,814183.0,19660256.0,,,23400.0,3.09,,,,0.45,103382.0,14398.0,,,3.09,23400.0,,5000.0,14398.0,19.77,0.45,,2.65,2.65,23438322.0,721900317.6,,717.78,2.68,11.5,0.6565,80.1,0.0346,30.8
2024-05-15,857025.0,26434936.13,0.58,4.78,0.58,26.4,0.0,25986819.97,661634.0,842497.0,20408100.73,,,,0.84,,,,0.18,28314.0,5000.0,,,0.84,,,28314.0,,20.31,,,2.75,2.75,23414194.0,722210813.93,,712.03,2.77,11.26,0.673,81.16,0.0356,30.845
2024-05-16,908857.0,28615362.65,0.62,5.24,0.62,28.02,0.0,28157948.57,804404.0,894329.0,25326659.94,,,192900.0,1.63,,,,4.31,52171.0,141068.0,,,1.63,192900.0,,90938.0,339.0,24.78,0.01,,3.35,3.35,23213450.0,730875473.25,,711.42,3.37,10.53,0.6905,82.34,0.0378,31.485
2024-05-17,956790.0,29564811.0,0.65,5.53,0.65,30.04,0.0,29055208.2,849373.0,940298.0,26245625.7,,,,1.75,,1964.0,,5.13,44005.0,166795.0,,,1.75,,0.06,211764.0,,26.74,,,3.53,3.53,23202448.0,716955643.2,,718.98,3.59,9.83,0.6983,82.9,0.0398,30.9
2024-05-20,427386.0,13150667.22,0.29,2.46,0.29,13.25,0.0,12520128.38,315969.0,406894.0,9722366.13,,,4000.0,0.12,,,,17.01,4000.0,537404.0,,,0.12,4000.0,,,537404.0,9.76,16.96,,1.31,1.31,23750944.0,730816546.88,,726.66,1.33,23.16,0.4132,59.36,0.0178,30.77
2024-05-21,410544.0,12663229.68,0.28,2.39,0.28,12.62,0.0,12093491.69,301148.0,392073.0,9288910.06,,,,,,2979.0,,0.55,,17800.0,,,,,0.09,2979.0,17800.0,9.26,0.56,,1.25,1.25,23839356.0,735324935.82,,727.35,1.26,23.49,0.401,58.19,0.017,30.845
2024-05-22,451230.0,13816662.6,0.31,2.63,0.31,13.9,0.0,13266604.92,342341.0,433266.0,10482481.42,,,,1.29,,,,1.41,41700.0,45807.0,,,1.29,,,87000.0,507.0,10.56,0.02,,1.42,1.42,23800640.0,728775596.8,,726.69,1.43,21.31,0.4393,62.28,0.0187,30.62
2024-05-23,197173.0,5951667.01,0.13,1.16,0.13,6.02,0.0,5499344.78,149115.0,182188.0,4501036.28,,,,,,,,5.98,,193226.0,,,,,,,251078.0,4.55,7.76,,0.63,0.63,23485528.0,708910662.68,,710.61,0.64,19.47,0.2761,45.48,0.0083,30.185
2024-05-24,169501.0,5102827.61,0.12,0.99,0.12,5.12,0.0,4651704.18,62115.0,154516.0,1869972.08,,,,1.8,,,,0.69,59328.0,22557.0,,,1.8,,,,87000.0,1.85,2.66,1.97,0.26,0.26,23996360.0,722410417.8,64443.0,719.06,0.26,22.7,0.2393,38.15,0.007,30.105
2024-05-27,186374.0,5627562.93,0.13,1.08,0.13,5.61,0.0,5175090.86,62115.0,171389.0,1875562.43,,,,0.49,,,,,16873.0,,,,0.49,,,,,1.85,,,0.26,0.26,24021052.0,725315665.14,,717.34,0.26,20.67,0.2691,43.76,0.0077,30.195
2024-05-28,147313.0,4396556.49,0.1,0.87,0.1,4.43,0.0,3992813.33,60658.0,133785.0,1810338.01,,,,,,,,0.04,,1457.0,,,,,,,37604.0,1.81,1.13,,0.25,0.25,24018154.0,716821806.13,,717.6,0.25,20.43,0.3469,53.85,0.0061,29.845
2024-05-29,147313.0,4331738.76,0.1,0.87,0.1,4.39,0.0,3933947.93,60658.0,133785.0,1783648.49,,,,,,,,,,,,,,,,,,1.8,,,0.25,0.25,24014962.0,706159957.61,,711.83,0.25,20.41,0.3464,53.8,0.0061,29.405
2024-05-30,147313.0,4189581.72,0.1,0.87,0.1,4.32,0.0,3804845.4,60658.0,133785.0,1725113.52,,,,,,,,,,,,,,,,,,1.77,,,0.25,0.25,24016974.0,683042740.56,,696.65,0.25,20.43,0.347,53.87,0.0061,28.44
2024-05-31,206375.0,5933281.25,0.14,1.2,0.14,5.95,0.0,3846318.75,119720.0,133785.0,3441950.0,,,32102.0,,,,,,,,,,,32102.0,,26960.0,,3.4,,,0.5,0.5,23751764.0,682863215.0,,676.83,0.5,16.99,0.2186,38.64,0.0086,28.75
2024-06-03,272802.0,7920806.07,0.19,1.52,0.19,7.88,0.0,4426240.58,167487.0,152445.0,4862985.05,,,16458.0,,,18660.0,,,,,,,,16458.0,0.59,31309.0,,4.78,,,0.7,0.7,23776328.0,690345683.48,,683.39,0.7,26.0,0.2199,34.28,0.0114,29.035
2024-06-04,196237.0,5745819.36,0.13,1.13,0.13,5.85,0.0,3149151.84,155123.0,107553.0,4542001.44,,,3742.0,1.01,,,,1.36,31309.0,47873.0,,,1.01,3742.0,,31767.0,76201.0,4.5,2.19,,0.65,0.65,23880012.0,699206751.36,,694.24,0.64,14.66,0.3515,55.3,0.0082,29.28
