,BTC0 FP Equity_PX_LAST
2022-06-13,22.14
2022-06-14,21.46
2022-06-15,20.34
2022-06-16,20.11
2022-06-17,19.66
2022-06-20,19.61
2022-06-21,20.39
2022-06-22,19.33
2022-06-23,19.32
2022-06-24,19.86
2022-06-27,19.56
2022-06-28,19.62
2022-06-29,19.12
2022-06-30,18.29
2022-07-01,18.64
2022-07-04,18.92
2022-07-05,18.94
2022-07-06,19.729
2022-07-07,20.515
2022-07-08,21.588
2022-07-11,20.195
2022-07-12,19.757
2022-07-13,19.276
2022-07-14,20.043
2022-07-15,20.62
2022-07-18,21.847
2022-07-19,22.359
2022-07-20,23.753
2022-07-21,22.216
2022-07-22,22.793
2022-07-25,21.391
2022-07-26,20.563
2022-07-27,21.183
2022-07-28,22.54
2022-07-29,23.47
2022-08-01,22.716
2022-08-02,22.425
2022-08-03,23.031
2022-08-04,22.366
2022-08-05,22.669
2022-08-09,22.577
2022-08-10,23.238
2022-08-11,23.726
2022-08-12,23.356
2022-08-15,23.697
2022-08-16,23.426
2022-08-17,23.007
2022-08-18,23.153
2022-08-19,21.246
2022-08-22,21.381
2022-08-23,21.504
2022-08-24,21.616
2022-08-25,21.624
2022-08-26,20.86
2022-08-29,20.253
2022-08-30,19.672
2022-08-31,19.956
2022-09-01,19.928
2022-09-02,20.25
2022-09-05,20.02
2022-09-06,19.977
2022-09-07,18.977
2022-09-08,19.414
2022-09-09,21.171
2022-09-12,22.032
2022-09-13,20.959
2022-09-14,20.213
2022-09-15,19.839
2022-09-16,19.621
2022-09-19,19.137
2022-09-20,19.098
2022-09-21,19.465
2022-09-22,19.283
2022-09-23,19.359
2022-09-26,19.735
2022-09-27,20.938
2022-09-28,20.096
2022-09-29,19.688
2022-09-30,20.363
2022-10-03,19.696
2022-10-04,20.132
2022-10-05,20.215
2022-10-06,20.423
2022-10-07,20.021
2022-10-10,19.91
2022-10-11,19.667
2022-10-12,19.68
2022-10-13,19.25
2022-10-14,19.872
2022-10-17,19.897
2022-10-18,19.678
2022-10-19,19.605
2022-10-20,19.602
2022-10-21,19.428
2022-10-24,19.495
2022-10-25,19.663
2022-10-26,20.766
2022-10-27,20.655
2022-10-28,20.527
2022-10-31,20.618
2022-11-01,20.723
2022-11-02,20.661
2022-11-03,20.78
2022-11-04,21.02
2022-11-07,20.757
2022-11-08,20.421
2022-11-09,16.906
2022-11-10,17.467
2022-11-11,16.101
2022-11-14,15.841
2022-11-15,16.38
2022-11-16,15.811
2022-11-17,16.094
2022-11-18,16.081
2022-11-21,15.57
2022-11-22,15.714
2022-11-23,15.811
2022-11-24,15.874
2022-11-25,15.826
2022-11-28,15.598
2022-11-29,15.85
2022-11-30,16.297
2022-12-01,16.395
2022-12-02,16.103
2022-12-05,16.406
2022-12-06,16.2
2022-12-07,15.979
2022-12-08,15.991
2022-12-09,16.277
2022-12-12,16.079
2022-12-13,16.255
2022-12-14,16.75
2022-12-15,16.631
2022-12-16,16.451
2022-12-19,15.72
2022-12-20,15.809
2022-12-21,15.815
2022-12-22,15.798
2022-12-23,15.851
2022-12-27,15.835
2022-12-28,15.648
2022-12-29,15.575
2022-12-30,15.47
2023-01-02,15.656
2023-01-03,15.773
2023-01-04,15.91
2023-01-05,15.855
2023-01-06,15.944
2023-01-09,16.102
2023-01-10,16.029
2023-01-11,16.251
2023-01-12,16.852
2023-01-13,17.361
2023-01-16,19.503
2023-01-17,19.515
2023-01-18,19.663
2023-01-19,19.263
2023-01-20,19.323
2023-01-23,20.802
2023-01-24,21.17
2023-01-25,20.887
2023-01-26,21.088
2023-01-27,21.186
2023-01-30,21.755
2023-01-31,21.181
2023-02-01,21.208
2023-02-02,21.641
2023-02-03,21.513
2023-02-06,21.26
2023-02-07,21.37
2023-02-08,21.598
2023-02-09,21.117
2023-02-10,20.368
2023-02-13,20.442
2023-02-14,20.274
2023-02-15,20.64
2023-02-16,22.987
2023-02-17,22.236
2023-02-20,22.916
2023-02-21,23.465
2023-02-22,22.56
2023-02-23,22.969
2023-02-24,22.531
2023-02-27,22.198
2023-02-28,21.929
2023-03-01,22.319
2023-03-02,21.988
2023-03-03,21.069
2023-03-06,21.021
2023-03-07,20.973
2023-03-08,20.819
2023-03-09,20.513
2023-03-10,18.802
2023-03-13,22.302
2023-03-14,22.745
2023-03-15,23.259
2023-03-16,23.195
2023-03-17,24.503
2023-03-20,26.526
2023-03-21,25.736
2023-03-22,26.139
2023-03-23,26.443
2023-03-24,26.186
2023-03-27,25.83
2023-03-28,25.052
2023-03-29,25.908
2023-03-30,26.419
2023-03-31,25.752
2023-04-03,25.719
2023-04-04,25.731
2023-04-05,26.07
2023-04-06,25.747
2023-04-11,27.614
2023-04-12,27.407
2023-04-13,27.357
2023-04-14,27.992
2023-04-17,26.797
2023-04-18,27.124
2023-04-19,27.423
2023-04-20,26.242
2023-04-21,25.508
2023-04-24,25.05
2023-04-25,24.788
2023-04-26,25.797
2023-04-27,26.016
2023-04-28,26.749
2023-05-02,25.46
2023-05-03,25.954
2023-05-04,26.353
2023-05-05,26.451
2023-05-08,25.54
2023-05-09,25.085
2023-05-10,25.139
2023-05-11,25.17
2023-05-12,24.089
2023-05-15,25.237
2023-05-16,24.898
2023-05-17,24.707
2023-05-18,25.171
2023-05-19,24.865
2023-05-22,24.865
2023-05-23,25.357
2023-05-24,24.436
2023-05-25,24.502
2023-05-26,25.038
2023-05-29,25.831
2023-05-30,25.804
2023-05-31,25.305
2023-06-01,25.066
2023-06-02,25.172
2023-06-05,24.719
2023-06-06,24.278
2023-06-07,24.76
2023-06-08,24.694
2023-06-09,24.726
2023-06-12,23.999
2023-06-13,23.881
2023-06-14,23.955
2023-06-15,22.863
2023-06-16,23.46
2023-06-19,24.134
2023-06-20,24.534
2023-06-21,27.365
2023-06-22,27.17
2023-06-23,28.175
2023-06-26,27.853
2023-06-27,27.951
2023-06-28,27.818
2023-06-29,28.049
2023-06-30,27.52
2023-07-03,28.32
2023-07-04,28.416
2023-07-05,27.913
2023-07-06,27.835
2023-07-07,27.723
2023-07-10,27.572
2023-07-11,27.806
2023-07-12,27.6
2023-07-13,27.519
2023-07-14,27.879
2023-07-17,26.867
2023-07-18,26.594
2023-07-19,26.668
2023-07-20,26.732
2023-07-21,26.867
2023-07-24,26.285
2023-07-25,26.423
2023-07-26,26.444
2023-07-27,26.633
2023-07-28,26.743
2023-07-31,26.577
2023-08-01,26.24
2023-08-02,26.771
2023-08-03,26.686
2023-08-04,26.509
2023-08-07,26.268
2023-08-08,26.928
2023-08-09,27.085
2023-08-10,26.733
2023-08-11,26.794
2023-08-14,27.1
2023-08-15,26.856
2023-08-16,26.708
2023-08-17,26.111
2023-08-18,23.999
2023-08-21,23.721
2023-08-22,23.939
2023-08-23,24.056
2023-08-24,24.065
2023-08-25,24.076
2023-08-28,24.16
2023-08-29,25.262
2023-08-30,24.835
2023-08-31,25.02
2023-09-01,23.966
2023-09-04,23.897
2023-09-05,23.973
2023-09-06,23.861
2023-09-07,24.084
2023-09-08,24.121
2023-09-11,23.343
2023-09-12,24.367
2023-09-13,24.456
2023-09-14,24.949
2023-09-15,24.632
2023-09-18,25.555
2023-09-19,25.601
2023-09-20,25.309
2023-09-21,24.926
2023-09-22,25.014
2023-09-25,24.787
2023-09-26,24.726
2023-09-27,24.977
2023-09-28,25.386
2023-09-29,25.356
2023-10-02,26.993
2023-10-03,26.176
2023-10-04,26.095
2023-10-05,26.294
2023-10-06,26.226
2023-10-09,26.085
2023-10-10,25.844
2023-10-11,25.268
2023-10-12,25.29
2023-10-13,25.437
2023-10-16,26.624
2023-10-17,26.949
2023-10-18,26.825
2023-10-19,27.041
2023-10-20,27.92
2023-10-23,28.997
2023-10-24,31.789
2023-10-25,32.884
2023-10-26,32.205
2023-10-27,32.034
2023-10-30,32.562
2023-10-31,32.527
2023-11-01,32.682
2023-11-02,32.508
2023-11-03,32.368
2023-11-06,32.607
2023-11-07,32.501
2023-11-08,32.903
2023-11-09,34.104
2023-11-10,35.078
2023-11-13,34.613
2023-11-14,33.437
2023-11-15,33.492
2023-11-16,33.713
2023-11-17,33.195
2023-11-20,34.147
2023-11-21,33.821
2023-11-22,33.567
2023-11-23,34.08
2023-11-24,34.937
2023-11-27,33.752
2023-11-28,34.22
2023-11-29,34.418
2023-11-30,34.485
2023-12-01,35.689
2023-12-04,38.254
2023-12-05,39.276
2023-12-06,40.794
2023-12-07,40.448
2023-12-08,40.812
2023-12-11,38.844
2023-12-12,38.257
2023-12-13,38.951
2023-12-14,38.678
2023-12-15,38.484
2023-12-18,37.885
2023-12-19,38.671
2023-12-20,40.053
2023-12-21,39.797
2023-12-22,39.714
2023-12-27,38.872
2023-12-28,38.23
2023-12-29,38.224
2024-01-02,41.281
2024-01-03,39.835
2024-01-04,40.075
2024-01-05,39.582
2024-01-08,41.059
2024-01-09,42.845
2024-01-10,41.533
2024-01-11,42.045
2024-01-12,40.184
2024-01-15,38.741
2024-01-16,39.591
2024-01-17,39.025
2024-01-18,39.047
2024-01-19,37.216
2024-01-22,37.121
2024-01-23,36.039
2024-01-24,36.691
2024-01-25,36.72
2024-01-26,38.439
2024-01-29,39.739
2024-01-30,39.955
2024-01-31,40.058
2024-02-01,39.171
2024-02-02,40.001
2024-02-05,39.6
2024-02-06,40.302
2024-02-07,39.976
2024-02-08,42.091
2024-02-09,43.834
2024-02-12,46.276
2024-02-13,45.586
2024-02-14,48.109
2024-02-15,48.685
2024-02-16,48.471
2024-02-19,48.462
2024-02-20,47.825
2024-02-21,47.292
2024-02-22,47.57
2024-02-23,47.039
2024-02-26,49.115
2024-02-27,52.471
2024-02-28,56.716
2024-02-29,57.635
2024-03-01,56.886
2024-03-04,61.21
2024-03-05,60.438
2024-03-06,61.365
2024-03-07,61.675
2024-03-08,61.112
2024-03-11,66.349
2024-03-12,64.802
2024-03-13,66.42
2024-03-14,64.645
2024-03-15,62.437
2024-03-18,62.366
2024-03-19,59.171
2024-03-20,57.724
2024-03-21,61.376
2024-03-22,58.657
2024-03-25,64.321
2024-03-26,64.742
2024-03-27,63.815
2024-03-28,65.666
2024-04-02,61.196
2024-04-03,61.293
2024-04-04,62.146
2024-04-05,62.522
2024-04-08,66.152
2024-04-09,63.561
2024-04-10,63.801
2024-04-11,65.06
2024-04-12,65.408
2024-04-15,60.747
2024-04-16,58.638
2024-04-17,56.832
2024-04-18,59.711
2024-04-19,60.486
2024-04-22,61.84
2024-04-23,62.314
2024-04-24,60.631
2024-04-25,59.353
2024-04-26,59.418
2024-04-29,58.659
2024-04-30,56.925
2024-05-02,55.398
2024-05-03,57.034
2024-05-06,58.758
2024-05-07,59.221
2024-05-08,57.704
2024-05-09,57.716
2024-05-10,56.788
2024-05-13,58.335
2024-05-14,57.246
2024-05-15,59.685
2024-05-16,60.47
2024-05-17,61.864
2024-05-20,62.061
2024-05-21,64.928
2024-05-22,64.744
2024-05-23,62.944
2024-05-24,62.872
2024-05-27,64.314
2024-05-28,62.426
2024-05-29,62.57
2024-05-30,63.046
2024-05-31,62.124
2024-06-03,63.568
2024-06-04,64.417
2024-06-05,65.763
2024-06-06,65.754
2024-06-07,65.722
2024-06-10,65.061
2024-06-11,62.35
2024-06-12,64.393
2024-06-13,62.219
2024-06-14,62.469
2024-06-17,60.897
2024-06-18,60.126
2024-06-19,60.457
2024-06-20,60.495
2024-06-21,59.818
2024-06-24,57.054
2024-06-25,57.64
2024-06-26,57.485
2024-06-27,57.624
2024-06-28,56.74
2024-07-01,58.578
2024-07-02,57.645
2024-07-03,55.829
2024-07-04,53.111
2024-07-05,52.179
2024-07-08,52.123
2024-07-09,52.885
2024-07-10,53.395
2024-07-11,53.205
2024-07-12,53.252
2024-07-15,57.792
2024-07-16,59.289
2024-07-17,59.581
2024-07-18,58.46
2024-07-19,60.007
2024-07-22,61.386
2024-07-23,61.318
2024-07-24,61.089
2024-07-25,59.602
2024-07-26,62.285
2024-07-29,62.694
2024-07-30,61.21
2024-07-31,61.414
2024-08-01,58.306
2024-08-02,57.399
2024-08-05,49.447
2024-08-06,51.217
2024-08-07,51.289
2024-08-08,54.009
2024-08-09,55.231
2024-08-12,54.504
2024-08-13,54.349
2024-08-14,53.633
2024-08-15,54.319
2024-08-16,52.59
2024-08-19,53.018
2024-08-20,53.153
2024-08-21,53.442
2024-08-22,54.437
2024-08-23,54.867
2024-08-26,56.742
2024-08-27,55.33
2024-08-28,52.787
2024-08-29,55.069
2024-08-30,52.46
2024-09-02,52.921
2024-09-03,52.309
2024-09-04,51.782
2024-09-05,50.49
2024-09-06,48.789
2024-09-09,50.038
2024-09-10,51.771
2024-09-11,51.124
2024-09-12,52.206
2024-09-13,53.261
2024-09-16,52.061
2024-09-17,55.032
2024-09-18,53.542
2024-09-19,56.639
2024-09-20,56.478
2024-09-23,56.994
2024-09-24,56.652
2024-09-25,57.228
2024-09-26,58.103
2024-09-27,59.436
2024-09-30,57.271
2024-10-01,56.245
2024-10-02,55.851
2024-10-03,54.585
2024-10-04,56.161
2024-10-07,58.024
2024-10-08,56.688
2024-10-09,56.823
2024-10-10,55.348
2024-10-11,56.758
2024-10-14,60.521
2024-10-15,60.338
2024-10-16,62.427
2024-10-17,62.033
2024-10-18,63.161
2024-10-21,61.87
2024-10-22,62.088
2024-10-23,61.31
2024-10-24,62.696
2024-10-25,63.147
2024-10-28,63.563
2024-10-29,67.291
2024-10-30,66.261
2024-10-31,64.955
2024-11-01,64.71
2024-11-04,62.702
2024-11-05,64.032
2024-11-06,69.296
2024-11-07,70.149
2024-11-08,71.164
2024-11-11,79.407
2024-11-12,81.553
2024-11-13,88.026
2024-11-14,83.522
2024-11-15,85.024
2024-11-18,87.151
2024-11-19,87.605
2024-11-20,89.106
2024-11-21,92.752
2024-11-22,94.886
2024-11-25,91.749
2024-11-26,90.039
2024-11-27,90.805
2024-11-28,90.184
2024-11-29,93.141
2024-12-02,91.841
2024-12-03,91.299
2024-12-04,90.404
2024-12-05,96.089
2024-12-06,93.821
2024-12-09,92.794
2024-12-10,90.892
2024-12-11,96.395
2024-12-12,97.127
2024-12-13,95.612
2024-12-16,101.727
2024-12-17,101.644
2024-12-18,99.031
2024-12-19,96.765
2024-12-20,93.403
2024-12-23,89.741
2024-12-24,90.449
2024-12-27,90.574
2024-12-30,88.44
2024-12-31,90.866
2025-01-02,94.868
2025-01-03,95.292
2025-01-06,98.611
2025-01-07,94.462
2025-01-08,92.05
2025-01-09,91.271
2025-01-10,91.289
2025-01-13,89.818
2025-01-14,93.167
2025-01-15,96.456
2025-01-16,96.811
2025-01-17,101.678
2025-01-20,101.398
2025-01-21,101.204
2025-01-22,99.856
2025-01-23,101.862
2025-01-24,100.879
2025-01-27,95.881
2025-01-28,97.792
2025-01-29,97.792
2025-01-30,101.586
2025-01-31,100.86
2025-02-03,95.901
2025-02-04,96.205
2025-02-05,93.827
2025-02-06,93.545
2025-02-07,94.924
2025-02-10,94.147
2025-02-11,93.379
2025-02-12,91.983
2025-02-13,91.359
2025-02-14,92.213
2025-02-17,91.218
2025-02-18,91.087
2025-02-19,92.582
2025-02-20,93.331
2025-02-21,94.076
2025-02-24,90.599
2025-02-25,82.169
2025-02-26,82.512
2025-02-27,81.472
2025-02-28,80.403
2025-03-03,85.934
2025-03-04,77.976
2025-03-05,81.597
2025-03-06,83.358
2025-03-07,80.555
2025-03-10,73.437
2025-03-11,74.527
2025-03-12,74.983
2025-03-13,74.516
2025-03-14,77.724
2025-03-17,76.652
2025-03-18,74.885
2025-03-19,77.741
2025-03-20,77.618
2025-03-21,77.507
2025-03-24,81.382
2025-03-25,81.256
2025-03-26,80.441
2025-03-27,80.683
2025-03-28,77.437
2025-03-31,77.507
2025-04-01,78.513
2025-04-02,79.715
2025-04-03,73.669
2025-04-04,75.771
2025-04-07,71.484
2025-04-08,71.749
2025-04-09,69.971
2025-04-10,71.822
2025-04-11,72.449
2025-04-14,74.517
2025-04-15,75.361
2025-04-16,74.916
2025-04-17,74.361
2025-04-22,79.436
2025-04-23,80.921
2025-04-24,82.176
2025-04-25,84.162
2025-04-28,82.48
2025-04-29,83.281
2025-04-30,82.688
2025-05-02,85.798
2025-05-05,82.753
2025-05-06,83.15
2025-05-07,85.352
2025-05-08,89.437
2025-05-09,91.332
2025-05-12,92.693
2025-05-13,92.856
2025-05-14,92.239
2025-05-15,91.487
2025-05-16,93.331
2025-05-19,92.91
2025-05-20,93.094
2025-05-21,96.218
2025-05-22,98.544
2025-05-23,96.598
2025-05-26,96.442
2025-05-27,96.721
2025-05-28,95.02
2025-05-29,94.598
2025-05-30,93.139
2025-06-02,91.245
2025-06-03,93.822
2025-06-04,92.391
2025-06-05,91.488
2025-06-06,92.185
2025-06-09,94.525
2025-06-10,95.522
2025-06-11,95.584
2025-06-12,92.698
2025-06-13,91.392
2025-06-16,92.848
2025-06-17,90.63
2025-06-18,90.689
2025-06-19,90.985
2025-06-20,90.516
2025-06-23,88.052
2025-06-24,90.898
2025-06-25,92.159
2025-06-26,91.833
2025-06-27,91.057
2025-06-30,90.954
2025-07-01,89.852
2025-07-02,92.023
2025-07-03,93.15
2025-07-04,91.57
2025-07-07,92.344
2025-07-08,92.642
2025-07-09,93.069
2025-07-10,95.265
2025-07-11,100.782
2025-07-14,103.217
2025-07-15,100.655
2025-07-16,102.256
2025-07-17,102.372
2025-07-18,101.081
2025-07-21,101.596
2025-07-22,101.508
2025-07-23,100.608
2025-07-24,101.275
2025-07-25,98.486
2025-07-28,101.851
2025-07-29,102.106
2025-07-30,103.045
2025-07-31,103.143
2025-08-01,99.572
2025-08-04,99.285
2025-08-05,97.556
2025-08-06,98.767
2025-08-07,100.18
2025-08-08,99.809
2025-08-11,103.648
2025-08-12,102.464
2025-08-13,102.982
2025-08-14,101.56
2025-08-15,100.006
2025-08-18,99.05
2025-08-19,97.719
2025-08-20,98.037
2025-08-21,97.388
2025-08-22,99.57
2025-08-25,96.295
2025-08-26,94.579
2025-08-27,96.323
2025-08-28,96.503
2025-08-29,92.742
