,WLD FP Equity_DX_SI_QTY,WLD FP Equity_DX_SHORT_INTEREST_VALUE,WLD FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,WLD FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,WLD FP Equity_DX_SI_MV,WLD FP Equity_DX_DSS,WLD FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,WLD FP Equity_DX_SUPPLY_SI_QTY,WLD FP Equity_DX_BROKER_SI_QTY,WLD FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,WLD FP Equity_DX_BROKER_SI_MV_NEW_x,WLD FP Equity_DX_SUPPLY_SI_QTY_NEW_x,WLD FP Equity_DX_SUPPLY_SI_QTY_INC_x,WLD FP Equity_DX_BROKER_SI_MV_INC_x,WLD FP Equity_DX_SUPPLY_SI_MV_NEW,WLD FP Equity_DX_BROKER_SI_QTY_ADD,WLD FP Equity_DX_BROKER_SI_QTY_NEW,WLD FP Equity_DX_SUPPLY_SI_MV_DEC,WLD FP Equity_DX_BROKER_SI_QTY_INC,WLD FP Equity_DX_SUPPLY_SI_QTY_DEC,WLD FP Equity_DX_BROKER_SI_MV_NEW_y,WLD FP Equity_DX_SUPPLY_SI_QTY_NEW_y,WLD FP Equity_DX_BROKER_SI_MV_INC_y,WLD FP Equity_DX_SUPPLY_SI_QTY_INC_y,WLD FP Equity_DX_BROKER_SI_MV_ADD,WLD FP Equity_DX_SUPPLY_SI_QTY_ADD,WLD FP Equity_DX_BROKER_SI_QTY_DEC,WLD FP Equity_DX_SUPPLY_SI_MV,WLD FP Equity_DX_BROKER_SI_MV_DEC,WLD FP Equity_DX_SUPPLY_SI_MV_RMV,WLD FP Equity_DX_BROKER_SI_MV_RMV,WLD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,WLD FP Equity_DX_UTILIZATION_QUANTITY,WLD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,WLD FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,WLD FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,WLD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,WLD FP Equity_DX_ACTIVE_UTILIZATION_MV,WLD FP Equity_DX_BROKER_SI_MARKET_SHARE_2,WLD FP Equity_DX_BROKER_SI_CON_RATIO,WLD FP Equity_DX_BROKER_SI_MARKET_SHARE_1,WLD FP Equity_DX_DEMAND_SUPPLY_RATIO,WLD FP Equity_PX_LAST
2006-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.41
2006-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.72
2006-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.22
2006-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.84
2006-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.85
2006-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.75
2006-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.13
2006-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.27
2006-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.52
2006-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.34
2006-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.67
2006-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.5
2006-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.61
2006-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0
2006-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.19
2006-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.89
2006-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.88
2006-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.69
2006-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.13
2006-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.69
2006-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.8
2006-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.43
2006-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0
2006-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4
2006-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.49
2006-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.29
2006-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.67
2006-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.97
2006-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.53
2006-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.39
2006-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.61
2006-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.94
2006-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.3
2006-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.48
2006-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.02
2006-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.5
2006-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.55
2006-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.67
2006-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.12
2006-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.27
2006-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.91
2006-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.08
2006-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.94
2006-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.27
2006-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.23
2006-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.99
2006-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.9
2006-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.93
2006-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.05
2006-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.16
2006-09-22,2000.0,168138.93,5.59,0.44,0.22,,168138.93,0.0,2000.0,0.0,,,,,,2000.0,,,,,,,,,0.22,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,106.62
2006-09-25,2000.0,168312.39,5.51,0.44,0.21,,168312.39,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,106.73
2006-09-26,2000.0,171119.44,6.41,0.44,0.21,,171119.44,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,108.51
2006-09-27,2000.0,171860.63,6.43,0.44,0.22,,171860.63,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,108.98
2006-09-28,2000.0,172065.64,6.43,0.44,0.22,,172065.64,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,109.11
2006-09-29,2000.0,173027.6,6.41,0.44,0.22,,173027.6,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,109.72
2006-10-02,2000.0,172980.29,6.71,0.44,0.22,,172980.29,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,109.69
2006-10-03,2000.0,171150.98,8.63,0.44,0.22,,171150.98,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,108.53
2006-10-04,2000.0,171955.25,8.59,0.44,0.22,,171955.25,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,109.04
2006-10-05,2000.0,173753.02,8.57,0.44,0.22,,173753.02,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,110.18
2006-10-06,2000.0,174699.21,8.3,0.44,0.22,,174699.21,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,110.78
2006-10-09,2000.0,174273.43,8.28,0.44,0.22,,174273.43,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,110.51
2006-10-10,2000.0,175645.41,8.15,0.44,0.22,,175645.41,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,111.38
2006-10-11,2000.0,175976.58,4.32,0.44,0.22,,175976.58,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,111.59
2006-10-12,2000.0,176181.59,4.22,0.44,0.22,,176181.59,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,111.72
2006-10-13,2000.0,177632.42,4.22,0.44,0.22,,177632.42,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,112.64
2006-10-16,2000.0,178026.67,3.36,0.44,0.23,,178026.67,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,112.89
2006-10-17,2000.0,176544.29,3.3,0.44,0.23,,176544.29,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,111.95
2006-10-18,2000.0,178058.21,3.67,0.44,0.22,,178058.21,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,112.91
2006-10-19,2000.0,177190.86,3.27,0.44,0.23,,177190.86,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,112.36
2006-10-20,2000.0,178499.76,3.27,0.44,0.22,,178499.76,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,113.19
2006-10-23,2000.0,179319.8,1.92,0.44,0.23,,179319.8,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,113.71
2006-10-24,2000.0,179256.72,1.75,0.44,0.23,,179256.72,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,113.67
2006-10-25,2000.0,179351.34,1.75,0.44,0.23,,179351.34,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,2.004,113.73
2006-10-26,2000.0,179083.25,1.75,0.44,0.23,,179083.25,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,2.004,113.56
2006-10-27,2000.0,179382.88,1.67,0.44,0.23,,179382.88,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.998,113.75
2006-10-30,2000.0,177522.03,1.62,0.44,0.23,,177522.03,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,2.0101,112.57
2006-10-31,2000.0,177742.81,1.63,0.44,0.22,,177742.81,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.992,112.71
2006-11-01,2000.0,178200.14,1.61,0.44,0.23,,178200.14,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,2.008,113.0
2006-11-02,2000.0,176575.83,1.65,0.44,0.23,,176575.83,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,2.008,111.97
2006-11-03,2000.0,177742.81,1.65,0.44,0.22,,177742.81,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,2.004,112.71
2006-11-06,2000.0,178957.09,1.64,0.44,0.23,,178957.09,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,2.0101,113.48
2006-11-07,2000.0,178783.62,1.56,0.44,0.23,,178783.62,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,2.0101,113.37
2006-11-08,2000.0,178420.92,1.56,0.44,0.23,,178420.92,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,2.006,113.14
2006-11-09,2000.0,178326.3,1.56,0.44,0.23,,178326.3,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,2.006,113.08
2006-11-10,2000.0,177916.28,1.56,0.44,0.23,,177916.28,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,2.0121,112.82
2006-11-13,2000.0,178010.9,1.44,0.44,0.23,,178010.9,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,2.0161,112.88
2006-11-14,2000.0,176922.77,1.42,0.44,0.23,,176922.77,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,2.004,112.19
2006-11-15,2000.0,178562.84,1.1,0.44,0.22,,178562.84,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.994,113.23
2006-11-16,2000.0,179619.43,1.08,0.44,0.23,,179619.43,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.998,113.9
2006-11-17,2000.0,178483.99,1.08,0.44,0.23,,178483.99,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,113.18
2006-11-20,2000.0,178815.16,1.02,0.44,0.23,,178815.16,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,113.39
2006-11-21,2000.0,178815.16,1.02,0.44,0.23,,178815.16,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
2006-11-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2000.0,0.0,0.23,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,113.14
2006-11-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,113.14
2006-11-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,111.68
2006-11-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,110.63
2006-11-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,110.07
2006-11-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,111.38
2006-11-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,110.84
2006-12-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,109.25
2006-12-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,111.22
2006-12-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,111.5
2006-12-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,111.78
2006-12-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,112.01
2006-12-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,111.67
2006-12-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,112.61
2006-12-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,
2006-12-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,112.83
2006-12-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,113.89
2006-12-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0,115.42
2006-12-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,34.49,0.0,,0.0,,0.0,115.6
2006-12-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,68.8,0.0,,0.0,,0.0,114.1
2006-12-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,70.68,0.0,,0.0,,0.0,114.45
2006-12-21,1800.0,161898.77,0.49,0.1,0.21,,161898.77,1800.0,1800.0,161898.77,,,,,,1800.0,,,,,,,,,0.21,1800.0,,0.21,,,,0.29,0.29,617308.0,55523002.02,,70.75,0.29,,1.0,100.0,0.0029,114.07
2006-12-22,1800.0,161600.71,0.47,0.1,0.21,,161600.71,1800.0,1800.0,161600.71,,,,,,,,,,,,,,,,,,0.21,,,,0.29,0.29,619207.0,55591274.32,,70.69,0.29,,1.0,100.0,0.0029,113.86
2006-12-25,1800.0,161600.71,0.46,0.1,0.21,,161600.71,0.0,1800.0,0.0,,,,,,,,0.0,,1800.0,,,,,,,,0.2,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
