,ALSTI FP Equity_DX_SI_QTY,ALSTI FP Equity_DX_SHORT_INTEREST_VALUE,ALSTI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALSTI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALSTI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALSTI FP Equity_DX_SI_MV,ALSTI FP Equity_DX_DSS,ALSTI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALSTI FP Equity_DX_SUPPLY_SI_QTY,ALSTI FP Equity_DX_BROKER_SI_QTY,ALSTI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALSTI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALSTI FP Equity_DX_BROKER_SI_MV_INC_x,ALSTI FP Equity_DX_BROKER_SI_QTY_ADD,ALSTI FP Equity_DX_SUPPLY_SI_MV_DEC,ALSTI FP Equity_DX_BROKER_SI_QTY_INC,ALSTI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALSTI FP Equity_DX_BROKER_SI_MV_INC_y,ALSTI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALSTI FP Equity_DX_BROKER_SI_MV_ADD,ALSTI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALSTI FP Equity_DX_BROKER_SI_QTY_DEC,ALSTI FP Equity_DX_SUPPLY_SI_MV,ALSTI FP Equity_DX_BROKER_SI_MV_DEC,ALSTI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALSTI FP Equity_DX_UTILIZATION_QUANTITY,ALSTI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALSTI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALSTI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALSTI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALSTI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALSTI FP Equity_DX_BROKER_SI_CON_RATIO,ALSTI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALSTI FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-05-09,1000.0,10900.0,0.06,0.12,0.02,0.01,0.0,5450.0,500.0,500.0,5450.0,,,,,,,,,,,,0.01,,100.0,27.78,0.0,0.0,0.0,100.0,,1.0,100.0,0.5556
2024-05-10,1000.0,10840.0,0.06,0.12,0.02,0.01,0.0,5420.0,500.0,500.0,5420.0,,,,,,,,,,,,0.01,,100.0,27.78,0.0,0.0,0.0,100.0,,1.0,100.0,0.5556
2024-05-13,1000.0,10996.0,0.06,0.12,0.02,0.01,0.0,5498.0,500.0,500.0,5498.0,,,,,,,,,,,,0.01,,100.0,29.41,0.0,0.0,0.0,100.0,,1.0,100.0,0.5882
2024-05-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.01,,500.0,,,,,500.0,0.0,0.01,0.0,0.0,1700.0,18479.0,0.02,0.0,,0.0,,0.0
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2100.0,23226.0,0.02,0.0,,0.0,,0.0
2024-05-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2100.0,23331.0,0.02,0.0,,0.0,,0.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2100.0,23520.0,0.02,0.0,,0.0,,0.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2100.0,23730.0,0.02,0.0,,0.0,,0.0
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2100.0,23868.6,0.02,0.0,,0.0,,0.0
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2100.0,23751.0,0.02,0.0,,0.0,,0.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2100.0,23730.0,0.02,0.0,,0.0,,0.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2100.0,28035.0,0.02,0.0,,0.0,,0.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2100.0,29211.0,0.03,0.0,,0.0,,0.0
2024-05-28,7800.0,109980.0,0.44,1.25,0.15,0.11,0.0,54990.0,3900.0,3900.0,54990.0,,,3900.0,,,,,,0.05,3900.0,,0.05,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-05-29,7800.0,110760.0,0.44,1.38,0.15,0.11,0.0,55380.0,3900.0,3900.0,55380.0,,,,,,,,,,,,0.06,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-05-30,7800.0,108576.0,0.44,1.42,0.15,0.11,0.0,54288.0,3900.0,3900.0,54288.0,,,,,,,,,,,,0.06,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-05-31,7800.0,107967.6,0.44,1.44,0.15,0.11,0.0,53983.8,3900.0,3900.0,53983.8,,,,,,,,,,,,0.05,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-06-03,7800.0,105378.0,0.44,1.5,0.15,0.11,0.0,52689.0,3900.0,3900.0,52689.0,,,,,,,,,,,,0.05,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-06-04,7800.0,104520.0,0.44,1.53,0.15,0.11,0.0,52260.0,3900.0,3900.0,52260.0,,,,,,,,,,,,0.05,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-06-05,7800.0,108794.4,0.44,1.62,0.15,0.1,0.0,54397.2,3900.0,3900.0,54397.2,,,,,,,,,,,,0.05,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-06-06,7800.0,109808.4,0.44,1.64,0.15,0.11,0.0,54904.2,3900.0,3900.0,54904.2,,,,,,,,,,,,0.05,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-06-07,7800.0,108030.0,0.44,1.68,0.15,0.11,0.0,54015.0,3900.0,3900.0,54015.0,,,,,,,,,,,,0.05,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-06-10,7800.0,108342.0,0.44,1.75,0.15,0.11,0.0,54171.0,3900.0,3900.0,54171.0,,,,,,,,,,,,0.05,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-06-11,7800.0,109200.0,0.44,1.77,0.15,0.11,0.0,54600.0,3900.0,3900.0,54600.0,,,,,,,,,,,,0.05,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-06-12,7800.0,109200.0,0.44,1.81,0.15,0.11,0.0,54600.0,3900.0,3900.0,54600.0,,,,,,,,,,,,0.05,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-06-13,7900.0,109020.0,0.44,1.84,0.16,0.11,0.0,55200.0,4000.0,4000.0,55200.0,100.0,,100.0,,,,,100.0,0.0,,,0.06,,100.0,100.0,0.0,0.0,0.0,100.0,1.27,0.975,98.73,1.975
2024-06-14,7900.0,94878.98,0.44,1.81,0.16,0.11,0.0,48039.99,4000.0,4000.0,48039.99,,,,,,,,,,,,0.06,,100.0,100.0,0.0,0.0,0.0,100.0,1.27,0.975,98.73,1.975
2024-06-17,7900.0,94800.0,0.44,1.64,0.16,0.1,0.0,46800.0,4000.0,3900.0,48000.0,,,,,,,,,,,100.0,0.06,0.0,100.0,100.0,0.0,0.0,0.0,100.0,1.34,0.9735,98.66,1.975
2024-06-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.06,,4000.0,,,,,3900.0,0.0,0.05,0.0,0.0,3000.0,38100.0,0.04,0.0,,0.0,,0.0
2024-06-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3000.0,39150.0,0.04,0.0,,0.0,,0.0
2024-06-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3500.0,47250.0,0.05,0.0,,0.0,,0.0
2024-06-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3500.0,46200.0,0.05,0.0,,0.0,,0.0
2024-06-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3600.0,44640.0,0.05,0.0,,0.0,,0.0
2024-06-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3600.0,42120.0,0.04,0.0,,0.0,,0.0
2024-06-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2800.0,34580.0,0.03,0.0,,0.0,,0.0
2024-06-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3600.0,44820.0,0.04,0.0,,0.0,,0.0
2024-06-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3600.0,43380.0,0.04,0.0,,0.0,,0.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3600.0,44640.0,0.04,0.0,,0.0,,0.0
2024-07-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4000.0,50800.0,0.05,0.0,,0.0,,0.0
2024-07-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3600.0,47160.0,0.05,0.0,,0.0,,0.0
2024-07-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4000.0,53600.0,0.05,0.0,,0.0,,0.0
2024-07-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4000.0,53200.0,0.05,0.0,,0.0,,0.0
2024-07-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1800.0,23760.0,0.02,0.0,,0.0,,0.0
2024-07-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1900.0,25650.0,0.03,0.0,,0.0,,0.0
2024-07-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1500.0,20700.0,0.02,0.0,,0.0,,0.0
2024-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2600.0,36140.0,0.04,0.0,,0.0,,0.0
2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4000.0,55800.0,0.05,0.0,,0.0,,0.0
2024-07-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3700.0,54575.0,0.05,0.0,,0.0,,0.0
2024-07-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,52800.0,0.05,0.0,,0.0,,0.0
2024-07-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2700.0,51030.0,0.05,0.0,,0.0,,0.0
2024-07-18,2000.0,37800.0,0.11,0.39,0.04,0.04,0.0,18900.0,1000.0,1000.0,18900.0,,,1000.0,,,,,,0.02,1000.0,,0.02,,100.0,41.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.8333
2024-07-19,2000.0,37500.0,0.11,0.39,0.04,0.04,0.0,18750.0,1000.0,1000.0,18750.0,,,,,,,,,,,,0.02,,100.0,41.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.8333
2024-07-22,2000.0,36800.0,0.11,0.37,0.04,0.04,0.0,18400.0,1000.0,1000.0,18400.0,,,,,,,,,,,,0.02,,100.0,32.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.6452
2024-07-23,2000.0,35800.0,0.11,0.36,0.04,0.04,0.0,17900.0,1000.0,1000.0,17900.0,,,,,,,,,,,,0.02,,100.0,32.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.6452
2024-07-24,2000.0,35600.0,0.11,0.36,0.04,0.04,0.0,17800.0,1000.0,1000.0,17800.0,,,,,,,,,,,,0.02,,100.0,32.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.6452
2024-07-25,2000.0,34500.0,0.11,0.36,0.04,0.04,0.0,17250.0,1000.0,1000.0,17250.0,,,,,,,,,,,,0.02,,100.0,47.62,0.0,0.0,0.0,100.0,,1.0,100.0,0.9524
2024-07-26,2000.0,32000.0,0.11,0.34,0.04,0.03,0.0,16000.0,1000.0,1000.0,16000.0,,,,,,,,,,,,0.02,,100.0,47.62,0.0,0.0,0.0,100.0,,1.0,100.0,0.9524
2024-07-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.02,,1000.0,,,,,1000.0,0.0,0.02,0.0,0.0,2100.0,34020.0,0.04,0.0,,0.0,,0.0
2024-07-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4100.0,68880.0,0.07,0.0,,0.0,,0.0
2024-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3500.0,58800.0,0.06,0.0,,0.0,,0.0
2024-08-01,100.0,1780.0,0.01,0.02,0.0,0.0,0.0,1780.0,100.0,100.0,1780.0,,,100.0,,,,,,0.0,100.0,,0.0,,100.0,3.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.0333
2024-08-02,100.0,1780.0,0.01,0.02,0.0,0.0,0.0,1780.0,100.0,100.0,1780.0,,,,,,,,,,,,0.0,,100.0,3.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.0333
2024-08-05,316.0,5008.6,0.02,0.06,0.01,0.01,0.0,3296.8,208.0,208.0,3296.8,108.0,,108.0,,,,,108.0,0.0,,,0.0,,100.0,6.5,0.0,0.0,0.0,100.0,31.65,0.5674,68.35,0.0988
2024-08-06,216.0,3456.0,0.01,0.04,0.0,0.0,0.0,1728.0,108.0,108.0,1728.0,,,,0.0,,100.0,,,,,100.0,0.0,0.0,100.0,3.48,0.0,0.0,0.0,100.0,,1.0,100.0,0.0697
2024-08-07,216.0,3661.2,0.01,0.04,0.0,0.0,0.0,1830.6,108.0,108.0,1830.6,,,,,,,,,,,,0.0,,100.0,9.82,0.0,0.0,0.0,100.0,,1.0,100.0,0.1964
2024-08-08,216.0,3564.0,0.01,0.04,0.0,0.0,0.0,1782.0,108.0,108.0,1782.0,,,,,,,,,,,,0.0,,100.0,6.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.12
2024-08-09,216.0,3650.4,0.01,0.04,0.0,0.0,0.0,1825.2,108.0,108.0,1825.2,,,,,,,,,,,,0.0,,100.0,6.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.12
2024-08-12,108.0,1933.2,0.01,0.02,0.0,0.0,0.0,0.0,108.0,0.0,1933.2,,,,,,,,,,,108.0,0.0,0.0,100.0,6.35,0.0,0.0,0.0,100.0,,1.0,100.0,0.0635
2024-08-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,108.0,,,,,,0.0,,0.0,0.0,1700.0,30430.0,0.03,0.0,,0.0,,0.0
2024-08-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,30175.0,0.03,0.0,,0.0,,0.0
2024-08-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,30515.0,0.03,0.0,,0.0,,0.0
2024-08-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,29240.0,0.03,0.0,,0.0,,0.0
2024-08-19,200.0,3430.0,0.01,0.04,0.0,0.0,0.0,1715.0,100.0,100.0,1715.0,,,100.0,,,,,,0.0,100.0,,0.0,,100.0,5.88,0.0,0.0,0.0,100.0,,1.0,100.0,0.1176
2024-08-20,200.0,3450.0,0.01,0.04,0.0,0.0,0.0,1725.0,100.0,100.0,1725.0,,,,,,,,,,,,0.0,,100.0,6.25,0.0,0.0,0.0,100.0,,1.0,100.0,0.125
2024-08-21,200.0,3550.0,0.01,0.04,0.0,0.0,0.0,1775.0,100.0,100.0,1775.0,,,,,,,,,,,,0.0,,100.0,5.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.1053
2024-08-22,200.0,3560.0,0.01,0.04,0.0,0.0,0.0,1780.0,100.0,100.0,1780.0,,,,,,,,,,,,0.0,,100.0,5.56,0.0,0.0,0.0,100.0,,1.0,100.0,0.1111
2024-08-23,200.0,3600.0,0.01,0.04,0.0,0.0,0.0,1800.0,100.0,100.0,1800.0,,,,,,,,,,,,0.0,,100.0,5.56,0.0,0.0,0.0,100.0,,1.0,100.0,0.1111
2024-08-26,100.0,1810.0,0.01,0.02,0.0,0.0,0.0,0.0,100.0,0.0,1810.0,,,,,,,,,,,100.0,0.0,0.0,100.0,5.56,0.0,0.0,0.0,100.0,,1.0,100.0,0.0556
2024-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,100.0,,,,,,0.0,,0.0,0.0,1800.0,32220.0,0.03,0.0,,0.0,100.0,0.0
2024-08-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1800.0,32220.0,0.03,0.0,,0.0,,0.0
2024-08-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1800.0,32220.0,0.03,0.0,,0.0,,0.0
2024-08-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1800.0,32040.0,0.03,0.0,,0.0,,0.0
2024-09-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1800.0,32580.0,0.03,0.0,,0.0,,0.0
2024-09-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1800.0,33570.0,0.03,0.0,,0.0,,0.0
2024-09-04,100.0,1865.0,0.01,0.03,0.0,0.0,0.0,932.5,50.0,50.0,932.5,,,50.0,,,,,,0.0,50.0,,0.0,,100.0,2.78,0.0,0.0,0.0,100.0,,1.0,100.0,0.0556
2024-09-05,160.0,2952.0,0.01,0.05,0.0,0.0,0.0,1476.0,80.0,80.0,1476.0,30.0,0.0,,,30.0,,0.0,30.0,,,,0.0,,100.0,4.44,0.0,0.0,0.0,100.0,,1.0,100.0,0.0889
2024-09-06,160.0,2864.0,0.01,0.06,0.0,0.0,0.0,1432.0,80.0,80.0,1432.0,,,,,,,,,,,,0.0,,100.0,8.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.16
2024-09-09,160.0,2840.0,0.01,0.06,0.0,0.0,0.0,1420.0,80.0,80.0,1420.0,,,,,,,,,,,,0.0,,100.0,8.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.16
2024-09-10,160.0,2864.0,0.01,0.07,0.0,0.0,0.0,1432.0,80.0,80.0,1432.0,,,,,,,,,,,,0.0,,100.0,8.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.16
2024-09-11,160.0,2856.0,0.01,0.07,0.0,0.0,0.0,1428.0,80.0,80.0,1428.0,,,,,,,,,,,,0.0,,100.0,6.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.1333
2024-09-12,160.0,2856.0,0.01,0.07,0.0,0.0,0.0,1428.0,80.0,80.0,1428.0,,,,,,,,,,,,0.0,,100.0,6.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.1333
2024-09-13,160.0,2992.0,0.01,0.07,0.0,0.0,0.0,1496.0,80.0,80.0,1496.0,,,,,,,,,,,,0.0,,100.0,6.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.1333
2024-09-16,100.0,1840.0,0.01,0.04,0.0,0.0,0.0,920.0,50.0,50.0,920.0,,,,0.0,,30.0,,,,,30.0,0.0,0.0,100.0,4.17,0.0,0.0,0.0,100.0,,1.0,100.0,0.0833
2024-09-17,400.0,7240.0,0.02,0.16,0.01,0.01,0.0,3620.0,200.0,200.0,3620.0,150.0,0.0,,,150.0,,0.0,150.0,,,,0.0,,100.0,16.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2024-09-18,750.0,13762.5,0.04,0.31,0.01,0.01,0.0,6881.25,375.0,375.0,6881.25,175.0,0.0,,,175.0,,0.0,175.0,,,,0.01,,100.0,17.05,0.0,0.0,0.0,100.0,,1.0,100.0,0.3409
2024-09-19,650.0,11862.5,0.04,0.25,0.01,0.01,0.0,5931.25,325.0,325.0,5931.25,,,,0.0,,50.0,,,,,50.0,0.01,0.0,100.0,23.21,0.0,0.0,0.0,100.0,,1.0,100.0,0.4643
2024-09-20,650.0,12285.0,0.04,0.24,0.01,0.01,0.0,6142.5,325.0,325.0,6142.5,,,,,,,,,,,,0.01,,100.0,23.21,0.0,0.0,0.0,100.0,,1.0,100.0,0.4643
2024-09-23,650.0,13195.0,0.04,0.22,0.01,0.01,0.0,6597.5,325.0,325.0,6597.5,,,,,,,,,,,,0.01,,100.0,40.63,0.0,0.0,0.0,100.0,,1.0,100.0,0.8125
2024-09-24,752.0,15340.8,0.05,0.22,0.01,0.02,0.0,7670.4,376.0,376.0,7670.4,51.0,0.0,,,51.0,,0.0,51.0,,,,0.01,,100.0,94.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.88
2024-09-25,1054.0,22661.0,0.07,0.28,0.02,0.02,0.0,11330.5,527.0,527.0,11330.5,151.0,0.0,,,151.0,,0.0,151.0,,,,0.01,,100.0,65.88,0.0,0.0,0.0,100.0,,1.0,100.0,1.3175
