,CMU FP Equity_DX_DSS,CMU FP Equity_PX_LAST
2009-11-17,,112.37
2009-11-18,,112.58
2009-11-19,,110.6
2009-11-20,,109.48
2009-11-23,,111.72
2009-11-24,,111.05
2009-11-25,,111.74
2009-11-26,,107.85
2009-11-27,,109.07
2009-11-30,,108.09
2009-12-01,,110.78
2009-12-02,,110.84
2009-12-03,,110.9
2009-12-04,,112.15
2009-12-07,,111.85
2009-12-08,,109.96
2009-12-09,,108.67
2009-12-10,,109.74
2009-12-11,,110.25
2009-12-14,,111.33
2009-12-15,,111.25
2009-12-16,,112.54
2009-12-17,,111.5
2009-12-18,,110.7
2009-12-21,,112.41
2009-12-22,,113.23
2009-12-23,,113.62
2009-12-28,,114.52
2009-12-29,,114.71
2009-12-30,,114.02
2010-01-04,,115.93
2010-01-05,,116.02
2010-01-06,,116.25
2010-01-07,,116.25
2010-01-08,,116.46
2010-01-11,,116.34
2010-01-12,,115.07
2010-01-13,,115.11
2010-01-14,,115.77
2010-01-15,,113.95
2010-01-18,,114.57
2010-01-19,,115.42
2010-01-20,,113.1
2010-01-21,,111.09
2010-01-22,,110.29
2010-01-25,,109.09
2010-01-26,,110.27
2010-01-27,,108.68
2010-01-28,,107.4
2010-01-29,,108.74
2010-02-01,,109.37
2010-02-02,,110.72
2010-02-03,,109.58
2010-02-04,,105.97
2010-02-05,,103.47
2010-02-08,,104.04
2010-02-09,,104.65
2010-02-10,,105.44
2010-02-11,,105.13
2010-02-12,,104.62
2010-02-15,,105.06
2010-02-16,,106.1
2010-02-17,,107.73
2010-02-18,,108.21
2010-02-19,,108.93
2010-02-22,,108.39
2010-02-23,,106.73
2010-02-24,,107.01
2010-02-25,,104.95
2010-02-26,,106.63
2010-03-01,,108.38
2010-03-02,,109.43
2010-03-03,,110.57
2010-03-04,,110.12
2010-03-05,,112.38
2010-03-08,,112.48
2010-03-09,,112.44
2010-03-10,,113.53
2010-03-11,,112.98
2010-03-12,,113.37
2010-03-15,,112.38
2010-03-16,,113.54
2010-03-17,,114.55
2010-03-18,,114.03
2010-03-19,,113.48
2010-03-22,,113.31
2010-03-23,,114.05
2010-03-24,,113.96
2010-03-25,,115.63
2010-03-26,,115.43
2010-03-29,,115.72
2010-03-30,,115.2
2010-03-31,,115.02
2010-04-01,,116.82
2010-04-06,,117.28
2010-04-07,,116.72
2010-04-08,,115.5
2010-04-09,,117.21
2010-04-12,,117.73
2010-04-13,,117.13
2010-04-14,,118.04
2010-04-15,,118.35
2010-04-16,,116.15
2010-04-19,,115.55
2010-04-20,,117.17
2010-04-21,,116.32
2010-04-22,,114.51
2010-04-23,,115.74
2010-04-26,,116.48
2010-04-27,,112.01
2010-04-28,,109.82
2010-04-29,,112.36
2010-04-30,,112.23
2010-05-03,,112.55
2010-05-04,,108.43
2010-05-05,,107.03
2010-05-06,,105.2
2010-05-07,,101.42
2010-05-10,,110.42
2010-05-11,,109.4
2010-05-12,,111.0
2010-05-13,,111.0
2010-05-14,,106.64
2010-05-17,,106.48
2010-05-18,,108.35
2010-05-19,,105.54
2010-05-20,,103.65
2010-05-21,,104.01
2010-05-24,,103.64
2010-05-25,,100.15
2010-05-26,,102.3
2010-05-27,,105.76
2010-05-28,,105.87
2010-05-31,,105.75
2010-06-01,,105.67
2010-06-02,,105.52
2010-06-03,,106.95
2010-06-04,,104.34
2010-06-07,,103.32
2010-06-08,,102.29
2010-06-09,,104.22
2010-06-10,,106.27
2010-06-11,,107.2
2010-06-14,,109.0
2010-06-15,,110.16
2010-06-16,,110.1
2010-06-17,,110.55
2010-06-18,,111.11
2010-06-21,,112.25
2010-06-22,,111.55
2010-06-23,,110.05
2010-06-24,,107.66
2010-06-25,,107.07
2010-06-28,,108.38
2010-06-29,,104.32
2010-06-30,,104.62
2010-07-01,,102.61
2010-07-02,,101.92
2010-07-05,,102.31
2010-07-06,,104.83
2010-07-07,,106.65
2010-07-08,,107.92
2010-07-09,,108.59
2010-07-12,,108.65
2010-07-13,,110.9
2010-07-14,,110.89
2010-07-15,,109.6
2010-07-16,,107.57
2010-07-19,,107.0
2010-07-20,,106.72
2010-07-21,,107.43
2010-07-22,,110.33
2010-07-23,,110.7
2010-07-26,,111.43
2010-07-27,,112.24
2010-07-28,,112.02
2010-07-29,,111.56
2010-07-30,,111.22
2010-08-02,,114.05
2010-08-03,,114.14
2010-08-04,,114.46
2010-08-05,,114.2
2010-08-06,,112.67
2010-08-09,,114.28
2010-08-10,,113.16
2010-08-11,,110.27
2010-08-12,,109.96
2010-08-13,,109.69
2010-08-16,,109.44
2010-08-17,,111.18
2010-08-18,,110.82
2010-08-19,,108.93
2010-08-20,,107.62
2010-08-23,,108.14
2010-08-24,,106.45
2010-08-25,,105.37
2010-08-26,,106.22
2010-08-27,,107.1
2010-08-30,,106.66
2010-08-31,,106.65
2010-09-01,,110.31
2010-09-02,,110.52
2010-09-03,,111.49
2010-09-06,,111.96
2010-09-07,,110.79
2010-09-08,,111.71
2010-09-09,,112.9
2010-09-10,,112.93
2010-09-13,,113.9
2010-09-14,,114.01
2010-09-15,,113.58
2010-09-16,,113.14
2010-09-17,,112.31
2010-09-20,,114.18
2010-09-21,,114.05
2010-09-22,,112.55
2010-09-23,,111.96
2010-09-24,,114.06
2010-09-27,,113.35
2010-09-28,,113.35
2010-09-29,,112.69
2010-09-30,,112.46
2010-10-01,,112.06
2010-10-04,,110.9
2010-10-05,,112.97
2010-10-06,,113.91
2010-10-07,,114.2
2010-10-08,,114.07
2010-10-11,,114.31
2010-10-12,,113.86
2010-10-13,,116.16
2010-10-14,,116.01
2010-10-15,,116.29
2010-10-18,,116.57
2010-10-19,,116.12
2010-10-20,,116.56
2010-10-21,,117.87
2010-10-22,,117.66
2010-10-25,,117.92
2010-10-26,,117.21
2010-10-27,,116.13
2010-10-28,,116.62
2010-10-29,,116.7
2010-11-01,,116.45
2010-11-02,,117.31
2010-11-03,,116.34
2010-11-04,,118.09
2010-11-05,,117.78
2010-11-08,,117.56
2010-11-09,,118.68
2010-11-10,,117.22
2010-11-11,,116.51
2010-11-12,,116.41
2010-11-15,,117.47
2010-11-16,,114.88
2010-11-17,,115.65
2010-11-18,,117.63
2010-11-19,,117.45
2010-11-22,,116.25
2010-11-23,,113.66
2010-11-24,,114.71
2010-11-25,,114.94
2010-11-26,,114.22
2010-11-29,,111.61
2010-11-30,,111.03
2010-12-01,,113.85
2010-12-02,,116.17
2010-12-03,,116.25
2010-12-06,,115.98
2010-12-07,,117.25
2010-12-08,,117.6
2010-12-09,,118.03
2010-12-10,,118.15
2010-12-13,,118.73
2010-12-14,,118.89
2010-12-15,,118.23
2010-12-16,,118.32
2010-12-17,,117.61
2010-12-20,,118.31
2010-12-21,,119.78
2010-12-22,,119.65
2010-12-23,,119.45
2010-12-27,,117.99
2010-12-28,,117.99
2010-12-29,5.0,118.5
2010-12-30,5.0,117.06
2010-12-31,5.0,
2011-01-03,,118.79
2011-01-04,,118.84
2011-01-05,,118.25
2011-01-06,,118.46
2011-01-07,,117.48
2011-01-10,,115.95
2011-01-11,,117.66
2011-01-12,,120.46
2011-01-13,,121.06
2011-01-14,,121.26
2011-01-17,,120.94
2011-01-18,,122.3
2011-01-19,,121.42
2011-01-20,,120.99
2011-01-21,,122.42
2011-01-24,,122.52
2011-01-25,,121.93
2011-01-26,,122.71
2011-01-27,,123.47
2011-01-28,,122.22
2011-01-31,,121.99
2011-02-01,,124.15
2011-02-02,,124.22
2011-02-03,,123.7
2011-02-04,,124.03
2011-02-07,,125.22
2011-02-08,,125.65
2011-02-09,,125.47
2011-02-10,,125.27
2011-02-11,,125.37
2011-02-14,,125.38
2011-02-15,,125.48
2011-02-16,,126.66
2011-02-17,,126.63
2011-02-18,,126.75
2011-02-21,,124.66
2011-02-22,,123.8
2011-02-23,,122.34
2011-02-24,,122.04
2011-02-25,,123.44
2011-02-28,,124.61
2011-03-01,,123.69
2011-03-02,,122.77
2011-03-03,,123.17
2011-03-04,,122.44
2011-03-07,,121.9
2011-03-08,,122.52
2011-03-09,,122.32
2011-03-10,,121.02
2011-03-11,,119.95
2011-03-14,,118.74
2011-03-15,,115.99
2011-03-16,,113.73
2011-03-17,,116.08
2011-03-18,,116.47
2011-03-21,,118.95
2011-03-22,,118.58
2011-03-23,,119.16
2011-03-24,,120.9
2011-03-25,,120.97
2011-03-28,,121.09
2011-03-29,,121.07
2011-03-30,,122.14
2011-03-31,,121.11
2011-04-01,,123.18
2011-04-04,,123.24
2011-04-05,,123.06
2011-04-06,,123.75
2011-04-07,,123.17
2011-04-08,,123.85
2011-04-11,,123.46
2011-04-12,,121.72
2011-04-13,,122.7
2011-04-14,,121.52
2011-04-15,,121.77
2011-04-18,,119.0
2011-04-19,,119.54
2011-04-20,,122.07
2011-04-21,,122.76
2011-04-26,,123.5
2011-04-27,,124.33
2011-04-28,,125.38
2011-04-29,,125.62
2011-05-02,,125.98
2011-05-03,,125.56
2011-05-04,,123.75
2011-05-05,,123.16
2011-05-06,,124.62
2011-05-09,,123.25
2011-05-10,,124.68
2011-05-11,,124.99
2011-05-12,,123.97
2011-05-13,,123.5
2011-05-16,,123.22
2011-05-17,,121.71
2011-05-18,,122.29
2011-05-19,,123.18
2011-05-20,,122.18
2011-05-23,,120.11
2011-05-24,,120.44
2011-05-25,,120.95
2011-05-26,,120.38
2011-05-27,,121.23
2011-05-30,,121.08
2011-05-31,,122.88
2011-06-01,,121.85
2011-06-02,,119.98
2011-06-03,,120.19
2011-06-06,,119.49
2011-06-07,,119.66
2011-06-08,,118.53
2011-06-09,,119.63
2011-06-10,,117.9
2011-06-13,,117.91
2011-06-14,,119.63
2011-06-15,,117.87
2011-06-16,,117.43
2011-06-17,,118.62
2011-06-20,,117.78
2011-06-21,,119.93
2011-06-22,,119.75
2011-06-23,,117.2
2011-06-24,,116.81
2011-06-27,,116.89
2011-06-28,,117.87
2011-06-29,,120.14
2011-06-30,,122.05
2011-07-01,,122.81
2011-07-04,,123.11
2011-07-05,,122.52
2011-07-06,,121.64
2011-07-07,,122.32
2011-07-08,,120.36
2011-07-11,,117.18
2011-07-12,,116.34
2011-07-13,,117.39
2011-07-14,,116.4
2011-07-15,,115.88
2011-07-18,,113.57
2011-07-19,,114.92
2011-07-20,,116.66
2011-07-21,,118.8
2011-07-22,,119.55
2011-07-25,,118.65
2011-07-26,,118.24
2011-07-27,,116.46
2011-07-28,,115.93
2011-07-29,,115.1
2011-08-01,,111.94
2011-08-02,,109.79
2011-08-03,,107.59
2011-08-04,,103.6
2011-08-05,,102.14
2011-08-08,,97.81
2011-08-09,,98.48
2011-08-10,,93.78
2011-08-11,,96.48
2011-08-12,,100.26
2011-08-15,,101.06
2011-08-16,,100.58
2011-08-17,,100.89
2011-08-18,,95.73
2011-08-19,,93.68
2011-08-22,,94.43
2011-08-23,,95.06
2011-08-24,,96.66
2011-08-25,,95.81
2011-08-26,,94.99
2011-08-29,,97.1
2011-08-30,,97.26
2011-08-31,,99.99
2011-09-01,,100.0
2011-09-02,,96.86
2011-09-05,,92.21
2011-09-06,,91.38
2011-09-07,,94.51
2011-09-08,,95.0
2011-09-09,,91.45
2011-09-12,,88.41
2011-09-13,,89.65
2011-09-14,,91.72
2011-09-15,,94.52
2011-09-16,,94.86
2011-09-19,,92.52
2011-09-20,,94.25
2011-09-21,,92.85
2011-09-22,,88.24
2011-09-23,,88.92
2011-09-26,,90.84
2011-09-27,,95.35
2011-09-28,,94.63
2011-09-29,,95.89
2011-09-30,,94.19
2011-10-03,,92.49
2011-10-04,,90.03
2011-10-05,,93.6
2011-10-06,,96.51
2011-10-07,,97.17
2011-10-10,,99.41
2011-10-11,,99.12
2011-10-12,,101.36
2011-10-13,,100.07
2011-10-14,,101.14
2011-10-17,,99.52
2011-10-18,,99.26
2011-10-19,,99.9
2011-10-20,,97.66
2011-10-21,,100.45
2011-10-24,,101.98
2011-10-25,,101.02
2011-10-26,,100.71
2011-10-27,,106.14
2011-10-28,,105.55
2011-10-31,,102.2
2011-11-01,,97.34
2011-11-02,,98.74
2011-11-03,,101.23
2011-11-04,,99.22
2011-11-07,,98.86
2011-11-08,,99.75
2011-11-09,,97.39
2011-11-10,,97.51
2011-11-11,,100.31
2011-11-14,,98.74
2011-11-15,,97.37
2011-11-16,,97.72
2011-11-17,,96.45
2011-11-18,,95.99
2011-11-21,,92.75
2011-11-22,,91.68
2011-11-23,,90.21
2011-11-24,,90.1
2011-11-25,,90.92
2011-11-28,,95.24
2011-11-29,,95.83
2011-11-30,,99.71
2011-12-01,,99.14
2011-12-02,,100.26
2011-12-05,,101.45
2011-12-06,,100.7
2011-12-07,,100.36
2011-12-08,,97.86
2011-12-09,,100.03
2011-12-12,,96.99
2011-12-13,,96.83
2011-12-14,,94.57
2011-12-15,,95.34
2011-12-16,,94.53
2011-12-19,,94.75
2011-12-20,,97.46
2011-12-21,,96.66
2011-12-22,,97.77
2011-12-23,,98.56
2011-12-27,,98.63
2011-12-28,,97.23
2011-12-29,,98.77
2011-12-30,,99.17
2012-01-02,,101.78
2012-01-03,,102.69
2012-01-04,,101.27
2012-01-05,,99.93
2012-01-06,,99.41
2012-01-09,,99.09
2012-01-10,,101.39
2012-01-11,,101.16
2012-01-12,,101.51
2012-01-13,,101.05
2012-01-16,,102.12
2012-01-17,,103.34
2012-01-18,,103.51
2012-01-19,,105.09
2012-01-20,,104.97
2012-01-23,,105.66
2012-01-24,,105.08
2012-01-25,,104.92
2012-01-26,,106.73
2012-01-27,,105.82
2012-01-30,,104.24
2012-01-31,,104.89
2012-02-01,,107.26
2012-02-02,,107.7
2012-02-03,,109.27
2012-02-06,,108.91
2012-02-07,,109.02
2012-02-08,,109.1
2012-02-09,,109.27
2012-02-10,,107.87
2012-02-13,,108.33
2012-02-14,,108.12
2012-02-15,,108.49
2012-02-16,,108.3
2012-02-17,,109.65
2012-02-20,,111.16
2012-02-21,,110.58
2012-02-22,,109.58
2012-02-23,,109.19
2012-02-24,,109.85
2012-02-27,,109.29
2012-02-28,,109.66
2012-02-29,,109.25
2012-03-01,,110.75
2012-03-02,,110.83
2012-03-05,,110.01
2012-03-06,,106.48
2012-03-07,,107.31
2012-03-08,,109.7
2012-03-09,,109.88
2012-03-12,,109.94
2012-03-13,,111.77
2012-03-14,,112.35
2012-03-15,,113.12
2012-03-16,,113.64
2012-03-19,,113.71
2012-03-20,,112.38
2012-03-21,,112.16
2012-03-22,,110.65
2012-03-23,,110.64
2012-03-26,,111.5
2012-03-27,,111.0
2012-03-28,,109.81
2012-03-29,,108.06
2012-03-30,,109.39
2012-04-02,,110.31
2012-04-03,,108.78
2012-04-04,,105.92
2012-04-05,,105.9
2012-04-10,,102.83
2012-04-11,,103.73
2012-04-12,,104.7
2012-04-13,,102.26
2012-04-16,,102.7
2012-04-17,,105.33
2012-04-18,,103.7
2012-04-19,,102.22
2012-04-20,,103.06
2012-04-23,,100.05
2012-04-24,,101.67
2012-04-25,,103.63
2012-04-26,,103.71
2012-04-27,,104.9
2012-04-30,,103.81
2012-05-02,,103.18
2012-05-03,,103.04
2012-05-04,,101.44
2012-05-07,,102.74
2012-05-08,,100.93
2012-05-09,,100.66
2012-05-10,,101.66
2012-05-11,,102.15
2012-05-14,,99.79
2012-05-15,,98.87
2012-05-16,,98.59
2012-05-17,,97.3
2012-05-18,,97.08
2012-05-21,,97.8
2012-05-22,,99.65
2012-05-23,,97.11
2012-05-24,,97.89
2012-05-25,,98.16
2012-05-28,,97.87
2012-05-29,,98.58
2012-05-30,,96.8
2012-05-31,,96.5
2012-06-01,,94.33
2012-06-04,,94.35
2012-06-05,,94.79
2012-06-06,,97.03
2012-06-07,,97.66
2012-06-08,,97.58
2012-06-11,,97.32
2012-06-12,,97.41
2012-06-13,,97.17
2012-06-14,,97.25
2012-06-15,,98.75
2012-06-18,,98.26
2012-06-19,,100.06
2012-06-20,,100.7
2012-06-21,,100.28
2012-06-22,,99.6
2012-06-25,,97.31
2012-06-26,,97.0
2012-06-27,,98.62
2012-06-28,,98.24
2012-06-29,,102.64
2012-07-02,,103.94
2012-07-03,,105.19
2012-07-04,,105.07
2012-07-05,,103.92
2012-07-06,,101.89
2012-07-09,,101.71
2012-07-10,,102.38
2012-07-11,,102.29
2012-07-12,,101.42
2012-07-13,,102.97
2012-07-16,,102.81
2012-07-17,,102.72
2012-07-18,,104.1
2012-07-19,,105.08
2012-07-20,,102.57
2012-07-23,,99.85
2012-07-24,,98.89
2012-07-25,,99.15
2012-07-26,,102.78
2012-07-27,,104.92
2012-07-30,,106.47
2012-07-31,,105.74
2012-08-01,,106.09
2012-08-02,,103.27
2012-08-03,,107.39
2012-08-06,,108.61
2012-08-07,,109.93
2012-08-08,,109.7
2012-08-09,,110.04
2012-08-10,,109.48
2012-08-13,,109.05
2012-08-14,,109.8
2012-08-15,,109.78
2012-08-16,,110.88
2012-08-17,,111.65
2012-08-20,,111.25
2012-08-21,,112.28
2012-08-22,,110.8
2012-08-23,,109.69
2012-08-24,,109.99
2012-08-27,,110.93
2012-08-28,,110.07
2012-08-29,,109.96
2012-08-30,,108.76
2012-08-31,,109.99
2012-09-03,,110.96
2012-09-04,,109.88
2012-09-05,,110.02
2012-09-06,,113.4
2012-09-07,,114.17
2012-09-10,,113.82
2012-09-11,,114.82
2012-09-12,,115.29
2012-09-13,,114.41
2012-09-14,,116.57
2012-09-17,,116.09
2012-09-18,,115.02
2012-09-19,,115.44
2012-09-20,,115.0
2012-09-21,,116.12
2012-09-24,,115.16
2012-09-25,,115.7
2012-09-26,,112.9
2012-09-27,,113.21
2012-09-28,,111.25
2012-10-01,,113.32
2012-10-02,,113.22
2012-10-03,,113.23
2012-10-04,,113.0
2012-10-05,,114.79
2012-10-08,,113.35
2012-10-09,,112.41
2012-10-10,,111.84
2012-10-11,,113.01
2012-10-12,,112.27
2012-10-15,,112.87
2012-10-16,,115.09
2012-10-17,,116.02
2012-10-18,,116.19
2012-10-19,,114.95
2012-10-22,,114.4
2012-10-23,,112.22
2012-10-24,,112.71
2012-10-25,,112.53
2012-10-26,,112.97
2012-10-29,,112.25
2012-10-30,,113.63
2012-10-31,,113.1
2012-11-01,,114.46
2012-11-02,,115.02
2012-11-05,,113.93
2012-11-06,,114.74
2012-11-07,,112.54
2012-11-08,,112.26
2012-11-09,,112.33
2012-11-12,,112.13
2012-11-13,,112.77
2012-11-14,,111.87
2012-11-15,,111.19
2012-11-16,,109.69
2012-11-19,,112.44
2012-11-20,,113.04
2012-11-21,,113.45
2012-11-22,,114.35
2012-11-23,,115.2
2012-11-26,,114.69
2012-11-27,,114.87
2012-11-28,,115.07
2012-11-29,,116.55
2012-11-30,,116.37
2012-12-03,,116.62
2012-12-04,,116.86
2012-12-05,,117.1
2012-12-06,,117.67
2012-12-07,,117.71
2012-12-10,1.0,117.47
2012-12-11,1.0,118.49
2012-12-12,1.0,118.81
2012-12-13,1.0,118.55
2012-12-14,,118.68
2012-12-17,,118.83
2012-12-18,,119.5
2012-12-19,,120.1
2012-12-20,,120.19
2012-12-21,,119.8
2012-12-27,,120.06
2012-12-28,,118.75
2013-01-02,,122.25
2013-01-03,,122.03
2013-01-04,,122.35
2013-01-07,,121.74
2013-01-08,,121.59
2013-01-09,,122.32
2013-01-10,,122.29
2013-01-11,,122.52
2013-01-14,,122.38
2013-01-15,,122.09
2013-01-16,,122.23
2013-01-17,,123.28
2013-01-18,,122.98
2013-01-21,,123.63
2013-01-22,,123.26
2013-01-23,,122.95
2013-01-24,,123.71
2013-01-25,,124.63
2013-01-28,,124.7
2013-01-29,,124.8
2013-01-30,,123.94
2013-01-31,,122.99
2013-02-01,,123.51
2013-02-04,,120.28
2013-02-05,,121.01
2013-02-06,,119.88
2013-02-07,,119.25
2013-02-08,,120.53
2013-02-11,,120.27
2013-02-12,,121.19
2013-02-13,,121.85
2013-02-14,,121.2
2013-02-15,,120.58
2013-02-18,,120.73
2013-02-19,,122.58
2013-02-20,,121.89
2013-02-21,,119.43
2013-02-22,,121.33
2013-02-25,,122.16
2013-02-26,,119.14
2013-02-27,,120.75
2013-02-28,,121.25
2013-03-01,,121.04
2013-03-04,,121.0
2013-03-05,,123.72
2013-03-06,,123.69
2013-03-07,,124.12
2013-03-08,,125.61
2013-03-11,,125.3
2013-03-12,,125.24
2013-03-13,,125.05
2013-03-14,,126.43
2013-03-15,,125.74
2013-03-18,,125.32
2013-03-19,,124.01
2013-03-20,,125.35
2013-03-21,,124.23
2013-03-22,,123.98
2013-03-25,,122.73
2013-03-26,,122.61
2013-03-27,,121.42
2013-03-28,,121.92
2013-04-02,,123.97
2013-04-03,,122.52
2013-04-04,,121.61
2013-04-05,,119.83
2013-04-08,,119.97
2013-04-09,,120.13
2013-04-10,,122.97
2013-04-11,,123.8
2013-04-12,,122.14
2013-04-15,,121.51
2013-04-16,,120.82
2013-04-17,,118.5
2013-04-18,,118.34
2013-04-19,,119.2
2013-04-22,,119.73
2013-04-23,,123.2
2013-04-24,,124.63
2013-04-25,,125.03
2013-04-26,,124.41
2013-04-29,,125.79
2013-04-30,,125.66
2013-05-02,,125.91
2013-05-03,,127.81
2013-05-06,,127.75
2013-05-07,,128.56
2013-05-08,,129.45
2013-05-09,,129.32
2013-05-10,,130.01
2013-05-13,,129.64
2013-05-14,,130.38
2013-05-15,,131.07
2013-05-16,,131.2
2013-05-17,,131.62
2013-05-20,,132.25
2013-05-21,,132.37
2013-05-22,,132.98
2013-05-23,,130.37
2013-05-24,,129.82
2013-05-27,,130.96
2013-05-28,,132.74
2013-05-29,,130.68
2013-05-30,,131.19
2013-05-31,,129.98
2013-06-03,,129.03
2013-06-04,,129.21
2013-06-05,,127.36
2013-06-06,,126.06
2013-06-07,,127.86
2013-06-10,,127.79
2013-06-11,,126.25
2013-06-12,,125.49
2013-06-13,,125.21
2013-06-14,,125.66
2013-06-17,,127.01
2013-06-18,,127.12
2013-06-19,,126.55
2013-06-20,,122.4
2013-06-21,,120.63
2013-06-24,,118.83
2013-06-25,,120.37
2013-06-26,,122.65
2013-06-27,,123.55
2013-06-28,,122.9
2013-07-01,,123.89
2013-07-02,,123.23
2013-07-03,,121.97
2013-07-04,,125.16
2013-07-05,,123.12
2013-07-08,,125.4
2013-07-09,,126.24
2013-07-10,,126.31
2013-07-11,,127.19
2013-07-12,,126.95
2013-07-15,,127.68
2013-07-16,,126.67
2013-07-17,,127.4
2013-07-18,,128.88
2013-07-19,,128.93
2013-07-22,,128.85
2013-07-23,,129.0
2013-07-24,,130.15
2013-07-25,,129.76
2013-07-26,,129.82
2013-07-29,,129.71
2013-07-30,,130.49
2013-07-31,,130.78
2013-08-01,,132.46
2013-08-02,,132.92
2013-08-05,,132.85
2013-08-06,,132.1
2013-08-07,,132.04
2013-08-08,,133.25
2013-08-09,,133.79
2013-08-12,,133.8
2013-08-13,,134.55
2013-08-14,,135.02
2013-08-15,,134.13
2013-08-16,,134.88
2013-08-19,,133.58
2013-08-20,,132.16
2013-08-21,,131.7
