,MLMFI FP Equity_DX_SI_QTY,MLMFI FP Equity_DX_SHORT_INTEREST_VALUE,MLMFI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLMFI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLMFI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLMFI FP Equity_DX_SI_MV,MLMFI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLMFI FP Equity_DX_SUPPLY_SI_QTY,MLMFI FP Equity_DX_BROKER_SI_QTY,MLMFI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLMFI FP Equity_DX_SUPPLY_SI_MV,MLMFI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLMFI FP Equity_DX_UTILIZATION_QUANTITY,MLMFI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLMFI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLMFI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLMFI FP Equity_DX_ACTIVE_UTILIZATION_MV,MLMFI FP Equity_DX_BROKER_SI_CON_RATIO,MLMFI FP Equity_DX_DEMAND_SUPPLY_RATIO,MLMFI FP Equity_PX_LAST
2022-09-22,,,,,,,,,,,,,,,,,,,,15.7
2022-09-23,,,,,,,,,,,,,,,,,,,,15.8
2022-09-26,,,,,,,,,,,,,,,,,,,,15.9
2022-09-27,,,,,,,,,,,,,,,,,,,,15.9
2022-10-03,,,,,,,,,,,,,,,,,,,,14.8
2022-10-04,,,,,,,,,,,,,,,,,,,,14.8
2022-10-05,,,,,,,,,,,,,,,,,,,,15.9
2022-10-06,,,,,,,,,,,,,,,,,,,,15.9
2022-10-07,,,,,,,,,,,,,,,,,,,,15.9
2022-10-10,,,,,,,,,,,,,,,,,,,,15.9
2022-10-11,,,,,,,,,,,,,,,,,,,,15.9
2022-10-12,,,,,,,,,,,,,,,,,,,,16.0
2022-10-13,,,,,,,,,,,,,,,,,,,,16.0
2022-10-14,,,,,,,,,,,,,,,,,,,,17.5
2022-10-17,,,,,,,,,,,,,,,,,,,,17.5
2022-10-18,,,,,,,,,,,,,,,,,,,,17.5
2022-10-19,,,,,,,,,,,,,,,,,,,,17.5
2022-10-20,,,,,,,,,,,,,,,,,,,,17.8
2022-10-21,,,,,,,,,,,,,,,,,,,,18.0
2022-10-24,,,,,,,,,,,,,,,,,,,,18.0
2022-10-25,,,,,,,,,,,,,,,,,,,,18.0
2022-10-26,,,,,,,,,,,,,,,,,,,,18.5
2022-10-27,,,,,,,,,,,,,,,,,,,,18.5
2022-10-28,,,,,,,,,,,,,,,,,,,,18.5
2022-10-31,,,,,,,,,,,,,,,,,,,,18.5
2022-11-01,,,,,,,,,,,,,,,,,,,,18.5
2022-11-02,,,,,,,,,,,,,,,,,,,,18.5
2022-11-03,,,,,,,,,,,,,,,,,,,,18.5
2022-11-04,,,,,,,,,,,,,,,,,,,,19.0
2022-11-08,,,,,,,,,,,,,,,,,,,,19.0
2022-11-09,,,,,,,,,,,,,,,,,,,,21.0
2022-11-10,,,,,,,,,,,,,,,,,,,,20.8
2022-11-11,,,,,,,,,,,,,,,,,,,,20.8
2022-11-14,,,,,,,,,,,,,,,,,,,,21.2
2022-11-15,,,,,,,,,,,,,,,,,,,,21.2
