,C1U FP Equity_DX_SI_QTY,C1U FP Equity_DX_SHORT_INTEREST_VALUE,C1U FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,C1U FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,C1U FP Equity_DX_SI_MV,C1U FP Equity_DX_DSS,C1U FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,C1U FP Equity_DX_SUPPLY_SI_QTY,C1U FP Equity_DX_BROKER_SI_QTY,C1U FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,C1U FP Equity_DX_BROKER_SI_MV_INC_x,C1U FP Equity_DX_BROKER_SI_QTY_ADD,C1U FP Equity_DX_SUPPLY_SI_MV_DEC,C1U FP Equity_DX_BROKER_SI_QTY_INC,C1U FP Equity_DX_SUPPLY_SI_QTY_DEC,C1U FP Equity_DX_BROKER_SI_MV_INC_y,C1U FP Equity_DX_BROKER_SI_MV_ADD,C1U FP Equity_DX_SUPPLY_SI_QTY_ADD,C1U FP Equity_DX_BROKER_SI_QTY_DEC,C1U FP Equity_DX_SUPPLY_SI_MV,C1U FP Equity_DX_BROKER_SI_MV_DEC,C1U FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,C1U FP Equity_DX_UTILIZATION_QUANTITY,C1U FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,C1U FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,C1U FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,C1U FP Equity_DX_ACTIVE_UTILIZATION_MV,C1U FP Equity_DX_BROKER_SI_MARKET_SHARE_2,C1U FP Equity_DX_BROKER_SI_CON_RATIO,C1U FP Equity_DX_BROKER_SI_MARKET_SHARE_1,C1U FP Equity_DX_DEMAND_SUPPLY_RATIO,C1U FP Equity_PX_LAST
2009-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.25
2009-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.33
2009-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.41
2009-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.12
2009-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0
2009-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.48
2009-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.53
2009-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.14
2009-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.07
2009-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.46
2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.75
2009-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.2
2009-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.32
2009-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.93
2009-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.93
2009-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.69
2009-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.38
2009-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.91
2009-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.84
2009-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.53
2009-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.82
2009-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.94
2009-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.22
2009-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.35
2009-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.47
2009-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.63
2009-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.86
2009-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.43
2009-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.07
2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.22
2009-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.94
2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.38
2010-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.43
2010-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.96
2010-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.25
2010-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.39
2010-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.76
2010-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.71
2010-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.15
2010-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.27
2010-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.54
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.51
2010-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.5
2010-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.05
2010-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.31
2010-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.33
2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.93
2010-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.16
2010-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.43
2010-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.27
2010-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.27
2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.84
2010-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.67
2010-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.52
2010-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.37
2010-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.18
2010-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.5
2010-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.87
2010-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.05
2010-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.58
2010-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.69
2010-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.18
2010-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.52
2010-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.13
2010-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.93
2010-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.45
2010-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.19
2010-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.72
2010-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.88
2010-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.13
2010-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.73
2010-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.04
2010-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.74
2010-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.86
2010-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.04
2010-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.73
2010-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.0
2010-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.94
2010-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.35
2010-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.68
2010-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.08
2010-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.36
2010-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.12
2010-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.8
2010-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.97
2010-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.23
2010-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.41
2010-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.74
2010-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.86
2010-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.51
2010-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.84
2010-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.71
2010-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.9
2010-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.26
2010-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.34
2010-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.13
2010-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.54
2010-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.59
2010-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.79
2010-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.68
2010-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.75
2010-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.84
2010-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.43
2010-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.28
2010-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.27
2010-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.91
2010-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.4
2010-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.05
2010-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.75
2010-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.94
2010-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.2
2010-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.89
2010-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.31
2010-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.28
2010-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.53
2010-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.48
2010-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.02
2010-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.76
2010-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.09
2010-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.42
2010-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.73
2010-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.24
2010-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.06
2010-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.97
2010-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.35
2010-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.04
2010-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.16
2010-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.66
2010-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.4
2010-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.25
2010-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.21
2010-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.87
2010-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.79
2010-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.38
2010-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.47
2010-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.86
2010-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.68
2010-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.7
2010-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.2
2010-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.27
2010-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.92
2010-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.35
2010-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.45
2010-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.23
2010-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.03
2010-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.97
2010-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.9
2010-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.09
2010-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.27
2010-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.48
2010-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.74
2010-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.44
2010-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.14
2010-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.5
2010-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.4
2010-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.38
2010-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.3
2010-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.02
2010-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.11
2010-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.39
2010-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.57
2010-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.06
2010-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.98
2010-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.27
2010-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.85
2010-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.53
2010-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.95
2010-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.07
2010-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.82
2010-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.81
2010-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.62
2010-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.53
2010-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.02
2010-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.34
2010-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.88
2010-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.08
2010-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.78
2010-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.25
2010-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.06
2010-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.68
2010-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.96
2010-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.45
2010-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.42
2010-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.85
2010-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.69
2010-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.42
2010-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.46
2010-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.13
2010-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.32
2010-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.26
2010-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.05
2010-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.85
2010-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.31
2010-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.01
2010-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.37
2010-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.69
2010-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.16
2010-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.39
2010-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.48
2010-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.22
2010-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.79
2010-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.12
2010-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.38
2010-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.81
2010-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.71
2010-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.64
2010-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.33
2010-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.21
2010-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.87
2010-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.62
2010-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.95
2010-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.54
2010-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.82
2010-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.95
2010-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.91
2010-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.07
2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.81
2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.29
2010-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.53
2010-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.46
2010-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.66
2010-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.34
2010-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.57
2010-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.54
2010-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.38
2010-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.24
2010-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.99
2010-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.5
2010-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.54
2010-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.19
2010-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.78
2010-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.78
2010-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.14
2010-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.45
2010-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.69
2010-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.29
2010-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.52
2010-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.76
2010-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.13
2010-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.96
2010-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.59
2010-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.53
2010-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.18
2010-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.88
2010-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.64
2010-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.65
2010-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.35
2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.35
2010-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.43
2010-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.15
2010-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.29
2010-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.59
2010-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.73
2010-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.61
2010-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.11
