,MAAT FP Equity_DX_SI_QTY,MAAT FP Equity_DX_SHORT_INTEREST_VALUE,MAAT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MAAT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MAAT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MAAT FP Equity_DX_SI_MV,MAAT FP Equity_DX_DSS,MAAT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MAAT FP Equity_DX_SUPPLY_SI_QTY,MAAT FP Equity_DX_BROKER_SI_QTY,MAAT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MAAT FP Equity_DX_SUPPLY_SI_QTY_INC_x,MAAT FP Equity_DX_BROKER_SI_MV_INC_x,MAAT FP Equity_DX_BROKER_SI_QTY_ADD,MAAT FP Equity_DX_SUPPLY_SI_MV_DEC,MAAT FP Equity_DX_BROKER_SI_QTY_INC,MAAT FP Equity_DX_SUPPLY_SI_QTY_DEC,MAAT FP Equity_DX_BROKER_SI_MV_INC_y,MAAT FP Equity_DX_SUPPLY_SI_QTY_INC_y,MAAT FP Equity_DX_BROKER_SI_MV_ADD,MAAT FP Equity_DX_SUPPLY_SI_QTY_ADD,MAAT FP Equity_DX_BROKER_SI_QTY_DEC,MAAT FP Equity_DX_SUPPLY_SI_MV,MAAT FP Equity_DX_BROKER_SI_MV_DEC,MAAT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MAAT FP Equity_DX_UTILIZATION_QUANTITY,MAAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MAAT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MAAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MAAT FP Equity_DX_ACTIVE_UTILIZATION_MV,MAAT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MAAT FP Equity_DX_BROKER_SI_CON_RATIO,MAAT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MAAT FP Equity_DX_DEMAND_SUPPLY_RATIO,MAAT FP Equity_PX_LAST
2021-11-24,2000.0,26600.0,0.08,0.53,0.02,0.03,0.0,13300.0,1000.0,1000.0,13300.0,,,,0.01,,1000.0,,,,,1000.0,0.01,0.01,100.0,5.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,0.1,13.3
2021-11-25,2000.0,26600.0,0.08,0.52,0.02,0.03,0.0,13300.0,1000.0,1000.0,13300.0,,,,,,,,,,,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,0.1,13.3
2021-11-26,2000.0,26300.0,0.08,0.51,0.02,0.03,0.0,13150.0,1000.0,1000.0,13150.0,,,,,,,,,,,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,0.1,13.15
2021-11-29,2000.0,25000.0,0.08,0.5,0.02,0.03,0.0,12500.0,1000.0,1000.0,12500.0,,,,,,,,,,,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,0.1,12.5
2021-11-30,2000.0,25600.0,0.08,0.48,0.02,0.03,0.0,12800.0,1000.0,1000.0,12800.0,,,,,,,,,,,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,0.1,12.8
2021-12-01,1000.0,12900.0,0.04,0.22,0.01,0.01,0.0,0.0,1000.0,0.0,12900.0,,,,,,,,,,,1000.0,0.01,0.01,100.0,5.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.05,12.9
2021-12-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.01,,1000.0,,,,,,0.0,,0.0,0.0,19000.0,247000.0,0.25,0.0,,0.0,,0.0,13.0
2021-12-03,3000.0,40500.0,0.12,0.63,0.03,0.04,0.0,27000.0,1000.0,2000.0,13500.0,,,2000.0,,,,,,0.03,1000.0,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,33.42,0.3333,33.42,0.15,13.5
2021-12-06,3000.0,39750.0,0.12,0.59,0.03,0.04,0.0,26500.0,1000.0,2000.0,13250.0,,,,,,,,,,,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,33.33,0.3333,33.33,0.15,13.25
2021-12-07,3000.0,37800.0,0.12,0.59,0.03,0.04,0.0,25200.0,1000.0,2000.0,12600.0,,,,,,,,,,,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,33.13,0.3334,33.75,0.15,12.6
2021-12-08,3000.0,39000.0,0.12,0.58,0.03,0.04,0.0,26000.0,1000.0,2000.0,13000.0,,,,,,,,,,,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,33.33,0.3333,33.33,0.15,13.0
2021-12-09,2000.0,25800.0,0.08,0.39,0.02,0.03,0.0,12900.0,1000.0,1000.0,12900.0,,,,,,,,,,,1000.0,0.01,0.01,100.0,5.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,0.1,12.9
2021-12-10,1000.0,13000.0,0.04,0.19,0.01,0.01,0.0,0.0,1000.0,0.0,13000.0,,,,,,,,,,,1000.0,0.01,0.01,100.0,5.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.05,13.0
2021-12-13,1000.0,13350.0,0.04,0.19,0.01,0.01,0.0,0.0,1000.0,0.0,13350.0,,,,,,,,,,,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.05,13.35
2021-12-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.01,,1000.0,,,,,,0.0,,0.0,0.0,20000.0,270000.0,0.27,0.0,,0.0,,0.0,13.5
2021-12-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,263000.0,0.27,0.0,,0.0,,0.0,13.15
2021-12-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,265000.0,0.26,0.0,,0.0,,0.0,13.25
2021-12-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,260000.0,0.27,0.0,,0.0,,0.0,13.0
2021-12-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,263000.0,0.26,0.0,,0.0,,0.0,13.15
2021-12-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,258000.0,0.26,0.0,,0.0,,0.0,12.9
2021-12-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,264000.0,0.26,0.0,,0.0,,0.0,13.2
2021-12-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,261000.0,0.26,0.0,,0.0,,0.0,13.05
2021-12-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,265000.0,0.26,0.0,,0.0,,0.0,13.25
2021-12-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,264000.0,0.27,0.0,,0.0,,0.0,13.2
2021-12-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,266000.0,0.26,0.0,,0.0,,0.0,13.3
2021-12-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,270000.0,0.27,0.0,,0.0,,0.0,13.5
2021-12-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,267000.0,0.27,0.0,,0.0,,0.0,13.35
2021-12-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,267000.0,0.27,0.0,,0.0,,0.0,13.35
2022-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,266000.0,0.27,0.0,,0.0,,0.0,13.3
2022-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,265000.0,0.27,0.0,,0.0,,0.0,13.25
2022-01-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,264000.0,0.27,0.0,,0.0,,0.0,13.2
2022-01-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,268000.0,0.26,0.0,,0.0,,0.0,13.4
2022-01-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,269000.0,0.27,0.0,,0.0,,0.0,13.45
2022-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,260000.0,0.27,0.0,,0.0,,0.0,13.0
2022-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,265000.0,0.26,0.0,,0.0,,0.0,13.25
2022-01-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,264000.0,0.27,0.0,,0.0,,0.0,13.2
2022-01-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,262000.0,0.26,0.0,,0.0,,0.0,13.1
2022-01-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,260000.0,0.26,0.0,,0.0,,0.0,13.0
2022-01-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,252000.0,0.26,0.0,,0.0,,0.0,12.6
2022-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,252000.0,0.25,0.0,,0.0,,0.0,12.6
2022-01-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,253000.0,0.25,0.0,,0.0,,0.0,12.65
2022-01-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,241000.0,0.25,0.0,,0.0,,0.0,12.05
2022-01-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,250000.0,0.24,0.0,,0.0,,0.0,12.5
2022-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,242000.0,0.25,0.0,,0.0,,0.0,12.1
2022-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,242000.0,0.24,0.0,,0.0,,0.0,12.1
2022-01-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,246000.0,0.24,0.0,,0.0,,0.0,12.3
2022-01-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,243000.0,0.25,0.0,,0.0,,0.0,12.15
2022-01-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,239000.0,0.24,0.0,,0.0,,0.0,11.95
2022-01-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,236000.0,0.24,0.0,,0.0,,0.0,11.8
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,235000.0,0.24,0.0,,0.0,,0.0,11.75
2022-02-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,243000.0,0.24,0.0,,0.0,,0.0,12.15
2022-02-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,241000.0,0.24,0.0,,0.0,,0.0,12.05
2022-02-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,240000.0,0.24,0.0,,0.0,,0.0,12.0
2022-02-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,233000.0,0.24,0.0,,0.0,,0.0,11.65
2022-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,231000.0,0.23,0.0,,0.0,,0.0,11.55
2022-02-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,249000.0,0.23,0.0,,0.0,,0.0,12.45
2022-02-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,238000.0,0.25,0.0,,0.0,,0.0,11.9
2022-02-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,235000.0,0.24,0.0,,0.0,,0.0,11.75
2022-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,255000.0,0.24,0.0,,0.0,,0.0,12.75
2022-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,260000.0,0.26,0.0,,0.0,,0.0,13.0
2022-02-16,3000.0,39000.0,0.12,2.18,0.03,0.04,0.0,26000.0,1000.0,2000.0,13000.0,,,2000.0,,,,,,0.03,1000.0,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,33.33,0.3333,33.33,0.15,13.0
2022-02-17,3000.0,39000.0,0.12,2.17,0.03,0.04,0.0,26000.0,1000.0,2000.0,13000.0,,,,,,,,,,,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,33.33,0.3333,33.33,0.15,13.0
2022-02-18,3000.0,38400.0,0.12,2.14,0.03,0.04,0.0,25600.0,1000.0,2000.0,12800.0,,,,,,,,,,,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,33.33,0.3333,33.33,0.15,12.8
2022-02-21,3000.0,39150.0,0.12,2.19,0.03,0.04,0.0,26100.0,1000.0,2000.0,13050.0,,,,,,,,,,,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,33.33,0.3333,33.33,0.15,13.05
2022-02-22,2000.0,25000.0,0.08,1.57,0.02,0.03,0.0,12500.0,1000.0,1000.0,12500.0,,,,,,,,,,,1000.0,0.01,0.01,100.0,5.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,0.1,12.5
2022-02-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.01,,1000.0,,,,,1000.0,0.0,0.01,0.0,0.0,20000.0,260000.0,0.25,0.0,,0.0,,0.0,13.0
2022-02-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,250000.0,0.26,0.0,,0.0,,0.0,12.5
2022-02-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,247000.0,0.25,0.0,,0.0,,0.0,12.35
2022-02-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,246000.0,0.25,0.0,,0.0,,0.0,12.3
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,230000.0,0.25,0.0,,0.0,,0.0,11.5
2022-03-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,236000.0,0.23,0.0,,0.0,,0.0,11.8
2022-03-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,230000.0,0.24,0.0,,0.0,,0.0,11.5
2022-03-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,224000.0,0.23,0.0,,0.0,,0.0,11.2
2022-03-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,200000.0,0.22,0.0,,0.0,,0.0,10.0
2022-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,200000.0,0.2,0.0,,0.0,,0.0,10.0
2022-03-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,204000.0,0.2,0.0,,0.0,,0.0,10.2
2022-03-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,207000.0,0.2,0.0,,0.0,,0.0,10.35
2022-03-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,205000.0,0.21,0.0,,0.0,,0.0,10.25
2022-03-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,205000.0,0.21,0.0,,0.0,,0.0,10.25
2022-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,206000.0,0.21,0.0,,0.0,,0.0,10.3
2022-03-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,212000.0,0.21,0.0,,0.0,,0.0,10.6
2022-03-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,232000.0,0.21,0.0,,0.0,,0.0,11.6
2022-03-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,239000.0,0.23,0.0,,0.0,,0.0,11.95
2022-03-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,234000.0,0.24,0.0,,0.0,,0.0,11.7
2022-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,238000.0,0.23,0.0,,0.0,,0.0,11.9
2022-03-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,248000.0,0.24,0.0,,0.0,,0.0,12.4
2022-03-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,236000.0,0.25,0.0,,0.0,,0.0,11.8
2022-03-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,246000.0,0.24,0.0,,0.0,,0.0,12.3
2022-03-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,259000.0,0.25,0.0,,0.0,,0.0,12.95
2022-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,265000.0,0.26,0.0,,0.0,,0.0,13.25
2022-03-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,266000.0,0.27,0.0,,0.0,,0.0,13.3
2022-03-31,3000.0,39000.0,0.12,2.15,0.03,0.04,0.0,26000.0,1000.0,2000.0,13000.0,,,2000.0,,,,,,0.03,1000.0,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,33.38,0.3333,33.38,0.15,13.0
2022-04-01,3000.0,39000.0,0.12,2.22,0.03,0.04,0.0,26000.0,1000.0,2000.0,13000.0,,,,,,,,,,,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,33.08,0.3334,33.84,0.15,13.0
2022-04-04,3000.0,39000.0,0.12,2.21,0.03,0.04,0.0,26000.0,1000.0,2000.0,13000.0,,,,,,,,,,,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,33.33,0.3333,33.33,0.15,13.0
2022-04-05,3000.0,39000.0,0.12,2.2,0.03,0.04,0.0,26000.0,1000.0,2000.0,13000.0,,,,,,,,,,,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,33.33,0.3333,33.33,0.15,13.0
2022-04-06,2000.0,25400.0,0.08,1.51,0.02,0.03,0.0,12700.0,1000.0,1000.0,12700.0,,,,,,,,,,,1000.0,0.01,0.01,100.0,5.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,0.1,12.7
2022-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,,1000.0,,,,,1000.0,0.0,0.01,0.0,0.0,20000.0,256000.0,0.25,0.0,,0.0,100.0,0.0,12.8
2022-04-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,257000.0,0.26,0.0,,0.0,,0.0,12.85
2022-04-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,254000.0,0.26,0.0,,0.0,,0.0,12.7
