,MMB FP Equity_DX_SI_QTY,MMB FP Equity_DX_SHORT_INTEREST_VALUE,MMB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MMB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MMB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MMB FP Equity_DX_SI_MV,MMB FP Equity_DX_DSS,MMB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MMB FP Equity_DX_SUPPLY_SI_QTY,MMB FP Equity_DX_BROKER_SI_QTY,MMB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MMB FP Equity_DX_BROKER_SI_MV_NEW_x,MMB FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MMB FP Equity_DX_SUPPLY_SI_QTY_INC_x,MMB FP Equity_DX_BROKER_SI_MV_INC_x,MMB FP Equity_DX_SUPPLY_SI_MV_NEW,MMB FP Equity_DX_BROKER_SI_QTY_ADD,MMB FP Equity_DX_BROKER_SI_QTY_NEW,MMB FP Equity_DX_SUPPLY_SI_MV_DEC,MMB FP Equity_DX_BROKER_SI_QTY_INC,MMB FP Equity_DX_SUPPLY_SI_QTY_DEC,MMB FP Equity_DX_BROKER_SI_MV_NEW_y,MMB FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MMB FP Equity_DX_BROKER_SI_MV_INC_y,MMB FP Equity_DX_SUPPLY_SI_QTY_INC_y,MMB FP Equity_DX_BROKER_SI_MV_ADD,MMB FP Equity_DX_SUPPLY_SI_QTY_ADD,MMB FP Equity_DX_BROKER_SI_QTY_DEC,MMB FP Equity_DX_SUPPLY_SI_MV,MMB FP Equity_DX_BROKER_SI_MV_DEC,MMB FP Equity_DX_SUPPLY_SI_MV_RMV,MMB FP Equity_DX_BROKER_SI_MV_RMV,MMB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MMB FP Equity_DX_UTILIZATION_QUANTITY,MMB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MMB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MMB FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MMB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MMB FP Equity_DX_ACTIVE_UTILIZATION_MV,MMB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MMB FP Equity_DX_BROKER_SI_CON_RATIO,MMB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MMB FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,6620464.0,140756669.96,4.85,10.56,4.66,422.07,1.0,94113816.63,4852699.0,4426626.0,103172489.35,,,30971.0,,,,,11.25,,72682.0,,,,30971.0,,13660.0,226305.0,308.71,22.5,,,43.74,43.74,6242539.0,132721664.48,,397.17,43.73,17.71,0.2425,42.16,0.5967
2006-03-22,6828300.0,147549803.95,5.0,9.98,4.8,445.2,1.0,97975593.7,4970575.0,4534108.0,107407021.77,,12879.0,110900.0,14.43,0.84,1400.0,,3.07,197916.0,62045.0,,12879.0,14.43,110900.0,0.09,56142.0,91835.0,324.12,2.0,,,44.95,44.95,6086222.0,131514558.95,,396.76,44.96,17.18,0.2221,39.55,0.6176
2006-03-29,6822599.0,143698584.18,4.99,9.92,4.8,440.55,1.0,94653415.73,4975720.0,4494006.0,104799346.89,,,42111.0,5.36,,,,2.6,115069.0,37282.0,,,5.36,42111.0,,24903.0,155170.0,320.25,9.83,1.6,,45.04,45.04,6071040.0,127869137.92,24586.0,390.74,45.04,16.43,0.2329,41.23,0.6176
2006-04-05,7648382.0,168689995.71,5.6,10.26,5.38,498.31,2.0,104911180.73,5509438.0,4756659.0,121514206.87,,,131253.0,3.69,,463893.0,,11.34,59030.0,202943.0,,,3.69,131253.0,30.86,605408.0,192670.0,358.12,10.62,,4.57,48.46,48.46,5858807.0,129219765.39,,383.24,48.31,15.38,0.201,37.03,0.6728
2006-04-12,8130058.0,177025132.57,5.95,9.29,5.72,541.46,2.0,109665503.39,5547537.0,5036499.0,120792923.36,7.01,,106890.0,23.02,,,102600.0,4.73,257825.0,86174.0,7.01,,23.02,106890.0,,217279.0,80585.0,369.27,4.82,13.02,,51.45,51.45,5235302.0,113994270.47,199896.0,347.63,51.51,14.04,0.1896,36.44,0.754
2006-04-19,8178861.0,177139780.83,5.99,9.26,5.75,538.24,2.0,110275578.47,5483590.0,5091621.0,118764939.37,,,65139.0,9.51,,,,13.64,148002.0,157226.0,,,9.51,65139.0,,28141.0,92880.0,359.3,9.72,,,51.51,51.51,5161371.0,111786241.1,,337.42,51.57,15.0,0.1882,36.04,0.7683
2006-04-26,9981003.0,220137455.64,7.3,12.36,7.02,673.96,2.0,148083164.28,5700805.0,6714071.0,125734929.42,,332043.0,218361.0,125.39,22.41,,,10.12,1794589.0,174683.0,,332043.0,125.39,218361.0,,172497.0,172140.0,383.14,7.09,21.77,,59.62,59.62,3860867.0,85153910.68,331003.0,257.76,59.78,17.29,0.1487,28.02,1.0439
2006-05-03,11054722.0,236131033.25,8.09,14.74,7.77,741.35,2.0,158640833.09,6542321.0,7426937.0,139745261.58,,159692.0,488565.0,33.35,10.35,670562.0,,7.58,489109.0,77685.0,,159692.0,33.35,488565.0,44.88,274635.0,446805.0,434.15,30.94,0.25,,82.84,59.97,1354762.0,28937982.42,3691.0,0.0,277.87,15.56,0.1251,24.87,1.0133
2006-05-10,15982261.0,354069245.37,11.69,20.77,11.24,1079.79,3.0,251120342.05,7341713.0,11335271.0,162647499.1,,,359665.0,298.57,,,,31.34,4433747.0,492758.0,,,298.57,359665.0,,932486.0,525413.0,494.55,33.31,,,95.32,67.41,360747.0,7991949.2,,0.0,331.79,18.85,0.1344,25.81,1.4674
2006-05-17,15959294.0,327500131.23,11.68,19.58,11.22,1021.21,3.0,204617651.69,8886807.0,9971151.0,182365865.22,,1399394.0,312542.0,57.72,85.84,,,25.31,969363.0,313624.0,,1399394.0,57.72,312542.0,,151000.0,2333483.0,563.16,173.75,0.28,,91.86,70.4,787729.0,16164960.11,4218.0,0.0,219.94,17.7,0.1186,21.11,1.2643
2006-05-24,13109947.0,266821815.12,9.59,17.42,9.22,819.94,2.0,163219003.73,7792074.0,8019556.0,158589148.24,,,32035.0,0.0,,,,81.57,45305.0,1177420.0,,,0.0,32035.0,,50652.0,1996899.0,482.44,135.76,,,83.79,62.29,1507900.0,30689720.94,,0.0,203.1,20.12,0.128,20.97,1.0481
2006-05-31,12716606.0,263740011.59,9.3,18.12,8.94,798.57,2.0,158227962.64,7763383.0,7629190.0,161011100.16,,,36303.0,0.0,,,,8.86,5638.0,157887.0,,,0.0,36303.0,,92894.0,396004.0,483.03,23.63,,,79.5,59.54,2002000.0,41521102.66,,0.0,205.57,20.02,0.1308,21.72,0.9753
2006-06-07,11350566.0,227765463.12,8.3,15.5,7.98,689.04,2.0,136742160.3,7088309.0,6814470.0,142237134.44,,1709.0,12232.0,8.89,0.1,,,54.07,150934.0,703184.0,,1709.0,8.89,12232.0,,15878.0,965654.0,425.62,69.68,0.11,,53.67,53.67,6118257.0,122771643.2,1709.0,361.94,54.04,21.47,0.1447,22.55,0.8594
2006-06-14,10442442.0,192490937.8,7.64,13.88,7.34,608.04,2.0,113703300.36,6825954.0,6168291.0,125826342.8,,,61208.0,0.0,,,,31.03,47554.0,323563.0,,,0.0,61208.0,,,693732.0,391.92,49.58,,,52.06,52.06,6285681.0,115867210.98,,351.02,52.75,19.25,0.1473,23.39,0.7964
2006-06-21,8538377.0,161129491.51,6.25,10.28,6.0,499.77,2.0,98971675.22,5834425.0,5244586.0,110102649.89,,,40821.0,7.44,,,,67.13,167720.0,1168561.0,,,7.44,40821.0,,136211.0,1091425.0,336.12,59.75,,,46.22,46.22,6789002.0,128116671.37,,385.09,46.6,20.93,0.172,28.62,0.6764
2006-06-28,8215904.0,158363444.78,6.01,10.48,5.77,479.64,2.0,96859980.93,5659568.0,5025101.0,109089478.71,,,83437.0,21.2,,,,15.83,385281.0,271911.0,,,21.2,83437.0,,13617.0,604767.0,327.27,36.7,,,43.77,43.77,7269500.0,140121289.37,,417.59,43.94,25.45,0.1878,29.22,0.6355
2006-07-03,8739980.0,170819228.47,6.39,11.71,6.14,515.38,2.0,109278372.55,5571271.0,5591237.0,108888145.49,,,17615.0,67.52,,,,5.01,1139478.0,95946.0,,,67.52,17615.0,,,573342.0,325.68,32.34,0.57,,43.24,43.24,7313508.0,142939433.95,9967.0,423.61,43.47,18.92,0.1732,30.74,0.6783
2006-07-04,10597233.0,206048076.6,7.75,14.29,7.45,623.34,2.0,145019230.36,5577633.0,7458466.0,108449116.07,,,28814.0,108.55,,,,1.33,1867229.0,22453.0,,,108.55,28814.0,,,,325.75,,,,43.06,43.06,7375904.0,143413930.07,,427.3,43.26,25.41,0.184,28.22,0.8181
2006-07-05,10541924.0,203730413.38,7.71,14.63,7.41,618.73,2.0,145027821.6,5448196.0,7504389.0,105290383.74,,9967.0,43336.0,4.16,0.57,,,11.27,79658.0,190852.0,,9967.0,4.16,43336.0,,8112.0,33735.0,317.55,1.99,,,41.74,41.74,7605364.0,146979237.53,,440.59,41.89,25.61,0.185,28.11,0.8076
2006-07-06,10381966.0,196968880.13,7.6,14.6,7.3,606.52,2.0,139285912.63,5390554.0,7341574.0,102270743.77,,,1021.0,0.0,,,,3.93,453.0,48696.0,,,0.0,1021.0,,,163269.0,311.73,10.57,0.57,,41.37,41.37,7640311.0,144953614.9,9967.0,438.46,41.55,26.0,0.1884,28.38,0.7967
2006-07-07,9868139.0,186555952.98,7.22,13.52,6.94,569.78,2.0,129057601.72,5382978.0,6826683.0,101764536.42,,,8117.0,0.28,,,,2.78,5829.0,15694.0,,,0.28,8117.0,,,520719.0,307.88,33.04,,,41.14,41.14,7700494.0,145576891.1,,437.8,41.29,24.29,0.1872,29.45,0.7542
2006-07-10,9254298.0,176197678.7,6.77,12.77,6.5,533.79,2.0,118953326.6,5401035.0,6247696.0,102833281.31,,,22311.0,7.24,,,,0.26,130000.0,4253.0,,,7.24,22311.0,,,708988.0,308.82,41.06,,,41.51,41.51,7608811.0,144868345.05,,433.28,41.61,24.6,0.1735,25.49,0.7113
2006-07-11,9151157.0,170228542.89,6.69,12.55,6.43,527.34,2.0,114940205.71,5356863.0,6178963.0,99647616.47,,,21210.0,1.38,,,,3.88,24004.0,65382.0,,,1.38,21210.0,,,92737.0,305.24,5.66,,,41.14,41.14,7663956.0,142563837.85,,433.81,41.3,23.89,0.1722,25.71,0.7028
2006-07-12,8919611.0,166972442.1,6.52,12.4,6.27,509.47,2.0,111356662.65,5343071.0,5948635.0,100020686.23,,9967.0,1403.0,0.0,0.55,,,3.54,7288.0,32762.0,,9967.0,0.0,1403.0,,7600.0,237615.0,301.48,14.33,,,41.41,41.41,7559847.0,141518067.94,,423.7,41.57,22.74,0.1709,26.46,0.6913
2006-07-13,8818620.0,162409731.51,6.45,12.43,6.2,503.82,2.0,109632139.81,5241850.0,5952871.0,96537491.25,,,8569.0,2.73,,,,5.47,45313.0,99823.0,,,2.73,8569.0,,,41077.0,295.26,2.36,0.55,,40.7,40.7,7637937.0,140665466.64,9967.0,426.59,40.9,22.06,0.1687,26.32,0.6847
2006-07-14,8782422.0,159081863.64,6.42,11.99,6.17,497.4,2.0,107550166.87,5214329.0,5937515.0,94450616.81,,,4413.0,0.03,,,,3.29,1149.0,31934.0,,,0.03,4413.0,,,16505.0,290.27,2.1,,,40.51,40.51,7656526.0,138687758.92,,422.89,40.7,22.27,0.1694,26.23,0.6824
2006-07-17,8716725.0,156130974.44,6.38,11.93,6.13,488.87,2.0,105315178.18,5207937.0,5879701.0,93282772.9,,,6004.0,24.05,,,,0.72,442000.0,12396.0,,,24.05,6004.0,,,499814.0,286.79,30.15,,,40.61,40.61,7615246.0,136401662.15,,416.2,40.8,26.26,0.1828,27.62,0.6798
2006-07-18,8699368.0,156698766.5,6.36,11.85,6.11,484.04,2.0,105736625.56,5091665.0,5870128.0,91714435.46,,,19202.0,,,,,8.26,,135474.0,,,,19202.0,,,9573.0,278.82,1.46,,,39.63,39.63,7755986.0,139705946.37,,421.98,39.79,26.23,0.1838,27.83,0.6771
2006-07-19,8508659.0,156128329.94,6.22,11.66,5.98,474.03,2.0,107775765.85,4842718.0,5873548.0,88860709.27,,9967.0,9802.0,0.7,0.54,,,14.72,9208.0,268716.0,,9967.0,0.7,9802.0,,,5787.0,265.83,0.3,,,37.72,37.72,7994893.0,146701059.73,,434.97,37.93,26.1,0.18,26.93,0.6628
2006-07-20,8349111.0,154465688.59,6.11,11.55,5.87,469.47,2.0,109269284.88,4671343.0,5906175.0,86423837.6,,,34102.0,3.03,,,,10.41,33031.0,195510.0,,,3.03,34102.0,,,404.0,259.91,0.0,0.54,,36.47,36.47,8136815.0,150538031.17,9967.0,449.19,36.65,26.47,0.1862,27.54,0.6519
2006-07-21,8366459.0,153096523.4,6.12,11.76,5.88,471.09,2.0,108305309.78,4683825.0,5918697.0,85708580.38,,,30194.0,1.11,,,,0.97,16900.0,17712.0,,,1.11,30194.0,,,4378.0,260.84,0.23,,,36.59,36.59,8115639.0,148506807.49,,447.75,36.81,26.41,0.1866,27.68,0.6537
2006-07-24,8359987.0,152837359.07,6.11,11.73,5.87,469.14,2.0,108039160.34,4688523.0,5909589.0,85715620.52,,,29087.0,0.32,,,,1.36,10554.0,24389.0,,,0.32,29087.0,,,19662.0,259.96,1.55,,,36.61,36.61,8119534.0,148441395.12,,446.42,36.8,26.46,0.186,27.49,0.6527
2006-07-25,8336544.0,150724699.08,6.1,11.48,5.86,467.25,2.0,107896890.15,4665807.0,5967749.0,84357781.36,,,39869.0,3.12,,,,5.31,61196.0,97173.0,,,3.12,39869.0,,34587.0,3036.0,258.22,0.18,,,36.79,36.79,8017892.0,144963471.55,,438.97,37.04,26.56,0.1856,27.58,0.6573
2006-07-26,8305313.0,150299856.48,6.07,11.5,5.84,462.56,2.0,107714662.19,4597235.0,5952128.0,83195390.8,,9967.0,1436.0,0.0,0.53,,,5.47,254.0,79976.0,,9967.0,0.0,1436.0,,,15874.0,252.45,1.69,,,36.27,36.27,8078590.0,146196888.38,,439.3,36.49,26.65,0.1858,27.55,0.6552
2006-07-27,9669087.0,181165179.93,7.07,14.73,6.79,536.17,2.0,137350637.68,4597751.0,7330632.0,86145919.17,,,40101.0,75.2,,,,1.92,1409081.0,35618.0,,,75.2,40101.0,,6000.0,30577.0,253.44,1.61,0.53,,35.99,35.99,8176554.0,153200284.23,9967.0,448.2,36.12,23.72,0.1894,28.84,0.7569
2006-07-28,10097224.0,185787397.1,7.39,14.78,7.1,568.82,2.0,142642455.93,4775723.0,7752371.0,87872582.15,,,38164.0,28.73,,,,0.0,422798.0,8512.0,,,28.73,38164.0,,148320.0,1060.0,267.25,0.0,,,37.3,37.3,8028492.0,147723040.64,,444.41,37.55,24.61,0.1932,28.79,0.7886
2006-07-31,10340030.0,191125324.74,7.56,15.37,7.27,574.27,2.0,147785195.33,4775009.0,7995295.0,88261363.43,,,15803.0,13.83,,,,3.13,253329.0,16517.0,,,13.83,15803.0,,,10404.0,264.01,2.49,,,37.57,37.57,7933484.0,146642679.55,,435.69,37.73,23.94,0.1965,30.37,0.8136
2006-08-01,10622435.0,195808841.92,7.77,16.0,7.46,590.62,2.0,149555515.0,4906727.0,8113238.0,90448238.23,,,97368.0,7.76,,,,3.66,138348.0,66834.0,,,7.76,97368.0,,101185.0,20405.0,271.58,0.94,,,38.69,38.69,7774652.0,143314184.03,,427.23,38.86,23.57,0.1982,31.01,0.8376
2006-08-02,8094938.0,149081909.32,5.92,12.18,5.69,450.94,2.0,102162443.58,4701032.0,5547277.0,86577417.43,,9967.0,56160.0,,0.55,,,15.01,,271822.0,,9967.0,,56160.0,,,2565961.0,260.52,141.88,,,37.33,37.33,7893592.0,145373783.81,,434.21,37.5,21.82,0.1784,29.12,0.6427
2006-08-03,7865278.0,144190303.06,5.75,12.01,5.53,438.26,2.0,97721418.38,4830059.0,5330498.0,88547114.42,,,2863.0,8.09,,,,0.58,144558.0,11217.0,,,8.09,2863.0,,147349.0,361337.0,267.81,20.08,0.55,,38.44,38.44,7735406.0,141809423.07,9967.0,425.53,38.63,18.19,0.183,31.88,0.6259
2006-08-04,7596423.0,143481561.48,5.56,11.91,5.34,423.85,2.0,96131712.93,4782482.0,5089554.0,90331723.91,,,2807.0,,,,,2.89,,50384.0,,,,2807.0,,,240944.0,265.84,13.09,,,37.93,37.93,7825031.0,147799519.13,,433.4,38.02,17.74,0.1782,30.86,0.6025
2006-08-07,7093651.0,130880356.53,5.19,10.99,4.98,399.1,1.0,85291769.72,4870104.0,4622772.0,89855132.13,,,89391.0,3.83,,,,0.0,53219.0,1768.0,,,3.83,89391.0,,,520000.0,271.98,28.54,,,38.58,38.58,7753381.0,143052607.13,,430.27,38.73,19.02,0.1969,33.83,0.5619
2006-08-08,7249396.0,133997983.05,5.3,11.4,5.09,406.76,2.0,88658732.9,4808245.0,4796507.0,88875698.33,,,9392.0,17.3,,,,4.45,300000.0,71251.0,,,17.3,9392.0,,,126266.0,267.94,8.03,,,38.25,38.25,7763381.0,143498492.24,,429.44,38.42,18.42,0.1873,32.44,0.5766
2006-08-09,6899646.0,128113949.2,5.05,11.04,4.85,386.03,1.0,81925795.31,4850066.0,4412158.0,90056954.97,,9967.0,56157.0,0.23,0.55,,,1.4,10530.0,24303.0,,9967.0,0.23,56157.0,,,394878.0,269.7,22.52,,,38.05,38.05,7898093.0,146653304.44,,436.41,38.2,17.4,0.1937,34.3,0.5412
2006-08-10,6746456.0,123565913.74,4.93,11.14,4.74,379.07,1.0,77315805.45,4921446.0,4221291.0,90139618.78,,,61961.0,4.44,,,,0.15,69133.0,4647.0,,,4.44,61961.0,,24570.0,260000.0,274.55,13.92,0.58,,38.56,38.56,7842003.0,143631599.51,10504.0,433.14,38.8,18.35,0.2002,35.1,0.5286
2006-08-11,6831519.0,124663885.9,5.0,11.27,4.8,379.56,1.0,76890058.53,5037541.0,4213537.0,91926764.23,,,98969.0,,,,,0.1,,14.0,,,,98969.0,,17140.0,7754.0,276.42,2.21,,,39.19,39.19,7815962.0,142628337.12,,427.0,39.3,18.2,0.1952,34.58,0.5315
2006-08-14,6913057.0,127781086.13,5.06,11.65,4.86,382.0,1.0,77914581.86,5118139.0,4215240.0,94603785.33,,,19353.0,0.0,,,,0.08,5703.0,1349.0,,,0.0,19353.0,,62595.0,4000.0,278.68,0.21,,,39.73,39.73,7762955.0,143490618.04,,425.63,39.57,19.08,0.1949,34.23,0.5367
2006-08-15,6903332.0,128995879.08,5.05,11.87,4.85,383.64,1.0,78868506.79,5103548.0,4220720.0,95365058.6,,,1488.0,1.64,,,,0.7,15480.0,16079.0,,,1.64,1488.0,,,10000.0,280.11,0.54,,,39.65,39.65,7768358.0,145159782.15,,429.59,39.47,18.97,0.196,34.51,0.5363
2006-08-16,6800512.0,128562842.19,4.97,11.73,4.78,382.05,1.0,78366159.34,5076573.0,4145288.0,95971987.62,,9967.0,13610.0,1.78,0.56,,,2.56,25000.0,50553.0,,9967.0,1.78,13610.0,,,100432.0,281.88,4.13,,,39.7,39.7,7710444.0,145764994.63,,431.39,39.52,18.86,0.199,35.05,0.5318
2006-08-17,6828674.0,129784975.48,4.99,11.79,4.8,388.0,1.0,78792230.82,5103137.0,4145676.0,96989622.05,,,,1.64,,,,0.0,389.0,5521.0,,,1.64,,,42052.0,,287.49,,0.56,,40.01,40.01,7651263.0,145419005.33,9967.0,431.25,40.0,19.32,0.1993,34.93,0.5354
2006-08-18,6981453.0,131983509.52,5.11,12.49,4.91,397.8,1.0,81284902.18,5066529.0,4299679.0,95782107.03,,,379.0,9.17,,,,2.05,154003.0,36986.0,,,9.17,379.0,,,,286.31,,,,39.76,39.76,7677295.0,145138316.86,,432.11,39.85,18.87,0.2064,36.42,0.5478
2006-08-21,6767474.0,128280039.17,4.95,12.0,4.76,383.96,1.0,78292295.61,5058039.0,4130347.0,95877049.7,,,24229.0,,,,,2.88,,51220.0,,,,24229.0,,18501.0,169333.0,283.98,10.24,,,38.88,38.88,7951350.0,150720858.24,,447.4,38.83,18.77,0.2006,35.35,0.5202
2006-08-22,6710062.0,127756567.64,4.91,11.97,4.72,383.52,1.0,77982726.08,5015840.0,4095828.0,95499341.47,,,5333.0,,,,,2.38,,47532.0,,,,5333.0,,,34518.0,284.48,0.75,,,38.7,38.7,7944435.0,151258475.32,,449.31,38.77,18.75,0.2012,35.45,0.5177
2006-08-23,6726306.0,127726148.9,4.92,12.2,4.73,384.54,1.0,77709413.68,5014930.0,4092328.0,95228747.53,,9967.0,3945.0,0.58,0.56,,,1.61,10616.0,27998.0,,9967.0,0.58,3945.0,,13177.0,14116.0,284.16,0.73,,,38.99,38.99,7847182.0,149010517.3,,437.42,39.38,18.93,0.2021,35.52,0.523
2006-08-24,6680850.0,127875187.37,4.89,12.14,4.69,381.99,1.0,77567698.86,4984874.0,4052531.0,95413262.8,,,5.0,,,,,1.36,,24708.0,,,,5.0,,4614.0,39797.0,282.47,2.31,0.56,,38.8,38.8,7861549.0,150474423.38,9967.0,439.94,39.1,19.0,0.2035,35.67,0.5201
2006-08-25,6785791.0,127256439.4,4.96,13.16,4.77,388.77,1.0,78032466.41,4982169.0,4160984.0,93432451.35,,,1770.0,9.58,,,,0.19,161356.0,4476.0,,,9.58,1770.0,,,52902.0,282.86,2.9,,,38.79,38.79,7861455.0,147428762.81,,435.36,39.38,18.62,0.2144,37.57,0.5283
