,ALMAS FP Equity_DX_SI_QTY,ALMAS FP Equity_DX_SHORT_INTEREST_VALUE,ALMAS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMAS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMAS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMAS FP Equity_DX_SI_MV,ALMAS FP Equity_DX_DSS,ALMAS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMAS FP Equity_DX_SUPPLY_SI_QTY,ALMAS FP Equity_DX_BROKER_SI_QTY,ALMAS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMAS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALMAS FP Equity_DX_BROKER_SI_MV_INC_x,ALMAS FP Equity_DX_BROKER_SI_QTY_ADD,ALMAS FP Equity_DX_SUPPLY_SI_MV_DEC,ALMAS FP Equity_DX_BROKER_SI_QTY_INC,ALMAS FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMAS FP Equity_DX_BROKER_SI_MV_INC_y,ALMAS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALMAS FP Equity_DX_BROKER_SI_MV_ADD,ALMAS FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMAS FP Equity_DX_BROKER_SI_QTY_DEC,ALMAS FP Equity_DX_SUPPLY_SI_MV,ALMAS FP Equity_DX_BROKER_SI_MV_DEC,ALMAS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMAS FP Equity_DX_UTILIZATION_QUANTITY,ALMAS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMAS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMAS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMAS FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMAS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMAS FP Equity_DX_BROKER_SI_CON_RATIO,ALMAS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMAS FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMAS FP Equity_PX_LAST
2006-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
2006-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44
2006-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47
2006-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2006-06-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,6.19
2006-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2006-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2006-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2006-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2006-06-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,6.0
2006-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09
2006-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2006-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2006-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97
2006-06-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.89
2006-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2006-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.62
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.63
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.89
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.89
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.8
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.8
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.8
2006-07-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.8
2006-07-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.68
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.8
2006-07-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.65
2006-07-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.65
2006-07-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.65
2006-07-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.66
2006-07-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,5.65
2006-07-24,50000.0,263015.36,0.98,41.14,0.98,0.28,0.0,263015.36,0.0,50000.0,0.0,,,50000.0,,,,,,0.28,,,0.0,,0.0,0.0,2231.0,11735.75,0.01,0.0,,1.0,100.0,22.4115,5.65
2006-07-25,50000.0,263015.36,0.98,37.93,0.98,0.28,0.0,263015.36,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2227.0,11714.7,0.01,0.0,,1.0,100.0,22.4517,5.65
2006-07-26,50000.0,263015.36,0.98,36.27,0.98,0.28,0.0,263015.36,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2199.0,11567.42,0.01,0.0,,1.0,100.0,22.7376,5.65
2006-07-27,50000.0,263015.36,0.98,36.17,0.98,0.28,0.0,263015.36,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,11604.24,0.01,0.0,,1.0,100.0,22.6655,5.65
2006-07-28,50000.0,262549.85,0.98,36.62,0.98,0.28,0.0,262549.85,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2202.0,11562.7,0.01,0.0,,1.0,100.0,22.7066,5.64
2006-07-31,50000.0,262549.85,0.98,36.89,0.98,0.28,0.0,262549.85,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,11583.7,0.01,0.0,,1.0,100.0,22.6655,5.64
2006-08-01,50000.0,278377.32,0.98,36.95,0.98,0.28,0.0,278377.32,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12282.01,0.01,0.0,,1.0,100.0,22.6655,5.98
2006-08-02,50000.0,269998.07,0.98,36.95,0.98,0.28,0.0,269998.07,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2339.0,12630.51,0.01,0.0,,1.0,100.0,21.3767,5.8
2006-08-03,50000.0,274653.21,0.98,34.5,0.98,0.28,0.0,274653.21,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2349.0,12903.21,0.01,0.0,,1.0,100.0,21.2857,5.9
2006-08-04,50000.0,274187.69,0.98,34.79,0.98,0.28,0.0,274187.69,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2361.0,12947.14,0.01,0.0,,1.0,100.0,21.1775,5.89
2006-08-07,50000.0,269998.07,0.98,34.55,0.98,0.28,0.0,269998.07,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2366.0,12776.31,0.01,0.0,,1.0,100.0,21.1327,5.8
2006-08-08,50000.0,274653.21,0.98,34.82,0.98,0.28,0.0,274653.21,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2368.0,13007.58,0.01,0.0,,1.0,100.0,21.1149,5.9
2006-08-09,50000.0,269998.07,0.98,34.68,0.98,0.28,0.0,269998.07,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2316.0,12506.31,0.01,0.0,,1.0,100.0,21.5889,5.8
2006-08-10,50000.0,269998.07,0.98,35.94,0.98,0.28,0.0,269998.07,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2314.0,12495.51,0.01,0.0,,1.0,100.0,21.6076,5.8
2006-08-11,50000.0,274187.69,0.98,38.29,0.98,0.28,0.0,274187.69,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2323.0,12738.76,0.01,0.0,,1.0,100.0,21.5239,5.89
2006-08-14,50000.0,274187.69,0.98,44.73,0.98,0.28,0.0,274187.69,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2322.0,12733.28,0.01,0.0,,1.0,100.0,21.5332,5.89
2006-08-15,50000.0,273722.18,0.98,45.36,0.98,0.28,0.0,273722.18,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2317.0,12684.29,0.01,0.0,,1.0,100.0,21.5796,5.88
2006-08-16,50000.0,274653.21,0.98,45.3,0.98,0.28,0.0,274653.21,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2290.0,12579.12,0.01,0.0,,1.0,100.0,21.8341,5.9
2006-08-17,50000.0,272791.15,0.98,45.2,0.98,0.28,0.0,272791.15,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2280.0,12439.28,0.01,0.0,,1.0,100.0,21.9298,5.86
2006-08-18,50000.0,272791.15,0.98,45.17,0.98,0.28,0.0,272791.15,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2276.0,12417.45,0.01,0.0,,1.0,100.0,21.9684,5.86
2006-08-21,50000.0,272791.15,0.98,44.4,0.98,0.28,0.0,272791.15,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2280.0,12439.28,0.01,0.0,,1.0,100.0,21.9298,5.86
2006-08-22,50000.0,272325.64,0.98,45.06,0.98,0.28,0.0,272325.64,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2288.0,12461.62,0.01,0.0,,1.0,100.0,21.8531,5.85
2006-08-23,50000.0,274653.21,0.98,45.61,0.98,0.28,0.0,274653.21,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12117.7,0.01,0.0,,1.0,100.0,22.6655,5.9
2006-08-24,50000.0,277446.29,0.98,46.48,0.98,0.28,0.0,277446.29,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12240.93,0.01,0.0,,1.0,100.0,22.6655,5.96
2006-08-25,50000.0,277911.81,0.98,47.62,0.98,0.28,0.0,277911.81,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12261.47,0.01,0.0,,1.0,100.0,22.6655,5.97
2006-08-28,50000.0,280239.37,0.98,46.66,0.98,0.28,0.0,280239.37,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12364.16,0.01,0.0,,1.0,100.0,22.6655,6.02
2006-08-29,50000.0,289549.65,0.98,45.52,0.98,0.28,0.0,289549.65,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12774.93,0.01,0.0,,1.0,100.0,22.6655,6.22
2006-08-30,50000.0,311894.32,0.98,45.99,0.98,0.28,0.0,311894.32,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13760.78,0.01,0.0,,1.0,100.0,22.6655,6.7
2006-08-31,50000.0,309566.75,0.98,35.96,0.98,0.28,0.0,309566.75,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13658.09,0.01,0.0,,1.0,100.0,22.6655,6.65
2006-09-01,50000.0,310032.27,0.98,36.95,0.98,0.28,0.0,310032.27,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13678.62,0.01,0.0,,1.0,100.0,22.6655,6.66
2006-09-04,50000.0,297928.9,0.98,37.33,0.98,0.28,0.0,297928.9,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13144.62,0.01,0.0,,1.0,100.0,22.6655,6.4
2006-09-05,50000.0,309101.24,0.98,38.69,0.98,0.28,0.0,309101.24,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13637.55,0.01,0.0,,1.0,100.0,22.6655,6.64
2006-09-06,50000.0,316083.95,0.98,41.74,0.98,0.28,0.0,316083.95,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13945.62,0.02,0.0,,1.0,100.0,22.6655,6.79
2006-09-07,50000.0,303515.07,0.98,45.13,0.98,0.28,0.0,303515.07,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13391.08,0.02,0.0,,1.0,100.0,22.6655,6.52
2006-09-08,50000.0,303049.56,0.98,45.43,0.98,0.28,0.0,303049.56,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13370.55,0.02,0.0,,1.0,100.0,22.6655,6.51
2006-09-11,50000.0,297928.9,0.98,44.27,0.98,0.28,0.0,297928.9,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13144.62,0.02,0.0,,1.0,100.0,22.6655,6.4
2006-09-12,50000.0,297928.9,0.98,43.64,0.98,0.28,0.0,297928.9,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13144.62,0.02,0.0,,1.0,100.0,22.6655,6.4
2006-09-13,50000.0,297928.9,0.98,42.56,0.98,0.28,0.0,297928.9,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13144.62,0.01,0.0,,1.0,100.0,22.6655,6.4
2006-09-14,50000.0,293273.76,0.98,47.47,0.98,0.28,0.0,293273.76,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12939.24,0.01,0.0,,1.0,100.0,22.6655,6.3
2006-09-15,50000.0,290946.19,0.98,45.55,0.98,0.28,0.0,290946.19,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12836.55,0.01,0.0,,1.0,100.0,22.6655,6.25
2006-09-18,50000.0,292808.25,0.98,29.5,0.98,0.28,0.0,292808.25,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12918.7,0.01,0.0,,1.0,100.0,22.6655,6.29
2006-09-19,50000.0,286291.06,0.98,29.01,0.98,0.28,0.0,286291.06,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12631.16,0.01,0.0,,1.0,100.0,22.6655,6.15
2006-09-20,50000.0,286291.06,0.98,29.16,0.98,0.28,0.0,286291.06,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12631.16,0.01,0.0,,1.0,100.0,22.6655,6.15
2006-09-21,50000.0,286291.06,0.98,28.49,0.98,0.28,0.0,286291.06,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12631.16,0.01,0.0,,1.0,100.0,22.6655,6.15
2006-09-22,50000.0,288618.63,0.98,22.93,0.98,0.28,0.0,288618.63,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12733.85,0.01,0.0,,1.0,100.0,22.6655,6.2
2006-09-25,50000.0,290946.19,0.98,22.6,0.98,0.28,0.0,290946.19,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12836.55,0.01,0.0,,1.0,100.0,22.6655,6.25
2006-09-26,50000.0,288618.63,0.98,22.52,0.98,0.28,0.0,288618.63,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12733.85,0.01,0.0,,1.0,100.0,22.6655,6.2
2006-09-27,50000.0,293273.76,0.98,20.63,0.98,0.28,0.0,293273.76,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12939.24,0.01,0.0,,1.0,100.0,22.6655,6.3
2006-09-28,50000.0,297928.9,0.98,19.64,0.98,0.28,0.0,297928.9,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13144.62,0.01,0.0,,1.0,100.0,22.6655,6.4
2006-09-29,50000.0,302584.04,0.98,18.06,0.98,0.28,0.0,302584.04,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13350.01,0.01,0.0,,1.0,100.0,22.6655,6.5
2006-10-02,50000.0,300256.47,0.98,15.82,0.98,0.28,0.0,300256.47,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13247.32,0.01,0.0,,1.0,100.0,22.6655,6.45
2006-10-03,50000.0,298394.42,0.98,15.82,0.98,0.28,0.0,298394.42,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13165.16,0.01,0.0,,1.0,100.0,22.6655,6.41
2006-10-04,50000.0,307239.18,0.98,15.79,0.98,0.28,0.0,307239.18,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13555.39,0.01,0.0,,1.0,100.0,22.6655,6.6
2006-10-05,50000.0,302584.04,0.98,15.54,0.98,0.28,0.0,302584.04,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,13350.01,0.01,0.0,,1.0,100.0,22.6655,6.5
2006-10-06,50000.0,294204.79,0.98,15.58,0.98,0.28,0.0,294204.79,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12980.32,0.01,0.0,,1.0,100.0,22.6655,6.32
2006-10-09,50000.0,294204.79,0.98,15.64,0.98,0.28,0.0,294204.79,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12980.32,0.01,0.0,,1.0,100.0,22.6655,6.32
2006-10-10,50000.0,282101.43,0.98,15.81,0.98,0.28,0.0,282101.43,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12446.32,0.01,0.0,,1.0,100.0,22.6655,6.06
2006-10-11,50000.0,283963.49,0.98,15.77,0.98,0.28,0.0,283963.49,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12528.47,0.01,0.0,,1.0,100.0,22.6655,6.1
2006-10-12,50000.0,276049.75,0.98,16.79,0.98,0.28,0.0,276049.75,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,12179.31,0.01,0.0,,1.0,100.0,22.6655,5.93
2006-10-13,50000.0,232291.44,0.98,14.39,0.98,0.28,0.0,232291.44,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,10248.7,0.01,0.0,,1.0,100.0,22.6655,4.99
2006-10-16,50000.0,213205.37,0.98,7.41,0.98,0.28,0.0,213205.37,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,9406.62,0.01,0.0,,1.0,100.0,22.6655,4.58
2006-10-17,50000.0,225308.73,0.98,6.17,0.98,0.28,0.0,225308.73,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2206.0,9940.62,0.01,0.0,,1.0,100.0,22.6655,4.84
2006-10-18,50000.0,229498.36,0.98,4.59,0.98,0.28,0.0,229498.36,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4776.0,21921.68,0.03,0.0,,1.0,100.0,10.469,4.93
2006-10-19,50000.0,229963.87,0.98,4.41,0.98,0.28,0.0,229963.87,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4824.0,22186.91,0.03,0.0,,1.0,100.0,10.3648,4.94
2006-10-20,50000.0,237877.61,0.98,4.21,0.98,0.28,0.0,237877.61,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4829.0,22974.22,0.03,0.0,,1.0,100.0,10.3541,5.11
2006-10-23,50000.0,231825.93,0.98,4.08,0.98,0.28,0.0,231825.93,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4919.0,22807.03,0.03,0.0,,1.0,100.0,10.1647,4.98
2006-10-24,50000.0,231825.93,0.98,4.05,0.98,0.28,0.0,231825.93,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4850.0,22487.12,0.03,0.0,,1.0,100.0,10.3093,4.98
2006-10-25,50000.0,228101.82,0.98,3.99,0.98,0.28,0.0,228101.82,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4850.0,22125.88,0.03,0.0,,1.0,100.0,10.3093,4.9
2006-10-26,50000.0,236946.58,0.98,3.9,0.98,0.28,0.0,236946.58,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4808.0,22784.78,0.03,0.0,,1.0,100.0,10.3993,5.09
2006-10-27,50000.0,236015.55,0.98,3.85,0.98,0.28,0.0,236015.55,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4909.0,23172.01,0.03,0.0,,1.0,100.0,10.1854,5.07
2006-10-30,50000.0,232756.96,0.98,4.02,0.98,0.28,0.0,232756.96,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4898.0,22800.87,0.03,0.0,,1.0,100.0,10.2082,5.0
2006-10-31,50000.0,237412.1,0.98,3.99,0.98,0.28,0.0,237412.1,0.0,50000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4861.0,23081.2,0.03,0.0,,1.0,100.0,10.2859,5.1
