,RF FP Equity_DX_SI_QTY,RF FP Equity_DX_SHORT_INTEREST_VALUE,RF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,RF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RF FP Equity_DX_SI_MV,RF FP Equity_DX_DSS,RF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RF FP Equity_DX_SUPPLY_SI_QTY,RF FP Equity_DX_BROKER_SI_QTY,RF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RF FP Equity_DX_BROKER_SI_MV_NEW_x,RF FP Equity_DX_SUPPLY_SI_QTY_NEW_x,RF FP Equity_DX_SUPPLY_SI_QTY_INC_x,RF FP Equity_DX_BROKER_SI_MV_INC_x,RF FP Equity_DX_SUPPLY_SI_MV_NEW,RF FP Equity_DX_BROKER_SI_QTY_ADD,RF FP Equity_DX_BROKER_SI_QTY_NEW,RF FP Equity_DX_SUPPLY_SI_MV_DEC,RF FP Equity_DX_BROKER_SI_QTY_INC,RF FP Equity_DX_SUPPLY_SI_QTY_DEC,RF FP Equity_DX_BROKER_SI_MV_NEW_y,RF FP Equity_DX_SUPPLY_SI_QTY_NEW_y,RF FP Equity_DX_BROKER_SI_MV_INC_y,RF FP Equity_DX_SUPPLY_SI_QTY_INC_y,RF FP Equity_DX_BROKER_SI_MV_ADD,RF FP Equity_DX_SUPPLY_SI_QTY_ADD,RF FP Equity_DX_BROKER_SI_QTY_DEC,RF FP Equity_DX_SUPPLY_SI_MV,RF FP Equity_DX_BROKER_SI_MV_DEC,RF FP Equity_DX_SUPPLY_SI_MV_RMV,RF FP Equity_DX_BROKER_SI_MV_RMV,RF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RF FP Equity_DX_UTILIZATION_QUANTITY,RF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RF FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,RF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RF FP Equity_DX_ACTIVE_UTILIZATION_MV,RF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RF FP Equity_DX_BROKER_SI_CON_RATIO,RF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RF FP Equity_DX_DEMAND_SUPPLY_RATIO
2009-12-28,552008.0,22113444.24,1.5,6.95,1.0,27.09,1.0,12809187.18,447132.0,319750.0,17912110.96,,,,,,,,0.05,,1219.0,,,,,,1480.0,7716.0,21.72,0.28,,,15.72,15.72,2397886.0,96059329.48,,116.24,15.75,14.73,0.1483,27.23,0.194
2009-12-29,552084.0,22118734.13,1.5,7.07,1.0,27.32,1.0,12810487.6,447208.0,319750.0,17916974.32,,,2122.0,,,,,0.1,,2046.0,,,,2122.0,,,,22.02,,,,15.68,15.68,2405328.0,96367238.53,,118.32,15.69,15.09,0.1474,26.76,0.1935
2009-12-30,541439.0,21476452.58,1.47,7.13,0.98,26.95,0.0,12524978.9,440548.0,315765.0,17474559.89,,,,,,,,0.33,,6660.0,,,,,,,3985.0,21.73,0.06,,,15.44,15.44,2412457.0,95691330.61,,118.65,15.48,15.03,0.1473,26.75,0.1898
2009-12-31,539823.0,21443089.6,1.46,7.44,0.98,26.85,0.0,12518369.75,439551.0,315146.0,17460040.57,,,,0.01,,,,0.05,239.0,997.0,,,0.01,,,,858.0,21.75,0.01,,,15.42,15.42,2410187.0,95738521.33,,117.76,15.59,14.99,0.1474,26.79,0.1894
2010-01-01,541858.0,21523924.78,1.47,7.84,0.98,26.96,0.0,12518369.75,441586.0,315146.0,17540875.74,,,2035.0,,,,,,,,,,,2035.0,,,,21.86,,,,15.53,15.53,2402069.0,95416054.52,,117.4,15.7,14.99,0.1474,26.78,0.1906
2010-01-04,533070.0,22100579.4,1.44,7.72,0.97,26.34,0.0,13043392.4,433335.0,314609.0,17965660.37,,,,,,,,0.39,,8251.0,,,,,,,537.0,21.26,0.03,,,15.22,15.22,2414017.0,100082867.89,,118.38,15.22,14.51,0.1473,26.88,0.1872
2010-01-05,522905.0,21764214.4,1.42,7.64,0.95,26.52,0.0,12868483.79,421444.0,309177.0,17541231.34,,,34.0,,,,,0.49,,11925.0,,,,34.0,,,5432.0,21.37,0.32,,,14.5,14.5,2485330.0,103443751.66,,126.48,14.45,14.87,0.1449,25.89,0.1799
2010-01-06,573768.0,24268584.75,1.56,8.65,1.04,29.45,1.0,15371778.63,420443.0,363426.0,17783418.7,3.2,,3119.0,,,,62467.0,0.2,,4120.0,3.2,,,3119.0,,,8218.0,21.51,0.13,,,14.47,14.47,2486088.0,105153716.02,,127.19,14.46,13.34,0.1272,23.12,0.1974
2010-01-07,559708.0,23359756.58,1.52,8.71,1.01,29.16,1.0,14873153.53,413643.0,356366.0,17263644.24,,,3362.0,0.25,,,,0.49,2385.0,10292.0,,,0.25,3362.0,,130.0,9445.0,21.39,0.42,,,14.32,14.32,2475664.0,103323355.07,,128.13,14.3,13.68,0.1264,22.99,0.1937
2010-01-08,549062.0,23192336.0,1.49,8.55,1.0,28.34,0.0,14612900.98,408507.0,345950.0,17255303.77,,,,,,,,0.34,,5136.0,,,,,,,10416.0,20.91,0.55,,,14.14,14.14,2480980.0,104796401.42,,126.93,14.14,13.86,0.1262,22.61,0.19
2010-01-11,534256.0,22032417.44,1.45,8.46,0.97,27.64,0.0,14328972.81,378386.0,347458.0,15604426.17,,2785.0,,0.0,0.14,,,0.17,2610.0,3807.0,,2785.0,0.0,,,,1102.0,19.49,0.05,1.42,,13.23,13.23,2481089.0,102318717.17,29099.0,127.27,13.28,13.44,0.1292,23.15,0.1868
2010-01-12,524872.0,21359382.45,1.42,8.38,0.95,27.0,0.0,13984691.77,372011.0,343651.0,15138786.65,,,2252.0,,,,,0.53,,8627.0,,,,2252.0,,,3807.0,18.82,0.11,,,13.09,13.09,2469181.0,100481986.71,,124.76,13.11,13.34,0.1268,22.31,0.1847
2010-01-13,510122.0,21207267.7,1.38,8.16,0.92,25.97,0.0,13937450.49,365659.0,335253.0,15201517.09,,,,,,,,0.39,,6352.0,,,,,,,8398.0,18.38,0.54,,,12.87,12.87,2476431.0,102952499.92,,124.44,12.87,12.46,0.1261,22.49,0.1795
2010-01-14,503719.0,21023021.34,1.37,8.15,0.91,25.97,0.0,13902842.26,354934.0,333117.0,14813388.13,,,,,,,,0.44,,10725.0,,,,,,,2136.0,18.15,0.14,,,12.47,12.47,2491485.0,103983654.2,,127.16,12.49,12.47,0.1249,22.1,0.177
2010-01-15,518143.0,21549153.36,1.4,8.43,0.94,26.96,0.0,13740864.06,359946.0,330395.0,14969866.53,,,1378.0,,,,,0.83,,16366.0,,,,1378.0,,20000.0,2722.0,18.49,0.0,,,12.63,12.63,2490165.0,103563972.64,,127.72,12.65,15.89,0.1261,21.31,0.1818
2010-01-18,506009.0,21501373.01,1.37,8.34,0.92,26.3,0.0,13523570.68,352952.0,318261.0,14997663.3,,,,,,,,0.31,,6994.0,,,,,,,12134.0,18.09,0.58,,,12.32,12.32,2512570.0,106764316.03,,128.75,12.32,16.29,0.1267,21.59,0.1766
2010-01-19,503726.0,21883749.23,1.37,8.69,0.91,26.66,0.0,13421687.63,350408.0,308944.0,15223039.51,,,,,,,,0.43,,9578.0,,,,,,7034.0,9317.0,18.42,0.4,,,12.23,12.23,2515895.0,109299927.5,,132.01,12.25,16.48,0.1258,21.07,0.1757
