,LIN FP Equity_DX_SI_QTY,LIN FP Equity_DX_SHORT_INTEREST_VALUE,LIN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,LIN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LIN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LIN FP Equity_DX_SI_MV,LIN FP Equity_DX_DSS,LIN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LIN FP Equity_DX_SUPPLY_SI_QTY,LIN FP Equity_DX_BROKER_SI_QTY,LIN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LIN FP Equity_DX_BROKER_SI_MV_NEW_x,LIN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LIN FP Equity_DX_SUPPLY_SI_QTY_INC_x,LIN FP Equity_DX_BROKER_SI_MV_INC_x,LIN FP Equity_DX_SUPPLY_SI_MV_NEW,LIN FP Equity_DX_BROKER_SI_QTY_ADD,LIN FP Equity_DX_BROKER_SI_QTY_NEW,LIN FP Equity_DX_SUPPLY_SI_MV_DEC,LIN FP Equity_DX_BROKER_SI_QTY_INC,LIN FP Equity_DX_SUPPLY_SI_QTY_DEC,LIN FP Equity_DX_BROKER_SI_MV_NEW_y,LIN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LIN FP Equity_DX_BROKER_SI_MV_INC_y,LIN FP Equity_DX_SUPPLY_SI_QTY_INC_y,LIN FP Equity_DX_BROKER_SI_MV_ADD,LIN FP Equity_DX_SUPPLY_SI_QTY_ADD,LIN FP Equity_DX_BROKER_SI_QTY_DEC,LIN FP Equity_DX_SUPPLY_SI_MV,LIN FP Equity_DX_BROKER_SI_MV_DEC,LIN FP Equity_DX_SUPPLY_SI_MV_RMV,LIN FP Equity_DX_BROKER_SI_MV_RMV,LIN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LIN FP Equity_DX_UTILIZATION_QUANTITY,LIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LIN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LIN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LIN FP Equity_DX_ACTIVE_UTILIZATION_MV,LIN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LIN FP Equity_DX_BROKER_SI_CON_RATIO,LIN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LIN FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,277330.0,4681769.59,,6.95,0.0,,0.0,,0.0
2006-03-29,1002.0,17009.51,0.01,0.07,0.01,0.03,0.0,17009.51,0.0,1002.0,0.0,,,,,,1002.0,,,,,,,,,0.03,,,0.0,,,,0.0,0.0,204114.0,3464948.77,,0.0,0.0,,1.0,100.0,0.0032
2006-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1002.0,0.0,0.03,,,0.0,0.0,339419.0,5627406.63,,8.41,0.0,,0.0,,0.0
2006-04-12,10011.0,160198.67,0.1,0.48,0.09,0.25,0.0,160198.67,22.0,10011.0,352.05,0.0,,,,,9989.0,22.0,,,,0.0,,,,0.25,22.0,,0.0,,,,0.02,0.02,142175.0,2275121.96,,3.38,0.02,9.88,0.818,89.9,0.0704
2006-04-19,10124.0,165336.77,0.1,0.43,0.09,0.25,0.0,165336.77,156.0,10124.0,2547.66,,,133.0,0.0,,,,,139.0,,,,0.0,133.0,,,26.0,0.0,0.0,,,0.11,0.11,135302.0,2209639.99,,3.28,0.12,9.51,0.8006,88.96,0.0747
2006-04-26,10194.0,170380.22,0.1,0.41,0.09,0.25,0.0,169895.52,190.0,10165.0,3175.62,,,35.0,0.0,,,,,40.0,,,,0.0,35.0,,,,0.0,,,,0.14,0.14,136614.0,2283335.61,,3.39,0.14,9.87,0.7939,88.54,0.0745
2006-05-03,10168.0,165099.82,0.1,0.42,0.09,0.25,0.0,164628.94,186.0,10139.0,3020.12,,,,,,,,0.0,,5.0,,,,,,,26.0,0.0,0.0,,,0.13,0.13,141369.0,2295436.32,,3.44,0.13,9.64,0.7981,88.8,0.0718
2006-05-10,10139.0,163335.87,0.1,0.43,0.09,0.25,0.0,163335.87,157.0,10139.0,2529.22,,,,0.0,,,,0.0,0.0,29.0,,,0.0,,,,,0.0,,,,0.11,0.11,141449.0,2278695.62,,3.45,0.11,9.64,0.7981,88.8,0.0716
2006-05-17,10101.0,158316.6,0.1,0.38,0.09,0.25,0.0,158316.6,152.0,10101.0,2382.35,,,,,,,,0.0,,5.0,,,,,,,38.0,0.0,0.0,,,0.11,0.11,141801.0,2222497.97,,3.37,0.11,9.31,0.8045,89.2,0.0712
2006-05-24,11208.0,174388.06,0.11,0.49,0.1,0.28,0.0,171602.96,1184.0,11029.0,18422.15,,,1033.0,0.02,,,,,928.0,,,,0.02,1033.0,,,,0.03,,,,0.84,0.84,140562.0,2187039.14,,3.35,0.86,9.3,0.6896,82.06,0.0791
2006-05-31,14536.0,224412.97,0.14,0.82,0.12,0.35,0.0,221618.61,1216.0,14355.0,18773.13,,,32.0,0.08,,,,,3326.0,,,,0.08,32.0,,,,0.03,,,,0.41,0.41,295157.0,4556759.62,,7.06,0.42,29.51,0.4985,63.79,0.049
2006-06-07,44340.0,622038.36,0.43,2.55,0.38,1.04,0.0,228683.97,32121.0,16301.0,450620.08,,,30905.0,0.04,,,,,2000.0,,,,0.04,30905.0,,,54.0,0.75,0.0,,,11.16,11.16,255735.0,3587663.08,,5.8,11.5,36.17,0.4733,58.26,0.154
2006-06-14,24278.0,316962.37,0.24,1.47,0.21,0.54,0.0,316962.37,0.0,24278.0,0.0,,,,0.17,,,,0.75,8000.0,32121.0,,,0.17,,,,23.0,0.0,0.0,,,0.0,0.0,275054.0,3590978.18,,5.92,0.0,24.29,0.5797,72.07,0.0883
2006-06-21,24299.0,328490.69,0.24,1.47,0.21,0.54,0.0,328490.69,0.0,24299.0,0.0,,,,0.0,,,,,22.0,,,,0.0,,,,,0.0,,,,0.0,0.0,122858.0,1660879.42,,2.59,0.0,24.61,0.5754,71.66,0.1978
2006-06-28,24303.0,331154.85,0.24,1.88,0.21,0.54,0.0,331154.85,0.0,24303.0,0.0,,,,0.0,,,,,4.0,,,,0.0,,,,,0.0,,,,0.0,0.0,275365.0,3752148.1,,5.98,0.0,24.67,0.5747,71.59,0.0883
2006-07-03,24286.0,326032.72,0.24,2.25,0.21,0.54,0.0,326032.72,0.0,24286.0,0.0,,,,,,,,,,,,,,,,,17.0,0.0,0.0,,,0.0,0.0,274874.0,3690106.1,,5.95,0.0,24.4,0.5782,71.92,0.0884
2006-07-04,53721.0,722271.09,0.52,4.72,0.46,1.2,0.0,326548.65,32402.0,24288.0,435640.21,,,,0.0,,,,,2.0,,,,0.0,,,32402.0,,0.72,,,,11.74,11.74,243523.0,3274131.59,,5.27,12.08,24.44,0.5777,71.88,0.1947
2006-07-05,50477.0,677300.7,0.49,4.71,0.43,1.13,0.0,284555.66,32227.0,21207.0,432422.09,,,,,,,,0.0,,175.0,,,,,,,3081.0,0.72,0.07,,,11.7,11.7,243295.0,3264533.83,,5.27,12.08,13.94,0.6913,81.86,0.1832
2006-07-06,21209.0,284582.49,0.21,1.97,0.18,0.48,0.0,284582.49,0.0,21209.0,0.0,,,,0.0,,,,0.72,2.0,32227.0,,,0.0,,,,,0.0,,,,0.0,0.0,275083.0,3691065.41,,5.97,0.0,13.92,0.6915,81.88,0.0771
2006-07-07,20317.0,272751.72,0.2,1.88,0.17,0.46,0.0,272751.72,0.0,20317.0,0.0,,,,,,,,,,,,,,,,,892.0,0.0,0.02,,,0.0,0.0,275911.0,3704050.79,,5.98,0.0,14.53,0.7516,85.47,0.0736
2006-07-10,20317.0,268746.76,0.2,2.04,0.17,0.46,0.0,268746.76,0.0,20317.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,275422.0,3643193.86,,5.92,0.0,14.38,0.7537,85.62,0.0738
2006-07-11,20317.0,271370.7,0.2,2.04,0.17,0.45,0.0,271370.7,0.0,20317.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,275324.0,3677455.64,,5.93,0.0,14.2,0.7563,85.8,0.0738
2006-07-12,21186.0,281393.68,0.21,2.12,0.18,0.47,0.0,281393.68,0.0,21186.0,0.0,,,,,,869.0,,,,,,,,,0.02,,,0.0,,,,0.0,0.0,269965.0,3585690.83,,5.82,0.0,13.73,0.6957,82.17,0.0785
2006-07-13,21190.0,276549.58,0.21,2.24,0.18,0.47,0.0,276549.58,0.0,21190.0,0.0,,,,0.0,,,,,4.0,,,,0.0,,,,,0.0,,,,0.0,0.0,270881.0,3535253.74,,5.83,0.0,13.66,0.6964,82.22,0.0782
2006-07-14,21177.0,261985.13,0.21,2.22,0.18,0.47,0.0,261985.13,0.0,21177.0,0.0,,,,,,,,,,,,,,,,,13.0,0.0,0.0,,,0.0,0.0,270788.0,3349975.42,,5.72,0.0,13.47,0.7,82.47,0.0782
2006-07-17,21138.0,254605.88,0.2,2.22,0.18,0.47,0.0,254605.88,0.0,21138.0,0.0,,,,,,,,,,,,,,,,,39.0,0.0,0.0,,,0.0,0.0,270514.0,3258324.11,,5.64,0.0,12.88,0.7109,83.23,0.0781
2006-07-18,21119.0,236719.93,0.2,2.08,0.18,0.47,0.0,236719.93,0.0,21119.0,0.0,,,,,,,,,,,,,,,,,19.0,0.0,0.0,,,0.0,0.0,271238.0,3040268.97,,5.63,0.0,12.6,0.7163,83.6,0.0779
2006-07-19,20317.0,235602.25,0.2,1.94,0.17,0.44,0.0,235602.25,0.0,20317.0,0.0,,,,,,,,,,,,,,,,,802.0,0.0,0.02,,,0.0,0.0,250518.0,2905084.57,,5.08,0.0,12.3,0.7843,87.7,0.0811
2006-07-20,20317.0,243474.07,0.2,1.65,0.17,0.45,0.0,243474.07,0.0,20317.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,249569.0,2990775.19,,5.14,0.0,12.67,0.7787,87.33,0.0814
2006-07-21,20317.0,239192.9,0.2,1.66,0.17,0.45,0.0,239192.9,0.0,20317.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,249717.0,2939928.81,,5.17,0.0,13.04,0.7732,86.96,0.0814
2006-07-24,20317.0,236016.55,0.2,1.75,0.17,0.45,0.0,236016.55,0.0,20317.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,249724.0,2900969.5,,5.11,0.0,12.84,0.7762,87.16,0.0814
2006-07-25,20317.0,234773.63,0.2,1.72,0.17,0.45,0.0,234773.63,0.0,20317.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,249381.0,2881728.76,,5.08,0.0,12.69,0.7784,87.31,0.0815
2006-07-26,20317.0,236845.16,0.2,1.72,0.17,0.45,0.0,236845.16,0.0,20317.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,246778.0,2876811.34,,5.03,0.0,12.63,0.7793,87.37,0.0823
2006-07-27,20317.0,257560.49,0.2,1.72,0.17,0.45,0.0,257560.49,0.0,20317.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,247276.0,3134740.69,,5.07,0.0,12.73,0.7778,87.27,0.0822
2006-07-28,12470.0,154608.05,0.12,1.05,0.11,0.29,0.0,152711.1,2829.0,12317.0,35075.07,,,,,,,,,,,,,,,,2829.0,8000.0,0.07,0.17,,,1.17,1.17,238337.0,2954997.52,,5.11,1.26,21.73,0.6599,78.27,0.0517
2006-07-31,12468.0,158142.74,0.12,1.03,0.11,0.29,0.0,156227.47,2781.0,12317.0,35273.9,,,,,,,,0.0,,48.0,,,,,,,,0.06,,,,1.15,1.15,238797.0,3028874.81,,5.14,1.23,21.35,0.6641,78.65,0.0516
2006-08-01,12470.0,161050.05,0.12,1.02,0.11,0.29,0.0,159074.06,2830.0,12317.0,36549.45,,,49.0,,,,,,,,,,,49.0,,,,0.07,,,,1.17,1.17,238582.0,3081286.59,,5.17,1.25,21.74,0.6598,78.26,0.0517
2006-08-02,12473.0,162360.55,0.12,1.01,0.11,0.29,0.0,160329.91,2871.0,12317.0,37371.69,,,41.0,,,,,,,,,,,41.0,,,,0.07,,,,1.12,1.12,254374.0,3311176.38,,5.57,1.18,22.05,0.6563,77.95,0.0485
2006-08-03,12473.0,164480.14,0.12,1.0,0.11,0.29,0.0,162422.99,2888.0,12317.0,38083.75,,,17.0,,,,,,,,,,,17.0,,,,0.07,,,,1.12,1.12,254938.0,3361840.63,,5.62,1.18,22.18,0.6548,77.82,0.0484
2006-08-04,12474.0,164069.38,0.12,0.9,0.11,0.29,0.0,162004.37,2917.0,12317.0,38367.03,,,29.0,,,,,,,,,,,29.0,,,,0.07,,,,1.13,1.13,255530.0,3360962.62,,5.63,1.19,22.41,0.6523,77.59,0.0483
2006-08-07,12475.0,163997.73,0.12,0.9,0.11,0.29,0.0,161920.65,2912.0,12317.0,38281.47,,,,,,,,0.0,,5.0,,,,,,,,0.07,,,,1.13,1.13,255875.0,3363761.09,,5.64,1.19,22.36,0.6528,77.64,0.0482
2006-08-08,12475.0,160266.66,0.12,0.92,0.11,0.29,0.0,158236.83,2911.0,12317.0,37397.69,,,,,,,,0.0,,2.0,,,,,,,,0.07,,,,1.12,1.12,256004.0,3288890.19,,5.63,1.19,22.35,0.6529,77.65,0.0482
2006-08-09,12929.0,165923.44,0.13,0.95,0.11,0.3,0.0,158069.38,3317.0,12317.0,42568.49,,,406.0,,,,,,,,,,,406.0,,,,0.08,,,,1.3,1.3,252089.0,3235166.99,,5.5,1.38,21.96,0.6573,78.04,0.0506
2006-08-10,12935.0,161780.09,0.13,0.95,0.11,0.3,0.0,154050.67,3321.0,12317.0,41536.27,,,4.0,,,,,,,,,,,4.0,,,,0.08,,,,1.3,1.3,251991.0,3151691.28,,5.49,1.38,21.94,0.6575,78.06,0.0507
2006-08-11,12966.0,161286.47,0.13,1.0,0.11,0.3,0.0,153213.43,3297.0,12317.0,41011.99,,,,,,,,0.0,,24.0,,,,,,,,0.08,,,,1.29,1.29,253039.0,3147598.79,,5.46,1.37,21.5,0.6624,78.5,0.0506
2006-08-14,12959.0,159437.65,0.13,1.0,0.11,0.3,0.0,151538.97,3279.0,12317.0,40342.31,,,,,,,,0.0,,18.0,,,,,,,,0.08,,,,1.28,1.28,253004.0,3112768.19,,5.44,1.37,21.41,0.6635,78.59,0.0506
2006-08-15,13001.0,160396.25,0.13,1.11,0.11,0.3,0.0,151957.59,3298.0,12317.0,40688.16,,,19.0,,,,,,,,,,,19.0,,,,0.08,,,,1.29,1.29,252772.0,3118504.76,,5.41,1.38,21.22,0.6656,78.78,0.0508
2006-08-16,13055.0,166120.62,0.13,1.14,0.11,0.3,0.0,156729.81,3358.0,12317.0,42729.46,,,60.0,,,,,,,,,,,60.0,,,,0.08,,,,1.34,1.34,246591.0,3137790.07,,5.29,1.44,21.27,0.6651,78.73,0.0522
2006-08-17,13078.0,168902.37,0.13,1.13,0.11,0.3,0.0,159074.06,3445.0,12317.0,44492.18,,,87.0,,,,,,,,,,,87.0,,,,0.08,,,,1.38,1.38,245588.0,3171769.08,,5.35,1.47,21.79,0.6591,78.21,0.0525
2006-08-18,13998.0,182687.16,0.14,1.2,0.12,0.32,0.0,171437.25,3578.0,13136.0,46696.29,,,133.0,,,819.0,,,,,,,,133.0,0.02,,,0.08,,,,1.44,1.44,245052.0,3198160.81,,5.36,1.53,20.67,0.5809,73.1,0.0563
2006-08-21,13182.0,174725.68,0.13,1.07,0.11,0.31,0.0,163260.22,3602.0,12317.0,47744.04,,,25.0,,,,,,,,,,,25.0,,,819.0,0.08,0.02,,,1.45,1.45,245160.0,3249563.6,,5.4,1.53,22.23,0.6543,77.77,0.053
2006-08-22,13202.0,175439.47,0.13,1.07,0.11,0.31,0.0,163678.83,3656.0,12317.0,48584.06,,,54.0,,,,,,,,,,,54.0,,,,0.09,,,,1.47,1.47,245460.0,3261882.47,,5.42,1.55,22.5,0.6513,77.5,0.053
2006-08-23,13199.0,175848.2,0.13,1.06,0.11,0.31,0.0,164097.45,3659.0,12317.0,48748.28,,,3.0,,,,,,,,,,,3.0,,,,0.09,,,,1.26,1.26,286633.0,3818766.27,,4.56,1.84,22.54,0.6508,77.46,0.0455
2006-08-24,13201.0,176592.7,0.13,1.08,0.11,0.31,0.0,164767.23,3666.0,12317.0,49040.89,,,7.0,,,,,,,,,,,7.0,,,,0.09,,,,1.26,1.26,286682.0,3835008.56,,4.56,1.85,22.59,0.6503,77.41,0.0455
2006-08-25,13204.0,176991.84,0.13,1.09,0.11,0.31,0.0,165102.13,3678.0,12317.0,49301.42,,,12.0,,,,,,,,,,,12.0,,,,0.09,,,,1.27,1.27,286760.0,3843848.83,,4.58,1.85,22.66,0.6495,77.34,0.0455
2006-08-28,13202.0,176785.55,0.13,1.1,0.11,0.31,0.0,164934.68,3680.0,12317.0,49278.2,,,3.0,,,,,,,,,,,3.0,,,,0.09,,,,1.27,1.27,286802.0,3840512.82,,4.59,1.84,22.69,0.6491,77.31,0.0454
2006-08-29,13200.0,175951.24,0.13,1.19,0.11,0.31,0.0,164181.17,3676.0,12317.0,48999.76,,,,,,,,0.0,,4.0,,,,,,,,0.09,,,,1.27,1.27,286784.0,3822727.4,,4.57,1.85,22.67,0.6493,77.33,0.0454
2006-08-30,13200.0,178463.55,0.13,1.24,0.11,0.31,0.0,166525.42,3666.0,12317.0,49564.2,,,,,,,,0.0,,10.0,,,,,,,,0.09,,,,1.26,1.26,286693.0,3876079.62,,5.77,1.46,22.59,0.6502,77.41,0.0455
2006-08-31,13212.0,179613.67,0.13,1.53,0.11,0.31,0.0,167446.38,3708.0,12317.0,50409.29,,,43.0,,,,,,,,,,,43.0,,,,0.09,,,,1.28,1.28,286964.0,3901200.14,,5.81,1.48,22.84,0.6475,77.16,0.0455
2006-09-01,13212.0,175123.32,0.13,1.53,0.11,0.31,0.0,163260.22,3720.0,12317.0,49308.11,,,12.0,,,,,,,,,,,12.0,,,,0.09,,,,1.28,1.28,287075.0,3805141.42,,5.76,1.49,22.94,0.6464,77.06,0.0454
2006-09-04,13188.0,178390.96,0.13,1.48,0.11,0.31,0.0,166609.14,3626.0,12317.0,49048.04,,,,,,,,0.0,,94.0,,,,,,,,0.09,,,,1.27,1.27,280946.0,3800290.07,,5.66,1.48,22.94,0.6464,77.06,0.0463
2006-09-05,13213.0,179178.19,0.13,1.4,0.11,0.31,0.0,167027.76,3711.0,12317.0,50323.94,,,85.0,,,,,,,,,,,85.0,,,,0.09,,,,1.3,1.3,281473.0,3816985.06,,5.68,1.51,22.85,0.6474,77.15,0.0463
2006-09-06,13213.0,179627.26,0.13,1.33,0.11,0.31,0.0,167446.38,3717.0,12317.0,50531.64,,,5.0,,,,,,,,,,,5.0,,,,0.09,,,,1.3,1.3,281523.0,3827231.17,,5.72,1.5,22.9,0.6469,77.1,0.0463
2006-09-07,13219.0,179708.83,0.13,1.37,0.11,0.31,0.0,167446.38,3728.0,12317.0,50681.18,,,11.0,,,,,,,,,,,11.0,,,,0.09,,,,1.32,1.32,278168.0,3781620.83,,5.65,1.53,22.94,0.6464,77.06,0.0469
2006-09-08,13218.0,179695.23,0.13,1.39,0.11,0.31,0.0,167446.38,3727.0,12317.0,50667.59,,,,,,,,0.0,,1.0,,,,,,,,0.09,,,,1.32,1.32,278169.0,3781634.42,,5.65,1.52,22.94,0.6464,77.06,0.0469
2006-09-11,13212.0,176919.46,0.13,1.47,0.11,0.31,0.0,164934.68,3721.0,12317.0,49827.23,,,,,,,,0.0,,6.0,,,,,,,,0.09,,,,1.32,1.32,278175.0,3724990.25,,5.64,1.53,22.94,0.6464,77.06,0.0469
2006-09-12,13205.0,183826.95,0.13,1.48,0.11,0.31,0.0,171465.09,3680.0,12317.0,51229.32,,,,,,,,0.0,,40.0,,,,,,,,0.09,,,,1.31,1.31,277880.0,3868370.48,,5.67,1.5,22.67,0.6493,77.33,0.0469
2006-09-13,13230.0,187952.0,0.13,1.49,0.11,0.31,0.0,174981.46,3791.0,12317.0,53856.84,,,110.0,,,,,,,,,,,110.0,,,,0.09,,,,1.34,1.34,278637.0,3958456.61,,5.79,1.52,23.36,0.6419,76.64,0.0468
2006-09-14,13243.0,180935.28,0.13,1.47,0.11,0.31,0.0,168283.61,3848.0,12317.0,52574.11,,,57.0,,,,,,,,,,,57.0,,,,0.09,,,,1.36,1.36,279040.0,3812442.82,,5.81,1.55,23.73,0.638,76.27,0.0468
2006-09-15,13213.0,182770.74,0.13,1.39,0.11,0.31,0.0,170376.69,3707.0,12317.0,51277.61,,,,,,,,0.0,,141.0,,,,,,,,0.09,,,,1.32,1.32,278036.0,3845973.28,,5.77,1.5,23.73,0.638,76.27,0.0469
2006-09-18,13217.0,182107.34,0.13,1.36,0.11,0.31,0.0,169706.9,900.0,12317.0,12400.44,,,,,,,,0.07,,2807.0,,,,,,,,0.02,,,,0.32,0.32,281201.0,3874462.19,,5.85,0.36,23.73,0.638,76.27,0.0469
2006-09-19,9863.0,135760.95,0.1,1.0,0.08,0.24,0.0,123882.04,863.0,9000.0,11878.91,,,,,,,,0.0,,36.0,,,,,,,3317.0,0.02,0.07,,,0.31,0.31,279905.0,3852800.32,,5.86,0.36,,1.0,100.0,0.0351
2006-09-20,9861.0,135398.28,0.1,1.0,0.08,0.24,0.0,123576.16,861.0,9000.0,11822.12,,,,,,,,0.0,,3.0,,,,,,,,0.02,,,,0.31,0.31,279880.0,3842943.97,,5.79,0.37,,1.0,100.0,0.0351
2006-09-21,9853.0,140713.37,0.1,1.0,0.08,0.24,0.0,128531.44,853.0,9000.0,12181.92,,,,,,,,0.0,,8.0,,,,,,,,0.02,,,,0.3,0.3,279819.0,3996171.06,,5.78,0.36,,1.0,100.0,0.0351
2006-09-22,9893.0,146597.08,0.1,0.93,0.08,0.25,0.0,133364.37,893.0,9000.0,13232.71,,,40.0,,,,,,,,,,,40.0,,,,0.02,,,,0.32,0.32,280890.0,4162302.02,,5.86,0.38,,1.0,100.0,0.0351
2006-09-25,9929.0,148480.36,0.1,0.88,0.08,0.25,0.0,134587.9,929.0,9000.0,13892.46,,,36.0,,,,,,,,,,,36.0,,,,0.02,,,,0.33,0.33,281938.0,4216160.29,,5.93,0.39,,1.0,100.0,0.0351
2006-09-26,9940.0,144455.77,0.1,0.71,0.08,0.25,0.0,130794.97,940.0,9000.0,13660.81,,,11.0,,,,,,,,,,,11.0,,,,0.02,,,,0.33,0.33,282201.0,4101163.34,,5.97,0.39,,1.0,100.0,0.0351
