,MLONL FP Equity_DX_SI_QTY,MLONL FP Equity_DX_SHORT_INTEREST_VALUE,MLONL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLONL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLONL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLONL FP Equity_DX_SI_MV,MLONL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLONL FP Equity_DX_SUPPLY_SI_QTY,MLONL FP Equity_DX_BROKER_SI_QTY,MLONL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLONL FP Equity_DX_SUPPLY_SI_MV,MLONL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLONL FP Equity_DX_UTILIZATION_QUANTITY,MLONL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLONL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLONL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLONL FP Equity_DX_ACTIVE_UTILIZATION_MV,MLONL FP Equity_DX_BROKER_SI_CON_RATIO,MLONL FP Equity_DX_DEMAND_SUPPLY_RATIO,MLONL FP Equity_PX_LAST
2015-07-28,,,,,,,,,,,,,,,,,,,,5.2
2015-09-01,,,,,,,,,,,,,,,,,,,,5.7
2015-09-02,,,,,,,,,,,,,,,,,,,,6.25
2015-10-16,,,,,,,,,,,,,,,,,,,,6.85
2015-12-07,,,,,,,,,,,,,,,,,,,,5.0
2015-12-09,,,,,,,,,,,,,,,,,,,,5.0
2016-01-07,,,,,,,,,,,,,,,,,,,,7.0
2017-05-19,,,,,,,,,,,,,,,,,,,,4.37
2017-06-09,,,,,,,,,,,,,,,,,,,,5.8
2017-07-25,,,,,,,,,,,,,,,,,,,,5.8
2017-08-24,,,,,,,,,,,,,,,,,,,,2.73
2017-08-30,,,,,,,,,,,,,,,,,,,,5.8
2017-09-06,,,,,,,,,,,,,,,,,,,,7.01
2017-09-15,,,,,,,,,,,,,,,,,,,,3.5
2017-09-20,,,,,,,,,,,,,,,,,,,,3.16
2017-09-25,,,,,,,,,,,,,,,,,,,,4.19
2017-09-28,,,,,,,,,,,,,,,,,,,,7.1
2017-11-03,,,,,,,,,,,,,,,,,,,,7.02
2018-01-03,,,,,,,,,,,,,,,,,,,,6.1
2018-01-05,,,,,,,,,,,,,,,,,,,,6.7
2018-01-23,,,,,,,,,,,,,,,,,,,,2.92
2018-01-24,,,,,,,,,,,,,,,,,,,,3.2
2018-02-06,,,,,,,,,,,,,,,,,,,,6.75
2018-02-07,,,,,,,,,,,,,,,,,,,,6.7
2018-02-20,,,,,,,,,,,,,,,,,,,,5.8
2018-02-28,,,,,,,,,,,,,,,,,,,,3.5
2018-03-15,,,,,,,,,,,,,,,,,,,,1.72
2018-03-23,,,,,,,,,,,,,,,,,,,,3.5
2018-04-04,,,,,,,,,,,,,,,,,,,,4.0
2018-04-09,,,,,,,,,,,,,,,,,,,,4.0
2018-05-11,,,,,,,,,,,,,,,,,,,,3.96
2018-05-16,,,,,,,,,,,,,,,,,,,,3.5
2018-06-11,,,,,,,,,,,,,,,,,,,,5.5
2018-06-21,,,,,,,,,,,,,,,,,,,,1.98
2018-06-22,,,,,,,,,,,,,,,,,,,,2.0
2018-06-28,,,,,,,,,,,,,,,,,,,,2.6
2018-07-13,,,,,,,,,,,,,,,,,,,,2.44
2018-07-31,,,,,,,,,,,,,,,,,,,,1.75
2018-08-15,,,,,,,,,,,,,,,,,,,,2.44
2018-08-27,,,,,,,,,,,,,,,,,,,,1.89
2018-09-06,,,,,,,,,,,,,,,,,,,,1.21
2018-09-12,,,,,,,,,,,,,,,,,,,,2.2
2018-09-21,,,,,,,,,,,,,,,,,,,,2.44
2018-10-03,,,,,,,,,,,,,,,,,,,,3.3
2018-12-07,,,,,,,,,,,,,,,,,,,,2.16
2019-02-20,,,,,,,,,,,,,,,,,,,,3.3
2019-06-14,,,,,,,,,,,,,,,,,,,,3.3
2020-02-14,,,,,,,,,,,,,,,,,,,,1.1
2020-03-16,,,,,,,,,,,,,,,,,,,,1.18
2020-07-22,,,,,,,,,,,,,,,,,,,,0.965
2020-08-14,,,,,,,,,,,,,,,,,,,,0.258
2020-09-15,,,,,,,,,,,,,,,,,,,,0.31
2020-09-17,,,,,,,,,,,,,,,,,,,,0.41
2020-09-21,,,,,,,,,,,,,,,,,,,,0.645
2020-09-23,,,,,,,,,,,,,,,,,,,,0.935
2020-09-25,,,,,,,,,,,,,,,,,,,,1.0
2020-09-28,,,,,,,,,,,,,,,,,,,,1.33
2020-09-29,,,,,,,,,,,,,,,,,,,,1.34
2020-09-30,,,,,,,,,,,,,,,,,,,,1.4
2020-10-02,,,,,,,,,,,,,,,,,,,,1.35
2020-10-05,,,,,,,,,,,,,,,,,,,,1.48
2020-10-08,,,,,,,,,,,,,,,,,,,,1.34
2020-10-12,,,,,,,,,,,,,,,,,,,,1.46
2020-10-14,,,,,,,,,,,,,,,,,,,,1.33
2020-10-23,,,,,,,,,,,,,,,,,,,,2.1
2020-10-29,,,,,,,,,,,,,,,,,,,,1.9
2020-11-20,,,,,,,,,,,,,,,,,,,,1.87
2020-11-23,,,,,,,,,,,,,,,,,,,,1.38
2020-11-27,,,,,,,,,,,,,,,,,,,,1.9
2020-12-01,,,,,,,,,,,,,,,,,,,,1.9
2020-12-02,,,,,,,,,,,,,,,,,,,,1.71
2020-12-03,,,,,,,,,,,,,,,,,,,,1.54
2020-12-10,,,,,,,,,,,,,,,,,,,,1.39
2021-01-14,,,,,,,,,,,,,,,,,,,,1.96
2021-01-15,,,,,,,,,,,,,,,,,,,,1.96
2021-01-19,,,,,,,,,,,,,,,,,,,,1.96
2021-01-20,,,,,,,,,,,,,,,,,,,,1.96
2021-02-03,,,,,,,,,,,,,,,,,,,,1.96
2021-02-25,,,,,,,,,,,,,,,,,,,,1.42
2021-02-26,,,,,,,,,,,,,,,,,,,,1.42
2021-03-01,,,,,,,,,,,,,,,,,,,,1.4
2021-03-02,,,,,,,,,,,,,,,,,,,,1.6
2021-03-03,,,,,,,,,,,,,,,,,,,,1.44
2021-03-04,,,,,,,,,,,,,,,,,,,,1.44
2021-03-15,,,,,,,,,,,,,,,,,,,,2.0
2021-03-17,,,,,,,,,,,,,,,,,,,,1.62
2021-03-18,,,,,,,,,,,,,,,,,,,,1.62
2021-03-26,,,,,,,,,,,,,,,,,,,,1.62
2021-04-09,,,,,,,,,,,,,,,,,,,,1.31
2021-04-19,,,,,,,,,,,,,,,,,,,,2.1
2021-04-21,,,,,,,,,,,,,,,,,,,,1.55
2021-05-14,,,,,,,,,,,,,,,,,,,,2.0
2021-05-19,,,,,,,,,,,,,,,,,,,,2.1
2021-05-21,,,,,,,,,,,,,,,,,,,,2.1
2021-06-10,,,,,,,,,,,,,,,,,,,,1.31
2021-06-17,,,,,,,,,,,,,,,,,,,,2.0
2021-06-21,,,,,,,,,,,,,,,,,,,,2.0
2021-06-29,,,,,,,,,,,,,,,,,,,,2.0
2021-07-23,,,,,,,,,,,,,,,,,,,,1.31
2021-07-27,,,,,,,,,,,,,,,,,,,,1.31
2021-07-30,,,,,,,,,,,,,,,,,,,,1.73
2021-08-31,,,,,,,,,,,,,,,,,,,,2.04
2021-09-06,,,,,,,,,,,,,,,,,,,,2.02
2021-09-16,,,,,,,,,,,,,,,,,,,,2.02
2021-09-29,,,,,,,,,,,,,,,,,,,,1.59
2021-10-08,,,,,,,,,,,,,,,,,,,,2.04
2021-10-27,,,,,,,,,,,,,,,,,,,,2.04
2021-11-02,,,,,,,,,,,,,,,,,,,,2.24
2021-11-08,,,,,,,,,,,,,,,,,,,,2.7
2021-11-09,,,,,,,,,,,,,,,,,,,,3.22
2021-11-12,,,,,,,,,,,,,,,,,,,,2.04
2021-11-22,,,,,,,,,,,,,,,,,,,,2.56
2021-11-23,,,,,,,,,,,,,,,,,,,,2.56
2021-12-03,,,,,,,,,,,,,,,,,,,,2.56
2021-12-07,,,,,,,,,,,,,,,,,,,,2.76
2021-12-10,,,,,,,,,,,,,,,,,,,,3.16
2021-12-14,,,,,,,,,,,,,,,,,,,,2.34
2021-12-20,,,,,,,,,,,,,,,,,,,,2.54
2021-12-24,,,,,,,,,,,,,,,,,,,,3.16
2021-12-28,,,,,,,,,,,,,,,,,,,,3.16
2022-01-04,,,,,,,,,,,,,,,,,,,,2.3
2022-01-21,,,,,,,,,,,,,,,,,,,,3.26
2022-01-26,,,,,,,,,,,,,,,,,,,,3.26
2022-01-31,,,,,,,,,,,,,,,,,,,,3.26
2022-03-15,,,,,,,,,,,,,,,,,,,,3.94
2022-04-06,,,,,,,,,,,,,,,,,,,,3.94
2022-04-11,,,,,,,,,,,,,,,,,,,,3.92
2022-05-05,,,,,,,,,,,,,,,,,,,,4.72
2022-05-12,,,,,,,,,,,,,,,,,,,,5.4
2022-05-13,,,,,,,,,,,,,,,,,,,,5.4
2022-05-16,,,,,,,,,,,,,,,,,,,,5.4
2022-05-24,,,,,,,,,,,,,,,,,,,,5.15
2022-06-14,,,,,,,,,,,,,,,,,,,,5.15
2022-07-13,,,,,,,,,,,,,,,,,,,,3.48
2022-07-20,,,,,,,,,,,,,,,,,,,,3.12
2022-07-21,,,,,,,,,,,,,,,,,,,,2.42
2022-07-27,,,,,,,,,,,,,,,,,,,,2.42
2022-07-29,,,,,,,,,,,,,,,,,,,,2.42
2022-08-02,,,,,,,,,,,,,,,,,,,,2.04
2022-08-09,,,,,,,,,,,,,,,,,,,,2.04
2022-08-12,,,,,,,,,,,,,,,,,,,,1.97
2022-08-15,,,,,,,,,,,,,,,,,,,,1.97
2022-08-17,,,,,,,,,,,,,,,,,,,,1.97
2022-08-18,,,,,,,,,,,,,,,,,,,,1.97
2022-08-23,,,,,,,,,,,,,,,,,,,,1.72
2022-08-24,,,,,,,,,,,,,,,,,,,,2.1
2022-08-26,,,,,,,,,,,,,,,,,,,,2.5
2022-08-30,,,,,,,,,,,,,,,,,,,,2.5
2022-09-30,,,,,,,,,,,,,,,,,,,,2.0
2022-10-05,,,,,,,,,,,,,,,,,,,,2.0
2022-10-06,,,,,,,,,,,,,,,,,,,,1.85
2022-10-10,,,,,,,,,,,,,,,,,,,,1.72
2022-10-13,,,,,,,,,,,,,,,,,,,,1.72
2022-10-17,,,,,,,,,,,,,,,,,,,,1.72
2022-10-20,,,,,,,,,,,,,,,,,,,,1.63
2022-10-24,,,,,,,,,,,,,,,,,,,,1.61
2022-10-25,,,,,,,,,,,,,,,,,,,,1.53
2022-10-31,,,,,,,,,,,,,,,,,,,,1.53
2022-11-02,,,,,,,,,,,,,,,,,,,,1.46
2022-11-04,,,,,,,,,,,,,,,,,,,,1.36
2022-11-07,,,,,,,,,,,,,,,,,,,,1.36
2022-11-08,,,,,,,,,,,,,,,,,,,,1.37
2022-11-09,,,,,,,,,,,,,,,,,,,,1.36
2022-11-10,,,,,,,,,,,,,,,,,,,,1.35
2022-11-14,,,,,,,,,,,,,,,,,,,,1.36
2022-11-15,,,,,,,,,,,,,,,,,,,,1.35
2022-11-16,,,,,,,,,,,,,,,,,,,,1.35
2022-11-17,,,,,,,,,,,,,,,,,,,,1.35
2022-11-18,,,,,,,,,,,,,,,,,,,,1.26
2022-11-24,,,,,,,,,,,,,,,,,,,,1.3
2022-11-25,,,,,,,,,,,,,,,,,,,,1.3
2022-11-28,,,,,,,,,,,,,,,,,,,,1.29
2022-11-29,,,,,,,,,,,,,,,,,,,,1.3
2022-11-30,,,,,,,,,,,,,,,,,,,,1.26
2022-12-01,,,,,,,,,,,,,,,,,,,,1.26
2022-12-02,,,,,,,,,,,,,,,,,,,,1.26
2022-12-05,,,,,,,,,,,,,,,,,,,,1.26
2022-12-06,,,,,,,,,,,,,,,,,,,,1.26
2022-12-07,,,,,,,,,,,,,,,,,,,,1.26
2022-12-08,,,,,,,,,,,,,,,,,,,,1.26
2022-12-09,,,,,,,,,,,,,,,,,,,,1.26
2022-12-12,,,,,,,,,,,,,,,,,,,,1.16
2022-12-13,,,,,,,,,,,,,,,,,,,,1.2
2022-12-14,,,,,,,,,,,,,,,,,,,,1.2
2022-12-15,,,,,,,,,,,,,,,,,,,,1.2
2022-12-16,,,,,,,,,,,,,,,,,,,,1.27
2022-12-19,,,,,,,,,,,,,,,,,,,,1.47
2022-12-20,,,,,,,,,,,,,,,,,,,,1.48
2022-12-21,,,,,,,,,,,,,,,,,,,,1.48
2022-12-22,,,,,,,,,,,,,,,,,,,,1.48
2022-12-23,,,,,,,,,,,,,,,,,,,,1.96
2022-12-27,,,,,,,,,,,,,,,,,,,,1.96
2022-12-28,,,,,,,,,,,,,,,,,,,,2.5
2022-12-29,,,,,,,,,,,,,,,,,,,,2.5
2022-12-30,,,,,,,,,,,,,,,,,,,,2.38
2023-01-02,,,,,,,,,,,,,,,,,,,,2.38
2023-01-03,,,,,,,,,,,,,,,,,,,,2.08
2023-01-04,,,,,,,,,,,,,,,,,,,,2.5
2023-01-05,,,,,,,,,,,,,,,,,,,,2.5
2023-01-06,,,,,,,,,,,,,,,,,,,,2.5
2023-01-09,,,,,,,,,,,,,,,,,,,,2.36
2023-01-10,,,,,,,,,,,,,,,,,,,,2.36
2023-01-11,,,,,,,,,,,,,,,,,,,,2.36
2023-01-12,,,,,,,,,,,,,,,,,,,,2.36
2023-01-13,,,,,,,,,,,,,,,,,,,,2.2
2023-01-16,,,,,,,,,,,,,,,,,,,,2.2
2023-01-17,,,,,,,,,,,,,,,,,,,,2.2
2023-01-18,,,,,,,,,,,,,,,,,,,,2.2
2023-01-19,,,,,,,,,,,,,,,,,,,,2.2
2023-01-20,,,,,,,,,,,,,,,,,,,,2.2
2023-01-23,,,,,,,,,,,,,,,,,,,,2.2
2023-01-24,,,,,,,,,,,,,,,,,,,,2.2
2023-01-25,,,,,,,,,,,,,,,,,,,,2.2
2023-01-26,,,,,,,,,,,,,,,,,,,,2.2
2023-01-27,,,,,,,,,,,,,,,,,,,,2.2
2023-01-30,,,,,,,,,,,,,,,,,,,,1.76
2023-01-31,,,,,,,,,,,,,,,,,,,,1.76
2023-02-01,,,,,,,,,,,,,,,,,,,,1.76
2023-02-02,,,,,,,,,,,,,,,,,,,,2.0
2023-02-03,,,,,,,,,,,,,,,,,,,,2.0
2023-02-06,,,,,,,,,,,,,,,,,,,,2.0
2023-02-07,,,,,,,,,,,,,,,,,,,,2.0
2023-02-08,,,,,,,,,,,,,,,,,,,,1.8
2023-02-09,,,,,,,,,,,,,,,,,,,,1.8
2023-02-10,,,,,,,,,,,,,,,,,,,,1.78
2023-02-13,,,,,,,,,,,,,,,,,,,,1.78
2023-02-14,,,,,,,,,,,,,,,,,,,,1.8
2023-02-15,,,,,,,,,,,,,,,,,,,,1.84
2023-02-16,,,,,,,,,,,,,,,,,,,,1.84
2023-02-17,,,,,,,,,,,,,,,,,,,,1.84
2023-02-20,,,,,,,,,,,,,,,,,,,,1.8
2023-02-21,,,,,,,,,,,,,,,,,,,,1.85
2023-02-22,,,,,,,,,,,,,,,,,,,,2.06
2023-02-23,,,,,,,,,,,,,,,,,,,,2.06
2023-02-24,,,,,,,,,,,,,,,,,,,,2.06
2023-02-27,,,,,,,,,,,,,,,,,,,,2.06
2023-02-28,,,,,,,,,,,,,,,,,,,,2.44
2023-03-01,,,,,,,,,,,,,,,,,,,,2.44
2023-03-02,,,,,,,,,,,,,,,,,,,,2.44
2023-03-03,,,,,,,,,,,,,,,,,,,,2.44
2023-03-06,,,,,,,,,,,,,,,,,,,,2.44
2023-03-07,,,,,,,,,,,,,,,,,,,,2.44
2023-03-08,,,,,,,,,,,,,,,,,,,,2.06
2023-03-09,,,,,,,,,,,,,,,,,,,,2.06
2023-03-10,,,,,,,,,,,,,,,,,,,,2.06
2023-03-13,,,,,,,,,,,,,,,,,,,,2.06
2023-03-14,,,,,,,,,,,,,,,,,,,,2.06
2023-03-15,,,,,,,,,,,,,,,,,,,,2.06
2023-03-16,,,,,,,,,,,,,,,,,,,,2.06
2023-03-17,,,,,,,,,,,,,,,,,,,,2.06
2023-03-20,,,,,,,,,,,,,,,,,,,,2.66
2023-03-21,,,,,,,,,,,,,,,,,,,,2.66
2023-03-22,,,,,,,,,,,,,,,,,,,,2.66
2023-03-23,,,,,,,,,,,,,,,,,,,,2.66
2023-03-24,,,,,,,,,,,,,,,,,,,,2.66
2023-03-27,,,,,,,,,,,,,,,,,,,,2.64
2023-03-28,,,,,,,,,,,,,,,,,,,,2.64
2023-03-29,,,,,,,,,,,,,,,,,,,,2.64
2023-03-30,,,,,,,,,,,,,,,,,,,,2.64
2023-03-31,,,,,,,,,,,,,,,,,,,,2.64
2023-04-03,,,,,,,,,,,,,,,,,,,,2.64
2023-04-04,,,,,,,,,,,,,,,,,,,,2.64
2023-04-05,,,,,,,,,,,,,,,,,,,,2.64
2023-04-06,,,,,,,,,,,,,,,,,,,,2.64
2023-04-11,,,,,,,,,,,,,,,,,,,,2.64
2023-04-12,,,,,,,,,,,,,,,,,,,,2.64
2023-04-13,,,,,,,,,,,,,,,,,,,,2.64
2023-04-14,,,,,,,,,,,,,,,,,,,,2.9
2023-04-17,,,,,,,,,,,,,,,,,,,,2.9
2023-04-18,,,,,,,,,,,,,,,,,,,,2.9
2023-04-19,,,,,,,,,,,,,,,,,,,,2.9
2023-04-20,,,,,,,,,,,,,,,,,,,,2.9
2023-04-21,,,,,,,,,,,,,,,,,,,,2.9
2023-04-24,,,,,,,,,,,,,,,,,,,,2.9
2023-04-25,,,,,,,,,,,,,,,,,,,,2.9
2023-04-26,,,,,,,,,,,,,,,,,,,,2.9
2023-04-27,,,,,,,,,,,,,,,,,,,,2.64
2023-04-28,,,,,,,,,,,,,,,,,,,,2.5
2023-05-02,,,,,,,,,,,,,,,,,,,,2.5
2023-05-03,,,,,,,,,,,,,,,,,,,,2.5
2023-05-04,,,,,,,,,,,,,,,,,,,,2.5
2023-05-05,,,,,,,,,,,,,,,,,,,,2.5
2023-05-08,,,,,,,,,,,,,,,,,,,,2.9
2023-05-09,,,,,,,,,,,,,,,,,,,,2.9
2023-05-10,,,,,,,,,,,,,,,,,,,,2.9
2023-05-11,,,,,,,,,,,,,,,,,,,,2.9
2023-05-12,,,,,,,,,,,,,,,,,,,,2.9
2023-05-15,,,,,,,,,,,,,,,,,,,,2.9
2023-05-16,,,,,,,,,,,,,,,,,,,,2.9
2023-05-17,,,,,,,,,,,,,,,,,,,,2.9
2023-05-18,,,,,,,,,,,,,,,,,,,,2.2
2023-05-19,,,,,,,,,,,,,,,,,,,,2.2
2023-05-22,,,,,,,,,,,,,,,,,,,,2.2
2023-05-23,,,,,,,,,,,,,,,,,,,,2.2
2023-05-24,,,,,,,,,,,,,,,,,,,,2.2
2023-05-25,,,,,,,,,,,,,,,,,,,,2.2
2023-05-26,,,,,,,,,,,,,,,,,,,,2.86
2023-05-29,,,,,,,,,,,,,,,,,,,,2.88
2023-05-30,,,,,,,,,,,,,,,,,,,,2.88
2023-05-31,,,,,,,,,,,,,,,,,,,,2.88
2023-06-01,,,,,,,,,,,,,,,,,,,,2.88
2023-06-02,,,,,,,,,,,,,,,,,,,,2.88
2023-06-05,,,,,,,,,,,,,,,,,,,,2.88
2023-06-06,,,,,,,,,,,,,,,,,,,,2.88
2023-06-07,,,,,,,,,,,,,,,,,,,,2.88
2023-06-08,,,,,,,,,,,,,,,,,,,,2.88
2023-06-09,,,,,,,,,,,,,,,,,,,,2.88
2023-06-12,,,,,,,,,,,,,,,,,,,,2.88
2023-06-13,,,,,,,,,,,,,,,,,,,,2.88
2023-06-14,,,,,,,,,,,,,,,,,,,,2.88
2023-06-15,,,,,,,,,,,,,,,,,,,,2.88
2023-06-16,,,,,,,,,,,,,,,,,,,,2.3
2023-06-19,,,,,,,,,,,,,,,,,,,,2.3
2023-06-20,,,,,,,,,,,,,,,,,,,,2.3
2023-06-21,,,,,,,,,,,,,,,,,,,,2.3
2023-06-22,,,,,,,,,,,,,,,,,,,,2.3
2023-06-23,,,,,,,,,,,,,,,,,,,,2.3
2023-06-26,,,,,,,,,,,,,,,,,,,,2.2
2023-06-27,,,,,,,,,,,,,,,,,,,,2.4
2023-06-28,,,,,,,,,,,,,,,,,,,,2.4
2023-06-29,,,,,,,,,,,,,,,,,,,,2.4
2023-06-30,,,,,,,,,,,,,,,,,,,,2.4
2023-07-03,,,,,,,,,,,,,,,,,,,,2.4
2023-07-04,,,,,,,,,,,,,,,,,,,,2.4
2023-07-05,,,,,,,,,,,,,,,,,,,,2.86
2023-07-06,,,,,,,,,,,,,,,,,,,,2.86
2023-07-07,,,,,,,,,,,,,,,,,,,,2.86
2023-07-10,,,,,,,,,,,,,,,,,,,,2.86
2023-07-11,,,,,,,,,,,,,,,,,,,,2.1
2023-07-12,,,,,,,,,,,,,,,,,,,,2.2
2023-07-13,,,,,,,,,,,,,,,,,,,,2.2
2023-07-14,,,,,,,,,,,,,,,,,,,,2.2
2023-07-17,,,,,,,,,,,,,,,,,,,,2.2
2023-07-18,,,,,,,,,,,,,,,,,,,,2.8
2023-07-19,,,,,,,,,,,,,,,,,,,,2.8
2023-07-20,,,,,,,,,,,,,,,,,,,,2.8
2023-07-21,,,,,,,,,,,,,,,,,,,,2.5
2023-07-24,,,,,,,,,,,,,,,,,,,,2.5
2023-07-25,,,,,,,,,,,,,,,,,,,,2.7
2023-07-26,,,,,,,,,,,,,,,,,,,,2.7
2023-07-27,,,,,,,,,,,,,,,,,,,,2.7
2023-07-28,,,,,,,,,,,,,,,,,,,,2.7
2023-07-31,,,,,,,,,,,,,,,,,,,,2.9
2023-08-01,,,,,,,,,,,,,,,,,,,,2.8
2023-08-02,,,,,,,,,,,,,,,,,,,,2.8
2023-08-03,,,,,,,,,,,,,,,,,,,,2.6
2023-08-04,,,,,,,,,,,,,,,,,,,,2.6
2023-08-07,,,,,,,,,,,,,,,,,,,,2.9
2023-08-08,,,,,,,,,,,,,,,,,,,,2.9
2023-08-09,,,,,,,,,,,,,,,,,,,,2.9
2023-08-10,,,,,,,,,,,,,,,,,,,,2.9
2023-08-11,,,,,,,,,,,,,,,,,,,,2.9
2023-08-14,,,,,,,,,,,,,,,,,,,,2.9
2023-08-15,,,,,,,,,,,,,,,,,,,,2.9
2023-08-16,,,,,,,,,,,,,,,,,,,,2.9
2023-08-17,,,,,,,,,,,,,,,,,,,,2.9
2023-08-18,,,,,,,,,,,,,,,,,,,,2.9
2023-08-21,,,,,,,,,,,,,,,,,,,,2.9
2023-08-22,,,,,,,,,,,,,,,,,,,,2.6
2023-08-23,,,,,,,,,,,,,,,,,,,,2.8
2023-08-24,,,,,,,,,,,,,,,,,,,,2.8
2023-08-25,,,,,,,,,,,,,,,,,,,,2.8
2023-08-28,,,,,,,,,,,,,,,,,,,,2.8
2023-08-29,,,,,,,,,,,,,,,,,,,,2.8
2023-08-30,,,,,,,,,,,,,,,,,,,,2.6
