,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_y,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity
2006-03-08,280211.0,14536738.79,4.12,9.43,2.04,11.9,1.0,12824770.38,33000.0,247211.0,1711968.41,,,,3.4,,2175.0,,,59938.0,,,,3.4,,0.09,,,1.85,,,,4.73,4.25,665003.0,34498912.98,,2.27,44.84,8.49,0.5842,75.4,0.3606
2006-03-15,217455.0,10524182.04,3.2,5.28,1.58,9.14,1.0,9653035.01,18000.0,199455.0,871147.03,,,,,,,,0.84,,15000.0,,,,,,,47756.0,0.88,1.79,,,2.95,2.41,593111.0,28704826.89,,0.0,100.0,9.68,0.6811,81.77,0.2916
2006-03-22,233943.0,10929502.69,3.44,5.0,1.7,9.88,1.0,10929502.69,22057.0,233943.0,1030473.41,,,,1.91,,,,0.88,40017.0,18000.0,,,1.91,,,22057.0,5529.0,0.93,0.28,,,3.46,3.46,615049.0,28734263.04,,26.78,3.36,9.42,0.6866,82.11,0.3672
2006-03-29,236196.0,10557240.11,3.47,4.84,1.72,9.95,1.0,10557240.11,21954.0,236196.0,981276.78,,,,0.11,,,,0.01,2253.0,103.0,,,0.11,,,,,0.92,,,,3.48,3.48,608613.0,27203143.04,,26.53,3.37,8.95,0.6913,82.44,0.3746
2006-04-05,241980.0,10753461.78,3.56,5.32,1.76,10.2,1.0,10753461.78,16155.0,241980.0,717919.56,,,,0.99,,,,0.24,21276.0,5799.0,,,0.99,,,,7266.0,0.68,0.34,,0.4,2.65,2.65,592728.0,26340515.31,,25.51,2.6,6.5,0.7832,88.1,0.3974
2006-04-12,290612.0,13349748.89,4.28,6.46,2.11,12.47,1.0,13349748.89,0.0,290612.0,0.0,0.52,,,1.96,,,10891.0,,42326.0,,0.52,,1.96,,,,4585.0,0.0,0.2,0.68,,0.0,0.0,395556.0,18170527.27,16155.0,17.65,0.0,9.56,0.7083,83.46,0.7347
2006-04-19,294262.0,13511805.37,4.33,6.55,2.14,12.68,1.0,13511805.37,0.0,294262.0,0.0,,,,0.27,,,,,5681.0,,,,0.27,,,,2031.0,0.0,0.09,,,0.0,0.0,385447.0,17698801.9,,17.19,0.0,9.43,0.7209,84.26,0.7634
2006-04-26,303241.0,14285576.66,4.46,7.76,2.21,13.09,1.0,13932254.3,7500.0,295741.0,353322.36,,,,0.08,,,,,1592.0,,,,0.08,,,7500.0,113.0,0.36,0.0,,,1.94,1.94,379173.0,17862706.42,,16.91,2.09,9.12,0.6766,81.57,0.7842
2006-05-03,305447.0,15088585.59,4.49,10.34,2.22,13.24,1.0,14718097.77,7500.0,297947.0,370487.82,,,,0.1,,,,,2206.0,,,,0.1,,,,,0.39,,,,1.85,1.85,397959.0,19658528.1,,18.24,2.1,9.76,0.663,80.65,0.7533
2006-05-10,317564.0,17095354.73,4.67,13.99,2.31,13.99,1.0,16691608.84,7500.0,310064.0,403745.89,,,,1.01,,,,,17117.0,,,,1.01,,,,5000.0,0.41,0.28,,,1.69,1.69,437195.0,23535424.7,,20.49,1.95,9.65,0.5728,74.36,0.7141
2006-05-17,306995.0,16365377.1,4.52,13.98,2.23,13.47,1.0,15965564.96,7500.0,299495.0,399812.14,,,,0.04,,,,,1057.0,,,,0.04,,,,11626.0,0.42,0.56,,,1.38,1.38,536098.0,28578465.23,,25.56,1.62,10.32,0.5557,73.06,0.5647
2006-05-24,340651.0,16236365.79,5.01,14.64,2.48,15.0,1.0,15878895.11,7500.0,333151.0,357470.68,,,,0.6,,20000.0,,,14304.0,,,,0.6,,1.01,,648.0,0.37,0.02,,,1.34,1.34,552845.0,26350116.81,,25.54,1.44,15.76,0.5085,68.8,0.6079
2006-05-31,353995.0,17334865.76,5.21,17.29,2.57,15.78,1.0,16918627.22,33479.0,345495.0,1639441.15,,24979.0,,0.55,1.11,3000.0,,,9441.0,,,24979.0,0.55,,0.15,1000.0,97.0,1.56,0.0,,,4.7,4.7,679195.0,33259662.27,,31.5,4.71,15.95,0.489,67.34,0.4967
2006-06-07,351222.0,16981364.26,5.17,17.04,2.55,15.57,1.0,16570394.57,34810.0,342722.0,1683041.75,,,1331.0,0.05,,,,,1217.0,,,,0.05,1331.0,,,3990.0,1.6,0.24,,,4.71,4.71,704361.0,34055414.27,,32.6,4.68,15.68,0.4858,67.12,0.4752
2006-06-14,362000.0,15997330.12,5.33,15.61,2.63,15.73,1.0,15621702.2,31370.0,353500.0,1386287.97,,,,0.48,,,,0.17,13637.0,3440.0,,,0.48,,,,2859.0,1.4,0.26,,,4.57,4.57,654330.0,28915837.06,,28.79,4.64,14.13,0.4774,66.43,0.5279
2006-06-21,385880.0,18204430.08,5.68,15.22,2.81,16.85,1.0,15012286.0,92259.0,318216.0,4352447.69,,,1725.0,,,,,0.05,,1000.0,,,,1725.0,,60164.0,35284.0,4.08,1.56,,,12.45,12.45,648978.0,30616447.14,,29.32,12.23,14.3,0.3965,59.69,0.5206
2006-06-28,381657.0,17655800.53,5.61,19.13,2.78,16.56,1.0,13635634.84,106235.0,294755.0,4914527.89,,,1438.0,0.51,,,,0.73,11235.0,16611.0,,,0.51,1438.0,,29148.0,34696.0,4.79,1.75,,,14.2,14.2,641843.0,29692241.94,,28.97,14.18,14.83,0.312,50.59,0.5102
2006-07-03,369049.0,18212824.13,5.43,20.14,2.68,16.41,1.0,14874841.92,98243.0,301411.0,4848360.19,,,12151.0,0.67,,,,0.98,8797.0,20142.0,,,0.67,12151.0,,,2141.0,4.43,0.03,,,13.16,13.16,648237.0,31990945.58,,30.12,12.84,15.51,0.3336,52.71,0.4944
2006-07-04,346558.0,17648186.82,5.1,19.74,2.52,15.41,1.0,14156162.07,99600.0,277985.0,5072049.72,,,1357.0,,,,,,,,,,,1357.0,,,23426.0,4.52,1.1,,,13.22,13.22,654076.0,33308293.11,,30.57,12.88,16.79,0.3367,52.75,0.4598
2006-07-05,346236.0,17268587.58,5.09,19.34,2.52,15.4,1.0,13756176.94,121157.0,275812.0,6042728.85,,,21557.0,,,,,,,,,,,21557.0,,,2173.0,5.47,0.08,,,15.56,15.56,657621.0,32798974.79,,31.14,14.95,17.34,0.3346,52.44,0.4446
2006-07-06,342627.0,16680160.95,5.04,19.15,2.49,15.09,1.0,13284073.23,118063.0,272868.0,5747678.5,,,178.0,,,,,0.18,,3272.0,,,,178.0,,,2944.0,5.29,0.18,,,15.18,15.18,659466.0,32104880.88,,30.7,14.69,17.32,0.3397,53.12,0.4407
2006-07-07,343267.0,16433068.99,5.05,19.19,2.5,15.04,1.0,13062888.86,118621.0,272868.0,5678690.57,,,928.0,,,,,0.02,,370.0,,,,928.0,,,,5.28,,,,15.18,15.18,662672.0,31723803.03,,30.5,14.76,17.48,0.3417,53.32,0.4394
2006-07-10,343519.0,16379614.42,5.05,18.57,2.5,15.0,1.0,13010845.48,118901.0,272868.0,5669417.22,,,366.0,,,,,0.01,,85.0,,,,366.0,,,,5.26,,,,15.3,15.3,658208.0,31384561.69,,30.13,14.86,17.54,0.3433,53.46,0.442
2006-07-11,337383.0,15990516.48,4.96,18.13,2.45,14.68,1.0,12775094.78,115940.0,269541.0,5495061.93,,,78.0,,,,,0.14,,3039.0,,,,78.0,,,3327.0,5.11,0.16,,,15.16,15.16,648674.0,30744383.35,,29.56,14.75,17.03,0.3432,53.55,0.4412
2006-07-12,329476.0,15835698.63,4.85,17.66,2.4,14.33,1.0,12589744.73,108842.0,261941.0,5231303.98,,,,,,,,0.31,,7098.0,,,,,,,7600.0,4.8,0.37,,,14.55,14.55,639165.0,30720369.06,,29.15,14.15,17.34,0.3496,53.97,0.4405
2006-07-13,325095.0,15156999.43,4.78,17.26,2.36,14.02,1.0,11946799.21,110833.0,256241.0,5167399.43,,,1991.0,,,,,,,,,,,1991.0,,,5700.0,4.84,0.28,,,14.93,14.93,631505.0,29442842.63,,28.51,14.52,17.98,0.3627,55.18,0.4379
2006-07-14,325208.0,15246003.03,4.78,16.89,2.37,13.99,1.0,12012776.63,110591.0,256241.0,5184591.77,,,164.0,,,,,0.02,,406.0,,,,164.0,,,,4.82,,,,14.87,14.87,633322.0,29690626.09,,28.43,14.5,18.01,0.3639,55.26,0.4372
2006-07-17,320239.0,14686283.41,4.71,16.88,2.33,13.67,1.0,11568877.97,110121.0,252263.0,5050191.31,,,521.0,0.05,,,,0.06,960.0,991.0,,,0.05,521.0,,,4938.0,4.76,0.26,,,14.88,14.88,630137.0,28898324.6,,28.12,14.48,17.98,0.3634,55.23,0.4326
2006-07-18,320715.0,14680586.86,4.72,16.6,2.33,13.65,1.0,11547226.92,110372.0,252263.0,5052229.34,,,692.0,,,,,0.02,,441.0,,,,692.0,,,,4.76,,,,14.84,14.84,633608.0,29003125.13,,28.05,14.5,18.1,0.3646,55.31,0.4311
2006-07-19,263663.0,12026312.29,3.88,12.99,1.92,11.21,1.0,11551942.93,50656.0,253263.0,2310543.67,,,,0.04,,,,2.54,1000.0,59716.0,,,0.04,,,,,2.21,,,,9.38,7.59,489177.0,22312555.67,,1.37,61.73,18.44,0.4935,67.38,0.3953
2006-07-20,264663.0,12367223.74,3.89,12.17,1.93,11.32,1.0,11881250.54,50415.0,254263.0,2355801.85,,,,0.08,,,,0.0,1000.0,242.0,,,0.08,,,,,2.22,,,,9.31,7.54,491361.0,22960411.64,,1.37,61.89,19.21,0.487,66.69,0.3956
2006-07-21,266702.0,12462502.53,3.92,12.36,1.94,11.43,1.0,11976529.32,47295.0,256302.0,2210009.89,,,,0.25,,,,0.13,5000.0,3120.0,,,0.25,,,,2961.0,2.09,0.15,,,8.66,7.03,498639.0,23300499.43,,1.57,57.05,19.88,0.481,66.04,0.3962
2006-07-24,263998.0,12451958.24,3.88,12.53,1.92,11.34,1.0,11961422.84,47342.0,253598.0,2232973.76,,,80.0,,,,,0.0,,34.0,,,,80.0,,,2704.0,2.1,0.12,,,7.3,7.3,600863.0,28340824.5,,26.82,7.26,20.24,0.4816,66.0,0.4073
2006-07-25,263998.0,12404124.2,3.88,12.82,1.92,11.35,1.0,11915473.18,47394.0,253598.0,2226839.08,,,108.0,,,,,0.0,,55.0,,,,108.0,,,,2.1,,,,7.42,7.42,591612.0,27797289.08,,26.42,7.37,20.19,0.4812,65.98,0.4131
2006-07-26,263998.0,12260622.05,3.88,14.1,1.92,11.29,1.0,11777624.19,47990.0,253598.0,2228756.48,,,766.0,,,,,0.01,,170.0,,,,766.0,,,,2.12,,,,7.65,7.65,578952.0,26887747.85,,25.69,7.61,19.94,0.4842,66.28,0.4211
2006-07-27,263998.0,12789314.17,3.88,14.89,1.92,11.41,1.0,12285488.89,47670.0,253598.0,2309360.7,,,,,,,,0.0,,320.0,,,,,,,,2.13,,,,7.47,7.47,590769.0,28619649.93,,26.41,7.47,20.69,0.4784,65.62,0.4135
2006-07-28,266184.0,12819061.53,3.92,15.58,1.94,11.54,1.0,12318211.59,47971.0,255784.0,2310218.5,,,416.0,0.17,,,,0.0,3186.0,115.0,,,0.17,416.0,,,1000.0,2.15,0.06,,,7.46,7.46,595434.0,28675296.34,,26.91,7.41,19.82,0.475,65.57,0.4137
2006-07-31,265282.0,13117148.97,3.88,16.12,1.92,11.56,1.0,12602909.97,46733.0,254882.0,2310762.59,,,,,,,,0.04,,1238.0,,,,,,,902.0,2.12,0.02,,,7.28,7.28,595058.0,29423271.95,,27.03,7.27,19.95,0.4737,65.43,0.4133
2006-08-01,265424.0,12782460.96,3.88,16.49,1.92,11.53,1.0,12281611.02,47139.0,255024.0,2270150.5,,,407.0,0.02,,,,,142.0,,,,0.02,407.0,,,,2.12,,,,7.33,7.33,596374.0,28720565.47,,27.08,7.27,19.46,0.4751,65.67,0.4125
2006-08-02,265424.0,12757149.15,3.88,17.74,1.92,11.5,1.0,12257291.0,47676.0,255024.0,2291465.14,,,736.0,,,,,0.01,,200.0,,,,736.0,,,,2.14,,,,7.62,7.62,577883.0,27774954.88,,26.09,7.58,19.51,0.4774,65.84,0.4243
2006-08-03,265424.0,12506562.29,3.88,17.7,1.92,11.44,1.0,12016522.78,47928.0,255024.0,2258328.25,,,252.0,,,,,,,,,,,252.0,,,,2.13,,,,7.51,7.51,589951.0,27798009.72,,26.47,7.46,19.21,0.4805,66.16,0.4161
2006-08-04,266093.0,12687801.08,3.89,17.68,1.93,11.47,1.0,12160010.91,49042.0,255024.0,2338412.29,,,131.0,,,,,0.01,,283.0,,,,131.0,,1266.0,,2.18,,,,7.64,7.64,592712.0,28261592.58,,26.49,7.62,19.4,0.4809,66.15,0.4146
2006-08-07,288660.0,13860183.79,4.22,19.33,2.09,12.63,1.0,13605701.09,42402.0,283360.0,2035957.57,,,57.0,1.41,,,,0.3,28336.0,6697.0,,,1.41,57.0,,,,1.89,,,,6.69,6.69,591681.0,28409919.64,,26.9,6.57,17.75,0.4901,67.09,0.4552
2006-08-08,268819.0,12933141.78,3.93,17.86,1.95,11.65,1.0,12678153.66,36550.0,263519.0,1758455.81,,,268.0,,,,,0.27,,6120.0,,,,268.0,,,19841.0,1.62,0.99,,,5.71,5.71,603889.0,29053683.18,,27.27,5.61,19.27,0.5108,68.51,0.4197
2006-08-09,273923.0,12995844.06,4.0,18.19,1.99,11.88,1.0,12744393.93,36067.0,268623.0,1711141.84,,,4.0,0.27,,,,0.02,5247.0,488.0,,,0.27,4.0,,,143.0,1.6,0.01,,,5.62,5.62,605648.0,28734012.7,,27.31,5.53,18.65,0.4921,67.15,0.4269
2006-08-10,271023.0,12767798.03,3.96,18.18,1.96,11.72,1.0,12518116.9,36095.0,265723.0,1700422.73,,,58.0,,,,,0.0,,30.0,,,,58.0,,,2900.0,1.59,0.14,,,5.75,5.75,592158.0,27896354.72,,26.58,5.66,18.89,0.4893,66.87,0.4314
2006-08-11,270023.0,12875190.67,3.95,17.78,1.96,11.68,1.0,12622476.97,35443.0,264723.0,1689987.09,,,31.0,,,,,0.0,,683.0,,,,31.0,,,1000.0,1.6,0.05,,,5.77,5.77,578913.0,27603631.01,,26.58,5.68,19.08,0.4929,67.1,0.4395
2006-08-14,270699.0,12971960.71,3.96,17.91,1.96,11.73,1.0,12685589.36,36648.0,264723.0,1756180.91,,,,,,,,0.0,,70.0,,,,,,1275.0,,1.66,,,,5.94,5.94,579882.0,27788083.88,,26.74,5.84,19.11,0.4914,66.97,0.4391
2006-08-15,270759.0,12910284.5,3.96,19.04,1.96,11.72,1.0,12622476.97,36678.0,264723.0,1748874.15,,,64.0,,,,,0.0,,34.0,,,,64.0,,,,1.66,,,,5.94,5.94,580401.0,27674581.57,,26.7,5.84,19.0,0.4919,67.03,0.4388
2006-08-16,270755.0,13026284.61,3.96,20.26,1.96,11.74,1.0,12736079.27,36475.0,264723.0,1754847.49,,,,,,,,0.01,,203.0,,,,,,,,1.65,,,,5.94,5.94,578044.0,27810255.26,,26.64,5.83,19.15,0.4911,66.93,0.4406
2006-08-17,270751.0,14200893.35,3.96,19.38,1.96,11.98,1.0,13884724.67,35846.0,264723.0,1880123.15,,,,,,,,0.0,,629.0,,,,,,,,1.67,,,,5.91,5.91,570680.0,29932173.16,,27.26,5.77,20.52,0.4786,65.59,0.4464
2006-08-18,270809.0,14113546.77,3.96,18.09,1.96,12.06,1.0,13796367.33,35703.0,264723.0,1860706.11,,,106.0,,,,,0.0,,249.0,,,,106.0,,,,1.69,,,,5.76,5.76,583759.0,30423323.99,,28.37,5.63,20.21,0.4723,65.15,0.4372
2006-08-21,265303.0,13902495.55,3.88,18.24,1.92,11.77,1.0,13819699.86,31336.0,263723.0,1642079.44,,,141.0,,,,,0.25,,4508.0,,,,141.0,,,1000.0,1.45,0.06,,,5.05,5.05,588774.0,30853129.87,,28.54,4.82,20.85,0.4898,66.29,0.4278
2006-08-22,263062.0,13546739.65,3.84,17.58,1.91,11.62,1.0,13464499.94,31552.0,261465.0,1624813.65,,,216.0,,,,,,,,,,,216.0,,,2258.0,1.46,0.11,,,5.1,5.1,587654.0,30262051.32,,28.37,4.88,20.75,0.4945,66.7,0.4248
2006-08-23,255738.0,13364685.09,3.74,17.18,1.85,11.26,1.0,13281331.53,24826.0,254143.0,1297389.02,,,0.0,0.13,,,,0.51,2000.0,6726.0,,,0.13,0.0,,,9322.0,0.94,0.48,,,4.03,4.03,590886.0,30879280.01,,27.55,3.3,20.81,0.5215,68.85,0.4154
2006-08-24,255977.0,13279531.44,3.74,18.12,1.86,11.27,1.0,13196163.77,24847.0,254370.0,1289008.46,,,21.0,0.02,,,,,227.0,,,,0.02,21.0,,,,0.94,,,,4.01,4.01,594293.0,30830631.58,,27.73,3.28,20.64,0.5199,68.76,0.4134
2006-08-25,255974.0,13084090.87,3.74,19.14,1.86,11.22,1.0,13002102.54,24842.0,254370.0,1269796.88,,,,,,,,0.0,,5.0,,,,,,,,0.94,,,,4.02,4.02,592765.0,30299136.34,,27.49,3.31,20.4,0.5227,69.04,0.4145
2006-08-28,255958.0,13315159.4,3.74,19.35,1.86,11.25,1.0,13232550.25,24817.0,254370.0,1291002.08,,,,,,,,0.0,,25.0,,,,,,,,0.94,,,,4.03,4.03,591134.0,30751308.56,,27.46,3.31,20.72,0.5219,68.9,0.4155
2006-08-29,255985.0,12171656.81,3.74,19.68,1.86,11.07,1.0,12094961.37,24863.0,254372.0,1182193.89,,,47.0,0.01,,,,,2.0,,,,0.01,47.0,,,,0.94,,,,3.99,3.99,598665.0,28465515.27,,27.1,3.36,19.23,0.5319,70.03,0.4105
2006-08-30,285891.0,13340085.3,4.18,20.25,2.07,12.56,1.0,13269206.57,24690.0,284372.0,1152070.91,,,,1.64,,,,0.01,30000.0,173.0,,,1.64,,,,,1.2,,,,4.08,4.08,580673.0,27095037.44,,27.38,4.21,16.62,0.589,74.73,0.4723
2006-08-31,285879.0,13432217.75,4.18,20.94,2.07,12.56,1.0,13361410.34,24668.0,284372.0,1159042.63,,,,,,,,0.0,,23.0,,,,,,,,1.2,,,,4.08,4.08,579360.0,27221620.6,,27.31,4.22,16.76,0.5896,74.74,0.4733
2006-09-01,285977.0,13594998.86,4.18,21.25,2.07,12.61,1.0,13523452.99,32666.0,284472.0,1552901.92,,,,0.41,,,,0.0,8000.0,2.0,,,0.41,,,8000.0,7900.0,1.6,0.39,,,5.41,5.41,571208.0,27154533.79,,27.06,5.57,16.87,0.5442,71.35,0.4736
2006-09-04,278086.0,13259649.26,4.06,19.82,2.02,12.23,1.0,13187458.97,32683.0,276572.0,1558385.24,,,17.0,,,,,,,,,,,17.0,,,7900.0,1.6,0.39,,,5.39,5.39,573753.0,27357592.77,,27.2,5.55,17.45,0.5327,70.37,0.4586
2006-09-05,270194.0,12847270.9,3.95,18.86,1.96,11.85,1.0,12774902.36,32694.0,268672.0,1554544.79,,,11.0,,,,,,,,,,,11.0,,,7900.0,1.6,0.37,,,5.42,5.42,570528.0,27127648.18,,27.07,5.59,17.96,0.563,72.61,0.4479
2006-09-06,270191.0,12728602.8,3.95,18.87,1.96,11.83,1.0,12657043.25,32690.0,268672.0,1540014.38,,,,,,,,0.0,,4.0,,,,,,,,1.61,,,,5.43,5.43,569672.0,26837047.19,,27.0,5.64,17.83,0.5647,72.76,0.4486
2006-09-07,275887.0,12760153.01,4.03,19.34,2.0,12.03,1.0,12428761.91,38332.0,268722.0,1772907.7,,,55.0,0.0,,,,,50.0,,,,0.0,55.0,,5588.0,,1.86,,,,6.37,6.37,563741.0,26073796.22,,26.58,6.55,17.23,0.5451,71.53,0.4582
2006-09-08,278988.0,12770551.94,4.08,19.04,2.02,12.14,1.0,12442211.05,38331.0,271815.0,1754584.52,,,85.0,0.13,,,,0.0,3093.0,87.0,,,0.13,85.0,,,,1.85,,,,6.39,6.39,561095.0,25683874.73,,26.3,6.58,18.15,0.5394,70.91,0.4654
2006-09-11,278060.0,12476163.37,4.06,18.74,2.02,12.03,1.0,12155936.16,38293.0,270923.0,1718153.36,,,,,,,,0.0,,38.0,,,,,,,892.0,1.84,0.05,,,6.39,6.39,560591.0,25152934.26,,25.97,6.61,17.93,0.5421,71.16,0.4643
2006-09-12,282470.0,12722521.18,4.13,17.93,2.05,12.23,1.0,12406698.9,38156.0,275458.0,1718556.02,,,,0.21,,,,0.01,4535.0,137.0,,,0.21,,,,,1.83,,,,6.38,6.38,559815.0,25214211.04,,25.92,6.6,18.88,0.5295,70.0,0.4724
2006-09-13,282506.0,12813047.29,4.13,17.84,2.05,12.25,1.0,12493385.55,38195.0,275458.0,1732332.56,,,40.0,,,,,,,,,,,40.0,,,,1.79,,,,6.36,6.36,561997.0,25489349.38,,25.82,6.47,18.96,0.5283,69.89,0.4707
2006-09-14,281806.0,12821609.89,4.12,17.87,2.04,12.18,1.0,12498983.56,47243.0,274715.0,2149462.1,,,47.0,0.07,,,,,1419.0,,,,0.07,47.0,,9000.0,2162.0,2.22,0.15,,,7.87,7.87,552745.0,25148793.0,,25.43,8.03,19.08,0.5182,69.08,0.4697
2006-09-15,276379.0,12453452.28,4.04,17.08,2.0,11.93,1.0,12378473.56,41817.0,274715.0,1884245.96,,,10.0,,,,,0.24,,5435.0,,,,10.0,,,,1.99,,,,7.03,7.03,553114.0,24922945.68,,25.45,7.24,19.35,0.539,70.51,0.4646
2006-09-18,276367.0,12429191.74,4.04,16.75,2.0,11.91,1.0,12354895.51,41801.0,274715.0,1879937.34,,,,,,,,0.0,,16.0,,,,,,,,1.97,,,,6.98,6.98,557411.0,25068724.54,,25.49,7.18,19.33,0.5405,70.63,0.4612
2006-09-19,276370.0,12371344.22,4.04,16.84,2.0,11.9,1.0,12297260.29,41803.0,274715.0,1871257.02,,,2.0,,,,,,,,,,,2.0,,,,1.98,,,,6.98,6.98,557202.0,24942424.07,,25.48,7.2,19.26,0.5412,70.69,0.4614
