,ALOKW FP Equity_DX_SI_QTY,ALOKW FP Equity_DX_SHORT_INTEREST_VALUE,ALOKW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALOKW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALOKW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALOKW FP Equity_DX_SI_MV,ALOKW FP Equity_DX_DSS,ALOKW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALOKW FP Equity_DX_SUPPLY_SI_QTY,ALOKW FP Equity_DX_BROKER_SI_QTY,ALOKW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALOKW FP Equity_DX_BROKER_SI_MV_NEW_x,ALOKW FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALOKW FP Equity_DX_BROKER_SI_MV_INC_x,ALOKW FP Equity_DX_BROKER_SI_QTY_ADD,ALOKW FP Equity_DX_BROKER_SI_QTY_NEW,ALOKW FP Equity_DX_SUPPLY_SI_MV_DEC,ALOKW FP Equity_DX_BROKER_SI_QTY_INC,ALOKW FP Equity_DX_SUPPLY_SI_QTY_DEC,ALOKW FP Equity_DX_BROKER_SI_MV_NEW_y,ALOKW FP Equity_DX_BROKER_SI_MV_INC_y,ALOKW FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALOKW FP Equity_DX_BROKER_SI_MV_ADD,ALOKW FP Equity_DX_SUPPLY_SI_QTY_ADD,ALOKW FP Equity_DX_BROKER_SI_QTY_DEC,ALOKW FP Equity_DX_SUPPLY_SI_MV,ALOKW FP Equity_DX_BROKER_SI_MV_DEC,ALOKW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALOKW FP Equity_DX_UTILIZATION_QUANTITY,ALOKW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALOKW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALOKW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALOKW FP Equity_DX_ACTIVE_UTILIZATION_MV,ALOKW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALOKW FP Equity_DX_BROKER_SI_CON_RATIO,ALOKW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALOKW FP Equity_DX_DEMAND_SUPPLY_RATIO,ALOKW FP Equity_PX_LAST
2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
2022-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52
2022-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2022-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.35
2022-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2022-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2022-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.49
2022-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2022-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45
2022-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.35
2022-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.398
2022-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.46
2022-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.46
2022-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.48
2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.398
2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.518
2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.498
2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2023-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25
2023-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.35
2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25
2023-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.516
2023-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2023-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.55
2023-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.51
2023-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2023-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.42
2023-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.956
2023-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.398
2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.298
2023-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.44
2023-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2023-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4
2023-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2
2023-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2023-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2023-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2
2023-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.782
2023-02-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,801.0,12495.6,0.01,0.0,,0.0,,0.0,15.6
2023-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,105801.0,1645205.55,1.65,0.0,,0.0,,0.0,15.55
2023-02-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,105801.0,1645205.55,1.65,0.0,,0.0,,0.0,15.55
2023-02-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,105801.0,1666365.75,1.65,0.0,,0.0,,0.0,15.75
2023-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,106836.0,1923048.0,1.67,0.0,,0.0,,0.0,18.0
2023-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,106836.0,2026037.9,1.92,0.0,,0.0,,0.0,18.964
2023-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,109037.0,2169836.3,2.07,0.0,,0.0,,0.0,19.9
2023-02-16,100.0,2000.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0,0.0,2000.0,,,,,,,,,,,,,100.0,,0.0,,100.0,0.09,0.0,0.0,0.0,100.0,,1.0,100.0,0.0009,20.0
2023-02-17,100.0,1903.6,0.0,0.01,0.0,0.0,0.0,0.0,100.0,0.0,1903.6,,,,,,,,,,,,,,,0.0,,100.0,0.09,0.0,0.0,0.0,100.0,,1.0,100.0,0.0009,19.036
2023-02-20,100.0,1839.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1839.8,,,,,,,,,,,,,,,0.0,,100.0,0.09,0.0,0.0,0.0,100.0,,1.0,100.0,0.0009,18.398
2023-02-21,100.0,1805.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1805.0,,,,,,,,,,,,,,,0.0,,100.0,0.09,0.0,0.0,0.0,100.0,,1.0,100.0,0.0009,18.05
2023-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,100.0,,,,,,,0.0,,0.0,0.0,112241.0,2031113.14,2.03,0.0,,0.0,,0.0,18.096
2023-02-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,112222.0,2159151.28,2.03,0.0,,0.0,,0.0,19.24
2023-02-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,112186.0,2217917.22,2.16,0.0,,0.0,,0.0,19.77
2023-02-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,112186.0,2254938.6,2.22,0.0,,0.0,,0.0,20.1
2023-02-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,102632.0,2256877.68,2.07,0.0,,0.0,,0.0,21.99
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,78423.0,1782946.91,1.73,0.0,,0.0,,0.0,22.735
2023-03-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,77735.0,1761863.78,1.77,0.0,,0.0,,0.0,22.665
2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,78142.0,1763664.94,1.77,0.0,,0.0,,0.0,22.57
2023-03-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,78908.0,1775430.0,1.78,0.0,,0.0,,0.0,22.5
2023-03-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,78912.0,1731329.28,1.77,0.0,,0.0,,0.0,21.94
2023-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,78369.0,1670827.08,1.72,0.0,,0.0,,0.0,21.32
2023-03-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,79035.0,1647879.75,1.69,0.0,,0.0,,0.0,20.85
2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,78711.0,1621446.6,1.64,0.0,,0.0,,0.0,20.6
2023-03-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,79155.0,1591015.5,1.63,0.0,,0.0,,0.0,20.1
2023-03-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,79086.0,1636289.34,1.62,0.0,,0.0,,0.0,20.69
2023-03-15,2000.0,41200.0,0.02,0.14,0.02,0.04,0.0,5150.0,1750.0,250.0,36050.0,,,,250.0,,,,,,,,0.01,1750.0,,0.04,,2.43,2.22,70177.0,1445646.2,1.45,2.43,12.19,0.786,87.81,0.0254,20.6
2023-03-16,2000.0,39652.0,0.02,0.14,0.02,0.04,0.0,4956.5,1750.0,250.0,34695.5,,,,,,,,,,,,,,,0.04,,2.43,2.22,70177.0,1391329.2,1.45,2.43,12.5,0.7813,87.5,0.0254,19.826
2023-03-17,2510.0,50200.0,0.03,0.18,0.03,0.05,0.0,10100.0,2005.0,505.0,40100.0,,255.0,0.0,,,,255.0,,,0.0,255.0,,,,0.04,,2.79,2.57,69922.0,1398440.0,1.39,2.79,20.12,0.6786,79.88,0.0322,20.0
2023-03-20,2510.0,49000.22,0.03,0.18,0.03,0.05,0.0,9858.61,2005.0,505.0,39141.61,,,,,,,,,,,,,,,0.04,,2.79,2.57,69922.0,1365017.28,1.4,2.79,20.12,0.6786,79.88,0.0322,19.522
2023-03-21,52510.0,1073566.95,0.64,4.34,0.64,1.05,0.0,521449.73,27005.0,25505.0,552117.23,,25000.0,,25000.0,,,,,,,25000.0,0.51,,,0.53,,37.55,34.68,44922.0,918430.29,0.88,37.55,48.76,0.4908,50.3,0.6744,20.445
2023-03-22,51116.0,1052989.6,0.62,4.44,0.62,1.05,0.0,520253.0,25861.0,25255.0,532736.6,,,,,,0.0,,1144.0,,,,,,250.0,0.53,0.0,35.95,33.23,46066.0,948959.6,0.94,35.95,49.1,0.4952,50.41,0.6568,20.6
2023-03-23,50866.0,1063608.06,0.62,4.57,0.62,1.06,0.0,528082.05,25611.0,25255.0,535526.01,,,,,,0.0,,250.0,,,,,,,0.53,,35.61,32.91,46316.0,968467.56,0.95,35.61,49.52,0.4951,49.98,0.6536,20.91
2023-03-24,50356.0,1019960.78,0.61,4.75,0.61,1.04,0.0,506375.0,25356.0,25000.0,513585.78,,,,,,0.0,,255.0,,,,,,255.0,0.53,0.01,35.25,32.6,46571.0,943295.61,0.97,35.25,48.85,0.5003,51.15,0.6474,20.255
2023-03-27,50356.0,1032801.56,0.61,4.85,0.61,1.03,0.0,512750.0,25356.0,25000.0,520051.56,,,,,,,,,,,,,,,0.51,,35.25,32.6,46571.0,955171.21,0.94,35.25,49.96,0.5,50.04,0.6474,20.51
2023-03-28,52356.0,1055235.18,0.64,5.21,0.64,1.06,0.0,524030.0,26356.0,26000.0,531205.18,,1000.0,,1000.0,,,,,,,1000.0,0.02,,,0.54,,36.64,33.9,45571.0,918483.51,0.93,36.64,47.33,0.4821,50.77,0.6734,20.155
2023-03-29,29157.0,587513.55,0.35,3.12,0.35,0.59,0.0,56440.15,26356.0,2801.0,531073.4,,,,,,,,,,,,,,23199.0,0.53,0.47,36.64,33.91,45571.0,918255.65,0.92,36.64,6.18,0.8221,90.39,0.3752,20.15
