,EC FP Equity_DX_SI_QTY,EC FP Equity_DX_SHORT_INTEREST_VALUE,EC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EC FP Equity_DX_SI_MV,EC FP Equity_DX_DSS,EC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EC FP Equity_DX_SUPPLY_SI_QTY,EC FP Equity_DX_BROKER_SI_QTY,EC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EC FP Equity_DX_BROKER_SI_MV_NEW_x,EC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EC FP Equity_DX_SUPPLY_SI_QTY_INC_x,EC FP Equity_DX_BROKER_SI_MV_INC_x,EC FP Equity_DX_SUPPLY_SI_MV_NEW,EC FP Equity_DX_BROKER_SI_QTY_ADD,EC FP Equity_DX_BROKER_SI_QTY_NEW,EC FP Equity_DX_SUPPLY_SI_MV_DEC,EC FP Equity_DX_BROKER_SI_QTY_INC,EC FP Equity_DX_SUPPLY_SI_QTY_DEC,EC FP Equity_DX_BROKER_SI_MV_NEW_y,EC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EC FP Equity_DX_BROKER_SI_MV_INC_y,EC FP Equity_DX_SUPPLY_SI_QTY_INC_y,EC FP Equity_DX_BROKER_SI_MV_ADD,EC FP Equity_DX_SUPPLY_SI_QTY_ADD,EC FP Equity_DX_BROKER_SI_QTY_DEC,EC FP Equity_DX_SUPPLY_SI_MV,EC FP Equity_DX_BROKER_SI_MV_DEC,EC FP Equity_DX_SUPPLY_SI_MV_RMV,EC FP Equity_DX_BROKER_SI_MV_RMV,EC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EC FP Equity_DX_UTILIZATION_QUANTITY,EC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EC FP Equity_DX_ACTIVE_UTILIZATION_MV,EC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EC FP Equity_DX_BROKER_SI_CON_RATIO,EC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EC FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-08-10,6919.0,2358001.51,0.92,10.39,0.15,4.23,0.0,309106.43,6255.0,907.0,2131709.7,,,,,,,,0.0,,3.0,,,,,,696.0,,3.83,,,,27.18,27.18,16758.0,5711141.68,,10.23,27.24,10.43,0.645,79.28,0.3007
2006-08-11,6931.0,2352257.27,0.92,10.36,0.15,4.18,0.0,307819.56,6267.0,907.0,2126907.56,,,13.0,,,,,,,,,,,13.0,,,,3.78,,,,27.12,27.12,16843.0,5716212.55,,10.15,27.14,10.43,0.6446,79.25,0.2999
2006-08-14,6929.0,2390902.56,0.92,10.85,0.15,4.17,0.0,312967.04,6264.0,907.0,2161439.4,,,1.0,,,,,0.0,,4.0,,,,1.0,,,,3.76,,,,27.13,27.13,16824.0,5805245.3,,10.16,27.02,10.63,0.6426,79.11,0.3001
2006-08-15,6926.0,2362352.47,0.92,11.07,0.15,4.19,0.0,309363.8,6264.0,907.0,2136554.41,,,5.0,,,,,0.0,,5.0,,,,5.0,,,,3.8,,,,27.02,27.02,16920.0,5771152.72,,10.23,27.05,10.4,0.6449,79.28,0.2988
2006-08-16,6922.0,2396344.02,0.92,11.4,0.15,4.15,0.0,313996.54,6259.0,907.0,2166818.44,,,,,,,,0.01,,5.0,,,,,,,,3.75,,,,27.04,27.04,16890.0,5847190.2,,10.18,26.9,10.66,0.6415,79.03,0.299
2006-08-17,6910.0,2386307.28,0.92,11.43,0.15,4.22,0.0,313224.41,6246.0,907.0,2157000.76,,,,,,,,0.0,,13.0,,,,,,,,3.82,,,,27.07,27.07,16830.0,5812091.39,,10.27,27.11,10.45,0.6445,79.25,0.2994
2006-08-18,6909.0,2380080.36,0.92,11.73,0.15,4.21,0.0,312452.29,6246.0,907.0,2151683.59,,,,,,,,0.0,,1.0,,,,,,,,3.81,,,,27.07,27.07,16824.0,5795697.19,,10.24,27.12,10.44,0.6448,79.27,0.2995
2006-08-21,6916.0,2374641.73,0.92,12.35,0.15,4.18,0.0,311422.79,6254.0,907.0,2147340.86,,,9.0,,,,,,,,,,,9.0,,,,3.78,,,,27.0,27.0,16911.0,5806472.86,,10.22,26.97,10.52,0.6431,79.15,0.2986
2006-08-22,6911.0,2396458.1,0.92,12.39,0.15,4.22,0.0,314511.29,6246.0,907.0,2165862.72,,,,,,,,0.0,,9.0,,,,,,,,3.81,,,,27.16,27.16,16752.0,5808922.88,,10.22,27.16,10.52,0.6442,79.22,0.3005
2006-08-23,6917.0,2453496.99,0.92,12.9,0.15,4.25,0.0,321717.76,6253.0,907.0,2217972.63,,,7.0,,,,,,,,,,,7.0,,,,3.83,,,,27.11,27.11,16811.0,5962951.84,,10.38,26.96,10.71,0.6413,79.01,0.2999
2006-08-24,6925.0,2444544.23,0.92,13.35,0.15,4.26,0.0,320173.52,6266.0,907.0,2211915.4,,,15.0,,,,,0.0,,2.0,,,,15.0,,,,3.85,,,,26.89,26.89,17032.0,6012343.28,,10.58,26.66,10.63,0.6395,78.9,0.2972
2006-08-25,1910.0,674777.29,0.25,3.82,0.04,1.19,0.0,320430.89,1247.0,907.0,440548.32,,,,,,,,3.07,,5019.0,,,,,,,,0.78,,,,5.4,5.4,21832.0,7712951.75,,13.61,5.4,30.97,0.3832,50.48,0.0828
2006-08-28,1906.0,677150.13,0.25,3.91,0.04,1.19,0.0,322232.51,1241.0,907.0,440893.66,,,,,,,,0.0,,5.0,,,,,,,,0.78,,,,5.39,5.39,21796.0,7743527.92,,13.61,5.4,30.82,0.384,50.65,0.0827
2006-08-29,1902.0,682205.67,0.25,4.17,0.04,1.2,0.0,325321.0,1002.0,907.0,359395.42,,,,,,,,0.15,,240.0,,,,,,,,0.63,,,,4.41,4.41,21728.0,7793356.93,,13.64,4.41,30.8,0.3847,50.77,0.0837
2006-08-30,1672.0,606826.53,0.22,3.64,0.04,1.07,0.0,243166.13,1009.0,670.0,366200.94,,,9.0,,,,,0.0,,2.0,,,,9.0,,,237.0,0.65,0.15,,,4.45,4.45,21665.0,7862976.51,,13.8,4.47,37.5,0.5233,61.86,0.0737
2006-08-31,1694.0,604716.46,0.23,3.57,0.04,1.07,0.0,239173.57,1031.0,670.0,368041.72,,,22.0,,,,,,,,,,,22.0,,,,0.65,,,,4.48,4.48,21959.0,7838824.48,,13.91,4.46,38.17,0.52,61.17,0.0737
2006-09-01,1674.0,605652.31,0.22,3.59,0.04,1.07,0.0,242405.64,1011.0,670.0,365779.26,,,,,,,,0.01,,20.0,,,,,,,,0.64,,,,4.46,4.46,21669.0,7839832.7,,13.76,4.47,37.45,0.5235,61.9,0.0738
2006-09-04,1678.0,606623.35,0.22,3.53,0.04,1.07,0.0,242215.52,1015.0,670.0,366938.44,,,6.0,,,,,0.0,,1.0,,,,6.0,,,,0.65,,,,4.45,4.45,21808.0,7883934.49,,13.88,4.45,37.73,0.5221,61.62,0.0735
2006-09-05,1687.0,606047.31,0.22,3.58,0.04,1.07,0.0,240694.55,1024.0,670.0,367867.48,,,9.0,,,,,,,,,,,9.0,,,,0.65,,,,4.47,4.47,21885.0,7862089.75,,13.88,4.46,38.06,0.5205,61.28,0.0736
2006-09-06,1735.0,622798.77,0.23,3.68,0.04,1.1,0.0,240504.42,1072.0,670.0,384807.08,,,47.0,,,,,,,,,,,47.0,,,,0.68,,,,4.69,4.69,21770.0,7814598.96,,13.77,4.69,36.23,0.4795,58.86,0.076
2006-09-07,1757.0,616237.29,0.23,3.79,0.04,1.09,0.0,251826.05,1095.0,718.0,384052.26,,,23.0,,,48.0,,,,,,,,23.0,0.03,,,0.68,,,,4.74,4.74,21990.0,7712611.23,,13.73,4.71,36.78,0.4768,58.28,0.0761
2006-09-08,1784.0,635325.54,0.24,3.89,0.04,1.12,0.0,273503.37,1120.0,768.0,398859.09,,,32.0,0.03,,,,0.0,50.0,7.0,,,0.03,32.0,,,,0.7,,,,4.94,4.94,21574.0,7683023.13,,13.48,4.95,34.44,0.4442,56.71,0.0786
2006-09-11,1803.0,628789.6,0.24,3.87,0.04,1.11,0.0,267837.17,1142.0,768.0,398268.29,,,22.0,,,,,,,,,,,22.0,,,,0.7,,,,4.95,4.95,21912.0,7641729.18,,13.58,4.93,34.98,0.4398,55.97,0.0782
2006-09-12,1798.0,628576.49,0.24,3.99,0.04,1.11,0.0,268490.96,1134.0,768.0,396443.68,,,3.0,,,,,0.01,,11.0,,,,3.0,,,,0.7,,,,4.97,4.97,21689.0,7582422.45,,13.4,4.96,34.57,0.443,56.53,0.0788
2006-09-13,1778.0,624611.74,0.24,4.07,0.04,1.1,0.0,269798.55,1057.0,768.0,371324.3,,,,,,,,0.05,,77.0,,,,,,,,0.65,,,,4.64,4.64,21711.0,7627078.43,,13.42,4.65,34.53,0.4431,56.56,0.0781
2006-09-14,1790.0,622224.15,0.24,4.3,0.04,1.1,0.0,266965.44,1070.0,768.0,371944.04,,,13.0,,,,,,,,,,,13.0,,,,0.66,,,,4.66,4.66,21867.0,7601215.31,,13.44,4.66,34.79,0.4411,56.21,0.078
2006-09-15,1790.0,620700.33,0.24,4.25,0.04,1.1,0.0,266311.65,1078.0,768.0,373807.24,,,8.0,,,,,,,,,,,8.0,,,,0.66,,,,4.72,4.72,21770.0,7548964.37,,13.36,4.7,34.75,0.4416,56.28,0.0783
2006-09-18,1848.0,639239.22,0.25,4.36,0.04,1.13,0.0,268079.22,1073.0,775.0,371160.0,,,0.0,0.03,,,,0.0,50.0,5.0,,,0.03,0.0,,,43.0,0.65,0.03,,,4.69,4.69,21795.0,7539079.44,,13.3,4.69,34.39,0.4836,60.29,0.0808
2006-09-19,1801.0,624514.69,0.24,4.12,0.04,1.1,0.0,252094.49,1074.0,727.0,372420.2,,,1.0,,,,,,,,,,,1.0,,,48.0,0.66,0.03,,,4.71,4.71,21748.0,7541335.65,,13.3,4.7,35.89,0.5243,62.88,0.0789
