,ALLGO FP Equity_DX_SI_QTY,ALLGO FP Equity_DX_SHORT_INTEREST_VALUE,ALLGO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALLGO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALLGO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALLGO FP Equity_DX_SI_MV,ALLGO FP Equity_DX_DSS,ALLGO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALLGO FP Equity_DX_SUPPLY_SI_QTY,ALLGO FP Equity_DX_BROKER_SI_QTY,ALLGO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALLGO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALLGO FP Equity_DX_BROKER_SI_MV_INC_x,ALLGO FP Equity_DX_BROKER_SI_QTY_ADD,ALLGO FP Equity_DX_SUPPLY_SI_MV_DEC,ALLGO FP Equity_DX_BROKER_SI_QTY_INC,ALLGO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALLGO FP Equity_DX_BROKER_SI_MV_INC_y,ALLGO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALLGO FP Equity_DX_BROKER_SI_MV_ADD,ALLGO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALLGO FP Equity_DX_BROKER_SI_QTY_DEC,ALLGO FP Equity_DX_SUPPLY_SI_MV,ALLGO FP Equity_DX_BROKER_SI_MV_DEC,ALLGO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALLGO FP Equity_DX_UTILIZATION_QUANTITY,ALLGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALLGO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALLGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALLGO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALLGO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALLGO FP Equity_DX_BROKER_SI_CON_RATIO,ALLGO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALLGO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALLGO FP Equity_PX_LAST
2021-05-11,50000.0,615000.0,,3.82,,0.63,1.0,307500.0,25000.0,25000.0,307500.0,,,25000.0,,,,,,0.31,25000.0,,0.31,,39.82,39.82,37790.0,464817.0,0.48,39.82,50.0,0.5,50.0,0.7963,12.3
2021-05-12,50000.0,610000.0,,3.61,,0.62,1.0,305000.0,25000.0,25000.0,305000.0,,,,,,,,,,,,0.31,,39.82,39.82,37790.0,461038.0,0.46,39.82,50.0,0.5,50.0,0.7963,12.2
2021-05-13,50000.0,615000.0,,3.41,,0.61,1.0,307500.0,25000.0,25000.0,307500.0,,,,,,,,,,,,0.31,,39.82,39.82,37790.0,464817.0,0.46,39.82,50.0,0.5,50.0,0.7963,12.3
2021-05-14,50000.0,610000.0,,3.38,,0.62,1.0,305000.0,25000.0,25000.0,305000.0,,,,,,,,,,,,0.31,,39.82,39.82,37790.0,461038.0,0.46,39.82,50.0,0.5,50.0,0.7963,12.2
2021-05-17,50000.0,615000.0,,2.96,,0.61,1.0,307500.0,25000.0,25000.0,307500.0,,,,,,,,,,,,0.31,,39.82,39.82,37790.0,464817.0,0.47,39.82,49.74,0.5,50.26,0.7963,12.3
2021-05-18,18000.0,216720.0,,1.06,,0.22,0.0,108360.0,9000.0,9000.0,108360.0,,,,0.2,,16000.0,,,,,16000.0,0.11,0.19,19.23,19.23,37790.0,454991.6,0.46,19.23,50.0,0.5,50.0,0.3847,12.04
2021-05-19,18000.0,215928.0,,1.04,,0.22,0.0,107964.0,9000.0,9000.0,107964.0,,,,,,,,,,,,0.11,,14.33,14.33,53790.0,645264.84,0.65,14.33,50.0,0.5,50.0,0.2867,11.996
2021-05-20,18000.0,214200.0,,1.04,,0.22,0.0,107100.0,9000.0,9000.0,107100.0,,,,,,,,,,,,0.11,,14.33,14.33,53790.0,640101.0,0.65,14.33,50.0,0.5,50.0,0.2867,11.9
2021-05-21,18000.0,212400.0,0.52,1.03,0.52,0.21,0.0,106200.0,9000.0,9000.0,106200.0,,,,,,,,,,,,0.11,,14.33,14.33,53790.0,634722.0,0.64,14.33,50.0,0.5,50.0,0.2867,11.8
2021-05-24,18000.0,208800.0,0.52,1.02,0.52,0.21,0.0,104400.0,9000.0,9000.0,104400.0,,,,,,,,,,,,0.11,,14.33,14.33,53790.0,623964.0,0.63,14.33,50.0,0.5,50.0,0.2867,11.6
2021-05-25,18000.0,201600.0,0.52,1.02,0.52,0.21,0.0,100800.0,9000.0,9000.0,100800.0,,,,,,,,,,,,0.1,,14.33,14.33,53790.0,602448.0,0.62,14.33,50.0,0.5,50.0,0.2867,11.2
2021-05-26,18000.0,198000.0,0.52,1.01,0.52,0.2,0.0,99000.0,9000.0,9000.0,99000.0,,,,,,,,,,,,0.1,,14.33,14.33,53790.0,591690.0,0.6,14.33,50.0,0.5,50.0,0.2867,11.0
2021-05-27,18000.0,194292.0,0.52,0.99,0.52,0.2,0.0,97146.0,9000.0,9000.0,97146.0,,,,,,,,,,,,0.1,,14.33,14.33,53790.0,580609.26,0.59,14.33,50.0,0.5,50.0,0.2867,10.794
2021-05-28,18000.0,188820.0,0.52,0.99,0.52,0.19,0.0,94410.0,9000.0,9000.0,94410.0,,,,,,,,,,,,0.1,,14.33,14.33,53790.0,564257.1,0.58,14.33,50.0,0.5,50.0,0.2867,10.49
2021-05-31,1600.0,16633.6,0.05,0.09,0.05,0.02,0.0,8316.8,800.0,800.0,8316.8,,,,0.09,,8200.0,,,,,8200.0,0.01,0.09,1.27,1.27,61990.0,644448.04,0.65,1.27,50.0,0.5,50.0,0.0255,10.396
2021-06-01,1600.0,17120.0,0.05,0.09,0.05,0.02,0.0,8560.0,800.0,800.0,8560.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,663293.0,0.64,1.27,50.0,0.5,50.0,0.0255,10.7
2021-06-02,1600.0,17280.0,0.05,0.09,0.05,0.02,0.0,8640.0,800.0,800.0,8640.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,669492.0,0.66,1.27,50.0,0.5,50.0,0.0255,10.8
2021-06-03,1600.0,17888.0,0.05,0.08,0.05,0.02,0.0,8944.0,800.0,800.0,8944.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,693048.2,0.67,1.27,50.0,0.5,50.0,0.0255,11.18
2021-06-04,1600.0,17760.0,0.05,0.08,0.05,0.02,0.0,8880.0,800.0,800.0,8880.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,688089.0,0.69,1.27,50.0,0.5,50.0,0.0255,11.1
2021-06-07,1600.0,17664.0,0.05,0.13,0.05,0.02,0.0,8832.0,800.0,800.0,8832.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,684369.6,0.69,1.27,50.0,0.5,50.0,0.0255,11.04
2021-06-08,1600.0,18124.8,0.05,0.16,0.05,0.02,0.0,9062.4,800.0,800.0,9062.4,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,702222.72,0.68,1.27,50.0,0.5,50.0,0.0255,11.328
2021-06-09,1600.0,17920.0,0.05,0.17,0.05,0.02,0.0,8960.0,800.0,800.0,8960.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,694288.0,0.7,1.27,50.0,0.5,50.0,0.0255,11.2
2021-06-10,1600.0,17680.0,0.05,0.18,0.05,0.02,0.0,8840.0,800.0,800.0,8840.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,684989.5,0.69,1.27,50.0,0.5,50.0,0.0255,11.05
2021-06-11,1600.0,17600.0,0.05,0.19,0.05,0.02,0.0,8800.0,800.0,800.0,8800.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,681890.0,0.69,1.27,50.0,0.5,50.0,0.0255,11.0
2021-06-14,1600.0,17280.0,0.05,0.2,0.05,0.02,0.0,8640.0,800.0,800.0,8640.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,669492.0,0.68,1.27,50.0,0.5,50.0,0.0255,10.8
2021-06-15,1600.0,17120.0,0.05,0.2,0.05,0.02,0.0,8560.0,800.0,800.0,8560.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,663293.0,0.67,1.27,50.0,0.5,50.0,0.0255,10.7
2021-06-16,1600.0,16864.0,0.05,0.21,0.05,0.02,0.0,8432.0,800.0,800.0,8432.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,653374.6,0.66,1.27,50.0,0.5,50.0,0.0255,10.54
2021-06-17,1600.0,16848.0,0.05,0.23,0.05,0.02,0.0,8424.0,800.0,800.0,8424.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,652754.7,0.65,1.27,50.0,0.5,50.0,0.0255,10.53
2021-06-18,1600.0,16960.0,0.05,0.24,0.05,0.02,0.0,8480.0,800.0,800.0,8480.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,657094.0,0.65,1.27,50.0,0.5,50.0,0.0255,10.6
2021-06-21,1600.0,16419.2,0.05,0.24,0.05,0.02,0.0,8209.6,800.0,800.0,8209.6,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,636141.38,0.66,1.27,50.0,0.5,50.0,0.0255,10.262
2021-06-22,1600.0,16156.8,0.05,0.25,0.05,0.02,0.0,8078.4,800.0,800.0,8078.4,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,625975.02,0.64,1.27,50.0,0.5,50.0,0.0255,10.098
2021-06-23,1600.0,15680.0,0.05,0.27,0.05,0.02,0.0,7840.0,800.0,800.0,7840.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,607502.0,0.64,1.27,49.55,0.5,50.45,0.0255,9.8
2021-06-24,1600.0,15728.0,0.05,0.3,0.05,0.02,0.0,7864.0,800.0,800.0,7864.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,609361.7,0.61,1.27,50.0,0.5,50.0,0.0255,9.83
2021-06-25,1600.0,15776.0,0.05,0.28,0.05,0.02,0.0,7888.0,800.0,800.0,7888.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,611221.4,0.61,1.27,50.0,0.5,50.0,0.0255,9.86
2021-06-28,1600.0,15808.0,0.05,0.44,0.05,0.02,0.0,7904.0,800.0,800.0,7904.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,612461.2,0.61,1.27,50.0,0.5,50.0,0.0255,9.88
2021-06-29,1600.0,15680.0,0.05,0.46,0.05,0.02,0.0,7840.0,800.0,800.0,7840.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,607502.0,0.61,1.27,49.93,0.5,50.07,0.0255,9.8
2021-06-30,1600.0,15678.4,0.05,0.48,0.05,0.02,0.0,7839.2,800.0,800.0,7839.2,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,607440.01,0.61,1.27,49.79,0.5,50.21,0.0255,9.799
2021-07-01,1600.0,15680.0,0.05,0.48,0.05,0.02,0.0,7840.0,800.0,800.0,7840.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,607502.0,0.61,1.27,49.88,0.5,50.12,0.0255,9.8
2021-07-02,1600.0,15536.0,0.05,0.44,0.05,0.02,0.0,7768.0,800.0,800.0,7768.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,601922.9,0.61,1.27,49.83,0.5,50.17,0.0255,9.71
2021-07-05,1600.0,15408.0,0.05,0.44,0.05,0.02,0.0,7704.0,800.0,800.0,7704.0,,,,,,,,,,,,0.01,,1.27,1.27,61990.0,596963.7,0.6,1.27,50.0,0.5,50.0,0.0255,9.63
2021-07-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.01,,800.0,,,,,800.0,0.0,0.01,0.0,0.0,62790.0,596505.0,0.6,0.0,,0.0,,0.0,9.5
2021-07-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,60695.0,546255.0,0.58,0.0,,0.0,,0.0,9.0
2021-07-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,60695.0,528046.5,0.57,0.0,,0.0,,0.0,8.7
2021-07-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,59160.0,523566.0,0.51,0.0,,0.0,,0.0,8.85
2021-07-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,59160.0,529422.84,0.52,0.0,,0.0,,0.0,8.949
2021-07-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,59160.0,523506.84,0.52,0.0,,0.0,,0.0,8.849
2021-07-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,59160.0,525932.4,0.52,0.0,,0.0,,0.0,8.89
2021-07-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,59160.0,521199.6,0.52,0.0,,0.0,,0.0,8.81
2021-07-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,59160.0,521258.76,0.51,0.0,,0.0,,0.0,8.811
2021-07-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,59160.0,524690.04,0.51,0.0,,0.0,,0.0,8.869
2021-07-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,59160.0,482154.0,0.51,0.0,,0.0,,0.0,8.15
2021-07-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,56363.0,507267.0,0.46,0.0,,0.0,,0.0,9.0
2021-07-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,488825.29,0.48,0.0,,0.0,,0.0,9.19
2021-07-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,536590.81,0.49,0.0,,0.0,,0.0,10.088
2021-07-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,537229.1,0.54,0.0,,0.0,,0.0,10.1
2021-07-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,537229.1,0.54,0.0,,0.0,,0.0,10.1
2021-07-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,568079.88,0.54,0.0,,0.0,,0.0,10.68
2021-07-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,543080.11,0.57,0.0,,0.0,,0.0,10.21
2021-07-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,542016.29,0.54,0.0,,0.0,,0.0,10.19
2021-08-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,540420.56,0.54,0.0,,0.0,,0.0,10.16
2021-08-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,527707.91,0.54,0.0,,0.0,,0.0,9.921
2021-08-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,538292.92,0.53,0.0,,0.0,,0.0,10.12
2021-08-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,542548.2,0.54,0.0,,0.0,,0.0,10.2
2021-08-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,552016.2,0.54,0.0,,0.0,,0.0,10.378
2021-08-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,574462.8,0.55,0.0,,0.0,,0.0,10.8
2021-08-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,579781.9,0.57,0.0,,0.0,,0.0,10.9
2021-08-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,584037.18,0.58,0.0,,0.0,,0.0,10.98
2021-08-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,585632.91,0.58,0.0,,0.0,,0.0,11.01
2021-08-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,592547.74,0.59,0.0,,0.0,,0.0,11.14
2021-08-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,595739.2,0.59,0.0,,0.0,,0.0,11.2
2021-08-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,594888.14,0.6,0.0,,0.0,,0.0,11.184
2021-08-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,593505.18,0.59,0.0,,0.0,,0.0,11.158
2021-08-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,592547.74,0.59,0.0,,0.0,,0.0,11.14
2021-08-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,600951.92,0.59,0.0,,0.0,,0.0,11.298
2021-08-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,593717.94,0.6,0.0,,0.0,,0.0,11.162
2021-08-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,590420.1,0.59,0.0,,0.0,,0.0,11.1
2021-08-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,580845.72,0.59,0.0,,0.0,,0.0,10.92
2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,555845.95,0.58,0.0,,0.0,,0.0,10.45
2021-08-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,550526.85,0.56,0.0,,0.0,,0.0,10.35
2021-08-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,552441.73,0.55,0.0,,0.0,,0.0,10.386
2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,547654.54,0.55,0.0,,0.0,,0.0,10.296
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,534569.55,0.55,0.0,,0.0,,0.0,10.05
2021-09-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,546803.48,0.53,0.0,,0.0,,0.0,10.28
2021-09-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,542548.2,0.55,0.0,,0.0,,0.0,10.2
2021-09-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,539888.65,0.54,0.0,,0.0,,0.0,10.15
2021-09-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,542016.29,0.54,0.0,,0.0,,0.0,10.19
2021-09-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,539782.27,0.54,0.0,,0.0,,0.0,10.148
2021-09-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,539143.98,0.54,0.0,,0.0,,0.0,10.136
2021-09-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,537441.86,0.54,0.0,,0.0,,0.0,10.104
2021-09-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,531910.0,0.54,0.0,,0.0,,0.0,10.0
2021-09-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,538292.92,0.53,0.0,,0.0,,0.0,10.12
2021-09-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,529782.36,0.54,0.0,,0.0,,0.0,9.96
2021-09-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,533931.26,0.53,0.0,,0.0,,0.0,10.038
2021-09-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,532016.38,0.53,0.0,,0.0,,0.0,10.002
2021-09-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,526537.71,0.53,0.0,,0.0,,0.0,9.899
2021-09-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,516484.61,0.53,0.0,,0.0,,0.0,9.71
2021-09-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,53191.0,517016.52,0.52,0.0,,0.0,,0.0,9.72
