,GLUX FP Equity_DX_DSS,GLUX FP Equity_PX_LAST
2010-08-04,,47.23
2010-08-05,,47.2
2010-08-06,,46.55
2010-08-09,,47.21
2010-08-10,,46.63
2010-08-11,,45.65
2010-08-12,,45.17
2010-08-13,,45.37
2010-08-16,,45.13
2010-08-17,,45.91
2010-08-18,,45.78
2010-08-19,,45.1
2010-08-20,,44.41
2010-08-23,,44.77
2010-08-24,,44.15
2010-08-25,,43.72
2010-08-26,,44.03
2010-08-27,,44.41
2010-08-30,,44.17
2010-08-31,,44.17
2010-09-01,,45.44
2010-09-02,,45.52
2010-09-03,,45.94
2010-09-06,,45.88
2010-09-07,,45.54
2010-09-08,,45.85
2010-09-09,,46.11
2010-09-10,,46.24
2010-09-13,,46.91
2010-09-14,,47.02
2010-09-15,,47.05
2010-09-16,,46.62
2010-09-17,,45.99
2010-09-20,,46.58
2010-09-21,,46.3
2010-09-22,,45.65
2010-09-23,,45.53
2010-09-24,,46.08
2010-09-27,,45.91
2010-09-28,,45.85
2010-09-29,,45.8
2010-09-30,,45.44
2010-10-01,,45.33
2010-10-04,,44.97
2010-10-05,,45.47
2010-10-06,,45.91
2010-10-07,,46.13
2010-10-08,,46.13
2010-10-11,,46.23
2010-10-12,,45.91
2010-10-13,,46.82
2010-10-14,,46.96
2010-10-15,,46.78
2010-10-18,,47.14
2010-10-19,,47.1
2010-10-20,,47.03
2010-10-21,,47.3
2010-10-22,,46.98
2010-10-25,,46.9
2010-10-26,,46.86
2010-10-27,,46.48
2010-10-28,,47.04
2010-10-29,,47.05
2010-11-01,,46.9
2010-11-02,,47.22
2010-11-03,,46.9
2010-11-04,,47.95
2010-11-05,,48.25
2010-11-08,,48.21
2010-11-09,,48.28
2010-11-10,,47.76
2010-11-11,,47.26
2010-11-12,,47.26
2010-11-15,,47.61
2010-11-16,,46.5
2010-11-17,,46.83
2010-11-18,,47.22
2010-11-19,,46.96
2010-11-22,,46.36
2010-11-23,,45.54
2010-11-24,,45.52
2010-11-25,,45.64
2010-11-26,,44.95
2010-11-29,,44.32
2010-11-30,,43.68
2010-12-01,,44.82
2010-12-02,,45.82
2010-12-03,,45.32
2010-12-06,,45.16
2010-12-07,,45.68
2010-12-08,,46.69
2010-12-09,,47.73
2010-12-10,,47.68
2010-12-13,,47.68
2010-12-14,,47.8
2010-12-15,,47.57
2010-12-16,,47.57
2010-12-17,,47.13
2010-12-20,,47.72
2010-12-21,,48.12
2010-12-22,,48.26
2010-12-23,,48.08
2010-12-27,,47.67
2010-12-28,,47.84
2010-12-29,,48.05
2010-12-30,,47.3
2011-01-03,,47.9
2011-01-04,,48.18
2011-01-05,,48.41
2011-01-06,,49.35
2011-01-07,,49.08
2011-01-10,,48.2
2011-01-11,,48.59
2011-01-12,,49.75
2011-01-13,,50.34
2011-01-14,,50.43
2011-01-17,,50.45
2011-01-18,,50.9
2011-01-19,,50.16
2011-01-20,,50.43
2011-01-21,,50.98
2011-01-24,,51.03
2011-01-25,,50.8
2011-01-26,,51.02
2011-01-27,,52.08
2011-01-28,,51.91
2011-01-31,,51.8
2011-02-01,,52.99
2011-02-02,,53.1
2011-02-03,,52.91
2011-02-04,,53.62
2011-02-07,,54.16
2011-02-08,,54.39
2011-02-09,,54.25
2011-02-10,,53.84
2011-02-11,,54.13
2011-02-14,,53.92
2011-02-15,,54.14
2011-02-16,,55.05
2011-02-17,,55.28
2011-02-18,,55.28
2011-02-21,,54.17
2011-02-22,,53.69
2011-02-23,,53.17
2011-02-24,,52.42
2011-02-25,,53.3
2011-02-28,,53.9
2011-03-01,,53.43
2011-03-02,,52.8
2011-03-03,,53.03
2011-03-04,,53.38
2011-03-07,,53.1
2011-03-08,,53.39
2011-03-09,,53.76
2011-03-10,,52.6
2011-03-11,,51.35
2011-03-14,,50.13
2011-03-15,,48.95
2011-03-16,,48.06
2011-03-17,,49.39
2011-03-18,,49.23
2011-03-21,,50.48
2011-03-22,,50.65
2011-03-23,,50.8
2011-03-24,,51.05
2011-03-25,,50.87
2011-03-28,,50.98
2011-03-29,,50.75
2011-03-30,,51.4
2011-03-31,,50.83
2011-04-01,,52.03
2011-04-04,,51.85
2011-04-05,,52.01
2011-04-06,,52.75
2011-04-07,,52.81
2011-04-08,,53.38
2011-04-11,,53.3
2011-04-12,,52.68
2011-04-13,,52.82
2011-04-14,,52.3
2011-04-15,,52.23
2011-04-18,,50.47
2011-04-19,,50.77
2011-04-20,,51.64
2011-04-21,,52.17
2011-04-27,,52.89
2011-04-28,,53.56
2011-04-29,,53.74
2011-05-02,,53.75
2011-05-03,,53.51
2011-05-04,,52.76
2011-05-05,,52.79
2011-05-06,,53.28
2011-05-09,,52.71
2011-05-10,,53.33
2011-05-11,,53.64
2011-05-12,,52.8
2011-05-13,,52.22
2011-05-16,,51.99
2011-05-17,,51.45
2011-05-18,,51.7
2011-05-19,,52.1
2011-05-20,,52.05
2011-05-23,,50.9
2011-05-24,,50.6
2011-05-25,,51.04
2011-05-26,,51.27
2011-05-27,,51.78
2011-05-30,,51.5
2011-05-31,,52.12
2011-06-01,,51.61
2011-06-02,,50.72
2011-06-03,,50.77
2011-06-06,,50.28
2011-06-07,,50.6
2011-06-08,,50.18
2011-06-09,,50.81
2011-06-10,,50.36
2011-06-13,,50.48
2011-06-14,,50.98
2011-06-15,,50.57
2011-06-16,,50.05
2011-06-17,,50.41
2011-06-20,,49.92
2011-06-21,,50.66
2011-06-22,,50.3
2011-06-23,,49.67
2011-06-24,,48.84
2011-06-27,,48.76
2011-06-28,,49.18
2011-06-29,,50.09
2011-06-30,,50.91
2011-07-01,,51.54
2011-07-04,,51.5
2011-07-05,,51.56
2011-07-06,,51.05
2011-07-07,,51.1
2011-07-08,,50.81
2011-07-11,,49.05
2011-07-12,,48.5
2011-07-13,,49.0
2011-07-14,,48.42
2011-07-15,,48.03
2011-07-18,,46.47
2011-07-19,,47.11
2011-07-20,,48.32
2011-07-21,,49.7
2011-07-22,,49.88
2011-07-25,,48.96
2011-07-26,,48.93
2011-07-27,,48.01
2011-07-28,,48.34
2011-07-29,,47.99
2011-08-01,,47.08
2011-08-02,,46.06
2011-08-03,,45.09
2011-08-04,,43.79
2011-08-05,,42.61
2011-08-08,,41.01
2011-08-09,,41.53
2011-08-10,,39.49
2011-08-11,,40.64
2011-08-12,,42.64
2011-08-15,,43.07
2011-08-16,,42.89
2011-08-17,,42.99
2011-08-18,,40.89
2011-08-19,,40.11
2011-08-22,,40.37
2011-08-23,,40.51
2011-08-24,,41.22
2011-08-25,,40.59
2011-08-26,,39.7
2011-08-29,,40.67
2011-08-30,,40.98
2011-08-31,,42.44
2011-09-01,,42.5
2011-09-02,,41.05
2011-09-05,,39.06
2011-09-06,,38.26
2011-09-07,,39.54
2011-09-08,,40.04
2011-09-09,,38.22
2011-09-12,,36.58
2011-09-13,,37.26
2011-09-14,,37.95
2011-09-15,,39.41
2011-09-16,,39.75
2011-09-19,,38.47
2011-09-20,,38.12
2011-09-21,,38.39
2011-09-22,,36.46
2011-09-23,,36.51
2011-09-26,,38.72
2011-09-27,,40.91
2011-09-28,,40.8
2011-09-29,,41.69
2011-09-30,,40.86
2011-10-03,,40.03
2011-10-04,,38.54
2011-10-05,,40.45
2011-10-06,,42.48
2011-10-07,,42.63
2011-10-10,,43.82
2011-10-11,,43.36
2011-10-12,,44.55
2011-10-13,,43.5
2011-10-14,,43.78
2011-10-17,,43.33
2011-10-18,,42.87
2011-10-19,,43.76
2011-10-20,,42.28
2011-10-21,,43.7
2011-10-24,,44.58
2011-10-25,,44.27
2011-10-26,,44.07
2011-10-27,,46.99
2011-10-28,,46.1
2011-10-31,,45.01
2011-11-01,,42.15
2011-11-02,,43.01
2011-11-03,,44.12
2011-11-04,,43.25
2011-11-07,,42.89
2011-11-08,,43.36
2011-11-09,,41.6
2011-11-10,,41.75
2011-11-11,,43.24
2011-11-14,,42.6
2011-11-15,,42.12
2011-11-16,,41.95
2011-11-17,,41.3
2011-11-18,,40.96
2011-11-21,,39.53
2011-11-22,,39.25
2011-11-23,,38.35
2011-11-24,,38.33
2011-11-25,,38.58
2011-11-28,,40.81
2011-11-29,,41.64
2011-11-30,,43.09
2011-12-01,,42.79
2011-12-02,,43.95
2011-12-05,,44.49
2011-12-06,,44.29
2011-12-07,,44.11
2011-12-08,,42.99
2011-12-09,,44.04
2011-12-12,,42.08
2011-12-13,,41.84
2011-12-14,,40.82
2011-12-15,,41.75
2011-12-16,,41.41
2011-12-19,,41.32
2011-12-20,,42.62
2011-12-21,,42.33
2011-12-22,,42.75
2011-12-23,,43.01
2011-12-27,,42.95
2011-12-28,,42.38
2011-12-29,,42.66
2011-12-30,,42.87
2012-01-02,,43.99
2012-01-03,,44.53
2012-01-04,,44.13
2012-01-05,,43.35
2012-01-06,,43.17
2012-01-09,,42.65
2012-01-10,,44.17
2012-01-11,,44.5
2012-01-12,,45.09
2012-01-13,,44.92
2012-01-16,,45.24
2012-01-17,,45.58
2012-01-18,,45.63
2012-01-19,,47.11
2012-01-20,,47.29
2012-01-23,,48.01
2012-01-24,,47.74
2012-01-25,,47.65
2012-01-26,,48.29
2012-01-27,,47.83
2012-01-30,,46.74
2012-01-31,,47.21
2012-02-01,,48.29
2012-02-02,,48.69
2012-02-03,,49.67
2012-02-06,,49.39
2012-02-07,,49.52
2012-02-08,,49.59
2012-02-09,,49.51
2012-02-10,,48.64
2012-02-13,,49.2
2012-02-14,,48.98
2012-02-15,,49.26
2012-02-16,,49.08
2012-02-17,,49.7
2012-02-20,,50.17
2012-02-21,,49.58
2012-02-22,,49.12
2012-02-23,,49.31
2012-02-24,,49.45
2012-02-27,,49.4
2012-02-28,,49.49
2012-02-29,,49.46
2012-03-01,,50.14
2012-03-02,,50.23
2012-03-05,,49.89
2012-03-06,,48.34
2012-03-07,,48.66
2012-03-08,,49.34
2012-03-09,,49.56
2012-03-12,,49.52
2012-03-13,,50.65
2012-03-14,,51.8
2012-03-15,,52.33
2012-03-16,,53.16
2012-03-19,,53.1
2012-03-20,,52.36
2012-03-21,,52.11
2012-03-22,,51.48
2012-03-23,,51.53
2012-03-26,,52.08
2012-03-27,,52.05
2012-03-28,,51.44
2012-03-29,,50.38
2012-03-30,,50.71
2012-04-02,,51.31
2012-04-03,,50.63
2012-04-04,,49.45
2012-04-05,,49.41
2012-04-10,,47.94
2012-04-11,,48.41
2012-04-12,,48.7
2012-04-13,,47.68
2012-04-16,,47.48
2012-04-17,,48.94
2012-04-18,,48.47
2012-04-19,,48.28
2012-04-20,,48.78
2012-04-23,,47.44
2012-04-24,,48.07
2012-04-25,,48.97
2012-04-26,,48.73
2012-04-27,,49.34
2012-04-30,,48.72
2012-05-02,,48.7
2012-05-03,,48.57
2012-05-04,,47.98
2012-05-07,,48.45
2012-05-08,,47.42
2012-05-09,,47.13
2012-05-10,,47.83
2012-05-11,,47.62
2012-05-14,,46.58
2012-05-15,,45.99
2012-05-16,,45.95
2012-05-17,,45.0
2012-05-18,,44.72
2012-05-21,,44.99
2012-05-22,,46.14
2012-05-23,,44.97
2012-05-24,,45.4
2012-05-25,,45.51
2012-05-28,,45.3
2012-05-29,,45.41
2012-05-30,,44.64
2012-05-31,,44.44
2012-06-01,,43.29
2012-06-04,,43.13
2012-06-05,,43.29
2012-06-06,,44.85
2012-06-07,,45.38
2012-06-08,,45.33
2012-06-11,,45.44
2012-06-12,,45.27
2012-06-13,,45.33
2012-06-14,,45.64
2012-06-15,,46.39
2012-06-18,,46.11
2012-06-19,,47.34
2012-06-20,,48.0
2012-06-21,,47.99
2012-06-22,,47.48
2012-06-25,,46.45
2012-06-26,,46.6
2012-06-27,,47.31
2012-06-28,,47.23
2012-06-29,,48.88
2012-07-02,,49.62
2012-07-03,,50.06
2012-07-04,,49.67
2012-07-05,,49.44
2012-07-06,,48.8
2012-07-09,,48.63
2012-07-10,,49.23
2012-07-11,,49.25
2012-07-12,,48.94
2012-07-13,,49.62
2012-07-16,,49.89
2012-07-17,,49.68
2012-07-18,,50.38
2012-07-19,,50.87
2012-07-20,,49.84
2012-07-23,,47.88
2012-07-24,,47.24
2012-07-25,,47.3
2012-07-26,,48.95
2012-07-27,,49.83
2012-07-30,,50.72
2012-07-31,,50.19
2012-08-01,,50.66
2012-08-02,,49.18
2012-08-03,,51.37
2012-08-06,,51.84
2012-08-07,,52.4
2012-08-08,,52.76
2012-08-09,,53.05
2012-08-10,,53.13
2012-08-13,,53.04
2012-08-14,,53.65
2012-08-15,,53.6
2012-08-16,,53.82
2012-08-17,,54.14
2012-08-20,,53.84
2012-08-21,,54.39
2012-08-22,,53.96
2012-08-23,,53.48
2012-08-24,,53.33
2012-08-27,,53.63
2012-08-28,,53.26
2012-08-29,,53.22
2012-08-30,,52.77
2012-08-31,,53.29
2012-09-03,,53.57
2012-09-04,,53.39
2012-09-05,,53.7
2012-09-06,,55.14
2012-09-07,,55.51
2012-09-10,,55.42
2012-09-11,,55.87
2012-09-12,,56.35
2012-09-13,,56.27
2012-09-14,,57.25
2012-09-17,,56.95
2012-09-18,,56.12
2012-09-19,,55.95
2012-09-20,,55.81
2012-09-21,,56.26
2012-09-24,,56.0
2012-09-25,,56.34
2012-09-26,,55.15
2012-09-27,,55.17
2012-09-28,,54.57
2012-10-01,,55.55
2012-10-02,,55.55
2012-10-03,,55.44
2012-10-04,,55.69
2012-10-05,,56.04
2012-10-08,,55.34
2012-10-09,,55.1
2012-10-10,,54.82
2012-10-11,,55.5
2012-10-12,,55.58
2012-10-15,,55.97
2012-10-16,,57.27
2012-10-17,,57.36
2012-10-18,,57.53
2012-10-19,,56.94
2012-10-22,,56.94
2012-10-23,,55.93
2012-10-24,,55.72
2012-10-25,,56.24
2012-10-26,,56.05
2012-10-29,,55.37
2012-10-30,,56.08
2012-10-31,,56.43
2012-11-01,,56.98
2012-11-02,,57.08
2012-11-05,,56.84
2012-11-06,,57.55
2012-11-07,,56.79
2012-11-08,,56.96
2012-11-09,,56.37
2012-11-12,,56.45
2012-11-13,,56.99
2012-11-14,,56.82
2012-11-15,,56.06
2012-11-16,,55.15
2012-11-19,,56.58
2012-11-20,,56.92
2012-11-21,,57.29
2012-11-22,,57.58
2012-11-23,,57.95
2012-11-26,,57.7
2012-11-27,,57.85
2012-11-28,,58.04
2012-11-29,,58.72
2012-11-30,,58.65
2012-12-03,,58.75
2012-12-04,,58.88
2012-12-05,,59.1
2012-12-06,,59.64
2012-12-07,,59.77
2012-12-10,1.0,59.64
2012-12-11,1.0,59.76
2012-12-12,1.0,60.06
2012-12-13,1.0,60.15
2012-12-14,,59.79
2012-12-17,,59.77
2012-12-18,,60.08
2012-12-19,,60.69
2012-12-20,,60.94
2012-12-21,,60.87
2012-12-27,,60.74
2012-12-28,,60.28
2013-01-02,,62.23
2013-01-03,,62.1
2013-01-04,,62.4
2013-01-07,,62.3
2013-01-08,,62.0
2013-01-09,,62.16
2013-01-10,,62.02
2013-01-11,,62.07
2013-01-14,,61.79
2013-01-15,,61.45
2013-01-16,,60.79
2013-01-17,,61.39
2013-01-18,,61.19
2013-01-21,,61.32
2013-01-22,,61.11
2013-01-23,,60.85
2013-01-24,,61.32
2013-01-25,,61.4
2013-01-28,,61.5
2013-01-29,,61.72
2013-01-30,,61.64
2013-01-31,,61.45
2013-02-01,,61.59
2013-02-04,,60.0
2013-02-05,,60.57
2013-02-06,,60.16
2013-02-07,,59.86
2013-02-08,,60.75
2013-02-11,,60.74
2013-02-12,,61.2
2013-02-13,,61.35
2013-02-14,,61.37
2013-02-15,,61.21
2013-02-18,,61.28
2013-02-19,,62.16
2013-02-20,,61.54
2013-02-21,,60.73
2013-02-22,,61.76
2013-02-25,,61.63
2013-02-26,,60.31
2013-02-27,,61.04
2013-02-28,,61.91
2013-03-01,,61.64
2013-03-04,,61.64
2013-03-05,,63.03
2013-03-06,,63.35
2013-03-07,,63.26
2013-03-08,,63.92
2013-03-11,,63.76
2013-03-12,,63.96
2013-03-13,,64.73
2013-03-14,,66.01
2013-03-15,,65.74
2013-03-18,,65.16
2013-03-19,,64.72
2013-03-20,,65.17
2013-03-21,,64.58
2013-03-22,,64.71
2013-03-25,,63.95
2013-03-26,,64.33
2013-03-27,,63.63
2013-03-28,,63.66
2013-04-02,,65.19
2013-04-03,,64.38
2013-04-04,,63.69
2013-04-05,,63.09
2013-04-08,,62.94
2013-04-09,,62.9
2013-04-10,,64.53
2013-04-11,,65.02
2013-04-12,,64.65
2013-04-15,,64.4
2013-04-16,,63.81
2013-04-17,,62.53
2013-04-18,,62.23
2013-04-19,,62.57
2013-04-22,,63.09
2013-04-23,,65.43
2013-04-24,,66.14
2013-04-26,,67.11
2013-04-29,,67.56
2013-04-30,,67.33
2013-05-02,,67.69
2013-05-03,,68.87
2013-05-06,,68.8
2013-05-07,,69.35
2013-05-08,,69.93
2013-05-09,,70.27
2013-05-10,,70.17
2013-05-13,,69.66
2013-05-14,,70.11
2013-05-15,,70.75
2013-05-16,,70.85
2013-05-17,,70.68
2013-05-20,,70.7
2013-05-21,,70.56
2013-05-22,,70.69
2013-05-23,,69.0
2013-05-24,,68.72
2013-05-27,,69.2
2013-05-28,,70.15
2013-05-29,,69.13
2013-05-30,,70.11
2013-05-31,,69.29
2013-06-03,,68.73
2013-06-04,,69.22
2013-06-05,,67.87
2013-06-06,,66.39
2013-06-07,,68.47
2013-06-10,,68.13
2013-06-11,,66.9
2013-06-12,,66.61
2013-06-13,,66.86
2013-06-14,,67.11
2013-06-17,,67.83
2013-06-18,,68.18
2013-06-19,,67.82
2013-06-20,,65.84
2013-06-21,,64.81
2013-06-24,,64.13
2013-06-25,,65.19
2013-06-26,,66.54
2013-06-27,,66.8
2013-06-28,,66.58
2013-07-01,,67.62
2013-07-02,,67.02
2013-07-03,,66.79
2013-07-04,,68.33
2013-07-05,,67.35
2013-07-08,,68.86
2013-07-09,,69.35
2013-07-10,,69.59
2013-07-11,,69.79
2013-07-12,,69.77
2013-07-15,,70.28
2013-07-16,,69.91
2013-07-17,,70.07
2013-07-18,,71.34
2013-07-19,,71.2
2013-07-22,,71.32
2013-07-23,,70.81
2013-07-24,,71.19
2013-07-25,,71.26
2013-07-26,,70.69
2013-07-29,,70.83
2013-07-30,,70.91
2013-07-31,,70.98
2013-08-01,,71.72
2013-08-02,,72.33
2013-08-05,,72.62
2013-08-06,,71.84
2013-08-07,,71.92
2013-08-08,,72.38
2013-08-09,,72.38
2013-08-12,,72.53
2013-08-13,,72.42
2013-08-14,,72.72
2013-08-15,,71.87
2013-08-16,,72.09
2013-08-19,,71.76
2013-08-20,,70.62
2013-08-21,,70.09
2013-08-22,,70.87
2013-08-23,,71.18
2013-08-26,,70.96
2013-08-27,,69.2
2013-08-28,,68.8
2013-08-29,,69.03
2013-08-30,,67.89
2013-09-02,,69.41
2013-09-03,,68.81
2013-09-04,,68.94
2013-09-05,,69.63
2013-09-06,,69.65
2013-09-09,,70.39
2013-09-10,,71.69
2013-09-11,,71.83
2013-09-12,,71.37
2013-09-13,,71.65
2013-09-16,,72.72
2013-09-17,,72.15
2013-09-18,,72.53
2013-09-19,,72.17
2013-09-20,,72.24
