,ATE FP Equity_DX_SI_QTY,ATE FP Equity_DX_SHORT_INTEREST_VALUE,ATE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ATE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ATE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ATE FP Equity_DX_SI_MV,ATE FP Equity_DX_DSS,ATE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ATE FP Equity_DX_SUPPLY_SI_QTY,ATE FP Equity_DX_BROKER_SI_QTY,ATE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ATE FP Equity_DX_BROKER_SI_MV_NEW_x,ATE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ATE FP Equity_DX_SUPPLY_SI_QTY_INC_x,ATE FP Equity_DX_BROKER_SI_MV_INC_x,ATE FP Equity_DX_SUPPLY_SI_MV_NEW,ATE FP Equity_DX_BROKER_SI_QTY_ADD,ATE FP Equity_DX_BROKER_SI_QTY_NEW,ATE FP Equity_DX_SUPPLY_SI_MV_DEC,ATE FP Equity_DX_BROKER_SI_QTY_INC,ATE FP Equity_DX_SUPPLY_SI_QTY_DEC,ATE FP Equity_DX_BROKER_SI_MV_NEW_y,ATE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ATE FP Equity_DX_BROKER_SI_MV_INC_y,ATE FP Equity_DX_SUPPLY_SI_QTY_INC_y,ATE FP Equity_DX_BROKER_SI_MV_ADD,ATE FP Equity_DX_SUPPLY_SI_QTY_ADD,ATE FP Equity_DX_BROKER_SI_QTY_DEC,ATE FP Equity_DX_SUPPLY_SI_MV,ATE FP Equity_DX_BROKER_SI_MV_DEC,ATE FP Equity_DX_SUPPLY_SI_MV_RMV,ATE FP Equity_DX_BROKER_SI_MV_RMV,ATE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ATE FP Equity_DX_UTILIZATION_QUANTITY,ATE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ATE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ATE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ATE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ATE FP Equity_DX_ACTIVE_UTILIZATION_MV,ATE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ATE FP Equity_DX_BROKER_SI_CON_RATIO,ATE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ATE FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,116996.0,2506268.52,0.72,1.69,0.38,3.21,0.0,2062343.92,58407.0,96273.0,1251184.87,,,2542.0,,,70000.0,,0.0,,77.0,,,,2542.0,1.92,37684.0,350.0,1.61,0.0,,,2.92,2.92,1941967.0,41600488.57,,53.24,2.93,29.61,0.517,65.32,0.0585
2006-03-22,282870.0,6178236.52,1.75,3.88,0.92,7.96,0.0,3573404.47,200310.0,163608.0,4375022.3,,97855.0,44047.0,1.77,2.75,6000.0,,,61364.0,,,97855.0,1.77,44047.0,0.17,,29.0,5.64,0.0,,,9.63,9.63,1880696.0,41076765.71,,52.81,9.64,35.9,0.3968,50.4,0.1359
2006-03-29,147222.0,3167486.74,0.91,1.98,0.48,4.07,0.0,2714444.61,64421.0,126165.0,1386020.18,,,31.0,0.0,,,,1.1,240.0,38064.0,,,0.0,31.0,,,37684.0,1.78,1.11,2.75,,3.36,3.36,1854153.0,39892169.99,97855.0,51.33,3.35,23.31,0.584,72.67,0.0767
2006-04-05,153783.0,3330147.13,0.95,1.98,0.5,4.28,0.0,2816429.23,67088.0,130060.0,1452780.29,,,1706.0,0.04,,2762.0,,0.0,1133.0,100.0,,,0.04,1706.0,0.08,1060.0,,1.87,,,,3.38,3.38,1916726.0,41506405.74,,53.35,3.38,23.03,0.5356,69.31,0.0775
2006-04-12,175683.0,3910823.79,1.09,2.07,0.57,5.04,0.0,3375788.25,102317.0,151648.0,2277646.43,,,35238.0,0.8,,,,0.0,24330.0,8.0,,,0.8,35238.0,,,2742.0,2.93,0.08,,,5.91,5.91,1629325.0,36269889.38,,46.69,5.91,22.64,0.5753,72.29,0.1015
2006-04-19,284670.0,6356848.69,1.66,3.3,0.93,8.45,0.0,3652614.4,311653.0,163570.0,6959394.96,,93493.0,,0.38,2.75,,,0.17,13374.0,6427.0,,93493.0,0.38,,,122271.0,1452.0,9.11,0.01,,,16.44,16.44,1584532.0,35383532.39,,46.06,16.51,38.41,0.359,43.79,0.1501
2006-04-26,216470.0,5123096.01,1.26,2.96,0.71,6.5,0.0,4785776.81,130984.0,202217.0,3099938.13,,,4656.0,1.18,,,,2.63,38647.0,91832.0,,,1.18,4656.0,,,,3.93,,2.75,,7.69,7.69,1571931.0,37202168.6,93493.0,47.5,7.65,21.74,0.4217,58.0,0.1271
2006-05-03,246271.0,5883854.56,1.44,3.32,0.8,7.54,0.0,5541556.91,130536.0,231944.0,3118738.46,,,73.0,0.96,,815.0,,0.0,28913.0,1171.0,,,0.96,73.0,0.03,649.0,,4.0,,,,7.46,7.46,1620019.0,38705150.72,,49.89,7.42,31.52,0.3823,50.37,0.1407
2006-05-10,208728.0,4975536.58,1.22,2.77,0.68,6.43,0.0,4582505.24,152117.0,192240.0,3626076.51,,,7658.0,0.65,,,,0.0,20420.0,932.0,,,0.65,7658.0,,14856.0,60124.0,4.69,1.82,,,8.57,8.57,1623400.0,38697664.39,,49.89,8.59,20.05,0.4148,59.92,0.1176
2006-05-17,193349.0,4144893.12,1.13,2.59,0.63,5.52,0.0,3785281.32,127257.0,176574.0,2728054.78,,,671.0,0.26,,,,1.0,12047.0,25531.0,,,0.26,671.0,,,27712.0,3.63,1.12,,,6.44,6.44,1847786.0,39611663.23,,52.49,6.47,22.07,0.345,51.05,0.0979
2006-05-24,309017.0,6230879.95,1.8,3.6,1.01,8.25,1.0,3934614.47,170431.0,195135.0,3436494.11,,103081.0,98.0,0.74,2.75,32376.0,,1.81,32912.0,60005.0,,103081.0,0.74,98.0,0.85,,46727.0,4.55,1.39,,,8.12,8.12,1928487.0,38885145.42,,51.43,8.13,24.91,0.3806,54.82,0.1472
2006-05-31,135878.0,2894924.74,0.78,1.68,0.44,3.78,0.0,2663058.9,57605.0,124995.0,1227293.16,,,746.0,,,,,0.28,,10490.0,,,,746.0,,,70141.0,1.6,1.85,2.75,,2.93,2.93,1907580.0,40641608.85,103081.0,52.47,2.96,26.44,0.4351,59.76,0.0691
2006-06-07,184914.0,3770174.27,1.07,2.37,0.6,4.97,0.0,2829414.72,91864.0,138773.0,1872996.58,,,1098.0,0.36,,,,0.07,13778.0,1411.0,,,0.36,1098.0,,34572.0,,2.47,,,,8.55,4.53,982014.0,20022085.46,,0.0,5903.59,24.24,0.3643,53.07,0.0913
2006-06-14,170233.0,3197145.29,0.98,2.38,0.55,4.27,0.0,2983248.53,56438.0,158844.0,1059961.85,,,,0.66,,,,1.05,25846.0,35426.0,,,0.66,,,,5775.0,1.42,0.24,,,2.74,2.74,2001719.0,37594276.54,,49.78,2.76,27.86,0.3317,45.68,0.0827
2006-06-21,319070.0,6607062.9,1.84,4.4,1.04,8.33,1.0,4194316.01,156331.0,202553.0,3237185.41,,105428.0,2246.0,1.5,2.75,,,0.19,60000.0,7781.0,,105428.0,1.5,2246.0,,,16290.0,4.08,0.39,,,7.89,7.89,1824742.0,37785392.43,,48.23,7.81,25.1,0.5113,66.49,0.1611
2006-06-28,160706.0,3557453.85,0.93,2.13,0.52,4.49,0.0,3314927.35,50760.0,149750.0,1123644.16,,,,,,5154.0,,0.0,,142.0,,,,,0.14,,57958.0,1.42,1.4,2.75,,2.82,2.82,1747622.0,38686076.56,105428.0,49.18,2.8,29.94,0.3759,51.49,0.0894
2006-07-03,272093.0,6044296.02,1.57,4.14,0.88,7.63,0.0,3645064.17,147408.0,164088.0,3274533.3,,96994.0,56.0,0.41,2.72,,,0.01,14338.0,402.0,,96994.0,0.41,56.0,,,,4.13,,,,7.36,7.36,1854152.0,41188283.26,,52.35,7.32,29.6,0.4495,59.55,0.1359
2006-07-04,288055.0,6376503.49,1.66,4.39,0.94,8.07,0.0,3977868.55,147860.0,179698.0,3273089.54,,,452.0,0.24,,7119.0,,,8491.0,,,,0.24,452.0,0.2,,,4.14,,,,7.3,7.3,1878629.0,41586101.18,,53.1,7.24,27.84,0.4367,59.34,0.1421
2006-07-05,298080.0,6431724.05,1.72,4.61,0.97,8.28,0.0,4064902.25,148698.0,188389.0,3208482.63,,,1334.0,0.24,,,,0.02,8691.0,495.0,,,0.24,1334.0,,,,4.13,,,,7.3,7.3,1887196.0,40720356.59,,52.71,7.27,26.59,0.4134,57.79,0.1464
2006-07-06,196571.0,4244500.28,1.13,3.0,0.64,5.42,0.0,4210081.5,40740.0,194977.0,879686.94,,,138.0,0.27,,,,0.28,10088.0,10041.0,,,0.27,138.0,,,3500.0,1.12,0.1,2.72,,1.88,1.88,2126033.0,45906810.6,98056.0,58.88,1.87,33.3,0.2911,38.95,0.0907
2006-07-07,192876.0,4001422.43,1.11,2.97,0.63,5.22,0.0,3968353.17,41690.0,191282.0,864904.4,,,951.0,,,,,,,,,,,951.0,,,3696.0,1.13,0.12,,,1.92,1.92,2131452.0,44219290.35,,58.01,1.91,32.67,0.2881,38.91,0.0888
2006-07-10,229631.0,4672982.26,1.32,3.39,0.75,6.17,0.0,4640544.42,42030.0,228037.0,855308.93,,,339.0,1.08,,,,,40319.0,,,,1.08,339.0,,,3563.0,1.13,0.1,,,1.93,1.93,2130798.0,43361659.57,,57.17,1.94,32.44,0.2784,34.41,0.1057
2006-07-11,220416.0,4355344.85,1.27,3.25,0.72,5.83,0.0,4225919.09,47619.0,213866.0,940935.17,,,633.0,,,,,,,,,,,633.0,,4956.0,14172.0,1.26,0.4,,,2.19,2.19,2127423.0,42037151.59,,55.89,2.2,33.88,0.2903,37.19,0.1013
2006-07-12,219717.0,4368838.09,1.26,3.24,0.71,5.83,0.0,4241063.93,44024.0,213291.0,875370.26,,,,,,,,0.09,,3595.0,,,,,,,575.0,1.17,0.01,,,2.08,2.08,2068828.0,41136437.15,,53.97,2.12,34.21,0.2917,37.14,0.104
2006-07-13,215167.0,4119598.7,1.24,3.18,0.7,5.61,0.0,3889731.19,50544.0,203161.0,967718.08,,,6070.0,,,,,,,,,,,6070.0,,450.0,10130.0,1.32,0.29,,,2.39,2.39,2064634.0,39529591.13,,52.96,2.42,35.1,0.306,39.63,0.1017
2006-07-14,214468.0,3981280.04,1.23,3.23,0.7,5.52,0.0,3762694.64,50785.0,202693.0,942748.13,,,472.0,0.0,,,,0.01,63.0,231.0,,,0.0,472.0,,,531.0,1.3,0.02,,,2.37,2.37,2091370.0,38823179.38,,52.51,2.42,34.55,0.3069,40.2,0.1001
2006-07-17,190669.0,3428415.17,1.1,2.98,0.62,4.78,0.0,3216167.7,51847.0,178865.0,932259.79,,,1062.0,,,,,,,,,,,1062.0,,,23828.0,1.3,0.68,,,2.41,2.41,2100975.0,37777586.07,,51.58,2.45,38.91,0.3826,46.71,0.0886
2006-07-18,189884.0,3333182.82,1.09,2.82,0.62,4.71,0.0,3131121.21,52207.0,178373.0,916430.43,,,651.0,,,,,0.01,,292.0,,,,651.0,,,493.0,1.29,0.02,,,2.42,2.42,2102021.0,36898423.69,,50.49,2.5,38.52,0.3851,47.35,0.0881
2006-07-19,188000.0,3577554.49,1.08,2.69,0.61,4.82,0.0,3369656.71,48222.0,177075.0,917642.73,,,,,,,,0.06,,3984.0,,,,,,,1298.0,1.23,0.01,,,2.45,2.45,1916798.0,36475794.11,,46.21,2.6,40.3,0.3871,46.18,0.0957
2006-07-20,190076.0,3631823.34,1.09,2.69,0.62,4.9,0.0,3409281.58,48724.0,178429.0,930980.03,,,721.0,0.04,,,,0.0,1449.0,220.0,,,0.04,721.0,,,95.0,1.25,0.0,,,2.48,2.48,1913892.0,36569149.33,,47.98,2.55,40.29,0.3826,45.54,0.0968
2006-07-21,190787.0,3571314.9,1.1,2.75,0.62,4.87,0.0,3351143.68,49239.0,179025.0,921697.88,,,515.0,0.01,,,,,596.0,,,,0.01,515.0,,,,1.25,,,,2.51,2.51,1911770.0,35786152.52,,47.51,2.57,39.67,0.3811,45.87,0.0973
2006-07-24,183096.0,3501299.24,1.05,2.71,0.59,4.7,0.0,3279207.6,48918.0,171482.0,935446.74,,,,,,,,0.0,,321.0,,,,,,,7543.0,1.25,0.21,,,2.49,2.49,1916300.0,36644927.93,,47.82,2.55,42.1,0.377,43.12,0.0932
2006-07-25,180336.0,3442917.65,1.04,2.69,0.59,4.63,0.0,3217693.07,48972.0,168539.0,934957.87,,,183.0,0.01,,,,0.0,401.0,128.0,,,0.01,183.0,,,3344.0,1.26,0.09,,,2.48,2.48,1922923.0,36711835.3,,48.31,2.53,42.89,0.3902,43.8,0.0915
2006-07-26,180258.0,3465230.08,1.04,2.73,0.58,4.61,0.0,3240850.77,49400.0,168586.0,949651.98,,,553.0,0.0,,,,0.0,47.0,125.0,,,0.0,553.0,,,,1.26,,,,2.47,2.47,1951372.0,37512637.13,,48.85,2.52,42.7,0.39,43.96,0.0901
2006-07-27,180118.0,3525494.0,1.04,2.7,0.58,4.68,0.0,3296291.29,48958.0,168408.0,958267.0,,,39.0,,,,,0.0,,481.0,,,,39.0,,,178.0,1.27,0.0,,,2.45,2.45,1952727.0,38221206.83,,49.53,2.5,43.32,0.3905,43.42,0.09
2006-07-28,181067.0,3473750.19,1.04,2.73,0.59,4.63,0.0,3244030.33,49737.0,169093.0,954198.79,,,779.0,0.01,,,,,685.0,,,,0.01,779.0,,,,1.27,,,,2.48,2.48,1958484.0,37573296.95,,49.46,2.51,42.59,0.3884,43.8,0.0902
2006-07-31,151117.0,2834606.52,0.87,2.18,0.49,3.79,0.0,2609195.31,50623.0,139100.0,949570.77,,,886.0,0.0,,,,,7.0,,,,0.0,886.0,,,30000.0,1.27,0.8,,,2.51,2.51,1967877.0,36912835.62,,48.73,2.54,31.61,0.3914,51.89,0.0749
2006-08-01,151111.0,2742945.1,0.87,2.11,0.49,3.7,0.0,2525322.5,51516.0,139122.0,935111.01,,,921.0,0.0,,,,0.01,22.0,28.0,,,0.0,921.0,,,,1.26,,,,2.59,2.59,1939478.0,35205125.25,,46.78,2.62,32.36,0.3884,51.14,0.0759
2006-08-02,175445.0,3126055.85,1.01,2.44,0.57,4.12,0.0,2909604.39,50206.0,163297.0,894563.88,,,159.0,0.45,,,,0.07,24175.0,1468.0,,,0.45,159.0,,,,1.18,,,,2.5,2.5,1957295.0,34874823.95,,45.52,2.53,40.83,0.3852,44.95,0.0874
2006-08-03,175528.0,3002106.14,1.01,2.37,0.57,4.03,0.0,2794420.9,51248.0,163385.0,876509.36,,,1047.0,0.0,,,,0.01,88.0,5.0,,,0.0,1047.0,,,,1.18,,,,2.55,2.55,1957538.0,33480338.46,,44.78,2.56,41.75,0.3844,44.0,0.0874
2006-08-04,178685.0,3162967.62,1.03,2.17,0.58,4.16,0.0,2958162.87,50360.0,167115.0,891440.52,,,,0.11,,,,0.01,4852.0,889.0,,,0.11,,,,1122.0,1.17,0.02,,,2.49,2.49,1971292.0,34894550.51,,44.9,2.54,43.0,0.3902,43.71,0.0884
2006-08-07,184366.0,3153265.01,1.06,2.13,0.6,4.24,0.0,2946024.46,51517.0,172249.0,881110.15,,,1157.0,0.11,,,,,5133.0,,,,0.11,1157.0,,,,1.18,,,,2.55,2.55,1965290.0,33612923.16,,44.68,2.58,41.88,0.3896,44.65,0.0914
2006-08-08,245678.0,4087408.64,1.41,2.92,0.8,5.55,0.0,3889159.05,52008.0,233762.0,865270.59,,,692.0,1.39,,,,0.01,61887.0,201.0,,,1.39,692.0,,,374.0,1.17,0.02,,,5.53,2.58,889176.0,14793451.84,,0.0,130.87,30.62,0.4566,59.58,0.1219
2006-08-09,205377.0,3485503.88,1.18,2.47,0.67,4.65,0.0,2807197.06,77589.0,165409.0,1316782.12,,,,,,,,0.06,,2789.0,,,,,,28369.0,68352.0,1.76,1.57,,,8.45,3.9,841065.0,14273922.21,,0.0,191.85,42.7,0.3896,43.9,0.1031
2006-08-10,216218.0,3603992.57,1.24,2.61,0.7,4.87,0.0,2929992.06,78241.0,175782.0,1304146.66,,,653.0,0.01,,14000.0,,,518.0,,,,0.01,653.0,0.3,,4145.0,1.76,0.09,,,9.25,4.08,767398.0,12791241.67,,0.0,196.44,38.08,0.3367,41.54,0.1127
2006-08-11,216067.0,3616579.7,1.24,2.59,0.7,4.85,0.0,2937743.94,85960.0,175511.0,1438818.47,,,580.0,,,,,0.0,,130.0,,,,580.0,,7268.0,270.0,1.92,0.01,,,19.84,4.44,347378.0,5814493.76,,1.11,63.42,38.26,0.3362,41.31,0.1115
2006-08-14,215886.0,3749372.61,1.24,2.58,0.7,4.91,0.0,3048234.41,133664.0,175515.0,2321392.5,,,48070.0,0.0,,,,0.0,4.0,366.0,,,0.0,48070.0,,,,2.96,,,,6.97,6.97,1785231.0,31004772.04,,39.44,6.98,37.72,0.338,42.08,0.1125
2006-08-15,222532.0,3932205.41,1.28,2.63,0.72,5.08,0.0,3219633.21,157220.0,182206.0,2778123.3,,,24206.0,0.15,,,,0.0,7268.0,649.0,,,0.15,24206.0,,,577.0,3.53,0.01,,,7.93,7.93,1824765.0,32244130.27,,41.17,7.91,36.24,0.3222,40.94,0.1123
2006-08-16,335987.0,6135322.93,1.93,3.99,1.09,7.71,1.0,4207716.14,224904.0,230426.0,4106881.13,,,22864.0,1.09,,,,,48219.0,,,,1.09,22864.0,,44820.0,,5.12,,,,11.18,11.18,1785922.0,32612000.48,,41.55,10.97,26.23,0.3153,43.77,0.1671
2006-08-17,347869.0,6498200.89,2.0,3.88,1.13,8.17,1.0,4540179.57,222991.0,243050.0,4165476.99,,,130.0,0.59,,,,0.01,24124.0,2043.0,,,0.59,130.0,,,11500.0,5.25,0.26,,,11.01,11.01,1802271.0,33666463.56,,43.0,10.88,25.38,0.3477,49.85,0.1718
2006-08-18,333545.0,6150316.61,1.93,3.64,1.08,7.93,1.0,5400411.12,207669.0,292876.0,3829258.72,,,57.0,1.61,,,,0.29,63826.0,15379.0,,,1.61,57.0,,,14000.0,4.99,0.32,,,10.3,10.3,1808588.0,33348989.83,,43.13,10.37,25.76,0.3705,53.02,0.1654
2006-08-21,304910.0,5589152.95,1.76,3.4,0.99,7.31,0.0,4846987.64,176651.0,264422.0,3238101.27,,,40.0,,,,,0.76,,31058.0,,,,40.0,,,28454.0,4.19,0.61,,,8.38,8.38,1931274.0,35401219.31,,45.65,8.41,28.17,0.3439,48.69,0.1446
2006-08-22,272851.0,4954871.32,1.58,3.01,0.89,6.49,0.0,4240889.42,161829.0,233534.0,2938753.65,,,649.0,,,,,0.35,,15471.0,,,,649.0,,,30888.0,3.85,0.77,,,7.67,7.67,1948358.0,35381446.94,,45.87,7.75,32.01,0.3158,42.09,0.1293
2006-08-23,261331.0,4684778.46,1.51,2.87,0.85,6.18,0.0,3935500.02,136723.0,219534.0,2450979.66,,,1046.0,,,,,0.68,,27662.0,,,,1046.0,,1510.0,14000.0,3.22,0.34,,,5.84,5.84,2204241.0,39514564.92,,50.37,6.0,33.61,0.3005,38.32,0.1116
2006-08-24,233612.0,4182427.3,1.35,2.51,0.76,5.53,0.0,3438276.36,136374.0,192047.0,2441545.56,,,,0.63,,,,0.01,27000.0,350.0,,,0.63,,,,54487.0,3.21,1.27,,,5.87,5.87,2188142.0,39174977.5,,49.76,6.07,29.78,0.2884,38.37,0.1005
2006-08-25,255179.0,4610170.27,1.48,2.71,0.83,6.06,0.0,3859781.63,112369.0,213644.0,2030105.23,,,,0.52,,,,0.57,21645.0,24005.0,,,0.52,,,,48.0,2.64,0.0,,,4.81,4.81,2224038.0,40180398.3,,50.9,4.93,34.61,0.2975,36.8,0.1092
2006-08-28,209225.0,3853074.93,1.21,2.26,0.68,5.01,0.0,3094006.73,85873.0,168007.0,1581431.97,,,,,,,,0.59,,26496.0,,,,,,,45637.0,2.05,1.09,,,3.68,3.68,2248289.0,41404354.03,,52.07,3.78,23.22,0.3024,44.39,0.0896
2006-08-29,183252.0,3463005.3,1.06,2.01,0.59,4.44,0.0,2689587.17,85126.0,142325.0,1608668.88,,,63.0,0.01,,,,0.0,151.0,809.0,,,0.01,63.0,,,25832.0,2.05,0.63,,,3.65,3.65,2246407.0,42451483.97,,53.07,3.73,27.03,0.3737,52.88,0.0786
2006-08-30,184214.0,3498354.53,1.07,1.96,0.6,4.48,0.0,2697212.47,88390.0,142028.0,1678588.8,,,3264.0,,,,,,,,,,,3264.0,,,298.0,2.15,0.0,,,3.66,3.66,2325685.0,44166407.89,,56.69,3.65,26.96,0.3742,52.99,0.0763
2006-08-31,192951.0,3569859.42,1.12,2.04,0.63,4.64,0.0,2778981.01,89446.0,150204.0,1654874.27,,,1056.0,0.0,,7867.0,,,309.0,,,,0.0,1056.0,0.19,,,2.15,,,,3.7,3.7,2328281.0,43076407.33,,56.03,3.7,25.81,0.3348,49.63,0.0798
2006-09-01,190575.0,3545143.1,1.1,2.02,0.62,4.59,0.0,2784641.77,87520.0,149693.0,1628077.79,,,,,,,,0.05,,1925.0,,,,,,,511.0,2.1,0.01,,,3.62,3.62,2328891.0,43322848.5,,55.81,3.63,26.13,0.3427,50.3,0.0789
2006-09-04,290445.0,5639832.9,1.68,3.01,0.94,7.2,0.0,4839698.78,116450.0,249239.0,2261214.83,,,,2.58,,,,0.0,100000.0,2411.0,,,2.58,,,31341.0,454.0,2.88,0.0,,,4.57,4.57,2433986.0,47262904.61,,59.85,4.6,15.19,0.528,70.54,0.1139
2006-09-05,289815.0,5746904.74,1.68,2.97,0.94,7.31,0.0,4935498.86,115379.0,248896.0,2287915.12,,,312.0,,,,,0.0,,1383.0,,,,312.0,,,342.0,2.92,0.0,,,4.53,4.53,2431043.0,48206519.78,,61.14,4.56,14.95,0.5332,70.97,0.1138
2006-09-06,293721.0,5694320.44,1.7,2.92,0.95,7.29,0.0,4854928.66,119308.0,250424.0,2313004.46,,,3929.0,0.03,,,,,1528.0,,,,0.03,3929.0,,,,2.97,,,,4.68,4.68,2432431.0,47157137.43,,61.06,4.64,15.1,0.5214,70.04,0.1151
